State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,147,15,0.1,,,,,,
,,2002 - 2003,148,15,0.1,,,,,,
,,2003 - 2004,227,23,0.1,,,,,,
,,2004 - 2005,387,40,0.1,,,,,,
,,2005 - 2006,253,26,0.1,,,,,,
,,2006 - 2007,205,21,0.1,,,,,,
,,2007 - 2008,213,74,0.35,,,,,,
,,2008 - 2009,82,44,0.54,,,,,,
,,2009 - 2010,113,55,0.49,,,,,,
,,2010 - 2011,64,24,0.38,,,,,,
,,2011 - 2012,234,95,0.41,,,,,,
,,2012 - 2013,20,8,0.4,,,,,,
,,2013 - 2014,20,6,0.3,,,,,,
,,2014 - 2015,41,14,0.34,,,,,,
,,2015 - 2016,202,87,0.43,,,,,,
,,2016 - 2017,149,65,0.44,,,,,,
,,2017 - 2018,65,24,0.37,,,,,,
,,2018 - 2019,35,31,0.89,,,,,,
,,2019 - 2020,13,6,0.46,,,,,,
,,2020 - 2021,305,165,0.54,,,,,,
,,2021 - 2022,217,119,0.55,,,,,,
,,2022 - 2023,261,157,0.6,,,,,,
,16. Gulbarga,2000 - 2001,63,10,0.16,,,,,,
,,2001 - 2002,63,10,0.16,,,,,,
,,2002 - 2003,63,10,0.16,,,,,,
,,2003 - 2004,73,11,0.15,,,,,,
,,2004 - 2005,88,13,0.15,,,,,,
,,2005 - 2006,125,19,0.15,,,,,,
,,2006 - 2007,36,5,0.14,,,,,,
,,2007 - 2008,9,3,0.33,,,,,,
,,2008 - 2009,18,10,0.56,,,,,,
,,2009 - 2010,13,6,0.46,,,,,,
,,2010 - 2011,10,4,0.4,,,,,,
,,2011 - 2012,10,4,0.4,,,,,,
,,2012 - 2013,17,7,0.41,,,,,,
,,2013 - 2014,21,7,0.33,,,,,,
,,2014 - 2015,44,15,0.34,,,,,,
,,2018 - 2019,27,24,0.89,,,,,,
,,2020 - 2021,16,9,0.56,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,
,17. Hassan,2000 - 2001,138,17,0.12,,,,,,
,,2001 - 2002,282,35,0.12,,,,,,
,,2002 - 2003,473,59,0.12,,,,,,
,,2003 - 2004,54,7,0.13,,,,,,
,,2004 - 2005,171,21,0.12,,,,,,
,,2005 - 2006,153,19,0.12,,,,,,
,,2006 - 2007,172,22,0.13,,,,,,
,,2007 - 2008,121,42,0.35,,,,,,
,,2008 - 2009,185,100,0.54,,,,,,
,,2009 - 2010,147,72,0.49,,,,,,
,,2010 - 2011,188,70,0.37,,,,,,
,,2011 - 2012,95,39,0.41,,,,,,
,,2012 - 2013,22,9,0.41,,,,,,
,,2013 - 2014,8,2,0.25,,,,,,
,,2014 - 2015,64,22,0.34,,,,,,
,,2015 - 2016,88,38,0.43,,,,,,
,,2016 - 2017,98,42,0.43,,,,,,
,,2017 - 2018,116,43,0.37,,,,,,
,,2018 - 2019,104,50,0.48,,,,,,
,,2020 - 2021,36,19,0.53,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,18. Haveri,2000 - 2001,494,51,0.1,,,,,,
,,2001 - 2002,322,33,0.1,,,,,,
,,2002 - 2003,222,23,0.1,,,,,,
,,2003 - 2004,237,24,0.1,,,,,,
,,2004 - 2005,177,18,0.1,,,,,,
,,2005 - 2006,92,9,0.1,,,,,,
,,2006 - 2007,215,22,0.1,,,,,,
,,2007 - 2008,71,25,0.35,,,,,,
,,2008 - 2009,64,35,0.55,,,,,,
,,2009 - 2010,45,22,0.49,,,,,,
,,2010 - 2011,26,10,0.38,,,,,,
,,2011 - 2012,81,33,0.41,,,,,,
,,2012 - 2013,33,13,0.39,,,,,,
,,2013 - 2014,31,10,0.32,,,,,,
,,2014 - 2015,34,12,0.35,,,,,,
,,2015 - 2016,30,13,0.43,,,,,,
,,2017 - 2018,58,21,0.36,,,,,,
,,2018 - 2019,26,23,0.88,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,19. Kodagu,2018 - 2019,1,1,1,,,,,,
,20. Kolar,2000 - 2001,120,12,0.1,,,,,,
,,2001 - 2002,56,6,0.11,,,,,,
,,2002 - 2003,57,6,0.11,,,,,,
,,2003 - 2004,88,9,0.1,,,,,,
,,2004 - 2005,108,11,0.1,,,,,,
,,2005 - 2006,78,8,0.1,,,,,,
,,2006 - 2007,66,7,0.11,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,
,,2008 - 2009,5,3,0.6,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,
,,2010 - 2011,5,2,0.4,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,
,,2013 - 2014,5,2,0.4,,,,,,
,,2014 - 2015,5,2,0.4,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,
,,2016 - 2017,5,2,0.4,,,,,,
,,2017 - 2018,5,2,0.4,,,,,,
,,2018 - 2019,761,680,0.89,,,,,,
,21. Koppal,2000 - 2001,463,81,0.17,,,,,,
,,2001 - 2002,170,30,0.18,,,,,,
,,2002 - 2003,150,26,0.17,,,,,,
,,2003 - 2004,388,68,0.18,,,,,,
,,2004 - 2005,824,144,0.17,,,,,,
,,2005 - 2006,812,141,0.17,,,,,,
,,2007 - 2008,174,61,0.35,,,,,,
,,2008 - 2009,452,244,0.54,,,,,,
,,2014 - 2015,"1,225.00",415,0.34,,,,,,
,,2015 - 2016,118,46,0.39,,,,,,
,,2018 - 2019,84,75,0.89,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,22. Mandya,2001 - 2002,1,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,
,,2009 - 2010,7,3,0.43,,,,,,
,,2012 - 2013,42,17,0.4,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,12,4,0.33,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,15,7,0.47,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,52,46,0.88,,,,,,
,,2020 - 2021,23,12,0.52,,,,,,
,,2021 - 2022,12,6,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,23. Mysore,2000 - 2001,15,1,0.07,,,,,,
,,2001 - 2002,217,21,0.1,,,,,,
,,2002 - 2003,34,3,0.09,,,,,,
,,2003 - 2004,75,7,0.09,,,,,,
,,2004 - 2005,24,2,0.08,,,,,,
,,2005 - 2006,25,2,0.08,,,,,,
,,2006 - 2007,42,4,0.1,,,,,,
,,2007 - 2008,26,9,0.35,,,,,,
,,2008 - 2009,63,34,0.54,,,,,,
,,2009 - 2010,61,30,0.49,,,,,,
,,2010 - 2011,46,17,0.37,,,,,,
,,2011 - 2012,19,8,0.42,,,,,,
,,2012 - 2013,34,13,0.38,,,,,,
,,2013 - 2014,51,16,0.31,,,,,,
,,2014 - 2015,9,3,0.33,,,,,,
,,2015 - 2016,6,3,0.5,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2018 - 2019,74,66,0.89,,,,,,
,24. Raichur,2000 - 2001,23,4,0.17,,,,,,
,,2001 - 2002,275,48,0.17,,,,,,
,,2002 - 2003,103,18,0.17,,,,,,
,,2003 - 2004,18,3,0.17,,,,,,
,,2004 - 2005,18,3,0.17,,,,,,
,,2005 - 2006,4,1,0.25,,,,,,
,,2018 - 2019,28,25,0.89,,,,,,
,25. Ramanagara,2011 - 2012,9,4,0.44,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,26. Shimoga,2012 - 2013,2,1,0.5,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,9,4,0.44,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,26,23,0.88,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,
,27. Tumkur,2000 - 2001,58,6,0.1,,,,,,
,,2001 - 2002,20,2,0.1,,,,,,
,,2002 - 2003,8,1,0.13,,,,,,
,,2003 - 2004,9,1,0.11,,,,,,
,,2004 - 2005,21,2,0.1,,,,,,
,,2005 - 2006,8,1,0.13,,,,,,
,,2006 - 2007,2,,0,,,,,,
,,2007 - 2008,16,6,0.38,,,,,,
,,2008 - 2009,28,15,0.54,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,
,,2010 - 2011,8,3,0.38,,,,,,
,,2011 - 2012,58,24,0.41,,,,,,
,,2012 - 2013,42,17,0.4,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,9,4,0.44,,,,,,
,,2018 - 2019,26,23,0.88,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,28. Udupi,2018 - 2019,3,3,1,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,29. Uttar kannad,2018 - 2019,4,4,1,,,,,,
,30. Yadgir,2010 - 2011,1,,0,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2018 - 2019,10,9,0.9,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,
,,2021 - 2022,1,1,1,,,,,,
8. Madhya Pradesh,1. Agar malwa,2013 - 2014,"14,333.00","6,909.00",0.48,,,,,,
,,2015 - 2016,"16,474.00","12,737.90",0.77,,,,,,
,,2016 - 2017,"18,007.50","36,015.00",2,,,,,,
,,2017 - 2018,"18,007.50","36,015.00",2,,,,,,
,,2018 - 2019,"18,541.00","14,332.19",0.77,,,,,,
,,2019 - 2020,"18,580.00","14,362.33",0.77,,,,,,
,2. Alirajpur,2010 - 2011,24,12,0.5,,,,,,
,,2011 - 2012,21,9,0.43,,,,,,
,,2012 - 2013,54,23,0.43,,,,,,
,,2013 - 2014,66,48,0.73,,,,,,
,,2015 - 2016,198,237.6,1.2,,,,,,
,,2016 - 2017,252,630,2.5,,,,,,
,,2017 - 2018,258,696.6,2.7,,,,,,
,,2018 - 2019,264.3,718.89,2.72,,,,,,
,,2019 - 2020,285,495.9,1.74,,,,,,
,3. Anuppur,2003 - 2004,82,21,0.26,,,,,,
,,2004 - 2005,70,19,0.27,,,,,,
,,2006 - 2007,80,21,0.26,,,,,,
,,2007 - 2008,110,29,0.26,,,,,,
,,2008 - 2009,77,20,0.26,,,,,,
,,2009 - 2010,72,19,0.26,,,,,,
,,2010 - 2011,124,21,0.17,,,,,,
,,2011 - 2012,79,14,0.18,,,,,,
,,2012 - 2013,163,49,0.3,,,,,,
,,2013 - 2014,124,41,0.33,,,,,,
,,2015 - 2016,210,315,1.5,,,,,,
,,2016 - 2017,235,390.54,1.66,,,,,,
,,2017 - 2018,310,514.6,1.66,,,,,,
,,2018 - 2019,331,562.7,1.7,,,,,,
,,2019 - 2020,487.37,877.27,1.8,,,,,,
,4. Ashoknagar,2003 - 2004,"5,379.00","1,429.00",0.27,,,,,,
,,2004 - 2005,"5,042.00","1,297.00",0.26,,,,,,
,,2006 - 2007,"3,737.00","1,146.00",0.31,,,,,,
,,2007 - 2008,"3,242.00",950,0.29,,,,,,
,,2008 - 2009,"2,708.00",843,0.31,,,,,,
,,2009 - 2010,"1,947.00",651,0.33,,,,,,
,,2010 - 2011,"1,673.00",327,0.2,,,,,,
,,2011 - 2012,"1,362.00",347,0.25,,,,,,
,,2012 - 2013,918,573,0.62,,,,,,
,,2013 - 2014,808,505,0.63,,,,,,
,,2015 - 2016,"15,002.00","22,503.00",1.5,,,,,,
,,2016 - 2017,"15,063.00","22,595.00",1.5,,,,,,
,,2017 - 2018,"15,063.00","22,595.00",1.5,,,,,,
,,2018 - 2019,"15,563.00","23,801.00",1.53,,,,,,
,,2019 - 2020,"17,198.00","26,189.00",1.52,,,,,,
,5. Balaghat,2000 - 2001,291,65,0.22,,,,,,
,,2001 - 2002,298,86,0.29,,,,,,
,,2002 - 2003,342,91,0.27,,,,,,
,,2003 - 2004,325,90,0.28,,,,,,
,,2004 - 2005,324,87,0.27,,,,,,
,,2006 - 2007,340,91,0.27,,,,,,
,,2007 - 2008,308,83,0.27,,,,,,
,,2008 - 2009,408,109,0.27,,,,,,
,,2009 - 2010,339,91,0.27,,,,,,
,,2010 - 2011,323,87,0.27,,,,,,
,,2011 - 2012,333,89,0.27,,,,,,
,,2012 - 2013,340,67,0.2,,,,,,
,,2013 - 2014,333,76,0.23,,,,,,
,,2015 - 2016,333,534,1.6,,,,,,
,,2016 - 2017,349,554,1.59,,,,,,
,,2017 - 2018,349,333,0.95,,,,,,
,,2018 - 2019,359,350,0.97,,,,,,
,,2019 - 2020,375,366,0.98,,,,,,
,6. Barwani,2000 - 2001,46,10,0.22,,,,,,
,,2001 - 2002,88,23,0.26,,,,,,
,,2002 - 2003,121,35,0.29,,,,,,
,,2003 - 2004,145,42,0.29,,,,,,
,,2004 - 2005,138,31,0.22,,,,,,
,,2006 - 2007,68,14,0.21,,,,,,
,,2007 - 2008,77,14,0.18,,,,,,
,,2008 - 2009,53,10,0.19,,,,,,
,,2009 - 2010,178,33,0.19,,,,,,
,,2010 - 2011,174,38,0.22,,,,,,
,,2011 - 2012,183,39,0.21,,,,,,
,,2012 - 2013,128,54,0.42,,,,,,
,,2013 - 2014,149,66,0.44,,,,,,
,,2015 - 2016,71,71,1,,,,,,
,,2016 - 2017,631,631,1,,,,,,
,,2017 - 2018,187,187,1,,,,,,
,,2018 - 2019,176,176,1,,,,,,
,,2019 - 2020,164,164,1,,,,,,
,7. Betul,2000 - 2001,128,33,0.26,,,,,,
,,2001 - 2002,257,71,0.28,,,,,,
,,2002 - 2003,225,57,0.25,,,,,,
,,2003 - 2004,278,74,0.27,,,,,,
,,2004 - 2005,500,137,0.27,,,,,,
,,2006 - 2007,411,124,0.3,,,,,,
,,2007 - 2008,558,172,0.31,,,,,,
,,2008 - 2009,256,78,0.3,,,,,,
,,2009 - 2010,766,239,0.31,,,,,,
,,2010 - 2011,629,184,0.29,,,,,,
,,2011 - 2012,409,127,0.31,,,,,,
,,2012 - 2013,391,160,0.41,,,,,,
,,2013 - 2014,426,203,0.48,,,,,,
,,2015 - 2016,40,120,3,,,,,,
,,2016 - 2017,58,162,2.79,,,,,,
,,2017 - 2018,60,167,2.78,,,,,,
,,2018 - 2019,47,132,2.81,,,,,,
,,2019 - 2020,56,159.2,2.84,,,,,,
,8. Bhind,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,1,0.01,0.01,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,
,,2004 - 2005,4,1,0.25,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,
,,2007 - 2008,7,1,0.14,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2015 - 2016,90.4,90.4,1,,,,,,
,,2016 - 2017,95,95,1,,,,,,
,,2017 - 2018,97,145,1.49,,,,,,
,,2018 - 2019,97,145,1.49,,,,,,
,,2019 - 2020,105,157,1.5,,,,,,
,9. Bhopal,2000 - 2001,508,206,0.41,,,,,,
,,2001 - 2002,569,197,0.35,,,,,,
,,2002 - 2003,386,134,0.35,,,,,,
,,2003 - 2004,614,221,0.36,,,,,,
,,2004 - 2005,667,235,0.35,,,,,,
,,2006 - 2007,672,257,0.38,,,,,,
,,2007 - 2008,"1,347.00",525,0.39,,,,,,
,,2008 - 2009,"1,306.00",517,0.4,,,,,,
,,2009 - 2010,984,465,0.47,,,,,,
,,2010 - 2011,"1,806.00",576,0.32,,,,,,
,,2011 - 2012,"1,472.00",658,0.45,,,,,,
,,2012 - 2013,"1,423.00",973,0.68,,,,,,
,,2013 - 2014,"1,470.00","1,171.00",0.8,,,,,,
,,2015 - 2016,832,"1,247.50",1.5,,,,,,
,,2016 - 2017,"1,007.00","1,510.50",1.5,,,,,,
,,2017 - 2018,"1,017.00","1,524.00",1.5,,,,,,
,,2018 - 2019,943,"1,414.50",1.5,,,,,,
,,2019 - 2020,903,"1,457.00",1.61,,,,,,
,10. Burhanpur,2003 - 2004,196,70,0.36,,,,,,
,,2004 - 2005,155,41,0.26,,,,,,
,,2006 - 2007,99,31,0.31,,,,,,
,,2007 - 2008,78,26,0.33,,,,,,
,,2008 - 2009,70,20,0.29,,,,,,
,,2009 - 2010,53,18,0.34,,,,,,
,,2010 - 2011,62,15,0.24,,,,,,
,,2011 - 2012,66,17,0.26,,,,,,
,,2012 - 2013,133,50,0.38,,,,,,
,,2013 - 2014,145,41,0.28,,,,,,
,,2015 - 2016,573,654,1.14,,,,,,
,,2016 - 2017,583,874.5,1.5,,,,,,
,,2017 - 2018,590,885,1.5,,,,,,
,,2018 - 2019,602,903,1.5,,,,,,
,,2019 - 2020,610,915,1.5,,,,,,
,11. Chhatarpur,2000 - 2001,460,85,0.18,,,,,,
,,2001 - 2002,535,101,0.19,,,,,,
,,2002 - 2003,540,100,0.19,,,,,,
,,2003 - 2004,596,114,0.19,,,,,,
,,2004 - 2005,563,108,0.19,,,,,,
,,2006 - 2007,463,74,0.16,,,,,,
,,2007 - 2008,269,39,0.14,,,,,,
,,2008 - 2009,399,80,0.2,,,,,,
,,2009 - 2010,369,72,0.2,,,,,,
,,2010 - 2011,342,66,0.19,,,,,,
,,2011 - 2012,458,92,0.2,,,,,,
,,2012 - 2013,443,93,0.21,,,,,,
,,2013 - 2014,536,98,0.18,,,,,,
,,2015 - 2016,"2,120.00","2,120.00",1,,,,,,
,,2016 - 2017,"2,750.00","2,806.00",1.02,,,,,,
,,2017 - 2018,"2,102.00","2,141.00",1.02,,,,,,
,,2018 - 2019,"1,968.00","1,972.00",1,,,,,,
,,2019 - 2020,"1,942.00","2,175.04",1.12,,,,,,
,12. Chhindwara,2000 - 2001,333,79,0.24,,,,,,
,,2001 - 2002,296,64,0.22,,,,,,
,,2002 - 2003,469,99,0.21,,,,,,
,,2003 - 2004,448,119,0.27,,,,,,
,,2004 - 2005,302,76,0.25,,,,,,
,,2006 - 2007,465,129,0.28,,,,,,
,,2007 - 2008,508,132,0.26,,,,,,
,,2008 - 2009,596,158,0.27,,,,,,
,,2009 - 2010,352,104,0.3,,,,,,
,,2010 - 2011,353,92,0.26,,,,,,
,,2011 - 2012,429,149,0.35,,,,,,
,,2012 - 2013,537,198,0.37,,,,,,
,,2013 - 2014,362,148,0.41,,,,,,
,,2015 - 2016,"1,029.00","8,232.00",8,,,,,,
,,2016 - 2017,350,350,1,,,,,,
,,2017 - 2018,378,378,1,,,,,,
,,2018 - 2019,378,378,1,,,,,,
,,2019 - 2020,378.1,378.1,1,,,,,,
,13. Damoh,2000 - 2001,267,52,0.19,,,,,,
,,2001 - 2002,293,70,0.24,,,,,,
,,2002 - 2003,318,65,0.2,,,,,,
,,2003 - 2004,305,81,0.27,,,,,,
,,2004 - 2005,328,88,0.27,,,,,,
,,2006 - 2007,316,75,0.24,,,,,,
,,2007 - 2008,355,71,0.2,,,,,,
,,2008 - 2009,415,136,0.33,,,,,,
,,2009 - 2010,480,159,0.33,,,,,,
,,2010 - 2011,413,136,0.33,,,,,,
,,2011 - 2012,464,148,0.32,,,,,,
,,2012 - 2013,491,187,0.38,,,,,,
,,2013 - 2014,376,172,0.46,,,,,,
,14. Datia,2000 - 2001,3,1,0.33,,,,,,
,,2001 - 2002,4,1,0.25,,,,,,
,,2002 - 2003,10,2,0.2,,,,,,
,,2003 - 2004,5,1,0.2,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2006 - 2007,5,1,0.2,,,,,,
,,2007 - 2008,7,1,0.14,,,,,,
,,2008 - 2009,11,4,0.36,,,,,,
,,2009 - 2010,22,6,0.27,,,,,,
,,2010 - 2011,51,13,0.25,,,,,,
,,2011 - 2012,9,3,0.33,,,,,,
,,2012 - 2013,19,8,0.42,,,,,,
,,2013 - 2014,19,7,0.37,,,,,,
,,2015 - 2016,100,100,1,,,,,,
,,2016 - 2017,300,450,1.5,,,,,,
,,2017 - 2018,308,462,1.5,,,,,,
,,2018 - 2019,309,463.5,1.5,,,,,,
,,2019 - 2020,320,480,1.5,,,,,,
,15. Dewas,2000 - 2001,69,16,0.23,,,,,,
,,2001 - 2002,55,16,0.29,,,,,,
,,2002 - 2003,65,21,0.32,,,,,,
,,2003 - 2004,81,27,0.33,,,,,,
,,2004 - 2005,112,36,0.32,,,,,,
,,2006 - 2007,103,39,0.38,,,,,,
,,2007 - 2008,63,26,0.41,,,,,,
,,2008 - 2009,79,28,0.35,,,,,,
,,2009 - 2010,93,34,0.37,,,,,,
,,2010 - 2011,82,34,0.41,,,,,,
,,2011 - 2012,219,90,0.41,,,,,,
,,2012 - 2013,224,108,0.48,,,,,,
,,2013 - 2014,121,31,0.26,,,,,,
,,2015 - 2016,73.8,150.4,2.04,,,,,,
,,2016 - 2017,73.8,150,2.03,,,,,,
,,2017 - 2018,82,172,2.1,,,,,,
,,2018 - 2019,85,179.1,2.11,,,,,,
,,2019 - 2020,95,200,2.11,,,,,,
,16. Dhar,2000 - 2001,60,14,0.23,,,,,,
,,2001 - 2002,37,13,0.35,,,,,,
,,2002 - 2003,39,12,0.31,,,,,,
,,2003 - 2004,51,19,0.37,,,,,,
,,2004 - 2005,68,25,0.37,,,,,,
,,2006 - 2007,70,29,0.41,,,,,,
,,2007 - 2008,153,58,0.38,,,,,,
,,2008 - 2009,141,52,0.37,,,,,,
,,2009 - 2010,162,59,0.36,,,,,,
,,2010 - 2011,220,87,0.4,,,,,,
,,2011 - 2012,94,37,0.39,,,,,,
,,2012 - 2013,325,131,0.4,,,,,,
,,2013 - 2014,276,169,0.61,,,,,,
,,2015 - 2016,"1,033.40",827,0.8,,,,,,
,,2016 - 2017,"1,320.55","1,322.00",1,,,,,,
,,2017 - 2018,"1,330.00","1,340.00",1.01,,,,,,
,,2018 - 2019,"1,387.00","2,121.00",1.53,,,,,,
,,2019 - 2020,"1,389.00","2,353.00",1.69,,,,,,
,17. Dindori,2000 - 2001,229,32,0.14,,,,,,
,,2001 - 2002,213,40,0.19,,,,,,
,,2002 - 2003,334,48,0.14,,,,,,
,,2003 - 2004,215,41,0.19,,,,,,
,,2004 - 2005,229,44,0.19,,,,,,
,,2006 - 2007,245,34,0.14,,,,,,
,,2007 - 2008,191,21,0.11,,,,,,
,,2008 - 2009,209,25,0.12,,,,,,
,,2009 - 2010,139,17,0.12,,,,,,
,,2010 - 2011,184,22,0.12,,,,,,
,,2011 - 2012,225,27,0.12,,,,,,
,,2012 - 2013,199,36,0.18,,,,,,
,,2013 - 2014,231,57,0.25,,,,,,
,,2016 - 2017,32,92.48,2.89,,,,,,
,,2017 - 2018,45,130.5,2.9,,,,,,
,,2018 - 2019,50,140,2.8,,,,,,
,,2019 - 2020,165,462,2.8,,,,,,
,18. Guna,2000 - 2001,"58,723.00","14,858.00",0.25,,,,,,
,,2001 - 2002,"57,979.00","18,337.00",0.32,,,,,,
,,2002 - 2003,"31,130.00","3,282.00",0.11,,,,,,
,,2003 - 2004,"49,957.00","14,958.00",0.3,,,,,,
,,2004 - 2005,"49,719.00","14,467.00",0.29,,,,,,
,,2006 - 2007,"42,152.00","13,702.00",0.33,,,,,,
,,2007 - 2008,"45,253.00","10,566.00",0.23,,,,,,
,,2008 - 2009,"46,864.00","15,233.00",0.33,,,,,,
,,2009 - 2010,"44,155.00","14,555.00",0.33,,,,,,
,,2010 - 2011,"44,296.00","11,357.00",0.26,,,,,,
,,2011 - 2012,"37,286.00","11,096.00",0.3,,,,,,
,,2012 - 2013,"35,541.00","32,321.00",0.91,,,,,,
,,2013 - 2014,"35,656.00","37,945.00",1.06,,,,,,
,,2015 - 2016,"69,640.00","69,640.00",1,,,,,,
,,2016 - 2017,"77,000.00","92,400.00",1.2,,,,,,
,,2017 - 2018,"82,000.00","98,400.00",1.2,,,,,,
,,2018 - 2019,"84,000.00","1,00,800.00",1.2,,,,,,
,,2019 - 2020,"90,324.00","1,08,388.80",1.2,,,,,,
,19. Gwalior,2000 - 2001,28,12,0.43,,,,,,
,,2001 - 2002,23,14,0.61,,,,,,
,,2002 - 2003,30,8,0.27,,,,,,
,,2003 - 2004,25,11,0.44,,,,,,
,,2004 - 2005,22,10,0.45,,,,,,
,,2006 - 2007,23,7,0.3,,,,,,
,,2007 - 2008,21,7,0.33,,,,,,
,,2008 - 2009,27,14,0.52,,,,,,
,,2009 - 2010,9,5,0.56,,,,,,
,,2010 - 2011,11,5,0.45,,,,,,
,,2011 - 2012,10,5,0.5,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2013 - 2014,31,10,0.32,,,,,,
,,2015 - 2016,"1,643.00","4,108.00",2.5,,,,,,
,,2016 - 2017,"1,909.00","4,772.50",2.5,,,,,,
,,2017 - 2018,"1,909.00","4,772.00",2.5,,,,,,
,,2018 - 2019,"1,911.00","4,778.00",2.5,,,,,,
,,2019 - 2020,"2,111.00","6,333.00",3,,,,,,
,20. Harda,2000 - 2001,255,74,0.29,,,,,,
,,2001 - 2002,305,111,0.36,,,,,,
,,2002 - 2003,376,138,0.37,,,,,,
,,2003 - 2004,305,110,0.36,,,,,,
,,2004 - 2005,294,126,0.43,,,,,,
,,2006 - 2007,188,59,0.31,,,,,,
,,2007 - 2008,282,84,0.3,,,,,,
,,2008 - 2009,180,70,0.39,,,,,,
,,2009 - 2010,290,105,0.36,,,,,,
,,2010 - 2011,252,93,0.37,,,,,,
,,2011 - 2012,189,64,0.34,,,,,,
,,2012 - 2013,234,92,0.39,,,,,,
,,2013 - 2014,179,60,0.34,,,,,,
,,2015 - 2016,310,465,1.5,,,,,,
,,2016 - 2017,320,480,1.5,,,,,,
,,2017 - 2018,330,498,1.51,,,,,,
,,2018 - 2019,150,227,1.51,,,,,,
,,2019 - 2020,150,227,1.51,,,,,,
,21. Hoshangabad,2000 - 2001,329,146,0.44,,,,,,
,,2001 - 2002,277,120,0.43,,,,,,
,,2002 - 2003,352,144,0.41,,,,,,
,,2003 - 2004,403,144,0.36,,,,,,
,,2004 - 2005,396,160,0.4,,,,,,
,,2006 - 2007,360,167,0.46,,,,,,
,,2007 - 2008,430,196,0.46,,,,,,
,,2008 - 2009,279,127,0.46,,,,,,
,,2009 - 2010,327,149,0.46,,,,,,
,,2010 - 2011,330,152,0.46,,,,,,
,,2011 - 2012,299,156,0.52,,,,,,
,,2012 - 2013,305,143,0.47,,,,,,
,,2013 - 2014,302,129,0.43,,,,,,
,,2015 - 2016,97,194,2,,,,,,
,,2016 - 2017,104,114.4,1.1,,,,,,
,,2017 - 2018,277,304.7,1.1,,,,,,
,,2018 - 2019,283.5,311.15,1.1,,,,,,
,,2019 - 2020,285,312.79,1.1,,,,,,
,22. Indore,2000 - 2001,39,10,0.26,,,,,,
,,2002 - 2003,44,14,0.32,,,,,,
,,2003 - 2004,47,17,0.36,,,,,,
,,2004 - 2005,19,7,0.37,,,,,,
,,2006 - 2007,162,54,0.33,,,,,,
,,2007 - 2008,211,78,0.37,,,,,,
,,2008 - 2009,221,80,0.36,,,,,,
,,2009 - 2010,103,40,0.39,,,,,,
,,2010 - 2011,37,15,0.41,,,,,,
,,2011 - 2012,80,31,0.39,,,,,,
,,2012 - 2013,95,27,0.28,,,,,,
,,2013 - 2014,35,11,0.31,,,,,,
,,2015 - 2016,440,440,1,,,,,,
,,2016 - 2017,740,740,1,,,,,,
,,2017 - 2018,400,400,1,,,,,,
,,2018 - 2019,410,410,1,,,,,,
