State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,26,27,1.04,,,,,,
,18. Madhepura,2000 - 2001,4,2,0.5,,,,,,
,,2001 - 2002,6,3,0.5,,,,,,
,,2002 - 2003,33,21,0.64,,,,,,
,,2003 - 2004,54,37,0.69,,,,,,
,,2004 - 2005,31,20,0.65,,,,,,
,,2005 - 2006,25,22,0.88,,,,,,
,,2007 - 2008,31,24,0.77,,,,,,
,,2016 - 2017,17,15,0.88,,,,,,
,,2017 - 2018,12,11,0.92,,,,,,
,,2018 - 2019,38,34,0.89,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,6,5,0.83,,,,,,
,19. Madhubani,2000 - 2001,21,8,0.38,,,,,,
,,2001 - 2002,28,17,0.61,,,,,,
,,2002 - 2003,106,71,0.67,,,,,,
,,2003 - 2004,53,37,0.7,,,,,,
,,2004 - 2005,29,19,0.66,,,,,,
,,2005 - 2006,25,20,0.8,,,,,,
,,2007 - 2008,35,25,0.71,,,,,,
,,2016 - 2017,24,21,0.88,,,,,,
,,2017 - 2018,35,32,0.91,,,,,,
,,2018 - 2019,23,21,0.91,,,,,,
,,2019 - 2020,24,22,0.92,,,,,,
,,2020 - 2021,30,27,0.9,,,,,,
,,2021 - 2022,30,27,0.9,,,,,,
,,2022 - 2023,29,26,0.9,,,,,,
,20. Muzaffarpur,2000 - 2001,69,33,0.48,,,,,,
,,2001 - 2002,86,50,0.58,,,,,,
,,2002 - 2003,29,19,0.66,,,,,,
,,2003 - 2004,65,45,0.69,,,,,,
,,2004 - 2005,49,32,0.65,,,,,,
,,2005 - 2006,30,23,0.77,,,,,,
,,2007 - 2008,9,6,0.67,,,,,,
,,2016 - 2017,93,85,0.91,,,,,,
,,2017 - 2018,97,89,0.92,,,,,,
,,2018 - 2019,90,82,0.91,,,,,,
,,2019 - 2020,93,85,0.91,,,,,,
,,2020 - 2021,91,83,0.91,,,,,,
,,2021 - 2022,114,104,0.91,,,,,,
,,2022 - 2023,120,110,0.92,,,,,,
,21. Nalanda,2000 - 2001,104,61,0.59,,,,,,
,,2001 - 2002,42,24,0.57,,,,,,
,,2002 - 2003,58,37,0.64,,,,,,
,,2003 - 2004,30,21,0.7,,,,,,
,,2004 - 2005,30,20,0.67,,,,,,
,,2005 - 2006,45,35,0.78,,,,,,
,,2007 - 2008,54,39,0.72,,,,,,
,,2016 - 2017,"1,149.00","1,021.00",0.89,,,,,,
