State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,,,,,,,2,0.1,0.05,,,
,,2005 - 2006,2,0.7,0.35,,,,,,,,,
,,2006 - 2007,20,7,0.35,,,,,,,,,
,,2007 - 2008,4,1.4,0.35,,,,,,,,,
,,2009 - 2010,11,4.1,0.37,,,,,,,,,
,,2010 - 2011,3,1.1,0.37,,,,,,,,,
,,2011 - 2012,2,0.8,0.4,,,,,,,,,
,,2012 - 2013,1,0.4,0.4,,,,,,,,,
,,2014 - 2015,1,0.4,0.4,,,,,,,,,
,,2017 - 2018,2,0.8,0.4,,,,,,,,,
,3. Rajauri,2003 - 2004,,,,,,,1,0.1,0.1,,,
,4. Udhampur,2001 - 2002,,,,,,,4,1,0.25,,,
,,2002 - 2003,,,,,,,4,1,0.25,,,
,,2003 - 2004,,,,,,,4,1,0.25,,,
,,2005 - 2006,2,0.6,0.3,,,,,,,,,
,,2007 - 2008,2,0.6,0.3,,,,,,,,,
9. Karnataka,1. Bagalkot,2009 - 2010,,,,,,,1,1,1,,,
,,2018 - 2019,,,,,,,2,2,1,,,
,,2019 - 2020,,,,,,,7,6,0.86,,,
,,2020 - 2021,,,,,,,2,2,1,,,
,,2021 - 2022,,,,,,,4,3,0.75,,,
,,2022 - 2023,,,,,,,2,1,0.5,,,
,2. Bangalore rural,2013 - 2014,,,,,,,48,39,0.81,,,
,,2018 - 2019,,,,,,,3,2,0.67,,,
,,2019 - 2020,,,,,,,2,2,1,,,
,,2020 - 2021,,,,,,,3,2,0.67,,,
,3. Belgaum,2000 - 2001,,,,,,,"26,319.00","27,328.00",1.04,,,
,,2002 - 2003,,,,,,,"22,278.00","22,984.00",1.03,,,
,,2003 - 2004,,,,,,,"24,760.00","17,053.00",0.69,,,
,,2004 - 2005,,,,,,,"20,707.00","19,731.00",0.95,,,
,,2005 - 2006,,,,,,,"20,109.00","21,663.00",1.08,,,
,,2006 - 2007,,,,,,,"19,667.00","11,920.00",0.61,,,
,,2007 - 2008,,,,,,,"18,585.00","12,871.00",0.69,,,
,,2008 - 2009,,,,,,,"22,366.00","24,902.00",1.11,,,
,,2009 - 2010,,,,,,,"19,965.00","19,062.00",0.95,,,
,,2010 - 2011,,,,,,,"18,516.00","25,664.00",1.39,,,
,,2011 - 2012,,,,,,,"14,746.00","15,578.00",1.06,,,
,,2012 - 2013,,,,,,,"15,703.00","16,484.00",1.05,,,
,,2013 - 2014,,,,,,,"9,492.00","15,609.00",1.64,,,
,,2014 - 2015,,,,,,,"8,786.00","11,685.00",1.33,,,
,,2016 - 2017,,,,,,,"10,561.00","16,093.00",1.52,,,
,,2017 - 2018,,,,,,,"12,169.00","20,451.00",1.68,,,
,,2018 - 2019,,,,,,,"8,217.00","10,015.00",1.22,,,
,,2019 - 2020,,,,,,,"6,479.00","8,266.00",1.28,,,
,,2020 - 2021,,,,,,,"5,935.00","6,588.00",1.11,,,
,,2021 - 2022,,,,,,,"5,441.00","6,654.00",1.22,,,
,,2022 - 2023,,,,,,,"5,064.00","4,208.00",0.83,,,
,4. Bellary,2000 - 2001,,,,,,,"1,069.00",790,0.74,,,
,,2002 - 2003,,,,,,,135,48,0.36,,,
,,2003 - 2004,,,,,,,303,170,0.56,,,
,,2004 - 2005,,,,,,,560,413,0.74,,,
,,2005 - 2006,,,,,,,379,240,0.63,,,
,,2006 - 2007,,,,,,,"1,069.00",476,0.45,,,
,,2007 - 2008,,,,,,,245,104,0.42,,,
,,2008 - 2009,,,,,,,215,109,0.51,,,
,,2009 - 2010,,,,,,,466,359,0.77,,,
,,2010 - 2011,,,,,,,884,966,1.09,,,
,,2011 - 2012,,,,,,,218,200,0.92,,,
,,2012 - 2013,,,,,,,15,9,0.6,,,
,,2013 - 2014,,,,,,,9,7,0.78,,,
,,2014 - 2015,,,,,,,96,69,0.72,,,
,,2016 - 2017,,,,,,,34,25,0.74,,,
,,2017 - 2018,,,,,,,25,23,0.92,,,
,,2018 - 2019,,,,,,,109,90,0.83,,,
,,2019 - 2020,,,,,,,206,179,0.87,,,
,,2020 - 2021,,,,,,,566,469,0.83,,,
,,2021 - 2022,,,,,,,774,614,0.79,,,
,,2022 - 2023,,,,,,,4,3,0.75,,,
,5. Bengaluru urban,2018 - 2019,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,7,6,0.86,,,
,,2020 - 2021,,,,,,,2,2,1,,,
,,2022 - 2023,,,,,,,3,2,0.67,,,
,6. Bidar,2018 - 2019,,,,,,,2,2,1,,,
,,2020 - 2021,,,,,,,3,2,0.67,,,
,,2021 - 2022,,,,,,,3,2,0.67,,,
,7. Bijapur,2018 - 2019,,,,,,,2,2,1,,,
,,2019 - 2020,,,,,,,4,3,0.75,,,
,,2020 - 2021,,,,,,,9,7,0.78,,,
,,2021 - 2022,,,,,,,3,2,0.67,,,
,,2022 - 2023,,,,,,,10,7,0.7,,,
,8. Chamarajanagar,2000 - 2001,,,,,,,65,48,0.74,,,
,,2002 - 2003,,,,,,,108,78,0.72,,,
,,2003 - 2004,,,,,,,97,55,0.57,,,
,,2004 - 2005,,,,,,,100,74,0.74,,,
,,2005 - 2006,,,,,,,180,114,0.63,,,
,,2006 - 2007,,,,,,,131,58,0.44,,,
,,2007 - 2008,,,,,,,122,52,0.43,,,
,,2008 - 2009,,,,,,,161,82,0.51,,,
,,2009 - 2010,,,,,,,154,119,0.77,,,
,,2010 - 2011,,,,,,,154,168,1.09,,,
,,2011 - 2012,,,,,,,94,86,0.91,,,
,,2012 - 2013,,,,,,,10,6,0.6,,,
,,2013 - 2014,,,,,,,258,212,0.82,,,
,,2014 - 2015,,,,,,,88,63,0.72,,,
,,2016 - 2017,,,,,,,11,8,0.73,,,
,,2017 - 2018,,,,,,,12,11,0.92,,,
,,2018 - 2019,,,,,,,67,55,0.82,,,
,,2019 - 2020,,,,,,,213,185,0.87,,,
,,2020 - 2021,,,,,,,104,86,0.83,,,
,,2021 - 2022,,,,,,,142,113,0.8,,,
,,2022 - 2023,,,,,,,28,21,0.75,,,
,9. Chikballapur,2018 - 2019,,,,,,,2,2,1,,,
,,2019 - 2020,,,,,,,6,5,0.83,,,
,,2020 - 2021,,,,,,,5,4,0.8,,,
,,2021 - 2022,,,,,,,16,12,0.75,,,
,,2022 - 2023,,,,,,,4,3,0.75,,,
,10. Chikmagalur,2000 - 2001,,,,,,,115,85,0.74,,,
,,2002 - 2003,,,,,,,138,99,0.72,,,
,,2003 - 2004,,,,,,,85,48,0.56,,,
,,2004 - 2005,,,,,,,135,100,0.74,,,
,,2005 - 2006,,,,,,,136,86,0.63,,,
,,2006 - 2007,,,,,,,78,35,0.45,,,
,,2007 - 2008,,,,,,,52,22,0.42,,,
,,2008 - 2009,,,,,,,38,19,0.5,,,
,,2009 - 2010,,,,,,,35,27,0.77,,,
,,2010 - 2011,,,,,,,38,42,1.11,,,
,,2011 - 2012,,,,,,,40,37,0.93,,,
,,2012 - 2013,,,,,,,16,10,0.63,,,
,,2013 - 2014,,,,,,,15,12,0.8,,,
,,2014 - 2015,,,,,,,18,13,0.72,,,
,,2016 - 2017,,,,,,,7,5,0.71,,,
,,2018 - 2019,,,,,,,3,2,0.67,,,
,,2019 - 2020,,,,,,,27,23,0.85,,,
,,2020 - 2021,,,,,,,9,7,0.78,,,
,,2021 - 2022,,,,,,,1,1,1,,,
,,2022 - 2023,,,,,,,6,4,0.67,,,
,11. Chitradurga,2000 - 2001,,,,,,,666,492,0.74,,,
,,2002 - 2003,,,,,,,712,512,0.72,,,
,,2003 - 2004,,,,,,,622,350,0.56,,,
,,2004 - 2005,,,,,,,287,212,0.74,,,
,,2005 - 2006,,,,,,,312,198,0.63,,,
,,2006 - 2007,,,,,,,284,127,0.45,,,
,,2007 - 2008,,,,,,,184,78,0.42,,,
,,2008 - 2009,,,,,,,356,181,0.51,,,
,,2009 - 2010,,,,,,,457,352,0.77,,,
,,2010 - 2011,,,,,,,490,535,1.09,,,
,,2011 - 2012,,,,,,,438,401,0.92,,,
,,2012 - 2013,,,,,,,165,103,0.62,,,
,,2013 - 2014,,,,,,,44,36,0.82,,,
,,2018 - 2019,,,,,,,14,12,0.86,,,
,,2019 - 2020,,,,,,,51,44,0.86,,,
,,2020 - 2021,,,,,,,78,65,0.83,,,
,,2021 - 2022,,,,,,,64,51,0.8,,,
,,2022 - 2023,,,,,,,26,20,0.77,,,
,12. Dakshin kannad,2018 - 2019,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,19,16,0.84,,,
,,2021 - 2022,,,,,,,1,1,1,,,
,13. Davangere,2000 - 2001,,,,,,,"3,886.00","2,872.00",0.74,,,
,,2002 - 2003,,,,,,,"1,123.00",401,0.36,,,
,,2003 - 2004,,,,,,,981,492,0.5,,,
,,2004 - 2005,,,,,,,"1,623.00","1,198.00",0.74,,,
,,2005 - 2006,,,,,,,898,569,0.63,,,
,,2006 - 2007,,,,,,,"1,005.00",431,0.43,,,
,,2007 - 2008,,,,,,,533,283,0.53,,,
,,2008 - 2009,,,,,,,389,198,0.51,,,
,,2009 - 2010,,,,,,,"1,505.00","1,158.00",0.77,,,
,,2010 - 2011,,,,,,,"1,125.00",969,0.86,,,
,,2011 - 2012,,,,,,,597,547,0.92,,,
,,2012 - 2013,,,,,,,395,247,0.63,,,
,,2013 - 2014,,,,,,,393,323,0.82,,,
,,2014 - 2015,,,,,,,378,271,0.72,,,
,,2016 - 2017,,,,,,,283,206,0.73,,,
,,2017 - 2018,,,,,,,95,89,0.94,,,
,,2018 - 2019,,,,,,,75,62,0.83,,,
,,2019 - 2020,,,,,,,133,116,0.87,,,
,,2020 - 2021,,,,,,,91,75,0.82,,,
,,2021 - 2022,,,,,,,113,89,0.79,,,
,,2022 - 2023,,,,,,,54,40,0.74,,,
,14. Dharwad,2000 - 2001,,,,,,,2,1,0.5,,,
,,2002 - 2003,,,,,,,7,5,0.71,,,
,,2006 - 2007,,,,,,,81,36,0.44,,,
,,2007 - 2008,,,,,,,34,14,0.41,,,
,,2008 - 2009,,,,,,,55,28,0.51,,,
,,2009 - 2010,,,,,,,7,5,0.71,,,
,,2010 - 2011,,,,,,,5,5,1,,,
,,2011 - 2012,,,,,,,5,5,1,,,
,,2019 - 2020,,,,,,,3,3,1,,,
,15. Gadag,2000 - 2001,,,,,,,410,303,0.74,,,
,,2002 - 2003,,,,,,,72,52,0.72,,,
,,2003 - 2004,,,,,,,9,5,0.56,,,
,,2004 - 2005,,,,,,,52,38,0.73,,,
,,2005 - 2006,,,,,,,18,11,0.61,,,
,,2006 - 2007,,,,,,,18,8,0.44,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,62,48,0.77,,,
,,2010 - 2011,,,,,,,79,86,1.09,,,
,,2013 - 2014,,,,,,,5,4,0.8,,,
,,2014 - 2015,,,,,,,5,4,0.8,,,
,,2016 - 2017,,,,,,,2,1,0.5,,,
,,2017 - 2018,,,,,,,2,2,1,,,
,,2018 - 2019,,,,,,,5,4,0.8,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,7,6,0.86,,,
,,2021 - 2022,,,,,,,4,3,0.75,,,
,,2022 - 2023,,,,,,,2,1,0.5,,,
,16. Gulbarga,2002 - 2003,,,,,,,4,3,0.75,,,
,,2018 - 2019,,,,,,,8,7,0.88,,,
,,2020 - 2021,,,,,,,82,68,0.83,,,
,17. Hassan,2000 - 2001,,,,,,,"3,897.00","2,636.00",0.68,,,
,,2002 - 2003,,,,,,,"7,165.00","4,894.00",0.68,,,
,,2003 - 2004,,,,,,,"6,287.00","4,330.00",0.69,,,
,,2004 - 2005,,,,,,,"7,876.00","6,487.00",0.82,,,
,,2005 - 2006,,,,,,,"8,964.00","4,777.00",0.53,,,
,,2006 - 2007,,,,,,,"8,875.00","7,074.00",0.8,,,
,,2007 - 2008,,,,,,,"9,315.00","6,487.00",0.7,,,
,,2008 - 2009,,,,,,,"9,180.00","7,483.00",0.82,,,
,,2009 - 2010,,,,,,,"12,050.00","10,806.00",0.9,,,
,,2010 - 2011,,,,,,,"15,525.00","14,881.00",0.96,,,
,,2011 - 2012,,,,,,,"15,902.00","15,666.00",0.99,,,
,,2012 - 2013,,,,,,,"14,688.00","14,149.00",0.96,,,
,,2013 - 2014,,,,,,,"13,850.00","11,881.00",0.86,,,
,,2014 - 2015,,,,,,,"12,037.00","10,543.00",0.88,,,
,,2016 - 2017,,,,,,,"11,215.00","9,259.00",0.83,,,
,,2017 - 2018,,,,,,,"12,440.00","10,908.00",0.88,,,
,,2018 - 2019,,,,,,,"11,116.00","7,318.00",0.66,,,
,,2019 - 2020,,,,,,,"10,190.00","6,602.00",0.65,,,
,,2020 - 2021,,,,,,,"7,562.00","4,847.00",0.64,,,
,,2021 - 2022,,,,,,,"8,988.00","4,817.00",0.54,,,
,,2022 - 2023,,,,,,,"6,524.00","3,529.00",0.54,,,
,18. Haveri,2000 - 2001,,,,,,,26,19,0.73,,,
,,2002 - 2003,,,,,,,3,2,0.67,,,
,,2003 - 2004,,,,,,,5,3,0.6,,,
,,2004 - 2005,,,,,,,7,5,0.71,,,
,,2005 - 2006,,,,,,,22,14,0.64,,,
,,2006 - 2007,,,,,,,124,55,0.44,,,
,,2007 - 2008,,,,,,,94,40,0.43,,,
,,2008 - 2009,,,,,,,65,33,0.51,,,
,,2009 - 2010,,,,,,,15,12,0.8,,,
,,2016 - 2017,,,,,,,1,1,1,,,
,,2018 - 2019,,,,,,,4,3,0.75,,,
,,2019 - 2020,,,,,,,6,5,0.83,,,
,,2020 - 2021,,,,,,,4,3,0.75,,,
,,2021 - 2022,,,,,,,3,2,0.67,,,
,,2022 - 2023,,,,,,,2,1,0.5,,,
,19. Kodagu,2000 - 2001,,,,,,,320,237,0.74,,,
,,2002 - 2003,,,,,,,375,270,0.72,,,
,,2003 - 2004,,,,,,,305,172,0.56,,,
,,2004 - 2005,,,,,,,300,221,0.74,,,
,,2005 - 2006,,,,,,,260,165,0.63,,,
,,2006 - 2007,,,,,,,260,116,0.45,,,
,,2007 - 2008,,,,,,,237,100,0.42,,,
,,2008 - 2009,,,,,,,277,141,0.51,,,
,,2009 - 2010,,,,,,,259,199,0.77,,,
,,2010 - 2011,,,,,,,244,267,1.09,,,
,,2011 - 2012,,,,,,,225,206,0.92,,,
,,2012 - 2013,,,,,,,127,80,0.63,,,
,,2013 - 2014,,,,,,,130,107,0.82,,,
,,2014 - 2015,,,,,,,223,160,0.72,,,
,,2016 - 2017,,,,,,,28,20,0.71,,,
,,2017 - 2018,,,,,,,28,26,0.93,,,
,,2019 - 2020,,,,,,,5,4,0.8,,,
,,2021 - 2022,,,,,,,2,2,1,,,
,20. Kolar,2019 - 2020,,,,,,,12,10,0.83,,,
,,2020 - 2021,,,,,,,2,2,1,,,
,21. Koppal,2018 - 2019,,,,,,,14,12,0.86,,,
,,2019 - 2020,,,,,,,4,3,0.75,,,
,,2020 - 2021,,,,,,,13,11,0.85,,,
,,2021 - 2022,,,,,,,10,8,0.8,,,
,,2022 - 2023,,,,,,,8,6,0.75,,,
,22. Mandya,2012 - 2013,,,,,,,2,1,0.5,,,
,,2013 - 2014,,,,,,,6,5,0.83,,,
,,2016 - 2017,,,,,,,2,1,0.5,,,
,,2018 - 2019,,,,,,,9,7,0.78,,,
,,2019 - 2020,,,,,,,13,11,0.85,,,
,,2020 - 2021,,,,,,,10,8,0.8,,,
,,2021 - 2022,,,,,,,9,7,0.78,,,
,23. Mysore,2000 - 2001,,,,,,,"33,375.00","17,058.00",0.51,,,
,,2002 - 2003,,,,,,,"49,790.00","29,563.00",0.59,,,
,,2003 - 2004,,,,,,,"64,147.00","32,176.00",0.5,,,
,,2004 - 2005,,,,,,,"59,482.00","38,821.00",0.65,,,
,,2005 - 2006,,,,,,,"69,104.00","35,779.00",0.52,,,
,,2006 - 2007,,,,,,,"71,231.00","25,444.00",0.36,,,
,,2007 - 2008,,,,,,,"82,890.00","27,482.00",0.33,,,
,,2008 - 2009,,,,,,,"73,995.00","21,229.00",0.29,,,
,,2009 - 2010,,,,,,,"83,050.00","58,700.00",0.71,,,
,,2010 - 2011,,,,,,,"88,280.00","93,343.00",1.06,,,
,,2011 - 2012,,,,,,,"82,234.00","72,185.00",0.88,,,
,,2012 - 2013,,,,,,,"75,310.00","35,558.00",0.47,,,
,,2013 - 2014,,,,,,,"84,544.00","61,282.00",0.72,,,
,,2014 - 2015,,,,,,,"72,647.00","44,721.00",0.62,,,
,,2016 - 2017,,,,,,,"67,594.00","39,749.00",0.59,,,
,,2017 - 2018,,,,,,,"70,596.00","57,677.00",0.82,,,
,,2018 - 2019,,,,,,,"44,109.00","34,780.00",0.79,,,
,,2019 - 2020,,,,,,,"78,005.00","67,435.00",0.86,,,
,,2020 - 2021,,,,,,,"56,331.00","46,473.00",0.82,,,
,,2021 - 2022,,,,,,,"64,668.00","51,217.00",0.79,,,
,,2022 - 2023,,,,,,,"63,826.00","48,380.00",0.76,,,
,24. Raichur,2002 - 2003,,,,,,,9,6,0.67,,,
,,2003 - 2004,,,,,,,64,36,0.56,,,
,,2004 - 2005,,,,,,,83,61,0.73,,,
,,2005 - 2006,,,,,,,201,127,0.63,,,
,,2006 - 2007,,,,,,,920,410,0.45,,,
,,2007 - 2008,,,,,,,645,273,0.42,,,
,,2008 - 2009,,,,,,,922,469,0.51,,,
,,2009 - 2010,,,,,,,69,53,0.77,,,
,,2018 - 2019,,,,,,,41,34,0.83,,,
,,2019 - 2020,,,,,,,83,72,0.87,,,
,,2020 - 2021,,,,,,,151,125,0.83,,,
,,2021 - 2022,,,,,,,157,124,0.79,,,
,,2022 - 2023,,,,,,,256,190,0.74,,,
,25. Ramanagara,2011 - 2012,,,,,,,18,16,0.89,,,
,,2018 - 2019,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,4,3,0.75,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,,2022 - 2023,,,,,,,1,1,1,,,
,26. Shimoga,2000 - 2001,,,,,,,331,245,0.74,,,
,,2002 - 2003,,,,,,,256,184,0.72,,,
,,2003 - 2004,,,,,,,272,153,0.56,,,
,,2004 - 2005,,,,,,,116,86,0.74,,,
,,2005 - 2006,,,,,,,121,77,0.64,,,
,,2006 - 2007,,,,,,,78,35,0.45,,,
,,2007 - 2008,,,,,,,78,33,0.42,,,
,,2008 - 2009,,,,,,,35,18,0.51,,,
,,2009 - 2010,,,,,,,63,48,0.76,,,
,,2010 - 2011,,,,,,,48,52,1.08,,,
,,2011 - 2012,,,,,,,39,36,0.92,,,
,,2012 - 2013,,,,,,,15,9,0.6,,,
,,2013 - 2014,,,,,,,2,2,1,,,
,,2014 - 2015,,,,,,,6,4,0.67,,,
,,2016 - 2017,,,,,,,1,1,1,,,
,,2017 - 2018,,,,,,,4,4,1,,,
,,2018 - 2019,,,,,,,3,2,0.67,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,,2021 - 2022,,,,,,,1,1,1,,,
,27. Tumkur,2000 - 2001,,,,,,,23,17,0.74,,,
,,2002 - 2003,,,,,,,175,126,0.72,,,
,,2003 - 2004,,,,,,,113,64,0.57,,,
,,2004 - 2005,,,,,,,75,55,0.73,,,
,,2005 - 2006,,,,,,,54,34,0.63,,,
,,2006 - 2007,,,,,,,77,34,0.44,,,
,,2007 - 2008,,,,,,,40,17,0.43,,,
,,2008 - 2009,,,,,,,19,10,0.53,,,
,,2009 - 2010,,,,,,,5,4,0.8,,,
,,2010 - 2011,,,,,,,4,4,1,,,
,,2011 - 2012,,,,,,,2,2,1,,,
,,2014 - 2015,,,,,,,38,27,0.71,,,
,,2016 - 2017,,,,,,,2,1,0.5,,,
,,2018 - 2019,,,,,,,25,21,0.84,,,
,,2019 - 2020,,,,,,,15,13,0.87,,,
,,2020 - 2021,,,,,,,15,12,0.8,,,
,,2021 - 2022,,,,,,,18,14,0.78,,,
,,2022 - 2023,,,,,,,3,2,0.67,,,
,28. Udupi,2018 - 2019,,,,,,,4,3,0.75,,,
,,2020 - 2021,,,,,,,2,2,1,,,
,,2022 - 2023,,,,,,,1,1,1,,,
,29. Uttar kannad,2005 - 2006,,,,,,,40,25,0.63,,,
,,2006 - 2007,,,,,,,132,59,0.45,,,
,,2007 - 2008,,,,,,,108,46,0.43,,,
,,2008 - 2009,,,,,,,65,33,0.51,,,
,,2009 - 2010,,,,,,,5,4,0.8,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,30. Vijayanagar,2022 - 2023,,,,,,,396,295,0.74,,,
,31. Yadgir,2018 - 2019,,,,,,,3,2,0.67,,,
10. Kerala,1. Kasaragod,2000 - 2001,,,,,,,213,"1,186.00",5.57,,,
,,2001 - 2002,,,,,,,71,395,5.56,,,
,,2002 - 2003,,,,,,,90,501,5.57,,,
,,2003 - 2004,,,,,,,76,423,5.57,,,
,,2004 - 2005,,,,,,,40,223,5.58,,,
,,2005 - 2006,,,,,,,43,69,1.6,,,
,,2006 - 2007,,,,,,,31,50,1.61,,,
,,2007 - 2008,,,,,,,43,69,1.6,,,
,,2008 - 2009,,,,,,,39,63,1.62,,,
,,2009 - 2010,,,,,,,29,34,1.17,,,
,,2011 - 2012,,,,,,,43,69,1.6,,,
,,2012 - 2013,,,,,,,13,23,1.77,,,
,,2013 - 2014,,,,,,,9,17,1.89,,,
,,2014 - 2015,,,,,,,13,21,1.62,,,
,,2015 - 2016,,,,,,,9,15,1.67,,,
,,2016 - 2017,,,,,,,12,18,1.5,,,
,,2017 - 2018,,,,,,,10,16,1.6,,,
,,2018 - 2019,,,,,,,7.28,11.65,1.6,,,
,,2019 - 2020,,,,,,,8,14.4,1.8,,,
,,2020 - 2021,,,,,,,6,11,1.83,,,
,,2021 - 2022,,,,,,,3,5,1.67,,,
,,2022 - 2023,,,,,,,7,10,1.43,,,
11. Madhya Pradesh,1. Anuppur,2011 - 2012,,,,,,,1,,0,,,
,,2013 - 2014,,,,,,,2,1,0.5,,,
,2. Balaghat,2001 - 2002,,,,,,,3,2,0.67,,,
,,2002 - 2003,,,,,,,1,1,1,,,
,3. Barwani,2001 - 2002,,,,,,,67,40,0.6,,,
,,2002 - 2003,,,,,,,44,23,0.52,,,
,,2006 - 2007,,,,,,,63,27,0.43,,,
,,2007 - 2008,,,,,,,23,11,0.48,,,
,,2008 - 2009,,,,,,,23,11,0.48,,,
,,2009 - 2010,,,,,,,17,7,0.41,,,
,,2010 - 2011,,,,,,,13,8,0.62,,,
,,2011 - 2012,,,,,,,1,,0,,,
,4. Chhatarpur,2001 - 2002,,,,,,,72,32,0.44,,,
,,2002 - 2003,,,,,,,54,21,0.39,,,
,,2006 - 2007,,,,,,,66,23,0.35,,,
,,2007 - 2008,,,,,,,46,14,0.3,,,
,,2008 - 2009,,,,,,,153,55,0.36,,,
,,2009 - 2010,,,,,,,39,14,0.36,,,
,,2010 - 2011,,,,,,,49,18,0.37,,,
,,2011 - 2012,,,,,,,73,17,0.23,,,
,,2012 - 2013,,,,,,,77,33,0.43,,,
,,2013 - 2014,,,,,,,53,22,0.42,,,
,5. Datia,2009 - 2010,,,,,,,192,87,0.45,,,
,6. Dhar,2001 - 2002,,,,,,,23,7,0.3,,,
,,2002 - 2003,,,,,,,2,1,0.5,,,
,,2006 - 2007,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,1,,0,,,
,,2010 - 2011,,,,,,,2,1,0.5,,,
,,2011 - 2012,,,,,,,1,,0,,,
,,2012 - 2013,,,,,,,1,,0,,,
,7. Khargone,2001 - 2002,,,,,,,2,1,0.5,,,
,,2002 - 2003,,,,,,,1,1,1,,,
,,2012 - 2013,,,,,,,10,5,0.5,,,
,8. Mandsaur,2006 - 2007,,,,,,,1,,0,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,2,1,0.5,,,
,,2010 - 2011,,,,,,,9,5,0.56,,,
,,2011 - 2012,,,,,,,1,,0,,,
,,2012 - 2013,,,,,,,3,1,0.33,,,
,,2013 - 2014,,,,,,,3,2,0.67,,,
,9. Panna,2001 - 2002,,,,,,,1,1,1,,,
,,2002 - 2003,,,,,,,1,0.01,0.01,,,
,10. Rewa,2001 - 2002,,,,,,,12,9,0.75,,,
,,2002 - 2003,,,,,,,5,3,0.6,,,
,,2006 - 2007,,,,,,,4,3,0.75,,,
,,2007 - 2008,,,,,,,5,3,0.6,,,
,,2008 - 2009,,,,,,,3,3,1,,,
,,2009 - 2010,,,,,,,7,6,0.86,,,
,,2010 - 2011,,,,,,,8,8,1,,,
,,2011 - 2012,,,,,,,16,9,0.56,,,
,,2012 - 2013,,,,,,,6,5,0.83,,,
,,2013 - 2014,,,,,,,12,8,0.67,,,
,11. Sagar,2011 - 2012,,,,,,,74,20,0.27,,,
,12. Satna,2001 - 2002,,,,,,,15,6,0.4,,,
,,2002 - 2003,,,,,,,13,4,0.31,,,
,,2006 - 2007,,,,,,,13,4,0.31,,,
,,2007 - 2008,,,,,,,19,6,0.32,,,
,,2008 - 2009,,,,,,,12,4,0.33,,,
,,2009 - 2010,,,,,,,18,8,0.44,,,
,,2010 - 2011,,,,,,,8,3,0.38,,,
,,2011 - 2012,,,,,,,10,3,0.3,,,
,,2012 - 2013,,,,,,,11,3,0.27,,,
,,2013 - 2014,,,,,,,9,2,0.22,,,
,13. Shahdol,2001 - 2002,,,,,,,12,7,0.58,,,
,,2002 - 2003,,,,,,,12,7,0.58,,,
,,2006 - 2007,,,,,,,11,5,0.45,,,
,,2007 - 2008,,,,,,,13,6,0.46,,,
,,2008 - 2009,,,,,,,11,5,0.45,,,
,,2009 - 2010,,,,,,,9,4,0.44,,,
,,2010 - 2011,,,,,,,8,4,0.5,,,
,,2011 - 2012,,,,,,,5,1,0.2,,,
,,2012 - 2013,,,,,,,4,2,0.5,,,
,,2013 - 2014,,,,,,,3,2,0.67,,,
,14. Shajapur,2001 - 2002,,,,,,,1,0.01,0.01,,,
,,2002 - 2003,,,,,,,2,1,0.5,,,
,,2006 - 2007,,,,,,,1,,0,,,
,,2007 - 2008,,,,,,,1,,0,,,
,,2010 - 2011,,,,,,,1,,0,,,
,,2012 - 2013,,,,,,,8,3,0.38,,,
,15. Sidhi,2001 - 2002,,,,,,,7,3,0.43,,,
,,2002 - 2003,,,,,,,7,4,0.57,,,
,,2006 - 2007,,,,,,,6,3,0.5,,,
,,2007 - 2008,,,,,,,3,2,0.67,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,1,1,1,,,
,,2010 - 2011,,,,,,,1,1,1,,,
,,2012 - 2013,,,,,,,1,1,1,,,
,16. Singrauli,2009 - 2010,,,,,,,1,1,1,,,
,17. Ujjain,2001 - 2002,,,,,,,40,12,0.3,,,
,,2002 - 2003,,,,,,,31,9,0.29,,,
,,2006 - 2007,,,,,,,37,20,0.54,,,
,,2007 - 2008,,,,,,,45,24,0.53,,,
,,2008 - 2009,,,,,,,25,13,0.52,,,
,,2009 - 2010,,,,,,,25,13,0.52,,,
,,2010 - 2011,,,,,,,35,18,0.51,,,
,,2012 - 2013,,,,,,,27,14,0.52,,,
,,2013 - 2014,,,,,,,18,12,0.67,,,
12. Maharashtra,1. Kolhapur,2013 - 2014,,,,,,,"1,500.00","1,800.00",1.2,,,
,,2014 - 2015,,,,,,,"1,300.00","2,100.00",1.62,,,
