State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,10. Kakinada,2022 - 2023,,,,90,174,1.93,,,,,,
,11. Konaseema,2022 - 2023,,,,117,303,2.59,,,,,,
,12. Krishna,2000 - 2001,,,,,,,"2,669.00","7,177.00",2.69,,,
,,2001 - 2002,,,,,,,"3,784.00","6,551.00",1.73,,,
,,2002 - 2003,,,,,,,"3,832.00","9,414.00",2.46,,,
,,2003 - 2004,,,,,,,"4,136.00","7,924.00",1.92,,,
,,2004 - 2005,,,,,,,"5,097.00","9,589.00",1.88,,,
,,2005 - 2006,,,,,,,"4,747.00","10,060.00",2.12,,,
,,2006 - 2007,,,,,,,"5,196.00","11,685.00",2.25,,,
,,2007 - 2008,,,,,,,"5,000.00","12,000.00",2.4,,,
,,2008 - 2009,,,,,,,"7,145.00","19,515.00",2.73,,,
,,2009 - 2010,,,,,,,"7,027.00","19,474.00",2.77,,,
,,2010 - 2011,,,,,,,"5,160.00","12,771.00",2.48,,,
,,2011 - 2012,,,,,,,"3,425.00","13,256.00",3.87,,,
,,2012 - 2013,,,,,,,"3,000.00","13,000.00",4.33,,,
,,2013 - 2014,,,,"1,591.00","7,470.00",4.7,,,,,,
,,2014 - 2015,,,,"2,006.00","12,527.00",6.24,,,,,,
,,2015 - 2016,,,,"1,539.00","8,394.00",5.45,,,,,,
,,2016 - 2017,,,,"1,479.00","6,766.00",4.57,,,,,,
,,2017 - 2018,,,,"1,320.00","6,943.00",5.26,,,,,,
,,2018 - 2019,,,,"1,702.00","8,684.00",5.1,,,,,,
,,2019 - 2020,,,,"1,152.00","5,657.00",4.91,,,,,,
,,2020 - 2021,,,,"1,066.00","5,631.00",5.28,,,,,,
,,2021 - 2022,,,,"1,207.00","7,044.00",5.84,,,,,,
,,2022 - 2023,,,,49,127,2.59,,,,,,
,13. Kurnool,2000 - 2001,,,,,,,"13,264.00","16,890.00",1.27,,,
,,2001 - 2002,,,,,,,"13,217.00","13,309.00",1.01,,,
,,2002 - 2003,,,,,,,"7,240.00","6,830.00",0.94,,,
,,2003 - 2004,,,,,,,"13,777.00","17,318.00",1.26,,,
,,2004 - 2005,,,,,,,"12,981.00","14,110.00",1.09,,,
,,2005 - 2006,,,,,,,"13,857.00","14,927.00",1.08,,,
,,2006 - 2007,,,,,,,"8,155.00","9,251.00",1.13,,,
,,2007 - 2008,,,,,,,"7,000.00","10,000.00",1.43,,,
,,2008 - 2009,,,,,,,"11,614.00","18,513.00",1.59,,,
,,2009 - 2010,,,,,,,"18,627.00","31,479.00",1.69,,,
,,2010 - 2011,,,,,,,"12,141.00","21,405.00",1.76,,,
,,2011 - 2012,,,,,,,"9,007.00","14,529.00",1.61,,,
