State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,,,,,,,456,"2,134.00",4.68,,,
,,2003 - 2004,,,,,,,827,"5,930.00",7.17,,,
,,2004 - 2005,,,,,,,479,"2,778.00",5.8,,,
,,2005 - 2006,,,,,,,503,"3,068.00",6.1,,,
,,2007 - 2008,,,,,,,322,"1,542.00",4.79,,,
,,2008 - 2009,,,,,,,437,"2,836.00",6.49,,,
,,2016 - 2017,,,,671,"4,979.00",7.42,,,,,,
,,2017 - 2018,,,,672,"6,362.00",9.47,,,,,,
,,2018 - 2019,,,,636,"4,032.00",6.34,,,,,,
,,2019 - 2020,,,,540,"6,159.00",11.41,,,,,,
,,2020 - 2021,,,,576,"6,115.00",10.62,,,,,,
,,2021 - 2022,,,,591,"8,931.00",15.11,,,,,,
,,2022 - 2023,,,,598,"9,162.00",15.32,,,,,,
,11. Gopalganj,2000 - 2001,,,,,,,218,"1,583.00",7.26,,,
,,2001 - 2002,,,,,,,212,"1,586.00",7.48,,,
,,2002 - 2003,,,,,,,267,"2,152.00",8.06,,,
,,2003 - 2004,,,,,,,181,"1,529.00",8.45,,,
,,2004 - 2005,,,,,,,194,"1,740.00",8.97,,,
,,2005 - 2006,,,,,,,91,784,8.62,,,
,,2007 - 2008,,,,,,,49,464,9.47,,,
,,2008 - 2009,,,,,,,17,158,9.29,,,
,,2016 - 2017,,,,7,35,5,,,,,,
,,2017 - 2018,,,,15,204,13.6,,,,,,
,,2018 - 2019,,,,16,177,11.06,,,,,,
,,2019 - 2020,,,,69,689,9.99,,,,,,
,,2020 - 2021,,,,62,933,15.05,,,,,,
,,2021 - 2022,,,,59,"1,089.00",18.46,,,,,,
,,2022 - 2023,,,,4,61,15.25,,,,,,
,12. Jamui,2000 - 2001,,,,,,,249,"1,962.00",7.88,,,
,,2001 - 2002,,,,,,,340,"4,954.00",14.57,,,
,,2002 - 2003,,,,,,,186,"1,598.00",8.59,,,
,,2003 - 2004,,,,,,,141,"1,338.00",9.49,,,
,,2004 - 2005,,,,,,,135,787,5.83,,,
,,2005 - 2006,,,,,,,48,419,8.73,,,
,,2008 - 2009,,,,,,,51,449,8.8,,,
,,2016 - 2017,,,,411,"4,570.00",11.12,,,,,,
,,2017 - 2018,,,,452,"5,548.00",12.27,,,,,,
,,2018 - 2019,,,,265,"3,189.00",12.03,,,,,,
,,2019 - 2020,,,,318,"1,898.00",5.97,,,,,,
,,2020 - 2021,,,,330,"3,737.00",11.32,,,,,,
,,2021 - 2022,,,,281,"4,210.00",14.98,,,,,,
,,2022 - 2023,,,,243,"3,520.00",14.49,,,,,,
,13. Jehanabad,2000 - 2001,,,,,,,191,"1,643.00",8.6,,,
,,2001 - 2002,,,,,,,202,"2,266.00",11.22,,,
,,2002 - 2003,,,,,,,250,"1,170.00",4.68,,,
