State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,6,58,9.67,"1,640.00","1,481.00",0.9,,,,,,
,,2016 - 2017,9,94,10.44,"2,864.00","1,736.00",0.61,,,,,,
,,2017 - 2018,4,39,9.75,"2,684.00","7,578.00",2.82,,,,,,
,,2018 - 2019,8,73,9.13,"3,313.00","1,462.00",0.44,,,,,,
,,2019 - 2020,55,501,9.11,"4,035.00","18,300.00",4.54,,,,,,
,,2020 - 2021,86,842,9.79,"5,302.00","2,258.00",0.43,,,,,,
,,2021 - 2022,59,538,9.12,"6,603.00","6,182.00",0.94,,,,,,
,,2022 - 2023,3,38,12.67,"5,110.00","7,053.00",1.38,,,,,,
,29. Tiruchirappalli,2000 - 2001,,,,,,,"1,977.00","15,958.00",8.07,,,
,,2002 - 2003,,,,,,,"2,495.00","26,514.00",10.63,,,
,,2003 - 2004,,,,,,,"3,030.00","34,844.00",11.5,,,
,,2004 - 2005,,,,,,,"3,410.00","23,153.00",6.79,,,
,,2005 - 2006,,,,,,,"4,134.00","25,379.00",6.14,,,
,,2006 - 2007,,,,,,,"3,993.00","31,869.00",7.98,,,
,,2007 - 2008,,,,,,,"3,996.00","40,818.00",10.21,,,
,,2008 - 2009,,,,,,,"4,895.00","46,274.00",9.45,,,
,,2009 - 2010,,,,,,,"5,204.00","45,905.00",8.82,,,
,,2011 - 2012,,,,,,,"4,710.00","46,641.00",9.9,,,
,,2013 - 2014,425,"2,969.00",6.99,"3,533.00","30,515.00",8.64,,,,,,
,,2014 - 2015,671,"4,769.00",7.11,"2,623.00","24,235.00",9.24,,,,,,
,,2015 - 2016,"1,574.00","10,488.00",6.66,"2,264.00","17,390.00",7.68,,,,,,
,,2016 - 2017,"1,263.00","10,823.00",8.57,"2,121.00","16,313.00",7.69,,,,,,
,,2017 - 2018,734,"4,068.00",5.54,"1,325.00","15,415.00",11.63,,,,,,
,,2018 - 2019,"1,829.00","12,200.00",6.67,"1,935.00","13,031.00",6.73,,,,,,
,,2019 - 2020,"1,181.00","9,950.00",8.43,"2,173.00","17,433.00",8.02,,,,,,
,,2020 - 2021,"1,763.00","16,723.00",9.49,"3,614.00","36,534.00",10.11,,,,,,
,,2021 - 2022,"2,268.00","19,098.00",8.42,"4,506.00","34,767.00",7.72,,,,,,
,,2022 - 2023,"2,069.00","16,007.00",7.74,"3,918.00","26,096.00",6.66,,,,,,
,30. Tirunelveli,2000 - 2001,,,,,,,"1,669.00","11,412.00",6.84,,,
,,2002 - 2003,,,,,,,"1,489.00","14,100.00",9.47,,,
,,2003 - 2004,,,,,,,"1,073.00","8,032.00",7.49,,,
,,2004 - 2005,,,,,,,"1,178.00","12,549.00",10.65,,,
,,2005 - 2006,,,,,,,"1,653.00","14,188.00",8.58,,,
,,2006 - 2007,,,,,,,"1,834.00","25,730.00",14.03,,,
,,2007 - 2008,,,,,,,"1,889.00","22,368.00",11.84,,,
,,2008 - 2009,,,,,,,"2,127.00","33,295.00",15.65,,,
,,2009 - 2010,,,,,,,"2,145.00","26,371.00",12.29,,,
,,2011 - 2012,,,,,,,"1,941.00","24,035.00",12.38,,,
,,2013 - 2014,773,"10,059.00",13.01,115,974,8.47,,,,,,
,,2014 - 2015,"1,731.00","18,645.00",10.77,170,"1,464.00",8.61,,,,,,
,,2015 - 2016,"2,138.00","26,019.00",12.17,117,759,6.49,,,,,,
,,2016 - 2017,"2,300.00","23,753.00",10.33,194,982,5.06,,,,,,
,,2017 - 2018,148,"1,477.00",9.98,53,493,9.3,,,,,,
,,2018 - 2019,"1,071.00","14,979.00",13.99,72,409,5.68,,,,,,
,,2019 - 2020,988,"14,109.00",14.28,80,558,6.98,,,,,,
,,2020 - 2021,39,360,9.23,5,30,6,,,,,,
,,2021 - 2022,33,300,9.09,16,98,6.13,,,,,,
,,2022 - 2023,25,238,9.52,8,61,7.63,,,,,,
,31. Tirupathur,2020 - 2021,15,152,10.13,26,142,5.46,,,,,,
,,2021 - 2022,45,411,9.13,60,359,5.98,,,,,,
,,2022 - 2023,75,715,9.53,6,46,7.67,,,,,,
,32. Tiruppur,2008 - 2009,,,,,,,"3,044.00",,0,,,
,,2009 - 2010,,,,,,,"3,293.00","31,447.00",9.55,,,
,,2011 - 2012,,,,,,,"3,857.00","76,882.00",19.93,,,
,,2013 - 2014,"1,152.00","15,517.00",13.47,"1,388.00","15,616.00",11.25,,,,,,
,,2014 - 2015,"1,090.00","8,874.00",8.14,"1,880.00","22,344.00",11.89,,,,,,
,,2015 - 2016,"1,816.00","28,021.00",15.43,"2,061.00","21,739.00",10.55,,,,,,
,,2016 - 2017,"1,058.00","16,101.00",15.22,686,"8,268.00",12.05,,,,,,
,,2017 - 2018,320,"3,855.00",12.05,"1,414.00","16,049.00",11.35,,,,,,
,,2018 - 2019,"1,041.00","12,671.00",12.17,"1,157.00","15,617.00",13.5,,,,,,
,,2019 - 2020,843,"11,264.00",13.36,"1,500.00","22,181.00",14.79,,,,,,
,,2020 - 2021,"1,146.00","14,790.00",12.91,"1,980.00","2,257.00",1.14,,,,,,
,,2021 - 2022,"2,047.00","20,872.00",10.2,"1,878.00","22,312.00",11.88,,,,,,
,,2022 - 2023,"1,500.00","22,334.00",14.89,"1,502.00","19,937.00",13.27,,,,,,
,33. Tiruvannamalai,2000 - 2001,,,,,,,15,121,8.07,,,
,,2002 - 2003,,,,,,,102,863,8.46,,,
,,2003 - 2004,,,,,,,65,585,9,,,
,,2004 - 2005,,,,,,,71,687,9.68,,,
,,2005 - 2006,,,,,,,27,216,8,,,
,,2006 - 2007,,,,,,,39,340,8.72,,,
,,2007 - 2008,,,,,,,40,385,9.63,,,
,,2008 - 2009,,,,,,,60,567,9.45,,,
,,2009 - 2010,,,,,,,56,546,9.75,,,
,,2011 - 2012,,,,,,,146,"1,392.00",9.53,,,
,,2013 - 2014,35,407,11.63,38,322,8.47,,,,,,
,,2014 - 2015,54,459,8.5,31,267,8.61,,,,,,
,,2015 - 2016,58,559,9.64,66,428,6.48,,,,,,
,,2016 - 2017,46,482,10.48,22,113,5.14,,,,,,
,,2017 - 2018,10,97,9.7,11,102,9.27,,,,,,
,,2018 - 2019,31,270,8.71,45,257,5.71,,,,,,
,,2019 - 2020,33,301,9.12,70,495,7.07,,,,,,
,,2020 - 2021,48,471,9.81,199,"1,106.00",5.56,,,,,,
,,2021 - 2022,105,963,9.17,204,"1,228.00",6.02,,,,,,
,,2022 - 2023,40,381,9.53,69,526,7.62,,,,,,
,34. Vellore,2000 - 2001,,,,,,,17,137,8.06,,,
,,2002 - 2003,,,,,,,39,330,8.46,,,
,,2003 - 2004,,,,,,,69,621,9,,,
,,2004 - 2005,,,,,,,32,310,9.69,,,
,,2005 - 2006,,,,,,,36,289,8.03,,,
,,2006 - 2007,,,,,,,54,471,8.72,,,
,,2007 - 2008,,,,,,,44,424,9.64,,,
,,2008 - 2009,,,,,,,19,189,9.95,,,
,,2009 - 2010,,,,,,,20,195,9.75,,,
,,2011 - 2012,,,,,,,47,551,11.72,,,
,,2013 - 2014,19,221,11.63,13,110,8.46,,,,,,
,,2014 - 2015,57,178,3.12,14,121,8.64,,,,,,
,,2015 - 2016,17,164,9.65,40,259,6.48,,,,,,
,,2016 - 2017,34,348,10.24,21,109,5.19,,,,,,
,,2017 - 2018,10,97,9.7,7,65,9.29,,,,,,
,,2018 - 2019,23,198,8.61,16,93,5.81,,,,,,
,,2019 - 2020,23,209,9.09,21,148,7.05,,,,,,
,,2020 - 2021,1,11,11,12,69,5.75,,,,,,
,,2021 - 2022,1,5,5,5,33,6.6,,,,,,
,,2022 - 2023,1,10,10,1,8,8,,,,,,
,35. Villupuram,2000 - 2001,,,,,,,123,994,8.08,,,
,,2002 - 2003,,,,,,,173,"1,463.00",8.46,,,
,,2003 - 2004,,,,,,,170,"1,531.00",9.01,,,
,,2004 - 2005,,,,,,,365,"3,532.00",9.68,,,
,,2005 - 2006,,,,,,,305,"2,445.00",8.02,,,
,,2006 - 2007,,,,,,,230,"2,008.00",8.73,,,
,,2007 - 2008,,,,,,,229,"2,206.00",9.63,,,
,,2008 - 2009,,,,,,,230,"2,174.00",9.45,,,
,,2009 - 2010,,,,,,,193,"1,882.00",9.75,,,
,,2011 - 2012,,,,,,,173,"1,895.00",10.95,,,
,,2013 - 2014,59,686,11.63,47,398,8.47,,,,,,
,,2014 - 2015,110,934,8.49,60,517,8.62,,,,,,
,,2015 - 2016,170,"1,639.00",9.64,86,558,6.49,,,,,,
,,2016 - 2017,140,"1,451.00",10.36,54,273,5.06,,,,,,
,,2017 - 2018,141,"1,369.00",9.71,53,493,9.3,,,,,,
,,2018 - 2019,176,"1,541.00",8.76,54,308,5.7,,,,,,
,,2019 - 2020,381,"3,487.00",9.15,689,"4,861.00",7.06,,,,,,
,,2020 - 2021,88,863,9.81,33,183,5.55,,,,,,
,,2021 - 2022,83,760,9.16,24,145,6.04,,,,,,
,,2022 - 2023,9,86,9.56,5,38,7.6,,,,,,
,36. Virudhunagar,2000 - 2001,,,,,,,851,"5,924.00",6.96,,,
,,2002 - 2003,,,,,,,"1,312.00","9,542.00",7.27,,,
,,2003 - 2004,,,,,,,"1,201.00","6,859.00",5.71,,,
,,2004 - 2005,,,,,,,"1,179.00","6,322.00",5.36,,,
,,2005 - 2006,,,,,,,"1,153.00","4,925.00",4.27,,,
,,2006 - 2007,,,,,,,"1,343.00","3,527.00",2.63,,,
,,2007 - 2008,,,,,,,"1,276.00","6,811.00",5.34,,,
,,2008 - 2009,,,,,,,"1,295.00","8,571.00",6.62,,,
,,2009 - 2010,,,,,,,"1,183.00","8,525.00",7.21,,,
,,2011 - 2012,,,,,,,"1,395.00","9,947.00",7.13,,,
,,2013 - 2014,180,939,5.22,864,"7,069.00",8.18,,,,,,
,,2014 - 2015,241,537,2.23,"1,001.00","3,608.00",3.6,,,,,,
,,2015 - 2016,238,655,2.75,"1,790.00","5,042.00",2.82,,,,,,
,,2016 - 2017,359,860,2.4,"1,148.00",234,0.2,,,,,,
,,2017 - 2018,87,48,0.55,792,"1,853.00",2.34,,,,,,
,,2018 - 2019,387,"1,064.00",2.75,"1,384.00","6,756.00",4.88,,,,,,
,,2019 - 2020,282,"1,082.00",3.84,"1,460.00","5,432.00",3.72,,,,,,
,,2020 - 2021,462,"1,861.00",4.03,"2,208.00",602,0.27,,,,,,
,,2021 - 2022,324,934,2.88,"2,202.00","5,068.00",2.3,,,,,,
,,2022 - 2023,636,"1,876.00",2.95,"1,386.00","4,300.00",3.1,,,,,,
23. Telangana,1. Adilabad,2000 - 2001,11,123,11.18,577,"14,507.00",25.14,,,,,,
,,2001 - 2002,,,,495,"12,933.00",26.13,,,,,,
,,2002 - 2003,,,,499,"12,469.00",24.99,,,,,,
,,2003 - 2004,45,480,10.67,502,"13,914.00",27.72,,,,,,
,,2004 - 2005,,,,379,"8,465.00",22.34,,,,,,
,,2005 - 2006,38,491,12.92,496,"9,868.00",19.9,,,,,,
,,2006 - 2007,38,572,15.05,401,"9,964.00",24.85,,,,,,
,,2008 - 2009,,,,"1,002.00","22,595.00",22.55,,,,,,
,,2009 - 2010,,,,545,"13,227.00",24.27,,,,,,
,,2010 - 2011,,,,418,"8,016.00",19.18,,,,,,
,,2011 - 2012,,,,360,"9,830.00",27.31,,,,,,
,,2013 - 2014,,,,407,"13,568.00",33.34,,,,,,
,,2014 - 2015,9,140,15.56,366,"9,997.00",27.31,,,,,,
,,2015 - 2016,5,71,14.2,443,"13,354.00",30.14,,,,,,
,,2016 - 2017,4,60,15,47,"1,544.00",32.85,,,,,,
,,2017 - 2018,1,18,18,53,"1,927.00",36.36,,,,,,
,,2018 - 2019,1,13,13,74,"2,157.00",29.15,,,,,,
,,2019 - 2020,1,22,22,14,480,34.29,,,,,,
,,2020 - 2021,,,,31,"1,008.00",32.52,,,,,,
,,2021 - 2022,3,48,16,16,375,23.44,,,,,,
,,2022 - 2023,,,,1,26,26,,,,,,
,2. Bhadradri,2016 - 2017,,,,4,131,32.75,,,,,,
,,2017 - 2018,,,,2,73,36.5,,,,,,
,,2020 - 2021,,,,3,98,32.67,,,,,,
,,2021 - 2022,1,16,16,21,492,23.43,,,,,,
,3. Jagitial,2016 - 2017,,,,405,"13,301.00",32.84,,,,,,
,,2017 - 2018,59,"1,081.00",18.32,411,"14,947.00",36.37,,,,,,
,,2018 - 2019,18,235,13.06,349,"10,173.00",29.15,,,,,,
,,2019 - 2020,18,402,22.33,130,"4,453.00",34.25,,,,,,
,,2020 - 2021,,,,75,"2,438.00",32.51,,,,,,
,,2021 - 2022,,,,66,"1,547.00",23.44,,,,,,
,,2022 - 2023,,,,64,"1,635.00",25.55,,,,,,
,4. Jangoan,2016 - 2017,,,,38,"1,248.00",32.84,,,,,,
,,2017 - 2018,,,,58,"2,109.00",36.36,,,,,,
,,2018 - 2019,,,,26,758,29.15,,,,,,
,,2019 - 2020,3,67,22.33,24,822,34.25,,,,,,
,,2020 - 2021,1,13,13,9,293,32.56,,,,,,
,,2021 - 2022,4,64,16,9,211,23.44,,,,,,
,,2022 - 2023,1,11,11,,,,,,,,,
,5. Jayashankar,2016 - 2017,,,,14,460,32.86,,,,,,
,,2017 - 2018,,,,11,400,36.36,,,,,,
,,2018 - 2019,,,,21,612,29.14,,,,,,
,,2019 - 2020,,,,11,377,34.27,,,,,,
,,2020 - 2021,,,,12,390,32.5,,,,,,
,,2021 - 2022,,,,7,164,23.43,,,,,,
,,2022 - 2023,,,,5,128,25.6,,,,,,
,6. Jogulamba,2016 - 2017,"4,208.00","62,838.00",14.93,90,"2,956.00",32.84,,,,,,
,,2017 - 2018,"3,035.00","56,050.00",18.47,264,"9,601.00",36.37,,,,,,
,,2018 - 2019,"3,251.00","42,942.00",13.21,184,"5,363.00",29.15,,,,,,
,,2019 - 2020,"1,475.00","30,544.00",20.71,503,"17,228.00",34.25,,,,,,
,,2020 - 2021,"1,404.00","17,068.00",12.16,256,"5,058.00",19.76,,,,,,
,,2021 - 2022,"1,759.00","22,323.00",12.69,99,"2,454.00",24.79,,,,,,
,,2022 - 2023,"1,429.00","11,633.00",8.14,66,"1,248.00",18.91,,,,,,
,7. Kamareddy,2016 - 2017,4,60,15,448,"6,418.00",14.33,,,,,,
,,2017 - 2018,22,403,18.32,536,"9,902.00",18.47,,,,,,
,,2018 - 2019,,,,496,"8,666.00",17.47,,,,,,
,,2019 - 2020,11,245,22.27,184,"3,619.00",19.67,,,,,,
,,2020 - 2021,30,398,13.27,196,"6,038.00",30.81,,,,,,
,,2021 - 2022,25,402,16.08,288,"10,045.00",34.88,,,,,,
,,2022 - 2023,4,43,10.75,122,"2,351.00",19.27,,,,,,
,8. Karimnagar,2000 - 2001,75,840,11.2,632,"15,890.00",25.14,,,,,,
,,2001 - 2002,88,961,10.92,582,"15,206.00",26.13,,,,,,
,,2002 - 2003,91,699,7.68,453,"11,320.00",24.99,,,,,,
,,2003 - 2004,103,"1,099.00",10.67,551,"15,272.00",27.72,,,,,,
,,2004 - 2005,157,"1,586.00",10.1,450,"10,050.00",22.33,,,,,,
,,2005 - 2006,54,697,12.91,803,"15,976.00",19.9,,,,,,
,,2006 - 2007,137,"2,063.00",15.06,340,"8,448.00",24.85,,,,,,
,,2007 - 2008,,,,"1,000.00","13,000.00",13,,,,,,
,,2008 - 2009,511,"7,345.00",14.37,802,"18,085.00",22.55,,,,,,
,,2009 - 2010,369,"6,416.00",17.39,594,"14,416.00",24.27,,,,,,
,,2010 - 2011,,,,855,"16,395.00",19.18,,,,,,
,,2011 - 2012,4,45,11.25,669,"18,267.00",27.3,,,,,,
,,2012 - 2013,,,,"1,000.00","35,000.00",35,,,,,,
,,2013 - 2014,,,,669,"17,777.00",26.57,,,,,,
,,2014 - 2015,18,280,15.56,551,"15,051.00",27.32,,,,,,
,,2015 - 2016,11,155,14.09,513,"15,464.00",30.14,,,,,,
,,2016 - 2017,,,,44,"1,445.00",32.84,,,,,,
,,2017 - 2018,1,18,18,15,546,36.4,,,,,,
,,2018 - 2019,,,,11,321,29.18,,,,,,
,,2019 - 2020,1,22,22,17,582,34.24,,,,,,
,,2020 - 2021,3,40,13.33,18,585,32.5,,,,,,
,,2021 - 2022,3,48,16,18,422,23.44,,,,,,
,9. Khammam,2000 - 2001,,,,5,126,25.2,,,,,,
,,2001 - 2002,,,,4,105,26.25,,,,,,
,,2002 - 2003,,,,4,100,25,,,,,,
,,2003 - 2004,,,,3,83,27.67,,,,,,
,,2004 - 2005,,,,3,67,22.33,,,,,,
,,2005 - 2006,1,13,13,5,99,19.8,,,,,,
,,2008 - 2009,,,,8,180,22.5,,,,,,
,,2009 - 2010,,,,4,97,24.25,,,,,,
,,2010 - 2011,,,,1,19,19,,,,,,
,,2013 - 2014,1,19,19,,,,,,,,,
,,2014 - 2015,1,16,16,3,82,27.33,,,,,,
,,2015 - 2016,5,71,14.2,7,211,30.14,,,,,,
,,2016 - 2017,,,,4,131,32.75,,,,,,
,,2017 - 2018,,,,4,145,36.25,,,,,,
,,2018 - 2019,,,,2,58,29,,,,,,
,,2019 - 2020,,,,2,69,34.5,,,,,,
,,2020 - 2021,,,,11,358,32.55,,,,,,
,,2021 - 2022,2,32,16,6,141,23.5,,,,,,
,,2022 - 2023,2,21,10.5,,,,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,138,"2,083.00",15.09,206,"6,766.00",32.84,,,,,,
,,2017 - 2018,59,"1,081.00",18.32,48,"1,746.00",36.38,,,,,,
,,2018 - 2019,49,641,13.08,51,"1,487.00",29.16,,,,,,
,,2019 - 2020,3,67,22.33,34,"1,165.00",34.26,,,,,,
,,2020 - 2021,1,13,13,63,"2,048.00",32.51,,,,,,
,,2021 - 2022,,,,53,"1,242.00",23.43,,,,,,
,,2022 - 2023,,,,36,920,25.56,,,,,,
,11. Mahabubabad,2016 - 2017,5,75,15,101,"3,317.00",32.84,,,,,,
,,2017 - 2018,6,110,18.33,139,"5,055.00",36.37,,,,,,
,,2018 - 2019,6,78,13,180,"5,247.00",29.15,,,,,,
,,2019 - 2020,9,201,22.33,102,"3,494.00",34.25,,,,,,
,,2020 - 2021,11,146,13.27,83,"2,698.00",32.51,,,,,,
,,2021 - 2022,,,,39,914,23.44,,,,,,
,,2022 - 2023,,,,4,102,25.5,,,,,,
,12. Mahbubnagar,2000 - 2001,"2,071.00","25,525.00",12.32,622,"15,638.00",25.14,,,,,,
,,2001 - 2002,"2,383.00","28,317.00",11.88,672,"17,558.00",26.13,,,,,,
,,2002 - 2003,"1,658.00","14,466.00",8.72,544,"13,593.00",24.99,,,,,,
,,2003 - 2004,"1,614.00","21,197.00",13.13,632,"17,517.00",27.72,,,,,,
,,2004 - 2005,"2,120.00","21,715.00",10.24,415,"9,269.00",22.33,,,,,,
,,2005 - 2006,"1,854.00","30,702.00",16.56,649,"12,912.00",19.9,,,,,,
,,2006 - 2007,"1,776.00","31,817.00",17.91,581,"14,437.00",24.85,,,,,,
,,2007 - 2008,"2,000.00","40,000.00",20,"1,000.00","19,000.00",19,,,,,,
,,2008 - 2009,"2,488.00","39,995.00",16.08,"1,029.00","23,204.00",22.55,,,,,,
,,2009 - 2010,"1,699.00","31,849.00",18.75,"1,173.00","28,468.00",24.27,,,,,,
,,2010 - 2011,"2,189.00","39,201.00",17.91,"1,236.00","23,702.00",19.18,,,,,,
,,2011 - 2012,"4,191.00","47,098.00",11.24,"1,750.00","47,784.00",27.31,,,,,,
,,2012 - 2013,"3,000.00","51,000.00",17,"1,000.00","32,000.00",32,,,,,,
,,2013 - 2014,"3,289.00","61,850.00",18.81,"1,050.00","35,003.00",33.34,,,,,,
,,2014 - 2015,"5,102.00","80,300.00",15.74,907,"18,882.00",20.82,,,,,,
,,2015 - 2016,"4,694.00","67,617.00",14.4,"1,280.00","29,939.00",23.39,,,,,,
,,2016 - 2017,69,"1,030.00",14.93,803,"19,357.00",24.11,,,,,,
,,2017 - 2018,95,"1,740.00",18.32,729,"21,371.00",29.32,,,,,,
,,2018 - 2019,67,877,13.09,235,"7,516.00",31.98,,,,,,
,,2019 - 2020,52,"1,160.00",22.31,220,"9,671.00",43.96,,,,,,
,,2020 - 2021,31,411,13.26,242,"7,017.00",29,,,,,,
,,2021 - 2022,26,418,16.08,294,"7,492.00",25.48,,,,,,
,,2022 - 2023,2,21,10.5,123,"2,739.00",22.27,,,,,,
,13. Mancherial,2016 - 2017,,,,131,"4,302.00",32.84,,,,,,
,,2017 - 2018,,,,130,"4,728.00",36.37,,,,,,
,,2018 - 2019,1,13,13,86,"2,507.00",29.15,,,,,,
,,2019 - 2020,2,45,22.5,35,"1,199.00",34.26,,,,,,
,,2020 - 2021,,,,24,780,32.5,,,,,,
,,2021 - 2022,,,,27,633,23.44,,,,,,
,,2022 - 2023,,,,4,102,25.5,,,,,,
,14. Medak,2000 - 2001,"1,027.00","9,153.00",8.91,"2,310.00","64,387.00",27.87,,,,,,
,,2001 - 2002,920,"7,733.00",8.41,"2,551.00","62,647.00",24.56,,,,,,
,,2002 - 2003,707,"3,699.00",5.23,"1,747.00","49,618.00",28.4,,,,,,
,,2003 - 2004,782,"4,379.00",5.6,"2,769.00","81,265.00",29.35,,,,,,
,,2004 - 2005,989,"9,696.00",9.8,"2,672.00","53,656.00",20.08,,,,,,
,,2005 - 2006,838,"4,068.00",4.85,"3,283.00","65,532.00",19.96,,,,,,
,,2006 - 2007,736,"6,006.00",8.16,"2,394.00","57,197.00",23.89,,,,,,
,,2007 - 2008,"1,000.00","4,000.00",4,"4,000.00","98,000.00",24.5,,,,,,
,,2008 - 2009,486,"2,755.00",5.67,"3,542.00","72,859.00",20.57,,,,,,
,,2009 - 2010,233,"1,743.00",7.48,"3,156.00","63,259.00",20.04,,,,,,
,,2010 - 2011,342,"2,831.00",8.28,"4,337.00","69,908.00",16.12,,,,,,
,,2011 - 2012,438,"4,942.00",11.28,"4,283.00","1,30,105.00",30.38,,,,,,
,,2012 - 2013,,,,"4,000.00","1,47,000.00",36.75,,,,,,
,,2013 - 2014,256,"4,814.00",18.8,"3,722.00","1,65,729.00",44.53,,,,,,
,,2014 - 2015,148,"2,301.00",15.55,"2,543.00","68,536.00",26.95,,,,,,
,,2015 - 2016,296,"4,183.00",14.13,"4,134.00","1,51,825.00",36.73,,,,,,
,,2016 - 2017,184,"2,777.00",15.09,"1,115.00","32,968.00",29.57,,,,,,
,,2017 - 2018,87,"1,593.00",18.31,915,"38,176.00",41.72,,,,,,
,,2018 - 2019,304,"3,977.00",13.08,507,"12,184.00",24.03,,,,,,
,,2019 - 2020,233,"5,199.00",22.31,342,"8,893.00",26,,,,,,
,,2020 - 2021,,,,571,"14,777.00",25.88,,,,,,
,,2021 - 2022,20,322,16.1,610,"10,859.00",17.8,,,,,,
,,2022 - 2023,5,54,10.8,537,"15,570.00",28.99,,,,,,
,15. Medchal,2016 - 2017,,,,12,394,32.83,,,,,,
,,2017 - 2018,,,,8,291,36.38,,,,,,
,,2019 - 2020,,,,2,69,34.5,,,,,,
,,2021 - 2022,,,,5,117,23.4,,,,,,
,16. Mulugu,2018 - 2019,,,,1,29,29,,,,,,
,,2019 - 2020,,,,64,"2,192.00",34.25,,,,,,
,,2020 - 2021,,,,1,33,33,,,,,,
,,2022 - 2023,,,,1,26,26,,,,,,
,17. Nagarkurnool,2016 - 2017,6,90,15,74,"2,430.00",32.84,,,,,,
,,2017 - 2018,14,256,18.29,86,"3,128.00",36.37,,,,,,
,,2018 - 2019,15,196,13.07,52,"1,516.00",29.15,,,,,,
,,2019 - 2020,2,45,22.5,23,788,34.26,,,,,,
,,2020 - 2021,29,385,13.28,78,"2,536.00",32.51,,,,,,
,,2021 - 2022,58,932,16.07,81,"1,898.00",23.43,,,,,,
,,2022 - 2023,14,150,10.71,21,536,25.52,,,,,,
,18. Nalgonda,2000 - 2001,,,,7,176,25.14,,,,,,
,,2001 - 2002,,,,16,418,26.13,,,,,,
,,2002 - 2003,,,,12,300,25,,,,,,
,,2003 - 2004,,,,18,499,27.72,,,,,,
,,2004 - 2005,,,,11,246,22.36,,,,,,
,,2005 - 2006,,,,25,497,19.88,,,,,,
,,2010 - 2011,,,,9,173,19.22,,,,,,
,,2011 - 2012,,,,7,191,27.29,,,,,,
,,2013 - 2014,,,,3,100,33.33,,,,,,
,,2014 - 2015,,,,1,27,27,,,,,,
,,2015 - 2016,,,,6,181,30.17,,,,,,
,,2019 - 2020,,,,2,69,34.5,,,,,,
,,2020 - 2021,,,,14,455,32.5,,,,,,
,,2021 - 2022,6,96,16,27,633,23.44,,,,,,
,,2022 - 2023,,,,6,153,25.5,,,,,,
,19. Narayanapet,2018 - 2019,,,,254,"8,123.00",31.98,,,,,,
,,2019 - 2020,11,245,22.27,89,"3,048.00",34.25,,,,,,
,,2020 - 2021,20,265,13.25,178,"5,786.00",32.51,,,,,,
,,2021 - 2022,56,900,16.07,214,"5,015.00",23.43,,,,,,
,,2022 - 2023,13,139,10.69,218,"6,277.00",28.79,,,,,,
,20. Nirmal,2016 - 2017,1,15,15,346,"11,364.00",32.84,,,,,,
,,2017 - 2018,14,256,18.29,378,"13,747.00",36.37,,,,,,
,,2018 - 2019,86,"1,125.00",13.08,474,"13,817.00",29.15,,,,,,
,,2019 - 2020,15,335,22.33,166,"5,686.00",34.25,,,,,,
,,2020 - 2021,10,133,13.3,79,"2,546.00",32.23,,,,,,
,,2021 - 2022,12,193,16.08,48,"1,417.00",29.52,,,,,,
,,2022 - 2023,,,,10,255,25.5,,,,,,
,21. Nizamabad,2000 - 2001,64,716,11.19,"1,392.00","43,290.00",31.1,,,,,,
,,2001 - 2002,29,317,10.93,"1,295.00","38,187.00",29.49,,,,,,
,,2002 - 2003,43,330,7.67,884,"28,477.00",32.21,,,,,,
,,2003 - 2004,8,85,10.63,"1,034.00","32,251.00",31.19,,,,,,
,,2004 - 2005,11,111,10.09,"1,490.00","36,618.00",24.58,,,,,,
,,2005 - 2006,45,581,12.91,"1,792.00","37,173.00",20.74,,,,,,
,,2006 - 2007,,,,"1,459.00","32,455.00",22.24,,,,,,
,,2007 - 2008,,,,"2,000.00","45,000.00",22.5,,,,,,
,,2008 - 2009,49,704,14.37,"1,282.00","29,117.00",22.71,,,,,,
,,2009 - 2010,6,104,17.33,"1,727.00","46,774.00",27.08,,,,,,
,,2010 - 2011,,,,"1,945.00","41,950.00",21.57,,,,,,
,,2011 - 2012,42,472,11.24,"2,436.00","63,265.00",25.97,,,,,,
,,2012 - 2013,,,,"2,000.00","55,000.00",27.5,,,,,,
,,2013 - 2014,25,470,18.8,"2,736.00","77,390.00",28.29,,,,,,
,,2014 - 2015,34,528,15.53,"2,244.00","68,628.00",30.58,,,,,,
,,2015 - 2016,11,155,14.09,"1,584.00","35,965.00",22.71,,,,,,
,,2016 - 2017,56,845,15.09,"1,174.00","29,067.00",24.76,,,,,,
,,2017 - 2018,24,440,18.33,910,"29,036.00",31.91,,,,,,
,,2018 - 2019,27,353,13.07,843,"25,273.00",29.98,,,,,,
,,2019 - 2020,44,982,22.32,513,"17,022.00",33.18,,,,,,
,,2020 - 2021,30,398,13.27,421,"14,257.00",33.86,,,,,,
,,2021 - 2022,39,627,16.08,438,"13,657.00",31.18,,,,,,
,,2022 - 2023,25,268,10.72,101,"2,385.00",23.61,,,,,,
,22. Peddapalli,2016 - 2017,20,302,15.1,,,,,,,,,
,,2017 - 2018,,,,2,73,36.5,,,,,,
,,2018 - 2019,1,13,13,2,58,29,,,,,,
