State,District,Year,Niger seed,,,,,,,,,,,
,,2005 - 2006,,,,"1,667.00",218,0.13,,,,,,
,,2006 - 2007,,,,"1,406.00",184,0.13,,,,,,
,,2007 - 2008,,,,"1,374.00",182,0.13,,,,,,
,,2008 - 2009,,,,690,236,0.34,,,,,,
,,2009 - 2010,,,,"1,590.00",491,0.31,,,,,,
,,2010 - 2011,,,,"1,320.00",350,0.27,,,,,,
,,2011 - 2012,,,,808,208,0.26,,,,,,
,,2012 - 2013,,,,548,141,0.26,,,,,,
,,2013 - 2014,,,,395,102,0.26,,,,,,
,,2014 - 2015,,,,"1,011.00",267,0.26,,,,,,
,,2015 - 2016,,,,542,145,0.27,,,,,,
,,2016 - 2017,,,,"1,142.00",204,0.18,,,,,,
,,2017 - 2018,,,,492,106,0.22,,,,,,
,,2018 - 2019,,,,87,20,0.23,,,,,,
,,2019 - 2020,,,,34,9,0.26,,,,,,
,,2020 - 2021,,,,47,12,0.26,,,,,,
,,2021 - 2022,,,,24,7,0.29,,,,,,
,,2022 - 2023,,,,13,3,0.23,,,,,,
,21. Mandya,2000 - 2001,,,,"2,696.00",507,0.19,,,,,,
,,2001 - 2002,,,,"2,843.00",535,0.19,,,,,,
,,2002 - 2003,,,,"1,128.00",212,0.19,,,,,,
,,2003 - 2004,,,,"1,356.00",255,0.19,,,,,,
,,2004 - 2005,,,,"2,145.00",403,0.19,,,,,,
,,2005 - 2006,,,,"2,117.00",398,0.19,,,,,,
,,2006 - 2007,,,,547,103,0.19,,,,,,
,,2007 - 2008,,,,"1,366.00",514,0.38,,,,,,
,,2008 - 2009,,,,"1,806.00",619,0.34,,,,,,
,,2009 - 2010,,,,"1,806.00",796,0.44,,,,,,
,,2010 - 2011,,,,"1,960.00",959,0.49,,,,,,
,,2011 - 2012,,,,"1,678.00",447,0.27,,,,,,
,,2012 - 2013,,,,928,247,0.27,,,,,,
,,2013 - 2014,,,,869,286,0.33,,,,,,
,,2014 - 2015,,,,957,189,0.2,,,,,,
,,2015 - 2016,,,,739,219,0.3,,,,,,
,,2016 - 2017,,,,470,106,0.23,,,,,,
,,2017 - 2018,,,,497,83,0.17,,,,,,
,,2018 - 2019,,,,213,27,0.13,,,,,,
,,2019 - 2020,,,,39,10,0.26,,,,,,
,,2020 - 2021,,,,7,2,0.29,,,,,,
,,2021 - 2022,,,,12,3,0.25,,,,,,
,,2022 - 2023,,,,1,0.25,0.25,,,,,,
,22. Mysore,2000 - 2001,,,,"3,046.00",627,0.21,,,,,,
,,2001 - 2002,,,,"3,277.00",675,0.21,,,,,,
,,2002 - 2003,,,,"4,244.00",874,0.21,,,,,,
,,2003 - 2004,,,,"3,609.00",743,0.21,,,,,,
,,2004 - 2005,,,,"3,731.00",768,0.21,,,,,,
,,2005 - 2006,,,,"4,914.00","1,012.00",0.21,,,,,,
,,2006 - 2007,,,,"2,836.00",584,0.21,,,,,,
,,2007 - 2008,,,,"6,482.00","3,401.00",0.52,,,,,,
,,2008 - 2009,,,,"3,054.00","1,046.00",0.34,,,,,,
,,2009 - 2010,,,,"2,819.00","1,153.00",0.41,,,,,,
,,2010 - 2011,,,,"2,180.00",796,0.37,,,,,,
,,2011 - 2012,,,,"2,017.00",751,0.37,,,,,,
,,2012 - 2013,,,,644,240,0.37,,,,,,
,,2013 - 2014,,,,"1,572.00",585,0.37,,,,,,
,,2014 - 2015,,,,"1,864.00",493,0.26,,,,,,
,,2015 - 2016,,,,734,188,0.26,,,,,,
,,2016 - 2017,,,,15,3,0.2,,,,,,
,,2017 - 2018,,,,102,22,0.22,,,,,,
,,2018 - 2019,,,,63,13,0.21,,,,,,
,,2019 - 2020,,,,106,26,0.25,,,,,,
,,2020 - 2021,,,,28,7,0.25,,,,,,
,,2021 - 2022,,,,20,5,0.25,,,,,,
,,2022 - 2023,,,,8,2,0.25,,,,,,
,23. Raichur,2000 - 2001,,,,71,9,0.13,,,,,,
,,2001 - 2002,,,,15,2,0.13,,,,,,
,,2002 - 2003,,,,73,10,0.14,,,,,,
,,2003 - 2004,,,,57,7,0.12,,,,,,
,,2004 - 2005,,,,20,3,0.15,,,,,,
,,2005 - 2006,,,,9,1,0.11,,,,,,
,,2006 - 2007,,,,72,9,0.13,,,,,,
,,2008 - 2009,,,,12,4,0.33,,,,,,
,,2010 - 2011,,,,26,8,0.31,,,,,,
,,2011 - 2012,,,,44,12,0.27,,,,,,
,,2018 - 2019,,,,22,4,0.18,,,,,,
,,2019 - 2020,,,,2,,0,,,,,,
,,2020 - 2021,,,,12,3,0.25,,,,,,
,,2021 - 2022,,,,5,1,0.2,,,,,,
,,2022 - 2023,,,,6,1,0.17,,,,,,
,24. Ramanagara,2007 - 2008,,,,"1,034.00",383,0.37,,,,,,
,,2008 - 2009,,,,"1,309.00",416,0.32,,,,,,
,,2009 - 2010,,,,"1,418.00",434,0.31,,,,,,
,,2010 - 2011,,,,967,291,0.3,,,,,,
,,2011 - 2012,,,,916,249,0.27,,,,,,
,,2012 - 2013,,,,617,148,0.24,,,,,,
,,2013 - 2014,,,,975,213,0.22,,,,,,
,,2014 - 2015,,,,579,152,0.26,,,,,,
,,2015 - 2016,,,,605,99,0.16,,,,,,
,,2016 - 2017,,,,244,38,0.16,,,,,,
,,2017 - 2018,,,,311,67,0.22,,,,,,
,,2018 - 2019,,,,11,2,0.18,,,,,,
,,2019 - 2020,,,,23,6,0.26,,,,,,
,,2020 - 2021,,,,2,0.49,0.25,,,,,,
,25. Shimoga,2000 - 2001,,,,169,44,0.26,,,,,,
,,2001 - 2002,,,,224,58,0.26,,,,,,
,,2002 - 2003,,,,181,47,0.26,,,,,,
,,2003 - 2004,,,,122,32,0.26,,,,,,
,,2004 - 2005,,,,125,32,0.26,,,,,,
,,2005 - 2006,,,,98,25,0.26,,,,,,
,,2006 - 2007,,,,110,29,0.26,,,,,,
,,2007 - 2008,,,,78,29,0.37,,,,,,
,,2008 - 2009,,,,72,25,0.35,,,,,,
,,2009 - 2010,,,,49,17,0.35,,,,,,
,,2010 - 2011,,,,57,17,0.3,,,,,,
,,2011 - 2012,,,,17,5,0.29,,,,,,
,,2012 - 2013,,,,8,2,0.25,,,,,,
,,2013 - 2014,,,,108,24,0.22,,,,,,
,,2014 - 2015,,,,4,1,0.25,,,,,,
,,2015 - 2016,,,,14,4,0.29,,,,,,
,,2016 - 2017,,,,11,2,0.18,,,,,,
,,2017 - 2018,,,,2,,0,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2020 - 2021,,,,1,0.25,0.25,,,,,,
,26. Tumkur,2000 - 2001,,,,"2,424.00",703,0.29,,,,,,
,,2001 - 2002,,,,"2,139.00",620,0.29,,,,,,
,,2002 - 2003,,,,"1,455.00",422,0.29,,,,,,
,,2003 - 2004,,,,"1,627.00",472,0.29,,,,,,
,,2004 - 2005,,,,"1,827.00",530,0.29,,,,,,
,,2005 - 2006,,,,"1,690.00",490,0.29,,,,,,
,,2006 - 2007,,,,"1,039.00",301,0.29,,,,,,
,,2007 - 2008,,,,"1,362.00",512,0.38,,,,,,
,,2008 - 2009,,,,"1,912.00",655,0.34,,,,,,
,,2009 - 2010,,,,"1,543.00",504,0.33,,,,,,
,,2010 - 2011,,,,"1,245.00",308,0.25,,,,,,
,,2011 - 2012,,,,"1,100.00",267,0.24,,,,,,
,,2012 - 2013,,,,"1,131.00",274,0.24,,,,,,
,,2013 - 2014,,,,"1,048.00",153,0.15,,,,,,
,,2014 - 2015,,,,602,73,0.12,,,,,,
,,2015 - 2016,,,,527,89,0.17,,,,,,
,,2016 - 2017,,,,428,64,0.15,,,,,,
,,2017 - 2018,,,,580,76,0.13,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,,2020 - 2021,,,,5,1,0.2,,,,,,
,,2021 - 2022,,,,1,0.24,0.24,,,,,,
,27. Vijayanagar,2022 - 2023,,,,17,4,0.24,,,,,,
,28. Yadgir,2010 - 2011,,,,83,25,0.3,,,,,,
,,2011 - 2012,,,,5,1,0.2,,,,,,
,,2012 - 2013,,,,64,15,0.23,,,,,,
,,2013 - 2014,,,,20,4,0.2,,,,,,
,,2014 - 2015,,,,14,4,0.29,,,,,,
,,2015 - 2016,,,,9,2,0.22,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,21,5,0.24,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
7. Madhya Pradesh,1. Agar malwa,2018 - 2019,,,,8,2,0.25,,,,,,
,2. Anuppur,2003 - 2004,,,,"11,624.00","3,312.00",0.28,,,,,,
,,2004 - 2005,,,,"11,630.00","3,374.00",0.29,,,,,,
,,2005 - 2006,,,,"11,793.00","3,595.00",0.3,,,,,,
,,2006 - 2007,,,,"11,758.00","3,259.00",0.28,,,,,,
,,2007 - 2008,,,,"10,785.00","2,630.00",0.24,,,,,,
,,2008 - 2009,,,,"9,902.00","2,744.00",0.28,,,,,,
,,2009 - 2010,,,,,,,,,,"10,884.00","2,050.00",0.19
,,2010 - 2011,,,,"9,929.00","1,492.00",0.15,,,,,,
,,2011 - 2012,,,,"10,036.00","1,949.00",0.19,,,,,,
,,2012 - 2013,,,,"8,998.00","4,987.00",0.55,,,,,,
,,2013 - 2014,,,,"8,020.00","3,556.00",0.44,,,,,,
,,2014 - 2015,,,,"5,000.00","2,000.00",0.4,,,,,,
,,2015 - 2016,,,,"8,000.00","4,000.00",0.5,,,,,,
,,2016 - 2017,,,,"8,000.00","3,000.00",0.38,,,,,,
,,2017 - 2018,,,,"8,500.00","3,910.00",0.46,,,,,,
,,2018 - 2019,,,,"2,901.00",965,0.33,,,,,,
,,2019 - 2020,,,,"2,084.00",816,0.39,,,,,,
,,2020 - 2021,,,,"2,987.00","1,314.00",0.44,,,,,,
,,2021 - 2022,,,,947,462,0.49,,,,,,
,3. Ashoknagar,2003 - 2004,,,,36,7,0.19,,,,,,
,,2004 - 2005,,,,53,11,0.21,,,,,,
,,2005 - 2006,,,,49,10,0.2,,,,,,
,,2006 - 2007,,,,53,11,0.21,,,,,,
,,2007 - 2008,,,,41,9,0.22,,,,,,
,,2008 - 2009,,,,5,1,0.2,,,,,,
,,2009 - 2010,,,,,,,,,,7,1,0.14
,,2017 - 2018,,,,"1,230.00",310,0.25,,,,,,
,,2018 - 2019,,,,24,4,0.17,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,4. Balaghat,2000 - 2001,,,,161,22,0.14,,,,,,
,,2001 - 2002,,,,115,24,0.21,,,,,,
,,2002 - 2003,,,,138,23,0.17,,,,,,
,,2003 - 2004,,,,68,11,0.16,,,,,,
,,2004 - 2005,,,,100,17,0.17,,,,,,
,,2005 - 2006,,,,167,28,0.17,,,,,,
,,2006 - 2007,,,,121,20,0.17,,,,,,
,,2007 - 2008,,,,101,17,0.17,,,,,,
,,2008 - 2009,,,,80,14,0.18,,,,,,
,,2009 - 2010,,,,,,,,,,96,16,0.17
,,2010 - 2011,,,,91,15,0.16,,,,,,
,,2011 - 2012,,,,98,14,0.14,,,,,,
,,2012 - 2013,,,,98,16,0.16,,,,,,
,,2013 - 2014,,,,102,22,0.22,,,,,,
,,2017 - 2018,,,,550,170,0.31,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,,2020 - 2021,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,300,75,0.25,,,,,,
,5. Barwani,2014 - 2015,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2017 - 2018,,,,300,70,0.23,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,6. Betul,2000 - 2001,,,,"10,156.00","1,745.00",0.17,,,,,,
,,2001 - 2002,,,,"10,372.00","2,285.00",0.22,,,,,,
,,2002 - 2003,,,,"9,498.00","2,093.00",0.22,,,,,,
,,2003 - 2004,,,,"11,564.00","2,635.00",0.23,,,,,,
,,2004 - 2005,,,,"10,907.00","2,404.00",0.22,,,,,,
,,2005 - 2006,,,,"18,961.00","4,533.00",0.24,,,,,,
,,2006 - 2007,,,,"21,262.00","5,241.00",0.25,,,,,,
,,2007 - 2008,,,,"19,379.00","4,922.00",0.25,,,,,,
,,2008 - 2009,,,,"22,701.00","5,850.00",0.26,,,,,,
,,2009 - 2010,,,,,,,,,,"19,399.00","4,927.00",0.25
,,2010 - 2011,,,,"19,016.00","4,901.00",0.26,,,,,,
,,2011 - 2012,,,,"18,958.00","4,054.00",0.21,,,,,,
,,2012 - 2013,,,,"15,654.00","4,512.00",0.29,,,,,,
,,2013 - 2014,,,,"9,370.00","2,818.00",0.3,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","1,000.00",0.33,,,,,,
,,2016 - 2017,,,,"3,000.00","1,000.00",0.33,,,,,,
,,2017 - 2018,,,,"1,360.00",420,0.31,,,,,,
,,2018 - 2019,,,,127,25,0.2,,,,,,
,,2019 - 2020,,,,7,1,0.14,,,,,,
,,2020 - 2021,,,,113,39,0.35,,,,,,
,,2021 - 2022,,,,74,24,0.32,,,,,,
,7. Bhind,2000 - 2001,,,,11,2,0.18,,,,,,
,,2001 - 2002,,,,4,1,0.25,,,,,,
,,2002 - 2003,,,,8,0.01,0,,,,,,
,,2003 - 2004,,,,2,0,0,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,8. Bhopal,2000 - 2001,,,,1,0,0,,,,,,
,,2017 - 2018,,,,20,,0,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,9. Burhanpur,2019 - 2020,,,,1,,0,,,,,,
,10. Chhatarpur,2000 - 2001,,,,45,6,0.13,,,,,,
,,2001 - 2002,,,,40,6,0.15,,,,,,
,,2002 - 2003,,,,29,3,0.1,,,,,,
,,2003 - 2004,,,,66,7,0.11,,,,,,
,,2004 - 2005,,,,99,13,0.13,,,,,,
,,2005 - 2006,,,,38,5,0.13,,,,,,
,,2006 - 2007,,,,37,5,0.14,,,,,,
,,2008 - 2009,,,,16,2,0.13,,,,,,
,,2009 - 2010,,,,,,,,,,86,11,0.13
,,2010 - 2011,,,,7,1,0.14,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2020 - 2021,,,,18,4,0.22,,,,,,
,11. Chhindwara,2000 - 2001,,,,"24,500.00","3,542.00",0.14,,,,,,
,,2001 - 2002,,,,"24,607.00","5,336.00",0.22,,,,,,
,,2002 - 2003,,,,"23,634.00","2,648.00",0.11,,,,,,
,,2003 - 2004,,,,"21,585.00","4,135.00",0.19,,,,,,
,,2004 - 2005,,,,"18,444.00","3,867.00",0.21,,,,,,
,,2005 - 2006,,,,"17,839.00","3,224.00",0.18,,,,,,
,,2006 - 2007,,,,"18,519.00","4,016.00",0.22,,,,,,
,,2007 - 2008,,,,"16,961.00","4,291.00",0.25,,,,,,
,,2008 - 2009,,,,"14,904.00","3,178.00",0.21,,,,,,
,,2009 - 2010,,,,,,,,,,"14,293.00","3,255.00",0.23
,,2010 - 2011,,,,"14,591.00","3,323.00",0.23,,,,,,
,,2011 - 2012,,,,"13,404.00","3,198.00",0.24,,,,,,
,,2012 - 2013,,,,"10,987.00","3,558.00",0.32,,,,,,
,,2013 - 2014,,,,"8,912.00","4,097.00",0.46,,,,,,
,,2014 - 2015,,,,"7,000.00","3,000.00",0.43,,,,,,
,,2015 - 2016,,,,"6,000.00","2,000.00",0.33,,,,,,
,,2016 - 2017,,,,"4,000.00","1,000.00",0.25,,,,,,
,,2017 - 2018,,,,"19,300.00","5,790.00",0.3,,,,,,
,,2018 - 2019,,,,"1,548.00",269,0.17,,,,,,
,,2019 - 2020,,,,137,48,0.35,,,,,,
,,2020 - 2021,,,,956,287,0.3,,,,,,
,,2021 - 2022,,,,"1,009.00",298,0.3,,,,,,
,12. Damoh,2000 - 2001,,,,4,0,0,,,,,,
,,2001 - 2002,,,,6,1,0.17,,,,,,
,,2002 - 2003,,,,1,0.01,0.01,,,,,,
,,2003 - 2004,,,,2,0,0,,,,,,
,,2005 - 2006,,,,10,1,0.1,,,,,,
,,2007 - 2008,,,,60,9,0.15,,,,,,
,,2008 - 2009,,,,4,1,0.25,,,,,,
,,2009 - 2010,,,,,,,,,,3,1,0.33
,,2018 - 2019,,,,2,1,0.5,,,,,,
,13. Dewas,2018 - 2019,,,,8,2,0.25,,,,,,
,14. Dindori,2000 - 2001,,,,"27,629.00","3,395.00",0.12,,,,,,
,,2001 - 2002,,,,"28,146.00","5,086.00",0.18,,,,,,
,,2002 - 2003,,,,"27,215.00","3,541.00",0.13,,,,,,
,,2003 - 2004,,,,"27,550.00","5,676.00",0.21,,,,,,
,,2004 - 2005,,,,"26,996.00","5,952.00",0.22,,,,,,
,,2005 - 2006,,,,"27,109.00","4,939.00",0.18,,,,,,
,,2006 - 2007,,,,"26,884.00","4,806.00",0.18,,,,,,
,,2007 - 2008,,,,"25,270.00","4,604.00",0.18,,,,,,
,,2008 - 2009,,,,"25,615.00","4,839.00",0.19,,,,,,
,,2009 - 2010,,,,,,,,,,"25,636.00","4,670.00",0.18
,,2010 - 2011,,,,"24,320.00","4,430.00",0.18,,,,,,
,,2011 - 2012,,,,"23,359.00","2,834.00",0.12,,,,,,
,,2012 - 2013,,,,"22,295.00","6,608.00",0.3,,,,,,
,,2013 - 2014,,,,"21,782.00","7,322.00",0.34,,,,,,
,,2014 - 2015,,,,"7,000.00","3,000.00",0.43,,,,,,
,,2015 - 2016,,,,"23,000.00","5,000.00",0.22,,,,,,
,,2016 - 2017,,,,"22,000.00","7,000.00",0.32,,,,,,
,,2018 - 2019,,,,"10,790.00","3,224.00",0.3,,,,,,
,,2019 - 2020,,,,"2,864.00",828,0.29,,,,,,
,,2020 - 2021,,,,"9,010.00","1,622.00",0.18,,,,,,
,,2021 - 2022,,,,"4,565.00","1,598.00",0.35,,,,,,
,,2022 - 2023,,,,"5,380.00","1,323.00",0.25,,,,,,
,15. Guna,2000 - 2001,,,,748,151,0.2,,,,,,
,,2001 - 2002,,,,685,140,0.2,,,,,,
,,2002 - 2003,,,,329,30,0.09,,,,,,
,,2003 - 2004,,,,113,24,0.21,,,,,,
,,2004 - 2005,,,,76,16,0.21,,,,,,
,,2006 - 2007,,,,82,16,0.2,,,,,,
,,2007 - 2008,,,,47,10,0.21,,,,,,
,,2008 - 2009,,,,65,13,0.2,,,,,,
,,2009 - 2010,,,,,,,,,,29,4,0.14
,,2010 - 2011,,,,28,7,0.25,,,,,,
,,2018 - 2019,,,,5,2,0.4,,,,,,
,,2019 - 2020,,,,11,5,0.45,,,,,,
,,2021 - 2022,,,,3,2,0.67,,,,,,
,16. Gwalior,2017 - 2018,,,,"3,810.00",910,0.24,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,17. Harda,2000 - 2001,,,,55,14,0.25,,,,,,
,,2001 - 2002,,,,2,1,0.5,,,,,,
,,2002 - 2003,,,,2,1,0.5,,,,,,
,,2003 - 2004,,,,2,1,0.5,,,,,,
,,2004 - 2005,,,,2,1,0.5,,,,,,
,,2005 - 2006,,,,49,11,0.22,,,,,,
,,2007 - 2008,,,,2,,0,,,,,,
,,2008 - 2009,,,,40,9,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,5,1,0.2
,,2020 - 2021,,,,42,18,0.43,,,,,,
,18. Hoshangabad,2000 - 2001,,,,8,2,0.25,,,,,,
,,2001 - 2002,,,,1,0.01,0.01,,,,,,
,,2005 - 2006,,,,5,2,0.4,,,,,,
,,2007 - 2008,,,,9,3,0.33,,,,,,
,,2008 - 2009,,,,4,1,0.25,,,,,,
,,2017 - 2018,,,,800,240,0.3,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,,2019 - 2020,,,,88,18,0.2,,,,,,
,,2020 - 2021,,,,162,170,1.05,,,,,,
,19. Jabalpur,2000 - 2001,,,,"5,612.00",757,0.13,,,,,,
,,2001 - 2002,,,,"5,676.00","1,417.00",0.25,,,,,,
,,2002 - 2003,,,,"5,632.00",931,0.17,,,,,,
,,2003 - 2004,,,,"5,636.00","1,578.00",0.28,,,,,,
,,2004 - 2005,,,,"6,212.00","1,970.00",0.32,,,,,,
,,2005 - 2006,,,,"5,917.00","1,697.00",0.29,,,,,,
,,2006 - 2007,,,,"5,936.00","1,061.00",0.18,,,,,,
,,2007 - 2008,,,,"5,725.00","1,004.00",0.18,,,,,,
,,2008 - 2009,,,,"6,293.00","1,358.00",0.22,,,,,,
,,2009 - 2010,,,,,,,,,,"5,525.00","1,249.00",0.23
,,2010 - 2011,,,,"5,511.00","1,431.00",0.26,,,,,,
,,2011 - 2012,,,,"5,708.00","1,090.00",0.19,,,,,,
,,2012 - 2013,,,,"5,923.00","1,656.00",0.28,,,,,,
,,2013 - 2014,,,,"5,661.00","1,925.00",0.34,,,,,,
,,2014 - 2015,,,,"3,000.00","1,000.00",0.33,,,,,,
,,2015 - 2016,,,,"4,000.00","1,000.00",0.25,,,,,,
,,2016 - 2017,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2018 - 2019,,,,"1,119.00",347,0.31,,,,,,
,,2019 - 2020,,,,437,135,0.31,,,,,,
,,2020 - 2021,,,,"1,381.00","1,208.00",0.87,,,,,,
,,2021 - 2022,,,,220,92,0.42,,,,,,
,20. Jhabua,2015 - 2016,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2016 - 2017,,,,"3,000.00","1,000.00",0.33,,,,,,
,21. Katni,2000 - 2001,,,,57,7,0.12,,,,,,
,,2001 - 2002,,,,58,12,0.21,,,,,,
,,2002 - 2003,,,,41,5,0.12,,,,,,
,,2003 - 2004,,,,43,10,0.23,,,,,,
,,2004 - 2005,,,,75,16,0.21,,,,,,
,,2005 - 2006,,,,8,1,0.13,,,,,,
,,2006 - 2007,,,,23,1,0.04,,,,,,
,,2008 - 2009,,,,12,1,0.08,,,,,,
,,2010 - 2011,,,,6,1,0.17,,,,,,
,,2013 - 2014,,,,25,3,0.12,,,,,,
,22. Khandwa,2001 - 2002,,,,2,0.01,0.01,,,,,,
,,2003 - 2004,,,,17,4,0.24,,,,,,
,,2004 - 2005,,,,19,4,0.21,,,,,,
,,2007 - 2008,,,,2,,0,,,,,,
,,2017 - 2018,,,,400,130,0.33,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,23. Khargone,2014 - 2015,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2015 - 2016,,,,"2,000.00",246,0.12,,,,,,
,,2016 - 2017,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2017 - 2018,,,,"2,300.00",600,0.26,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,24. Mandla,2000 - 2001,,,,"7,553.00",737,0.1,,,,,,
,,2001 - 2002,,,,"7,860.00","1,562.00",0.2,,,,,,
,,2002 - 2003,,,,"7,853.00","1,447.00",0.18,,,,,,
,,2003 - 2004,,,,"7,863.00","1,734.00",0.22,,,,,,
,,2004 - 2005,,,,"8,146.00","1,767.00",0.22,,,,,,
,,2005 - 2006,,,,"8,208.00","1,632.00",0.2,,,,,,
,,2006 - 2007,,,,"8,163.00","1,623.00",0.2,,,,,,
,,2007 - 2008,,,,"8,314.00","1,653.00",0.2,,,,,,
,,2008 - 2009,,,,"8,324.00","1,654.00",0.2,,,,,,
,,2009 - 2010,,,,,,,,,,"8,198.00","1,482.00",0.18
,,2010 - 2011,,,,"7,879.00","1,595.00",0.2,,,,,,
,,2011 - 2012,,,,"7,373.00","1,013.00",0.14,,,,,,
,,2012 - 2013,,,,"4,957.00","1,040.00",0.21,,,,,,
,,2013 - 2014,,,,"5,832.00","2,108.00",0.36,,,,,,
,,2014 - 2015,,,,"5,000.00","2,000.00",0.4,,,,,,
,,2015 - 2016,,,,"16,000.00","4,000.00",0.25,,,,,,
,,2016 - 2017,,,,"14,000.00","6,000.00",0.43,,,,,,
,,2017 - 2018,,,,"4,250.00","1,920.00",0.45,,,,,,
,,2018 - 2019,,,,207,75,0.36,,,,,,
,,2019 - 2020,,,,161,55,0.34,,,,,,
,,2020 - 2021,,,,217,81,0.37,,,,,,
,,2021 - 2022,,,,792,269,0.34,,,,,,
,,2022 - 2023,,,,"3,000.00","1,164.00",0.39,,,,,,
,25. Mandsaur,2018 - 2019,,,,3,1,0.33,,,,,,
,26. Morena,2017 - 2018,,,,600,150,0.25,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,27. Narsinghpur,2000 - 2001,,,,296,117,0.4,,,,,,
,,2001 - 2002,,,,412,167,0.41,,,,,,
,,2002 - 2003,,,,306,127,0.42,,,,,,
,,2003 - 2004,,,,227,96,0.42,,,,,,
,,2004 - 2005,,,,258,108,0.42,,,,,,
,,2005 - 2006,,,,227,96,0.42,,,,,,
,,2006 - 2007,,,,186,78,0.42,,,,,,
,,2007 - 2008,,,,384,162,0.42,,,,,,
,,2008 - 2009,,,,160,68,0.43,,,,,,
,,2009 - 2010,,,,,,,,,,65,27,0.42
,,2010 - 2011,,,,93,39,0.42,,,,,,
,,2011 - 2012,,,,97,36,0.37,,,,,,
,,2012 - 2013,,,,12,5,0.42,,,,,,
,,2013 - 2014,,,,36,11,0.31,,,,,,
,,2018 - 2019,,,,2,1,0.5,,,,,,
,,2020 - 2021,,,,7,3,0.43,,,,,,
,28. Neemuch,2018 - 2019,,,,1,,0,,,,,,
,29. Panna,2000 - 2001,,,,23,3,0.13,,,,,,
,,2002 - 2003,,,,12,1,0.08,,,,,,
,,2003 - 2004,,,,6,1,0.17,,,,,,
,,2004 - 2005,,,,23,3,0.13,,,,,,
,,2005 - 2006,,,,225,39,0.17,,,,,,
,,2007 - 2008,,,,50,8,0.16,,,,,,
,,2008 - 2009,,,,18,3,0.17,,,,,,
,,2009 - 2010,,,,,,,,,,86,15,0.17
,,2010 - 2011,,,,133,26,0.2,,,,,,
,,2011 - 2012,,,,143,18,0.13,,,,,,
,,2012 - 2013,,,,29,7,0.24,,,,,,
,,2013 - 2014,,,,51,12,0.24,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2020 - 2021,,,,6,2,0.33,,,,,,
,,2021 - 2022,,,,6,2,0.33,,,,,,
,30. Raisen,2000 - 2001,,,,61,30,0.49,,,,,,
,,2001 - 2002,,,,25,10,0.4,,,,,,
,,2002 - 2003,,,,34,13,0.38,,,,,,
,,2003 - 2004,,,,24,10,0.42,,,,,,
,,2004 - 2005,,,,4,2,0.5,,,,,,
,,2005 - 2006,,,,12,5,0.42,,,,,,
,,2006 - 2007,,,,9,4,0.44,,,,,,
,,2007 - 2008,,,,20,9,0.45,,,,,,
,,2008 - 2009,,,,20,9,0.45,,,,,,
,,2009 - 2010,,,,,,,,,,16,7,0.44
,,2010 - 2011,,,,5,2,0.4,,,,,,
,,2012 - 2013,,,,15,5,0.33,,,,,,
,,2018 - 2019,,,,10,3,0.3,,,,,,
,,2019 - 2020,,,,15,4,0.27,,,,,,
,31. Rajgarh,2000 - 2001,,,,5,2,0.4,,,,,,
,,2018 - 2019,,,,3,1,0.33,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,32. Ratlam,2000 - 2001,,,,7,2,0.29,,,,,,
,,2001 - 2002,,,,1,0.01,0.01,,,,,,
,,2002 - 2003,,,,2,1,0.5,,,,,,
,,2003 - 2004,,,,2,1,0.5,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2009 - 2010,,,,,,,,,,2,1,0.5
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,33. Rewa,2000 - 2001,,,,3,0,0,,,,,,
,,2001 - 2002,,,,3,0.01,0,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
