State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,"3,628.00","94,382.00",26.01,,,,,,,,,
,,2017 - 2018,,,,"3,014.00","1,00,544.00",33.36,,,,,,,,,
,,2018 - 2019,,,,"3,606.00","1,21,068.00",33.57,,,,,,,,,
,,2019 - 2020,,,,"3,518.00","1,00,418.00",28.54,,,,,,,,,
,,2020 - 2021,,,,"3,868.00","1,18,763.00",30.7,,,,,,,,,
,,2021 - 2022,,,,"4,288.00","1,22,208.00",28.5,,,,,,,,,
,,2022 - 2023,,,,"4,291.00","1,22,299.00",28.5,,,,,,,,,
,7. Auraiya,2000 - 2001,,,,,,,"2,857.00","64,642.00",22.63,,,,,,
,,2001 - 2002,,,,,,,"2,738.00","59,475.00",21.72,,,,,,
,,2002 - 2003,,,,,,,"3,650.00","96,751.00",26.51,,,,,,
,,2003 - 2004,,,,,,,"3,647.00","78,713.00",21.58,,,,,,
,,2004 - 2005,,,,"3,270.00","69,023.00",21.11,,,,,,,,,
,,2005 - 2006,,,,"3,810.00","91,253.00",23.95,,,,,,,,,
,,2006 - 2007,,,,"4,054.00","1,24,170.00",30.63,,,,,,,,,
,,2007 - 2008,,,,"4,431.00","97,774.00",22.07,,,,,,,,,
,,2008 - 2009,,,,"4,425.00","1,41,764.00",32.04,,,,,,,,,
,,2009 - 2010,,,,"4,430.00","1,44,879.00",32.7,,,,,,,,,
,,2010 - 2011,,,,"4,636.00","1,29,034.00",27.83,,,,,,,,,
,,2011 - 2012,,,,"4,930.00","1,47,284.00",29.88,,,,,,,,,
,,2012 - 2013,,,,"5,066.00","1,57,051.00",31,,,,,,,,,
,,2013 - 2014,,,,"4,818.00","1,30,269.00",27.04,,,,,,,,,
,,2014 - 2015,,,,"6,402.00","1,70,293.00",26.6,,,,,,,,,
,,2015 - 2016,,,,"6,844.00","1,20,057.00",17.54,,,,,,,,,
,,2016 - 2017,,,,"4,945.00","1,42,347.00",28.79,,,,,,,,,
,,2017 - 2018,,,,"5,030.00","1,23,326.00",24.52,,,,,,,,,
,,2018 - 2019,,,,"4,825.00","1,72,566.00",35.76,,,,,,,,,
,,2019 - 2020,,,,"4,846.00","1,52,087.00",31.38,,,,,,,,,
,,2020 - 2021,,,,"4,931.00","1,58,754.00",32.2,,,,,,,,,
,,2021 - 2022,,,,"5,290.00","1,62,932.00",30.8,,,,,,,,,
,,2022 - 2023,,,,"5,294.00","1,63,053.00",30.8,,,,,,,,,
,8. Azamgarh,2000 - 2001,,,,,,,"5,707.00","1,05,849.00",18.55,,,,,,
,,2001 - 2002,,,,,,,"5,382.00","1,42,817.00",26.54,,,,,,
,,2002 - 2003,,,,,,,"5,352.00","1,11,878.00",20.9,,,,,,
,,2003 - 2004,,,,,,,"5,571.00","91,359.00",16.4,,,,,,
,,2004 - 2005,,,,"5,307.00","90,851.00",17.12,,,,,,,,,
,,2005 - 2006,,,,"5,571.00","1,67,526.00",30.07,,,,,,,,,
,,2006 - 2007,,,,"3,820.00","95,034.00",24.88,,,,,,,,,
,,2007 - 2008,,,,"5,774.00","1,21,774.00",21.09,,,,,,,,,
,,2008 - 2009,,,,"5,845.00","1,14,714.00",19.63,,,,,,,,,
,,2009 - 2010,,,,"5,386.00","1,30,282.00",24.19,,,,,,,,,
,,2010 - 2011,,,,"5,624.00","1,67,404.00",29.77,,,,,,,,,
,,2011 - 2012,,,,"5,151.00","1,40,628.00",27.3,,,,,,,,,
,,2012 - 2013,,,,"5,072.00","1,25,633.00",24.77,,,,,,,,,
,,2013 - 2014,,,,"4,905.00","48,236.00",9.83,,,,,,,,,
,,2014 - 2015,,,,"4,791.00","64,336.00",13.43,,,,,,,,,
,,2015 - 2016,,,,"4,518.00","80,041.00",17.72,,,,,,,,,
,,2016 - 2017,,,,"4,825.00","55,963.00",11.6,,,,,,,,,
,,2017 - 2018,,,,"4,961.00","88,311.00",17.8,,,,,,,,,
,,2018 - 2019,,,,"4,835.00","61,443.00",12.71,,,,,,,,,
,,2019 - 2020,,,,"4,820.00","51,198.00",10.62,,,,,,,,,
,,2020 - 2021,,,,"5,075.00","54,587.00",10.76,,,,,,,,,
,,2021 - 2022,,,,"5,361.00","1,61,902.00",30.2,,,,,,,,,
,,2022 - 2023,,,,"5,365.00","1,62,022.00",30.2,,,,,,,,,
,9. Baghpat,2000 - 2001,,,,,,,366,"7,879.00",21.53,,,,,,
,,2001 - 2002,,,,,,,376,"10,059.00",26.75,,,,,,
,,2002 - 2003,,,,,,,371,"9,426.00",25.41,,,,,,
,,2003 - 2004,,,,,,,353,"6,390.00",18.1,,,,,,
,,2004 - 2005,,,,344,"8,064.00",23.44,,,,,,,,,
,,2005 - 2006,,,,264,"4,559.00",17.27,,,,,,,,,
,,2006 - 2007,,,,298,"4,855.00",16.29,,,,,,,,,
,,2007 - 2008,,,,288,"4,762.00",16.53,,,,,,,,,
,,2008 - 2009,,,,255,"5,232.00",20.52,,,,,,,,,
,,2009 - 2010,,,,251,"5,557.00",22.14,,,,,,,,,
,,2010 - 2011,,,,202,"4,313.00",21.35,,,,,,,,,
,,2011 - 2012,,,,297,"6,603.00",22.23,,,,,,,,,
,,2012 - 2013,,,,249,"5,559.00",22.33,,,,,,,,,
,,2013 - 2014,,,,487,"10,630.00",21.83,,,,,,,,,
,,2014 - 2015,,,,277,"5,651.00",20.4,,,,,,,,,
,,2015 - 2016,,,,257,"5,188.00",20.19,,,,,,,,,
,,2016 - 2017,,,,384,"9,877.00",25.72,,,,,,,,,
,,2017 - 2018,,,,240,"6,890.00",28.71,,,,,,,,,
,,2018 - 2019,,,,289,"9,544.00",33.02,,,,,,,,,
,,2019 - 2020,,,,165,"4,772.00",28.92,,,,,,,,,
,,2020 - 2021,,,,255,"7,863.00",30.84,,,,,,,,,
,,2021 - 2022,,,,532,"14,524.00",27.3,,,,,,,,,
,,2022 - 2023,,,,532,"14,535.00",27.32,,,,,,,,,
,10. Bahraich,2000 - 2001,,,,,,,"2,077.00","40,703.00",19.6,,,,,,
,,2001 - 2002,,,,,,,"2,132.00","52,579.00",24.66,,,,,,
,,2002 - 2003,,,,,,,"1,698.00","39,392.00",23.2,,,,,,
,,2003 - 2004,,,,,,,"1,905.00","35,980.00",18.89,,,,,,
,,2004 - 2005,,,,"2,070.00","46,333.00",22.38,,,,,,,,,
,,2005 - 2006,,,,996,"22,342.00",22.43,,,,,,,,,
,,2006 - 2007,,,,"2,302.00","50,269.00",21.84,,,,,,,,,
,,2007 - 2008,,,,"2,357.00","51,797.00",21.98,,,,,,,,,
,,2008 - 2009,,,,"2,276.00","46,656.00",20.5,,,,,,,,,
,,2009 - 2010,,,,"2,357.00","58,609.00",24.87,,,,,,,,,
,,2010 - 2011,,,,"2,398.00","58,499.00",24.39,,,,,,,,,
,,2011 - 2012,,,,"2,185.00","48,247.00",22.08,,,,,,,,,
,,2012 - 2013,,,,"2,334.00","56,838.00",24.35,,,,,,,,,
,,2013 - 2014,,,,"1,998.00","42,287.00",21.16,,,,,,,,,
,,2014 - 2015,,,,"1,935.00","43,652.00",22.56,,,,,,,,,
,,2015 - 2016,,,,"2,142.00","49,345.00",23.04,,,,,,,,,
,,2016 - 2017,,,,"2,082.00","50,478.00",24.24,,,,,,,,,
,,2017 - 2018,,,,"2,132.00","55,861.00",26.2,,,,,,,,,
,,2018 - 2019,,,,"2,018.00","60,239.00",29.85,,,,,,,,,
,,2019 - 2020,,,,"2,245.00","60,435.00",26.92,,,,,,,,,
,,2020 - 2021,,,,"2,353.00","69,625.00",29.59,,,,,,,,,
,,2021 - 2022,,,,"2,500.00","69,750.00",27.9,,,,,,,,,
,,2022 - 2023,,,,"2,502.00","69,802.00",27.9,,,,,,,,,
,11. Ballia,2000 - 2001,,,,,,,"7,388.00","1,37,026.00",18.55,,,,,,
,,2001 - 2002,,,,,,,"6,485.00","1,72,086.00",26.54,,,,,,
,,2002 - 2003,,,,,,,"6,996.00","1,46,244.00",20.9,,,,,,
,,2003 - 2004,,,,,,,"7,336.00","1,63,358.00",22.27,,,,,,
,,2004 - 2005,,,,"7,088.00","1,21,339.00",17.12,,,,,,,,,
,,2005 - 2006,,,,"7,386.00","2,22,104.00",30.07,,,,,,,,,
,,2006 - 2007,,,,"10,355.00","2,57,612.00",24.88,,,,,,,,,
,,2007 - 2008,,,,"6,715.00","1,41,619.00",21.09,,,,,,,,,
,,2008 - 2009,,,,"7,480.00","1,46,802.00",19.63,,,,,,,,,
,,2009 - 2010,,,,"7,743.00","1,87,295.00",24.19,,,,,,,,,
,,2010 - 2011,,,,"9,007.00","2,68,102.00",29.77,,,,,,,,,
,,2011 - 2012,,,,"7,775.00","2,12,265.00",27.3,,,,,,,,,
,,2012 - 2013,,,,"8,076.00","2,00,043.00",24.77,,,,,,,,,
,,2013 - 2014,,,,"8,187.00","80,511.00",9.83,,,,,,,,,
,,2014 - 2015,,,,"6,297.00","1,03,044.00",16.36,,,,,,,,,
,,2015 - 2016,,,,"7,526.00","1,33,331.00",17.72,,,,,,,,,
,,2016 - 2017,,,,"8,161.00","2,29,259.00",28.09,,,,,,,,,
,,2017 - 2018,,,,"8,319.00","2,14,913.00",25.83,,,,,,,,,
,,2018 - 2019,,,,"10,805.00","3,28,537.00",30.41,,,,,,,,,
,,2019 - 2020,,,,"8,140.00","2,17,314.00",26.7,,,,,,,,,
,,2020 - 2021,,,,"7,954.00","2,07,695.00",26.11,,,,,,,,,
,,2021 - 2022,,,,"8,944.00","2,79,053.00",31.2,,,,,,,,,
,,2022 - 2023,,,,"8,951.00","2,79,260.00",31.2,,,,,,,,,
,12. Balrampur,2000 - 2001,,,,,,,"1,904.00","37,313.00",19.6,,,,,,
,,2001 - 2002,,,,,,,"1,733.00","42,739.00",24.66,,,,,,
,,2002 - 2003,,,,,,,"1,734.00","40,227.00",23.2,,,,,,
,,2003 - 2004,,,,,,,"1,477.00","27,896.00",18.89,,,,,,
,,2004 - 2005,,,,"1,554.00","34,783.00",22.38,,,,,,,,,
,,2005 - 2006,,,,"1,545.00","34,658.00",22.43,,,,,,,,,
,,2006 - 2007,,,,"1,549.00","33,825.00",21.84,,,,,,,,,
,,2007 - 2008,,,,"2,343.00","51,490.00",21.98,,,,,,,,,
,,2008 - 2009,,,,"1,040.00","21,319.00",20.5,,,,,,,,,
,,2009 - 2010,,,,"1,703.00","42,347.00",24.87,,,,,,,,,
,,2010 - 2011,,,,"1,601.00","39,056.00",24.39,,,,,,,,,
,,2011 - 2012,,,,"1,647.00","36,367.00",22.08,,,,,,,,,
,,2012 - 2013,,,,"1,634.00","39,791.00",24.35,,,,,,,,,
,,2013 - 2014,,,,"1,770.00","37,462.00",21.16,,,,,,,,,
,,2014 - 2015,,,,"1,789.00","40,358.00",22.56,,,,,,,,,
,,2015 - 2016,,,,"1,216.00","28,013.00",23.04,,,,,,,,,
,,2016 - 2017,,,,"1,791.00","43,423.00",24.25,,,,,,,,,
,,2017 - 2018,,,,"1,697.00","44,463.00",26.2,,,,,,,,,
,,2018 - 2019,,,,"1,660.00","49,553.00",29.85,,,,,,,,,
,,2019 - 2020,,,,"1,603.00","43,153.00",26.92,,,,,,,,,
,,2020 - 2021,,,,"1,615.00","47,788.00",29.59,,,,,,,,,
,,2021 - 2022,,,,"2,000.00","54,200.00",27.1,,,,,,,,,
,,2022 - 2023,,,,"2,001.00","54,240.00",27.11,,,,,,,,,
,13. Banda,2000 - 2001,,,,,,,97,"2,067.00",21.31,,,,,,
,,2001 - 2002,,,,,,,106,"2,614.00",24.66,,,,,,
,,2002 - 2003,,,,,,,147,"3,410.00",23.2,,,,,,
,,2003 - 2004,,,,,,,164,"3,430.00",20.91,,,,,,
,,2004 - 2005,,,,132,"2,954.00",22.38,,,,,,,,,
,,2005 - 2006,,,,304,"6,819.00",22.43,,,,,,,,,
,,2006 - 2007,,,,140,"3,057.00",21.84,,,,,,,,,
,,2007 - 2008,,,,230,"5,054.00",21.97,,,,,,,,,
,,2008 - 2009,,,,217,"4,448.00",20.5,,,,,,,,,
,,2009 - 2010,,,,332,"8,256.00",24.87,,,,,,,,,
,,2010 - 2011,,,,238,"5,806.00",24.39,,,,,,,,,
,,2011 - 2012,,,,348,"7,684.00",22.08,,,,,,,,,
,,2012 - 2013,,,,304,"7,403.00",24.35,,,,,,,,,
,,2013 - 2014,,,,347,"7,344.00",21.16,,,,,,,,,
,,2014 - 2015,,,,192,"4,331.00",22.56,,,,,,,,,
,,2015 - 2016,,,,285,"6,565.00",23.04,,,,,,,,,
,,2016 - 2017,,,,235,"5,698.00",24.25,,,,,,,,,
,,2017 - 2018,,,,173,"4,533.00",26.2,,,,,,,,,
,,2018 - 2019,,,,254,"7,582.00",29.85,,,,,,,,,
,,2019 - 2020,,,,199,"5,357.00",26.92,,,,,,,,,
,,2020 - 2021,,,,163,"4,823.00",29.59,,,,,,,,,
,,2021 - 2022,,,,378,"9,979.00",26.4,,,,,,,,,
,,2022 - 2023,,,,378,"9,986.00",26.42,,,,,,,,,
,14. Barabanki,2000 - 2001,,,,,,,"14,338.00","2,77,827.00",19.38,,,,,,
,,2001 - 2002,,,,,,,"14,402.00","3,48,125.00",24.17,,,,,,
,,2002 - 2003,,,,,,,"13,819.00","2,75,841.00",19.96,,,,,,
,,2003 - 2004,,,,,,,"14,080.00","5,60,466.00",39.81,,,,,,
,,2004 - 2005,,,,"13,938.00","2,36,416.00",16.96,,,,,,,,,
,,2005 - 2006,,,,"14,011.00","2,74,391.00",19.58,,,,,,,,,
,,2006 - 2007,,,,"15,296.00","1,77,128.00",11.58,,,,,,,,,
,,2007 - 2008,,,,"13,901.00","1,82,437.00",13.12,,,,,,,,,
,,2008 - 2009,,,,"14,939.00","1,78,880.00",11.97,,,,,,,,,
,,2009 - 2010,,,,"15,212.00","2,97,805.00",19.58,,,,,,,,,
,,2010 - 2011,,,,"13,525.00","2,75,139.00",20.34,,,,,,,,,
,,2011 - 2012,,,,"15,181.00","2,90,640.00",19.14,,,,,,,,,
,,2012 - 2013,,,,"14,712.00","2,59,814.00",17.66,,,,,,,,,
,,2013 - 2014,,,,"14,658.00","2,58,479.00",17.63,,,,,,,,,
,,2014 - 2015,,,,"17,393.00","4,36,669.00",25.11,,,,,,,,,
,,2015 - 2016,,,,"16,978.00","4,93,873.00",29.09,,,,,,,,,
,,2016 - 2017,,,,"15,121.00","4,34,411.00",28.73,,,,,,,,,
,,2017 - 2018,,,,"14,961.00","4,00,222.00",26.75,,,,,,,,,
,,2018 - 2019,,,,"19,976.00","5,83,399.00",29.2,,,,,,,,,
,,2019 - 2020,,,,"14,937.00","4,89,844.00",32.79,,,,,,,,,
,,2020 - 2021,,,,"14,914.00","4,71,357.00",31.61,,,,,,,,,
,,2021 - 2022,,,,"19,500.00","7,19,550.00",36.9,,,,,,,,,
,,2022 - 2023,,,,"19,514.00","7,20,084.00",36.9,,,,,,,,,
,15. Bareilly,2000 - 2001,,,,,,,"4,664.00","1,00,140.00",21.47,,,,,,
,,2001 - 2002,,,,,,,"4,618.00","1,05,378.00",22.82,,,,,,
,,2002 - 2003,,,,,,,"6,292.00","1,01,245.00",16.09,,,,,,
,,2003 - 2004,,,,,,,"6,030.00","1,02,371.00",16.98,,,,,,
,,2004 - 2005,,,,"5,275.00","1,06,898.00",20.27,,,,,,,,,
,,2005 - 2006,,,,"6,030.00","1,17,760.00",19.53,,,,,,,,,
,,2006 - 2007,,,,"6,850.00","1,32,767.00",19.38,,,,,,,,,
,,2007 - 2008,,,,"3,062.00","64,369.00",21.02,,,,,,,,,
,,2008 - 2009,,,,"4,324.00","73,171.00",16.92,,,,,,,,,
,,2009 - 2010,,,,"3,528.00","94,183.00",26.7,,,,,,,,,
,,2010 - 2011,,,,"2,889.00","77,252.00",26.74,,,,,,,,,
,,2011 - 2012,,,,"2,726.00","74,027.00",27.16,,,,,,,,,
,,2012 - 2013,,,,"1,875.00","46,993.00",25.06,,,,,,,,,
,,2013 - 2014,,,,"1,409.00","43,392.00",30.8,,,,,,,,,
,,2014 - 2015,,,,"1,875.00","37,684.00",20.1,,,,,,,,,
,,2015 - 2016,,,,"2,024.00","40,887.00",20.2,,,,,,,,,
,,2016 - 2017,,,,"2,695.00","74,174.00",27.52,,,,,,,,,
,,2017 - 2018,,,,"2,245.00","47,751.00",21.27,,,,,,,,,
,,2018 - 2019,,,,"2,123.00","54,733.00",25.78,,,,,,,,,
,,2019 - 2020,,,,"2,015.00","24,142.00",11.98,,,,,,,,,
,,2020 - 2021,,,,"2,338.00","55,621.00",23.79,,,,,,,,,
,,2021 - 2022,,,,"7,030.00","2,39,723.00",34.1,,,,,,,,,
,,2022 - 2023,,,,"7,035.00","2,39,901.00",34.1,,,,,,,,,
,16. Basti,2000 - 2001,,,,,,,"3,684.00","46,532.00",12.63,,,,,,
,,2001 - 2002,,,,,,,"3,018.00","74,430.00",24.66,,,,,,
,,2002 - 2003,,,,,,,"2,797.00","64,888.00",23.2,,,,,,
,,2003 - 2004,,,,,,,"2,740.00","32,044.00",11.69,,,,,,
,,2004 - 2005,,,,"2,673.00","59,830.00",22.38,,,,,,,,,
,,2005 - 2006,,,,703,"15,770.00",22.43,,,,,,,,,
,,2006 - 2007,,,,"1,054.00","23,016.00",21.84,,,,,,,,,
,,2007 - 2008,,,,"2,659.00","58,434.00",21.98,,,,,,,,,
,,2008 - 2009,,,,"2,359.00","48,357.00",20.5,,,,,,,,,
,,2009 - 2010,,,,"2,457.00","61,096.00",24.87,,,,,,,,,
,,2010 - 2011,,,,"2,450.00","59,768.00",24.4,,,,,,,,,
,,2011 - 2012,,,,"2,588.00","57,146.00",22.08,,,,,,,,,
,,2012 - 2013,,,,"2,468.00","60,101.00",24.35,,,,,,,,,
,,2013 - 2014,,,,"2,395.00","50,690.00",21.16,,,,,,,,,
,,2014 - 2015,,,,"2,435.00","54,931.00",22.56,,,,,,,,,
,,2015 - 2016,,,,"1,831.00","42,181.00",23.04,,,,,,,,,
,,2016 - 2017,,,,"2,496.00","60,515.00",24.24,,,,,,,,,
,,2017 - 2018,,,,"2,494.00","25,863.00",10.37,,,,,,,,,
,,2018 - 2019,,,,"2,405.00","71,792.00",29.85,,,,,,,,,
,,2019 - 2020,,,,"2,506.00","67,462.00",26.92,,,,,,,,,
,,2020 - 2021,,,,"2,540.00","75,159.00",29.59,,,,,,,,,
,,2021 - 2022,,,,"2,618.00","73,042.00",27.9,,,,,,,,,
,,2022 - 2023,,,,"2,620.00","73,096.00",27.9,,,,,,,,,
,17. Bijnor,2000 - 2001,,,,,,,958,"18,924.00",19.75,,,,,,
,,2001 - 2002,,,,,,,915,"21,262.00",23.24,,,,,,
,,2002 - 2003,,,,,,,"1,103.00","29,295.00",26.56,,,,,,
,,2003 - 2004,,,,,,,"1,073.00","28,528.00",26.59,,,,,,
,,2004 - 2005,,,,874,"22,934.00",26.24,,,,,,,,,
,,2005 - 2006,,,,888,"21,576.00",24.3,,,,,,,,,
,,2006 - 2007,,,,"1,092.00","28,465.00",26.07,,,,,,,,,
,,2007 - 2008,,,,834,"18,765.00",22.5,,,,,,,,,
,,2008 - 2009,,,,"1,215.00","25,445.00",20.94,,,,,,,,,
,,2009 - 2010,,,,696,"16,299.00",23.42,,,,,,,,,
,,2010 - 2011,,,,873,"21,247.00",24.34,,,,,,,,,
,,2011 - 2012,,,,654,"17,076.00",26.11,,,,,,,,,
,,2012 - 2013,,,,735,"16,995.00",23.12,,,,,,,,,
,,2013 - 2014,,,,898,"17,255.00",19.21,,,,,,,,,
,,2014 - 2015,,,,861,"23,776.00",27.61,,,,,,,,,
,,2015 - 2016,,,,579,"14,231.00",24.58,,,,,,,,,
,,2016 - 2017,,,,"1,062.00","25,838.00",24.33,,,,,,,,,
,,2017 - 2018,,,,647,"16,575.00",25.62,,,,,,,,,
,,2018 - 2019,,,,663,"19,509.00",29.43,,,,,,,,,
,,2019 - 2020,,,,634,"18,806.00",29.66,,,,,,,,,
,,2020 - 2021,,,,919,"27,947.00",30.41,,,,,,,,,
,,2021 - 2022,,,,"1,980.00","57,618.00",29.1,,,,,,,,,
,,2022 - 2023,,,,"1,981.00","57,661.00",29.11,,,,,,,,,
,18. Budaun,2000 - 2001,,,,,,,"16,612.00","3,04,282.00",18.32,,,,,,
,,2001 - 2002,,,,,,,"17,210.00","4,12,971.00",24,,,,,,
,,2002 - 2003,,,,,,,"22,479.00","4,64,663.00",20.67,,,,,,
,,2003 - 2004,,,,,,,"21,706.00","5,21,031.00",24,,,,,,
,,2004 - 2005,,,,"19,050.00","4,28,339.00",22.48,,,,,,,,,
,,2005 - 2006,,,,"23,119.00","4,69,662.00",20.31,,,,,,,,,
,,2006 - 2007,,,,"23,459.00","3,98,780.00",17,,,,,,,,,
,,2007 - 2008,,,,"18,817.00","4,44,175.00",23.6,,,,,,,,,
,,2008 - 2009,,,,"16,653.00","2,60,420.00",15.64,,,,,,,,,
,,2009 - 2010,,,,"15,108.00","3,67,638.00",24.33,,,,,,,,,
,,2010 - 2011,,,,"15,245.00","3,43,317.00",22.52,,,,,,,,,
,,2011 - 2012,,,,"12,044.00","2,46,529.00",20.47,,,,,,,,,
,,2012 - 2013,,,,"13,101.00","2,37,023.00",18.09,,,,,,,,,
,,2013 - 2014,,,,"13,478.00","2,37,833.00",17.65,,,,,,,,,
,,2014 - 2015,,,,"15,112.00","3,01,273.00",19.94,,,,,,,,,
,,2015 - 2016,,,,"16,919.00","4,18,288.00",24.72,,,,,,,,,
,,2016 - 2017,,,,"11,931.00","1,97,721.00",16.57,,,,,,,,,
,,2017 - 2018,,,,"12,897.00","2,13,897.00",16.59,,,,,,,,,
,,2018 - 2019,,,,"17,592.00","4,96,270.00",28.21,,,,,,,,,
,,2019 - 2020,,,,"12,104.00","3,09,572.00",25.58,,,,,,,,,
,,2020 - 2021,,,,"13,578.00","3,39,436.00",25,,,,,,,,,
,,2021 - 2022,,,,"23,000.00","8,53,300.00",37.1,,,,,,,,,
,,2022 - 2023,,,,"23,017.00","8,53,934.00",37.1,,,,,,,,,
,19. Bulandshahr,2000 - 2001,,,,,,,"6,563.00","1,41,276.00",21.53,,,,,,
,,2001 - 2002,,,,,,,"6,234.00","1,61,779.00",25.95,,,,,,
,,2002 - 2003,,,,,,,"7,026.00","1,52,050.00",21.64,,,,,,
,,2003 - 2004,,,,,,,"7,350.00","1,27,647.00",17.37,,,,,,
,,2004 - 2005,,,,"7,098.00","1,34,252.00",18.91,,,,,,,,,
,,2005 - 2006,,,,"7,350.00","1,25,156.00",17.03,,,,,,,,,
,,2006 - 2007,,,,"7,752.00","1,34,955.00",17.41,,,,,,,,,
,,2007 - 2008,,,,"9,841.00","1,62,898.00",16.55,,,,,,,,,
,,2008 - 2009,,,,"7,786.00","1,44,656.00",18.58,,,,,,,,,
,,2009 - 2010,,,,"7,090.00","1,35,291.00",19.08,,,,,,,,,
,,2010 - 2011,,,,"7,217.00","1,40,082.00",19.41,,,,,,,,,
,,2011 - 2012,,,,"8,280.00","1,66,089.00",20.06,,,,,,,,,
,,2012 - 2013,,,,"8,281.00","1,64,618.00",19.88,,,,,,,,,
,,2013 - 2014,,,,"8,676.00","1,49,722.00",17.26,,,,,,,,,
,,2014 - 2015,,,,"6,855.00","1,53,840.00",22.44,,,,,,,,,
,,2015 - 2016,,,,"9,989.00","2,33,243.00",23.35,,,,,,,,,
,,2016 - 2017,,,,"8,834.00","2,12,626.00",24.07,,,,,,,,,
,,2017 - 2018,,,,"8,321.00","2,28,919.00",27.51,,,,,,,,,
,,2018 - 2019,,,,"7,928.00","2,53,759.00",32.01,,,,,,,,,
,,2019 - 2020,,,,"8,495.00","2,32,202.00",27.33,,,,,,,,,
,,2020 - 2021,,,,"9,569.00","2,77,788.00",29.03,,,,,,,,,
,,2021 - 2022,,,,"9,479.00","3,01,432.00",31.8,,,,,,,,,
,,2022 - 2023,,,,"9,486.00","3,01,656.00",31.8,,,,,,,,,
,20. Chandauli,2000 - 2001,,,,,,,966,"21,889.00",22.66,,,,,,
,,2001 - 2002,,,,,,,"1,006.00","20,518.00",20.4,,,,,,
,,2002 - 2003,,,,,,,987,"19,792.00",20.05,,,,,,
,,2003 - 2004,,,,,,,961,"17,927.00",18.65,,,,,,
,,2004 - 2005,,,,980,"19,387.00",19.78,,,,,,,,,
,,2005 - 2006,,,,"1,141.00","24,709.00",21.66,,,,,,,,,
,,2006 - 2007,,,,"1,375.00","26,717.00",19.43,,,,,,,,,
,,2007 - 2008,,,,914,"18,968.00",20.75,,,,,,,,,
,,2008 - 2009,,,,"1,084.00","14,751.00",13.61,,,,,,,,,
,,2009 - 2010,,,,"1,070.00","24,433.00",22.83,,,,,,,,,
,,2010 - 2011,,,,756,"13,353.00",17.66,,,,,,,,,
,,2011 - 2012,,,,"1,051.00","18,906.00",17.99,,,,,,,,,
,,2012 - 2013,,,,486,"8,643.00",17.78,,,,,,,,,
,,2013 - 2014,,,,517,"8,036.00",15.54,,,,,,,,,
,,2014 - 2015,,,,881,"17,858.00",20.27,,,,,,,,,
,,2015 - 2016,,,,776,"13,018.00",16.78,,,,,,,,,
,,2016 - 2017,,,,848,"16,625.00",19.6,,,,,,,,,
,,2017 - 2018,,,,624,"6,689.00",10.72,,,,,,,,,
,,2018 - 2019,,,,799,"11,106.00",13.9,,,,,,,,,
,,2019 - 2020,,,,833,"10,196.00",12.24,,,,,,,,,
,,2020 - 2021,,,,823,"13,086.00",15.9,,,,,,,,,
,,2021 - 2022,,,,"1,390.00","39,893.00",28.7,,,,,,,,,
,,2022 - 2023,,,,"1,391.00","39,923.00",28.7,,,,,,,,,
,21. Chitrakoot,2000 - 2001,,,,,,,267,"5,690.00",21.31,,,,,,
,,2001 - 2002,,,,,,,190,"4,686.00",24.66,,,,,,
,,2002 - 2003,,,,,,,271,"6,287.00",23.2,,,,,,
,,2003 - 2004,,,,,,,332,"6,944.00",20.92,,,,,,
,,2004 - 2005,,,,302,"6,760.00",22.38,,,,,,,,,
,,2005 - 2006,,,,398,"8,928.00",22.43,,,,,,,,,
,,2006 - 2007,,,,246,"5,372.00",21.84,,,,,,,,,
,,2007 - 2008,,,,310,"6,813.00",21.98,,,,,,,,,
,,2008 - 2009,,,,314,"6,437.00",20.5,,,,,,,,,
,,2009 - 2010,,,,150,"3,730.00",24.87,,,,,,,,,
,,2010 - 2011,,,,365,"8,904.00",24.39,,,,,,,,,
,,2011 - 2012,,,,364,"8,037.00",22.08,,,,,,,,,
,,2012 - 2013,,,,342,"8,329.00",24.35,,,,,,,,,
,,2013 - 2014,,,,316,"6,688.00",21.16,,,,,,,,,
,,2014 - 2015,,,,338,"7,625.00",22.56,,,,,,,,,
,,2015 - 2016,,,,318,"7,326.00",23.04,,,,,,,,,
,,2016 - 2017,,,,332,"8,049.00",24.24,,,,,,,,,
,,2017 - 2018,,,,207,"5,423.00",26.2,,,,,,,,,
,,2018 - 2019,,,,653,"19,493.00",29.85,,,,,,,,,
,,2019 - 2020,,,,164,"4,415.00",26.92,,,,,,,,,
,,2020 - 2021,,,,278,"8,226.00",29.59,,,,,,,,,
,,2021 - 2022,,,,346,"9,031.00",26.1,,,,,,,,,
,,2022 - 2023,,,,346,"9,038.00",26.12,,,,,,,,,
,22. Deoria,2000 - 2001,,,,,,,"2,126.00","30,079.00",14.15,,,,,,
,,2001 - 2002,,,,,,,"2,049.00","28,102.00",13.71,,,,,,
