State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,,,,91,330,3.63,,,,,,
,,2022 - 2023,,,,,,,94,341,3.63,,,,,,
,9. Leparada,2019 - 2020,,,,,,,82,557,6.79,,,,,,
,,2020 - 2021,,,,,,,82,564,6.88,,,,,,
,,2021 - 2022,,,,,,,83,640,7.71,,,,,,
,,2022 - 2023,,,,,,,87,671,7.71,,,,,,
,10. Lohit,2000 - 2001,,,,,,,650,"6,240.00",9.6,,,,,,
,,2001 - 2002,,,,,,,620,"5,084.00",8.2,,,,,,
,,2002 - 2003,,,,,,,630,"5,166.00",8.2,,,,,,
,,2003 - 2004,,,,,,,580,"4,756.00",8.2,,,,,,
,,2004 - 2005,,,,,,,125,"1,000.00",8,,,,,,
,,2005 - 2006,,,,,,,795,"6,598.00",8.3,,,,,,
,,2006 - 2007,,,,,,,625,"5,719.00",9.15,,,,,,
,,2007 - 2008,,,,,,,620,"5,704.00",9.2,,,,,,
,,2008 - 2009,,,,,,,682,"6,295.00",9.23,,,,,,
,,2009 - 2010,,,,,,,705,"6,627.00",9.4,,,,,,
,,2010 - 2011,,,,,,,732,"6,881.00",9.4,,,,,,
,,2011 - 2012,,,,,,,778,"7,681.00",9.87,,,,,,
,,2012 - 2013,,,,,,,860,"7,740.00",9,,,,,,
,,2013 - 2014,,,,,,,863,"8,025.00",9.3,,,,,,
,,2014 - 2015,,,,,,,872,"8,104.00",9.29,,,,,,
,,2015 - 2016,,,,,,,389,"3,102.00",7.97,,,,,,
,,2016 - 2017,,,,,,,389,"3,102.00",7.97,,,,,,
,,2017 - 2018,,,,,,,394,"3,154.00",8.01,,,,,,
,,2018 - 2019,,,,,,,398,"3,186.00",8.01,,,,,,
,,2019 - 2020,,,,,,,399,"3,194.00",8.01,,,,,,
,,2020 - 2021,,,,,,,399,"3,201.00",8.02,,,,,,
,,2021 - 2022,,,,,,,409,"3,272.00",8,,,,,,
,,2022 - 2023,,,,,,,415,"3,322.00",8,,,,,,
,11. Longding,2013 - 2014,,,,,,,32,86,2.69,,,,,,
,,2015 - 2016,,,,,,,83,420,5.06,,,,,,
,,2016 - 2017,,,,,,,83,420,5.06,,,,,,
,,2017 - 2018,,,,,,,88,472,5.36,,,,,,
,,2018 - 2019,,,,,,,92,504,5.48,,,,,,
,,2019 - 2020,,,,,,,93,512,5.51,,,,,,
,,2020 - 2021,,,,,,,93,518,5.57,,,,,,
,,2021 - 2022,,,,,,,94,524,5.57,,,,,,
,,2022 - 2023,,,,,,,97,541,5.58,,,,,,
,12. Lower dibang valley,2002 - 2003,,,,,,,76,608,8,,,,,,
,,2003 - 2004,,,,,,,100,800,8,,,,,,
,,2004 - 2005,,,,,,,50,335,6.7,,,,,,
,,2005 - 2006,,,,,,,140,"1,120.00",8,,,,,,
,,2006 - 2007,,,,,,,140,"1,120.00",8,,,,,,
,,2007 - 2008,,,,,,,288,"2,304.00",8,,,,,,
,,2008 - 2009,,,,,,,295,"2,360.00",8,,,,,,
,,2009 - 2010,,,,,,,301,"2,408.00",8,,,,,,
,,2010 - 2011,,,,,,,310,"2,480.00",8,,,,,,
,,2011 - 2012,,,,,,,329,"2,768.00",8.41,,,,,,
,,2012 - 2013,,,,,,,375,"3,000.00",8,,,,,,
,,2013 - 2014,,,,,,,375,"3,000.00",8,,,,,,
,,2014 - 2015,,,,,,,384,"3,079.00",8.02,,,,,,
,,2015 - 2016,,,,,,,424,"3,080.00",7.26,,,,,,
,,2016 - 2017,,,,,,,424,"3,080.00",7.26,,,,,,
,,2017 - 2018,,,,,,,429,"3,132.00",7.3,,,,,,
,,2018 - 2019,,,,,,,433,"3,172.00",7.33,,,,,,
