State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,833,"2,546.00",3.06,"1,079.00","2,487.00",2.3,,,,,,,,,,,,
,,2021 - 2022,992,"3,345.00",3.37,992,"2,622.00",2.64,,,,,,,,,,,,
,,2022 - 2023,446,"1,306.00",2.93,628,"1,571.00",2.5,,,,,,,,,,,,
,14. Kurnool,2000 - 2001,"33,563.00","61,521.00",1.83,"2,07,639.00","2,04,317.00",0.98,,,,,,,,,,,,
,,2001 - 2002,"33,333.00","67,566.00",2.03,"1,75,910.00","1,51,283.00",0.86,,,,,,,,,,,,
,,2002 - 2003,"18,980.00","26,667.00",1.41,"1,67,944.00","96,568.00",0.58,,,,,,,,,,,,
,,2003 - 2004,"17,180.00","31,628.00",1.84,"1,72,279.00","1,64,182.00",0.95,,,,,,,,,,,,
,,2004 - 2005,"19,367.00","36,933.00",1.91,"1,81,856.00","1,70,035.00",0.93,,,,,,,,,,,,
,,2005 - 2006,"26,985.00","53,997.00",2,"2,24,525.00","2,43,610.00",1.09,,,,,,,,,,,,
,,2006 - 2007,"24,156.00","45,051.00",1.87,"1,86,459.00","1,14,113.00",0.61,,,,,,,,,,,,
,,2007 - 2008,"31,000.00","74,000.00",2.39,"2,06,000.00","2,59,000.00",1.26,,,,,,,,,,,,
,,2008 - 2009,"22,185.00","49,162.00",2.22,"2,23,958.00","1,26,984.00",0.57,,,,,,,,,,,,
,,2009 - 2010,"23,915.00","53,617.00",2.24,"1,67,441.00","70,158.00",0.42,,,,,,,,,,,,
,,2010 - 2011,"25,403.00","59,265.00",2.33,"1,53,489.00","91,633.00",0.6,,,,,,,,,,,,
,,2011 - 2012,"17,307.00","26,428.00",1.53,"84,011.00","20,835.00",0.25,,,,,,,,,,,,
,,2012 - 2013,"22,000.00","45,000.00",2.05,"1,19,000.00","88,000.00",0.74,,,,,,,,,,,,
,,2013 - 2014,"16,855.00","34,384.00",2.04,"1,50,918.00","1,36,128.00",0.9,,,,,,,,,,,,
,,2014 - 2015,"13,725.00","31,595.00",2.3,"94,160.00","67,607.00",0.72,,,,,,,,,,,,
,,2015 - 2016,"13,560.00","27,812.00",2.05,"73,370.00","66,620.00",0.91,,,,,,,,,,,,
,,2016 - 2017,"17,511.00","36,143.00",2.06,"1,13,447.00","99,153.00",0.87,,,,,,,,,,,,
,,2017 - 2018,"14,323.00","30,136.00",2.1,"85,784.00","1,21,985.00",1.42,,,,,,,,,,,,
,,2018 - 2019,"9,225.00","19,400.00",2.1,"89,187.00","42,542.00",0.48,,,,,,,,,,,,
,,2019 - 2020,"15,531.00","41,856.00",2.69,"79,542.00","1,25,040.00",1.57,,,,,,,,,,,,
,,2020 - 2021,"30,621.00","63,202.00",2.06,"93,972.00","95,288.00",1.01,,,,,,,,,,,,
,,2021 - 2022,"18,461.00","33,304.00",1.8,"95,529.00","67,921.00",0.71,,,,,,,,,,,,
,,2022 - 2023,"15,475.00","42,309.00",2.73,"43,865.00","44,216.00",1.01,,,,,,,,,,,,
,15. Nandyal,2022 - 2023,"3,112.00","6,205.00",1.99,"9,763.00","7,391.00",0.76,,,,,,,,,,,,
,16. Ntr,2022 - 2023,21,79,3.76,30,93,3.1,,,,,,,,,,,,
,17. Palnadu,2022 - 2023,150,435,2.9,23,71,3.09,,,,,,,,,,,,
,18. Parvathipuram manyam,2022 - 2023,148,555,3.75,28,87,3.11,,,,,,,,,,,,
,19. Prakasam,2000 - 2001,"9,927.00","12,180.00",1.23,"4,844.00","4,190.00",0.86,,,,,,,,,,,,
,,2001 - 2002,"4,936.00","8,534.00",1.73,"1,524.00","1,212.00",0.8,,,,,,,,,,,,
,,2002 - 2003,"4,925.00","6,531.00",1.33,"1,711.00","1,761.00",1.03,,,,,,,,,,,,
,,2003 - 2004,"5,793.00","10,787.00",1.86,"1,414.00","1,654.00",1.17,,,,,,,,,,,,
,,2004 - 2005,"6,724.00","14,544.00",2.16,"2,082.00","2,051.00",0.99,,,,,,,,,,,,
,,2005 - 2006,"7,471.00","16,952.00",2.27,"2,339.00","2,662.00",1.14,,,,,,,,,,,,
,,2006 - 2007,"5,555.00","18,248.00",3.28,"1,568.00",862,0.55,,,,,,,,,,,,
,,2007 - 2008,"8,000.00","17,000.00",2.13,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"7,179.00","18,917.00",2.64,"2,395.00",218,0.09,,,,,,,,,,,,
,,2009 - 2010,"5,526.00","18,418.00",3.33,"2,052.00","2,274.00",1.11,,,,,,,,,,,,
,,2010 - 2011,"5,844.00","14,487.00",2.48,"2,378.00",388,0.16,,,,,,,,,,,,
,,2011 - 2012,"4,106.00","12,330.00",3,"2,172.00",150,0.07,,,,,,,,,,,,
,,2012 - 2013,"5,000.00","14,000.00",2.8,"3,000.00","5,000.00",1.67,,,,,,,,,,,,
,,2013 - 2014,"3,371.00","12,277.00",3.64,"3,484.00","6,522.00",1.87,,,,,,,,,,,,
,,2014 - 2015,"2,590.00","9,391.00",3.63,"2,376.00","3,835.00",1.61,,,,,,,,,,,,
,,2015 - 2016,"3,474.00","9,557.00",2.75,"2,949.00","9,572.00",3.25,,,,,,,,,,,,
,,2016 - 2017,"2,421.00","7,849.00",3.24,"3,771.00","10,069.00",2.67,,,,,,,,,,,,
,,2017 - 2018,"1,186.00","2,986.00",2.52,"3,106.00","7,420.00",2.39,,,,,,,,,,,,
,,2018 - 2019,855,"3,378.00",3.95,"1,105.00","4,239.00",3.84,,,,,,,,,,,,
,,2019 - 2020,"1,422.00","4,299.00",3.02,"1,605.00","5,117.00",3.19,,,,,,,,,,,,
,,2020 - 2021,"1,139.00","3,156.00",2.77,"2,421.00","7,483.00",3.09,,,,,,,,,,,,
,,2021 - 2022,"1,636.00","3,802.00",2.32,"1,693.00","4,392.00",2.59,,,,,,,,,,,,
,,2022 - 2023,292,486,1.66,446,989,2.22,,,,,,,,,,,,
,20. Spsr nellore,2000 - 2001,"6,809.00","13,598.00",2,"3,796.00","5,413.00",1.43,,,,,,,,,,,,
,,2001 - 2002,"7,111.00","18,531.00",2.61,"2,616.00","3,817.00",1.46,,,,,,,,,,,,
,,2002 - 2003,"5,487.00","13,849.00",2.52,"4,242.00","7,894.00",1.86,,,,,,,,,,,,
,,2003 - 2004,"8,518.00","17,411.00",2.04,"5,611.00","10,364.00",1.85,,,,,,,,,,,,
,,2004 - 2005,"7,980.00","22,328.00",2.8,"3,628.00","6,937.00",1.91,,,,,,,,,,,,
,,2005 - 2006,"6,930.00","18,787.00",2.71,"6,420.00","11,357.00",1.77,,,,,,,,,,,,
,,2006 - 2007,"4,999.00","13,162.00",2.63,"5,382.00","12,718.00",2.36,,,,,,,,,,,,
,,2007 - 2008,"7,000.00","17,000.00",2.43,"5,000.00","11,000.00",2.2,,,,,,,,,,,,
,,2008 - 2009,"5,498.00","16,175.00",2.94,"7,147.00","20,083.00",2.81,,,,,,,,,,,,
,,2009 - 2010,"5,016.00","15,540.00",3.1,"4,568.00","12,160.00",2.66,,,,,,,,,,,,
,,2010 - 2011,"4,437.00","11,061.00",2.49,"5,840.00","12,655.00",2.17,,,,,,,,,,,,
,,2011 - 2012,"4,260.00","12,771.00",3,"7,141.00","18,010.00",2.52,,,,,,,,,,,,
,,2012 - 2013,"6,000.00","20,000.00",3.33,"8,000.00","22,000.00",2.75,,,,,,,,,,,,
,,2013 - 2014,"4,294.00","13,608.00",3.17,"10,775.00","31,323.00",2.91,,,,,,,,,,,,
,,2014 - 2015,"3,742.00","13,916.00",3.72,"4,707.00","13,297.00",2.82,,,,,,,,,,,,
,,2015 - 2016,"5,251.00","19,318.00",3.68,"5,352.00","15,895.00",2.97,,,,,,,,,,,,
,,2016 - 2017,"3,371.00","12,385.00",3.67,"12,184.00","31,971.00",2.62,,,,,,,,,,,,
,,2017 - 2018,"3,854.00","14,510.00",3.76,"8,208.00","27,940.00",3.4,,,,,,,,,,,,
,,2018 - 2019,"3,025.00","12,275.00",4.06,"6,463.00","26,039.00",4.03,,,,,,,,,,,,
,,2019 - 2020,"3,348.00","13,419.00",4.01,"5,607.00","23,050.00",4.11,,,,,,,,,,,,
,,2020 - 2021,"3,172.00","12,821.00",4.04,"10,636.00","42,916.00",4.03,,,,,,,,,,,,
,,2021 - 2022,"3,314.00","14,260.00",4.3,"7,161.00","28,379.00",3.96,,,,,,,,,,,,
,,2022 - 2023,"2,139.00","10,449.00",4.88,"6,239.00","24,089.00",3.86,,,,,,,,,,,,
,21. Sri sathya sai,2022 - 2023,"20,883.00","46,193.00",2.21,"1,83,385.00","50,431.00",0.28,,,,,,,,,,,,
,22. Srikakulam,2000 - 2001,"6,069.00","5,935.00",0.98,"33,753.00","31,863.00",0.94,,,,,,,,,,,,
,,2001 - 2002,"5,580.00","6,211.00",1.11,"30,461.00","21,566.00",0.71,,,,,,,,,,,,
,,2002 - 2003,"3,999.00","4,575.00",1.14,"29,254.00","20,829.00",0.71,,,,,,,,,,,,
,,2003 - 2004,"6,926.00","11,026.00",1.59,"26,583.00","22,941.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"6,988.00","7,302.00",1.04,"30,872.00","28,001.00",0.91,,,,,,,,,,,,
,,2005 - 2006,"6,832.00","11,423.00",1.67,"28,235.00","30,070.00",1.06,,,,,,,,,,,,
,,2006 - 2007,"6,970.00","11,898.00",1.71,"27,943.00","20,650.00",0.74,,,,,,,,,,,,
,,2007 - 2008,"8,000.00","18,000.00",2.25,"22,000.00","22,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"7,330.00","9,602.00",1.31,"22,507.00","20,954.00",0.93,,,,,,,,,,,,
