State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,710,"2,338.00",3.29,347,755,2.18,,,,,,,,,,,,
,,2016 - 2017,667,"2,159.00",3.24,121,189,1.56,,,,,,,,,,,,
,,2017 - 2018,522,"2,045.00",3.92,83,204,2.46,,,,,,,,,,,,
,,2018 - 2019,465,"1,622.00",3.49,129,279,2.16,,,,,,,,,,,,
,,2019 - 2020,820,"3,071.00",3.75,19,48,2.53,,,,,,,,,,,,
,,2020 - 2021,977,"3,152.00",3.23,132,281,2.13,,,,,,,,,,,,
,,2021 - 2022,946,"3,692.00",3.9,413,940,2.28,,,,,,,,,,,,
,,2022 - 2023,612,"2,138.00",3.49,168,356,2.12,,,,,,,,,,,,
,31. Tiruchirappalli,2000 - 2001,,,,"27,074.00","39,109.00",1.44,,,,,,,,,,,,
,,2001 - 2002,,,,"13,518.00","24,880.00",1.84,,,,,,,,,,,,
,,2002 - 2003,,,,"9,005.00","15,616.00",1.73,,,,,,,,,,,,
,,2003 - 2004,,,,"12,583.00","20,484.00",1.63,,,,,,,,,,,,
,,2004 - 2005,,,,"15,456.00","26,820.00",1.74,,,,,,,,,,,,
,,2005 - 2006,,,,"17,463.00","31,422.00",1.8,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"13,562.00","30,622.00",2.26,,,,,,
,,2007 - 2008,,,,,,,,,,"14,113.00","26,045.00",1.85,,,,,,
,,2008 - 2009,,,,,,,,,,"13,162.00","21,171.00",1.61,,,,,,
,,2009 - 2010,,,,,,,,,,"11,540.00","20,175.00",1.75,,,,,,
,,2010 - 2011,,,,"10,584.00","19,115.00",1.81,,,,,,,,,,,,
,,2011 - 2012,"4,121.00","14,514.00",3.52,"7,357.00","12,306.00",1.67,,,,,,,,,,,,
,,2012 - 2013,,,,"8,482.00","21,436.00",2.53,,,,,,,,,,,,
,,2013 - 2014,"1,384.00","5,106.00",3.69,"6,509.00","14,928.00",2.29,,,,,,,,,,,,
,,2014 - 2015,"2,306.00","7,248.00",3.14,"6,220.00","13,785.00",2.22,,,,,,,,,,,,
,,2015 - 2016,"2,394.00","5,798.00",2.42,"7,062.00","14,816.00",2.1,,,,,,,,,,,,
,,2016 - 2017,"1,186.00","2,452.00",2.07,"6,229.00","6,856.00",1.1,,,,,,,,,,,,
,,2017 - 2018,"2,101.00","5,372.00",2.56,"8,281.00","23,816.00",2.88,,,,,,,,,,,,
,,2018 - 2019,"1,439.00","3,903.00",2.71,"5,144.00","16,006.00",3.11,,,,,,,,,,,,
,,2019 - 2020,"1,653.00","4,348.00",2.63,"6,382.00","14,190.00",2.22,,,,,,,,,,,,
,,2020 - 2021,"1,520.00","5,179.00",3.41,"7,685.00","18,614.00",2.42,,,,,,,,,,,,
,,2021 - 2022,"1,675.00","6,535.00",3.9,"6,691.00","7,915.00",1.18,,,,,,,,,,,,
,,2022 - 2023,"1,790.00","6,222.00",3.48,"5,278.00","7,290.00",1.38,,,,,,,,,,,,
,32. Tirunelveli,2000 - 2001,,,,"9,896.00","20,508.00",2.07,,,,,,,,,,,,
,,2001 - 2002,,,,"4,434.00","7,350.00",1.66,,,,,,,,,,,,
,,2002 - 2003,,,,"3,697.00","5,638.00",1.53,,,,,,,,,,,,
,,2003 - 2004,,,,"2,596.00","4,599.00",1.77,,,,,,,,,,,,
,,2004 - 2005,,,,"3,945.00","8,869.00",2.25,,,,,,,,,,,,
,,2005 - 2006,,,,"4,562.00","9,559.00",2.1,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"4,261.00","7,108.00",1.67,,,,,,
,,2007 - 2008,,,,,,,,,,"3,060.00","5,406.00",1.77,,,,,,
,,2008 - 2009,,,,,,,,,,"2,773.00","4,866.00",1.75,,,,,,
,,2009 - 2010,,,,,,,,,,"1,431.00","2,148.00",1.5,,,,,,
,,2010 - 2011,,,,"1,011.00","2,237.00",2.21,,,,,,,,,,,,
,,2011 - 2012,402,"1,506.00",3.75,688,"1,791.00",2.6,,,,,,,,,,,,
,,2012 - 2013,,,,"1,233.00","3,223.00",2.61,,,,,,,,,,,,
,,2013 - 2014,246,893,3.63,388,859,2.21,,,,,,,,,,,,
,,2014 - 2015,"1,272.00","4,377.00",3.44,525,"1,228.00",2.34,,,,,,,,,,,,
,,2015 - 2016,"1,204.00","3,965.00",3.29,817,"1,777.00",2.18,,,,,,,,,,,,
,,2016 - 2017,104,251,2.41,738,"1,157.00",1.57,,,,,,,,,,,,
,,2017 - 2018,303,"1,187.00",3.92,267,657,2.46,,,,,,,,,,,,
,,2018 - 2019,308,"1,073.00",3.48,488,"1,057.00",2.17,,,,,,,,,,,,
,,2019 - 2020,618,"2,312.00",3.74,534,"1,325.00",2.48,,,,,,,,,,,,
,,2020 - 2021,624,"2,014.00",3.23,144,307,2.13,,,,,,,,,,,,
,,2021 - 2022,465,"1,812.00",3.9,211,479,2.27,,,,,,,,,,,,
,,2022 - 2023,211,737,3.49,95,202,2.13,,,,,,,,,,,,
,33. Tirupathur,2020 - 2021,506,"1,632.00",3.23,"13,622.00","28,282.00",2.08,,,,,,,,,,,,
,,2021 - 2022,191,746,3.91,"12,244.00","25,891.00",2.11,,,,,,,,,,,,
,,2022 - 2023,586,"2,046.00",3.49,"12,605.00","27,514.00",2.18,,,,,,,,,,,,
,34. Tiruppur,2008 - 2009,,,,,,,,,,"9,670.00",,0,,,,,,
,,2009 - 2010,,,,,,,,,,"8,035.00","18,257.00",2.27,,,,,,
,,2010 - 2011,,,,"7,871.00","15,363.00",1.95,,,,,,,,,,,,
,,2011 - 2012,"1,892.00","11,628.00",6.15,"6,361.00","8,081.00",1.27,,,,,,,,,,,,
,,2012 - 2013,,,,"5,098.00","6,386.00",1.25,,,,,,,,,,,,
,,2013 - 2014,854,"3,466.00",4.06,"6,568.00","7,041.00",1.07,,,,,,,,,,,,
,,2014 - 2015,"2,375.00","7,006.00",2.95,"5,410.00","10,579.00",1.96,,,,,,,,,,,,
,,2015 - 2016,"2,176.00","6,717.00",3.09,"6,275.00","10,404.00",1.66,,,,,,,,,,,,
,,2016 - 2017,368,"1,269.00",3.45,"5,049.00","3,459.00",0.69,,,,,,,,,,,,
,,2017 - 2018,"1,513.00","5,174.00",3.42,"6,663.00","15,451.00",2.32,,,,,,,,,,,,
,,2018 - 2019,"1,492.00","5,206.00",3.49,"6,358.00","10,040.00",1.58,,,,,,,,,,,,
,,2019 - 2020,"1,090.00","2,816.00",2.58,"5,788.00","5,211.00",0.9,,,,,,,,,,,,
,,2020 - 2021,"1,029.00","2,697.00",2.62,"6,711.00","11,384.00",1.7,,,,,,,,,,,,
,,2021 - 2022,"1,674.00","6,668.00",3.98,"6,853.00","9,663.00",1.41,,,,,,,,,,,,
,,2022 - 2023,"1,389.00","5,248.00",3.78,"6,557.00","6,937.00",1.06,,,,,,,,,,,,
,35. Tiruvannamalai,2000 - 2001,,,,"85,733.00","1,28,748.00",1.5,,,,,,,,,,,,
,,2001 - 2002,,,,"1,05,142.00","1,69,930.00",1.62,,,,,,,,,,,,
,,2002 - 2003,,,,"80,288.00","84,788.00",1.06,,,,,,,,,,,,
,,2003 - 2004,,,,"1,09,650.00","1,37,827.00",1.26,,,,,,,,,,,,
,,2004 - 2005,,,,"1,08,633.00","1,26,710.00",1.17,,,,,,,,,,,,
,,2005 - 2006,,,,"94,763.00","1,31,039.00",1.38,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"85,314.00","1,55,702.00",1.83,,,,,,
,,2007 - 2008,,,,,,,,,,"95,738.00","2,04,788.00",2.14,,,,,,
,,2008 - 2009,,,,,,,,,,"97,552.00","1,46,618.00",1.5,,,,,,
,,2009 - 2010,,,,,,,,,,"68,856.00","1,25,139.00",1.82,,,,,,
,,2010 - 2011,,,,"62,296.00","1,15,184.00",1.85,,,,,,,,,,,,
,,2011 - 2012,"23,360.00","89,755.00",3.84,"32,921.00","64,381.00",1.96,,,,,,,,,,,,
,,2012 - 2013,,,,"56,302.00","1,19,302.00",2.12,,,,,,,,,,,,
,,2013 - 2014,"24,822.00","70,357.00",2.83,"33,481.00","73,220.00",2.19,,,,,,,,,,,,
,,2014 - 2015,"31,114.00","80,862.00",2.6,"39,351.00","89,616.00",2.28,,,,,,,,,,,,
,,2015 - 2016,"25,739.00","46,099.00",1.79,"41,296.00","69,997.00",1.7,,,,,,,,,,,,
,,2016 - 2017,"16,767.00","31,224.00",1.86,"33,963.00","54,545.00",1.61,,,,,,,,,,,,
,,2017 - 2018,"30,177.00","1,18,143.00",3.92,"33,685.00","83,808.00",2.49,,,,,,,,,,,,
,,2018 - 2019,"39,293.00","1,24,015.00",3.16,"34,195.00","75,715.00",2.21,,,,,,,,,,,,
,,2019 - 2020,"38,879.00","1,19,729.00",3.08,"42,335.00","1,15,077.00",2.72,,,,,,,,,,,,
,,2020 - 2021,"34,508.00","84,389.00",2.45,"58,481.00","1,16,896.00",2,,,,,,,,,,,,
,,2021 - 2022,"26,753.00","77,082.00",2.88,"49,481.00","93,251.00",1.88,,,,,,,,,,,,
,,2022 - 2023,"26,627.00","73,700.00",2.77,"41,417.00","81,133.00",1.96,,,,,,,,,,,,
,36. Vellore,2000 - 2001,,,,"57,290.00","1,13,913.00",1.99,,,,,,,,,,,,
,,2001 - 2002,,,,"57,373.00","1,01,310.00",1.77,,,,,,,,,,,,
,,2002 - 2003,,,,"45,984.00","53,653.00",1.17,,,,,,,,,,,,
,,2003 - 2004,,,,"56,036.00","70,859.00",1.26,,,,,,,,,,,,
,,2004 - 2005,,,,"55,781.00","72,625.00",1.3,,,,,,,,,,,,
,,2005 - 2006,,,,"59,842.00","87,327.00",1.46,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"52,822.00","87,957.00",1.67,,,,,,
,,2007 - 2008,,,,,,,,,,"54,871.00","1,03,454.00",1.89,,,,,,
,,2008 - 2009,,,,,,,,,,"51,061.00","88,330.00",1.73,,,,,,
,,2009 - 2010,,,,,,,,,,"43,685.00","84,027.00",1.92,,,,,,
,,2010 - 2011,,,,"43,182.00","97,821.00",2.27,,,,,,,,,,,,
,,2011 - 2012,"5,991.00","19,890.00",3.32,"36,522.00","76,071.00",2.08,,,,,,,,,,,,
,,2012 - 2013,,,,"38,849.00","82,495.00",2.12,,,,,,,,,,,,
,,2013 - 2014,"5,930.00","20,452.00",3.45,"30,895.00","73,949.00",2.39,,,,,,,,,,,,
,,2014 - 2015,"5,336.00","18,682.00",3.5,"32,394.00","85,741.00",2.65,,,,,,,,,,,,
,,2015 - 2016,"3,078.00","7,867.00",2.56,"31,536.00","98,203.00",3.11,,,,,,,,,,,,
,,2016 - 2017,"2,670.00","8,050.00",3.01,"31,504.00","73,400.00",2.33,,,,,,,,,,,,
,,2017 - 2018,"3,138.00","10,468.00",3.34,"26,704.00","68,095.00",2.55,,,,,,,,,,,,
,,2018 - 2019,"4,868.00","14,578.00",2.99,"27,755.00","69,295.00",2.5,,,,,,,,,,,,
,,2019 - 2020,"5,615.00","17,740.00",3.16,"30,463.00","82,218.00",2.7,,,,,,,,,,,,
,,2020 - 2021,617,"1,992.00",3.23,"14,583.00","39,616.00",2.72,,,,,,,,,,,,
,,2021 - 2022,348,"1,357.00",3.9,"14,240.00","37,943.00",2.66,,,,,,,,,,,,
,,2022 - 2023,517,"1,806.00",3.49,"14,944.00","40,821.00",2.73,,,,,,,,,,,,
,37. Villupuram,2000 - 2001,,,,"1,33,680.00","2,19,615.00",1.64,,,,,,,,,,,,
,,2001 - 2002,,,,"61,464.00","1,18,820.00",1.93,,,,,,,,,,,,
,,2002 - 2003,,,,"54,041.00","89,765.00",1.66,,,,,,,,,,,,
,,2003 - 2004,,,,"75,133.00","1,41,916.00",1.89,,,,,,,,,,,,
,,2004 - 2005,,,,"58,999.00","1,14,140.00",1.93,,,,,,,,,,,,
,,2005 - 2006,,,,"58,252.00","1,19,773.00",2.06,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"46,978.00","97,501.00",2.08,,,,,,
,,2007 - 2008,,,,,,,,,,"55,317.00","1,32,891.00",2.4,,,,,,
,,2008 - 2009,,,,,,,,,,"51,326.00","1,25,605.00",2.45,,,,,,
,,2009 - 2010,,,,,,,,,,"47,957.00","1,38,908.00",2.9,,,,,,
,,2010 - 2011,,,,"39,556.00","94,634.00",2.39,,,,,,,,,,,,
,,2011 - 2012,"12,299.00","43,233.00",3.52,"23,925.00","55,603.00",2.32,,,,,,,,,,,,
,,2012 - 2013,,,,"34,034.00","92,527.00",2.72,,,,,,,,,,,,
,,2013 - 2014,"21,436.00","91,724.00",4.28,"24,051.00","56,802.00",2.36,,,,,,,,,,,,
,,2014 - 2015,"14,672.00","58,021.00",3.95,"18,527.00","45,239.00",2.44,,,,,,,,,,,,
,,2015 - 2016,"16,617.00","61,765.00",3.72,"17,310.00","38,861.00",2.25,,,,,,,,,,,,
,,2016 - 2017,"10,074.00","23,374.00",2.32,"14,026.00","27,588.00",1.97,,,,,,,,,,,,
,,2017 - 2018,"19,177.00","67,177.00",3.5,"17,842.00","50,243.00",2.82,,,,,,,,,,,,
,,2018 - 2019,"20,673.00","67,441.00",3.26,"15,911.00","46,917.00",2.95,,,,,,,,,,,,
,,2019 - 2020,"14,166.00","44,816.00",3.16,"26,786.00","61,258.00",2.29,,,,,,,,,,,,
,,2020 - 2021,"12,976.00","37,361.00",2.88,"22,626.00","49,996.00",2.21,,,,,,,,,,,,
,,2021 - 2022,"9,424.00","45,181.00",4.79,"20,799.00","51,026.00",2.45,,,,,,,,,,,,
,,2022 - 2023,"10,507.00","36,131.00",3.44,"18,388.00","36,792.00",2,,,,,,,,,,,,
,38. Virudhunagar,2000 - 2001,,,,"10,763.00","14,233.00",1.32,,,,,,,,,,,,
,,2001 - 2002,,,,"5,760.00","7,350.00",1.28,,,,,,,,,,,,
,,2002 - 2003,,,,"7,069.00","3,031.00",0.43,,,,,,,,,,,,
,,2003 - 2004,,,,"8,557.00","4,161.00",0.49,,,,,,,,,,,,
,,2004 - 2005,,,,"7,487.00","8,558.00",1.14,,,,,,,,,,,,
,,2005 - 2006,,,,"9,383.00","12,176.00",1.3,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"7,198.00","11,323.00",1.57,,,,,,
,,2007 - 2008,,,,,,,,,,"7,692.00","9,098.00",1.18,,,,,,
,,2008 - 2009,,,,,,,,,,"8,795.00","11,358.00",1.29,,,,,,
,,2009 - 2010,,,,,,,,,,"6,832.00","4,694.00",0.69,,,,,,
,,2010 - 2011,,,,"5,837.00","6,398.00",1.1,,,,,,,,,,,,
,,2011 - 2012,"2,063.00","3,591.00",1.74,"3,315.00","5,393.00",1.63,,,,,,,,,,,,
,,2012 - 2013,,,,"4,520.00","5,015.00",1.11,,,,,,,,,,,,
,,2013 - 2014,"1,913.00","3,839.00",2.01,"3,297.00","4,135.00",1.25,,,,,,,,,,,,
,,2014 - 2015,"4,253.00","7,267.00",1.71,"1,584.00","2,060.00",1.3,,,,,,,,,,,,
,,2015 - 2016,"4,499.00","9,920.00",2.2,"1,681.00","3,367.00",2,,,,,,,,,,,,
,,2016 - 2017,"3,678.00","3,762.00",1.02,"1,723.00","1,949.00",1.13,,,,,,,,,,,,
,,2017 - 2018,"3,715.00","3,384.00",0.91,"1,479.00","1,689.00",1.14,,,,,,,,,,,,
,,2018 - 2019,"3,481.00","6,365.00",1.83,"1,626.00","2,163.00",1.33,,,,,,,,,,,,
,,2019 - 2020,"3,667.00","5,703.00",1.56,"1,422.00","2,252.00",1.58,,,,,,,,,,,,
,,2020 - 2021,"4,208.00","9,030.00",2.15,"2,590.00","4,792.00",1.85,,,,,,,,,,,,
,,2021 - 2022,"3,732.00","5,475.00",1.47,829,"1,560.00",1.88,,,,,,,,,,,,
,,2022 - 2023,"2,628.00","3,480.00",1.32,"1,100.00","1,427.00",1.3,,,,,,,,,,,,
25. Telangana,1. Adilabad,2000 - 2001,"3,734.00","6,015.00",1.61,224,157,0.7,,,,,,,,,,,,
,,2001 - 2002,"3,626.00","5,011.00",1.38,70,50,0.71,,,,,,,,,,,,
,,2002 - 2003,"2,479.00","2,705.00",1.09,139,78,0.56,,,,,,,,,,,,
,,2003 - 2004,"3,180.00","4,598.00",1.45,71,50,0.7,,,,,,,,,,,,
,,2004 - 2005,"3,978.00","4,694.00",1.18,168,125,0.74,,,,,,,,,,,,
,,2005 - 2006,"4,188.00","6,089.00",1.45,86,82,0.95,,,,,,,,,,,,
,,2006 - 2007,"4,813.00","7,383.00",1.53,44,27,0.61,,,,,,,,,,,,
,,2007 - 2008,"5,000.00","6,000.00",1.2,,,,,,,,,,,,,,,
,,2008 - 2009,"5,897.00","7,448.00",1.26,60,52,0.87,,,,,,,,,,,,
,,2009 - 2010,"2,206.00","4,116.00",1.87,19,15,0.79,,,,,,,,,,,,
,,2010 - 2011,"1,924.00","3,719.00",1.93,4,4,1,,,,,,,,,,,,
,,2011 - 2012,"1,007.00","1,603.00",1.59,,,,,,,,,,,,,,,
,,2012 - 2013,"2,000.00","3,000.00",1.5,,,,,,,,,,,,,,,
,,2013 - 2014,"1,706.00","2,921.00",1.71,1,1,1,,,,,,,,,,,,
,,2014 - 2015,981,"1,877.00",1.91,,,,,,,,,,,,,,,
,,2015 - 2016,"1,599.00","3,561.00",2.23,,,,,,,,,,,,,,,
,,2016 - 2017,"1,314.00","2,717.00",2.07,,,,,,,,,,,,,,,
,,2017 - 2018,"1,010.00","2,258.00",2.24,,,,,,,,,,,,,,,
,,2018 - 2019,606,"1,508.00",2.49,8,20,2.5,,,,,,,,,,,,
,,2019 - 2020,404,948,2.35,,,,,,,,,,,,,,,
,,2020 - 2021,"1,042.00","2,480.00",2.38,6,10,1.67,,,,,,,,,,,,
,,2021 - 2022,516,"1,255.00",2.43,1,2,2,,,,,,,,,,,,
,,2022 - 2023,357,825,2.31,2,5,2.5,,,,,,,,,,,,
,2. Bhadradri,2016 - 2017,"2,136.00","4,746.00",2.22,302,583,1.93,,,,,,,,,,,,
,,2017 - 2018,986,"2,999.00",3.04,356,779,2.19,,,,,,,,,,,,
,,2018 - 2019,"1,194.00","2,786.00",2.33,334,836,2.5,,,,,,,,,,,,
,,2019 - 2020,"1,007.00","2,532.00",2.51,329,902,2.74,,,,,,,,,,,,
,,2020 - 2021,616,"2,928.00",4.75,315,498,1.58,,,,,,,,,,,,
,,2021 - 2022,954,"4,361.00",4.57,"1,255.00","2,928.00",2.33,,,,,,,,,,,,
,,2022 - 2023,"1,113.00","4,835.00",4.34,551,"1,564.00",2.84,,,,,,,,,,,,
,3. Jagitial,2016 - 2017,"1,362.00","2,443.00",1.79,,,,,,,,,,,,,,,
,,2017 - 2018,936,"1,360.00",1.45,,,,,,,,,,,,,,,
,,2018 - 2019,876,"1,250.00",1.43,,,,,,,,,,,,,,,
,,2019 - 2020,220,384,1.75,,,,,,,,,,,,,,,
,,2020 - 2021,250,429,1.72,,,,,,,,,,,,,,,
,,2021 - 2022,445,570,1.28,5,11,2.2,,,,,,,,,,,,
,,2022 - 2023,160,299,1.87,,,,,,,,,,,,,,,
,4. Jangoan,2016 - 2017,"4,497.00","6,165.00",1.37,296,"1,102.00",3.72,,,,,,,,,,,,
,,2017 - 2018,"1,557.00","2,582.00",1.66,409,895,2.19,,,,,,,,,,,,
,,2018 - 2019,"1,033.00","1,494.00",1.45,153,383,2.5,,,,,,,,,,,,
,,2019 - 2020,701,"1,034.00",1.48,156,427,2.74,,,,,,,,,,,,
,,2020 - 2021,"1,257.00","1,706.00",1.36,358,566,1.58,,,,,,,,,,,,
,,2021 - 2022,"1,113.00","1,467.00",1.32,151,266,1.76,,,,,,,,,,,,
,,2022 - 2023,230,443,1.93,74,158,2.14,,,,,,,,,,,,
,5. Jayashankar,2016 - 2017,"1,153.00","2,384.00",2.07,61,227,3.72,,,,,,,,,,,,
,,2017 - 2018,710,"1,253.00",1.76,49,107,2.18,,,,,,,,,,,,
,,2018 - 2019,95,202,2.13,4,10,2.5,,,,,,,,,,,,
,,2019 - 2020,51,120,2.35,6,16,2.67,,,,,,,,,,,,
,,2020 - 2021,289,690,2.39,80,126,1.58,,,,,,,,,,,,
,,2021 - 2022,108,245,2.27,14,30,2.14,,,,,,,,,,,,
,,2022 - 2023,83,119,1.43,6,14,2.33,,,,,,,,,,,,
,6. Jogulamba,2016 - 2017,"13,162.00","31,470.00",2.39,"12,502.00","20,491.00",1.64,,,,,,,,,,,,
,,2017 - 2018,"9,578.00","27,144.00",2.83,"10,138.00","19,445.00",1.92,,,,,,,,,,,,
,,2018 - 2019,"8,718.00","23,181.00",2.66,"6,006.00","13,333.00",2.22,,,,,,,,,,,,
,,2019 - 2020,"5,008.00","13,439.00",2.68,"5,983.00","14,887.00",2.49,,,,,,,,,,,,
,,2020 - 2021,"8,939.00","20,006.00",2.24,"6,765.00","9,190.00",1.36,,,,,,,,,,,,
,,2021 - 2022,"8,635.00","18,781.00",2.17,"4,380.00","9,043.00",2.06,,,,,,,,,,,,
,,2022 - 2023,"6,572.00","13,387.00",2.04,"2,269.00","4,967.00",2.19,,,,,,,,,,,,
,7. Kamareddy,2016 - 2017,282,583,2.07,,,,,,,,,,,,,,,
,,2017 - 2018,158,353,2.23,,,,,,,,,,,,,,,
,,2018 - 2019,85,212,2.49,,,,,,,,,,,,,,,
,,2019 - 2020,34,80,2.35,,,,,,,,,,,,,,,
,,2020 - 2021,480,"1,144.00",2.38,16,26,1.63,,,,,,,,,,,,
,,2021 - 2022,"1,832.00","4,151.00",2.27,12,26,2.17,,,,,,,,,,,,
,,2022 - 2023,430,504,1.17,,,,,,,,,,,,,,,
,8. Karimnagar,2000 - 2001,"16,415.00","31,468.00",1.92,"5,537.00","3,295.00",0.6,,,,,,,,,,,,
,,2001 - 2002,"14,243.00","27,888.00",1.96,"4,967.00","2,965.00",0.6,,,,,,,,,,,,
,,2002 - 2003,"11,852.00","19,485.00",1.64,"3,383.00","1,685.00",0.5,,,,,,,,,,,,
,,2003 - 2004,"14,564.00","30,657.00",2.1,"2,224.00","1,099.00",0.49,,,,,,,,,,,,
,,2004 - 2005,"16,453.00","16,766.00",1.02,"1,322.00","1,133.00",0.86,,,,,,,,,,,,
,,2005 - 2006,"13,631.00","25,585.00",1.88,474,419,0.88,,,,,,,,,,,,
,,2006 - 2007,"13,016.00","24,626.00",1.89,499,341,0.68,,,,,,,,,,,,
,,2007 - 2008,"15,000.00","23,000.00",1.53,,,,,,,,,,,,,,,
,,2008 - 2009,"16,157.00","29,567.00",1.83,623,677,1.09,,,,,,,,,,,,
,,2009 - 2010,"13,542.00","20,733.00",1.53,432,618,1.43,,,,,,,,,,,,
,,2010 - 2011,"10,502.00","15,480.00",1.47,249,157,0.63,,,,,,,,,,,,
,,2011 - 2012,"7,747.00","12,558.00",1.62,173,195,1.13,,,,,,,,,,,,
,,2012 - 2013,"9,000.00","14,000.00",1.56,,,,,,,,,,,,,,,
,,2013 - 2014,"10,886.00","16,471.00",1.51,133,152,1.14,,,,,,,,,,,,
,,2014 - 2015,"6,947.00","14,366.00",2.07,25,19,0.76,,,,,,,,,,,,
,,2015 - 2016,"5,794.00","8,453.00",1.46,,,,,,,,,,,,,,,
,,2016 - 2017,"2,330.00","5,618.00",2.41,1,2,2,,,,,,,,,,,,
,,2017 - 2018,"1,509.00","2,229.00",1.48,325,711,2.19,,,,,,,,,,,,
,,2018 - 2019,"1,373.00","3,711.00",2.7,23,58,2.52,,,,,,,,,,,,
,,2019 - 2020,"1,839.00","3,072.00",1.67,5,13,2.6,,,,,,,,,,,,
,,2020 - 2021,582,932,1.6,94,148,1.57,,,,,,,,,,,,
,,2021 - 2022,"1,405.00","3,282.00",2.34,120,258,2.15,,,,,,,,,,,,
,,2022 - 2023,230,436,1.9,24,58,2.42,,,,,,,,,,,,
,9. Khammam,2000 - 2001,"6,336.00","10,036.00",1.58,"1,115.00",756,0.68,,,,,,,,,,,,
,,2001 - 2002,"5,541.00","9,536.00",1.72,499,508,1.02,,,,,,,,,,,,
,,2002 - 2003,"3,917.00","4,963.00",1.27,479,500,1.04,,,,,,,,,,,,
,,2003 - 2004,"6,182.00","7,752.00",1.25,535,467,0.87,,,,,,,,,,,,
,,2004 - 2005,"5,416.00","7,474.00",1.38,641,467,0.73,,,,,,,,,,,,
,,2005 - 2006,"5,478.00","7,773.00",1.42,547,508,0.93,,,,,,,,,,,,
,,2006 - 2007,"4,957.00","8,204.00",1.66,398,470,1.18,,,,,,,,,,,,
,,2007 - 2008,"6,000.00","9,000.00",1.5,,,,,,,,,,,,,,,
,,2008 - 2009,"6,439.00","10,373.00",1.61,365,502,1.38,,,,,,,,,,,,
,,2009 - 2010,"6,254.00","8,812.00",1.41,326,420,1.29,,,,,,,,,,,,
,,2010 - 2011,"6,187.00","11,780.00",1.9,217,271,1.25,,,,,,,,,,,,
,,2011 - 2012,"5,177.00","9,122.00",1.76,171,301,1.76,,,,,,,,,,,,
,,2012 - 2013,"6,000.00","10,000.00",1.67,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,"5,652.00","9,738.00",1.72,714,846,1.18,,,,,,,,,,,,
,,2014 - 2015,"4,024.00","7,662.00",1.9,351,552,1.57,,,,,,,,,,,,
,,2015 - 2016,"5,020.00","13,730.00",2.74,412,949,2.3,,,,,,,,,,,,
,,2016 - 2017,"2,563.00","3,998.00",1.56,228,440,1.93,,,,,,,,,,,,
,,2017 - 2018,"1,728.00","3,667.00",2.12,102,223,2.19,,,,,,,,,,,,
,,2018 - 2019,"1,196.00","2,663.00",2.23,83,208,2.51,,,,,,,,,,,,
,,2019 - 2020,585,860,1.47,50,137,2.74,,,,,,,,,,,,
,,2020 - 2021,"1,622.00","2,677.00",1.65,63,100,1.59,,,,,,,,,,,,
,,2021 - 2022,760,"1,521.00",2,79,170,2.15,,,,,,,,,,,,
,,2022 - 2023,223,557,2.5,54,130,2.41,,,,,,,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,33,68,2.06,,,,,,,,,,,,,,,
,,2018 - 2019,,,,24,60,2.5,,,,,,,,,,,,
,,2019 - 2020,27,63,2.33,23,62,2.7,,,,,,,,,,,,
,,2020 - 2021,76,178,2.34,2,3,1.5,,,,,,,,,,,,
,,2021 - 2022,148,335,2.26,38,82,2.16,,,,,,,,,,,,
,,2022 - 2023,119,292,2.45,6,14,2.33,,,,,,,,,,,,
,11. Mahabubabad,2016 - 2017,"8,371.00","10,874.00",1.3,191,711,3.72,,,,,,,,,,,,
,,2017 - 2018,"9,131.00","13,815.00",1.51,174,381,2.19,,,,,,,,,,,,
,,2018 - 2019,"5,588.00","8,952.00",1.6,129,323,2.5,,,,,,,,,,,,
,,2019 - 2020,"1,758.00","3,079.00",1.75,168,461,2.74,,,,,,,,,,,,
,,2020 - 2021,"2,339.00","4,759.00",2.03,94,149,1.59,,,,,,,,,,,,
,,2021 - 2022,"1,031.00","1,724.00",1.67,101,175,1.73,,,,,,,,,,,,
,,2022 - 2023,280,556,1.99,37,83,2.24,,,,,,,,,,,,
,12. Mahbubnagar,2000 - 2001,"38,927.00","47,686.00",1.23,"71,653.00","50,444.00",0.7,,,,,,,,,,,,
,,2001 - 2002,"42,503.00","59,589.00",1.4,"66,118.00","37,819.00",0.57,,,,,,,,,,,,
