State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,345,328,0.95,,,,,,,,,
,36. Hardoi,2000 - 2001,"6,566.00","7,042.00",1.07,,,,,,,,,
,,2001 - 2002,"11,672.00","8,055.00",0.69,,,,,,,,,
,,2002 - 2003,"10,738.00","8,343.00",0.78,,,,,,,,,
,,2003 - 2004,"11,103.00","9,460.00",0.85,,,,,,,,,
,,2006 - 2007,"12,936.00","9,159.00",0.71,,,,,,,,,
,,2007 - 2008,"11,643.00","10,397.00",0.89,,,,,,,,,
,,2008 - 2009,"9,153.00","8,723.00",0.95,,,,,,,,,
,,2009 - 2010,"10,166.00","10,573.00",1.04,,,,,,,,,
,,2010 - 2011,"7,778.00","6,930.00",0.89,,,,,,,,,
,,2011 - 2012,"8,840.00","8,283.00",0.94,,,,,,,,,
,,2012 - 2013,"8,226.00","7,996.00",0.97,,,,,,,,,
,,2013 - 2014,"8,334.00","6,701.00",0.8,,,,,,,,,
,,2014 - 2015,"7,038.00","4,575.00",0.65,,,,,,,,,
,,2015 - 2016,"6,604.00","5,825.00",0.88,,,,,,,,,
,,2016 - 2017,"8,940.00","9,450.00",1.06,,,,,,,,,
,,2017 - 2018,"8,463.00","10,063.00",1.19,,,,,,,,,
,,2018 - 2019,"6,408.00","7,715.00",1.2,,,,,,,,,
,,2019 - 2020,"7,841.00","7,151.00",0.91,,,,,,,,,
,,2020 - 2021,"8,389.00","9,077.00",1.08,,,,,,,,,
,,2021 - 2022,"9,518.00","11,022.00",1.16,,,,,,,,,
,,2022 - 2023,"11,420.00","12,653.00",1.11,,,,,,,,,
,37. Hathras,2000 - 2001,704,572,0.81,,,,,,,,,
,,2001 - 2002,796,636,0.8,,,,,,,,,
,,2002 - 2003,672,655,0.97,,,,,,,,,
,,2003 - 2004,572,517,0.9,,,,,,,,,
,,2006 - 2007,393,356,0.91,,,,,,,,,
,,2007 - 2008,745,540,0.72,,,,,,,,,
,,2008 - 2009,301,266,0.88,,,,,,,,,
,,2009 - 2010,238,191,0.8,,,,,,,,,
,,2010 - 2011,311,274,0.88,,,,,,,,,
,,2011 - 2012,673,"1,297.00",1.93,,,,,,,,,
,,2012 - 2013,280,395,1.41,,,,,,,,,
,,2013 - 2014,426,"1,024.00",2.4,,,,,,,,,
,,2014 - 2015,307,194,0.63,,,,,,,,,
,,2015 - 2016,369,262,0.71,,,,,,,,,
,,2016 - 2017,431,430,1,,,,,,,,,
,,2017 - 2018,330,407,1.23,,,,,,,,,
,,2018 - 2019,"1,604.00","1,779.00",1.11,,,,,,,,,
,,2019 - 2020,329,252,0.77,,,,,,,,,
,,2020 - 2021,306,289,0.94,,,,,,,,,
,,2021 - 2022,328,226,0.69,,,,,,,,,
,,2022 - 2023,380,271,0.71,,,,,,,,,
,38. Jalaun,2000 - 2001,"62,804.00","31,214.00",0.5,,,,,,,,,
,,2001 - 2002,"43,604.00","51,845.00",1.19,,,,,,,,,
,,2002 - 2003,"36,133.00","38,951.00",1.08,,,,,,,,,
,,2003 - 2004,"38,917.00","45,183.00",1.16,,,,,,,,,
,,2006 - 2007,"45,968.00","30,293.00",0.66,,,,,,,,,
,,2007 - 2008,"17,505.00","10,888.00",0.62,,,,,,,,,
,,2008 - 2009,"36,354.00","42,280.00",1.16,,,,,,,,,
,,2009 - 2010,"57,724.00","51,605.00",0.89,,,,,,,,,
,,2010 - 2011,"45,535.00","36,792.00",0.81,,,,,,,,,
,,2011 - 2012,"36,225.00","42,999.00",1.19,,,,,,,,,
,,2012 - 2013,"35,274.00","43,175.00",1.22,,,,,,,,,
,,2013 - 2014,"23,707.00","18,017.00",0.76,,,,,,,,,
,,2014 - 2015,"24,018.00","11,072.00",0.46,,,,,,,,,
,,2015 - 2016,"17,886.00","11,519.00",0.64,,,,,,,,,
,,2016 - 2017,"30,150.00","40,341.00",1.34,,,,,,,,,
,,2017 - 2018,"36,216.00","47,153.00",1.3,,,,,,,,,
,,2018 - 2019,"21,333.00","28,928.00",1.36,,,,,,,,,
,,2019 - 2020,"25,607.00","34,518.00",1.35,,,,,,,,,
,,2020 - 2021,"28,099.00","34,927.00",1.24,,,,,,,,,
,,2021 - 2022,"30,909.00","38,636.00",1.25,,,,,,,,,
,,2022 - 2023,"35,131.00","43,246.00",1.23,,,,,,,,,
,39. Jaunpur,2000 - 2001,118,63,0.53,,,,,,,,,
,,2001 - 2002,123,86,0.7,,,,,,,,,
,,2002 - 2003,176,111,0.63,,,,,,,,,
,,2003 - 2004,258,201,0.78,,,,,,,,,
,,2006 - 2007,27,21,0.78,,,,,,,,,
,,2007 - 2008,19,17,0.89,,,,,,,,,
,,2008 - 2009,154,153,0.99,,,,,,,,,
,,2009 - 2010,124,117,0.94,,,,,,,,,
,,2010 - 2011,150,116,0.77,,,,,,,,,
,,2011 - 2012,"1,713.00","1,795.00",1.05,,,,,,,,,
,,2012 - 2013,114,96,0.84,,,,,,,,,
,,2013 - 2014,145,106,0.73,,,,,,,,,
,,2014 - 2015,148,85,0.57,,,,,,,,,
,,2015 - 2016,139,115,0.83,,,,,,,,,
,,2016 - 2017,160,144,0.9,,,,,,,,,
,,2017 - 2018,132,124,0.94,,,,,,,,,
,,2018 - 2019,131,160,1.22,,,,,,,,,
,,2019 - 2020,158,189,1.2,,,,,,,,,
,,2020 - 2021,135,167,1.24,,,,,,,,,
,,2021 - 2022,144,179,1.24,,,,,,,,,
,,2022 - 2023,164,255,1.55,,,,,,,,,
,40. Jhansi,2000 - 2001,"41,110.00","13,525.00",0.33,,,,,,,,,
,,2001 - 2002,"26,847.00","22,364.00",0.83,,,,,,,,,
,,2002 - 2003,"19,705.00","15,803.00",0.8,,,,,,,,,
,,2003 - 2004,"19,590.00","17,846.00",0.91,,,,,,,,,
,,2006 - 2007,"27,686.00","13,954.00",0.5,,,,,,,,,
,,2007 - 2008,"15,100.00","6,553.00",0.43,,,,,,,,,
,,2008 - 2009,"27,765.00","31,152.00",1.12,,,,,,,,,
,,2009 - 2010,"50,693.00","44,762.00",0.88,,,,,,,,,
,,2010 - 2011,"57,969.00","39,419.00",0.68,,,,,,,,,
,,2011 - 2012,"35,901.00","30,121.00",0.84,,,,,,,,,
,,2012 - 2013,"23,871.00","18,882.00",0.79,,,,,,,,,
,,2013 - 2014,"16,967.00","4,361.00",0.26,,,,,,,,,
,,2014 - 2015,"12,945.00","3,819.00",0.3,,,,,,,,,
,,2015 - 2016,"7,063.00","3,701.00",0.52,,,,,,,,,
,,2016 - 2017,"14,473.00","13,286.00",0.92,,,,,,,,,
,,2017 - 2018,"25,957.00","21,570.00",0.83,,,,,,,,,
,,2018 - 2019,"28,451.00","34,113.00",1.2,,,,,,,,,
,,2019 - 2020,"26,348.00","36,782.00",1.4,,,,,,,,,
,,2020 - 2021,"15,233.00","13,131.00",0.86,,,,,,,,,
,,2021 - 2022,"27,827.00","27,744.00",1,,,,,,,,,
,,2022 - 2023,"31,550.00","36,409.00",1.15,,,,,,,,,
,41. Kannauj,2000 - 2001,113,71,0.63,,,,,,,,,
,,2001 - 2002,94,75,0.8,,,,,,,,,
,,2002 - 2003,119,91,0.76,,,,,,,,,
,,2003 - 2004,135,121,0.9,,,,,,,,,
,,2006 - 2007,77,94,1.22,,,,,,,,,
,,2007 - 2008,244,148,0.61,,,,,,,,,
,,2008 - 2009,121,107,0.88,,,,,,,,,
,,2009 - 2010,134,108,0.81,,,,,,,,,
,,2010 - 2011,146,165,1.13,,,,,,,,,
,,2011 - 2012,134,115,0.86,,,,,,,,,
,,2012 - 2013,186,227,1.22,,,,,,,,,
,,2013 - 2014,185,128,0.69,,,,,,,,,
,,2014 - 2015,128,69,0.54,,,,,,,,,
,,2015 - 2016,108,79,0.73,,,,,,,,,
,,2016 - 2017,279,222,0.8,,,,,,,,,
,,2017 - 2018,146,109,0.75,,,,,,,,,
,,2018 - 2019,415,351,0.85,,,,,,,,,
,,2019 - 2020,149,131,0.88,,,,,,,,,
,,2020 - 2021,114,90,0.79,,,,,,,,,
,,2021 - 2022,178,114,0.64,,,,,,,,,
,,2022 - 2023,205,227,1.11,,,,,,,,,
,42. Kanpur dehat,2003 - 2004,202,182,0.9,,,,,,,,,
,,2006 - 2007,489,594,1.21,,,,,,,,,
,,2007 - 2008,500,303,0.61,,,,,,,,,
,,2008 - 2009,424,374,0.88,,,,,,,,,
,,2009 - 2010,616,494,0.8,,,,,,,,,
,,2010 - 2011,467,526,1.13,,,,,,,,,
,,2011 - 2012,443,379,0.86,,,,,,,,,
,,2012 - 2013,301,367,1.22,,,,,,,,,
,,2013 - 2014,307,212,0.69,,,,,,,,,
,,2014 - 2015,244,131,0.54,,,,,,,,,
,,2015 - 2016,864,629,0.73,,,,,,,,,
,,2016 - 2017,417,332,0.8,,,,,,,,,
,,2017 - 2018,317,236,0.74,,,,,,,,,
,,2018 - 2019,523,442,0.85,,,,,,,,,
,,2019 - 2020,311,273,0.88,,,,,,,,,
,,2020 - 2021,477,376,0.79,,,,,,,,,
,,2021 - 2022,414,266,0.64,,,,,,,,,
,,2022 - 2023,475,527,1.11,,,,,,,,,
,43. Kanpur nagar,2000 - 2001,335,209,0.62,,,,,,,,,
,,2001 - 2002,"1,096.00",876,0.8,,,,,,,,,
,,2002 - 2003,850,648,0.76,,,,,,,,,
,,2003 - 2004,796,717,0.9,,,,,,,,,
,,2006 - 2007,"1,047.00","1,272.00",1.21,,,,,,,,,
,,2007 - 2008,"1,169.00",707,0.6,,,,,,,,,
,,2008 - 2009,"1,050.00",927,0.88,,,,,,,,,
,,2009 - 2010,724,581,0.8,,,,,,,,,
,,2010 - 2011,449,506,1.13,,,,,,,,,
,,2011 - 2012,"1,173.00","1,004.00",0.86,,,,,,,,,
,,2012 - 2013,"1,168.00","1,425.00",1.22,,,,,,,,,
,,2013 - 2014,789,545,0.69,,,,,,,,,
,,2014 - 2015,692,372,0.54,,,,,,,,,
,,2015 - 2016,750,546,0.73,,,,,,,,,
,,2016 - 2017,729,580,0.8,,,,,,,,,
,,2017 - 2018,525,560,1.07,,,,,,,,,
,,2018 - 2019,696,748,1.07,,,,,,,,,
,,2019 - 2020,623,462,0.74,,,,,,,,,
,,2020 - 2021,913,637,0.7,,,,,,,,,
,,2021 - 2022,"1,490.00",958,0.64,,,,,,,,,
,,2022 - 2023,"1,714.00","1,901.00",1.11,,,,,,,,,
,44. Kasganj,2009 - 2010,"1,534.00","1,232.00",0.8,,,,,,,,,
,,2010 - 2011,"1,967.00","1,733.00",0.88,,,,,,,,,
,,2011 - 2012,"1,496.00","2,883.00",1.93,,,,,,,,,
,,2012 - 2013,"1,509.00","2,128.00",1.41,,,,,,,,,
,,2013 - 2014,"1,390.00","3,342.00",2.4,,,,,,,,,
,,2014 - 2015,"1,645.00","1,042.00",0.63,,,,,,,,,
,,2015 - 2016,"1,297.00",921,0.71,,,,,,,,,
,,2016 - 2017,"1,308.00","1,304.00",1,,,,,,,,,
,,2017 - 2018,"1,262.00","1,556.00",1.23,,,,,,,,,
,,2018 - 2019,"1,183.00","1,312.00",1.11,,,,,,,,,
,,2019 - 2020,"1,265.00",968,0.77,,,,,,,,,
,,2020 - 2021,"1,415.00","1,339.00",0.95,,,,,,,,,
,,2021 - 2022,"1,645.00","1,135.00",0.69,,,,,,,,,
,,2022 - 2023,"1,896.00","1,352.00",0.71,,,,,,,,,
,45. Kaushambi,2000 - 2001,38,17,0.45,,,,,,,,,
,,2001 - 2002,119,79,0.66,,,,,,,,,
,,2002 - 2003,63,63,1,,,,,,,,,
,,2003 - 2004,45,45,1,,,,,,,,,
,,2006 - 2007,121,81,0.67,,,,,,,,,
,,2007 - 2008,140,114,0.81,,,,,,,,,
,,2008 - 2009,150,120,0.8,,,,,,,,,
,,2009 - 2010,81,61,0.75,,,,,,,,,
,,2010 - 2011,170,49,0.29,,,,,,,,,
,,2011 - 2012,222,184,0.83,,,,,,,,,
,,2012 - 2013,112,97,0.87,,,,,,,,,
,,2013 - 2014,122,65,0.53,,,,,,,,,
,,2014 - 2015,273,44,0.16,,,,,,,,,
,,2015 - 2016,35,13,0.37,,,,,,,,,
,,2016 - 2017,146,124,0.85,,,,,,,,,
,,2017 - 2018,146,130,0.89,,,,,,,,,
,,2018 - 2019,191,225,1.18,,,,,,,,,
,,2019 - 2020,146,109,0.75,,,,,,,,,
,,2020 - 2021,146,187,1.28,,,,,,,,,
,,2021 - 2022,161,201,1.25,,,,,,,,,
,,2022 - 2023,185,219,1.18,,,,,,,,,
,46. Kheri,2000 - 2001,"23,429.00","17,197.00",0.73,,,,,,,,,
,,2001 - 2002,"23,794.00","16,156.00",0.68,,,,,,,,,
,,2002 - 2003,"21,500.00","17,479.00",0.81,,,,,,,,,
,,2003 - 2004,"23,478.00","18,125.00",0.77,,,,,,,,,
,,2006 - 2007,"22,397.00","19,866.00",0.89,,,,,,,,,
,,2007 - 2008,"18,196.00","16,704.00",0.92,,,,,,,,,
,,2008 - 2009,"18,562.00","15,908.00",0.86,,,,,,,,,
,,2009 - 2010,"21,599.00","16,890.00",0.78,,,,,,,,,
,,2010 - 2011,"17,597.00","16,805.00",0.95,,,,,,,,,
,,2011 - 2012,"18,740.00","15,610.00",0.83,,,,,,,,,
,,2012 - 2013,"14,333.00","11,567.00",0.81,,,,,,,,,
,,2013 - 2014,"11,146.00","9,084.00",0.82,,,,,,,,,
,,2014 - 2015,"13,574.00","9,814.00",0.72,,,,,,,,,
,,2015 - 2016,"14,012.00","12,443.00",0.89,,,,,,,,,
,,2016 - 2017,"14,001.00","12,139.00",0.87,,,,,,,,,
,,2017 - 2018,"14,259.00","12,035.00",0.84,,,,,,,,,
,,2018 - 2019,"14,393.00","13,860.00",0.96,,,,,,,,,
,,2019 - 2020,"9,532.00","8,302.00",0.87,,,,,,,,,
,,2020 - 2021,"13,786.00","13,138.00",0.95,,,,,,,,,
,,2021 - 2022,"16,864.00","14,689.00",0.87,,,,,,,,,
,,2022 - 2023,"19,595.00","17,871.00",0.91,,,,,,,,,
,47. Kushi nagar,2000 - 2001,"3,857.00","4,047.00",1.05,,,,,,,,,
,,2001 - 2002,"3,912.00","2,910.00",0.74,,,,,,,,,
,,2002 - 2003,"3,733.00","2,225.00",0.6,,,,,,,,,
,,2003 - 2004,"3,913.00","2,751.00",0.7,,,,,,,,,
,,2006 - 2007,"2,274.00","1,396.00",0.61,,,,,,,,,
,,2007 - 2008,"3,773.00","3,128.00",0.83,,,,,,,,,
,,2008 - 2009,"3,184.00","2,219.00",0.7,,,,,,,,,
,,2009 - 2010,"2,513.00","1,887.00",0.75,,,,,,,,,
,,2010 - 2011,"4,191.00","3,244.00",0.77,,,,,,,,,
,,2011 - 2012,"3,528.00","2,304.00",0.65,,,,,,,,,
,,2012 - 2013,"3,635.00","2,752.00",0.76,,,,,,,,,
,,2013 - 2014,"2,753.00","2,016.00",0.73,,,,,,,,,
,,2014 - 2015,"3,729.00","1,577.00",0.42,,,,,,,,,
,,2015 - 2016,"2,759.00","1,744.00",0.63,,,,,,,,,
,,2016 - 2017,"2,384.00","1,712.00",0.72,,,,,,,,,
,,2017 - 2018,"3,698.00","3,080.00",0.83,,,,,,,,,
,,2018 - 2019,"4,022.00","3,391.00",0.84,,,,,,,,,
,,2019 - 2020,"3,776.00","2,398.00",0.64,,,,,,,,,
,,2020 - 2021,"3,238.00","2,438.00",0.75,,,,,,,,,
,,2021 - 2022,"3,978.00","2,498.00",0.63,,,,,,,,,
,,2022 - 2023,"4,573.00","3,265.00",0.71,,,,,,,,,
,48. Lalitpur,2000 - 2001,"40,215.00","21,274.00",0.53,,,,,,,,,
,,2001 - 2002,"33,202.00","23,241.00",0.7,,,,,,,,,
,,2002 - 2003,"22,328.00","15,741.00",0.7,,,,,,,,,
,,2003 - 2004,"21,916.00","25,466.00",1.16,,,,,,,,,
,,2006 - 2007,"33,067.00","29,562.00",0.89,,,,,,,,,
,,2007 - 2008,"26,313.00","21,761.00",0.83,,,,,,,,,
,,2008 - 2009,"28,596.00","24,564.00",0.86,,,,,,,,,
,,2009 - 2010,"28,519.00","29,973.00",1.05,,,,,,,,,
,,2010 - 2011,"25,441.00","20,200.00",0.79,,,,,,,,,
,,2011 - 2012,"28,776.00","29,438.00",1.02,,,,,,,,,
,,2012 - 2013,"19,330.00","24,124.00",1.25,,,,,,,,,
,,2013 - 2014,"16,146.00","8,993.00",0.56,,,,,,,,,
,,2014 - 2015,"13,035.00","9,190.00",0.71,,,,,,,,,
,,2015 - 2016,"10,934.00","7,020.00",0.64,,,,,,,,,
,,2016 - 2017,"20,585.00","34,480.00",1.68,,,,,,,,,
,,2017 - 2018,"20,502.00","24,049.00",1.17,,,,,,,,,
,,2018 - 2019,"13,570.00","19,866.00",1.46,,,,,,,,,
,,2019 - 2020,"17,979.00","25,494.00",1.42,,,,,,,,,
,,2020 - 2021,"18,182.00","22,728.00",1.25,,,,,,,,,
,,2021 - 2022,"20,001.00","28,121.00",1.41,,,,,,,,,
,,2022 - 2023,"22,996.00","18,926.00",0.82,,,,,,,,,
,49. Lucknow,2000 - 2001,"1,174.00","1,259.00",1.07,,,,,,,,,
,,2001 - 2002,"1,544.00","1,066.00",0.69,,,,,,,,,
,,2002 - 2003,"1,729.00","1,385.00",0.8,,,,,,,,,
,,2003 - 2004,"1,955.00","1,569.00",0.8,,,,,,,,,
,,2006 - 2007,"2,299.00","2,025.00",0.88,,,,,,,,,
,,2007 - 2008,"2,522.00","2,070.00",0.82,,,,,,,,,
,,2008 - 2009,"2,464.00","2,047.00",0.83,,,,,,,,,
,,2009 - 2010,"2,140.00","1,752.00",0.82,,,,,,,,,
,,2010 - 2011,"2,376.00","2,059.00",0.87,,,,,,,,,
,,2011 - 2012,"4,038.00","3,370.00",0.83,,,,,,,,,
,,2012 - 2013,"1,847.00","1,523.00",0.82,,,,,,,,,
,,2013 - 2014,"1,726.00","1,214.00",0.7,,,,,,,,,
,,2014 - 2015,"1,230.00",688,0.56,,,,,,,,,
,,2015 - 2016,"1,668.00","1,307.00",0.78,,,,,,,,,
,,2016 - 2017,"1,635.00","1,167.00",0.71,,,,,,,,,
,,2017 - 2018,"2,127.00","4,928.00",2.32,,,,,,,,,
,,2018 - 2019,"1,766.00","1,508.00",0.85,,,,,,,,,
,,2019 - 2020,"1,457.00","1,010.00",0.69,,,,,,,,,
,,2020 - 2021,"1,560.00","1,275.00",0.82,,,,,,,,,
,,2021 - 2022,"1,954.00","2,323.00",1.19,,,,,,,,,
,,2022 - 2023,"2,348.00","2,587.00",1.1,,,,,,,,,
,50. Maharajganj,2000 - 2001,"16,255.00","14,028.00",0.86,,,,,,,,,
,,2001 - 2002,"14,797.00","11,009.00",0.74,,,,,,,,,
,,2002 - 2003,"12,907.00","7,693.00",0.6,,,,,,,,,
,,2003 - 2004,"12,135.00","8,737.00",0.72,,,,,,,,,
,,2006 - 2007,"9,610.00","5,901.00",0.61,,,,,,,,,
,,2007 - 2008,"9,489.00","7,866.00",0.83,,,,,,,,,
,,2008 - 2009,"10,207.00","7,114.00",0.7,,,,,,,,,
,,2009 - 2010,"10,098.00","7,584.00",0.75,,,,,,,,,
,,2010 - 2011,"6,427.00","4,974.00",0.77,,,,,,,,,
,,2011 - 2012,"8,508.00","5,556.00",0.65,,,,,,,,,
,,2012 - 2013,"10,144.00","7,679.00",0.76,,,,,,,,,
,,2013 - 2014,"9,465.00","5,745.00",0.61,,,,,,,,,
,,2014 - 2015,"8,508.00","3,599.00",0.42,,,,,,,,,
,,2015 - 2016,"10,437.00","6,596.00",0.63,,,,,,,,,
,,2016 - 2017,"9,528.00","6,841.00",0.72,,,,,,,,,
,,2017 - 2018,"10,043.00","8,366.00",0.83,,,,,,,,,
,,2018 - 2019,"10,071.00","8,490.00",0.84,,,,,,,,,
,,2019 - 2020,"8,649.00","5,492.00",0.63,,,,,,,,,
,,2020 - 2021,"9,530.00","7,176.00",0.75,,,,,,,,,
,,2021 - 2022,"13,785.00","8,657.00",0.63,,,,,,,,,
,,2022 - 2023,"7,396.00","5,281.00",0.71,,,,,,,,,
,51. Mahoba,2000 - 2001,"25,231.00","7,872.00",0.31,,,,,,,,,
,,2001 - 2002,"25,340.00","15,103.00",0.6,,,,,,,,,
,,2002 - 2003,"22,442.00","10,144.00",0.45,,,,,,,,,
,,2003 - 2004,"22,116.00","15,238.00",0.69,,,,,,,,,
,,2006 - 2007,"25,343.00","9,580.00",0.38,,,,,,,,,
,,2007 - 2008,"28,924.00","5,322.00",0.18,,,,,,,,,
,,2008 - 2009,"17,944.00","15,880.00",0.88,,,,,,,,,
,,2009 - 2010,"20,241.00","10,869.00",0.54,,,,,,,,,
,,2010 - 2011,"33,528.00","11,835.00",0.35,,,,,,,,,
,,2011 - 2012,"39,164.00","27,611.00",0.71,,,,,,,,,
,,2012 - 2013,"27,799.00","17,180.00",0.62,,,,,,,,,
,,2013 - 2014,"25,823.00","8,986.00",0.35,,,,,,,,,
,,2014 - 2015,"24,737.00","3,983.00",0.16,,,,,,,,,
,,2015 - 2016,"7,010.00",617,0.09,,,,,,,,,
,,2016 - 2017,"15,820.00","9,571.00",0.6,,,,,,,,,
,,2017 - 2018,"25,014.00","11,081.00",0.44,,,,,,,,,
,,2018 - 2019,"27,055.00","17,775.00",0.66,,,,,,,,,
,,2019 - 2020,"27,055.00","30,031.00",1.11,,,,,,,,,
,,2020 - 2021,"29,135.00","20,074.00",0.69,,,,,,,,,
,,2021 - 2022,"31,606.00","17,415.00",0.55,,,,,,,,,
,,2022 - 2023,"9,258.00","7,295.00",0.79,,,,,,,,,
,52. Mainpuri,2000 - 2001,111,90,0.81,,,,,,,,,
,,2001 - 2002,68,55,0.81,,,,,,,,,
,,2002 - 2003,50,49,0.98,,,,,,,,,
,,2003 - 2004,98,89,0.91,,,,,,,,,
,,2006 - 2007,37,34,0.92,,,,,,,,,
,,2007 - 2008,172,125,0.73,,,,,,,,,
,,2008 - 2009,62,55,0.89,,,,,,,,,
,,2009 - 2010,81,65,0.8,,,,,,,,,
,,2010 - 2011,140,124,0.89,,,,,,,,,
,,2011 - 2012,107,206,1.93,,,,,,,,,
,,2012 - 2013,110,216,1.96,,,,,,,,,
,,2013 - 2014,118,113,0.96,,,,,,,,,
,,2014 - 2015,67,63,0.94,,,,,,,,,
,,2015 - 2016,118,81,0.69,,,,,,,,,
,,2016 - 2017,120,116,0.97,,,,,,,,,
,,2017 - 2018,90,93,1.03,,,,,,,,,
,,2018 - 2019,85,87,1.02,,,,,,,,,
,,2019 - 2020,107,105,0.98,,,,,,,,,
,,2020 - 2021,121,123,1.02,,,,,,,,,
,,2021 - 2022,162,153,0.94,,,,,,,,,
,,2022 - 2023,186,177,0.95,,,,,,,,,
,53. Mathura,2000 - 2001,120,97,0.81,,,,,,,,,
,,2001 - 2002,64,51,0.8,,,,,,,,,
,,2002 - 2003,59,58,0.98,,,,,,,,,
,,2003 - 2004,73,66,0.9,,,,,,,,,
,,2006 - 2007,71,64,0.9,,,,,,,,,
,,2007 - 2008,33,24,0.73,,,,,,,,,
,,2008 - 2009,39,34,0.87,,,,,,,,,
,,2009 - 2010,46,37,0.8,,,,,,,,,
,,2010 - 2011,32,28,0.88,,,,,,,,,
,,2011 - 2012,62,119,1.92,,,,,,,,,
,,2012 - 2013,17,33,1.94,,,,,,,,,
,,2013 - 2014,70,67,0.96,,,,,,,,,
,,2014 - 2015,33,31,0.94,,,,,,,,,
,,2015 - 2016,47,33,0.7,,,,,,,,,
,,2016 - 2017,26,25,0.96,,,,,,,,,
,,2017 - 2018,40,41,1.03,,,,,,,,,
,,2018 - 2019,28,29,1.04,,,,,,,,,
,,2019 - 2020,247,242,0.98,,,,,,,,,
,,2020 - 2021,29,29,1,,,,,,,,,
,,2021 - 2022,35,33,0.94,,,,,,,,,
,,2022 - 2023,40,38,0.95,,,,,,,,,
,54. Mau,2000 - 2001,457,395,0.86,,,,,,,,,
,,2001 - 2002,600,666,1.11,,,,,,,,,
,,2002 - 2003,400,345,0.86,,,,,,,,,
,,2003 - 2004,489,620,1.27,,,,,,,,,
,,2006 - 2007,75,70,0.93,,,,,,,,,
,,2007 - 2008,671,778,1.16,,,,,,,,,
,,2008 - 2009,673,795,1.18,,,,,,,,,
,,2009 - 2010,610,644,1.06,,,,,,,,,
,,2010 - 2011,385,423,1.1,,,,,,,,,
,,2011 - 2012,385,504,1.31,,,,,,,,,
,,2012 - 2013,249,332,1.33,,,,,,,,,
,,2013 - 2014,287,333,1.16,,,,,,,,,
,,2014 - 2015,306,282,0.92,,,,,,,,,
,,2015 - 2016,214,251,1.17,,,,,,,,,
,,2016 - 2017,312,428,1.37,,,,,,,,,
,,2017 - 2018,357,450,1.26,,,,,,,,,
,,2018 - 2019,288,426,1.48,,,,,,,,,
,,2019 - 2020,308,367,1.19,,,,,,,,,
,,2020 - 2021,338,479,1.42,,,,,,,,,
,,2021 - 2022,328,442,1.35,,,,,,,,,
,,2022 - 2023,392,574,1.46,,,,,,,,,
,55. Meerut,2000 - 2001,537,336,0.63,,,,,,,,,
,,2001 - 2002,493,394,0.8,,,,,,,,,
,,2002 - 2003,458,349,0.76,,,,,,,,,
,,2003 - 2004,475,427,0.9,,,,,,,,,
,,2006 - 2007,332,234,0.7,,,,,,,,,
,,2007 - 2008,219,159,0.73,,,,,,,,,
,,2008 - 2009,436,385,0.88,,,,,,,,,
,,2009 - 2010,259,208,0.8,,,,,,,,,
,,2010 - 2011,504,353,0.7,,,,,,,,,
,,2011 - 2012,581,512,0.88,,,,,,,,,
,,2012 - 2013,393,350,0.89,,,,,,,,,
,,2013 - 2014,466,322,0.69,,,,,,,,,
,,2014 - 2015,329,177,0.54,,,,,,,,,
,,2015 - 2016,477,339,0.71,,,,,,,,,
,,2016 - 2017,422,407,0.96,,,,,,,,,
,,2017 - 2018,409,421,1.03,,,,,,,,,
,,2018 - 2019,360,369,1.03,,,,,,,,,
,,2019 - 2020,288,282,0.98,,,,,,,,,
,,2020 - 2021,542,550,1.01,,,,,,,,,
,,2021 - 2022,499,471,0.94,,,,,,,,,
,,2022 - 2023,593,563,0.95,,,,,,,,,
,56. Mirzapur,2000 - 2001,"4,904.00","3,791.00",0.77,,,,,,,,,
,,2001 - 2002,"6,239.00","5,384.00",0.86,,,,,,,,,
,,2002 - 2003,"6,465.00","5,314.00",0.82,,,,,,,,,
,,2003 - 2004,"7,223.00","5,959.00",0.83,,,,,,,,,
,,2006 - 2007,"8,353.00","6,758.00",0.81,,,,,,,,,
,,2007 - 2008,"6,387.00","4,337.00",0.68,,,,,,,,,
,,2008 - 2009,"6,167.00","4,619.00",0.75,,,,,,,,,
,,2009 - 2010,"4,948.00","3,968.00",0.8,,,,,,,,,
,,2010 - 2011,"4,693.00","2,736.00",0.58,,,,,,,,,
,,2011 - 2012,"6,024.00","5,849.00",0.97,,,,,,,,,
,,2012 - 2013,"4,887.00","4,042.00",0.83,,,,,,,,,
,,2013 - 2014,"8,031.00","5,461.00",0.68,,,,,,,,,
,,2014 - 2015,"3,848.00","2,709.00",0.7,,,,,,,,,
,,2015 - 2016,"4,091.00","2,651.00",0.65,,,,,,,,,
,,2016 - 2017,"5,097.00","4,521.00",0.89,,,,,,,,,
,,2017 - 2018,"4,678.00","4,898.00",1.05,,,,,,,,,
,,2018 - 2019,"7,297.00","7,567.00",1.04,,,,,,,,,
,,2019 - 2020,"5,542.00","3,358.00",0.61,,,,,,,,,
