State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,25,15,0.6,,,,,,,,,
,13. Goalpara,2001 - 2002,"1,100.00",508,0.46,,,,,,,,,
,,2002 - 2003,850,411,0.48,,,,,,,,,
,,2003 - 2004,"1,028.00",477,0.46,,,,,,,,,
,,2004 - 2005,"1,000.00",470,0.47,,,,,,,,,
,,2005 - 2006,"1,050.00",496,0.47,,,,,,,,,
,,2006 - 2007,"1,050.00",492,0.47,,,,,,,,,
,,2007 - 2008,"1,135.00",533,0.47,,,,,,,,,
,,2008 - 2009,"1,155.00",554,0.48,,,,,,,,,
,,2009 - 2010,"1,300.00",615,0.47,,,,,,,,,
,,2010 - 2011,"1,695.00",803,0.47,,,,,,,,,
,,2011 - 2012,"1,688.00",830,0.49,,,,,,,,,
,,2012 - 2013,"1,695.00",895,0.53,,,,,,,,,
,,2013 - 2014,"1,760.00","1,496.00",0.85,,,,,,,,,
,,2014 - 2015,"1,720.00","1,202.00",0.7,,,,,,,,,
,,2015 - 2016,"1,871.00","1,284.00",0.69,,,,,,,,,
,,2016 - 2017,"1,125.00",731,0.65,,,,,,,,,
,,2017 - 2018,"1,170.00",819,0.7,,,,,,,,,
,,2018 - 2019,"1,187.00",831,0.7,,,,,,,,,
,,2019 - 2020,969,678,0.7,,,,,,,,,
,,2020 - 2021,767,540,0.7,,,,,,,,,
,,2021 - 2022,791,560,0.71,,,,,,,,,
,,2022 - 2023,791,573,0.72,,,,,,,,,
,14. Golaghat,2001 - 2002,"1,236.00",766,0.62,,,,,,,,,
,,2002 - 2003,"1,125.00",698,0.62,,,,,,,,,
,,2003 - 2004,760,471,0.62,,,,,,,,,
,,2004 - 2005,953,591,0.62,,,,,,,,,
,,2005 - 2006,856,531,0.62,,,,,,,,,
,,2006 - 2007,948,588,0.62,,,,,,,,,
,,2007 - 2008,805,500,0.62,,,,,,,,,
,,2008 - 2009,633,392,0.62,,,,,,,,,
,,2009 - 2010,633,393,0.62,,,,,,,,,
,,2010 - 2011,558,346,0.62,,,,,,,,,
,,2011 - 2012,388,236,0.61,,,,,,,,,
,,2012 - 2013,381,260,0.68,,,,,,,,,
,,2013 - 2014,280,201,0.72,,,,,,,,,
,,2014 - 2015,340,306,0.9,,,,,,,,,
,,2015 - 2016,323,220,0.68,,,,,,,,,
,,2016 - 2017,322,227,0.7,,,,,,,,,
,,2017 - 2018,317,227,0.72,,,,,,,,,
,,2018 - 2019,316,226,0.72,,,,,,,,,
,,2019 - 2020,305,219,0.72,,,,,,,,,
