State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,250,"8,811.00",35.24,,,,,,,,,,,,,,,
,,2016 - 2017,129,"4,962.00",38.47,,,,,,,,,,,,,,,
,,2017 - 2018,161,"6,022.00",37.4,,,,,,,,,,,,,,,
,,2018 - 2019,160,"5,610.00",35.06,,,,,,,,,,,,,,,
,,2019 - 2020,100,"4,101.00",41.01,,,,,,,,,,,,,,,
,,2020 - 2021,100,"3,585.00",35.85,,,,,,,,,,,,,,,
,,2021 - 2022,100,"3,897.00",38.97,,,,,,,,,,,,,,,
,,2022 - 2023,87,"3,877.00",44.56,,,,,,,,,,,,,,,
,12. Dima hasao,2000 - 2001,"1,777.00","56,153.00",31.6,,,,,,,,,,,,,,,
,,2001 - 2002,"1,780.00","59,185.00",33.25,,,,,,,,,,,,,,,
,,2002 - 2003,"1,793.00","60,804.00",33.91,,,,,,,,,,,,,,,
,,2003 - 2004,"1,725.00","53,737.00",31.15,,,,,,,,,,,,,,,
,,2004 - 2005,"1,745.00","56,810.00",32.56,,,,,,,,,,,,,,,
,,2005 - 2006,"1,750.00","55,846.00",31.91,,,,,,,,,,,,,,,
,,2006 - 2007,"2,081.00","58,992.00",28.35,,,,,,,,,,,,,,,
,,2007 - 2008,"2,081.00","61,612.00",29.61,,,,,,,,,,,,,,,
,,2008 - 2009,"2,089.00","65,735.00",31.47,,,,,,,,,,,,,,,
,,2009 - 2010,"2,147.00","61,372.00",28.59,,,,,,,,,,,,,,,
,,2010 - 2011,"3,625.00","1,27,810.00",35.26,,,,,,,,,,,,,,,
,,2011 - 2012,"2,780.00","87,253.00",31.39,,,,,,,,,,,,,,,
,,2012 - 2013,"2,998.00","90,129.00",30.06,,,,,,,,,,,,,,,
,,2013 - 2014,"3,420.00","1,24,132.00",36.3,,,,,,,,,,,,,,,
,,2014 - 2015,"3,597.00","1,42,049.00",39.49,,,,,,,,,,,,,,,
,,2015 - 2016,"3,685.00","1,96,484.00",53.32,,,,,,,,,,,,,,,
,,2016 - 2017,"3,567.00","1,79,252.00",50.25,,,,,,,,,,,,,,,
,,2017 - 2018,"4,219.00","2,11,963.00",50.24,,,,,,,,,,,,,,,
,,2018 - 2019,"4,401.00","1,54,312.00",35.06,,,,,,,,,,,,,,,
,,2019 - 2020,"4,062.00","2,03,169.00",50.02,,,,,,,,,,,,,,,
,,2020 - 2021,"4,227.00","2,17,517.00",51.46,,,,,,,,,,,,,,,
,,2021 - 2022,"4,327.00","1,77,580.00",41.04,,,,,,,,,,,,,,,
,,2022 - 2023,"4,327.00","1,53,552.00",35.49,,,,,,,,,,,,,,,
,13. Goalpara,2000 - 2001,120,"5,720.00",47.67,,,,,,,,,,,,,,,
,,2001 - 2002,139,"5,175.00",37.23,,,,,,,,,,,,,,,
,,2002 - 2003,102,"3,715.00",36.42,,,,,,,,,,,,,,,
,,2003 - 2004,119,"4,592.00",38.59,,,,,,,,,,,,,,,
