State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,,,,160,"8,772.00",54.83,,,,,,,,,
,,2010 - 2011,,,,,,,101,"5,568.00",55.13,,,,,,,,,
,,2011 - 2012,,,,,,,525,"30,700.00",58.48,,,,,,,,,
,,2012 - 2013,,,,,,,289,"17,455.00",60.4,,,,,,,,,
,,2013 - 2014,,,,,,,212,"13,031.00",61.47,,,,,,,,,
,,2014 - 2015,,,,,,,353,"20,262.00",57.4,,,,,,,,,
,,2015 - 2016,,,,,,,218,"13,361.00",61.29,,,,,,,,,
,,2016 - 2017,,,,,,,240,"15,640.00",65.17,,,,,,,,,
,,2017 - 2018,,,,,,,251,"17,761.00",70.76,,,,,,,,,
,,2018 - 2019,,,,,,,193,"13,885.00",71.94,,,,,,,,,
,,2019 - 2020,,,,,,,295,"21,398.00",72.54,,,,,,,,,
,,2020 - 2021,,,,,,,"8,207.00","6,20,000.00",75.55,,,,,,,,,
,,2021 - 2022,,,,,,,"8,679.00","6,89,000.00",79.39,,,,,,,,,
,24. Etawah,2000 - 2001,"1,103.00","56,665.00",51.37,,,,,,,,,,,,,,,
,,2001 - 2002,973,"51,954.00",53.4,,,,,,,,,,,,,,,
,,2002 - 2003,963,"47,527.00",49.35,,,,,,,,,,,,,,,
,,2003 - 2004,818,"38,673.00",47.28,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,697,"37,262.00",53.46,,,,,,,,,
,,2005 - 2006,,,,,,,"1,061.00","49,334.00",46.5,,,,,,,,,
,,2006 - 2007,,,,,,,749,"42,517.00",56.77,,,,,,,,,
,,2007 - 2008,,,,,,,652,"33,019.00",50.64,,,,,,,,,
,,2008 - 2009,,,,,,,373,"16,680.00",44.72,,,,,,,,,
,,2009 - 2010,,,,,,,402,"20,648.00",51.36,,,,,,,,,
,,2010 - 2011,,,,,,,317,"16,944.00",53.45,,,,,,,,,
,,2011 - 2012,,,,,,,428,"24,810.00",57.97,,,,,,,,,
,,2012 - 2013,,,,,,,374,"22,703.00",60.7,,,,,,,,,
,,2013 - 2014,,,,,,,348,"20,738.00",59.59,,,,,,,,,
,,2014 - 2015,,,,,,,408,"23,506.00",57.61,,,,,,,,,
,,2015 - 2016,,,,,,,228,"13,187.00",57.84,,,,,,,,,
,,2016 - 2017,,,,,,,429,"25,898.00",60.37,,,,,,,,,
,,2017 - 2018,,,,,,,423,"27,367.00",64.7,,,,,,,,,
,,2018 - 2019,,,,,,,337,"22,077.00",65.51,,,,,,,,,
,,2019 - 2020,,,,,,,499,"32,214.00",64.56,,,,,,,,,
,25. Faizabad,2000 - 2001,"17,284.00","9,60,299.00",55.56,,,,,,,,,,,,,,,
,,2001 - 2002,"20,790.00","11,96,257.00",57.54,,,,,,,,,,,,,,,
,,2002 - 2003,"21,596.00","10,82,996.00",50.15,,,,,,,,,,,,,,,
,,2003 - 2004,"16,665.00","8,63,314.00",51.8,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"16,316.00","8,94,508.00",54.82,,,,,,,,,
,,2005 - 2006,,,,,,,"19,794.00","10,82,494.00",54.69,,,,,,,,,
,,2006 - 2007,,,,,,,"18,529.00","7,70,806.00",41.6,,,,,,,,,
,,2007 - 2008,,,,,,,"16,256.00","8,79,515.00",54.1,,,,,,,,,
,,2008 - 2009,,,,,,,"19,820.00","8,87,222.00",44.76,,,,,,,,,
,,2009 - 2010,,,,,,,"19,933.00","10,75,585.00",53.96,,,,,,,,,
,,2010 - 2011,,,,,,,"19,549.00","10,43,995.00",53.4,,,,,,,,,
,,2011 - 2012,,,,,,,"20,811.00","12,26,434.00",58.93,,,,,,,,,
,,2012 - 2013,,,,,,,"21,013.00","13,42,899.00",63.91,,,,,,,,,
,,2013 - 2014,,,,,,,"19,239.00","12,69,312.00",65.98,,,,,,,,,
,,2014 - 2015,,,,,,,"20,004.00","13,28,266.00",66.4,,,,,,,,,
,,2015 - 2016,,,,,,,"16,610.00","10,94,732.00",65.91,,,,,,,,,
,,2016 - 2017,,,,,,,"21,721.00","15,26,204.00",70.26,,,,,,,,,
,,2017 - 2018,,,,,,,"19,950.00","15,35,272.00",76.96,,,,,,,,,
,,2018 - 2019,,,,,,,"21,885.00","16,70,526.00",76.33,,,,,,,,,
,,2019 - 2020,,,,,,,"21,844.00","16,71,765.00",76.53,,,,,,,,,
,,2020 - 2021,,,,,,,"64,242.00","49,74,000.00",77.43,,,,,,,,,
,,2021 - 2022,,,,,,,"64,937.00","50,33,000.00",77.51,,,,,,,,,
,,2022 - 2023,,,,,,,"48,695.00","37,76,000.00",77.54,,,,,,,,,
,26. Farrukhabad,2000 - 2001,"7,391.00","4,19,543.00",56.76,,,,,,,,,,,,,,,
,,2001 - 2002,"7,483.00","4,29,764.00",57.43,,,,,,,,,,,,,,,
,,2002 - 2003,"7,091.00","3,79,255.00",53.48,,,,,,,,,,,,,,,
,,2003 - 2004,"7,867.00","3,84,885.00",48.92,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"7,439.00","4,25,213.00",57.16,,,,,,,,,
,,2005 - 2006,,,,,,,"10,155.00","5,51,701.00",54.33,,,,,,,,,
,,2006 - 2007,,,,,,,"12,774.00","7,91,222.00",61.94,,,,,,,,,
,,2007 - 2008,,,,,,,"8,112.00","4,63,714.00",57.16,,,,,,,,,
,,2008 - 2009,,,,,,,"8,112.00","3,97,456.00",49,,,,,,,,,
,,2009 - 2010,,,,,,,"7,720.00","4,20,894.00",54.52,,,,,,,,,
,,2010 - 2011,,,,,,,"7,715.00","4,41,298.00",57.2,,,,,,,,,
,,2011 - 2012,,,,,,,"7,000.00","4,37,416.00",62.49,,,,,,,,,
,,2012 - 2013,,,,,,,"8,086.00","5,07,219.00",62.73,,,,,,,,,
,,2013 - 2014,,,,,,,"8,172.00","5,04,343.00",61.72,,,,,,,,,
,,2014 - 2015,,,,,,,"7,198.00","4,36,861.00",60.69,,,,,,,,,
,,2015 - 2016,,,,,,,"7,710.00","4,66,517.00",60.51,,,,,,,,,
,,2016 - 2017,,,,,,,"8,086.00","5,03,111.00",62.22,,,,,,,,,
,,2017 - 2018,,,,,,,"8,165.00","5,33,762.00",65.37,,,,,,,,,
,,2018 - 2019,,,,,,,"8,116.00","5,38,837.00",66.39,,,,,,,,,
,,2019 - 2020,,,,,,,"8,613.00","5,58,260.00",64.82,,,,,,,,,
,,2020 - 2021,,,,,,,"4,372.00","2,87,000.00",65.65,,,,,,,,,
,,2021 - 2022,,,,,,,"5,235.00","3,60,000.00",68.77,,,,,,,,,
,,2022 - 2023,,,,,,,"9,553.00","6,72,000.00",70.34,,,,,,,,,
,27. Fatehpur,2000 - 2001,"9,598.00","4,53,487.00",47.25,,,,,,,,,,,,,,,
,,2001 - 2002,"9,755.00","4,21,471.00",43.21,,,,,,,,,,,,,,,
,,2002 - 2003,"9,193.00","4,01,957.00",43.72,,,,,,,,,,,,,,,
,,2003 - 2004,"8,895.00","3,90,687.00",43.92,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"8,040.00","4,16,158.00",51.76,,,,,,,,,
,,2005 - 2006,,,,,,,"7,073.00","2,31,265.00",32.7,,,,,,,,,
,,2006 - 2007,,,,,,,"9,440.00","4,48,866.00",47.55,,,,,,,,,
,,2007 - 2008,,,,,,,"8,514.00","3,79,713.00",44.6,,,,,,,,,
,,2008 - 2009,,,,,,,"6,450.00","3,56,515.00",55.27,,,,,,,,,
,,2009 - 2010,,,,,,,"5,968.00","2,59,883.00",43.55,,,,,,,,,
,,2010 - 2011,,,,,,,"5,940.00","3,46,546.00",58.34,,,,,,,,,
,,2011 - 2012,,,,,,,"6,428.00","3,59,165.00",55.88,,,,,,,,,
,,2012 - 2013,,,,,,,"6,676.00","4,08,151.00",61.14,,,,,,,,,
,,2013 - 2014,,,,,,,"7,357.00","5,01,961.00",68.23,,,,,,,,,
,,2014 - 2015,,,,,,,"7,882.00","5,18,486.00",65.78,,,,,,,,,
,,2015 - 2016,,,,,,,"7,255.00","4,86,318.00",67.03,,,,,,,,,
,,2016 - 2017,,,,,,,"6,310.00","4,58,529.00",72.67,,,,,,,,,
,,2017 - 2018,,,,,,,"6,377.00","2,34,214.00",36.73,,,,,,,,,
,,2018 - 2019,,,,,,,"6,447.00","2,47,578.00",38.4,,,,,,,,,
,,2019 - 2020,,,,,,,"6,374.00","5,18,289.00",81.31,,,,,,,,,
,28. Firozabad,2000 - 2001,187,"8,728.00",46.67,,,,,,,,,,,,,,,
,,2001 - 2002,174,"9,121.00",52.42,,,,,,,,,,,,,,,
,,2002 - 2003,140,"7,617.00",54.41,,,,,,,,,,,,,,,
,,2003 - 2004,88,"4,552.00",51.73,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,94,"4,669.00",49.67,,,,,,,,,
,,2005 - 2006,,,,,,,147,"7,406.00",50.38,,,,,,,,,
,,2006 - 2007,,,,,,,95,"5,115.00",53.84,,,,,,,,,
,,2007 - 2008,,,,,,,165,"8,667.00",52.53,,,,,,,,,
,,2008 - 2009,,,,,,,129,"6,598.00",51.15,,,,,,,,,
,,2009 - 2010,,,,,,,91,"3,932.00",43.21,,,,,,,,,
,,2010 - 2011,,,,,,,98,"4,988.00",50.9,,,,,,,,,
,,2011 - 2012,,,,,,,92,"4,368.00",47.48,,,,,,,,,
,,2012 - 2013,,,,,,,141,"6,395.00",45.35,,,,,,,,,
,,2013 - 2014,,,,,,,154,"7,391.00",47.99,,,,,,,,,
,,2014 - 2015,,,,,,,117,"4,927.00",42.11,,,,,,,,,
,,2015 - 2016,,,,,,,119,"5,558.00",46.71,,,,,,,,,
,,2016 - 2017,,,,,,,46,"2,465.00",53.59,,,,,,,,,
,,2017 - 2018,,,,,,,112,"6,348.00",56.68,,,,,,,,,
,,2018 - 2019,,,,,,,137,"7,516.00",54.86,,,,,,,,,
,,2019 - 2020,,,,,,,322,"21,189.00",65.8,,,,,,,,,
,29. Gautam buddha nagar,2000 - 2001,"4,385.00","2,53,015.00",57.7,,,,,,,,,,,,,,,
,,2001 - 2002,"4,394.00","2,83,376.00",64.49,,,,,,,,,,,,,,,
,,2002 - 2003,"3,385.00","2,10,647.00",62.23,,,,,,,,,,,,,,,
,,2003 - 2004,"3,166.00","1,99,034.00",62.87,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"2,759.00","1,74,347.00",63.19,,,,,,,,,
,,2005 - 2006,,,,,,,"2,591.00","1,61,143.00",62.19,,,,,,,,,
,,2006 - 2007,,,,,,,"2,406.00","1,58,956.00",66.07,,,,,,,,,
,,2007 - 2008,,,,,,,"2,819.00","1,87,879.00",66.65,,,,,,,,,
,,2008 - 2009,,,,,,,"2,781.00","1,68,536.00",60.6,,,,,,,,,
,,2009 - 2010,,,,,,,"2,139.00","1,37,525.00",64.29,,,,,,,,,
,,2010 - 2011,,,,,,,"2,028.00","1,26,681.00",62.47,,,,,,,,,
,,2011 - 2012,,,,,,,"2,033.00","1,28,312.00",63.11,,,,,,,,,
,,2012 - 2013,,,,,,,"1,940.00","1,30,355.00",67.19,,,,,,,,,
,,2013 - 2014,,,,,,,"1,888.00","1,33,442.00",70.68,,,,,,,,,
,,2014 - 2015,,,,,,,"1,798.00","1,31,612.00",73.2,,,,,,,,,
,,2015 - 2016,,,,,,,"1,007.00","75,667.00",75.14,,,,,,,,,
,,2016 - 2017,,,,,,,"1,882.00","1,50,422.00",79.93,,,,,,,,,
,,2017 - 2018,,,,,,,"1,812.00","1,61,446.00",89.1,,,,,,,,,
,,2018 - 2019,,,,,,,"2,050.00","1,82,869.00",89.2,,,,,,,,,
,,2019 - 2020,,,,,,,"1,976.00","1,74,054.00",88.08,,,,,,,,,
,30. Ghaziabad,2000 - 2001,"59,152.00","34,53,530.00",58.38,,,,,,,,,,,,,,,
,,2001 - 2002,"61,232.00","40,72,418.00",66.51,,,,,,,,,,,,,,,
,,2002 - 2003,"64,885.00","42,65,799.00",65.74,,,,,,,,,,,,,,,
,,2003 - 2004,"65,950.00","41,21,611.00",62.5,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"64,548.00","40,78,917.00",63.19,,,,,,,,,
,,2005 - 2006,,,,,,,"63,260.00","33,24,440.00",52.55,,,,,,,,,
,,2006 - 2007,,,,,,,"65,587.00","38,85,112.00",59.24,,,,,,,,,
,,2007 - 2008,,,,,,,"66,459.00","40,22,099.00",60.52,,,,,,,,,
,,2008 - 2009,,,,,,,"60,776.00","32,57,107.00",53.59,,,,,,,,,
,,2009 - 2010,,,,,,,"56,992.00","33,20,126.00",58.26,,,,,,,,,
,,2010 - 2011,,,,,,,"56,546.00","30,43,758.00",53.83,,,,,,,,,
,,2011 - 2012,,,,,,,"61,150.00","37,47,761.00",61.29,,,,,,,,,
,,2012 - 2013,,,,,,,"21,381.00","13,73,430.00",64.24,,,,,,,,,
,,2013 - 2014,,,,,,,"21,384.00","14,78,490.00",69.14,,,,,,,,,
,,2014 - 2015,,,,,,,"11,136.00","7,50,076.00",67.36,,,,,,,,,
,,2015 - 2016,,,,,,,"20,412.00","15,48,863.00",75.88,,,,,,,,,
,,2016 - 2017,,,,,,,"20,204.00","15,84,963.00",78.45,,,,,,,,,
,,2017 - 2018,,,,,,,"23,499.00","20,87,087.00",88.82,,,,,,,,,
,,2018 - 2019,,,,,,,"23,136.00","19,71,372.00",85.21,,,,,,,,,
,,2019 - 2020,,,,,,,"21,832.00","18,64,977.00",85.42,,,,,,,,,
,,2020 - 2021,,,,,,,"21,940.00","19,28,000.00",87.88,,,,,,,,,
,,2021 - 2022,,,,,,,"22,461.00","19,84,000.00",88.33,,,,,,,,,
,,2022 - 2023,,,,,,,"23,708.00","21,47,000.00",90.56,,,,,,,,,
,31. Ghazipur,2000 - 2001,"11,950.00","5,04,230.00",42.19,,,,,,,,,,,,,,,
,,2001 - 2002,"9,747.00","4,30,544.00",44.17,,,,,,,,,,,,,,,
,,2002 - 2003,"8,743.00","3,54,651.00",40.56,,,,,,,,,,,,,,,
,,2003 - 2004,"8,203.00","2,93,471.00",35.78,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"7,372.00","2,99,017.00",40.56,,,,,,,,,
,,2005 - 2006,,,,,,,"8,601.00","4,01,285.00",46.66,,,,,,,,,
,,2006 - 2007,,,,,,,"7,448.00","3,93,277.00",52.8,,,,,,,,,
,,2007 - 2008,,,,,,,"7,422.00","3,74,073.00",50.4,,,,,,,,,
,,2008 - 2009,,,,,,,"5,485.00","2,01,563.00",36.75,,,,,,,,,
,,2009 - 2010,,,,,,,"4,553.00","1,62,342.00",35.66,,,,,,,,,
,,2010 - 2011,,,,,,,"7,250.00","2,14,861.00",29.64,,,,,,,,,
,,2011 - 2012,,,,,,,"7,530.00","3,45,808.00",45.92,,,,,,,,,
,,2012 - 2013,,,,,,,"7,631.00","3,51,972.00",46.12,,,,,,,,,
,,2013 - 2014,,,,,,,"7,382.00","3,58,588.00",48.58,,,,,,,,,
,,2014 - 2015,,,,,,,"7,239.00","3,96,118.00",54.72,,,,,,,,,
,,2015 - 2016,,,,,,,"5,559.00","3,16,441.00",56.92,,,,,,,,,
,,2016 - 2017,,,,,,,"7,496.00","4,27,842.00",57.08,,,,,,,,,
,,2017 - 2018,,,,,,,"7,309.00","4,52,544.00",61.92,,,,,,,,,
,,2018 - 2019,,,,,,,"7,268.00","4,46,488.00",61.43,,,,,,,,,
,,2019 - 2020,,,,,,,"7,924.00","4,25,741.00",53.73,,,,,,,,,
,,2020 - 2021,,,,,,,"3,904.00","2,31,000.00",59.17,,,,,,,,,
,,2021 - 2022,,,,,,,"3,834.00","2,41,000.00",62.86,,,,,,,,,
,,2022 - 2023,,,,,,,"3,902.00","2,46,000.00",63.04,,,,,,,,,
,32. Gonda,2000 - 2001,"32,185.00","14,66,864.00",45.58,,,,,,,,,,,,,,,
,,2001 - 2002,"45,117.00","22,19,937.00",49.2,,,,,,,,,,,,,,,
,,2002 - 2003,"50,221.00","22,41,263.00",44.63,,,,,,,,,,,,,,,
,,2003 - 2004,"52,101.00","24,70,421.00",47.42,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"53,374.00","25,28,006.00",47.36,,,,,,,,,
,,2005 - 2006,,,,,,,"55,171.00","28,92,623.00",52.43,,,,,,,,,
,,2006 - 2007,,,,,,,"66,268.00","30,40,641.00",45.88,,,,,,,,,
,,2007 - 2008,,,,,,,"61,549.00","28,77,293.00",46.75,,,,,,,,,
,,2008 - 2009,,,,,,,"66,034.00","26,34,757.00",39.9,,,,,,,,,
,,2009 - 2010,,,,,,,"65,823.00","33,86,725.00",51.45,,,,,,,,,
,,2010 - 2011,,,,,,,"70,037.00","38,78,929.00",55.38,,,,,,,,,
,,2011 - 2012,,,,,,,"71,422.00","43,46,457.00",60.86,,,,,,,,,
,,2012 - 2013,,,,,,,"73,651.00","43,70,745.00",59.34,,,,,,,,,
,,2013 - 2014,,,,,,,"81,115.00","46,80,984.00",57.71,,,,,,,,,
,,2014 - 2015,,,,,,,"79,442.00","40,88,721.00",51.47,,,,,,,,,
,,2015 - 2016,,,,,,,"72,834.00","39,68,579.00",54.49,,,,,,,,,
,,2016 - 2017,,,,,,,"77,658.00","46,93,960.00",60.44,,,,,,,,,
,,2017 - 2018,,,,,,,"79,629.00","55,76,260.00",70.03,,,,,,,,,
,,2018 - 2019,,,,,,,"79,434.00","59,46,747.00",74.86,,,,,,,,,
,,2019 - 2020,,,,,,,"78,398.00","59,90,862.00",76.42,,,,,,,,,
,,2020 - 2021,,,,,,,"78,077.00","60,05,000.00",76.91,,,,,,,,,
,,2021 - 2022,,,,,,,"73,465.00","56,87,000.00",77.41,,,,,,,,,
,,2022 - 2023,,,,,,,"95,498.00","75,18,000.00",78.72,,,,,,,,,
,33. Gorakhpur,2000 - 2001,"4,213.00","2,30,367.00",54.68,,,,,,,,,,,,,,,
,,2001 - 2002,"4,216.00","2,36,012.00",55.98,,,,,,,,,,,,,,,
,,2002 - 2003,"3,909.00","2,21,374.00",56.63,,,,,,,,,,,,,,,
,,2003 - 2004,"3,830.00","2,02,117.00",52.77,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"3,114.00","1,73,026.00",55.56,,,,,,,,,
,,2005 - 2006,,,,,,,"3,337.00","1,87,953.00",56.32,,,,,,,,,
,,2006 - 2007,,,,,,,"4,225.00","2,31,327.00",54.75,,,,,,,,,
,,2007 - 2008,,,,,,,"2,046.00","1,07,390.00",52.49,,,,,,,,,
,,2008 - 2009,,,,,,,"3,312.00","1,60,632.00",48.5,,,,,,,,,
,,2009 - 2010,,,,,,,"2,812.00","1,40,263.00",49.88,,,,,,,,,
,,2010 - 2011,,,,,,,"3,097.00","1,62,555.00",52.49,,,,,,,,,
,,2011 - 2012,,,,,,,"2,839.00","1,64,310.00",57.88,,,,,,,,,
,,2012 - 2013,,,,,,,"2,714.00","1,75,737.00",64.75,,,,,,,,,
,,2013 - 2014,,,,,,,"2,722.00","1,70,277.00",62.56,,,,,,,,,
,,2014 - 2015,,,,,,,"2,948.00","1,81,208.00",61.47,,,,,,,,,
,,2015 - 2016,,,,,,,"2,616.00","1,38,941.00",53.11,,,,,,,,,
,,2016 - 2017,,,,,,,"2,601.00","1,58,994.00",61.13,,,,,,,,,
,,2017 - 2018,,,,,,,"2,340.00","1,52,222.00",65.05,,,,,,,,,
,,2018 - 2019,,,,,,,"2,993.00","2,15,005.00",71.84,,,,,,,,,
,,2019 - 2020,,,,,,,"2,484.00","1,77,765.00",71.56,,,,,,,,,
,,2020 - 2021,,,,,,,"12,023.00","7,24,000.00",60.22,,,,,,,,,
,,2021 - 2022,,,,,,,"9,063.00","5,47,000.00",60.36,,,,,,,,,
,,2022 - 2023,,,,,,,"2,178.00","1,49,000.00",68.41,,,,,,,,,
,34. Hamirpur,2000 - 2001,"3,340.00","1,48,784.00",44.55,,,,,,,,,,,,,,,
,,2001 - 2002,"3,220.00","1,66,386.00",51.67,,,,,,,,,,,,,,,
,,2002 - 2003,"3,405.00","1,72,138.00",50.55,,,,,,,,,,,,,,,
,,2003 - 2004,"2,964.00","1,25,026.00",42.18,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"2,996.00","1,15,900.00",38.68,,,,,,,,,
,,2005 - 2006,,,,,,,"4,065.00","1,27,931.00",31.47,,,,,,,,,
,,2006 - 2007,,,,,,,"4,430.00","1,89,001.00",42.66,,,,,,,,,
,,2007 - 2008,,,,,,,"3,452.00","91,216.00",26.42,,,,,,,,,
,,2008 - 2009,,,,,,,"1,005.00","40,940.00",40.74,,,,,,,,,
,,2009 - 2010,,,,,,,902,"36,161.00",40.09,,,,,,,,,
,,2010 - 2011,,,,,,,"2,009.00","98,981.00",49.27,,,,,,,,,
,,2011 - 2012,,,,,,,"2,925.00","1,40,707.00",48.1,,,,,,,,,
,,2012 - 2013,,,,,,,"3,426.00","1,27,290.00",37.15,,,,,,,,,
,,2013 - 2014,,,,,,,"4,828.00","2,15,662.00",44.67,,,,,,,,,
,,2014 - 2015,,,,,,,"5,381.00","2,17,635.00",40.45,,,,,,,,,
,,2015 - 2016,,,,,,,"5,695.00","2,08,921.00",36.68,,,,,,,,,
,,2016 - 2017,,,,,,,"2,842.00","1,22,072.00",42.95,,,,,,,,,
,,2017 - 2018,,,,,,,"6,308.00","2,41,798.00",38.33,,,,,,,,,
,,2018 - 2019,,,,,,,"4,162.00","1,62,322.00",39,,,,,,,,,
,,2019 - 2020,,,,,,,"3,260.00","1,29,650.00",39.77,,,,,,,,,
,35. Hapur,2012 - 2013,,,,,,,"37,894.00","23,68,375.00",62.5,,,,,,,,,
,,2013 - 2014,,,,,,,"38,509.00","25,10,171.00",65.18,,,,,,,,,
,,2014 - 2015,,,,,,,"35,923.00","25,26,393.00",70.33,,,,,,,,,
,,2015 - 2016,,,,,,,"35,721.00","24,16,740.00",67.66,,,,,,,,,
,,2016 - 2017,,,,,,,"36,365.00","28,56,980.00",78.56,,,,,,,,,
,,2017 - 2018,,,,,,,"39,774.00","33,13,651.00",83.31,,,,,,,,,
,,2018 - 2019,,,,,,,"37,241.00","31,14,241.00",83.62,,,,,,,,,
,,2019 - 2020,,,,,,,"38,493.00","32,49,117.00",84.41,,,,,,,,,
,,2020 - 2021,,,,,,,"49,525.00","41,94,000.00",84.68,,,,,,,,,
,,2021 - 2022,,,,,,,"53,925.00","44,78,000.00",83.04,,,,,,,,,
,,2022 - 2023,,,,,,,"41,946.00","35,70,000.00",85.11,,,,,,,,,
,36. Hardoi,2000 - 2001,"24,127.00","13,29,205.00",55.09,,,,,,,,,,,,,,,
,,2001 - 2002,"25,536.00","13,26,851.00",51.96,,,,,,,,,,,,,,,
,,2002 - 2003,"27,383.00","13,28,185.00",48.5,,,,,,,,,,,,,,,
,,2003 - 2004,"27,449.00","12,92,409.00",47.08,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"25,856.00","13,05,107.00",50.48,,,,,,,,,
,,2005 - 2006,,,,,,,"32,683.00","15,60,417.00",47.74,,,,,,,,,
,,2006 - 2007,,,,,,,"25,856.00","13,67,472.00",52.89,,,,,,,,,
,,2007 - 2008,,,,,,,"43,216.00","20,81,110.00",48.16,,,,,,,,,
,,2008 - 2009,,,,,,,"39,157.00","18,78,596.00",47.98,,,,,,,,,
,,2009 - 2010,,,,,,,"31,654.00","16,10,682.00",50.88,,,,,,,,,
,,2010 - 2011,,,,,,,"30,600.00","16,29,389.00",53.25,,,,,,,,,
,,2011 - 2012,,,,,,,"31,481.00","17,75,906.00",56.41,,,,,,,,,
,,2012 - 2013,,,,,,,"35,834.00","22,10,098.00",61.68,,,,,,,,,
,,2013 - 2014,,,,,,,"39,111.00","22,72,036.00",58.09,,,,,,,,,
,,2014 - 2015,,,,,,,"37,032.00","22,26,216.00",60.12,,,,,,,,,
,,2015 - 2016,,,,,,,"36,893.00","23,04,189.00",62.46,,,,,,,,,
,,2016 - 2017,,,,,,,"34,227.00","23,61,663.00",69,,,,,,,,,
,,2017 - 2018,,,,,,,"37,344.00","28,20,667.00",75.53,,,,,,,,,
,,2018 - 2019,,,,,,,"44,585.00","34,91,897.00",78.32,,,,,,,,,
,,2019 - 2020,,,,,,,"36,564.00","28,67,641.00",78.43,,,,,,,,,
,,2020 - 2021,,,,,,,"1,10,295.00","87,49,000.00",79.32,,,,,,,,,
,,2021 - 2022,,,,,,,"1,20,038.00","96,00,000.00",79.97,,,,,,,,,
,,2022 - 2023,,,,,,,"82,826.00","67,89,000.00",81.97,,,,,,,,,
,37. Hathras,2000 - 2001,468,"24,163.00",51.63,,,,,,,,,,,,,,,
,,2001 - 2002,479,"25,110.00",52.42,,,,,,,,,,,,,,,
,,2002 - 2003,481,"26,170.00",54.41,,,,,,,,,,,,,,,
,,2003 - 2004,543,"28,086.00",51.72,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,490,"24,338.00",49.67,,,,,,,,,
,,2005 - 2006,,,,,,,"1,337.00","67,357.00",50.38,,,,,,,,,
,,2006 - 2007,,,,,,,516,"27,785.00",53.85,,,,,,,,,
,,2007 - 2008,,,,,,,362,"19,015.00",52.53,,,,,,,,,
,,2008 - 2009,,,,,,,212,"10,843.00",51.15,,,,,,,,,
,,2009 - 2010,,,,,,,365,"20,012.00",54.83,,,,,,,,,
,,2010 - 2011,,,,,,,387,"21,334.00",55.13,,,,,,,,,
,,2011 - 2012,,,,,,,223,"13,040.00",58.48,,,,,,,,,
,,2012 - 2013,,,,,,,530,"32,012.00",60.4,,,,,,,,,
,,2013 - 2014,,,,,,,326,"20,039.00",61.47,,,,,,,,,
,,2014 - 2015,,,,,,,262,"15,038.00",57.4,,,,,,,,,
,,2015 - 2016,,,,,,,220,"13,483.00",61.29,,,,,,,,,
,,2016 - 2017,,,,,,,122,"7,950.00",65.16,,,,,,,,,
,,2017 - 2018,,,,,,,566,"42,034.00",74.27,,,,,,,,,
,,2018 - 2019,,,,,,,861,"68,250.00",79.27,,,,,,,,,
,,2019 - 2020,,,,,,,"1,077.00","86,688.00",80.49,,,,,,,,,
,38. Jalaun,2000 - 2001,"1,947.00","81,226.00",41.72,,,,,,,,,,,,,,,
,,2001 - 2002,"1,777.00","82,836.00",46.62,,,,,,,,,,,,,,,
,,2002 - 2003,"1,856.00","83,802.00",45.15,,,,,,,,,,,,,,,
,,2003 - 2004,"1,851.00","91,766.00",49.58,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,579.00","95,199.00",60.29,,,,,,,,,
,,2005 - 2006,,,,,,,"2,447.00","54,986.00",22.47,,,,,,,,,
,,2006 - 2007,,,,,,,"3,644.00","1,40,416.00",38.53,,,,,,,,,
,,2007 - 2008,,,,,,,"1,153.00","23,005.00",19.95,,,,,,,,,
,,2008 - 2009,,,,,,,"1,998.00","46,056.00",23.05,,,,,,,,,
,,2009 - 2010,,,,,,,493,"15,803.00",32.05,,,,,,,,,
,,2010 - 2011,,,,,,,"1,769.00","66,657.00",37.68,,,,,,,,,
,,2011 - 2012,,,,,,,"1,709.00","69,346.00",40.58,,,,,,,,,
,,2012 - 2013,,,,,,,"1,752.00","65,094.00",37.15,,,,,,,,,
,,2013 - 2014,,,,,,,"1,609.00","64,614.00",40.16,,,,,,,,,
