State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,21,8,0.38,,,,,,
,,2010 - 2011,2,,0,,,,,,
18. Tripura,1. Dhalai,2016 - 2017,24,17,0.71,,,,,,
,,2017 - 2018,31,22,0.71,,,,,,
,2. Gomati,2016 - 2017,33,23,0.7,,,,,,
,,2017 - 2018,32,22,0.69,,,,,,
,3. Khowai,2016 - 2017,27,20,0.74,,,,,,
,,2017 - 2018,27,19,0.7,,,,,,
,4. North tripura,2016 - 2017,10,7,0.7,,,,,,
,,2017 - 2018,16,11,0.69,,,,,,
,5. Sepahijala,2016 - 2017,15,10,0.67,,,,,,
,6. South tripura,2016 - 2017,27,19,0.7,,,,,,
,7. Unakoti,2016 - 2017,14,9,0.64,,,,,,
,,2017 - 2018,14,10,0.71,,,,,,
19. Uttar Pradesh,1. Agra,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,1,0.1,0.1,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,2. Aligarh,2004 - 2005,5,2,0.4,,,,,,
,,2013 - 2014,16,6,0.38,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,57,32,0.56,,,,,,
,3. Allahabad,2000 - 2001,"7,735.00","2,661.00",0.34,,,,,,
,,2001 - 2002,"2,463.00",882,0.36,,,,,,
,,2003 - 2004,"2,147.00","1,087.00",0.51,,,,,,
,,2004 - 2005,925,475,0.51,,,,,,
,,2005 - 2006,"2,101.00",950,0.45,,,,,,
,,2006 - 2007,880,309,0.35,,,,,,
,,2007 - 2008,"1,085.00",388,0.36,,,,,,
,,2008 - 2009,811,247,0.3,,,,,,
,,2009 - 2010,"1,065.00",360,0.34,,,,,,
,,2010 - 2011,864,498,0.58,,,,,,
,,2011 - 2012,918,406,0.44,,,,,,
,,2012 - 2013,"1,061.00",638,0.6,,,,,,
,,2013 - 2014,869,302,0.35,,,,,,
,,2014 - 2015,"1,223.00",708,0.58,,,,,,
,,2015 - 2016,477,102,0.21,,,,,,
,,2016 - 2017,"1,120.00",428,0.38,,,,,,
,,2017 - 2018,320,277,0.87,,,,,,
,,2018 - 2019,810,600,0.74,,,,,,
,,2019 - 2020,471,193,0.41,,,,,,
,,2020 - 2021,777,331,0.43,,,,,,
,,2021 - 2022,"1,086.00",496,0.46,,,,,,
,,2022 - 2023,"1,602.00","1,147.00",0.72,,,,,,
,4. Ambedkar nagar,2000 - 2001,1,0.1,0.1,,,,,,
,,2001 - 2002,1,0.1,0.1,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,
,5. Amethi,2011 - 2012,107,49,0.46,,,,,,
,,2012 - 2013,64,29,0.45,,,,,,
,,2013 - 2014,63,26,0.41,,,,,,
,,2014 - 2015,81,47,0.58,,,,,,
,,2015 - 2016,13,2,0.15,,,,,,
,,2016 - 2017,70,38,0.54,,,,,,
,,2017 - 2018,74,45,0.61,,,,,,
,,2018 - 2019,90,57,0.63,,,,,,
,,2019 - 2020,47,32,0.68,,,,,,
,,2020 - 2021,60,34,0.57,,,,,,
,,2021 - 2022,72,45,0.63,,,,,,
,,2022 - 2023,105,75,0.71,,,,,,
,6. Amroha,2017 - 2018,11,7,0.64,,,,,,
,,2018 - 2019,12,8,0.67,,,,,,
,7. Auraiya,2000 - 2001,25,9,0.36,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,
,,2003 - 2004,15,7,0.47,,,,,,
,,2004 - 2005,6,3,0.5,,,,,,
,,2005 - 2006,15,6,0.4,,,,,,
,,2006 - 2007,24,8,0.33,,,,,,
,,2008 - 2009,47,21,0.45,,,,,,
,,2009 - 2010,27,12,0.44,,,,,,
,,2010 - 2011,20,9,0.45,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2014 - 2015,60,35,0.58,,,,,,
,,2015 - 2016,23,4,0.17,,,,,,
,,2017 - 2018,6,4,0.67,,,,,,
,8. Azamgarh,2001 - 2002,5,2,0.4,,,,,,
,,2002 - 2003,7,3,0.43,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2008 - 2009,1,1,1,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2017 - 2018,25,15,0.6,,,,,,
,,2018 - 2019,26,16,0.62,,,,,,
,9. Baghpat,2002 - 2003,"2,221.00","1,022.00",0.46,,,,,,
,,2017 - 2018,20,12,0.6,,,,,,
,,2018 - 2019,41,26,0.63,,,,,,
,10. Bahraich,2000 - 2001,526,225,0.43,,,,,,
,,2001 - 2002,323,136,0.42,,,,,,
,,2002 - 2003,159,68,0.43,,,,,,
,,2003 - 2004,150,74,0.49,,,,,,
,,2004 - 2005,110,51,0.46,,,,,,
,,2005 - 2006,155,64,0.41,,,,,,
,,2006 - 2007,42,15,0.36,,,,,,
,,2007 - 2008,38,10,0.26,,,,,,
,,2008 - 2009,90,41,0.46,,,,,,
,,2009 - 2010,87,38,0.44,,,,,,
,,2011 - 2012,30,14,0.47,,,,,,
,,2012 - 2013,84,38,0.45,,,,,,
,,2013 - 2014,36,15,0.42,,,,,,
,,2014 - 2015,114,66,0.58,,,,,,
,,2015 - 2016,3,1,0.33,,,,,,
,,2016 - 2017,40,22,0.55,,,,,,
,,2017 - 2018,142,86,0.61,,,,,,
,,2018 - 2019,76,48,0.63,,,,,,
,,2019 - 2020,71,49,0.69,,,,,,
,,2020 - 2021,84,47,0.56,,,,,,
,,2021 - 2022,102,64,0.63,,,,,,
,,2022 - 2023,150,107,0.71,,,,,,
,11. Balrampur,2000 - 2001,388,166,0.43,,,,,,
,,2001 - 2002,238,100,0.42,,,,,,
,,2002 - 2003,153,66,0.43,,,,,,
,,2003 - 2004,161,79,0.49,,,,,,
,,2004 - 2005,40,18,0.45,,,,,,
,,2005 - 2006,161,67,0.42,,,,,,
,,2006 - 2007,16,5,0.31,,,,,,
,,2007 - 2008,31,8,0.26,,,,,,
,,2008 - 2009,8,4,0.5,,,,,,
,,2010 - 2011,13,6,0.46,,,,,,
,,2011 - 2012,14,6,0.43,,,,,,
,,2012 - 2013,16,7,0.44,,,,,,
,,2013 - 2014,12,5,0.42,,,,,,
,,2014 - 2015,16,9,0.56,,,,,,
,,2015 - 2016,5,1,0.2,,,,,,
,,2017 - 2018,17,10,0.59,,,,,,
,,2018 - 2019,12,7,0.58,,,,,,
,,2019 - 2020,12,8,0.67,,,,,,
,,2020 - 2021,12,7,0.58,,,,,,
,,2021 - 2022,22,14,0.64,,,,,,
,,2022 - 2023,33,24,0.73,,,,,,
,12. Banda,2000 - 2001,"3,680.00","1,638.00",0.45,,,,,,
,,2001 - 2002,"3,026.00","1,186.00",0.39,,,,,,
,,2002 - 2003,"2,752.00",906,0.33,,,,,,
,,2003 - 2004,"2,413.00","1,109.00",0.46,,,,,,
,,2004 - 2005,"2,843.00","1,226.00",0.43,,,,,,
,,2005 - 2006,"2,281.00","1,015.00",0.44,,,,,,
,,2006 - 2007,"2,165.00",681,0.31,,,,,,
,,2007 - 2008,"2,216.00",342,0.15,,,,,,
,,2008 - 2009,"2,187.00",997,0.46,,,,,,
,,2009 - 2010,"2,379.00","1,097.00",0.46,,,,,,
,,2010 - 2011,"2,253.00","1,032.00",0.46,,,,,,
,,2011 - 2012,"2,256.00",966,0.43,,,,,,
,,2012 - 2013,"2,325.00",902,0.39,,,,,,
,,2013 - 2014,"2,403.00",666,0.28,,,,,,
,,2014 - 2015,"3,201.00","1,853.00",0.58,,,,,,
,,2015 - 2016,"1,012.00",125,0.12,,,,,,
,,2016 - 2017,"4,774.00","3,055.00",0.64,,,,,,
,,2017 - 2018,"2,855.00","2,295.00",0.8,,,,,,
,,2018 - 2019,"2,308.00","1,920.00",0.83,,,,,,
,,2019 - 2020,"1,376.00","1,028.00",0.75,,,,,,
,,2020 - 2021,"2,595.00","1,744.00",0.67,,,,,,
,,2021 - 2022,"3,109.00","2,344.00",0.75,,,,,,
,,2022 - 2023,"4,570.00","4,419.00",0.97,,,,,,
,13. Barabanki,2000 - 2001,55,20,0.36,,,,,,
,,2001 - 2002,31,13,0.42,,,,,,
,,2002 - 2003,26,11,0.42,,,,,,
,,2003 - 2004,29,14,0.48,,,,,,
,,2004 - 2005,21,10,0.48,,,,,,
,,2005 - 2006,131,54,0.41,,,,,,
,,2006 - 2007,8,3,0.38,,,,,,
,,2007 - 2008,35,9,0.26,,,,,,
,,2008 - 2009,20,9,0.45,,,,,,
,,2009 - 2010,28,13,0.46,,,,,,
,,2010 - 2011,15,7,0.47,,,,,,
,,2011 - 2012,17,8,0.47,,,,,,
,,2012 - 2013,1,,0,,,,,,
,,2013 - 2014,13,5,0.38,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2015 - 2016,18,4,0.22,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,
,,2019 - 2020,6,4,0.67,,,,,,
,,2020 - 2021,7,4,0.57,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,
,14. Bareilly,2000 - 2001,37,13,0.35,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,6,3,0.5,,,,,,
,,2004 - 2005,14,7,0.5,,,,,,
,,2005 - 2006,7,3,0.43,,,,,,
,,2006 - 2007,14,5,0.36,,,,,,
,,2007 - 2008,8,2,0.25,,,,,,
,,2017 - 2018,11,7,0.64,,,,,,
,,2018 - 2019,28,18,0.64,,,,,,
,,2019 - 2020,327,225,0.69,,,,,,
,15. Basti,2000 - 2001,22,9,0.41,,,,,,
,,2001 - 2002,33,14,0.42,,,,,,
,,2002 - 2003,31,6,0.19,,,,,,
,,2003 - 2004,23,11,0.48,,,,,,
,,2004 - 2005,25,12,0.48,,,,,,
,,2005 - 2006,23,10,0.43,,,,,,
,,2006 - 2007,25,9,0.36,,,,,,
,,2008 - 2009,27,12,0.44,,,,,,
,,2009 - 2010,9,4,0.44,,,,,,
,,2010 - 2011,25,12,0.48,,,,,,
,,2011 - 2012,37,17,0.46,,,,,,
,,2012 - 2013,14,7,0.5,,,,,,
,,2013 - 2014,23,9,0.39,,,,,,
,,2014 - 2015,24,14,0.58,,,,,,
,,2016 - 2017,23,12,0.52,,,,,,
,,2017 - 2018,23,14,0.61,,,,,,
,,2018 - 2019,23,15,0.65,,,,,,
,,2019 - 2020,23,16,0.7,,,,,,
,,2020 - 2021,23,13,0.57,,,,,,
,,2021 - 2022,28,18,0.64,,,,,,
,,2022 - 2023,40,29,0.73,,,,,,
,16. Bijnor,2000 - 2001,2,1,0.5,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2018 - 2019,10,6,0.6,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,
,17. Budaun,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,6,3,0.5,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2006 - 2007,8,3,0.38,,,,,,
,,2013 - 2014,7,3,0.43,,,,,,
,,2015 - 2016,2,,0,,,,,,
,,2016 - 2017,7,4,0.57,,,,,,
,,2017 - 2018,22,13,0.59,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,7,5,0.71,,,,,,
,,2020 - 2021,240,134,0.56,,,,,,
,,2021 - 2022,7,4,0.57,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,18. Bulandshahr,2017 - 2018,48,29,0.6,,,,,,
,,2018 - 2019,24,15,0.63,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,19. Chandauli,2001 - 2002,"1,423.00",538,0.38,,,,,,
,,2002 - 2003,"1,562.00",317,0.2,,,,,,
,,2003 - 2004,"1,164.00",589,0.51,,,,,,
,,2004 - 2005,"1,277.00",655,0.51,,,,,,
,,2005 - 2006,"1,244.00",445,0.36,,,,,,
,,2006 - 2007,"1,265.00",474,0.37,,,,,,
,,2007 - 2008,"1,262.00",452,0.36,,,,,,
,,2008 - 2009,"1,257.00",382,0.3,,,,,,
,,2009 - 2010,964,326,0.34,,,,,,
,,2010 - 2011,866,500,0.58,,,,,,
,,2011 - 2012,588,260,0.44,,,,,,
,,2012 - 2013,658,396,0.6,,,,,,
,,2013 - 2014,540,105,0.19,,,,,,
,,2014 - 2015,501,290,0.58,,,,,,
,,2015 - 2016,525,54,0.1,,,,,,
,,2016 - 2017,582,187,0.32,,,,,,
,,2017 - 2018,448,385,0.86,,,,,,
,,2018 - 2019,"1,659.00",644,0.39,,,,,,
,,2019 - 2020,577,397,0.69,,,,,,
,,2020 - 2021,541,303,0.56,,,,,,
,,2021 - 2022,"1,069.00",672,0.63,,,,,,
,,2022 - 2023,"1,569.00","1,123.00",0.72,,,,,,
,20. Chitrakoot,2000 - 2001,"1,450.00",481,0.33,,,,,,
,,2001 - 2002,"1,378.00",546,0.4,,,,,,
,,2002 - 2003,"1,526.00",503,0.33,,,,,,
,,2003 - 2004,"1,362.00",626,0.46,,,,,,
,,2004 - 2005,"1,292.00",557,0.43,,,,,,
,,2005 - 2006,"1,354.00",603,0.45,,,,,,
,,2006 - 2007,720,226,0.31,,,,,,
,,2007 - 2008,"1,504.00",232,0.15,,,,,,
,,2008 - 2009,977,445,0.46,,,,,,
,,2009 - 2010,938,433,0.46,,,,,,
,,2010 - 2011,973,446,0.46,,,,,,
,,2011 - 2012,838,358,0.43,,,,,,
,,2012 - 2013,996,386,0.39,,,,,,
,,2013 - 2014,382,114,0.3,,,,,,
,,2014 - 2015,492,285,0.58,,,,,,
,,2015 - 2016,717,89,0.12,,,,,,
,,2016 - 2017,"1,977.00","1,178.00",0.6,,,,,,
,,2017 - 2018,452,258,0.57,,,,,,
,,2018 - 2019,500,450,0.9,,,,,,
,,2019 - 2020,447,313,0.7,,,,,,
,,2020 - 2021,537,306,0.57,,,,,,
,,2021 - 2022,596,383,0.64,,,,,,
,,2022 - 2023,874,577,0.66,,,,,,
,21. Deoria,2000 - 2001,1,0.1,0.1,,,,,,
,,2001 - 2002,1,0.1,0.1,,,,,,
,,2002 - 2003,9,4,0.44,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,,2004 - 2005,7,3,0.43,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,22. Etah,2000 - 2001,28,10,0.36,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,
,,2019 - 2020,42,29,0.69,,,,,,
,23. Etawah,2002 - 2003,3,1,0.33,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,
,,2015 - 2016,5,1,0.2,,,,,,
,24. Faizabad,2000 - 2001,22,8,0.36,,,,,,
,,2001 - 2002,38,16,0.42,,,,,,
,,2002 - 2003,22,9,0.41,,,,,,
,,2003 - 2004,36,18,0.5,,,,,,
,,2004 - 2005,16,7,0.44,,,,,,
,,2005 - 2006,27,11,0.41,,,,,,
,,2006 - 2007,11,4,0.36,,,,,,
,,2007 - 2008,17,4,0.24,,,,,,
,,2008 - 2009,11,5,0.45,,,,,,
,,2009 - 2010,14,6,0.43,,,,,,
,,2010 - 2011,12,6,0.5,,,,,,
,,2011 - 2012,16,7,0.44,,,,,,
,,2012 - 2013,15,7,0.47,,,,,,
,,2013 - 2014,15,6,0.4,,,,,,
,,2014 - 2015,14,8,0.57,,,,,,
,,2015 - 2016,14,3,0.21,,,,,,
,,2016 - 2017,20,11,0.55,,,,,,
,,2017 - 2018,15,9,0.6,,,,,,
,,2018 - 2019,15,9,0.6,,,,,,
,,2019 - 2020,49,34,0.69,,,,,,
,,2020 - 2021,15,8,0.53,,,,,,
,,2021 - 2022,17,11,0.65,,,,,,
,,2022 - 2023,26,19,0.73,,,,,,
,25. Farrukhabad,2018 - 2019,19,12,0.63,,,,,,
,26. Fatehpur,2000 - 2001,217,75,0.35,,,,,,
,,2001 - 2002,217,77,0.35,,,,,,
,,2002 - 2003,269,124,0.46,,,,,,
,,2003 - 2004,283,143,0.51,,,,,,
,,2004 - 2005,304,156,0.51,,,,,,
,,2005 - 2006,211,95,0.45,,,,,,
,,2006 - 2007,304,106,0.35,,,,,,
,,2007 - 2008,318,114,0.36,,,,,,
,,2008 - 2009,177,54,0.31,,,,,,
,,2009 - 2010,604,204,0.34,,,,,,
,,2010 - 2011,211,122,0.58,,,,,,
,,2011 - 2012,143,63,0.44,,,,,,
,,2012 - 2013,111,67,0.6,,,,,,
,,2013 - 2014,135,47,0.35,,,,,,
,,2014 - 2015,120,69,0.58,,,,,,
,,2015 - 2016,34,7,0.21,,,,,,
,,2016 - 2017,91,35,0.38,,,,,,
,,2017 - 2018,182,157,0.86,,,,,,
,,2018 - 2019,171,127,0.74,,,,,,
,,2019 - 2020,137,56,0.41,,,,,,
,,2020 - 2021,141,60,0.43,,,,,,
,,2021 - 2022,205,93,0.45,,,,,,
,,2022 - 2023,303,217,0.72,,,,,,
,27. Firozabad,2000 - 2001,44,16,0.36,,,,,,
,,2001 - 2002,48,20,0.42,,,,,,
,,2002 - 2003,23,10,0.43,,,,,,
,,2003 - 2004,15,7,0.47,,,,,,
,,2004 - 2005,23,11,0.48,,,,,,
,,2005 - 2006,15,6,0.4,,,,,,
,,2006 - 2007,23,8,0.35,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2013 - 2014,1,,0,,,,,,
,28. Ghaziabad,2013 - 2014,136,55,0.4,,,,,,
,,2019 - 2020,8,6,0.75,,,,,,
,,2020 - 2021,39,22,0.56,,,,,,
,29. Ghazipur,2000 - 2001,54,23,0.43,,,,,,
,,2001 - 2002,61,23,0.38,,,,,,
,,2002 - 2003,39,8,0.21,,,,,,
,,2003 - 2004,90,46,0.51,,,,,,
,,2004 - 2005,20,10,0.5,,,,,,
,,2005 - 2006,90,32,0.36,,,,,,
,,2006 - 2007,20,8,0.4,,,,,,
,,2007 - 2008,9,3,0.33,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,
,,2017 - 2018,11,9,0.82,,,,,,
,,2018 - 2019,26,10,0.38,,,,,,
,30. Gonda,2000 - 2001,281,120,0.43,,,,,,
,,2001 - 2002,65,27,0.42,,,,,,
,,2002 - 2003,41,18,0.44,,,,,,
,,2003 - 2004,41,20,0.49,,,,,,
,,2004 - 2005,94,43,0.46,,,,,,
,,2005 - 2006,48,20,0.42,,,,,,
,,2006 - 2007,145,51,0.35,,,,,,
,,2007 - 2008,68,17,0.25,,,,,,
,,2008 - 2009,14,6,0.43,,,,,,
,,2009 - 2010,10,5,0.5,,,,,,
,,2010 - 2011,22,10,0.45,,,,,,
,,2011 - 2012,22,10,0.45,,,,,,
,,2012 - 2013,40,18,0.45,,,,,,
,,2013 - 2014,52,21,0.4,,,,,,
,,2014 - 2015,27,16,0.59,,,,,,
,,2015 - 2016,12,2,0.17,,,,,,
,,2016 - 2017,28,15,0.54,,,,,,
,,2017 - 2018,34,20,0.59,,,,,,
,,2018 - 2019,28,18,0.64,,,,,,
,,2019 - 2020,28,19,0.68,,,,,,
,,2020 - 2021,28,16,0.57,,,,,,
,,2021 - 2022,34,21,0.62,,,,,,
,,2022 - 2023,57,41,0.72,,,,,,
,31. Gorakhpur,2000 - 2001,33,12,0.36,,,,,,
,,2001 - 2002,31,13,0.42,,,,,,
,,2002 - 2003,40,17,0.43,,,,,,
,,2003 - 2004,38,19,0.5,,,,,,
,,2004 - 2005,19,9,0.47,,,,,,
,,2005 - 2006,38,16,0.42,,,,,,
,,2006 - 2007,23,8,0.35,,,,,,
,,2007 - 2008,8,2,0.25,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2010 - 2011,32,15,0.47,,,,,,
,,2011 - 2012,29,13,0.45,,,,,,
,,2012 - 2013,23,11,0.48,,,,,,
,,2013 - 2014,31,12,0.39,,,,,,
,,2014 - 2015,26,15,0.58,,,,,,
,,2017 - 2018,30,18,0.6,,,,,,
,,2018 - 2019,27,17,0.63,,,,,,
,,2019 - 2020,34,24,0.71,,,,,,
,,2020 - 2021,36,20,0.56,,,,,,
,,2021 - 2022,27,17,0.63,,,,,,
,,2022 - 2023,48,34,0.71,,,,,,
,32. Hamirpur,2000 - 2001,"6,087.00","2,557.00",0.42,,,,,,
,,2001 - 2002,"3,466.00","1,383.00",0.4,,,,,,
,,2002 - 2003,"3,017.00","1,674.00",0.55,,,,,,
,,2003 - 2004,"2,992.00","1,595.00",0.53,,,,,,
,,2004 - 2005,"3,635.00","1,567.00",0.43,,,,,,
,,2005 - 2006,"3,933.00","1,750.00",0.44,,,,,,
,,2006 - 2007,"2,310.00",727,0.31,,,,,,
,,2007 - 2008,"3,934.00","1,145.00",0.29,,,,,,
,,2008 - 2009,"3,585.00","1,441.00",0.4,,,,,,
,,2009 - 2010,"3,585.00","1,398.00",0.39,,,,,,
,,2010 - 2011,"3,210.00","1,470.00",0.46,,,,,,
,,2011 - 2012,"4,340.00","1,858.00",0.43,,,,,,
,,2012 - 2013,"3,478.00","1,350.00",0.39,,,,,,
,,2013 - 2014,"2,440.00",728,0.3,,,,,,
,,2014 - 2015,"2,123.00","1,229.00",0.58,,,,,,
,,2015 - 2016,"1,197.00",148,0.12,,,,,,
,,2016 - 2017,"3,397.00","1,012.00",0.3,,,,,,
,,2017 - 2018,"2,615.00","1,705.00",0.65,,,,,,
,,2018 - 2019,"2,105.00",951,0.45,,,,,,
,,2019 - 2020,"2,809.00","1,935.00",0.69,,,,,,
,,2020 - 2021,"2,069.00","1,283.00",0.62,,,,,,
,,2021 - 2022,"3,312.00","2,166.00",0.65,,,,,,
,,2022 - 2023,"4,870.00","3,015.00",0.62,,,,,,
,33. Hardoi,2000 - 2001,11,4,0.36,,,,,,
,,2001 - 2002,35,15,0.43,,,,,,
,,2002 - 2003,32,13,0.41,,,,,,
,,2003 - 2004,9,4,0.44,,,,,,
,,2004 - 2005,8,4,0.5,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,
,,2006 - 2007,8,3,0.38,,,,,,
,,2007 - 2008,7,2,0.29,,,,,,
,,2008 - 2009,27,12,0.44,,,,,,
,,2009 - 2010,18,8,0.44,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,
,,2011 - 2012,15,7,0.47,,,,,,
,,2012 - 2013,13,6,0.46,,,,,,
,,2013 - 2014,38,15,0.39,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,
,,2018 - 2019,15,10,0.67,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,
,34. Hathras,2017 - 2018,8,5,0.63,,,,,,
,35. Jalaun,2000 - 2001,911,199,0.22,,,,,,
,,2001 - 2002,572,260,0.45,,,,,,
,,2002 - 2003,418,242,0.58,,,,,,
,,2003 - 2004,490,248,0.51,,,,,,
,,2004 - 2005,624,320,0.51,,,,,,
,,2005 - 2006,390,164,0.42,,,,,,
,,2006 - 2007,624,212,0.34,,,,,,
,,2007 - 2008,530,148,0.28,,,,,,
,,2008 - 2009,297,170,0.57,,,,,,
,,2009 - 2010,428,234,0.55,,,,,,
,,2010 - 2011,352,203,0.58,,,,,,
,,2011 - 2012,263,116,0.44,,,,,,
,,2012 - 2013,368,221,0.6,,,,,,
,,2013 - 2014,175,126,0.72,,,,,,
,,2014 - 2015,128,74,0.58,,,,,,
,,2015 - 2016,228,44,0.19,,,,,,
,,2016 - 2017,247,133,0.54,,,,,,
,,2017 - 2018,89,54,0.61,,,,,,
,,2018 - 2019,83,52,0.63,,,,,,
,,2019 - 2020,361,248,0.69,,,,,,
,,2020 - 2021,227,127,0.56,,,,,,
,,2021 - 2022,269,169,0.63,,,,,,
,,2022 - 2023,292,209,0.72,,,,,,
,36. Jaunpur,2000 - 2001,38,16,0.42,,,,,,
,,2001 - 2002,36,14,0.39,,,,,,
,,2002 - 2003,18,4,0.22,,,,,,
,,2003 - 2004,18,9,0.5,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2005 - 2006,18,6,0.33,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,
,,2009 - 2010,4,1,0.25,,,,,,
,,2010 - 2011,4,2,0.5,,,,,,
,,2013 - 2014,16,3,0.19,,,,,,
,,2015 - 2016,2,,0,,,,,,
,,2017 - 2018,232,199,0.86,,,,,,
,,2018 - 2019,1,0,0,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,37. Jhansi,2000 - 2001,"4,165.00","1,249.00",0.3,,,,,,
,,2001 - 2002,"2,925.00","1,363.00",0.47,,,,,,
,,2002 - 2003,"1,924.00","1,156.00",0.6,,,,,,
,,2003 - 2004,"3,129.00","1,583.00",0.51,,,,,,
,,2004 - 2005,"7,540.00","3,868.00",0.51,,,,,,
,,2005 - 2006,"4,034.00","1,698.00",0.42,,,,,,
,,2006 - 2007,"6,619.00","2,250.00",0.34,,,,,,
,,2007 - 2008,"6,033.00","1,683.00",0.28,,,,,,
,,2008 - 2009,"4,961.00","2,848.00",0.57,,,,,,
,,2009 - 2010,"5,083.00","2,775.00",0.55,,,,,,
,,2010 - 2011,"3,857.00","2,226.00",0.58,,,,,,
,,2011 - 2012,"2,132.00",942,0.44,,,,,,
,,2012 - 2013,"1,309.00",787,0.6,,,,,,
,,2013 - 2014,744,537,0.72,,,,,,
,,2014 - 2015,344,199,0.58,,,,,,
,,2015 - 2016,173,33,0.19,,,,,,
,,2016 - 2017,348,187,0.54,,,,,,
,,2017 - 2018,658,396,0.6,,,,,,
,,2018 - 2019,"1,031.00",651,0.63,,,,,,
,,2019 - 2020,751,517,0.69,,,,,,
,,2020 - 2021,"1,031.00",578,0.56,,,,,,
,,2021 - 2022,"1,235.00",777,0.63,,,,,,
,,2022 - 2023,"1,750.00","1,253.00",0.72,,,,,,
,38. Kannauj,2013 - 2014,10,4,0.4,,,,,,
,39. Kanpur dehat,2003 - 2004,40,20,0.5,,,,,,
,,2004 - 2005,68,31,0.46,,,,,,
,,2005 - 2006,40,17,0.43,,,,,,
,,2006 - 2007,53,19,0.36,,,,,,
,,2007 - 2008,45,11,0.24,,,,,,
,,2008 - 2009,26,12,0.46,,,,,,
,,2009 - 2010,26,12,0.46,,,,,,
,,2010 - 2011,17,8,0.47,,,,,,
,,2011 - 2012,12,5,0.42,,,,,,
,,2012 - 2013,17,8,0.47,,,,,,
,,2013 - 2014,7,3,0.43,,,,,,
,,2014 - 2015,6,3,0.5,,,,,,
,,2015 - 2016,285,55,0.19,,,,,,
,,2016 - 2017,7,4,0.57,,,,,,
,,2017 - 2018,54,32,0.59,,,,,,
,,2018 - 2019,15,9,0.6,,,,,,
,,2019 - 2020,8,6,0.75,,,,,,
,,2020 - 2021,10,6,0.6,,,,,,
,,2021 - 2022,9,6,0.67,,,,,,
,,2022 - 2023,14,10,0.71,,,,,,
,40. Kanpur nagar,2000 - 2001,360,130,0.36,,,,,,
