State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,4,2,0.5,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,
,,2010 - 2011,4,2,0.5,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,
,,2012 - 2013,4,2,0.5,,,,,,
,12. Goalpara,2000 - 2001,560,292,0.52,,,,,,
,,2001 - 2002,370,196,0.53,,,,,,
,,2002 - 2003,350,188,0.54,,,,,,
,,2003 - 2004,355,188,0.53,,,,,,
,,2004 - 2005,355,189,0.53,,,,,,
,,2005 - 2006,340,181,0.53,,,,,,
,,2006 - 2007,350,186,0.53,,,,,,
,,2007 - 2008,360,192,0.53,,,,,,
,,2008 - 2009,360,211,0.59,,,,,,
,,2009 - 2010,360,174,0.48,,,,,,
,,2010 - 2011,400,213,0.53,,,,,,
,,2011 - 2012,430,253,0.59,,,,,,
,,2012 - 2013,450,214,0.48,,,,,,
,,2013 - 2014,460,469,1.02,,,,,,
,,2014 - 2015,257,173,0.67,,,,,,
,,2015 - 2016,257,141,0.55,,,,,,
,,2016 - 2017,200,110,0.55,,,,,,
,,2017 - 2018,200,120,0.6,,,,,,
,,2018 - 2019,200,120,0.6,,,,,,
,,2019 - 2020,202,121,0.6,,,,,,
,,2020 - 2021,200,121,0.61,,,,,,
,,2021 - 2022,201,118,0.59,,,,,,
,,2022 - 2023,197,115,0.58,,,,,,
,13. Golaghat,2000 - 2001,14,8,0.57,,,,,,
,,2001 - 2002,12,7,0.58,,,,,,
,,2002 - 2003,12,7,0.58,,,,,,
,,2003 - 2004,11,6,0.55,,,,,,
,,2004 - 2005,9,5,0.56,,,,,,
,,2005 - 2006,8,4,0.5,,,,,,
,,2006 - 2007,7,4,0.57,,,,,,
,,2007 - 2008,7,4,0.57,,,,,,
,,2008 - 2009,10,5,0.5,,,,,,
,,2022 - 2023,34,20,0.59,,,,,,
,14. Hailakandi,2000 - 2001,10,5,0.5,,,,,,
,,2001 - 2002,10,5,0.5,,,,,,
,,2002 - 2003,10,5,0.5,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,10,5,0.5,,,,,,
,,2007 - 2008,10,5,0.5,,,,,,
,,2008 - 2009,15,8,0.53,,,,,,
,,2009 - 2010,12,6,0.5,,,,,,
,,2010 - 2011,15,8,0.53,,,,,,
,,2012 - 2013,5,3,0.6,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,
,,2016 - 2017,5,3,0.6,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,
,15. Hojai,2020 - 2021,35,18,0.51,,,,,,
,,2021 - 2022,35,18,0.51,,,,,,
,,2022 - 2023,35,18,0.51,,,,,,
,16. Jorhat,2009 - 2010,3,2,0.67,,,,,,
,,2010 - 2011,1,1,1,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,
,,2012 - 2013,6,3,0.5,,,,,,
,,2013 - 2014,8,5,0.63,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,,2019 - 2020,57,37,0.65,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,17. Kamrup,2000 - 2001,771,336,0.44,,,,,,
,,2001 - 2002,747,324,0.43,,,,,,
,,2002 - 2003,547,245,0.45,,,,,,
,,2003 - 2004,515,231,0.45,,,,,,
,,2004 - 2005,441,206,0.47,,,,,,
,,2005 - 2006,378,183,0.48,,,,,,
,,2006 - 2007,156,74,0.47,,,,,,
,,2007 - 2008,283,138,0.49,,,,,,
