State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,,,,79,84,1.06,,,,,,
,,2005 - 2006,,,,89,110,1.24,,,,,,
,,2006 - 2007,,,,,,,58,106,1.83,,,
,,2007 - 2008,,,,,,,275,437,1.59,,,
,,2008 - 2009,,,,,,,491,655,1.33,,,
,,2009 - 2010,,,,,,,145,193,1.33,,,
,,2010 - 2011,,,,15,18,1.2,,,,,,
,,2011 - 2012,,,,,,,49,88,1.8,,,
,,2012 - 2013,,,,28,33,1.18,,,,,,
,,2013 - 2014,3,3,1,8,14,1.75,,,,,,
,,2014 - 2015,6,8,1.33,28,42,1.5,,,,,,
,,2015 - 2016,39,37,0.95,14,20,1.43,,,,,,
,,2016 - 2017,2,,0,4,3,0.75,,,,,,
,,2017 - 2018,1,1,1,6,12,2,,,,,,
,,2018 - 2019,2,1,0.5,1,2,2,,,,,,
,,2019 - 2020,,,,5,5,1,,,,,,
,,2021 - 2022,,,,2,3,1.5,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,31. Villupuram,2000 - 2001,,,,47,49,1.04,,,,,,
,,2001 - 2002,,,,47,60,1.28,,,,,,
,,2002 - 2003,,,,73,84,1.15,,,,,,
,,2003 - 2004,,,,350,453,1.29,,,,,,
,,2004 - 2005,,,,"1,796.00","1,910.00",1.06,,,,,,
,,2005 - 2006,,,,995,"1,657.00",1.67,,,,,,
,,2006 - 2007,,,,,,,"1,084.00","1,797.00",1.66,,,
,,2007 - 2008,,,,,,,"1,522.00","2,685.00",1.76,,,
,,2008 - 2009,,,,,,,880,"1,532.00",1.74,,,
,,2009 - 2010,,,,,,,417,698,1.67,,,
,,2010 - 2011,,,,123,213,1.73,,,,,,
,,2011 - 2012,,,,,,,156,291,1.87,,,
,,2012 - 2013,,,,146,236,1.62,,,,,,
,,2013 - 2014,36,58,1.61,29,52,1.79,,,,,,
,,2014 - 2015,73,125,1.71,58,88,1.52,,,,,,
,,2015 - 2016,78,74,0.95,46,65,1.41,,,,,,
,,2016 - 2017,80,18,0.23,5,4,0.8,,,,,,
,,2017 - 2018,71,56,0.79,10,19,1.9,,,,,,
,,2018 - 2019,,,,17,29,1.71,,,,,,
,,2019 - 2020,32,62,1.94,9,9,1,,,,,,
,,2020 - 2021,,,,5,8,1.6,,,,,,
,,2022 - 2023,12,9,0.75,6,10,1.67,,,,,,
,32. Virudhunagar,2000 - 2001,,,,869,606,0.7,,,,,,
,,2001 - 2002,,,,"1,089.00",720,0.66,,,,,,
,,2002 - 2003,,,,820,413,0.5,,,,,,
,,2003 - 2004,,,,700,294,0.42,,,,,,
,,2004 - 2005,,,,584,346,0.59,,,,,,
,,2005 - 2006,,,,493,400,0.81,,,,,,
,,2006 - 2007,,,,,,,664,923,1.39,,,
,,2007 - 2008,,,,,,,"1,088.00",777,0.71,,,
,,2008 - 2009,,,,,,,"1,522.00",622,0.41,,,
,,2009 - 2010,,,,,,,"1,105.00",686,0.62,,,
,,2010 - 2011,,,,680,250,0.37,,,,,,
,,2011 - 2012,,,,,,,564,754,1.34,,,
,,2012 - 2013,,,,843,189,0.22,,,,,,
,,2013 - 2014,804,"1,162.00",1.45,5,9,1.8,,,,,,
,,2014 - 2015,670,908,1.36,15,23,1.53,,,,,,
,,2015 - 2016,"1,901.00","1,785.00",0.94,7,10,1.43,,,,,,
,,2016 - 2017,"1,998.00",565,0.28,16,14,0.88,,,,,,
,,2017 - 2018,"1,600.00","1,613.00",1.01,10,19,1.9,,,,,,
,,2018 - 2019,"1,822.00","1,352.00",0.74,3,4,1.33,,,,,,
,,2019 - 2020,"1,660.00","1,791.00",1.08,14,14,1,,,,,,
,,2020 - 2021,"2,745.00","1,677.00",0.61,27,47,1.74,,,,,,
,,2021 - 2022,"1,924.00","1,557.00",0.81,36,61,1.69,,,,,,
,,2022 - 2023,"2,553.00","2,163.00",0.85,40,64,1.6,,,,,,
20. Telangana,1. Adilabad,2000 - 2001,,,,933,329,0.35,,,,,,
,,2001 - 2002,,,,"1,221.00",629,0.52,,,,,,
,,2002 - 2003,,,,364,194,0.53,,,,,,
,,2003 - 2004,,,,"1,144.00",835,0.73,,,,,,
,,2004 - 2005,"2,959.00","1,571.00",0.53,"2,974.00","1,578.00",0.53,,,,,,
,,2005 - 2006,,,,,,,"6,467.00","4,811.00",0.74,,,
,,2006 - 2007,,,,,,,"7,918.00","8,512.00",1.08,,,
,,2007 - 2008,"7,000.00","8,000.00",1.14,,,,,,,,,
,,2008 - 2009,,,,,,,"7,033.00","6,470.00",0.92,,,
,,2009 - 2010,,,,,,,"1,576.00","1,242.00",0.79,,,
,,2010 - 2011,,,,,,,"1,617.00","1,316.00",0.81,,,
,,2011 - 2012,,,,,,,558,301,0.54,,,
,,2013 - 2014,473,763,1.61,,,,,,,,,
,,2014 - 2015,530,494,0.93,,,,,,,,,
,,2015 - 2016,126,104,0.83,,,,,,,,,
,,2016 - 2017,39,70,1.79,,,,,,,,,
,,2017 - 2018,24,51,2.13,,,,,,,,,
,,2018 - 2019,20,39,1.95,,,,,,,,,
,,2020 - 2021,2,9,4.5,,,,,,,,,
,,2021 - 2022,6,8,1.33,,,,,,,,,
,,2022 - 2023,45,84,1.87,,,,,,,,,
,2. Bhadradri,2017 - 2018,7,15,2.14,,,,,,,,,
,,2018 - 2019,5,10,2,,,,,,,,,
,,2020 - 2021,98,262,2.67,,,,,,,,,
,,2021 - 2022,734,998,1.36,,,,,,,,,
,,2022 - 2023,204,380,1.86,,,,,,,,,
,3. Jagitial,2016 - 2017,22,39,1.77,,,,,,,,,
,,2020 - 2021,1,4,4,,,,,,,,,
,,2021 - 2022,5,7,1.4,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,4. Jangoan,2016 - 2017,5,9,1.8,,,,,,,,,
,,2020 - 2021,6,17,2.83,,,,,,,,,
,,2021 - 2022,99,135,1.36,,,,,,,,,
,,2022 - 2023,7,13,1.86,13,24,1.85,,,,,,
,5. Jayashankar,2017 - 2018,1,2,2,,,,,,,,,
,,2020 - 2021,14,40,2.86,1,3,3,,,,,,
,,2021 - 2022,45,61,1.36,,,,,,,,,
,6. Jogulamba,2016 - 2017,27,48,1.78,382,288,0.75,,,,,,
,,2017 - 2018,1,2,2,146,312,2.14,,,,,,
,,2019 - 2020,9,20,2.22,19,42,2.21,,,,,,
,,2020 - 2021,14,39,2.79,29,78,2.69,,,,,,
,,2021 - 2022,33,45,1.36,36,49,1.36,,,,,,
,,2022 - 2023,7,13,1.86,35,65,1.86,,,,,,
,7. Kamareddy,2016 - 2017,96,172,1.79,,,,,,,,,
,,2017 - 2018,164,350,2.13,,,,,,,,,
,,2018 - 2019,81,159,1.96,,,,,,,,,
,,2019 - 2020,71,158,2.23,,,,,,,,,
,,2020 - 2021,417,"1,119.00",2.68,,,,,,,,,
,,2021 - 2022,"1,896.00","2,579.00",1.36,11,15,1.36,,,,,,
,,2022 - 2023,960,"1,852.00",1.93,,,,,,,,,
,8. Karimnagar,2000 - 2001,,,,889,"1,352.00",1.52,,,,,,
,,2001 - 2002,,,,564,712,1.26,,,,,,
,,2002 - 2003,,,,202,211,1.04,,,,,,
,,2003 - 2004,,,,497,898,1.81,,,,,,
,,2004 - 2005,"1,596.00","1,617.00",1.01,"1,605.00","1,621.00",1.01,,,,,,
,,2005 - 2006,,,,,,,"1,163.00","1,486.00",1.28,,,
,,2006 - 2007,,,,,,,746,"1,041.00",1.4,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,
,,2008 - 2009,,,,,,,"1,463.00","3,265.00",2.23,,,
,,2009 - 2010,,,,,,,"1,080.00","1,535.00",1.42,,,
,,2010 - 2011,,,,,,,249,309,1.24,,,
,,2011 - 2012,,,,,,,258,521,2.02,,,
,,2013 - 2014,204,294,1.44,,,,,,,,,
,,2014 - 2015,542,810,1.49,,,,,,,,,
,,2015 - 2016,516,712,1.38,,,,,,,,,
,,2018 - 2019,3,6,2,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
,,2020 - 2021,193,516,2.67,1,4,4,,,,,,
,,2021 - 2022,375,510,1.36,,,,,,,,,
,,2022 - 2023,156,291,1.87,2,4,2,,,,,,
,9. Khammam,2000 - 2001,,,,81,66,0.81,,,,,,
,,2002 - 2003,,,,27,22,0.81,,,,,,
,,2003 - 2004,,,,716,778,1.09,,,,,,
,,2004 - 2005,291,166,0.57,356,197,0.55,,,,,,
,,2005 - 2006,,,,,,,503,523,1.04,,,
,,2006 - 2007,,,,,,,326,386,1.18,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2008 - 2009,,,,,,,155,193,1.25,,,
,,2009 - 2010,,,,,,,391,385,0.98,,,
,,2010 - 2011,,,,,,,249,268,1.08,,,
,,2011 - 2012,,,,,,,128,133,1.04,,,
,,2013 - 2014,132,127,0.96,,,,,,,,,
,,2014 - 2015,68,97,1.43,,,,,,,,,
,,2015 - 2016,84,99,1.18,,,,,,,,,
,,2016 - 2017,39,70,1.79,,,,,,,,,
,,2017 - 2018,18,38,2.11,,,,,,,,,
,,2018 - 2019,7,14,2,,,,,,,,,
,,2020 - 2021,78,207,2.65,,,,,,,,,
,,2021 - 2022,87,118,1.36,,,,,,,,,
,,2022 - 2023,18,34,1.89,,,,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,41,74,1.8,5,4,0.8,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,7,18,2.57,,,,,,,,,
,,2021 - 2022,69,94,1.36,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,11. Mahabubabad,2018 - 2019,2,4,2,,,,,,,,,
,,2020 - 2021,119,317,2.66,,,,,,,,,
,,2021 - 2022,440,598,1.36,2,3,1.5,,,,,,
,,2022 - 2023,144,269,1.87,,,,,,,,,
,12. Mahbubnagar,2000 - 2001,,,,"18,468.00","10,902.00",0.59,,,,,,
,,2001 - 2002,,,,"17,909.00","9,292.00",0.52,,,,,,
,,2002 - 2003,,,,"25,954.00","17,593.00",0.68,,,,,,
,,2003 - 2004,,,,"37,453.00","28,257.00",0.75,,,,,,
,,2004 - 2005,"26,403.00","13,122.00",0.5,"46,549.00","22,691.00",0.49,,,,,,
,,2005 - 2006,,,,,,,"34,686.00","18,084.00",0.52,,,
,,2006 - 2007,,,,,,,"30,273.00","21,412.00",0.71,,,
,,2007 - 2008,"17,000.00","13,000.00",0.76,"10,000.00","6,000.00",0.6,,,,,,
,,2008 - 2009,,,,,,,"24,279.00","17,355.00",0.71,,,
,,2009 - 2010,,,,,,,"24,340.00","16,387.00",0.67,,,
,,2010 - 2011,,,,,,,"10,833.00","7,739.00",0.71,,,
,,2011 - 2012,,,,,,,"6,111.00","2,494.00",0.41,,,
,,2012 - 2013,"3,000.00","2,000.00",0.67,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,"1,984.00","2,093.00",1.05,"1,831.00","1,571.00",0.86,,,,,,
,,2014 - 2015,"1,597.00","1,131.00",0.71,"1,244.00","1,268.00",1.02,,,,,,
,,2015 - 2016,326,155,0.48,875,796,0.91,,,,,,
,,2016 - 2017,51,92,1.8,561,424,0.76,,,,,,
,,2017 - 2018,58,124,2.14,238,508,2.13,,,,,,
,,2020 - 2021,12,35,2.92,,,,,,,,,
,,2021 - 2022,10,14,1.4,4,5,1.25,,,,,,
,,2022 - 2023,4,7,1.75,,,,,,,,,
,13. Mancherial,2020 - 2021,53,145,2.74,,,,,,,,,
,,2021 - 2022,159,216,1.36,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,14. Medak,2000 - 2001,,,,"5,611.00","4,052.00",0.72,,,,,,
,,2001 - 2002,,,,"3,966.00","5,242.00",1.32,,,,,,
,,2002 - 2003,,,,"3,611.00","4,545.00",1.26,,,,,,
,,2003 - 2004,,,,"7,855.00","15,357.00",1.96,,,,,,
,,2004 - 2005,"12,951.00","9,830.00",0.76,"15,660.00","11,117.00",0.71,,,,,,
,,2005 - 2006,,,,,,,"14,759.00","17,772.00",1.2,,,
,,2006 - 2007,,,,,,,"12,993.00","15,754.00",1.21,,,
,,2007 - 2008,"18,000.00","28,000.00",1.56,"1,000.00","1,000.00",1,,,,,,
,,2008 - 2009,,,,,,,"15,637.00","28,187.00",1.8,,,
,,2009 - 2010,,,,,,,"14,820.00","20,154.00",1.36,,,
,,2010 - 2011,,,,,,,"8,362.00","12,464.00",1.49,,,
,,2011 - 2012,,,,,,,"9,725.00","11,253.00",1.16,,,
,,2012 - 2013,"11,000.00","17,000.00",1.55,,,,,,,,,
,,2013 - 2014,"7,354.00","9,244.00",1.26,198,170,0.86,,,,,,
,,2014 - 2015,"7,144.00","12,445.00",1.74,102,104,1.02,,,,,,
,,2015 - 2016,"5,161.00","7,514.00",1.46,35,32,0.91,,,,,,
,,2016 - 2017,379,680,1.79,,,,,,,,,
,,2017 - 2018,172,245,1.42,10,14,1.4,,,,,,
,,2018 - 2019,86,169,1.97,,,,,,,,,
,,2019 - 2020,116,259,2.23,,,,,,,,,
,,2020 - 2021,161,431,2.68,,,,,,,,,
,,2021 - 2022,950,757,0.8,,,,,,,,,
,,2022 - 2023,143,290,2.03,3,6,2,,,,,,
,15. Medchal,2016 - 2017,2,4,2,,,,,,,,,
,,2017 - 2018,3,6,2,,,,,,,,,
,,2018 - 2019,1,2,2,,,,,,,,,
,,2020 - 2021,1,2,2,,,,,,,,,
,,2021 - 2022,12,16,1.33,2,3,1.5,,,,,,
,,2022 - 2023,13,24,1.85,1,2,2,,,,,,
,16. Mulugu,2018 - 2019,3,6,2,,,,,,,,,
,,2020 - 2021,2,5,2.5,,,,,,,,,
,,2021 - 2022,17,23,1.35,,,,,,,,,
,,2022 - 2023,3,6,2,,,,,,,,,
,17. Nagarkurnool,2016 - 2017,174,312,1.79,,,,,,,,,
,,2017 - 2018,4,9,2.25,1,2,2,,,,,,
,,2018 - 2019,2,4,2,,,,,,,,,
,,2019 - 2020,8,18,2.25,3,7,2.33,,,,,,
,,2020 - 2021,23,63,2.74,5,11,2.2,,,,,,
,,2021 - 2022,122,166,1.36,3,4,1.33,,,,,,
,,2022 - 2023,13,24,1.85,,,,,,,,,
,18. Nalgonda,2000 - 2001,,,,"1,047.00",835,0.8,,,,,,
,,2001 - 2002,,,,273,187,0.68,,,,,,
,,2002 - 2003,,,,"1,073.00",525,0.49,,,,,,
,,2003 - 2004,,,,847,929,1.1,,,,,,
,,2004 - 2005,"1,008.00",576,0.57,"1,029.00",586,0.57,,,,,,
,,2005 - 2006,,,,,,,582,604,1.04,,,
,,2006 - 2007,,,,,,,"1,282.00","1,517.00",1.18,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,
,,2008 - 2009,,,,,,,"1,730.00","2,154.00",1.25,,,
,,2009 - 2010,,,,,,,"2,039.00","1,897.00",0.93,,,
,,2010 - 2011,,,,,,,269,289,1.07,,,
,,2011 - 2012,,,,,,,332,344,1.04,,,
,,2013 - 2014,185,177,0.96,,,,,,,,,
,,2014 - 2015,56,80,1.43,,,,,,,,,
,,2015 - 2016,12,14,1.17,,,,,,,,,
,,2016 - 2017,112,201,1.79,,,,,,,,,
,,2017 - 2018,4,9,2.25,,,,,,,,,
,,2020 - 2021,7,19,2.71,,,,,,,,,
,,2021 - 2022,91,124,1.36,,,,,,,,,
,,2022 - 2023,6,11,1.83,,,,,,,,,
,19. Narayanapet,2018 - 2019,,,,123,241,1.96,,,,,,
,,2019 - 2020,,,,20,45,2.25,,,,,,
,,2020 - 2021,6,18,3,13,34,2.62,,,,,,
,,2021 - 2022,58,79,1.36,21,29,1.38,,,,,,
,,2022 - 2023,17,32,1.88,8,15,1.88,,,,,,
,20. Nirmal,2016 - 2017,16,29,1.81,,,,,,,,,
,,2020 - 2021,84,226,2.69,1,3,3,,,,,,
,,2021 - 2022,332,452,1.36,,,,,,,,,
,,2022 - 2023,121,226,1.87,,,,,,,,,
,21. Nizamabad,2000 - 2001,,,,"3,210.00","3,047.00",0.95,,,,,,
,,2001 - 2002,,,,"3,057.00","3,729.00",1.22,,,,,,
,,2002 - 2003,,,,"5,747.00","4,592.00",0.8,,,,,,
,,2003 - 2004,,,,"13,321.00","13,985.00",1.05,,,,,,
,,2004 - 2005,"32,784.00","17,638.00",0.54,"33,353.00","17,908.00",0.54,,,,,,
,,2005 - 2006,,,,,,,"26,024.00","29,600.00",1.14,,,
,,2006 - 2007,,,,,,,"19,394.00","26,232.00",1.35,,,
,,2007 - 2008,"36,000.00","55,000.00",1.53,,,,,,,,,
,,2008 - 2009,,,,,,,"29,054.00","35,702.00",1.23,,,
,,2009 - 2010,,,,,,,"16,170.00","12,613.00",0.78,,,
,,2010 - 2011,,,,,,,"5,934.00","5,673.00",0.96,,,
,,2011 - 2012,,,,,,,"6,909.00","8,726.00",1.26,,,
,,2012 - 2013,"11,000.00","9,000.00",0.82,,,,,,,,,
,,2013 - 2014,"6,920.00","3,854.00",0.56,,,,,,,,,
,,2014 - 2015,"6,827.00","8,875.00",1.3,,,,,,,,,
,,2015 - 2016,"4,264.00","3,731.00",0.88,,,,,,,,,
,,2016 - 2017,394,493,1.25,,,,,,,,,
,,2017 - 2018,61,67,1.1,,,,,,,,,
,,2018 - 2019,"1,189.00","2,330.00",1.96,,,,,,,,,
,,2019 - 2020,"3,282.00","7,322.00",2.23,,,,,,,,,
,,2020 - 2021,"2,535.00","6,789.00",2.68,,,,,,,,,
,,2021 - 2022,"6,522.00","8,909.00",1.37,,,,,,,,,
,,2022 - 2023,"2,187.00","3,571.00",1.63,,,,,,,,,
,22. Peddapalli,2020 - 2021,94,249,2.65,,,,,,,,,
,,2021 - 2022,253,344,1.36,,,,,,,,,
,,2022 - 2023,2,4,2,,,,,,,,,
,23. Rajanna,2016 - 2017,5,9,1.8,,,,,,,,,
,,2017 - 2018,5,11,2.2,,,,,,,,,
,,2018 - 2019,6,12,2,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
,,2020 - 2021,97,259,2.67,,,,,,,,,
,,2021 - 2022,464,631,1.36,,,,,,,,,
,,2022 - 2023,135,252,1.87,,,,,,,,,
,24. Rangareddi,2000 - 2001,,,,934,772,0.83,,,,,,
,,2001 - 2002,,,,951,712,0.75,,,,,,
,,2002 - 2003,,,,669,478,0.71,,,,,,
,,2003 - 2004,,,,852,800,0.94,,,,,,
,,2004 - 2005,511,292,0.57,878,466,0.53,,,,,,
,,2005 - 2006,,,,,,,838,643,0.77,,,
,,2006 - 2007,,,,,,,529,392,0.74,,,
,,2008 - 2009,,,,,,,442,410,0.93,,,
,,2009 - 2010,,,,,,,759,648,0.85,,,
,,2010 - 2011,,,,,,,361,372,1.03,,,
,,2011 - 2012,,,,,,,273,271,0.99,,,
,,2013 - 2014,280,269,0.96,11,9,0.82,,,,,,
,,2014 - 2015,217,310,1.43,23,23,1,,,,,,
,,2015 - 2016,134,157,1.17,,,,,,,,,
,,2016 - 2017,224,402,1.79,,,,,,,,,
,,2017 - 2018,176,376,2.14,,,,,,,,,
,,2018 - 2019,71,139,1.96,,,,,,,,,
,,2019 - 2020,9,20,2.22,3,7,2.33,,,,,,
,,2020 - 2021,101,274,2.71,7,22,3.14,,,,,,
,,2021 - 2022,474,645,1.36,6,8,1.33,,,,,,
,,2022 - 2023,264,492,1.86,6,11,1.83,,,,,,
,25. Sangareddy,2016 - 2017,63,113,1.79,2,2,1,,,,,,
,,2017 - 2018,6,13,2.17,2,4,2,,,,,,
,,2019 - 2020,3,7,2.33,18,40,2.22,,,,,,
,,2020 - 2021,143,383,2.68,11,29,2.64,,,,,,
,,2021 - 2022,738,"1,004.00",1.36,19,26,1.37,,,,,,
,,2022 - 2023,110,205,1.86,2,4,2,,,,,,
,26. Siddipet,2016 - 2017,"3,243.00","6,032.00",1.86,1,1,1,,,,,,
,,2017 - 2018,"2,503.00","5,532.00",2.21,14,31,2.21,,,,,,
,,2018 - 2019,928,"1,819.00",1.96,,,,,,,,,
,,2019 - 2020,956,"2,133.00",2.23,,,,,,,,,
,,2020 - 2021,"2,693.00","7,204.00",2.68,1,3,3,,,,,,
,,2021 - 2022,"3,594.00","5,384.00",1.5,14,21,1.5,,,,,,
,,2022 - 2023,"2,948.00","5,923.00",2.01,10,20,2,,,,,,
,27. Suryapet,2020 - 2021,10,26,2.6,,,,,,,,,
,,2021 - 2022,1,1,1,1,1,1,,,,,,
,28. Vikarabad,2016 - 2017,4,7,1.75,,,,,,,,,
,,2017 - 2018,32,68,2.13,,,,,,,,,
,,2018 - 2019,10,20,2,,,,,,,,,
,,2019 - 2020,9,20,2.22,,,,,,,,,
,,2020 - 2021,8,22,2.75,4,12,3,,,,,,
,,2021 - 2022,8,11,1.38,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,29. Wanaparthy,2016 - 2017,3,5,1.67,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2022 - 2023,2,4,2,,,,,,,,,
,30. Warangal,2000 - 2001,,,,"2,235.00","3,679.00",1.65,,,,,,
,,2001 - 2002,,,,728,"1,183.00",1.63,,,,,,
,,2002 - 2003,,,,244,500,2.05,,,,,,
,,2003 - 2004,,,,313,461,1.47,,,,,,
,,2004 - 2005,"1,214.00",693,0.57,"1,214.00",693,0.57,,,,,,
,,2005 - 2006,,,,,,,805,826,1.03,,,
,,2006 - 2007,,,,,,,899,"1,064.00",1.18,,,
,,2008 - 2009,,,,,,,265,330,1.25,,,
,,2009 - 2010,,,,,,,241,237,0.98,,,
,,2010 - 2011,,,,,,,102,110,1.08,,,
,,2011 - 2012,,,,,,,17,18,1.06,,,
,,2013 - 2014,48,46,0.96,,,,,,,,,
,,2014 - 2015,21,30,1.43,,,,,,,,,
,,2015 - 2016,14,16,1.14,,,,,,,,,
,,2016 - 2017,2,4,2,,,,,,,,,
,,2017 - 2018,3,6,2,,,,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2020 - 2021,64,175,2.73,,,,,,,,,
,,2021 - 2022,127,173,1.36,,,,,,,,,
,,2022 - 2023,10,19,1.9,,,,,,,,,
,31. Warangal urban,2020 - 2021,44,120,2.73,,,,,,,,,
,,2021 - 2022,164,223,1.36,,,,,,,,,
,,2022 - 2023,45,84,1.87,,,,,,,,,
,32. Yadadri,2021 - 2022,10,14,1.4,,,,,,,,,
21. Uttar Pradesh,1. Agra,2001 - 2002,,,,10,11,1.1,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2003 - 2004,,,,2,3,1.5,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2005 - 2006,,,,,,,,,,2,2,1
,,2007 - 2008,,,,,,,,,,18,51,2.83
,,2011 - 2012,,,,,,,,,,2,3,1.5
,2. Aligarh,2001 - 2002,,,,147,168,1.14,,,,,,
,,2002 - 2003,,,,31,45,1.45,,,,,,
,,2003 - 2004,,,,113,191,1.69,,,,,,
,,2004 - 2005,,,,,,,,,,235,462,1.97
,,2005 - 2006,,,,,,,,,,173,209,1.21
,,2006 - 2007,,,,,,,,,,141,211,1.5
,,2007 - 2008,,,,,,,,,,95,268,2.82
,,2008 - 2009,,,,,,,,,,120,213,1.78
,,2009 - 2010,,,,,,,,,,80,176,2.2
,,2010 - 2011,,,,,,,,,,48,73,1.52
,,2011 - 2012,,,,,,,,,,47,80,1.7
,,2012 - 2013,,,,,,,,,,110,86,0.78
,,2013 - 2014,,,,,,,,,,50,80,1.6
,,2014 - 2015,,,,,,,,,,50,86,1.72
,,2016 - 2017,,,,,,,,,,1,1,1
,,2017 - 2018,,,,,,,,,,50,72,1.44
,,2018 - 2019,,,,,,,,,,50,68,1.36
,,2019 - 2020,,,,,,,,,,30,42,1.4
,,2020 - 2021,,,,,,,,,,51,70,1.37
,,2021 - 2022,,,,,,,,,,50,67,1.34
,,2022 - 2023,,,,,,,,,,28,38,1.36
,3. Allahabad,2001 - 2002,,,,1,2,2,,,,,,
,,2002 - 2003,,,,1,2,2,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2006 - 2007,,,,,,,,,,41,62,1.51
,,2021 - 2022,,,,,,,,,,1,1,1
,,2022 - 2023,,,,,,,,,,1,1,1
,4. Ambedkar nagar,2001 - 2002,,,,8,9,1.13,,,,,,
,,2002 - 2003,,,,7,8,1.14,,,,,,
,,2003 - 2004,,,,17,29,1.71,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2005 - 2006,,,,,,,,,,15,19,1.27
,,2006 - 2007,,,,,,,,,,51,76,1.49
,,2012 - 2013,,,,,,,,,,3,2,0.67
,,2015 - 2016,,,,,,,,,,8,13,1.63
,,2020 - 2021,,,,,,,,,,30,41,1.37
,,2022 - 2023,,,,,,,,,,1,1,1
,5. Amethi,2011 - 2012,,,,,,,,,,15,26,1.73
,,2012 - 2013,,,,,,,,,,18,14,0.78
,,2013 - 2014,,,,,,,,,,135,216,1.6
,,2014 - 2015,,,,,,,,,,12,21,1.75
,,2015 - 2016,,,,,,,,,,15,24,1.6
,,2016 - 2017,,,,,,,,,,205,241,1.18
,,2017 - 2018,,,,,,,,,,149,215,1.44
,,2018 - 2019,,,,,,,,,,123,168,1.37
,,2019 - 2020,,,,,,,,,,160,221,1.38
,,2020 - 2021,,,,,,,,,,165,226,1.37
,,2021 - 2022,,,,,,,,,,153,205,1.34
,,2022 - 2023,,,,,,,,,,32,44,1.38
,6. Auraiya,2001 - 2002,,,,3,7,2.33,,,,,,
,,2002 - 2003,,,,11,21,1.91,,,,,,
,,2003 - 2004,,,,44,73,1.66,,,,,,
,,2004 - 2005,,,,,,,,,,98,191,1.95
,,2005 - 2006,,,,,,,,,,48,65,1.35
,,2006 - 2007,,,,,,,,,,24,33,1.38
,,2007 - 2008,,,,,,,,,,26,30,1.15
,,2008 - 2009,,,,,,,,,,22,40,1.82
,,2009 - 2010,,,,,,,,,,15,34,2.27
,,2010 - 2011,,,,,,,,,,17,37,2.18
,,2017 - 2018,,,,,,,,,,1,2,2
,7. Azamgarh,2001 - 2002,,,,1,2,2,,,,,,
,,2002 - 2003,,,,2,3,1.5,,,,,,
,,2003 - 2004,,,,6,10,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,2,4,2
,,2005 - 2006,,,,,,,,,,6,8,1.33
,,2006 - 2007,,,,,,,,,,2,3,1.5
,,2008 - 2009,,,,,,,,,,9,17,1.89
,,2009 - 2010,,,,,,,,,,23,51,2.22
,,2010 - 2011,,,,,,,,,,8,17,2.13
,,2011 - 2012,,,,,,,,,,9,15,1.67
,,2012 - 2013,,,,,,,,,,25,19,0.76
,,2013 - 2014,,,,,,,,,,4,7,1.75
,,2014 - 2015,,,,,,,,,,26,44,1.69
,,2015 - 2016,,,,,,,,,,19,31,1.63
,,2016 - 2017,,,,,,,,,,4,5,1.25
,,2017 - 2018,,,,,,,,,,3,4,1.33
,,2018 - 2019,,,,,,,,,,3,4,1.33
,,2019 - 2020,,,,,,,,,,3,4,1.33
,,2020 - 2021,,,,,,,,,,3,4,1.33
,,2021 - 2022,,,,,,,,,,3,4,1.33
,,2022 - 2023,,,,,,,,,,56,76,1.36
,8. Baghpat,2001 - 2002,,,,1,2,2,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2019 - 2020,,,,,,,,,,1,1,1
,9. Bahraich,2001 - 2002,,,,78,150,1.92,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
