State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,15,18,1.2,,,,,,,,,
,,2021 - 2022,28,30,1.07,,,,,,,,,
,24. West godavari,2000 - 2001,,,,343,488,1.42,,,,,,
,,2001 - 2002,,,,437,494,1.13,,,,,,
,,2002 - 2003,,,,"1,610.00","1,755.00",1.09,,,,,,
,,2003 - 2004,,,,"2,966.00","3,485.00",1.17,,,,,,
,,2004 - 2005,"2,517.00","2,253.00",0.9,"2,519.00","2,254.00",0.89,,,,,,
,,2005 - 2006,,,,,,,"2,362.00","2,681.00",1.14,,,
,,2006 - 2007,,,,,,,"2,118.00","1,721.00",0.81,,,
,,2007 - 2008,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2008 - 2009,,,,,,,"2,340.00","2,368.00",1.01,,,
,,2009 - 2010,,,,,,,"4,049.00","3,948.00",0.98,,,
,,2010 - 2011,,,,,,,688,855,1.24,,,
,,2011 - 2012,,,,,,,548,581,1.06,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,748,836,1.12,,,,,,,,,
,,2014 - 2015,335,323,0.96,,,,,,,,,
,,2015 - 2016,174,188,1.08,,,,,,,,,
,,2016 - 2017,93,71,0.76,,,,,,,,,
,,2017 - 2018,118,111,0.94,,,,,,,,,
,,2018 - 2019,128,39,0.3,,,,,,,,,
,,2019 - 2020,44,37,0.84,,,,,,,,,
,,2020 - 2021,31,66,2.13,1,1,1,,,,,,
,,2021 - 2022,174,189,1.09,,,,,,,,,
3. Arunachal Pradesh,1. Changlang,2016 - 2017,,,,79,45,0.57,,,,,,
,,2017 - 2018,,,,82,148,1.8,,,,,,
,,2018 - 2019,,,,82,117,1.43,,,,,,
,,2019 - 2020,,,,82,117,1.43,,,,,,
,,2020 - 2021,,,,82,117,1.43,,,,,,
,,2021 - 2022,,,,89,103,1.16,,,,,,
,,2022 - 2023,,,,104,101,0.97,,,,,,
,2. Dibang valley,2016 - 2017,,,,53,44,0.83,,,,,,
,,2017 - 2018,,,,56,47,0.84,,,,,,
,,2018 - 2019,,,,56,47,0.84,,,,,,
,,2019 - 2020,,,,56,47,0.84,,,,,,
,,2020 - 2021,,,,56,47,0.84,,,,,,
,,2021 - 2022,,,,57,37,0.65,,,,,,
,,2022 - 2023,,,,37,25,0.68,,,,,,
,3. East siang,2016 - 2017,,,,63,49,0.78,,,,,,
,,2017 - 2018,,,,66,52,0.79,,,,,,
,,2018 - 2019,,,,50,40,0.8,,,,,,
,,2019 - 2020,,,,50,40,0.8,,,,,,
,,2020 - 2021,,,,50,40,0.8,,,,,,
,,2021 - 2022,,,,64,49,0.77,,,,,,
,,2022 - 2023,,,,67,51,0.76,,,,,,
,4. Leparada,2019 - 2020,,,,13,11,0.85,,,,,,
,,2020 - 2021,,,,13,11,0.85,,,,,,
,,2021 - 2022,,,,14,13,0.93,,,,,,
,,2022 - 2023,,,,15,13,0.87,,,,,,
,5. Lohit,2016 - 2017,,,,41,36,0.88,,,,,,
,,2017 - 2018,,,,44,39,0.89,,,,,,
,,2018 - 2019,,,,44,39,0.89,,,,,,
,,2019 - 2020,,,,44,39,0.89,,,,,,
,,2020 - 2021,,,,44,39,0.89,,,,,,
,,2021 - 2022,,,,54,45,0.83,,,,,,
,,2022 - 2023,,,,58,47,0.81,,,,,,
,6. Lower dibang valley,2016 - 2017,,,,45,42,0.93,,,,,,
,,2017 - 2018,,,,72,20,0.28,,,,,,
,,2018 - 2019,,,,72,20,0.28,,,,,,
,,2019 - 2020,,,,73,20,0.27,,,,,,
,,2020 - 2021,,,,74,27,0.36,,,,,,
,,2021 - 2022,,,,89,63,0.71,,,,,,
,,2022 - 2023,,,,92,81,0.88,,,,,,
,7. Lower siang,2018 - 2019,,,,26,50,1.92,,,,,,
,,2019 - 2020,,,,23,45,1.96,,,,,,
,,2020 - 2021,,,,23,45,1.96,,,,,,
,,2021 - 2022,,,,29,28,0.97,,,,,,
,,2022 - 2023,,,,31,30,0.97,,,,,,
,8. Lower subansiri,2016 - 2017,,,,40,36,0.9,,,,,,
,,2017 - 2018,,,,38,40,1.05,,,,,,
,,2018 - 2019,,,,38,40,1.05,,,,,,
,,2019 - 2020,,,,38,40,1.05,,,,,,
,,2020 - 2021,,,,38,42,1.11,,,,,,
,,2021 - 2022,,,,46,47,1.02,,,,,,
,,2022 - 2023,,,,47,45,0.96,,,,,,
,9. Namsai,2016 - 2017,,,,54,44,0.81,,,,,,
,,2017 - 2018,,,,78,50,0.64,,,,,,
,,2018 - 2019,,,,78,50,0.64,,,,,,
,,2019 - 2020,,,,78,50,0.64,,,,,,
,,2020 - 2021,,,,78,50,0.64,,,,,,
,,2021 - 2022,,,,88,56,0.64,,,,,,
,,2022 - 2023,,,,98,62,0.63,,,,,,
,10. Papum pare,2016 - 2017,,,,69,59,0.86,,,,,,
,,2017 - 2018,,,,33,14,0.42,,,,,,
,,2018 - 2019,,,,33,14,0.42,,,,,,
,,2019 - 2020,,,,33,15,0.45,,,,,,
,,2020 - 2021,,,,33,16,0.48,,,,,,
,,2021 - 2022,,,,43,32,0.74,,,,,,
,,2022 - 2023,,,,44,36,0.82,,,,,,
,11. Shi yomi,2019 - 2020,,,,12,7,0.58,,,,,,
,,2020 - 2021,,,,12,7,0.58,,,,,,
,,2021 - 2022,,,,13,8,0.62,,,,,,
,,2022 - 2023,,,,8,5,0.63,,,,,,
,12. Siang,2016 - 2017,,,,51,43,0.84,,,,,,
,,2017 - 2018,,,,54,27,0.5,,,,,,
,,2018 - 2019,,,,54,27,0.5,,,,,,
,,2019 - 2020,,,,54,27,0.5,,,,,,
,,2020 - 2021,,,,54,27,0.5,,,,,,
,,2021 - 2022,,,,60,59,0.98,,,,,,
,,2022 - 2023,,,,62,60,0.97,,,,,,
,13. West siang,2016 - 2017,,,,45,35,0.78,,,,,,
,,2017 - 2018,,,,48,29,0.6,,,,,,
,,2018 - 2019,,,,40,24,0.6,,,,,,
