State,District,Year,Safflower,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,"3,400.00","2,200.00",0.65,,,,,,
,,2006 - 2007,"4,300.00","2,500.00",0.58,,,,,,
,,2007 - 2008,"3,800.00","2,600.00",0.68,,,,,,
,,2008 - 2009,900,400,0.44,,,,,,
,,2009 - 2010,"1,000.00",800,0.8,,,,,,
,,2010 - 2011,900,600,0.67,,,,,,
,,2011 - 2012,700,500,0.71,,,,,,
,,2012 - 2013,500,400,0.8,,,,,,
,,2013 - 2014,500,300,0.6,,,,,,
,,2014 - 2015,500,100,0.2,,,,,,
,,2015 - 2016,200,50,0.25,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,700,300,0.43,,,,,,
,,2018 - 2019,195,150,0.77,,,,,,
,,2019 - 2020,95,44,0.46,,,,,,
,,2020 - 2021,52.53,36.35,0.69,,,,,,
,,2021 - 2022,625,551.25,0.88,,,,,,
,,2022 - 2023,652.75,618.61,0.95,,,,,,
,29. Yavatmal,2000 - 2001,400,100,0.25,,,,,,
,,2001 - 2002,300,200,0.67,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,
,,2003 - 2004,100,100,1,,,,,,
,,2004 - 2005,100,100,1,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,
,,2007 - 2008,100,100,1,,,,,,
,,2008 - 2009,100,100,1,,,,,,
,,2009 - 2010,300,300,1,,,,,,
,,2010 - 2011,100,,0,,,,,,
,,2015 - 2016,100,0,0,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,22,20,0.91,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
8. Odisha,1. Anugul,2000 - 2001,30,20,0.67,,,,,,
,2. Balangir,2001 - 2002,170,60,0.35,,,,,,
,,2002 - 2003,20,10,0.5,,,,,,
,,2003 - 2004,40,10,0.25,,,,,,
,,2004 - 2005,21,11,0.52,,,,,,
,3. Baleshwar,2001 - 2002,50,30,0.6,,,,,,
,4. Bargarh,2001 - 2002,50,20,0.4,,,,,,
,5. Cuttack,2001 - 2002,10,10,1,,,,,,
,,2002 - 2003,10,10,1,,,,,,
,6. Deogarh,2001 - 2002,80,30,0.38,,,,,,
,7. Dhenkanal,2000 - 2001,30,20,0.67,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,8. Ganjam,2001 - 2002,20,10,0.5,,,,,,
,,2004 - 2005,5,3,0.6,,,,,,
,9. Jagatsinghapur,2001 - 2002,50,10,0.2,,,,,,
,10. Jajapur,2001 - 2002,30,10,0.33,,,,,,
,11. Jharsuguda,2001 - 2002,50,20,0.4,,,,,,
,,2002 - 2003,30,10,0.33,,,,,,
,12. Kalahandi,2000 - 2001,"1,200.00",690,0.58,,,,,,
,,2001 - 2002,"1,500.00",860,0.57,,,,,,
,,2002 - 2003,550,330,0.6,,,,,,
,,2003 - 2004,760,490,0.64,,,,,,
,,2004 - 2005,"1,072.00",714,0.67,,,,,,
,,2019 - 2020,110,70,0.64,,,,,,
,13. Kendujhar,2000 - 2001,60,40,0.67,,,,,,
,,2001 - 2002,70,50,0.71,,,,,,
,,2002 - 2003,40,30,0.75,,,,,,
,,2003 - 2004,90,60,0.67,,,,,,
,,2004 - 2005,62,43,0.69,,,,,,
,14. Khordha,2001 - 2002,60,30,0.5,,,,,,
,,2002 - 2003,20,10,0.5,,,,,,
,15. Koraput,2001 - 2002,360,90,0.25,,,,,,
,,2002 - 2003,210,40,0.19,,,,,,
,,2003 - 2004,300,60,0.2,,,,,,
,,2004 - 2005,350,233,0.67,,,,,,
,,2019 - 2020,30,20,0.67,,,,,,
,16. Mayurbhanj,2001 - 2002,20,10,0.5,,,,,,
,,2002 - 2003,10,10,1,,,,,,
,17. Nabarangpur,2000 - 2001,70,10,0.14,,,,,,
,,2001 - 2002,180,40,0.22,,,,,,
,,2002 - 2003,150,30,0.2,,,,,,
,,2003 - 2004,150,30,0.2,,,,,,
,,2004 - 2005,138,36,0.26,,,,,,
,,2019 - 2020,160,90,0.56,,,,,,
,18. Nayagarh,2001 - 2002,50,20,0.4,,,,,,
,,2002 - 2003,10,10,1,,,,,,
,,2003 - 2004,10,10,1,,,,,,
,,2004 - 2005,12,5,0.42,,,,,,
,19. Nuapada,2001 - 2002,810,680,0.84,,,,,,
,,2002 - 2003,190,10,0.05,,,,,,
,,2003 - 2004,210,30,0.14,,,,,,
,,2004 - 2005,127,41,0.32,,,,,,
,20. Sambalpur,2001 - 2002,200,80,0.4,,,,,,
,21. Sonepur,2001 - 2002,70,30,0.43,,,,,,
,22. Sundargarh,2001 - 2002,120,100,0.83,,,,,,
,,2002 - 2003,10,,0,,,,,,
,,2003 - 2004,60,20,0.33,,,,,,
,,2004 - 2005,15,5,0.33,,,,,,
9. Telangana,1. Adilabad,2000 - 2001,348,152,0.44,,,,,,
,,2001 - 2002,"1,537.00",518,0.34,,,,,,
,,2002 - 2003,735,207,0.28,,,,,,
,,2003 - 2004,711,221,0.31,,,,,,
,,2004 - 2005,546,247,0.45,,,,,,
,,2005 - 2006,493,232,0.47,,,,,,
,,2006 - 2007,333,214,0.64,,,,,,
,,2009 - 2010,174,76,0.44,,,,,,
,,2010 - 2011,112,76,0.68,,,,,,
,,2011 - 2012,166,124,0.75,,,,,,
,,2013 - 2014,309,218,0.71,,,,,,
,,2014 - 2015,41,31,0.76,,,,,,
,,2015 - 2016,3,2,0.67,,,,,,
,,2018 - 2019,8,5,0.63,,,,,,
,,2019 - 2020,16,18,1.13,,,,,,
,,2020 - 2021,5,5,1,,,,,,
,,2021 - 2022,39,38,0.97,,,,,,
,,2022 - 2023,18,16,0.89,,,,,,
,2. Bhadradri,2021 - 2022,1,1,1,,,,,,
,3. Jagitial,2022 - 2023,1,1,1,,,,,,
,4. Jangoan,2021 - 2022,42,41,0.98,2,2,1,,,
,,2022 - 2023,1,1,1,1,1,1,,,
,5. Jogulamba,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,7,7,1,,,,,,
,,2021 - 2022,5,5,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,6. Kamareddy,2016 - 2017,756,642,0.85,,,,,,
,,2017 - 2018,913,198,0.22,,,,,,
,,2018 - 2019,740,283,0.38,,,,,,
,,2019 - 2020,115,114,0.99,,,,,,
,,2020 - 2021,109,101,0.93,,,,,,
,,2021 - 2022,275,170,0.62,,,,,,
,,2022 - 2023,540,486,0.9,,,,,,
,7. Karimnagar,2001 - 2002,16,5,0.31,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,218,68,0.31,,,,,,
,,2021 - 2022,9,9,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,8. Khammam,2005 - 2006,18,8,0.44,,,,,,
,,2021 - 2022,3,3,1,,,,,,
,9. Komaram bheem asifabad,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,15,15,1,,,,,,
,,2022 - 2023,16,14,0.88,,,,,,
,10. Mahabubabad,2021 - 2022,8,8,1,,,,,,
,11. Mahbubnagar,2000 - 2001,"1,588.00",694,0.44,,,,,,
,,2001 - 2002,813,274,0.34,,,,,,
,,2002 - 2003,"1,878.00",774,0.41,,,,,,
,,2003 - 2004,915,285,0.31,,,,,,
,,2004 - 2005,609,275,0.45,,,,,,
,,2005 - 2006,660,310,0.47,,,,,,
,,2006 - 2007,728,167,0.23,,,,,,
,,2008 - 2009,789,170,0.22,,,,,,
,,2009 - 2010,595,366,0.62,,,,,,
,,2010 - 2011,894,606,0.68,,,,,,
,,2011 - 2012,823,613,0.74,,,,,,
,,2013 - 2014,118,83,0.7,,,,,,
,,2014 - 2015,300,224,0.75,,,,,,
,,2015 - 2016,311,518,1.67,,,,,,
,,2016 - 2017,192,132,0.69,,,,,,
,,2017 - 2018,107,61,0.57,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,6,6,1,,,,,,
,,2021 - 2022,33,33,1,5,5,1,,,
,,2022 - 2023,4,4,1,1,1,1,,,
,12. Mancherial,2016 - 2017,6,4,0.67,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,3,3,1,,,,,,
,13. Medak,2000 - 2001,"4,694.00","2,056.00",0.44,,,,,,
,,2001 - 2002,"5,403.00","2,172.00",0.4,,,,,,
,,2002 - 2003,"6,635.00","2,309.00",0.35,,,,,,
,,2003 - 2004,"6,783.00","1,601.00",0.24,,,,,,
,,2004 - 2005,"7,828.00","3,209.00",0.41,,,,,,
,,2005 - 2006,"7,942.00","2,883.00",0.36,,,,,,
,,2006 - 2007,"8,289.00","5,620.00",0.68,,,,,,
,,2008 - 2009,"6,994.00","3,049.00",0.44,,,,,,
,,2009 - 2010,"6,696.00","2,839.00",0.42,,,,,,
,,2010 - 2011,"6,110.00","4,143.00",0.68,,,,,,
,,2011 - 2012,"6,214.00","4,536.00",0.73,,,,,,
,,2013 - 2014,"3,915.00","2,388.00",0.61,,,,,,
,,2014 - 2015,"1,561.00",846,0.54,,,,,,
,,2015 - 2016,"2,259.00","1,565.00",0.69,,,,,,
,,2016 - 2017,46,19,0.41,,,,,,
,,2017 - 2018,36,20,0.56,,,,,,
,,2018 - 2019,12,7,0.58,,,,,,
,,2019 - 2020,12,13,1.08,,,,,,
,,2020 - 2021,15,14,0.93,,,,,,
,,2021 - 2022,69,68,0.99,,,,,,
,,2022 - 2023,26,23,0.88,,,,,,
,14. Medchal,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,,,,1,1,1,,,
,15. Mulugu,2021 - 2022,1,1,1,,,,,,
,16. Nagarkurnool,2020 - 2021,17,16,0.94,,,,,,
,,2021 - 2022,68,67,0.99,,,,,,
,,2022 - 2023,17,15,0.88,,,,,,
,17. Nalgonda,2000 - 2001,237,104,0.44,,,,,,
,,2001 - 2002,502,169,0.34,,,,,,
,,2004 - 2005,12,5,0.42,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,
,,2009 - 2010,32,14,0.44,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,
,,2021 - 2022,19,19,1,,,,,,
,,2022 - 2023,2,2,1,,,,,,
,18. Narayanapet,2018 - 2019,4,2,0.5,,,,,,
,,2019 - 2020,21,23,1.1,,,,,,
,,2020 - 2021,84,78,0.93,,,,,,
,,2021 - 2022,180,178,0.99,,,,,,
,,2022 - 2023,388,349,0.9,1,1,1,,,
,19. Nirmal,2016 - 2017,314,208,0.66,,,,,,
,,2017 - 2018,504,286,0.57,,,,,,
,,2018 - 2019,173,196,1.13,,,,,,
,,2019 - 2020,107,118,1.1,,,,,,
,,2020 - 2021,51,47,0.92,,,,,,
,,2021 - 2022,25,25,1,,,,,,
,,2022 - 2023,43,39,0.91,,,,,,
,20. Nizamabad,2000 - 2001,"2,139.00",937,0.44,,,,,,
,,2001 - 2002,"1,833.00",218,0.12,,,,,,
,,2002 - 2003,"2,221.00",624,0.28,,,,,,
,,2003 - 2004,"1,884.00",586,0.31,,,,,,
,,2004 - 2005,"5,591.00","2,868.00",0.51,,,,,,
,,2005 - 2006,"3,637.00","1,709.00",0.47,,,,,,
,,2006 - 2007,"1,722.00",956,0.56,,,,,,
,,2008 - 2009,"2,041.00","1,218.00",0.6,,,,,,
,,2009 - 2010,"3,852.00","1,672.00",0.43,,,,,,
,,2010 - 2011,"2,595.00","1,552.00",0.6,,,,,,
,,2011 - 2012,969,576,0.59,,,,,,
,,2013 - 2014,"2,284.00","1,608.00",0.7,,,,,,
,,2014 - 2015,"1,457.00","1,409.00",0.97,,,,,,
,,2015 - 2016,901,204,0.23,,,,,,
,,2016 - 2017,814,691,0.85,,,,,,
,,2017 - 2018,451,380,0.84,,,,,,
,,2018 - 2019,211,467,2.21,,,,,,
,,2019 - 2020,297,646,2.18,,,,,,
,,2020 - 2021,25,18,0.72,,,,,,
,,2021 - 2022,73,72,0.99,,,,,,
,,2022 - 2023,112,101,0.9,,,,,,
,21. Peddapalli,2021 - 2022,6,6,1,,,,,,
,22. Rajanna,2021 - 2022,33,33,1,1,1,1,,,
,23. Rangareddi,2000 - 2001,"3,106.00","1,360.00",0.44,,,,,,
,,2001 - 2002,"3,790.00","1,276.00",0.34,,,,,,
,,2002 - 2003,"3,518.00","1,878.00",0.53,,,,,,
,,2003 - 2004,"2,770.00","1,371.00",0.49,,,,,,
,,2004 - 2005,"3,081.00","1,392.00",0.45,,,,,,
,,2005 - 2006,"3,259.00","2,386.00",0.73,,,,,,
,,2006 - 2007,"2,440.00","1,725.00",0.71,,,,,,
,,2008 - 2009,"2,453.00","1,764.00",0.72,,,,,,
,,2009 - 2010,"2,165.00",898,0.41,,,,,,
,,2010 - 2011,"2,386.00","1,618.00",0.68,,,,,,
,,2011 - 2012,"1,678.00","1,490.00",0.89,,,,,,
,,2013 - 2014,"1,241.00","1,276.00",1.03,,,,,,
,,2014 - 2015,796,590,0.74,,,,,,
,,2015 - 2016,381,292,0.77,,,,,,
,,2016 - 2017,151,154,1.02,5,5,1,,,
,,2017 - 2018,92,52,0.57,,,,,,
,,2018 - 2019,63,38,0.6,,,,,,
,,2019 - 2020,317,350,1.1,1,,0,,,
,,2020 - 2021,934,"1,178.00",1.26,7,9,1.29,,,
,,2021 - 2022,"2,066.00","3,140.00",1.52,5,8,1.6,,,
,,2022 - 2023,"2,144.00","2,041.00",0.95,10,10,1,,,
,24. Sangareddy,2016 - 2017,"1,767.00",719,0.41,,,,,,
,,2017 - 2018,"1,442.00",911,0.63,,,,,,
,,2018 - 2019,"1,094.00",396,0.36,,,,,,
,,2019 - 2020,569,354,0.62,,,,,,
,,2020 - 2021,"1,044.00",770,0.74,,,,,,
,,2021 - 2022,"2,548.00","1,575.00",0.62,,,,,,
,,2022 - 2023,"2,749.00","2,590.00",0.94,,,,,,
,25. Siddipet,2020 - 2021,24,22,0.92,,,,,,
,,2021 - 2022,337,333,0.99,,,,,,
,,2022 - 2023,39,51,1.31,,,,,,
,26. Suryapet,2021 - 2022,2,2,1,,,,,,
,27. Vikarabad,2016 - 2017,318,323,1.02,,,,,,
,,2017 - 2018,317,281,0.89,,,,,,
,,2018 - 2019,245,148,0.6,,,,,,
,,2019 - 2020,126,110,0.87,,,,,,
,,2020 - 2021,713,561,0.79,,,,,,
,,2021 - 2022,"1,359.00","1,279.00",0.94,11,10,0.91,,,
,,2022 - 2023,"2,371.00","1,892.00",0.8,39,31,0.79,,,
,28. Wanaparthy,2021 - 2022,1,1,1,,,,,,
,29. Warangal,2001 - 2002,3,1,0.33,,,,,,
,,2003 - 2004,17,5,0.29,,,,,,
,,2004 - 2005,16,7,0.44,,,,,,
,,2005 - 2006,75,35,0.47,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,30. Warangal urban,2021 - 2022,41,40,0.98,13,13,1,,,
,,2022 - 2023,7,6,0.86,,,,,,
,31. Yadadri,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,35,35,1,3,3,1,,,
,,2022 - 2023,8,7,0.88,4,4,1,,,
10. West Bengal,1. 24 paraganas north,2003 - 2004,"1,022.00",907,0.89,,,,,,
,,2007 - 2008,140,382,2.73,,,,,,
,,2009 - 2010,437,427,0.98,,,,,,
,,2010 - 2011,42,58,1.38,,,,,,
,,2011 - 2012,35,39,1.11,,,,,,
,,2012 - 2013,80,87,1.09,,,,,,
,,2013 - 2014,58,60,1.03,,,,,,
,,2014 - 2015,58,62,1.07,,,,,,
,,2015 - 2016,,,,69,75,1.09,,,
,,2016 - 2017,,,,74,81,1.09,,,
,2. Birbhum,2000 - 2001,11,3,0.27,,,,,,
,,2001 - 2002,31,9,0.29,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,37,8,0.22,,,,,,
,,2005 - 2006,58,18,0.31,,,,,,
,,2006 - 2007,48,24,0.5,,,,,,
,,2007 - 2008,75,63,0.84,,,,,,
,,2008 - 2009,127,98,0.77,,,,,,
,,2009 - 2010,15,13,0.87,,,,,,
,,2010 - 2011,20,16,0.8,,,,,,
,,2011 - 2012,17,7,0.41,,,,,,
,,2012 - 2013,21,9,0.43,,,,,,
,,2013 - 2014,19,8,0.42,,,,,,
,,2014 - 2015,20,8,0.4,,,,,,
,,2015 - 2016,,,,21,9,0.43,,,
,,2016 - 2017,,,,20,9,0.45,,,
,,2017 - 2018,,,,13,11,0.85,,,
,,2020 - 2021,16,10,0.63,,,,,,
,,2021 - 2022,15,9,0.6,,,,,,
,,2022 - 2023,10,6,0.6,,,,,,
,3. Darjeeling,2006 - 2007,5,3,0.6,,,,,,
,,2007 - 2008,5,7,1.4,,,,,,
,,2008 - 2009,5,5,1,,,,,,
,,2010 - 2011,8,11,1.38,,,,,,
,4. Dinajpur dakshin,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,,,,1,1,1,,,
,,2016 - 2017,,,,2,2,1,,,
,5. Dinajpur uttar,2004 - 2005,50,25,0.5,,,,,,
,,2005 - 2006,54,32,0.59,,,,,,
,,2006 - 2007,55,36,0.65,,,,,,
,,2007 - 2008,53,31,0.58,,,,,,
,,2008 - 2009,23,16,0.7,,,,,,
,,2009 - 2010,27,19,0.7,,,,,,
,,2010 - 2011,45,31,0.69,,,,,,
,,2011 - 2012,18,15,0.83,,,,,,
,6. Jalpaiguri,2006 - 2007,30,9,0.3,,,,,,
,,2007 - 2008,80,67,0.84,,,,,,
,,2008 - 2009,55,38,0.69,,,,,,
,,2010 - 2011,60,77,1.28,,,,,,
,,2012 - 2013,60,77,1.28,,,,,,
,,2013 - 2014,60,77,1.28,,,,,,
,,2014 - 2015,63,87,1.38,,,,,,
,,2015 - 2016,,,,62,82,1.32,,,
,,2016 - 2017,,,,63,85,1.35,,,
,,2017 - 2018,,,,55,62,1.13,,,
,7. Medinipur west,2005 - 2006,190,120,0.63,,,,,,
,,2006 - 2007,247,161,0.65,,,,,,
,,2007 - 2008,438,280,0.64,,,,,,
,,2008 - 2009,79,54,0.68,,,,,,
,,2009 - 2010,80,56,0.7,,,,,,
,,2010 - 2011,285,205,0.72,,,,,,
,,2011 - 2012,272,231,0.85,,,,,,
,,2012 - 2013,279,218,0.78,,,,,,
,,2013 - 2014,279,206,0.74,,,,,,
,,2014 - 2015,280,220,0.79,,,,,,
,,2015 - 2016,,,,279,220,0.79,,,
,,2016 - 2017,,,,280,221,0.79,,,
,8. Murshidabad,2007 - 2008,4,5,1.25,,,,,,
,,2008 - 2009,2,2,1,,,,,,
,,2011 - 2012,37,37,1,,,,,,
,9. Nadia,2002 - 2003,5,14,2.8,,,,,,
,,2003 - 2004,290,47,0.16,,,,,,
,,2004 - 2005,255,362,1.42,,,,,,
,10. Purba bardhaman,2000 - 2001,18,6,0.33,,,,,,
,,2001 - 2002,27,13,0.48,,,,,,
,,2002 - 2003,31,16,0.52,,,,,,
,,2003 - 2004,23,16,0.7,,,,,,
,,2004 - 2005,20,13,0.65,,,,,,
,,2005 - 2006,19,13,0.68,,,,,,
,,2006 - 2007,14,9,0.64,,,,,,
,,2007 - 2008,11,6,0.55,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,
,,2011 - 2012,5,4,0.8,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,
,,2013 - 2014,9,6,0.67,,,,,,
,,2014 - 2015,10,6,0.6,,,,,,
,,2015 - 2016,,,,3,2,0.67,,,
,,2016 - 2017,,,,7,5,0.71,,,
,,2017 - 2018,,,,8,6,0.75,,,
,,2018 - 2019,,,,6,4,0.67,,,
,11. Purulia,2004 - 2005,94,62,0.66,,,,,,
,,2007 - 2008,59,57,0.97,,,,,,
,,2008 - 2009,59,57,0.97,,,,,,
,,2009 - 2010,29,24,0.83,,,,,,
,,2010 - 2011,61,40,0.66,,,,,,
,,2011 - 2012,38,29,0.76,,,,,,
,,2012 - 2013,43,31,0.72,,,,,,
,,2013 - 2014,47,33,0.7,,,,,,
,,2014 - 2015,54,37,0.69,,,,,,
,,2015 - 2016,,,,51,35,0.69,,,
,,2016 - 2017,,,,52,36,0.69,,,
,,2017 - 2018,,,,25,20,0.8,,,
