State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,"4,031.00","8,205.00",2.04,,,,,,,,,
,,2010 - 2011,"3,743.00","5,651.00",1.51,,,,,,,,,
,,2011 - 2012,"4,224.00","5,104.00",1.21,,,,,,,,,
,,2012 - 2013,"4,006.00","6,132.00",1.53,,,,,,,,,
,,2013 - 2014,"4,336.00","5,667.00",1.31,,,,,,,,,
,,2014 - 2015,"3,787.00","5,843.00",1.54,,,,,,,,,
,,2015 - 2016,"4,196.00","6,681.00",1.59,,,,,,,,,
,,2016 - 2017,"4,096.00","8,806.00",2.15,,,,,,,,,
,,2017 - 2018,"3,901.00","6,179.00",1.58,,,,,,,,,
,,2018 - 2019,"3,873.00","8,227.00",2.12,,,,,,,,,
,,2019 - 2020,"4,074.00","10,518.00",2.58,,,,,,,,,
,,2020 - 2021,"3,866.00","7,533.00",1.95,,,,,,,,,
,,2021 - 2022,"3,966.00","6,722.00",1.69,,,,,,,,,
,,2022 - 2023,"3,798.00","6,741.00",1.77,,,,,,,,,
,27. Fatehpur,2000 - 2001,"7,620.00","6,431.00",0.84,,,,,,,,,
,,2001 - 2002,"7,086.00","5,457.00",0.77,,,,,,,,,
,,2002 - 2003,"6,777.00","5,552.00",0.82,,,,,,,,,
,,2003 - 2004,"6,817.00","6,835.00",1,,,,,,,,,
,,2004 - 2005,"5,771.00","6,857.00",1.19,,,,,,,,,
,,2005 - 2006,"4,289.00","5,024.00",1.17,,,,,,,,,
,,2006 - 2007,"4,631.00","5,399.00",1.17,,,,,,,,,
,,2007 - 2008,"4,497.00","5,847.00",1.3,,,,,,,,,
,,2008 - 2009,"5,954.00","6,125.00",1.03,,,,,,,,,
,,2009 - 2010,"7,528.00","6,975.00",0.93,,,,,,,,,
,,2010 - 2011,"9,244.00","9,350.00",1.01,,,,,,,,,
,,2011 - 2012,"7,023.00","7,182.00",1.02,,,,,,,,,
,,2012 - 2013,"6,994.00","8,964.00",1.28,,,,,,,,,
,,2013 - 2014,"6,478.00","6,211.00",0.96,,,,,,,,,
,,2014 - 2015,"5,161.00","3,939.00",0.76,,,,,,,,,
,,2015 - 2016,"5,472.00","4,479.00",0.82,,,,,,,,,
,,2016 - 2017,"8,124.00","7,792.00",0.96,,,,,,,,,
,,2017 - 2018,"7,395.00","8,826.00",1.19,,,,,,,,,
,,2018 - 2019,"7,870.00","8,727.00",1.11,,,,,,,,,
,,2019 - 2020,"6,592.00","12,901.00",1.96,,,,,,,,,
,,2020 - 2021,"7,338.00","12,575.00",1.71,,,,,,,,,
,,2021 - 2022,"7,678.00","9,498.00",1.24,,,,,,,,,
,,2022 - 2023,"7,931.00","9,612.00",1.21,,,,,,,,,
,28. Firozabad,2000 - 2001,"61,495.00","1,06,539.00",1.73,,,,,,,,,
,,2001 - 2002,"62,049.00","65,958.00",1.06,,,,,,,,,
,,2002 - 2003,"59,097.00","75,171.00",1.27,,,,,,,,,
,,2003 - 2004,"65,024.00","57,981.00",0.89,,,,,,,,,
,,2004 - 2005,"65,714.00","1,24,248.00",1.89,,,,,,,,,
,,2005 - 2006,"63,572.00","1,20,283.00",1.89,,,,,,,,,
,,2006 - 2007,"59,566.00","1,09,525.00",1.84,,,,,,,,,
,,2007 - 2008,"66,427.00","1,19,575.00",1.8,,,,,,,,,
,,2008 - 2009,"56,580.00","1,18,479.00",2.09,,,,,,,,,
,,2009 - 2010,"54,087.00","1,11,847.00",2.07,,,,,,,,,
,,2010 - 2011,"67,199.00","1,37,402.00",2.04,,,,,,,,,
,,2011 - 2012,"59,603.00","1,33,351.00",2.24,,,,,,,,,
,,2012 - 2013,"63,325.00","1,43,635.00",2.27,,,,,,,,,
,,2013 - 2014,"70,411.00","1,66,540.00",2.37,,,,,,,,,
,,2014 - 2015,"75,371.00","1,60,016.00",2.12,,,,,,,,,
,,2015 - 2016,"70,888.00","1,48,693.00",2.1,,,,,,,,,
,,2016 - 2017,"70,886.00","1,65,019.00",2.33,,,,,,,,,
,,2017 - 2018,"83,416.00","1,96,004.00",2.35,,,,,,,,,
,,2018 - 2019,"72,040.00","1,61,859.00",2.25,,,,,,,,,
,,2019 - 2020,"76,497.00","1,79,834.00",2.35,,,,,,,,,
,,2020 - 2021,"71,656.00","1,95,406.00",2.73,,,,,,,,,
,,2021 - 2022,"77,980.00","1,82,863.00",2.34,,,,,,,,,
,,2022 - 2023,"74,376.00","1,88,171.00",2.53,,,,,,,,,
,29. Gautam buddha nagar,2000 - 2001,"11,334.00","16,772.00",1.48,,,,,,,,,
,,2001 - 2002,"12,660.00","19,706.00",1.56,,,,,,,,,
,,2002 - 2003,"7,157.00","8,996.00",1.26,,,,,,,,,
,,2003 - 2004,"6,019.00","8,611.00",1.43,,,,,,,,,
,,2004 - 2005,"7,879.00","13,189.00",1.67,,,,,,,,,
,,2005 - 2006,"3,569.00","4,308.00",1.21,,,,,,,,,
,,2006 - 2007,"8,932.00","8,861.00",0.99,,,,,,,,,
,,2007 - 2008,"4,389.00","6,136.00",1.4,,,,,,,,,
,,2008 - 2009,"4,321.00","7,467.00",1.73,,,,,,,,,
,,2009 - 2010,"1,880.00","2,942.00",1.56,,,,,,,,,
,,2010 - 2011,"2,344.00","2,389.00",1.02,,,,,,,,,
,,2011 - 2012,"1,427.00","2,026.00",1.42,,,,,,,,,
,,2012 - 2013,"1,947.00","4,529.00",2.33,,,,,,,,,
,,2013 - 2014,"8,760.00","11,798.00",1.35,,,,,,,,,
,,2014 - 2015,"1,442.00","2,903.00",2.01,,,,,,,,,
,,2016 - 2017,"8,304.00","9,719.00",1.17,,,,,,,,,
,,2017 - 2018,"8,304.00","8,339.00",1,,,,,,,,,
,,2018 - 2019,"2,210.00","2,997.00",1.36,,,,,,,,,
,,2019 - 2020,"1,543.00","2,401.00",1.56,,,,,,,,,
,,2020 - 2021,"1,377.00","1,969.00",1.43,,,,,,,,,
,,2021 - 2022,"8,304.00","14,358.00",1.73,,,,,,,,,
,,2022 - 2023,"3,170.00","3,750.00",1.18,,,,,,,,,
,30. Ghaziabad,2000 - 2001,976,"1,251.00",1.28,,,,,,,,,
,,2001 - 2002,"1,034.00","1,027.00",0.99,,,,,,,,,
,,2002 - 2003,726,917,1.26,,,,,,,,,
,,2003 - 2004,578,824,1.43,,,,,,,,,
,,2004 - 2005,295,437,1.48,,,,,,,,,
,,2005 - 2006,553,794,1.44,,,,,,,,,
,,2006 - 2007,295,366,1.24,,,,,,,,,
,,2007 - 2008,150,227,1.51,,,,,,,,,
,,2008 - 2009,269,480,1.78,,,,,,,,,
,,2009 - 2010,172,331,1.92,,,,,,,,,
,,2010 - 2011,370,660,1.78,,,,,,,,,
,,2011 - 2012,280,524,1.87,,,,,,,,,
,,2012 - 2013,237,551,2.32,,,,,,,,,
,,2013 - 2014,187,252,1.35,,,,,,,,,
,,2015 - 2016,24,48,2,,,,,,,,,
,,2016 - 2017,211,247,1.17,,,,,,,,,
,,2017 - 2018,165,322,1.95,,,,,,,,,
,,2019 - 2020,422,798,1.89,,,,,,,,,
,,2021 - 2022,244,424,1.74,,,,,,,,,
,,2022 - 2023,277,444,1.6,,,,,,,,,
,31. Ghazipur,2000 - 2001,"9,888.00","12,202.00",1.23,,,,,,,,,
,,2001 - 2002,"9,760.00","9,514.00",0.97,,,,,,,,,
,,2002 - 2003,"9,833.00","10,310.00",1.05,,,,,,,,,
,,2003 - 2004,"11,293.00","10,696.00",0.95,,,,,,,,,
,,2004 - 2005,"12,630.00","18,509.00",1.47,,,,,,,,,
,,2005 - 2006,"7,043.00","9,630.00",1.37,,,,,,,,,
,,2006 - 2007,"13,981.00","19,793.00",1.42,,,,,,,,,
,,2007 - 2008,"13,982.00","19,875.00",1.42,,,,,,,,,
,,2008 - 2009,"12,511.00","17,607.00",1.41,,,,,,,,,
,,2009 - 2010,"13,615.00","21,752.00",1.6,,,,,,,,,
,,2010 - 2011,"15,333.00","21,554.00",1.41,,,,,,,,,
,,2011 - 2012,"11,325.00","17,345.00",1.53,,,,,,,,,
,,2012 - 2013,"16,148.00","24,455.00",1.51,,,,,,,,,
,,2013 - 2014,"14,986.00","11,002.00",0.73,,,,,,,,,
,,2014 - 2015,"13,037.00","23,380.00",1.79,,,,,,,,,
,,2015 - 2016,"17,322.00","30,004.00",1.73,,,,,,,,,
,,2016 - 2017,"15,530.00","10,544.00",0.68,,,,,,,,,
,,2017 - 2018,"14,763.00","15,480.00",1.05,,,,,,,,,
,,2018 - 2019,"15,845.00","28,360.00",1.79,,,,,,,,,
,,2019 - 2020,"14,566.00","19,525.00",1.34,,,,,,,,,
,,2020 - 2021,"15,140.00","24,054.00",1.59,,,,,,,,,
,,2021 - 2022,"15,919.00","16,795.00",1.06,,,,,,,,,
,,2022 - 2023,"16,504.00","24,789.00",1.5,,,,,,,,,
,32. Gonda,2000 - 2001,125,217,1.74,,,,,,,,,
,,2001 - 2002,103,165,1.6,,,,,,,,,
,,2002 - 2003,29,45,1.55,,,,,,,,,
,,2003 - 2004,84,124,1.48,,,,,,,,,
,,2004 - 2005,58,108,1.86,,,,,,,,,
,,2005 - 2006,28,43,1.54,,,,,,,,,
,,2006 - 2007,68,120,1.76,,,,,,,,,
,,2007 - 2008,37,58,1.57,,,,,,,,,
,,2008 - 2009,2,4,2,,,,,,,,,
,,2009 - 2010,2,3,1.5,,,,,,,,,
,33. Gorakhpur,2000 - 2001,278,466,1.68,,,,,,,,,
,,2001 - 2002,136,191,1.4,,,,,,,,,
,,2002 - 2003,209,313,1.5,,,,,,,,,
,,2003 - 2004,154,228,1.48,,,,,,,,,
,,2004 - 2005,161,279,1.73,,,,,,,,,
,,2005 - 2006,155,243,1.57,,,,,,,,,
,,2006 - 2007,161,260,1.61,,,,,,,,,
,,2007 - 2008,117,182,1.56,,,,,,,,,
,,2008 - 2009,53,92,1.74,,,,,,,,,
,,2009 - 2010,11,19,1.73,,,,,,,,,
,,2010 - 2011,34,58,1.71,,,,,,,,,
,,2011 - 2012,22,45,2.05,,,,,,,,,
,,2012 - 2013,6,12,2,,,,,,,,,
,,2013 - 2014,6,12,2,,,,,,,,,
,,2014 - 2015,4,8,2,,,,,,,,,
,,2015 - 2016,18,32,1.78,,,,,,,,,
,,2016 - 2017,8,15,1.88,,,,,,,,,
,,2017 - 2018,9,17,1.89,,,,,,,,,
,,2018 - 2019,7,15,2.14,,,,,,,,,
,,2019 - 2020,8,17,2.13,,,,,,,,,
,,2020 - 2021,7,17,2.43,,,,,,,,,
,,2021 - 2022,8,17,2.13,,,,,,,,,
,,2022 - 2023,9,19,2.11,,,,,,,,,
,34. Hamirpur,2000 - 2001,412,347,0.84,,,,,,,,,
,,2001 - 2002,316,232,0.73,,,,,,,,,
,,2002 - 2003,478,208,0.44,,,,,,,,,
,,2003 - 2004,548,466,0.85,,,,,,,,,
,,2004 - 2005,626,712,1.14,,,,,,,,,
,,2006 - 2007,626,542,0.87,,,,,,,,,
,,2007 - 2008,604,834,1.38,,,,,,,,,
,,2008 - 2009,300,396,1.32,,,,,,,,,
,,2009 - 2010,539,366,0.68,,,,,,,,,
,,2010 - 2011,492,285,0.58,,,,,,,,,
,,2011 - 2012,393,329,0.84,,,,,,,,,
,,2012 - 2013,317,538,1.7,,,,,,,,,
,,2013 - 2014,359,619,1.72,,,,,,,,,
,,2014 - 2015,386,281,0.73,,,,,,,,,
,,2015 - 2016,693,235,0.34,,,,,,,,,
,,2016 - 2017,190,150,0.79,,,,,,,,,
,,2017 - 2018,651,678,1.04,,,,,,,,,
,,2018 - 2019,181,88,0.49,,,,,,,,,
,,2019 - 2020,514,949,1.85,,,,,,,,,
,,2020 - 2021,268,597,2.23,,,,,,,,,
,,2021 - 2022,85,130,1.53,,,,,,,,,
,,2022 - 2023,89,133,1.49,,,,,,,,,
,35. Hapur,2012 - 2013,13,30,2.31,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,1,2,2,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,1,2,2,,,,,,,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,,2022 - 2023,3,5,1.67,,,,,,,,,
,36. Hardoi,2000 - 2001,"5,096.00","3,994.00",0.78,,,,,,,,,
,,2001 - 2002,"4,553.00","3,772.00",0.83,,,,,,,,,
,,2002 - 2003,"2,407.00","2,012.00",0.84,,,,,,,,,
,,2003 - 2004,"5,036.00","3,447.00",0.68,,,,,,,,,
,,2004 - 2005,"4,328.00","4,643.00",1.07,,,,,,,,,
,,2005 - 2006,"13,501.00","12,472.00",0.92,,,,,,,,,
,,2006 - 2007,"13,022.00","19,668.00",1.51,,,,,,,,,
,,2007 - 2008,"8,610.00","9,242.00",1.07,,,,,,,,,
,,2008 - 2009,"5,491.00","6,579.00",1.2,,,,,,,,,
,,2009 - 2010,"4,106.00","4,714.00",1.15,,,,,,,,,
,,2010 - 2011,"4,146.00","5,233.00",1.26,,,,,,,,,
,,2011 - 2012,"3,546.00","3,462.00",0.98,,,,,,,,,
,,2012 - 2013,"4,028.00","4,852.00",1.2,,,,,,,,,
,,2013 - 2014,"3,780.00","4,490.00",1.19,,,,,,,,,
,,2014 - 2015,"3,830.00","3,785.00",0.99,,,,,,,,,
,,2015 - 2016,"3,592.00","5,096.00",1.42,,,,,,,,,
,,2016 - 2017,"3,478.00","4,707.00",1.35,,,,,,,,,
,,2017 - 2018,"3,393.00","4,385.00",1.29,,,,,,,,,
,,2018 - 2019,"3,472.00","4,661.00",1.34,,,,,,,,,
,,2019 - 2020,"3,431.00","6,907.00",2.01,,,,,,,,,
,,2020 - 2021,"3,218.00","4,949.00",1.54,,,,,,,,,
,,2021 - 2022,"3,616.00","4,817.00",1.33,,,,,,,,,
,,2022 - 2023,"3,444.00","5,655.00",1.64,,,,,,,,,
,37. Hathras,2000 - 2001,"47,279.00","83,773.00",1.77,,,,,,,,,
,,2001 - 2002,"44,273.00","40,381.00",0.91,,,,,,,,,
,,2002 - 2003,"37,065.00","69,334.00",1.87,,,,,,,,,
,,2003 - 2004,"45,512.00","79,405.00",1.74,,,,,,,,,
,,2004 - 2005,"48,713.00","82,667.00",1.7,,,,,,,,,
,,2005 - 2006,"43,426.00","71,262.00",1.64,,,,,,,,,
,,2006 - 2007,"46,411.00","74,490.00",1.61,,,,,,,,,
,,2007 - 2008,"42,988.00","74,842.00",1.74,,,,,,,,,
,,2008 - 2009,"47,052.00","69,448.00",1.48,,,,,,,,,
,,2009 - 2010,"37,786.00","67,108.00",1.78,,,,,,,,,
,,2010 - 2011,"45,450.00","80,583.00",1.77,,,,,,,,,
,,2011 - 2012,"43,593.00","79,252.00",1.82,,,,,,,,,
,,2012 - 2013,"45,388.00","86,373.00",1.9,,,,,,,,,
,,2013 - 2014,"45,373.00","82,760.00",1.82,,,,,,,,,
,,2014 - 2015,"36,688.00","80,604.00",2.2,,,,,,,,,
,,2015 - 2016,"42,953.00","82,813.00",1.93,,,,,,,,,
,,2016 - 2017,"39,932.00","73,914.00",1.85,,,,,,,,,
,,2017 - 2018,"48,172.00","1,12,722.00",2.34,,,,,,,,,
,,2018 - 2019,"37,816.00","89,813.00",2.38,,,,,,,,,
,,2019 - 2020,"44,214.00","1,02,817.00",2.33,,,,,,,,,
,,2020 - 2021,"47,520.00","1,31,440.00",2.77,,,,,,,,,
,,2021 - 2022,"47,505.00","1,14,202.00",2.4,,,,,,,,,
,,2022 - 2023,"45,592.00","1,06,366.00",2.33,,,,,,,,,
,38. Jalaun,2000 - 2001,"12,928.00","13,376.00",1.03,,,,,,,,,
,,2001 - 2002,"11,774.00","10,582.00",0.9,,,,,,,,,
,,2002 - 2003,"12,063.00","11,975.00",0.99,,,,,,,,,
,,2003 - 2004,"15,935.00","7,325.00",0.46,,,,,,,,,
,,2004 - 2005,"13,210.00","10,668.00",0.81,,,,,,,,,
,,2005 - 2006,"14,343.00","15,305.00",1.07,,,,,,,,,
,,2006 - 2007,"14,402.00","26,385.00",1.83,,,,,,,,,
,,2007 - 2008,"12,489.00","6,637.00",0.53,,,,,,,,,
,,2008 - 2009,"8,429.00","5,136.00",0.61,,,,,,,,,
,,2009 - 2010,"19,495.00","17,250.00",0.88,,,,,,,,,
,,2010 - 2011,"15,683.00","13,399.00",0.85,,,,,,,,,
,,2011 - 2012,"9,902.00","9,488.00",0.96,,,,,,,,,
,,2012 - 2013,"13,111.00","23,399.00",1.78,,,,,,,,,
,,2013 - 2014,"11,922.00","8,002.00",0.67,,,,,,,,,
,,2014 - 2015,"15,683.00","12,932.00",0.82,,,,,,,,,
,,2015 - 2016,"13,204.00","11,659.00",0.88,,,,,,,,,
,,2016 - 2017,"14,761.00","16,978.00",1.15,,,,,,,,,
,,2017 - 2018,"15,033.00","24,311.00",1.62,,,,,,,,,
,,2018 - 2019,"15,327.00","23,521.00",1.53,,,,,,,,,
,,2019 - 2020,"14,663.00","27,727.00",1.89,,,,,,,,,
,,2020 - 2021,"14,751.00","27,322.00",1.85,,,,,,,,,
,,2021 - 2022,"15,195.00","26,120.00",1.72,,,,,,,,,
,,2022 - 2023,"14,471.00","17,959.00",1.24,,,,,,,,,
,39. Jaunpur,2000 - 2001,"4,896.00","7,538.00",1.54,,,,,,,,,
,,2001 - 2002,"5,140.00","3,331.00",0.65,,,,,,,,,
,,2002 - 2003,"4,560.00","5,187.00",1.14,,,,,,,,,
,,2003 - 2004,"5,022.00","3,869.00",0.77,,,,,,,,,
,,2004 - 2005,"4,999.00","5,334.00",1.07,,,,,,,,,
,,2005 - 2006,"4,846.00","6,153.00",1.27,,,,,,,,,
,,2006 - 2007,"12,330.00","14,407.00",1.17,,,,,,,,,
,,2007 - 2008,"5,190.00","5,564.00",1.07,,,,,,,,,
,,2008 - 2009,"5,347.00","5,159.00",0.96,,,,,,,,,
,,2009 - 2010,"3,156.00","4,404.00",1.4,,,,,,,,,
,,2010 - 2011,"6,050.00","8,266.00",1.37,,,,,,,,,
,,2011 - 2012,"10,366.00","16,251.00",1.57,,,,,,,,,
,,2012 - 2013,"5,502.00","7,778.00",1.41,,,,,,,,,
,,2013 - 2014,"10,287.00","8,962.00",0.87,,,,,,,,,
,,2014 - 2015,"6,630.00","8,217.00",1.24,,,,,,,,,
,,2015 - 2016,"5,905.00","6,599.00",1.12,,,,,,,,,
,,2016 - 2017,"6,752.00","7,830.00",1.16,,,,,,,,,
,,2017 - 2018,"4,937.00","5,797.00",1.17,,,,,,,,,
,,2018 - 2019,"5,957.00","7,509.00",1.26,,,,,,,,,
,,2019 - 2020,"7,093.00","11,039.00",1.56,,,,,,,,,
,,2020 - 2021,"5,997.00","9,258.00",1.54,,,,,,,,,
,,2021 - 2022,"6,218.00","7,760.00",1.25,,,,,,,,,
,,2022 - 2023,"6,301.00","8,878.00",1.41,,,,,,,,,
,40. Jhansi,2000 - 2001,148,158,1.07,,,,,,,,,
,,2001 - 2002,101,89,0.88,,,,,,,,,
,,2002 - 2003,62,58,0.94,,,,,,,,,
,,2003 - 2004,42,17,0.4,,,,,,,,,
,,2004 - 2005,24,21,0.88,,,,,,,,,
,,2005 - 2006,40,42,1.05,,,,,,,,,
,,2006 - 2007,17,31,1.82,,,,,,,,,
,,2007 - 2008,89,46,0.52,,,,,,,,,
,,2008 - 2009,314,193,0.61,,,,,,,,,
,,2009 - 2010,13,11,0.85,,,,,,,,,
,,2010 - 2011,35,30,0.86,,,,,,,,,
,,2011 - 2012,30,29,0.97,,,,,,,,,
,,2012 - 2013,44,82,1.86,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,"4,923.00","3,945.00",0.8,,,,,,,,,
,,2015 - 2016,19,17,0.89,,,,,,,,,
,,2016 - 2017,13,15,1.15,,,,,,,,,
,,2017 - 2018,4,7,1.75,,,,,,,,,
,,2018 - 2019,7,10,1.43,,,,,,,,,
,,2019 - 2020,23,43,1.87,,,,,,,,,
,,2020 - 2021,13,9,0.69,,,,,,,,,
,,2021 - 2022,7,12,1.71,,,,,,,,,
,,2022 - 2023,7,10,1.43,,,,,,,,,
,41. Kannauj,2000 - 2001,"4,101.00","5,091.00",1.24,,,,,,,,,
,,2001 - 2002,"3,684.00","3,900.00",1.06,,,,,,,,,
,,2002 - 2003,"3,533.00","4,026.00",1.14,,,,,,,,,
,,2003 - 2004,"3,283.00","2,083.00",0.63,,,,,,,,,
,,2004 - 2005,"2,932.00","1,832.00",0.62,,,,,,,,,
,,2005 - 2006,"3,634.00","5,679.00",1.56,,,,,,,,,
,,2006 - 2007,"2,474.00","4,084.00",1.65,,,,,,,,,
,,2007 - 2008,"3,389.00","6,212.00",1.83,,,,,,,,,
,,2008 - 2009,"2,621.00","5,749.00",2.19,,,,,,,,,
,,2009 - 2010,"1,973.00","3,952.00",2,,,,,,,,,
,,2010 - 2011,"2,821.00","5,660.00",2.01,,,,,,,,,
,,2011 - 2012,"2,211.00","3,959.00",1.79,,,,,,,,,
,,2012 - 2013,"2,572.00","5,879.00",2.29,,,,,,,,,
,,2013 - 2014,"1,341.00","2,365.00",1.76,,,,,,,,,
,,2014 - 2015,"1,081.00","1,179.00",1.09,,,,,,,,,
,,2015 - 2016,789,"1,185.00",1.5,,,,,,,,,
,,2016 - 2017,"1,249.00","1,742.00",1.39,,,,,,,,,
,,2017 - 2018,"1,175.00","2,064.00",1.76,,,,,,,,,
,,2018 - 2019,"1,201.00","2,021.00",1.68,,,,,,,,,
,,2019 - 2020,"1,263.00","2,597.00",2.06,,,,,,,,,
,,2020 - 2021,"1,188.00","2,641.00",2.22,,,,,,,,,
,,2021 - 2022,"1,335.00","2,105.00",1.58,,,,,,,,,
,,2022 - 2023,"1,294.00","2,123.00",1.64,,,,,,,,,
,42. Kanpur dehat,2003 - 2004,"13,996.00","14,856.00",1.06,,,,,,,,,
,,2004 - 2005,"14,128.00","18,377.00",1.3,,,,,,,,,
,,2005 - 2006,"16,856.00","21,853.00",1.3,,,,,,,,,
,,2006 - 2007,"11,999.00","18,927.00",1.58,,,,,,,,,
,,2007 - 2008,"19,347.00","35,987.00",1.86,,,,,,,,,
,,2008 - 2009,"13,692.00","28,522.00",2.08,,,,,,,,,
,,2009 - 2010,"15,423.00","21,313.00",1.38,,,,,,,,,
,,2010 - 2011,"17,706.00","34,439.00",1.95,,,,,,,,,
,,2011 - 2012,"14,047.00","28,718.00",2.04,,,,,,,,,
,,2012 - 2013,"16,921.00","41,065.00",2.43,,,,,,,,,
,,2013 - 2014,"16,563.00","41,123.00",2.48,,,,,,,,,
,,2014 - 2015,"18,127.00","38,679.00",2.13,,,,,,,,,
,,2015 - 2016,"22,695.00","37,642.00",1.66,,,,,,,,,
,,2016 - 2017,"17,452.00","43,197.00",2.48,,,,,,,,,
,,2017 - 2018,"17,289.00","31,949.00",1.85,,,,,,,,,
,,2018 - 2019,"15,298.00","46,457.00",3.04,,,,,,,,,
,,2019 - 2020,"17,556.00","45,197.00",2.57,,,,,,,,,
,,2020 - 2021,"17,561.00","43,532.00",2.48,,,,,,,,,
,,2021 - 2022,"17,465.00","41,968.00",2.4,,,,,,,,,
,,2022 - 2023,"16,635.00","40,756.00",2.45,,,,,,,,,
,43. Kanpur nagar,2000 - 2001,"10,735.00","13,859.00",1.29,,,,,,,,,
,,2001 - 2002,"12,305.00","15,895.00",1.29,,,,,,,,,
,,2002 - 2003,"14,022.00","16,705.00",1.19,,,,,,,,,
,,2003 - 2004,831,991,1.19,,,,,,,,,
,,2004 - 2005,794,"1,290.00",1.62,,,,,,,,,
,,2005 - 2006,801,"1,252.00",1.56,,,,,,,,,
,,2006 - 2007,"3,344.00","5,519.00",1.65,,,,,,,,,
,,2007 - 2008,412,755,1.83,,,,,,,,,
,,2008 - 2009,684,"1,500.00",2.19,,,,,,,,,
,,2009 - 2010,890,"1,782.00",2,,,,,,,,,
,,2010 - 2011,"1,203.00","2,414.00",2.01,,,,,,,,,
,,2011 - 2012,"1,819.00","3,257.00",1.79,,,,,,,,,
,,2012 - 2013,"1,562.00","2,074.00",1.33,,,,,,,,,
,,2013 - 2014,"1,171.00","2,066.00",1.76,,,,,,,,,
,,2014 - 2015,"1,022.00","1,264.00",1.24,,,,,,,,,
,,2015 - 2016,"1,205.00","1,271.00",1.05,,,,,,,,,
,,2016 - 2017,"1,174.00","1,888.00",1.61,,,,,,,,,
,,2017 - 2018,"1,173.00","2,061.00",1.76,,,,,,,,,
,,2018 - 2019,"1,002.00","2,833.00",2.83,,,,,,,,,
,,2019 - 2020,"1,158.00","2,026.00",1.75,,,,,,,,,
,,2020 - 2021,"1,152.00","2,074.00",1.8,,,,,,,,,
,,2021 - 2022,"1,184.00","1,687.00",1.42,,,,,,,,,
,,2022 - 2023,"1,130.00","1,887.00",1.67,,,,,,,,,
,44. Kasganj,2009 - 2010,"31,743.00","64,978.00",2.05,,,,,,,,,
,,2010 - 2011,"35,149.00","66,638.00",1.9,,,,,,,,,
,,2011 - 2012,"37,701.00","99,628.00",2.64,,,,,,,,,
,,2012 - 2013,"36,350.00","1,04,271.00",2.87,,,,,,,,,
,,2013 - 2014,"39,422.00","1,23,115.00",3.12,,,,,,,,,
,,2014 - 2015,"47,288.00","1,57,611.00",3.33,,,,,,,,,
,,2015 - 2016,"46,404.00","1,12,019.00",2.41,,,,,,,,,
,,2016 - 2017,"43,168.00","96,524.00",2.24,,,,,,,,,
,,2017 - 2018,"39,789.00","90,281.00",2.27,,,,,,,,,
,,2018 - 2019,"40,043.00","99,667.00",2.49,,,,,,,,,
,,2019 - 2020,"39,126.00","1,21,291.00",3.1,,,,,,,,,
,,2020 - 2021,"40,178.00","1,27,328.00",3.17,,,,,,,,,
,,2021 - 2022,"41,472.00","97,708.00",2.36,,,,,,,,,
,,2022 - 2023,"39,625.00","1,05,284.00",2.66,,,,,,,,,
,45. Kaushambi,2000 - 2001,"14,528.00","10,843.00",0.75,,,,,,,,,
,,2001 - 2002,"9,530.00","10,068.00",1.06,,,,,,,,,
,,2002 - 2003,"12,105.00","12,748.00",1.05,,,,,,,,,
,,2003 - 2004,"11,997.00","14,270.00",1.19,,,,,,,,,
,,2004 - 2005,"9,291.00","12,654.00",1.36,,,,,,,,,
,,2005 - 2006,"9,916.00","10,962.00",1.11,,,,,,,,,
,,2006 - 2007,"10,204.00","11,865.00",1.16,,,,,,,,,
,,2007 - 2008,"11,593.00","13,917.00",1.2,,,,,,,,,
,,2008 - 2009,"8,612.00","10,945.00",1.27,,,,,,,,,
,,2009 - 2010,"9,689.00","10,314.00",1.06,,,,,,,,,
,,2010 - 2011,"11,661.00","13,595.00",1.17,,,,,,,,,
,,2011 - 2012,"7,346.00","12,483.00",1.7,,,,,,,,,
,,2012 - 2013,"6,416.00","8,254.00",1.29,,,,,,,,,
,,2013 - 2014,"7,835.00","7,486.00",0.96,,,,,,,,,
,,2014 - 2015,"11,306.00","10,588.00",0.94,,,,,,,,,
,,2015 - 2016,"9,535.00","8,687.00",0.91,,,,,,,,,
,,2016 - 2017,"9,776.00","9,717.00",0.99,,,,,,,,,
,,2017 - 2018,"11,466.00","13,538.00",1.18,,,,,,,,,
,,2018 - 2019,"8,945.00","13,878.00",1.55,,,,,,,,,
,,2019 - 2020,"10,600.00","12,181.00",1.15,,,,,,,,,
,,2020 - 2021,"10,292.00","14,988.00",1.46,,,,,,,,,
