State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"18,000.00","37,000.00",2.06,,,,,,,,,
,,2008 - 2009,"12,174.00","13,744.00",1.13,54,61,1.13,,,,,,
,,2009 - 2010,"4,915.00","12,450.00",2.53,426,"1,079.00",2.53,,,,,,
,,2010 - 2011,"18,830.00","40,729.00",2.16,990,"2,141.00",2.16,,,,,,
,,2011 - 2012,"9,738.00","20,450.00",2.1,377,792,2.1,,,,,,
,,2012 - 2013,"29,000.00","60,000.00",2.07,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,"25,277.00","45,726.00",1.81,649,"1,174.00",1.81,,,,,,
,,2014 - 2015,"10,611.00","10,887.00",1.03,"1,169.00","1,199.00",1.03,,,,,,
,,2015 - 2016,"10,744.00","24,056.00",2.24,936,"2,096.00",2.24,,,,,,
,,2016 - 2017,"16,399.00","32,568.00",1.99,565,"1,122.00",1.99,,,,,,
,,2017 - 2018,"17,246.00","35,027.00",2.03,583,"1,184.00",2.03,,,,,,
,,2018 - 2019,"6,607.00","5,272.00",0.8,31,25,0.81,,,,,,
,,2019 - 2020,"7,178.00","16,495.00",2.3,247,568,2.3,,,,,,
,,2020 - 2021,"9,810.00","28,557.00",2.91,311,905,2.91,,,,,,
,,2021 - 2022,"8,807.00","15,034.00",1.71,389,664,1.71,,,,,,
,,2022 - 2023,"6,907.00","16,176.00",2.34,169,390,2.31,,,,,,
,16. Spsr nellore,2000 - 2001,"3,048.00","5,617.00",1.84,21,39,1.86,,,,,,
,,2001 - 2002,917,"1,357.00",1.48,67,99,1.48,,,,,,
,,2002 - 2003,"1,326.00","1,671.00",1.26,36,45,1.25,,,,,,
,,2003 - 2004,"1,216.00","1,982.00",1.63,12,20,1.67,,,,,,
,,2004 - 2005,"1,477.00","3,565.00",2.41,,,,,,,,,
,,2005 - 2006,836,"1,135.00",1.36,,,,,,,,,
,,2006 - 2007,488,"1,038.00",2.13,54,115,2.13,,,,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,
,,2008 - 2009,419,937,2.24,37,83,2.24,,,,,,
,,2009 - 2010,835,"2,036.00",2.44,29,71,2.45,,,,,,
,,2010 - 2011,"1,550.00","3,684.00",2.38,57,135,2.37,,,,,,
,,2011 - 2012,604,"1,436.00",2.38,49,116,2.37,,,,,,
,,2012 - 2013,"1,000.00","3,000.00",3,,,,,,,,,
,,2013 - 2014,"1,100.00","3,996.00",3.63,53,193,3.64,,,,,,
,,2014 - 2015,622,"1,663.00",2.67,15,40,2.67,,,,,,
,,2015 - 2016,371,"1,350.00",3.64,48,175,3.65,,,,,,
,,2016 - 2017,"1,388.00","5,186.00",3.74,47,176,3.74,,,,,,
,,2017 - 2018,"1,802.00","4,801.00",2.66,28,75,2.68,,,,,,
,,2018 - 2019,219,364,1.66,1,2,2,,,,,,
,,2019 - 2020,173,472,2.73,70,191,2.73,,,,,,
,,2020 - 2021,"1,273.00","3,717.00",2.92,282,823,2.92,,,,,,
,,2021 - 2022,851,"2,382.00",2.8,159,445,2.8,,,,,,
,,2022 - 2023,"2,143.00","5,578.00",2.6,104,240,2.31,,,,,,
,17. Sri sathya sai,2022 - 2023,814,"1,057.00",1.3,2,4,2,,,,,,
,18. Srikakulam,2000 - 2001,"4,203.00","7,263.00",1.73,,,,,,,,,
,,2001 - 2002,"2,910.00","2,927.00",1.01,,,,,,,,,
,,2002 - 2003,"3,476.00","4,508.00",1.3,,,,,,,,,
,,2003 - 2004,"3,654.00","8,634.00",2.36,,,,,,,,,
,,2004 - 2005,"3,711.00","6,954.00",1.87,,,,,,,,,
,,2005 - 2006,"4,350.00","4,663.00",1.07,,,,,,,,,
,,2006 - 2007,"3,986.00","2,077.00",0.52,,,,,,,,,
,,2007 - 2008,"4,000.00","4,000.00",1,,,,,,,,,
,,2008 - 2009,"2,921.00","4,492.00",1.54,,,,,,,,,
,,2009 - 2010,"1,047.00","1,671.00",1.6,,,,,,,,,
,,2010 - 2011,"1,184.00","2,723.00",2.3,,,,,,,,,
,,2011 - 2012,"1,143.00","1,599.00",1.4,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,210,363,1.73,,,,,,,,,
,,2014 - 2015,196,522,2.66,,,,,,,,,
,,2015 - 2016,176,444,2.52,,,,,,,,,
,,2016 - 2017,125,420,3.36,,,,,,,,,
,,2017 - 2018,87,291,3.34,,,,,,,,,
,,2018 - 2019,84,140,1.67,,,,,,,,,
,,2019 - 2020,83,127,1.53,,,,,,,,,
,,2020 - 2021,40,90,2.25,,,,,,,,,
,,2021 - 2022,104,206,1.98,,,,,,,,,
,,2022 - 2023,25,58,2.32,,,,,,,,,
,19. Tirupati,2022 - 2023,"1,625.00","5,093.00",3.13,,,,,,,,,
,20. Visakhapatanam,2000 - 2001,"17,746.00","19,663.00",1.11,,,,,,,,,
,,2001 - 2002,"15,686.00","13,019.00",0.83,,,,,,,,,
,,2002 - 2003,"14,123.00","8,897.00",0.63,2,,0,,,,,,
,,2003 - 2004,"17,771.00","20,312.00",1.14,,,,,,,,,
,,2004 - 2005,"12,458.00","13,093.00",1.05,,,,,,,,,
,,2005 - 2006,"8,319.00","4,634.00",0.56,,,,,,,,,
,,2006 - 2007,"8,197.00","7,525.00",0.92,,,,,,,,,
,,2007 - 2008,"7,000.00","6,000.00",0.86,,,,,,,,,
,,2008 - 2009,"6,287.00","5,105.00",0.81,,,,,,,,,
,,2009 - 2010,"4,829.00","5,380.00",1.11,,,,,,,,,
,,2010 - 2011,"5,978.00","5,207.00",0.87,,,,,,,,,
,,2011 - 2012,"4,638.00","5,079.00",1.1,,,,,,,,,
,,2012 - 2013,"4,000.00","4,000.00",1,,,,,,,,,
,,2013 - 2014,"3,179.00","2,190.00",0.69,,,,,,,,,
,,2014 - 2015,"2,395.00","2,170.00",0.91,,,,,,,,,
,,2015 - 2016,"2,506.00","2,448.00",0.98,,,,,,,,,
,,2016 - 2017,"1,731.00","1,816.00",1.05,,,,,,,,,
,,2017 - 2018,"1,696.00","2,047.00",1.21,,,,,,,,,
,,2018 - 2019,"1,517.00","1,716.00",1.13,,,,,,,,,
,,2019 - 2020,"1,057.00","1,101.00",1.04,,,,,,,,,
,,2020 - 2021,"1,214.00","1,162.00",0.96,,,,,,,,,
,,2021 - 2022,"1,069.00",996,0.93,,,,,,,,,
,,2022 - 2023,88,203,2.31,,,,,,,,,
,21. Vizianagaram,2000 - 2001,"3,619.00","4,082.00",1.13,,,,,,,,,
,,2001 - 2002,"2,724.00","2,956.00",1.09,,,,,,,,,
,,2002 - 2003,"3,090.00","2,735.00",0.89,,,,,,,,,
,,2003 - 2004,"1,565.00","2,038.00",1.3,,,,,,,,,
