State,District,Year,Moong(Green Gram),,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,2021 - 2022,,,,,,,54,17.1,0.32,,,,"2,246.00",700.8,0.31,293,84.1,0.29
,,2022 - 2023,,,,,,,44,13.3,0.3,,,,87,25.9,0.3,84,24.9,0.3
,9. Dhenkanal,2000 - 2001,,,,"1,669.00",214.9,0.13,,,,,,,,,,,,
,,2001 - 2002,,,,"2,224.00",497.7,0.22,,,,,,,,,,,,
,,2002 - 2003,,,,763,151.9,0.2,,,,,,,,,,,,
,,2003 - 2004,,,,"2,278.00",620.2,0.27,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,186.00",373.6,0.32,,,,87,11.4,0.13,403,100.3,0.25
,,2005 - 2006,,,,,,,"1,829.00",656.6,0.36,,,,277,23,0.08,"1,118.00",296.3,0.27
,,2006 - 2007,,,,,,,878,236.2,0.27,,,,169,23.8,0.14,457,100.5,0.22
,,2007 - 2008,,,,,,,"2,138.00",801.8,0.38,,,,141,13.3,0.09,728,194.4,0.27
,,2008 - 2009,,,,,,,"1,001.00",367.4,0.37,,,,144,20,0.14,490,149.5,0.31
,,2009 - 2010,,,,,,,"1,310.00",479.5,0.37,,,,93,5.2,0.06,759,264.9,0.35
,,2010 - 2011,,,,,,,"1,924.00",558,0.29,,,,58,9.2,0.16,770,244.9,0.32
,,2011 - 2012,,,,,,,776,260.7,0.34,,,,39,6.6,0.17,351,99.3,0.28
,,2012 - 2013,,,,,,,"1,163.00",466.4,0.4,,,,20,2.4,0.12,601,232.6,0.39
,,2013 - 2014,,,,,,,"1,218.00",562.7,0.46,,,,15,2.2,0.15,513,190.8,0.37
,,2014 - 2015,,,,,,,"2,252.00","1,056.20",0.47,,,,28,8.3,0.3,592,213.1,0.36
,,2015 - 2016,,,,,,,"1,419.00",676.9,0.48,,,,,,,235,83.9,0.36
,,2016 - 2017,,,,,,,"1,491.00",663.5,0.45,,,,92,43.6,0.47,751,368.7,0.49
,,2017 - 2018,,,,,,,"2,962.00","1,175.90",0.4,,,,,,,449,184.5,0.41
,,2018 - 2019,,,,,,,764,294.1,0.38,,,,1,0.3,0.3,297,144.9,0.49
,,2019 - 2020,,,,,,,"1,723.00",765,0.44,,,,,,,429,182.8,0.43
,,2020 - 2021,,,,,,,"1,345.00",516.5,0.38,,,,28,15.7,0.56,655,300.6,0.46
,,2021 - 2022,,,,,,,"1,844.00",780,0.42,,,,,,,308,136.8,0.44
,,2022 - 2023,,,,,,,"1,400.00",562.8,0.4,,,,84,26.1,0.31,443,195.4,0.44
,10. Gajapati,2000 - 2001,,,,"1,455.00",395.8,0.27,,,,,,,,,,,,
,,2001 - 2002,,,,"2,408.00",705.5,0.29,,,,,,,,,,,,
,,2002 - 2003,,,,817,217.7,0.27,,,,,,,,,,,,
,,2003 - 2004,,,,"2,325.00",406.9,0.18,,,,,,,,,,,,
,,2004 - 2005,,,,,,,14,2.3,0.16,,,,,,,"1,040.00",216.3,0.21
,,2005 - 2006,,,,,,,,,,,,,,,,"1,524.00",189,0.12
,,2006 - 2007,,,,,,,,,,,,,4,0.6,0.15,"1,669.00",290.4,0.17
,,2007 - 2008,,,,,,,1,0.2,0.2,,,,,,,"2,238.00",364.8,0.16
,,2008 - 2009,,,,,,,4,0.5,0.13,,,,,,,943,150.9,0.16
,,2009 - 2010,,,,,,,1,0.2,0.2,,,,3,4.5,1.5,"1,295.00",246.1,0.19
,,2010 - 2011,,,,,,,50,7.8,0.16,,,,2,0.4,0.2,911,144.8,0.16
,,2011 - 2012,,,,,,,,,,,,,,,,591,147.8,0.25
,,2012 - 2013,,,,,,,34,8.5,0.25,,,,,,,"1,269.00",346.4,0.27
,,2013 - 2014,,,,,,,1,0.1,0.1,,,,,,,"2,370.00",540.4,0.23
,,2014 - 2015,,,,,,,,,,,,,,,,"2,477.00",557.3,0.22
,,2015 - 2016,,,,,,,,,,,,,,,,"1,493.00",304.6,0.2
,,2016 - 2017,,,,,,,,,,,,,,,,"3,706.00","1,163.70",0.31
,,2017 - 2018,,,,,,,,,,,,,,,,"3,068.00","1,190.40",0.39
,,2018 - 2019,,,,,,,,,,,,,,,,"1,072.00",243.3,0.23
,,2019 - 2020,,,,,,,,,,,,,,,,"1,210.00",394.5,0.33
,,2020 - 2021,,,,,,,,,,,,,,,,"1,030.00",269.9,0.26
,,2021 - 2022,,,,,,,,,,,,,,,,"2,049.00",627,0.31
,,2022 - 2023,,,,,,,,,,,,,,,,"1,085.00",307.1,0.28
,11. Ganjam,2000 - 2001,,,,"36,166.00","5,512.10",0.15,,,,,,,,,,,,
,,2001 - 2002,,,,"57,675.00","13,634.40",0.24,,,,,,,,,,,,
,,2002 - 2003,,,,"35,020.00","5,525.80",0.16,,,,,,,,,,,,
,,2003 - 2004,,,,"56,336.00","12,731.90",0.23,,,,,,,,,,,,
,,2004 - 2005,,,,,,,81,13.1,0.16,,,,8,0.7,0.09,"43,030.00","9,122.40",0.21
,,2005 - 2006,,,,,,,423,143.8,0.34,,,,12,3.2,0.27,"52,618.00","9,576.50",0.18
,,2006 - 2007,,,,,,,54,16.3,0.3,,,,84,8.5,0.1,"45,308.00","9,061.60",0.2
,,2007 - 2008,,,,,,,43,20.9,0.49,,,,154,22.2,0.14,"44,542.00","9,264.70",0.21
,,2008 - 2009,,,,,,,38,7.8,0.21,,,,8,0.7,0.09,"47,539.00","10,553.70",0.22
,,2009 - 2010,,,,,,,11,3.7,0.34,,,,158,22,0.14,"65,836.00","14,418.10",0.22
,,2010 - 2011,,,,,,,185,50,0.27,,,,6,0.9,0.15,"45,127.00","9,566.90",0.21
,,2011 - 2012,,,,,,,40,11.4,0.29,,,,,,,"22,349.00","4,693.30",0.21
,,2012 - 2013,,,,,,,2,0.5,0.25,,,,1,0.2,0.2,"44,027.00","9,774.00",0.22
,,2013 - 2014,,,,,,,6,2.6,0.43,,,,3,0.1,0.03,"39,868.00","8,970.30",0.23
,,2014 - 2015,,,,,,,5,1.4,0.28,,,,,,,"45,049.00","10,766.70",0.24
,,2015 - 2016,,,,,,,"7,602.00","1,421.60",0.19,,,,,,,"41,646.00","8,953.90",0.22
,,2016 - 2017,,,,,,,17,4.5,0.26,,,,3,6.2,2.07,"75,002.00","22,425.60",0.3
,,2017 - 2018,,,,,,,,,,,,,,,,"48,723.00","11,839.70",0.24
,,2018 - 2019,,,,,,,86,24.3,0.28,,,,4,6.8,1.7,"37,573.00","9,581.10",0.25
,,2019 - 2020,,,,,,,,,,,,,,,,"30,721.00","7,649.50",0.25
,,2020 - 2021,,,,,,,"6,373.00","1,338.30",0.21,,,,,,,"21,771.00","5,769.30",0.26
,,2021 - 2022,,,,,,,"4,313.00",897.1,0.21,,,,,,,"42,940.00","9,876.20",0.23
,,2022 - 2023,,,,,,,550,145.8,0.27,,,,71,14.7,0.21,"59,203.00","14,327.10",0.24
,12. Jagatsinghapur,2000 - 2001,,,,"11,669.00","3,407.30",0.29,,,,,,,,,,,,
,,2001 - 2002,,,,"13,712.00","4,428.60",0.32,,,,,,,,,,,,
,,2002 - 2003,,,,"18,038.00","5,844.30",0.32,,,,,,,,,,,,
,,2003 - 2004,,,,"26,909.00","7,426.90",0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"24,951.00","8,957.40",0.36,,,,,,,,,
,,2005 - 2006,,,,,,,"31,074.00","11,528.50",0.37,,,,,,,67,13.7,0.2
,,2006 - 2007,,,,,,,"32,253.00","10,482.20",0.32,,,,,,,3,0.2,0.07
,,2007 - 2008,,,,,,,"33,199.00","8,366.10",0.25,,,,,,,,,
,,2008 - 2009,,,,,,,"33,770.00","11,346.70",0.34,,,,,,,,,
,,2009 - 2010,,,,,,,"36,336.00","13,117.30",0.36,,,,,,,,,
,,2010 - 2011,,,,,,,"39,925.00","15,970.00",0.4,,,,,,,,,
,,2011 - 2012,,,,,,,"33,814.00","13,390.30",0.4,,,,,,,6,4.6,0.77
,,2012 - 2013,,,,,,,"34,652.00","13,445.00",0.39,,,,,,,,,
,,2013 - 2014,,,,,,,"33,155.00","17,804.20",0.54,,,,,,,,,
,,2014 - 2015,,,,,,,"38,304.00","17,313.40",0.45,,,,,,,,,
,,2015 - 2016,,,,,,,"45,996.00","16,650.60",0.36,,,,,,,,,
,,2016 - 2017,,,,,,,"36,748.00","16,720.30",0.45,,,,,,,,,
,,2017 - 2018,,,,,,,"32,339.00","14,875.90",0.46,,,,,,,,,
,,2018 - 2019,,,,,,,"47,155.00","13,627.80",0.29,,,,,,,,,
,,2019 - 2020,,,,,,,"42,030.00","7,145.10",0.17,,,,,,,,,
,,2020 - 2021,,,,,,,"44,583.00","2,675.00",0.06,,,,,,,,,
,,2021 - 2022,,,,,,,"28,600.00","6,978.40",0.24,,,,,,,,,
,,2022 - 2023,,,,,,,"34,919.00","12,116.90",0.35,,,,,,,,,
,13. Jajapur,2000 - 2001,,,,"2,527.00",410.8,0.16,,,,,,,,,,,,
,,2001 - 2002,,,,"4,739.00","1,230.50",0.26,,,,,,,,,,,,
,,2002 - 2003,,,,"4,997.00","1,349.20",0.27,,,,,,,,,,,,
,,2003 - 2004,,,,"10,385.00","2,575.50",0.25,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"11,286.00","2,844.10",0.25,,,,,,,43,1.7,0.04
,,2005 - 2006,,,,,,,"13,556.00","4,121.00",0.3,,,,,,,4,1.7,0.43
,,2006 - 2007,,,,,,,"12,646.00","3,224.70",0.25,,,,,,,18,5.6,0.31
,,2007 - 2008,,,,,,,"13,543.00","2,722.10",0.2,,,,,,,36,19.2,0.53
,,2008 - 2009,,,,,,,"7,665.00","1,877.90",0.24,,,,,,,21,1.8,0.09
,,2009 - 2010,,,,,,,"8,501.00","2,567.30",0.3,,,,,,,3,0.7,0.23
,,2010 - 2011,,,,,,,"10,723.00","2,830.90",0.26,,,,,,,19,2.6,0.14
,,2011 - 2012,,,,,,,"10,297.00","2,430.10",0.24,,,,,,,6,1,0.17
,,2012 - 2013,,,,,,,"10,251.00","2,511.50",0.25,,,,,,,8,3.5,0.44
,,2013 - 2014,,,,,,,"9,431.00","2,744.40",0.29,,,,,,,30,3.3,0.11
,,2014 - 2015,,,,,,,"12,248.00","3,258.00",0.27,,,,,,,,,
,,2015 - 2016,,,,,,,"10,466.00","2,407.20",0.23,,,,,,,,,
,,2016 - 2017,,,,,,,"14,949.00","6,144.00",0.41,,,,,,,20,9.2,0.46
,,2017 - 2018,,,,,,,"9,812.00","3,895.40",0.4,,,,,,,,,
,,2018 - 2019,,,,,,,"8,914.00","1,845.20",0.21,,,,,,,,,
,,2019 - 2020,,,,,,,"11,984.00","3,008.00",0.25,,,,,,,154,28.8,0.19
,,2020 - 2021,,,,,,,"6,089.00",913.4,0.15,,,,,,,,,
,,2021 - 2022,,,,,,,"2,009.00",391.8,0.2,,,,,,,74,20.4,0.28
,,2022 - 2023,,,,,,,"4,537.00","1,093.40",0.24,,,,,,,,,
,14. Jharsuguda,2000 - 2001,,,,97,48,0.49,,,,,,,,,,,,
,,2001 - 2002,,,,233,87.5,0.38,,,,,,,,,,,,
,,2002 - 2003,,,,410,165.7,0.4,,,,,,,,,,,,
,,2003 - 2004,,,,227,98.2,0.43,,,,,,,,,,,,
,,2004 - 2005,,,,,,,43,11.7,0.27,,,,,,,,,
,,2005 - 2006,,,,,,,192,77.8,0.41,,,,,,,,,
,,2006 - 2007,,,,,,,139,59.9,0.43,,,,1,0.5,0.5,2,0.7,0.35
,,2007 - 2008,,,,,,,286,107.3,0.38,,,,1,0.4,0.4,,,
,,2008 - 2009,,,,,,,156,70.7,0.45,,,,,,,2,0.2,0.1
,,2009 - 2010,,,,,,,211,70.7,0.34,,,,,,,24,6.6,0.28
,,2010 - 2011,,,,,,,499,119.8,0.24,,,,,,,27,3.7,0.14
,,2011 - 2012,,,,,,,83,24.5,0.3,,,,,,,,,
,,2012 - 2013,,,,,,,374,148.1,0.4,,,,17,1.8,0.11,,,
,,2013 - 2014,,,,,,,261,97.4,0.37,,,,,,,,,
,,2014 - 2015,,,,,,,109,37.5,0.34,,,,,,,,,
,,2015 - 2016,,,,,,,107,37.8,0.35,,,,,,,5,1.8,0.36
,,2016 - 2017,,,,,,,118,70.1,0.59,,,,124,76.1,0.61,15,10.2,0.68
,,2017 - 2018,,,,,,,275,136.4,0.5,,,,92,55.9,0.61,29,15.9,0.55
,,2018 - 2019,,,,,,,4,1.3,0.33,,,,,,,8,2.6,0.33
,,2019 - 2020,,,,,,,57,18.1,0.32,,,,,,,1,0.3,0.3
,,2020 - 2021,,,,,,,69,15.9,0.23,,,,,,,,,
,,2021 - 2022,,,,,,,707,354.9,0.5,,,,21,3.9,0.19,17,8.5,0.5
,,2022 - 2023,,,,,,,618,357.2,0.58,,,,,,,14,5.2,0.37
,15. Kalahandi,2000 - 2001,,,,"5,854.00",978.4,0.17,,,,,,,,,,,,
,,2001 - 2002,,,,"4,011.00",868.8,0.22,,,,,,,,,,,,
,,2002 - 2003,,,,"3,283.00",464.4,0.14,,,,,,,,,,,,
,,2003 - 2004,,,,"7,530.00","1,455.40",0.19,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,779.00",464.3,0.26,,,,99,17.6,0.18,"4,830.00",671.4,0.14
,,2005 - 2006,,,,,,,"2,361.00",391.9,0.17,,,,55,4.4,0.08,"3,815.00",595.1,0.16
,,2006 - 2007,,,,,,,"3,219.00",695.3,0.22,,,,36,2.7,0.08,"2,887.00",528.3,0.18
,,2007 - 2008,,,,,,,"5,899.00","1,309.60",0.22,,,,9,1.1,0.12,"2,729.00",496.7,0.18
,,2008 - 2009,,,,,,,"5,133.00","1,062.50",0.21,,,,,,,"4,548.00",946,0.21
,,2009 - 2010,,,,,,,"8,081.00","2,286.90",0.28,,,,17,3.1,0.18,"4,808.00","1,206.80",0.25
,,2010 - 2011,,,,,,,"7,718.00","1,914.10",0.25,,,,13,2.2,0.17,"4,334.00","1,105.20",0.26
,,2011 - 2012,,,,,,,"3,177.00",787.9,0.25,,,,8,1.5,0.19,"3,231.00",633.3,0.2
,,2012 - 2013,,,,,,,"6,078.00","2,413.00",0.4,,,,,,,"9,182.00","2,598.50",0.28
,,2013 - 2014,,,,,,,"7,221.00","2,736.80",0.38,,,,1,0.3,0.3,"4,898.00","1,714.30",0.35
,,2014 - 2015,,,,,,,"6,456.00","2,343.50",0.36,,,,,,,"6,839.00","2,660.40",0.39
,,2015 - 2016,,,,,,,"10,044.00","2,711.90",0.27,,,,,,,"2,734.00",765.5,0.28
,,2016 - 2017,,,,,,,"6,670.00","2,661.30",0.4,,,,567,325.5,0.57,"8,775.00","3,571.40",0.41
,,2017 - 2018,,,,,,,"3,446.00","1,316.40",0.38,,,,,,,"2,740.00","1,520.70",0.56
,,2018 - 2019,,,,,,,"9,500.00","4,056.50",0.43,,,,2,0.7,0.35,"2,784.00",957.7,0.34
,,2019 - 2020,,,,,,,"9,244.00","5,472.40",0.59,,,,2,0.9,0.45,"7,571.00","4,148.90",0.55
,,2020 - 2021,,,,,,,"11,804.00","5,406.20",0.46,,,,1,0.2,0.2,"10,364.00","5,347.80",0.52
,,2021 - 2022,,,,,,,"10,592.00","7,838.10",0.74,,,,,,,"9,751.00","5,460.60",0.56
,,2022 - 2023,,,,,,,"7,433.00","5,931.50",0.8,,,,,,,"6,682.00","3,227.40",0.48
,16. Kandhamal,2000 - 2001,,,,197,11.9,0.06,,,,,,,,,,,,
,,2001 - 2002,,,,165,27.8,0.17,,,,,,,,,,,,
,,2002 - 2003,,,,104,8.7,0.08,,,,,,,,,,,,
,,2003 - 2004,,,,102,13.1,0.13,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,16,1.9,0.12,98,8.6,0.09
,,2005 - 2006,,,,,,,8,0.1,0.01,,,,23,4,0.17,118,20.5,0.17
,,2006 - 2007,,,,,,,2,0.6,0.3,,,,7,1.1,0.16,171,29.6,0.17
,,2007 - 2008,,,,,,,,,,,,,17,1.7,0.1,81,12.9,0.16
,,2008 - 2009,,,,,,,2,0.2,0.1,,,,23,4.8,0.21,81,12.2,0.15
,,2009 - 2010,,,,,,,1,,0,,,,36,4.9,0.14,89,20.3,0.23
,,2010 - 2011,,,,,,,,,,,,,26,4.2,0.16,66,8.4,0.13
,,2011 - 2012,,,,,,,,,,,,,5,0.9,0.18,15,3,0.2
,,2012 - 2013,,,,,,,,,,,,,1,0.3,0.3,69,13,0.19
,,2013 - 2014,,,,,,,,,,,,,,,,152,28.1,0.18
,,2014 - 2015,,,,,,,,,,,,,,,,92,16.3,0.18
,,2015 - 2016,,,,,,,2,0.4,0.2,,,,,,,61,6.3,0.1
,,2016 - 2017,,,,,,,,,,,,,2,2.9,1.45,47,8.9,0.19
,,2017 - 2018,,,,,,,,,,,,,,,,42,9.8,0.23
,,2018 - 2019,,,,,,,,,,,,,,,,20,5.3,0.27
,,2019 - 2020,,,,,,,,,,,,,,,,19,8.8,0.46
,,2020 - 2021,,,,,,,,,,,,,,,,43,17.6,0.41
,,2021 - 2022,,,,,,,,,,,,,1,0.3,0.3,52,20.2,0.39
,,2022 - 2023,,,,,,,,,,,,,,,,85,34,0.4
,17. Kendrapara,2000 - 2001,,,,"7,009.00","2,151.90",0.31,,,,,,,,,,,,
,,2001 - 2002,,,,"13,559.00","4,449.10",0.33,,,,,,,,,,,,
,,2002 - 2003,,,,"13,456.00","4,569.80",0.34,,,,,,,,,,,,
,,2003 - 2004,,,,"16,196.00","4,210.90",0.26,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"17,043.00","6,067.30",0.36,,,,,,,,,
,,2005 - 2006,,,,,,,"20,167.00","7,240.00",0.36,,,,,,,7,1.6,0.23
,,2006 - 2007,,,,,,,"16,475.00","4,860.10",0.29,,,,,,,5,2.1,0.42
,,2007 - 2008,,,,,,,"18,939.00","4,867.30",0.26,,,,,,,,,
,,2008 - 2009,,,,,,,"17,659.00","5,209.40",0.29,,,,,,,,,
,,2009 - 2010,,,,,,,"19,346.00","6,190.70",0.32,,,,,,,,,
,,2010 - 2011,,,,,,,"22,895.00","7,005.90",0.31,,,,,,,,,
,,2011 - 2012,,,,,,,"23,429.00","7,333.30",0.31,,,,,,,1,0.6,0.6
,,2012 - 2013,,,,,,,"23,214.00","7,753.50",0.33,,,,,,,,,
,,2013 - 2014,,,,,,,"20,701.00","8,073.40",0.39,,,,,,,,,
,,2014 - 2015,,,,,,,"22,711.00","9,902.00",0.44,,,,,,,,,
,,2015 - 2016,,,,,,,"21,538.00","8,055.20",0.37,,,,,,,,,
,,2016 - 2017,,,,,,,"11,555.00","5,638.80",0.49,,,,,,,,,
,,2017 - 2018,,,,,,,"20,030.00","8,632.90",0.43,,,,,,,,,
,,2018 - 2019,,,,,,,"19,323.00","9,101.10",0.47,,,,,,,,,
,,2019 - 2020,,,,,,,"22,591.00","7,025.80",0.31,,,,,,,,,
,,2020 - 2021,,,,,,,"33,839.00","5,448.10",0.16,,,,,,,,,
,,2021 - 2022,,,,,,,"21,930.00","8,070.20",0.37,,,,,,,,,
,,2022 - 2023,,,,,,,"21,956.00","9,528.90",0.43,,,,,,,,,
,18. Kendujhar,2000 - 2001,,,,338,51.7,0.15,,,,,,,,,,,,
,,2001 - 2002,,,,401,98,0.24,,,,,,,,,,,,
,,2002 - 2003,,,,353,55.4,0.16,,,,,,,,,,,,
,,2003 - 2004,,,,"1,098.00",353.3,0.32,,,,,,,,,,,,
,,2004 - 2005,,,,,,,316,103,0.33,,,,20,1.5,0.08,275,60.8,0.22
,,2005 - 2006,,,,,,,172,67.6,0.39,,,,,,,222,55.1,0.25
,,2006 - 2007,,,,,,,131,72.4,0.55,,,,1,0.2,0.2,216,72.1,0.33
,,2007 - 2008,,,,,,,195,76.2,0.39,,,,,,,125,28.1,0.22
,,2008 - 2009,,,,,,,80,23.4,0.29,,,,,,,155,34.4,0.22
,,2009 - 2010,,,,,,,349,118.7,0.34,,,,,,,320,85.8,0.27
,,2010 - 2011,,,,,,,276,71.2,0.26,,,,,,,520,129.5,0.25
,,2011 - 2012,,,,,,,129,37.9,0.29,,,,,,,80,20,0.25
,,2012 - 2013,,,,,,,462,134,0.29,,,,,,,208,62.2,0.3
,,2013 - 2014,,,,,,,297,68.6,0.23,,,,,,,132,31.5,0.24
,,2014 - 2015,,,,,,,194,62.3,0.32,,,,,,,106,33.1,0.31
,,2015 - 2016,,,,,,,857,289.7,0.34,,,,,,,104,33.8,0.33
,,2016 - 2017,,,,,,,471,255.3,0.54,,,,5,1,0.2,501,203.9,0.41
,,2017 - 2018,,,,,,,335,151.8,0.45,,,,,,,34,17,0.5
,,2018 - 2019,,,,,,,101,43.7,0.43,,,,,,,69,19.9,0.29
,,2019 - 2020,,,,,,,280,184.8,0.66,,,,2,0.6,0.3,11,3.5,0.32
,,2020 - 2021,,,,,,,117,57.9,0.49,,,,,,,53,15.5,0.29
,,2021 - 2022,,,,,,,183,90,0.49,,,,102,32.1,0.31,176,57.7,0.33
,,2022 - 2023,,,,,,,230,136.9,0.6,,,,49,24.5,0.5,293,155,0.53
,19. Khordha,2000 - 2001,,,,"10,975.00","1,744.00",0.16,,,,,,,,,,,,
,,2001 - 2002,,,,"21,377.00","2,639.40",0.12,,,,,,,,,,,,
,,2002 - 2003,,,,"13,069.00","1,772.60",0.14,,,,,,,,,,,,
,,2003 - 2004,,,,"17,857.00","3,233.80",0.18,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"7,716.00","1,635.80",0.21,,,,,,,"3,684.00",574.7,0.16
,,2005 - 2006,,,,,,,"11,405.00","1,802.00",0.16,,,,,,,"3,870.00",522.5,0.14
,,2006 - 2007,,,,,,,"14,731.00","2,180.20",0.15,,,,,,,"1,658.00",270.3,0.16
,,2007 - 2008,,,,,,,"11,300.00","1,819.30",0.16,,,,,,,"1,536.00",233.5,0.15
,,2008 - 2009,,,,,,,"11,067.00","1,748.60",0.16,,,,,,,"2,077.00",288.7,0.14
,,2009 - 2010,,,,,,,"15,008.00","2,686.40",0.18,,,,,,,"2,618.00",442.4,0.17
,,2010 - 2011,,,,,,,"12,631.00","2,816.70",0.22,,,,,,,654,140,0.21
,,2011 - 2012,,,,,,,"9,031.00","2,041.00",0.23,,,,,,,135,29.6,0.22
,,2012 - 2013,,,,,,,"14,008.00","3,109.80",0.22,,,,,,,18,5.2,0.29
,,2013 - 2014,,,,,,,"12,047.00","3,614.10",0.3,,,,,,,678,164.1,0.24
,,2014 - 2015,,,,,,,"17,889.00","4,078.70",0.23,,,,,,,50,19.2,0.38
,,2015 - 2016,,,,,,,"15,579.00","3,333.90",0.21,,,,,,,"1,144.00",298.6,0.26
,,2016 - 2017,,,,,,,"19,584.00","8,323.20",0.43,,,,,,,,,
,,2017 - 2018,,,,,,,"8,215.00","3,499.60",0.43,,,,,,,,,
,,2018 - 2019,,,,,,,"9,046.00","3,193.20",0.35,,,,,,,259,68.1,0.26
,,2019 - 2020,,,,,,,"9,817.00","4,692.50",0.48,,,,,,,2,0.8,0.4
,,2020 - 2021,,,,,,,"7,601.00","1,482.20",0.2,,,,,,,3,0.6,0.2
,,2021 - 2022,,,,,,,"11,268.00","4,326.90",0.38,,,,,,,4,0.9,0.23
,,2022 - 2023,,,,,,,"8,244.00","2,976.10",0.36,,,,,,,909,668.1,0.73
,20. Koraput,2000 - 2001,,,,197,42.1,0.21,,,,,,,,,,,,
,,2001 - 2002,,,,147,52.3,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,51,14.4,0.28,,,,,,,,,,,,
,,2003 - 2004,,,,193,37.5,0.19,,,,,,,,,,,,
,,2004 - 2005,,,,,,,6,4,0.67,,,,139,24.9,0.18,3,1.5,0.5
,,2005 - 2006,,,,,,,241,74.5,0.31,,,,,,,64,16.3,0.25
,,2006 - 2007,,,,,,,164,14.6,0.09,,,,,,,68,11.4,0.17
,,2007 - 2008,,,,,,,50,11.9,0.24,,,,,,,17,3.7,0.22
,,2008 - 2009,,,,,,,,,,,,,,,,2,0.8,0.4
,,2009 - 2010,,,,,,,77,15.2,0.2,,,,4,5.4,1.35,12,4.5,0.38
,,2010 - 2011,,,,,,,71,22.6,0.32,,,,,,,46,21.5,0.47
,,2011 - 2012,,,,,,,96,46.2,0.48,,,,,,,28,9.4,0.34
,,2012 - 2013,,,,,,,466,322.5,0.69,,,,,,,40,18.6,0.47
,,2013 - 2014,,,,,,,582,590.1,1.01,,,,,,,45,20.9,0.46
,,2014 - 2015,,,,,,,87,50.3,0.58,,,,,,,1,0.4,0.4
,,2015 - 2016,,,,,,,145,69.7,0.48,,,,,,,,,
,,2016 - 2017,,,,,,,365,116.1,0.32,,,,,,,64,35.3,0.55
,,2017 - 2018,,,,,,,751,356.7,0.47,,,,,,,34,12,0.35
,,2018 - 2019,,,,,,,166,56.9,0.34,,,,,,,158,49.5,0.31
,,2019 - 2020,,,,,,,105,40.4,0.38,,,,,,,67,23.2,0.35
,,2020 - 2021,,,,,,,84,27.3,0.33,,,,,,,176,50,0.28
,,2021 - 2022,,,,,,,650,214.5,0.33,,,,,,,234,79.6,0.34
,,2022 - 2023,,,,,,,145,42.5,0.29,,,,,,,220,63.4,0.29
,21. Malkangiri,2000 - 2001,,,,84,12.3,0.15,,,,,,,,,,,,
,,2001 - 2002,,,,20,4.8,0.24,,,,,,,,,,,,
,,2002 - 2003,,,,19,3.1,0.16,,,,,,,,,,,,
,,2003 - 2004,,,,54,8.3,0.15,,,,,,,,,,,,
,,2004 - 2005,,,,,,,4,0.3,0.08,,,,,,,12,1.7,0.14
,,2005 - 2006,,,,,,,130,25.9,0.2,,,,,,,82,15.8,0.19
,,2006 - 2007,,,,,,,3,0.5,0.17,,,,,,,250,50.5,0.2
,,2007 - 2008,,,,,,,54,7.4,0.14,,,,,,,178,29.7,0.17
,,2008 - 2009,,,,,,,178,23.1,0.13,,,,,,,225,31.7,0.14
,,2009 - 2010,,,,,,,1,0.2,0.2,,,,1,0.2,0.2,88,19.8,0.23
,,2010 - 2011,,,,,,,192,26.9,0.14,,,,,,,158,35.7,0.23
,,2011 - 2012,,,,,,,252,75.3,0.3,,,,,,,113,13.6,0.12
,,2012 - 2013,,,,,,,6,1.2,0.2,,,,,,,100,21.8,0.22
,,2013 - 2014,,,,,,,15,3.7,0.25,,,,,,,97,24.9,0.26
,,2014 - 2015,,,,,,,12,1.8,0.15,,,,,,,104,25.2,0.24
,,2015 - 2016,,,,,,,35,8.3,0.24,,,,,,,52,12.2,0.23
,,2016 - 2017,,,,,,,24,20.6,0.86,,,,,,,60,19.3,0.32
,,2017 - 2018,,,,,,,154,60.1,0.39,,,,,,,18,4.6,0.26
,,2018 - 2019,,,,,,,23,7.4,0.32,,,,,,,93,22.1,0.24
,,2019 - 2020,,,,,,,33,24,0.73,,,,,,,147,52.5,0.36
,,2020 - 2021,,,,,,,52,14.5,0.28,,,,,,,418,132.1,0.32
,,2021 - 2022,,,,,,,61,15.2,0.25,,,,,,,339,112.9,0.33
,,2022 - 2023,,,,,,,,,,,,,,,,348,157.3,0.45
,22. Mayurbhanj,2000 - 2001,,,,"1,165.00",283.7,0.24,,,,,,,,,,,,
,,2001 - 2002,,,,"1,174.00",335.3,0.29,,,,,,,,,,,,
,,2002 - 2003,,,,753,182.4,0.24,,,,,,,,,,,,
,,2003 - 2004,,,,905,258.7,0.29,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,190.00",367.7,0.31,,,,8,2.8,0.35,151,36.5,0.24
,,2005 - 2006,,,,,,,"1,883.00",384.1,0.2,,,,4,1.3,0.33,357,89.6,0.25
,,2006 - 2007,,,,,,,810,291.6,0.36,,,,,,,103,31.6,0.31
