State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,11. Dibrugarh,2000 - 2001,4,20,5,,,,,,
,,2001 - 2002,3,15,5,,,,,,
,,2002 - 2003,3,15,5,,,,,,
,,2003 - 2004,2,10,5,,,,,,
,,2004 - 2005,2,10,5,,,,,,
,,2006 - 2007,2,10,5,,,,,,
,,2011 - 2012,2,13,6.5,,,,,,
,,2012 - 2013,4,20,5,,,,,,
,,2013 - 2014,10,52,5.2,,,,,,
,,2014 - 2015,8,40,5,,,,,,
,,2015 - 2016,8,44,5.5,,,,,,
,,2016 - 2017,8,42,5.25,,,,,,
,,2017 - 2018,8,42,5.25,,,,,,
,,2018 - 2019,8,42,5.25,,,,,,
,,2019 - 2020,10,62,6.2,,,,,,
,,2020 - 2021,10,39,3.9,,,,,,
,,2021 - 2022,12,47,3.92,,,,,,
,,2022 - 2023,19,125,6.58,,,,,,
,12. Dima hasao,2000 - 2001,2,9,4.5,,,,,,
,,2001 - 2002,2,9,4.5,,,,,,
,,2002 - 2003,2,9,4.5,,,,,,
,,2003 - 2004,2,9,4.5,,,,,,
,,2004 - 2005,2,9,4.5,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,2,9,4.5,,,,,,
,,2007 - 2008,2,9,4.5,,,,,,
,,2008 - 2009,2,9,4.5,,,,,,
,,2009 - 2010,2,9,4.5,,,,,,
,,2010 - 2011,2,9,4.5,,,,,,
,,2011 - 2012,2,11,5.5,,,,,,
,,2012 - 2013,2,9,4.5,,,,,,
,,2013 - 2014,8,37,4.63,,,,,,
,,2014 - 2015,4,19,4.75,,,,,,
,,2015 - 2016,7,68,9.71,,,,,,
,,2016 - 2017,7,38,5.43,,,,,,
,,2017 - 2018,8,35,4.38,,,,,,
,,2018 - 2019,11,49,4.45,,,,,,
,,2019 - 2020,9,40,4.44,,,,,,
,,2020 - 2021,9,40,4.44,,,,,,
,,2021 - 2022,7,31,4.43,,,,,,
,,2022 - 2023,7,68,9.71,,,,,,
,13. Goalpara,2001 - 2002,271,"1,310.00",4.83,,,,,,
,,2002 - 2003,250,"1,207.00",4.83,,,,,,
,,2003 - 2004,210,0,0,,,,,,
,,2004 - 2005,240,"1,159.00",4.83,,,,,,
,,2005 - 2006,215,"1,038.00",4.83,,,,,,
,,2006 - 2007,208,"1,003.00",4.82,,,,,,
,,2007 - 2008,185,893,4.83,,,,,,
,,2008 - 2009,250,"1,206.00",4.82,,,,,,
,,2009 - 2010,210,"1,014.00",4.83,,,,,,
,,2010 - 2011,215,"1,038.00",4.83,,,,,,
,,2011 - 2012,138,606,4.39,,,,,,
,,2012 - 2013,54,273,5.06,,,,,,
,,2013 - 2014,228,"2,508.00",11,,,,,,
,,2014 - 2015,343,"1,791.00",5.22,,,,,,
,,2015 - 2016,297,"1,568.00",5.28,,,,,,
,,2016 - 2017,152,760,5,,,,,,
,,2017 - 2018,186,930,5,,,,,,
,,2018 - 2019,203,"1,184.00",5.83,,,,,,
