State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,,,,210,"1,920.00",9.14,,,
,,2018 - 2019,,,,,,,220,"2,010.00",9.14,,,
,,2019 - 2020,,,,,,,223,"2,041.00",9.15,,,
,,2020 - 2021,,,,,,,226,"2,137.00",9.46,,,
,,2021 - 2022,,,,,,,116,604,5.21,,,
,,2022 - 2023,,,,,,,143,"1,416.00",9.9,,,
,4. Kohima,2006 - 2007,,,,,,,360,"3,200.00",8.89,,,
,,2007 - 2008,,,,,,,620,"4,550.00",7.34,,,
,,2008 - 2009,,,,,,,620,"5,820.00",9.39,,,
,,2011 - 2012,,,,,,,410,"3,740.00",9.12,,,
,,2012 - 2013,,,,,,,430,"3,920.00",9.12,,,
,,2013 - 2014,,,,,,,430,"3,920.00",9.12,,,
,,2014 - 2015,,,,,,,440,"4,010.00",9.11,,,
,,2015 - 2016,,,,,,,450,"4,100.00",9.11,,,
,,2016 - 2017,,,,,,,460,"4,210.00",9.15,,,
,,2017 - 2018,,,,,,,460,"4,210.00",9.15,,,
,,2018 - 2019,,,,,,,460,"4,210.00",9.15,,,
,,2019 - 2020,,,,,,,467,"4,274.00",9.15,,,
,,2020 - 2021,,,,,,,474,"4,475.00",9.44,,,
,,2021 - 2022,,,,,,,800,"6,400.00",8,,,
,,2022 - 2023,,,,,,,404,"4,212.00",10.43,,,
,5. Longleng,2008 - 2009,,,,,,,220,"2,150.00",9.77,,,
,,2011 - 2012,,,,,,,180,"1,640.00",9.11,,,
,,2012 - 2013,,,,,,,200,"1,820.00",9.1,,,
,,2013 - 2014,,,,,,,200,"1,820.00",9.1,,,
,,2014 - 2015,,,,,,,210,"1,920.00",9.14,,,
,,2015 - 2016,,,,,,,210,"1,920.00",9.14,,,
,,2016 - 2017,,,,,,,220,"2,010.00",9.14,,,
,,2017 - 2018,,,,,,,230,"2,110.00",9.17,,,
,,2018 - 2019,,,,,,,230,"2,110.00",9.17,,,
,,2019 - 2020,,,,,,,233,"2,142.00",9.19,,,
,,2020 - 2021,,,,,,,236,"2,233.00",9.46,,,
,,2021 - 2022,,,,,,,245,"1,600.00",6.53,,,
,,2022 - 2023,,,,,,,217,"2,117.00",9.76,,,
,6. Mokokchung,2006 - 2007,,,,,,,200,"1,760.00",8.8,,,
,,2007 - 2008,,,,,,,400,"2,870.00",7.18,,,
,,2008 - 2009,,,,,,,540,"5,190.00",9.61,,,
,,2011 - 2012,,,,,,,240,"2,190.00",9.13,,,
,,2012 - 2013,,,,,,,250,"2,280.00",9.12,,,
,,2013 - 2014,,,,,,,270,"2,470.00",9.15,,,
,,2014 - 2015,,,,,,,280,"2,550.00",9.11,,,
,,2015 - 2016,,,,,,,290,"2,640.00",9.1,,,
,,2016 - 2017,,,,,,,310,"2,810.00",9.06,,,
,,2017 - 2018,,,,,,,320,"2,940.00",9.19,,,
,,2018 - 2019,,,,,,,320,"2,940.00",9.19,,,
,,2019 - 2020,,,,,,,325,"2,975.00",9.15,,,
,,2020 - 2021,,,,,,,330,"3,115.00",9.44,,,
,,2021 - 2022,,,,,,,150,"1,050.00",7,,,
,,2022 - 2023,,,,,,,153,"1,545.00",10.1,,,
,7. Mon,2006 - 2007,,,,,,,140,"1,240.00",8.86,,,
,,2007 - 2008,,,,,,,430,"2,590.00",6.02,,,
,,2008 - 2009,,,,,,,310,"2,980.00",9.61,,,
,,2011 - 2012,,,,,,,390,"3,550.00",9.1,,,
,,2012 - 2013,,,,,,,400,"3,650.00",9.13,,,
,,2013 - 2014,,,,,,,420,"3,830.00",9.12,,,
,,2014 - 2015,,,,,,,430,"3,930.00",9.14,,,
,,2015 - 2016,,,,,,,430,"3,930.00",9.14,,,
,,2016 - 2017,,,,,,,440,"4,030.00",9.16,,,
,,2017 - 2018,,,,,,,440,"4,030.00",9.16,,,
,,2018 - 2019,,,,,,,440,"4,030.00",9.16,,,
,,2019 - 2020,,,,,,,447,"4,091.00",9.15,,,
,,2020 - 2021,,,,,,,454,"4,283.00",9.43,,,
,,2021 - 2022,,,,,,,558,"2,984.00",5.35,,,
,,2022 - 2023,,,,,,,494,"4,537.00",9.18,,,
,8. Noklak,2021 - 2022,,,,,,,600,"3,306.00",5.51,,,
,,2022 - 2023,,,,,,,531,"5,319.00",10.02,,,
,9. Nuiland,2022 - 2023,,,,,,,88,942,10.7,,,
,10. Peren,2008 - 2009,,,,,,,140,"1,350.00",9.64,,,
,,2011 - 2012,,,,,,,230,"2,090.00",9.09,,,
,,2012 - 2013,,,,,,,250,"2,280.00",9.12,,,
,,2013 - 2014,,,,,,,260,"2,370.00",9.12,,,
,,2014 - 2015,,,,,,,270,"2,460.00",9.11,,,
,,2015 - 2016,,,,,,,280,"2,560.00",9.14,,,
,,2016 - 2017,,,,,,,290,"2,650.00",9.14,,,
,,2017 - 2018,,,,,,,290,"2,650.00",9.14,,,
,,2018 - 2019,,,,,,,300,"2,750.00",9.17,,,
,,2019 - 2020,,,,,,,305,"2,792.00",9.15,,,
,,2020 - 2021,,,,,,,310,"2,923.00",9.43,,,
,,2021 - 2022,,,,,,,700,"6,608.00",9.44,,,
,,2022 - 2023,,,,,,,620,"6,233.00",10.05,,,
,11. Phek,2006 - 2007,,,,,,,440,"3,930.00",8.93,,,
,,2007 - 2008,,,,,,,690,"5,030.00",7.29,,,
,,2008 - 2009,,,,,,,640,"5,800.00",9.06,,,
,,2011 - 2012,,,,,,,340,"3,100.00",9.12,,,
,,2012 - 2013,,,,,,,350,"3,190.00",9.11,,,
,,2013 - 2014,,,,,,,350,"3,190.00",9.11,,,
,,2014 - 2015,,,,,,,360,"3,280.00",9.11,,,
,,2015 - 2016,,,,,,,360,"3,280.00",9.11,,,
,,2016 - 2017,,,,,,,380,"3,470.00",9.13,,,
,,2017 - 2018,,,,,,,380,"3,490.00",9.18,,,
,,2018 - 2019,,,,,,,390,"3,570.00",9.15,,,
,,2019 - 2020,,,,,,,396,"3,624.00",9.15,,,
,,2020 - 2021,,,,,,,402,"3,794.00",9.44,,,
,,2021 - 2022,,,,,,,860,"6,880.00",8,,,
,,2022 - 2023,,,,,,,761,"7,956.00",10.45,,,
,12. Shamator,2022 - 2023,,,,,,,151,"1,610.00",10.66,,,
,13. Tseminyu,2022 - 2023,,,,,,,203,"2,075.00",10.22,,,
,14. Tuensang,2006 - 2007,,,,,,,190,"1,670.00",8.79,,,
,,2007 - 2008,,,,,,,410,"2,500.00",6.1,,,
,,2008 - 2009,,,,,,,620,"5,860.00",9.45,,,
,,2011 - 2012,,,,,,,250,"2,280.00",9.12,,,
,,2012 - 2013,,,,,,,290,"2,640.00",9.1,,,
,,2013 - 2014,,,,,,,310,"2,830.00",9.13,,,
,,2014 - 2015,,,,,,,320,"2,920.00",9.13,,,
,,2015 - 2016,,,,,,,320,"2,920.00",9.13,,,
,,2016 - 2017,,,,,,,330,"3,010.00",9.12,,,
,,2017 - 2018,,,,,,,340,"3,110.00",9.15,,,
,,2018 - 2019,,,,,,,340,"3,110.00",9.15,,,
,,2019 - 2020,,,,,,,345,"3,157.00",9.15,,,
,,2020 - 2021,,,,,,,350,"3,305.00",9.44,,,
,,2021 - 2022,,,,,,,500,"4,500.00",9,,,
,,2022 - 2023,,,,,,,292,"3,124.00",10.7,,,
,15. Wokha,2006 - 2007,,,,,,,510,"4,650.00",9.12,,,
,,2007 - 2008,,,,,,,640,"5,620.00",8.78,,,
,,2008 - 2009,,,,,,,380,"3,580.00",9.42,,,
,,2011 - 2012,,,,,,,280,"2,550.00",9.11,,,
,,2012 - 2013,,,,,,,300,"2,730.00",9.1,,,
,,2013 - 2014,,,,,,,310,"2,830.00",9.13,,,
,,2014 - 2015,,,,,,,320,"2,920.00",9.13,,,
,,2015 - 2016,,,,,,,330,"3,010.00",9.12,,,
,,2016 - 2017,,,,,,,350,"3,180.00",9.09,,,
,,2017 - 2018,,,,,,,360,"3,300.00",9.17,,,
,,2018 - 2019,,,,,,,370,"3,390.00",9.16,,,
,,2019 - 2020,,,,,,,375,"3,441.00",9.18,,,
,,2020 - 2021,,,,,,,381,"3,603.00",9.46,,,
,,2021 - 2022,,,,,,,274,"2,080.00",7.59,,,
,,2022 - 2023,,,,,,,263,"2,766.00",10.52,,,
,16. Zunheboto,2006 - 2007,,,,,,,260,"2,200.00",8.46,,,
,,2007 - 2008,,,,,,,510,"3,600.00",7.06,,,
,,2008 - 2009,,,,,,,260,"2,420.00",9.31,,,
,,2011 - 2012,,,,,,,190,"1,730.00",9.11,,,
,,2012 - 2013,,,,,,,230,"2,100.00",9.13,,,
,,2013 - 2014,,,,,,,250,"2,280.00",9.12,,,
,,2014 - 2015,,,,,,,270,"2,470.00",9.15,,,
,,2015 - 2016,,,,,,,280,"2,550.00",9.11,,,
,,2016 - 2017,,,,,,,290,"2,660.00",9.17,,,
,,2017 - 2018,,,,,,,300,"2,740.00",9.13,,,
,,2018 - 2019,,,,,,,300,"2,740.00",9.13,,,
,,2019 - 2020,,,,,,,305,"2,782.00",9.12,,,
,,2020 - 2021,,,,,,,310,"2,923.00",9.43,,,
,,2021 - 2022,,,,,,,250,"2,303.00",9.21,,,
,,2022 - 2023,,,,,,,241,"2,530.00",10.5,,,
16. Odisha,1. Anugul,2000 - 2001,,,,,,,470,980,2.09,,,
,,2001 - 2002,,,,,,,470,940,2,,,
,,2002 - 2003,,,,,,,470,590,1.26,,,
,,2003 - 2004,,,,,,,420,540,1.29,,,
,,2004 - 2005,,,,,,,450,575,1.28,,,
,,2019 - 2020,,,,,,,460,"6,160.00",13.39,,,
,2. Balangir,2000 - 2001,,,,,,,190,230,1.21,,,
,,2001 - 2002,,,,,,,260,320,1.23,,,
,,2002 - 2003,,,,,,,220,270,1.23,,,
,,2003 - 2004,,,,,,,40,50,1.25,,,
,,2004 - 2005,,,,,,,47,58,1.23,,,
,,2019 - 2020,,,,,,,200,"2,800.00",14,,,
,3. Baleshwar,2000 - 2001,,,,,,,670,"1,390.00",2.07,,,
,,2001 - 2002,,,,,,,590,"1,220.00",2.07,,,
,,2002 - 2003,,,,,,,770,"1,590.00",2.06,,,
,,2003 - 2004,,,,,,,660,"1,360.00",2.06,,,
,,2004 - 2005,,,,,,,682,"1,404.00",2.06,,,
,,2019 - 2020,,,,,,,390,"5,230.00",13.41,,,
,4. Bargarh,2000 - 2001,,,,,,,340,700,2.06,,,
,,2001 - 2002,,,,,,,410,840,2.05,,,
,,2002 - 2003,,,,,,,620,"1,260.00",2.03,,,
,,2003 - 2004,,,,,,,650,"1,330.00",2.05,,,
,,2004 - 2005,,,,,,,669,"1,364.00",2.04,,,
,,2019 - 2020,,,,,,,240,"3,500.00",14.58,,,
,5. Bhadrak,2000 - 2001,,,,,,,130,230,1.77,,,
,,2001 - 2002,,,,,,,160,290,1.81,,,
,,2002 - 2003,,,,,,,90,180,2,,,
,,2003 - 2004,,,,,,,100,210,2.1,,,
,,2004 - 2005,,,,,,,103,212,2.06,,,
,,2019 - 2020,,,,,,,200,"2,800.00",14,,,
,6. Boudh,2001 - 2002,,,,,,,80,10,0.13,,,
,,2002 - 2003,,,,,,,200,410,2.05,,,
,,2003 - 2004,,,,,,,120,240,2,,,
,,2004 - 2005,,,,,,,135,275,2.04,,,
,,2019 - 2020,,,,,,,530,"7,000.00",13.21,,,
,7. Cuttack,2000 - 2001,,,,,,,750,"1,390.00",1.85,,,
,,2001 - 2002,,,,,,,410,760,1.85,,,
,,2002 - 2003,,,,,,,350,650,1.86,,,
,,2003 - 2004,,,,,,,650,"1,200.00",1.85,,,
,,2004 - 2005,,,,,,,461,852,1.85,,,
,,2019 - 2020,,,,,,,310,"3,690.00",11.9,,,
,8. Deogarh,2000 - 2001,,,,,,,100,190,1.9,,,
,,2001 - 2002,,,,,,,370,510,1.38,,,
,,2002 - 2003,,,,,,,140,200,1.43,,,
,,2003 - 2004,,,,,,,150,210,1.4,,,
,,2004 - 2005,,,,,,,164,231,1.41,,,
,,2019 - 2020,,,,,,,400,"5,600.00",14,,,
,9. Dhenkanal,2000 - 2001,,,,,,,240,420,1.75,,,
,,2001 - 2002,,,,,,,270,490,1.81,,,
,,2002 - 2003,,,,,,,270,490,1.81,,,
,,2003 - 2004,,,,,,,280,500,1.79,,,
,,2004 - 2005,,,,,,,295,531,1.8,,,
,,2019 - 2020,,,,,,,"1,000.00","13,560.00",13.56,,,
,10. Gajapati,2000 - 2001,,,,,,,610,"1,250.00",2.05,,,
,,2001 - 2002,,,,,,,640,"1,310.00",2.05,,,
,,2002 - 2003,,,,,,,430,870,2.02,,,
,,2003 - 2004,,,,,,,450,910,2.02,,,
,,2004 - 2005,,,,,,,443,891,2.01,,,
,,2019 - 2020,,,,,,,460,"6,270.00",13.63,,,
,11. Ganjam,2000 - 2001,,,,,,,620,"1,270.00",2.05,,,
,,2001 - 2002,,,,,,,780,"1,600.00",2.05,,,
,,2002 - 2003,,,,,,,90,190,2.11,,,
,,2003 - 2004,,,,,,,120,250,2.08,,,
,,2004 - 2005,,,,,,,113,233,2.06,,,
,,2019 - 2020,,,,,,,800,"10,000.00",12.5,,,
,12. Jagatsinghapur,2000 - 2001,,,,,,,250,440,1.76,,,
,,2001 - 2002,,,,,,,140,250,1.79,,,
,,2002 - 2003,,,,,,,270,500,1.85,,,
,,2003 - 2004,,,,,,,230,430,1.87,,,
,,2004 - 2005,,,,,,,310,578,1.86,,,
,,2019 - 2020,,,,,,,270,"3,520.00",13.04,,,
,13. Jajapur,2000 - 2001,,,,,,,190,340,1.79,,,
,,2001 - 2002,,,,,,,190,340,1.79,,,
,,2002 - 2003,,,,,,,250,470,1.88,,,
,,2003 - 2004,,,,,,,250,470,1.88,,,
,,2004 - 2005,,,,,,,246,461,1.87,,,
,14. Jharsuguda,2000 - 2001,,,,,,,400,740,1.85,,,
,,2001 - 2002,,,,,,,580,"1,070.00",1.84,,,
,,2002 - 2003,,,,,,,520,960,1.85,,,
,,2003 - 2004,,,,,,,620,"1,150.00",1.85,,,
,,2004 - 2005,,,,,,,636,"1,177.00",1.85,,,
,,2019 - 2020,,,,,,,580,"8,250.00",14.22,,,
,15. Kalahandi,2000 - 2001,,,,,,,90,160,1.78,,,
,,2001 - 2002,,,,,,,220,380,1.73,,,
,,2002 - 2003,,,,,,,50,90,1.8,,,
,,2003 - 2004,,,,,,,80,150,1.88,,,
,,2004 - 2005,,,,,,,72,132,1.83,,,
,,2019 - 2020,,,,,,,100,"1,570.00",15.7,,,
,16. Kandhamal,2000 - 2001,,,,,,,"1,970.00","4,070.00",2.07,,,
,,2001 - 2002,,,,,,,"2,010.00","4,130.00",2.05,,,
,,2002 - 2003,,,,,,,"3,610.00","7,430.00",2.06,,,
,,2003 - 2004,,,,,,,"3,840.00","7,910.00",2.06,,,
,,2004 - 2005,,,,,,,"3,724.00","7,670.00",2.06,,,
,,2019 - 2020,,,,,,,"2,920.00","40,790.00",13.97,,,
,17. Kendrapara,2000 - 2001,,,,,,,420,750,1.79,,,
,,2001 - 2002,,,,,,,240,420,1.75,,,
,,2002 - 2003,,,,,,,380,710,1.87,,,
,,2003 - 2004,,,,,,,390,720,1.85,,,
,,2004 - 2005,,,,,,,318,590,1.86,,,
,,2019 - 2020,,,,,,,300,"4,000.00",13.33,,,
,18. Kendujhar,2000 - 2001,,,,,,,710,"1,450.00",2.04,,,
,,2001 - 2002,,,,,,,730,"1,490.00",2.04,,,
,,2002 - 2003,,,,,,,"1,060.00","2,160.00",2.04,,,
,,2003 - 2004,,,,,,,"1,120.00","2,280.00",2.04,,,
,,2004 - 2005,,,,,,,"1,092.00","2,226.00",2.04,,,
,,2019 - 2020,,,,,,,720,"8,700.00",12.08,,,
,19. Khordha,2000 - 2001,,,,,,,10,20,2,,,
,,2001 - 2002,,,,,,,20,40,2,,,
,,2002 - 2003,,,,,,,550,"1,000.00",1.82,,,
,,2003 - 2004,,,,,,,350,640,1.83,,,
,,2004 - 2005,,,,,,,367,668,1.82,,,
,,2019 - 2020,,,,,,,350,"3,800.00",10.86,,,
,20. Koraput,2000 - 2001,,,,,,,"1,040.00","2,150.00",2.07,,,
,,2001 - 2002,,,,,,,"1,260.00","2,590.00",2.06,,,
,,2002 - 2003,,,,,,,"1,250.00","2,520.00",2.02,,,
,,2003 - 2004,,,,,,,"2,040.00","4,100.00",2.01,,,
,,2004 - 2005,,,,,,,"2,180.00","4,386.00",2.01,,,
,,2019 - 2020,,,,,,,"3,780.00","49,090.00",12.99,,,
,21. Malkangiri,2000 - 2001,,,,,,,130,230,1.77,,,
,,2001 - 2002,,,,,,,250,450,1.8,,,
,,2002 - 2003,,,,,,,250,470,1.88,,,
,,2003 - 2004,,,,,,,180,340,1.89,,,
,,2004 - 2005,,,,,,,244,461,1.89,,,
,,2019 - 2020,,,,,,,250,"2,560.00",10.24,,,
,22. Mayurbhanj,2000 - 2001,,,,,,,"1,180.00","2,430.00",2.06,,,
,,2001 - 2002,,,,,,,890,"1,840.00",2.07,,,
,,2002 - 2003,,,,,,,600,"1,070.00",1.78,,,
,,2003 - 2004,,,,,,,550,980,1.78,,,
,,2004 - 2005,,,,,,,585,"1,041.00",1.78,,,
,,2019 - 2020,,,,,,,470,"5,760.00",12.26,,,
,23. Nabarangpur,2000 - 2001,,,,,,,100,190,1.9,,,
,,2001 - 2002,,,,,,,220,410,1.86,,,
,,2002 - 2003,,,,,,,140,260,1.86,,,
,,2003 - 2004,,,,,,,140,260,1.86,,,
,,2004 - 2005,,,,,,,129,239,1.85,,,
,,2019 - 2020,,,,,,,280,"3,900.00",13.93,,,
,24. Nayagarh,2000 - 2001,,,,,,,130,230,1.77,,,
,,2001 - 2002,,,,,,,150,270,1.8,,,
,,2002 - 2003,,,,,,,860,"1,570.00",1.83,,,
,,2003 - 2004,,,,,,,460,840,1.83,,,
,,2004 - 2005,,,,,,,486,889,1.83,,,
,,2019 - 2020,,,,,,,80,"1,070.00",13.38,,,
,25. Nuapada,2000 - 2001,,,,,,,40,70,1.75,,,
,,2001 - 2002,,,,,,,80,130,1.63,,,
,,2002 - 2003,,,,,,,80,140,1.75,,,
,,2003 - 2004,,,,,,,160,290,1.81,,,
,,2004 - 2005,,,,,,,125,225,1.8,,,
,,2019 - 2020,,,,,,,130,"1,760.00",13.54,,,
,26. Puri,2000 - 2001,,,,,,,20,80,4,,,
,,2001 - 2002,,,,,,,20,40,2,,,
,,2002 - 2003,,,,,,,20,40,2,,,
,,2003 - 2004,,,,,,,30,40,1.33,,,
,,2004 - 2005,,,,,,,33,57,1.73,,,
,,2019 - 2020,,,,,,,50,700,14,,,
,27. Rayagada,2000 - 2001,,,,,,,260,470,1.81,,,
,,2001 - 2002,,,,,,,480,860,1.79,,,
,,2002 - 2003,,,,,,,480,910,1.9,,,
,,2003 - 2004,,,,,,,250,470,1.88,,,
,,2004 - 2005,,,,,,,294,555,1.89,,,
,,2019 - 2020,,,,,,,630,"8,950.00",14.21,,,
,28. Sambalpur,2000 - 2001,,,,,,,410,790,1.93,,,
,,2001 - 2002,,,,,,,430,830,1.93,,,
,,2002 - 2003,,,,,,,580,"1,100.00",1.9,,,
,,2003 - 2004,,,,,,,600,"1,130.00",1.88,,,
,,2004 - 2005,,,,,,,697,"1,317.00",1.89,,,
,,2019 - 2020,,,,,,,390,"5,850.00",15,,,
,29. Sonepur,2001 - 2002,,,,,,,80,150,1.88,,,
,,2002 - 2003,,,,,,,10,10,1,,,
,,2003 - 2004,,,,,,,20,20,1,,,
,,2004 - 2005,,,,,,,22,26,1.18,,,
,,2019 - 2020,,,,,,,50,760,15.2,,,
,30. Sundargarh,2000 - 2001,,,,,,,590,"1,180.00",2,,,
,,2001 - 2002,,,,,,,610,"1,230.00",2.02,,,
,,2002 - 2003,,,,,,,730,"1,380.00",1.89,,,
,,2003 - 2004,,,,,,,530,"1,000.00",1.89,,,
,,2004 - 2005,,,,,,,552,"1,044.00",1.89,,,
,,2019 - 2020,,,,,,,800,"11,200.00",14,,,
17. Puducherry,1. Karaikal,2000 - 2001,,,,,,,103,52,0.5,,,
,,2001 - 2002,,,,,,,38,4,0.11,,,
,,2003 - 2004,,,,,,,38,4,0.11,,,
,2. Mahe,2000 - 2001,,,,,,,21,13,0.62,,,
,3. Pondicherry,2000 - 2001,,,,,,,103,52,0.5,,,
,,2001 - 2002,,,,,,,133,85,0.64,,,
,,2003 - 2004,,,,,,,149,152,1.02,,,
18. Rajasthan,1. Ajmer,2021 - 2022,4,10,2.5,,,,,,,,,
,2. Alwar,2003 - 2004,,,,,,,1,1,1,,,
,,2020 - 2021,10,20,2,,,,,,,,,
,3. Banswara,2001 - 2002,,,,,,,2,1,0.5,,,
,,2007 - 2008,,,,,,,1,,0,,,
,,2008 - 2009,,,,,,,13,4,0.31,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,4. Baran,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,5,5,1,,,
,,2002 - 2003,,,,,,,4,2,0.5,,,
,,2003 - 2004,,,,,,,2,4,2,,,
,,2004 - 2005,,,,,,,4,16,4,,,
,,2005 - 2006,,,,,,,10,33,3.3,,,
,,2006 - 2007,,,,,,,24,63,2.63,,,
,,2007 - 2008,,,,,,,17,37,2.18,,,
,,2008 - 2009,,,,,,,9,25,2.78,,,
,,2009 - 2010,,,,,,,9,30,3.33,,,
,,2010 - 2011,,,,,,,27,33,1.22,,,
,,2011 - 2012,,,,,,,12,20,1.67,,,
,,2012 - 2013,,,,,,,5,4,0.8,,,
,,2013 - 2014,,,,,,,3,4,1.33,,,
,,2014 - 2015,,,,,,,1,,0,,,
,,2021 - 2022,4,8,2,,,,,,,,,
,,2022 - 2023,3,0,0,,,,,,,,,
,5. Bhilwara,2013 - 2014,,,,,,,1,,0,,,
,6. Chittorgarh,2006 - 2007,,,,,,,1,,0,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,,2015 - 2016,1,2,2,,,,,,,,,
,,2016 - 2017,1,2,2,,,,,,,,,
,7. Dungarpur,2000 - 2001,,,,,,,14,9,0.64,,,
,,2001 - 2002,,,,,,,2,12,6,,,
,,2002 - 2003,,,,,,,4,24,6,,,
,,2003 - 2004,,,,,,,2,12,6,,,
,,2004 - 2005,,,,,,,3,18,6,,,
,,2006 - 2007,,,,,,,1,6,6,,,
,,2008 - 2009,,,,,,,25,126,5.04,,,
,,2009 - 2010,,,,,,,25,126,5.04,,,
,,2010 - 2011,,,,,,,24,144,6,,,
,,2011 - 2012,,,,,,,9,42,4.67,,,
,,2012 - 2013,,,,,,,10,60,6,,,
,,2013 - 2014,,,,,,,13,72,5.54,,,
,,2014 - 2015,,,,,,,10,60,6,,,
,,2015 - 2016,19,114,6,,,,,,,,,
,,2016 - 2017,16,96,6,,,,,,,,,
,,2017 - 2018,12,72,6,,,,,,,,,
,,2018 - 2019,47,282,6,,,,,,,,,
,,2019 - 2020,28,120,4.29,,,,,,,,,
,,2020 - 2021,38,228,6,,,,,,,,,
,,2021 - 2022,36,186,5.17,,,,,,,,,
,,2022 - 2023,10,18,1.8,,,,,,,,,
,8. Jhalawar,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,1,1,1,,,
,,2005 - 2006,,,,,,,1,1,1,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,,2015 - 2016,1,,0,,,,,,,,,
,,2021 - 2022,2,0,0,,,,,,,,,
,9. Kota,2003 - 2004,,,,,,,3,5,1.67,,,
,,2014 - 2015,,,,,,,5,15,3,,,
,,2021 - 2022,1,0,0,,,,,,,,,
,10. Pratapgarh,2008 - 2009,,,,,,,2,,0,,,
,,2016 - 2017,8,12,1.5,,,,,,,,,
,,2017 - 2018,10,15,1.5,,,,,,,,,
,,2018 - 2019,8,12,1.5,,,,,,,,,
,,2019 - 2020,8,5,0.63,,,,,,,,,
,,2020 - 2021,15,23,1.53,,,,,,,,,
,,2021 - 2022,4,6,1.5,,,,,,,,,
,,2022 - 2023,3,3,1,,,,,,,,,
,11. Rajsamand,2012 - 2013,,,,,,,1,1,1,,,
,12. Sawai madhopur,2007 - 2008,,,,,,,1,,0,,,
,13. Udaipur,2000 - 2001,,,,,,,345,970,2.81,,,
,,2001 - 2002,,,,,,,251,"1,083.00",4.31,,,
,,2002 - 2003,,,,,,,173,614,3.55,,,
,,2003 - 2004,,,,,,,127,561,4.42,,,
,,2004 - 2005,,,,,,,79,140,1.77,,,
,,2005 - 2006,,,,,,,94,175,1.86,,,
,,2006 - 2007,,,,,,,122,107,0.88,,,
,,2007 - 2008,,,,,,,112,224,2,,,
,,2008 - 2009,,,,,,,114,207,1.82,,,
,,2009 - 2010,,,,,,,133,316,2.38,,,
,,2010 - 2011,,,,,,,159,282,1.77,,,
,,2011 - 2012,,,,,,,185,,0,,,
,,2012 - 2013,,,,,,,148,251,1.7,,,
,,2013 - 2014,,,,,,,106,170,1.6,,,
,,2014 - 2015,,,,,,,103,154,1.5,,,
,,2015 - 2016,109,173,1.59,,,,,,,,,
,,2016 - 2017,84,155,1.85,,,,,,,,,
,,2017 - 2018,91,182,2,,,,,,,,,
,,2018 - 2019,82,166,2.02,,,,,,,,,
,,2019 - 2020,71,248,3.49,,,,,,,,,
,,2020 - 2021,31,48,1.55,,,,,,,,,
,,2021 - 2022,63,124,1.97,,,,,,,,,
,,2022 - 2023,54,75,1.39,,,,,,,,,
19. Tamil Nadu,1. Chengalpattu,2021 - 2022,0.1,3,30,,,,,,,,,
,2. Coimbatore,2004 - 2005,,,,,,,1,19,19,,,
,,2008 - 2009,2,40,20,,,,,,,,,
,,2009 - 2010,2,32,16,,,,,,,,,
,,2011 - 2012,1,11,11,,,,,,,,,
,,2014 - 2015,5,21,4.2,,,,,,,,,
,,2015 - 2016,4,35,8.75,,,,,,,,,
,,2016 - 2017,2,43,21.5,,,,,,,,,
,,2017 - 2018,12,234,19.5,,,,,,,,,
,,2018 - 2019,12,232,19.33,,,,,,,,,
,,2019 - 2020,15,231,15.4,,,,,,,,,
,,2020 - 2021,22,411,18.68,,,,,,,,,
,,2021 - 2022,16,593,37.06,,,,,,,,,
,,2022 - 2023,11,347,31.55,,,,,,,,,
,3. Dharmapuri,2002 - 2003,1,16,16,,,,,,,,,
,,2015 - 2016,1,9,9,,,,,,,,,
,4. Dindigul,2000 - 2001,,,,,,,27,715,26.48,,,
,,2002 - 2003,2,32,16,,,,,,,,,
,,2003 - 2004,,,,,,,5,71,14.2,,,
,,2004 - 2005,,,,,,,3,58,19.33,,,
,,2005 - 2006,,,,,,,2,39,19.5,,,
,,2006 - 2007,2,37,18.5,,,,,,,,,
,,2007 - 2008,3,56,18.67,,,,,,,,,
,,2008 - 2009,16,320,20,,,,,,,,,
,,2009 - 2010,17,273,16.06,,,,,,,,,
,,2011 - 2012,1,11,11,,,,,,,,,
,,2016 - 2017,1,26,26,,,,,,,,,
,,2017 - 2018,1,20,20,,,,,,,,,
,,2018 - 2019,1,25,25,,,,,,,,,
,,2020 - 2021,5,90,18,,,,,,,,,
,,2021 - 2022,5,118,23.6,,,,,,,,,
,,2022 - 2023,5,120,24,,,,,,,,,
,5. Erode,2000 - 2001,,,,,,,4,106,26.5,,,
,,2005 - 2006,,,,,,,3,58,19.33,,,
,,2006 - 2007,11,205,18.64,,,,,,,,,
,,2007 - 2008,14,267,19.07,,,,,,,,,
,,2008 - 2009,5,100,20,,,,,,,,,
,,2009 - 2010,3,48,16,,,,,,,,,
