State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,200,"1,600.00",8,,,,,,,,,
,,2010 - 2011,115,920,8,,,,,,,,,
,,2011 - 2012,118,950,8.05,,,,,,,,,
,,2012 - 2013,120,980,8.17,,,,,,,,,
,,2013 - 2014,120,980,8.17,,,,,,,,,
,,2014 - 2015,63,"1,270.00",20.16,,,,,,,,,
,,2015 - 2016,63,297,4.71,,,,,,,,,
,,2016 - 2017,63,317,5.03,,,,,,,,,
,,2017 - 2018,67,317,4.73,,,,,,,,,
,,2018 - 2019,67,323,4.82,,,,,,,,,
,,2019 - 2020,68,323,4.75,,,,,,,,,
,,2020 - 2021,68,328,4.82,,,,,,,,,
,,2021 - 2022,69,358,5.19,,,,,,,,,
,,2022 - 2023,75,389,5.19,,,,,,,,,
,2. Changlang,2000 - 2001,437,"2,308.00",5.28,,,,,,,,,
,,2001 - 2002,477,"2,242.00",4.7,,,,,,,,,
,,2002 - 2003,450,"2,475.00",5.5,,,,,,,,,
,,2003 - 2004,425,"2,402.00",5.65,,,,,,,,,
,,2004 - 2005,20,145,7.25,,,,,,,,,
,,2005 - 2006,475,"2,707.00",5.7,,,,,,,,,
,,2006 - 2007,322,"1,752.00",5.44,,,,,,,,,
,,2007 - 2008,483,"3,043.00",6.3,,,,,,,,,
,,2008 - 2009,494,"3,531.00",7.15,,,,,,,,,
,,2009 - 2010,530,"3,816.00",7.2,,,,,,,,,
,,2010 - 2011,560,"4,032.00",7.2,,,,,,,,,
,,2011 - 2012,577,"4,163.00",7.21,,,,,,,,,
,,2012 - 2013,500,"3,865.00",7.73,,,,,,,,,
,,2013 - 2014,505,"3,904.00",7.73,,,,,,,,,
,,2014 - 2015,592,"4,194.00",7.08,,,,,,,,,
,,2015 - 2016,572,"4,238.00",7.41,,,,,,,,,
,,2016 - 2017,572,"4,238.00",7.41,,,,,,,,,
,,2017 - 2018,576,"4,177.00",7.25,,,,,,,,,
,,2018 - 2019,576,"4,183.00",7.26,,,,,,,,,
,,2019 - 2020,577,"4,183.00",7.25,,,,,,,,,
,,2020 - 2021,577,"4,188.00",7.26,,,,,,,,,
,,2021 - 2022,592,"4,332.00",7.32,,,,,,,,,
,,2022 - 2023,606,"4,437.00",7.32,,,,,,,,,
,3. Dibang valley,2000 - 2001,"2,415.00","16,905.00",7,,,,,,,,,
,,2001 - 2002,"2,420.00","21,780.00",9,,,,,,,,,
,,2002 - 2003,3,50,16.67,,,,,,,,,
,,2003 - 2004,10,80,8,,,,,,,,,
