State,District,Year,Tapioca,,,,,,,,
,,2015 - 2016,368,"4,248.00",11.54,,,,,,
,,2016 - 2017,446,"5,151.00",11.55,,,,,,
,,2017 - 2018,370,"4,276.00",11.56,,,,,,
,,2018 - 2019,364,"4,097.00",11.26,,,,,,
,,2019 - 2020,384,"3,571.00",9.3,,,,,,
,,2020 - 2021,296,"3,345.00",11.3,,,,,,
,,2021 - 2022,307,"3,469.00",11.3,,,,,,
,,2022 - 2023,275,"3,131.00",11.39,,,,,,
,21. Karimganj,2000 - 2001,6,26,4.33,,,,,,
,,2001 - 2002,6,26,4.33,,,,,,
,,2005 - 2006,5,22,4.4,,,,,,
,,2009 - 2010,1,4,4,,,,,,
,,2011 - 2012,1,10,10,,,,,,
,,2012 - 2013,1,9,9,,,,,,
,22. Kokrajhar,2000 - 2001,852,"4,077.00",4.79,,,,,,
,,2001 - 2002,885,"4,235.00",4.79,,,,,,
,,2002 - 2003,869,"4,158.00",4.78,,,,,,
,,2003 - 2004,903,"4,321.00",4.79,,,,,,
,,2005 - 2006,802,"3,837.00",4.78,,,,,,
,,2006 - 2007,726,"3,474.00",4.79,,,,,,
,,2007 - 2008,736,"3,522.00",4.79,,,,,,
,,2008 - 2009,736,"3,522.00",4.79,,,,,,
,,2009 - 2010,746,"3,570.00",4.79,,,,,,
,,2010 - 2011,736,"3,522.00",4.79,,,,,,
,,2011 - 2012,730,"7,297.00",10,,,,,,
,,2012 - 2013,785,"8,046.00",10.25,,,,,,
,,2013 - 2014,748,"7,668.00",10.25,,,,,,
,,2014 - 2015,825,"9,224.00",11.18,,,,,,
,,2015 - 2016,872,"9,758.00",11.19,,,,,,
,,2016 - 2017,790,"8,841.00",11.19,,,,,,
,,2017 - 2018,694,"7,791.00",11.23,,,,,,
,,2018 - 2019,705,"7,810.00",11.08,,,,,,
,,2019 - 2020,697,"9,200.00",13.2,,,,,,
,,2020 - 2021,659,"7,318.00",11.1,,,,,,
,,2021 - 2022,707,"7,851.00",11.1,,,,,,
,,2022 - 2023,387,"4,306.00",11.13,,,,,,
,23. Lakhimpur,2000 - 2001,30,128,4.27,,,,,,
,,2001 - 2002,28,119,4.25,,,,,,
,,2002 - 2003,28,119,4.25,,,,,,
,,2003 - 2004,25,107,4.28,,,,,,
,,2005 - 2006,31,131,4.23,,,,,,
,,2006 - 2007,31,132,4.26,,,,,,
,,2007 - 2008,27,115,4.26,,,,,,
,,2008 - 2009,207,879,4.25,,,,,,
,,2009 - 2010,26,111,4.27,,,,,,
,,2010 - 2011,127,540,4.25,,,,,,
,,2011 - 2012,53,455,8.58,,,,,,
,,2012 - 2013,49,426,8.69,,,,,,
,,2013 - 2014,42,365,8.69,,,,,,
,,2014 - 2015,22,191,8.68,,,,,,
,,2015 - 2016,23,200,8.7,,,,,,
,,2016 - 2017,23,203,8.83,,,,,,
,,2017 - 2018,48,425,8.85,,,,,,
,,2018 - 2019,96,868,9.04,,,,,,
,,2019 - 2020,47,435,9.26,,,,,,
,,2020 - 2021,40,370,9.25,,,,,,
,,2021 - 2022,57,528,9.26,,,,,,
,,2022 - 2023,35,336,9.6,,,,,,
,24. Majuli,2021 - 2022,1,10,10,,,,,,
,,2022 - 2023,1,10,10,,,,,,
,25. Marigaon,2000 - 2001,10,50,5,,,,,,
,,2001 - 2002,10,50,5,,,,,,
,,2002 - 2003,15,75,5,,,,,,
,,2003 - 2004,15,72,4.8,,,,,,
,,2005 - 2006,20,97,4.85,,,,,,
,,2006 - 2007,6,28,4.67,,,,,,
,,2007 - 2008,6,29,4.83,,,,,,
,,2008 - 2009,3,15,5,,,,,,
,,2009 - 2010,3,14,4.67,,,,,,
,,2010 - 2011,4,19,4.75,,,,,,
,,2011 - 2012,4,28,7,,,,,,
,,2012 - 2013,3,23,7.67,,,,,,
,,2013 - 2014,2,16,8,,,,,,
,,2014 - 2015,27,210,7.78,,,,,,
,,2015 - 2016,25,195,7.8,,,,,,
,,2016 - 2017,20,159,7.95,,,,,,
,,2017 - 2018,15,120,8,,,,,,
,,2018 - 2019,20,179,8.95,,,,,,
,,2019 - 2020,15,139,9.27,,,,,,
,,2020 - 2021,15,139,9.27,,,,,,
,,2021 - 2022,7,65,9.29,,,,,,
,,2022 - 2023,4,38,9.5,,,,,,
,26. Nagaon,2000 - 2001,20,71,3.55,,,,,,
,,2001 - 2002,20,78,3.9,,,,,,
,,2002 - 2003,20,73,3.65,,,,,,
,,2003 - 2004,20,74,3.7,,,,,,
,,2005 - 2006,21,78,3.71,,,,,,
,,2006 - 2007,20,76,3.8,,,,,,
,,2007 - 2008,22,87,3.95,,,,,,
,,2008 - 2009,27,109,4.04,,,,,,
,,2009 - 2010,20,96,4.8,,,,,,
,,2010 - 2011,26,110,4.23,,,,,,
,,2011 - 2012,96,889,9.26,,,,,,
,,2012 - 2013,93,880,9.46,,,,,,
,,2013 - 2014,93,879,9.45,,,,,,
,,2014 - 2015,95,898,9.45,,,,,,
,,2015 - 2016,14,132,9.43,,,,,,
,,2016 - 2017,54,514,9.52,,,,,,
,,2017 - 2018,50,299,5.98,,,,,,
,,2018 - 2019,42,323,7.69,,,,,,
,,2019 - 2020,41,323,7.88,,,,,,
,,2020 - 2021,8,132,16.5,,,,,,
,,2021 - 2022,8,79,9.88,,,,,,
,,2022 - 2023,7,72,10.29,,,,,,
,27. Nalbari,2000 - 2001,310,"2,186.00",7.05,,,,,,
,,2001 - 2002,300,"2,115.00",7.05,,,,,,
,,2002 - 2003,295,"2,080.00",7.05,,,,,,
,,2003 - 2004,270,"1,904.00",7.05,,,,,,
,,2005 - 2006,203,"1,431.00",7.05,,,,,,
,,2006 - 2007,20,141,7.05,,,,,,
,,2007 - 2008,18,127,7.06,,,,,,
,,2008 - 2009,15,115,7.67,,,,,,
,,2009 - 2010,5,36,7.2,,,,,,
,,2010 - 2011,10,73,7.3,,,,,,
,,2011 - 2012,7,68,9.71,,,,,,
,,2012 - 2013,7,69,9.86,,,,,,
,,2013 - 2014,4,40,10,,,,,,
,,2014 - 2015,2,20,10,,,,,,
,,2015 - 2016,3,30,10,,,,,,
,,2016 - 2017,5,51,10.2,,,,,,
,,2017 - 2018,5,52,10.4,,,,,,
,,2018 - 2019,5,42,8.4,,,,,,
,,2019 - 2020,4,35,8.75,,,,,,
,,2020 - 2021,4,35,8.75,,,,,,
,,2022 - 2023,1,12,12,,,,,,
,28. Sivasagar,2000 - 2001,8,32,4,,,,,,
,,2001 - 2002,8,32,4,,,,,,
,,2002 - 2003,8,31,3.88,,,,,,
,,2003 - 2004,12,42,3.5,,,,,,
,,2005 - 2006,12,50,4.17,,,,,,
,,2006 - 2007,12,42,3.5,,,,,,
,,2007 - 2008,11,41,3.73,,,,,,
,,2008 - 2009,11,39,3.55,,,,,,
,,2009 - 2010,3,9,3,,,,,,
,,2010 - 2011,9,37,4.11,,,,,,
,,2011 - 2012,13,126,9.69,,,,,,
,,2012 - 2013,15,149,9.93,,,,,,
,,2013 - 2014,14,139,9.93,,,,,,
,,2014 - 2015,14,139,9.93,,,,,,
,,2015 - 2016,14,139,9.93,,,,,,
,,2016 - 2017,14,140,10,,,,,,
,,2017 - 2018,18,131,7.28,,,,,,
,,2018 - 2019,16,140,8.75,,,,,,
,,2019 - 2020,15,135,9,,,,,,
,,2020 - 2021,8,72,9,,,,,,
,,2021 - 2022,10,90,9,,,,,,
,,2022 - 2023,8,72,9,,,,,,
,29. Sonitpur,2000 - 2001,109,498,4.57,,,,,,
,,2001 - 2002,108,491,4.55,,,,,,
,,2002 - 2003,110,504,4.58,,,,,,
,,2003 - 2004,141,645,4.57,,,,,,
,,2005 - 2006,144,658,4.57,,,,,,
,,2006 - 2007,139,635,4.57,,,,,,
,,2007 - 2008,139,636,4.58,,,,,,
,,2008 - 2009,146,667,4.57,,,,,,
,,2009 - 2010,147,672,4.57,,,,,,
,,2010 - 2011,163,745,4.57,,,,,,
,,2011 - 2012,157,"1,363.00",8.68,,,,,,
,,2012 - 2013,309,"2,714.00",8.78,,,,,,
,,2013 - 2014,294,"2,582.00",8.78,,,,,,
,,2014 - 2015,292,"2,568.00",8.79,,,,,,
,,2015 - 2016,302,"2,656.00",8.79,,,,,,
,,2016 - 2017,292,"2,573.00",8.81,,,,,,
,,2017 - 2018,293,"2,585.00",8.82,,,,,,
,,2018 - 2019,275,"2,443.00",8.88,,,,,,
,,2019 - 2020,306,"2,766.00",9.04,,,,,,
,,2020 - 2021,187,"2,182.00",11.67,,,,,,
,,2021 - 2022,177,"2,066.00",11.67,,,,,,
,,2022 - 2023,176,"2,067.00",11.74,,,,,,
,30. South salmara mancachar,2020 - 2021,4,38,9.5,,,,,,
,,2021 - 2022,5,48,9.6,,,,,,
,,2022 - 2023,7,73,10.43,,,,,,
,31. Tinsukia,2000 - 2001,44,176,4,,,,,,
,,2001 - 2002,51,204,4,,,,,,
,,2002 - 2003,54,216,4,,,,,,
,,2003 - 2004,70,280,4,,,,,,
,,2005 - 2006,66,264,4,,,,,,
,,2006 - 2007,56,224,4,,,,,,
,,2007 - 2008,37,148,4,,,,,,
,,2008 - 2009,38,152,4,,,,,,
,,2009 - 2010,54,216,4,,,,,,
,,2010 - 2011,44,176,4,,,,,,
,,2011 - 2012,23,207,9,,,,,,
,,2012 - 2013,19,158,8.32,,,,,,
,,2013 - 2014,28,234,8.36,,,,,,
,,2014 - 2015,31,258,8.32,,,,,,
,,2015 - 2016,32,267,8.34,,,,,,
,,2016 - 2017,30,216,7.2,,,,,,
,,2017 - 2018,30,217,7.23,,,,,,
,,2018 - 2019,32,272,8.5,,,,,,
,,2019 - 2020,31,272,8.77,,,,,,
,,2020 - 2021,30,264,8.8,,,,,,
,,2021 - 2022,34,299,8.79,,,,,,
,,2022 - 2023,40,370,9.25,,,,,,
,32. Udalguri,2005 - 2006,185,786,4.25,,,,,,
,,2006 - 2007,197,837,4.25,,,,,,
,,2007 - 2008,187,795,4.25,,,,,,
,,2008 - 2009,223,948,4.25,,,,,,
,,2009 - 2010,257,"1,092.00",4.25,,,,,,
,,2010 - 2011,266,"1,131.00",4.25,,,,,,
,,2011 - 2012,276,"2,271.00",8.23,,,,,,
,,2012 - 2013,270,"2,252.00",8.34,,,,,,
,,2013 - 2014,240,"2,278.00",9.49,,,,,,
,,2014 - 2015,297,"2,820.00",9.49,,,,,,
,,2015 - 2016,216,"2,066.00",9.56,,,,,,
,,2016 - 2017,250,"2,394.00",9.58,,,,,,
,,2017 - 2018,265,"2,541.00",9.59,,,,,,
,,2018 - 2019,266,"2,534.00",9.53,,,,,,
,,2019 - 2020,265,"2,585.00",9.75,,,,,,
,,2020 - 2021,260,"2,486.00",9.56,,,,,,
,,2021 - 2022,296,"2,830.00",9.56,,,,,,
,,2022 - 2023,279,"3,219.00",11.54,,,,,,
,33. West karbi anglong,2020 - 2021,92,"1,040.00",11.3,,,,,,
,,2021 - 2022,88,994,11.3,,,,,,
,,2022 - 2023,88,869,9.88,,,,,,
4. Karnataka,1. Bagalkot,2018 - 2019,1,13,13,,,,,,
,,2019 - 2020,23,292,12.7,,,,,,
,,2020 - 2021,6,77,12.83,,,,,,
,,2022 - 2023,14,160,11.43,,,,,,
,2. Bangalore rural,2000 - 2001,173,"1,260.00",7.28,,,,,,
,,2002 - 2003,245,"1,804.00",7.36,,,,,,
,,2003 - 2004,207,"1,518.00",7.33,,,,,,
,,2004 - 2005,215,"1,579.00",7.34,,,,,,
,,2005 - 2006,10,73,7.3,,,,,,
,,2006 - 2007,3,22,7.33,,,,,,
,,2007 - 2008,6,44,7.33,,,,,,
,,2008 - 2009,3,29,9.67,,,,,,
,,2009 - 2010,5,46,9.2,,,,,,
,,2010 - 2011,5,55,11,,,,,,
,,2011 - 2012,9,95,10.56,,,,,,
,,2012 - 2013,2,21,10.5,,,,,,
,,2013 - 2014,4,35,8.75,,,,,,
,,2014 - 2015,6,54,9,,,,,,
,,2015 - 2016,10,75,7.5,,,,,,
,,2016 - 2017,19,115,6.05,,,,,,
,,2017 - 2018,29,243,8.38,,,,,,
,,2018 - 2019,4,53,13.25,,,,,,
,,2019 - 2020,11,140,12.73,,,,,,
,,2020 - 2021,20,257,12.85,,,,,,
,,2021 - 2022,6,76,12.67,,,,,,
,,2022 - 2023,1,20,20,,,,,,
,3. Belgaum,2012 - 2013,2,21,10.5,,,,,,
,,2013 - 2014,51,446,8.75,,,,,,
,,2015 - 2016,440,"3,294.00",7.49,,,,,,
,,2019 - 2020,42,533,12.69,,,,,,
,,2020 - 2021,5,64,12.8,,,,,,
,,2021 - 2022,38,494,13,,,,,,
,,2022 - 2023,24,278,11.58,,,,,,
,4. Bellary,2018 - 2019,3,40,13.33,,,,,,
,,2021 - 2022,1,13,13,,,,,,
,5. Bengaluru urban,2014 - 2015,1,9,9,,,,,,
,,2018 - 2019,4,53,13.25,,,,,,
,,2019 - 2020,7,89,12.71,,,,,,
,,2020 - 2021,5,64,12.8,,,,,,
,,2021 - 2022,4,51,12.75,,,,,,
,6. Bidar,2018 - 2019,6,80,13.33,,,,,,
,,2019 - 2020,28,356,12.71,,,,,,
,,2020 - 2021,54,693,12.83,,,,,,
,,2021 - 2022,20,254,12.7,,,,,,
,7. Bijapur,2019 - 2020,2,25,12.5,,,,,,
,,2020 - 2021,17,218,12.82,,,,,,
,,2021 - 2022,4,51,12.75,,,,,,
,8. Chamarajanagar,2009 - 2010,2,19,9.5,,,,,,
,,2014 - 2015,15,135,9,,,,,,
,,2015 - 2016,42,314,7.48,,,,,,
,,2017 - 2018,36,301,8.36,,,,,,
,,2018 - 2019,98,"1,302.00",13.29,,,,,,
,,2019 - 2020,70,911,13.01,,,,,,
,,2020 - 2021,39,492,12.62,,,,,,
,,2021 - 2022,26,345,13.27,,,,,,
,,2022 - 2023,7,82,11.71,,,,,,
,9. Chikballapur,2018 - 2019,2,27,13.5,,,,,,
,,2022 - 2023,2,23,11.5,,,,,,
,10. Chikmagalur,2000 - 2001,22,239,10.86,,,,,,
,,2002 - 2003,32,348,10.88,,,,,,
,,2003 - 2004,39,424,10.87,,,,,,
,,2004 - 2005,36,391,10.86,,,,,,
,,2005 - 2006,20,217,10.85,,,,,,
,,2006 - 2007,20,217,10.85,,,,,,
,,2007 - 2008,18,196,10.89,,,,,,
,,2008 - 2009,18,175,9.72,,,,,,
,,2009 - 2010,20,185,9.25,,,,,,
,,2010 - 2011,15,166,11.07,,,,,,
,,2011 - 2012,15,158,10.53,,,,,,
,,2012 - 2013,14,148,10.57,,,,,,
,,2018 - 2019,72,957,13.29,,,,,,
,,2019 - 2020,3,38,12.67,,,,,,
,,2020 - 2021,1,13,13,,,,,,
,,2021 - 2022,7,89,12.71,,,,,,
,,2022 - 2023,2,14,7,,,,,,
,11. Chitradurga,2021 - 2022,19,241,12.68,,,,,,
,12. Dakshin kannad,2000 - 2001,715,"5,612.00",7.85,,,,,,
,,2002 - 2003,703,"5,518.00",7.85,,,,,,
,,2003 - 2004,703,"5,518.00",7.85,,,,,,
,,2004 - 2005,698,"5,478.00",7.85,,,,,,
,,2005 - 2006,699,"5,486.00",7.85,,,,,,
,,2006 - 2007,663,"5,204.00",7.85,,,,,,
,,2007 - 2008,661,"5,188.00",7.85,,,,,,
,,2008 - 2009,646,"6,383.00",9.88,,,,,,
,,2009 - 2010,638,"5,910.00",9.26,,,,,,
,,2010 - 2011,613,"6,663.00",10.87,,,,,,
,,2011 - 2012,597,"6,632.00",11.11,,,,,,
,,2012 - 2013,572,"6,354.00",11.11,,,,,,
,,2013 - 2014,534,"4,367.00",8.18,,,,,,
,,2014 - 2015,541,"4,620.00",8.54,,,,,,
,,2015 - 2016,542,"3,593.00",6.63,,,,,,
,,2016 - 2017,432,"1,924.00",4.45,,,,,,
,,2017 - 2018,432,"3,169.00",7.34,,,,,,
,,2018 - 2019,2,24,12,,,,,,
,,2019 - 2020,1,13,13,,,,,,
,,2020 - 2021,3,39,13,,,,,,
,,2021 - 2022,2,25,12.5,,,,,,
,,2022 - 2023,3,36,12,,,,,,
,13. Davangere,2021 - 2022,1,13,13,,,,,,
,14. Dharwad,2019 - 2020,32,406,12.69,,,,,,
,,2020 - 2021,21,270,12.86,,,,,,
,,2021 - 2022,10,127,12.7,,,,,,
,,2022 - 2023,36,324,9,,,,,,
,15. Gadag,2017 - 2018,4,33,8.25,,,,,,
,,2018 - 2019,7,93,13.29,,,,,,
,,2019 - 2020,54,686,12.7,,,,,,
,,2020 - 2021,1,13,13,,,,,,
,,2021 - 2022,4,51,12.75,,,,,,
,,2022 - 2023,37,447,12.08,,,,,,
,16. Gulbarga,2018 - 2019,9,120,13.33,,,,,,
,,2019 - 2020,78,990,12.69,,,,,,
,,2020 - 2021,70,840,12,,,,,,
,,2021 - 2022,11,136,12.36,,,,,,
,,2022 - 2023,84,"1,064.00",12.67,,,,,,
,17. Hassan,2012 - 2013,57,602,10.56,,,,,,
,,2015 - 2016,36,270,7.5,,,,,,
,,2016 - 2017,24,146,6.08,,,,,,
,,2017 - 2018,25,209,8.36,,,,,,
,,2018 - 2019,22,292,13.27,,,,,,
,,2019 - 2020,81,"1,029.00",12.7,,,,,,
,,2020 - 2021,101,"1,267.00",12.54,,,,,,
,,2021 - 2022,36,497,13.81,,,,,,
,,2022 - 2023,44,536,12.18,,,,,,
,18. Haveri,2019 - 2020,1,13,13,,,,,,
,,2020 - 2021,4,51,12.75,,,,,,
,,2021 - 2022,1,13,13,,,,,,
,19. Kodagu,2000 - 2001,2,40,20,,,,,,
,,2002 - 2003,5,101,20.2,,,,,,
,,2003 - 2004,7,141,20.14,,,,,,
,,2004 - 2005,9,181,20.11,,,,,,
,,2005 - 2006,30,604,20.13,,,,,,
,,2006 - 2007,35,705,20.14,,,,,,
,,2007 - 2008,22,443,20.14,,,,,,
,,2008 - 2009,25,292,11.68,,,,,,
,,2009 - 2010,24,322,13.42,,,,,,
,,2010 - 2011,134,"1,590.00",11.87,,,,,,
,,2011 - 2012,139,"1,136.00",8.17,,,,,,
,,2012 - 2013,130,"1,063.00",8.18,,,,,,
,,2013 - 2014,123,"1,379.00",11.21,,,,,,
,,2014 - 2015,114,"1,263.00",11.08,,,,,,
,,2015 - 2016,127,"1,415.00",11.14,,,,,,
,,2016 - 2017,127,"1,466.00",11.54,,,,,,
,,2017 - 2018,127,"1,508.00",11.87,,,,,,
,,2018 - 2019,60,800,13.33,,,,,,
,,2019 - 2020,50,613,12.26,,,,,,
,,2020 - 2021,80,983,12.29,,,,,,
,,2021 - 2022,74,"1,005.00",13.58,,,,,,
,,2022 - 2023,81,"1,220.00",15.06,,,,,,
,20. Kolar,2018 - 2019,3,40,13.33,,,,,,
,,2019 - 2020,3,38,12.67,,,,,,
,,2020 - 2021,1,13,13,,,,,,
,,2022 - 2023,2,23,11.5,,,,,,
,21. Koppal,2019 - 2020,12,152,12.67,,,,,,
,,2020 - 2021,5,64,12.8,,,,,,
,,2021 - 2022,12,152,12.67,,,,,,
,,2022 - 2023,19,217,11.42,,,,,,
,22. Mandya,2004 - 2005,4,32,8,,,,,,
,,2012 - 2013,26,275,10.58,,,,,,
,,2013 - 2014,2,17,8.5,,,,,,
,,2014 - 2015,2,18,9,,,,,,
,,2015 - 2016,1,7,7,,,,,,
,,2018 - 2019,1,13,13,,,,,,
,,2020 - 2021,1,13,13,,,,,,
,23. Mysore,2006 - 2007,15,126,8.4,,,,,,
,,2008 - 2009,110,906,8.24,,,,,,
,,2009 - 2010,115,965,8.39,,,,,,
,,2010 - 2011,13,144,11.08,,,,,,
,,2011 - 2012,23,243,10.57,,,,,,
,,2012 - 2013,33,349,10.58,,,,,,
,,2013 - 2014,2,17,8.5,,,,,,
,,2014 - 2015,3,27,9,,,,,,
,,2015 - 2016,20,150,7.5,,,,,,
,,2016 - 2017,16,97,6.06,,,,,,
,,2017 - 2018,18,151,8.39,,,,,,
,,2018 - 2019,220,"2,923.00",13.29,,,,,,
,,2019 - 2020,322,"4,089.00",12.7,,,,,,
,,2020 - 2021,888,"11,540.00",13,,,,,,
,,2021 - 2022,185,"2,315.00",12.51,,,,,,
,,2022 - 2023,194,"2,014.00",10.38,,,,,,
,24. Raichur,2020 - 2021,2,26,13,,,,,,
,,2021 - 2022,3,38,12.67,,,,,,
,25. Ramanagara,2007 - 2008,2,15,7.5,,,,,,
,,2008 - 2009,4,39,9.75,,,,,,
,,2009 - 2010,4,37,9.25,,,,,,
,,2010 - 2011,9,99,11,,,,,,
,,2011 - 2012,5,53,10.6,,,,,,
,,2012 - 2013,2,21,10.5,,,,,,
,,2013 - 2014,4,35,8.75,,,,,,
,,2014 - 2015,18,162,9,,,,,,
,,2015 - 2016,2,15,7.5,,,,,,
,,2016 - 2017,2,12,6,,,,,,
,,2017 - 2018,6,50,8.33,,,,,,
,,2018 - 2019,74,983,13.28,,,,,,
,,2019 - 2020,3,38,12.67,,,,,,
,,2020 - 2021,3,39,13,,,,,,
,,2021 - 2022,4,51,12.75,,,,,,
,,2022 - 2023,2,11,5.5,,,,,,
,26. Shimoga,2000 - 2001,25,163,6.52,,,,,,
,,2002 - 2003,12,78,6.5,,,,,,
,,2003 - 2004,11,72,6.55,,,,,,
,,2004 - 2005,10,65,6.5,,,,,,
,,2005 - 2006,9,59,6.56,,,,,,
,,2006 - 2007,8,52,6.5,,,,,,
,,2010 - 2011,16,177,11.06,,,,,,
,,2011 - 2012,6,63,10.5,,,,,,
,,2018 - 2019,2,27,13.5,,,,,,
,,2019 - 2020,4,51,12.75,,,,,,
,,2020 - 2021,1,13,13,,,,,,
,,2021 - 2022,2,25,12.5,,,,,,
,27. Tumkur,2000 - 2001,20,131,6.55,,,,,,
,,2002 - 2003,12,79,6.58,,,,,,
,,2003 - 2004,24,158,6.58,,,,,,
,,2004 - 2005,28,184,6.57,,,,,,
,,2005 - 2006,15,99,6.6,,,,,,
,,2006 - 2007,11,72,6.55,,,,,,
,,2007 - 2008,3,20,6.67,,,,,,
,,2008 - 2009,6,58,9.67,,,,,,
,,2009 - 2010,14,130,9.29,,,,,,
,,2010 - 2011,20,221,11.05,,,,,,
,,2011 - 2012,19,201,10.58,,,,,,
,,2012 - 2013,11,116,10.55,,,,,,
,,2013 - 2014,20,175,8.75,,,,,,
,,2015 - 2016,25,187,7.48,,,,,,
,,2016 - 2017,36,218,6.06,,,,,,
,,2017 - 2018,22,184,8.36,,,,,,
,,2018 - 2019,41,545,13.29,,,,,,
,,2019 - 2020,8,102,12.75,,,,,,
,,2020 - 2021,15,193,12.87,,,,,,
,,2021 - 2022,24,304,12.67,,,,,,
,,2022 - 2023,25,254,10.16,,,,,,
,28. Udupi,2000 - 2001,73,573,7.85,,,,,,
,,2002 - 2003,69,542,7.86,,,,,,
,,2003 - 2004,67,526,7.85,,,,,,
,,2004 - 2005,66,518,7.85,,,,,,
,,2005 - 2006,58,455,7.84,,,,,,
,,2006 - 2007,60,471,7.85,,,,,,
,,2007 - 2008,62,487,7.85,,,,,,
,,2008 - 2009,60,582,9.7,,,,,,
,,2009 - 2010,59,547,9.27,,,,,,
,,2010 - 2011,54,597,11.06,,,,,,
,,2011 - 2012,47,496,10.55,,,,,,
,,2012 - 2013,43,454,10.56,,,,,,
,,2013 - 2014,32,280,8.75,,,,,,
,,2014 - 2015,30,269,8.97,,,,,,
,,2015 - 2016,32,240,7.5,,,,,,
,,2016 - 2017,31,188,6.06,,,,,,
,,2017 - 2018,32,268,8.38,,,,,,
,,2018 - 2019,2,27,13.5,,,,,,
,,2019 - 2020,6,76,12.67,,,,,,
,,2020 - 2021,5,64,12.8,,,,,,
,29. Uttar kannad,2020 - 2021,2,26,13,,,,,,
,30. Yadgir,2018 - 2019,2,27,13.5,,,,,,
,,2019 - 2020,19,241,12.68,,,,,,
,,2020 - 2021,14,180,12.86,,,,,,
,,2021 - 2022,3,38,12.67,,,,,,
5. Kerala,1. Alappuzha,2000 - 2001,"4,843.00","81,313.00",16.79,,,,,,
,,2001 - 2002,"4,367.00","72,694.00",16.65,,,,,,
,,2002 - 2003,"4,121.00","70,944.00",17.22,,,,,,
,,2003 - 2004,"3,602.00","85,333.00",23.69,,,,,,
,,2004 - 2005,"3,462.00","82,144.00",23.73,,,,,,
,,2005 - 2006,"2,668.00","62,286.00",23.35,,,,,,
,,2006 - 2007,"2,664.00","66,790.00",25.07,,,,,,
,,2007 - 2008,"2,516.00","70,918.00",28.19,,,,,,
,,2008 - 2009,"3,272.00","95,578.00",29.21,,,,,,
,,2009 - 2010,"2,687.00","73,478.00",27.35,,,,,,
,,2010 - 2011,"2,788.49","76,992.07",27.61,,,,,,
,,2011 - 2012,"2,450.86","61,076.79",24.92,,,,,,
,,2012 - 2013,"2,545.00","72,919.00",28.65,,,,,,
,,2013 - 2014,"2,511.00","62,212.00",24.78,,,,,,
,,2014 - 2015,"2,670.00","87,834.00",32.9,,,,,,
,,2015 - 2016,"2,714.59","87,777.19",32.34,,,,,,
,,2016 - 2017,"2,559.00","1,01,377.00",39.62,,,,,,
,,2017 - 2018,"2,488.00","85,719.00",34.45,,,,,,
,,2018 - 2019,"1,855.71","58,912.44",31.75,,,,,,
,,2019 - 2020,"2,212.00","92,015.00",41.6,,,,,,
,,2020 - 2021,"2,223.51","1,12,768.66",50.72,,,,,,
,,2021 - 2022,"1,926.00","82,375.00",42.77,,,,,,
,,2022 - 2023,"1,939.29","80,419.24",41.47,,,,,,
,2. Ernakulam,2000 - 2001,"5,208.00","1,54,559.00",29.68,,,,,,
,,2001 - 2002,"5,777.00","1,43,424.00",24.83,,,,,,
,,2002 - 2003,"5,668.00","1,70,411.00",30.07,,,,,,
,,2003 - 2004,"5,642.00","1,63,782.00",29.03,,,,,,
,,2004 - 2005,"4,415.00","1,30,038.00",29.45,,,,,,
,,2005 - 2006,"5,636.00","1,82,605.00",32.4,,,,,,
,,2006 - 2007,"6,117.00","2,23,441.00",36.53,,,,,,
,,2007 - 2008,"5,148.00","1,78,642.00",34.7,,,,,,
,,2008 - 2009,"5,680.00","2,09,906.00",36.96,,,,,,
,,2009 - 2010,"5,265.00","2,28,343.00",43.37,,,,,,
,,2010 - 2011,"5,484.11","2,21,247.66",40.34,,,,,,
,,2011 - 2012,"6,142.77","2,41,774.09",39.36,,,,,,
,,2012 - 2013,"5,443.00","2,11,550.00",38.87,,,,,,
,,2013 - 2014,"4,975.00","2,05,464.00",41.3,,,,,,
,,2014 - 2015,"5,386.00","2,29,341.00",42.58,,,,,,
,,2015 - 2016,"5,152.19","2,39,194.74",46.43,,,,,,
,,2016 - 2017,"5,415.00","2,29,893.00",42.45,,,,,,
,,2017 - 2018,"5,760.00","2,68,937.00",46.69,,,,,,
,,2018 - 2019,"5,022.10","2,01,364.59",40.1,,,,,,
,,2019 - 2020,"5,313.00","2,81,989.00",53.08,,,,,,
,,2020 - 2021,"6,054.77","3,39,553.73",56.08,,,,,,
,,2021 - 2022,"5,662.00","3,00,866.00",53.14,,,,,,
,,2022 - 2023,"5,475.47","2,73,914.76",50.03,,,,,,
,3. Idukki,2000 - 2001,"7,794.00","2,67,112.00",34.27,,,,,,
,,2001 - 2002,"8,224.00","2,61,523.00",31.8,,,,,,
,,2002 - 2003,"7,806.00","2,49,774.00",32,,,,,,
,,2003 - 2004,"7,350.00","2,74,386.00",37.33,,,,,,
,,2004 - 2005,"5,823.00","2,03,171.00",34.89,,,,,,
,,2005 - 2006,"6,608.00","2,05,293.00",31.07,,,,,,
,,2006 - 2007,"7,141.00","2,30,842.00",32.33,,,,,,
,,2007 - 2008,"6,374.00","2,11,702.00",33.21,,,,,,
,,2008 - 2009,"7,706.00","2,55,284.00",33.13,,,,,,
,,2009 - 2010,"6,032.00","2,13,318.00",35.36,,,,,,
,,2010 - 2011,"6,222.55","2,40,290.03",38.62,,,,,,
