State,District,Year,Sweet potato,,,,,,,,
,,2007 - 2008,79,548,6.94,,,,,,
,,2008 - 2009,87,471,5.41,,,,,,
,,2009 - 2010,85,460,5.41,,,,,,
,,2010 - 2011,81,438,5.41,,,,,,
,,2011 - 2012,140,758,5.41,,,,,,
,,2012 - 2013,84,455,5.42,,,,,,
,,2013 - 2014,83,540,6.51,,,,,,
,,2014 - 2015,76,494,6.5,,,,,,
,,2015 - 2016,84,546,6.5,,,,,,
,,2016 - 2017,98,637,6.5,,,,,,
,,2017 - 2018,60,390,6.5,,,,,,
,,2018 - 2019,43,279,6.49,,,,,,
,,2019 - 2020,26,169,6.5,,,,,,
,,2020 - 2021,9,58,6.44,,,,,,
,,2021 - 2022,7,45,6.43,,,,,,
,,2022 - 2023,2,13,6.5,,,,,,
,20. Korea,2000 - 2001,100,542,5.42,,,,,,
,,2001 - 2002,77,418,5.43,,,,,,
,,2002 - 2003,71,436,6.14,,,,,,
,,2003 - 2004,75,420,5.6,,,,,,
,,2004 - 2005,86,459,5.34,,,,,,
,,2005 - 2006,90,455,5.06,,,,,,
,,2006 - 2007,80,412,5.15,,,,,,
,,2007 - 2008,59,309,5.24,,,,,,
,,2008 - 2009,87,472,5.43,,,,,,
,,2009 - 2010,103,531,5.16,,,,,,
,,2010 - 2011,100,434,4.34,,,,,,
,,2011 - 2012,85,423,4.98,,,,,,
,,2012 - 2013,101,529,5.24,,,,,,
,,2013 - 2014,109,601,5.51,,,,,,
,,2014 - 2015,120,629,5.24,,,,,,
,,2015 - 2016,113,511,4.52,,,,,,
,,2016 - 2017,174,645,3.71,,,,,,
,,2017 - 2018,141,777,5.51,,,,,,
,,2018 - 2019,121,667,5.51,,,,,,
,,2019 - 2020,64,255,3.98,,,,,,
,,2020 - 2021,34,166,4.88,,,,,,
,,2021 - 2022,30,156,5.2,,,,,,
,,2022 - 2023,16,101,6.31,,,,,,
,21. Mahasamund,2000 - 2001,4,21,5.25,,,,,,
,,2001 - 2002,4,18,4.5,,,,,,
,,2002 - 2003,3,12,4,,,,,,
,,2003 - 2004,3,12,4,,,,,,
,,2004 - 2005,2,6,3,,,,,,
,,2005 - 2006,3,15,5,,,,,,
,,2006 - 2007,2,11,5.5,,,,,,
,,2007 - 2008,2,11,5.5,,,,,,
,,2008 - 2009,2,10,5,,,,,,
,,2011 - 2012,4,20,5,,,,,,
,,2012 - 2013,3,15,5,,,,,,
,,2013 - 2014,3,16,5.33,,,,,,
,,2014 - 2015,3,,0,,,,,,
,,2015 - 2016,8,50,6.25,,,,,,
,,2017 - 2018,3,16,5.33,,,,,,
,,2019 - 2020,2,15,7.5,,,,,,
,,2020 - 2021,3,22,7.33,,,,,,
,,2021 - 2022,3,0,0,,,,,,
,,2022 - 2023,6,44,7.33,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,6,35,5.83,,,,,,
,23. Mungeli,2011 - 2012,16,104,6.5,,,,,,
,,2012 - 2013,16,104,6.5,,,,,,
,,2013 - 2014,14,91,6.5,,,,,,
,,2014 - 2015,14,91,6.5,,,,,,
,,2015 - 2016,18,117,6.5,,,,,,
,,2016 - 2017,15,111,7.4,,,,,,
,,2017 - 2018,15,85,5.67,,,,,,
,,2018 - 2019,8,61,7.63,,,,,,
,,2020 - 2021,1,7,7,,,,,,
,,2021 - 2022,2,18,9,,,,,,
,,2022 - 2023,4,27,6.75,,,,,,
,24. Narayanpur,2006 - 2007,18,,0,,,,,,
,,2007 - 2008,15,85,5.67,,,,,,
,,2008 - 2009,15,89,5.93,,,,,,
,,2009 - 2010,17,99,5.82,,,,,,
,,2010 - 2011,18,105,5.83,,,,,,
,,2011 - 2012,13,62,4.77,,,,,,
,,2012 - 2013,12,40,3.33,,,,,,
,,2013 - 2014,10,58,5.8,,,,,,
,,2014 - 2015,10,58,5.8,,,,,,
,,2015 - 2016,9,39,4.33,,,,,,
,,2016 - 2017,8,34,4.25,,,,,,
,,2017 - 2018,10,52,5.2,,,,,,
,,2018 - 2019,12,,0,,,,,,
,,2019 - 2020,6,43,7.17,,,,,,
,,2020 - 2021,5,20,4,,,,,,
,,2021 - 2022,4,29,7.25,,,,,,
,,2022 - 2023,2,9,4.5,,,,,,
,25. Raigarh,2000 - 2001,125,735,5.88,,,,,,
,,2001 - 2002,119,665,5.59,,,,,,
,,2002 - 2003,110,562,5.11,,,,,,
,,2003 - 2004,106,623,5.88,,,,,,
,,2004 - 2005,116,604,5.21,,,,,,
,,2005 - 2006,93,493,5.3,,,,,,
,,2006 - 2007,107,619,5.79,,,,,,
,,2007 - 2008,103,596,5.79,,,,,,
,,2008 - 2009,96,555,5.78,,,,,,
,,2009 - 2010,87,503,5.78,,,,,,
,,2010 - 2011,88,509,5.78,,,,,,
,,2011 - 2012,102,570,5.59,,,,,,
,,2012 - 2013,108,604,5.59,,,,,,
,,2013 - 2014,100,597,5.97,,,,,,
,,2014 - 2015,80,478,5.98,,,,,,
,,2015 - 2016,110,657,5.97,,,,,,
,,2016 - 2017,91,527,5.79,,,,,,
,,2017 - 2018,87,528,6.07,,,,,,
,,2018 - 2019,90,503,5.59,,,,,,
,,2019 - 2020,73,387,5.3,,,,,,
,,2020 - 2021,56,292,5.21,,,,,,
,,2021 - 2022,35,189,5.4,,,,,,
,,2022 - 2023,33,178,5.39,,,,,,
,26. Raipur,2000 - 2001,128,682,5.33,,,,,,
,,2001 - 2002,121,644,5.32,,,,,,
,,2002 - 2003,122,639,5.24,,,,,,
,,2003 - 2004,150,772,5.15,,,,,,
,,2004 - 2005,233,"1,200.00",5.15,,,,,,
,,2005 - 2006,142,731,5.15,,,,,,
,,2006 - 2007,126,671,5.33,,,,,,
,,2007 - 2008,135,719,5.33,,,,,,
,,2008 - 2009,94,459,4.88,,,,,,
,,2009 - 2010,95,422,4.44,,,,,,
,,2010 - 2011,119,634,5.33,,,,,,
,,2011 - 2012,9,44,4.89,,,,,,
,,2012 - 2013,7,34,4.86,,,,,,
,,2013 - 2014,6,35,5.83,,,,,,
,,2014 - 2015,6,36,6,,,,,,
,,2015 - 2016,7,44,6.29,,,,,,
,,2016 - 2017,5,29,5.8,,,,,,
,,2017 - 2018,2,12,6,,,,,,
,,2018 - 2019,2,12,6,,,,,,
,,2020 - 2021,2,11,5.5,,,,,,
,,2021 - 2022,2,10,5,,,,,,
,,2022 - 2023,5,25,5,,,,,,
,27. Rajnandgaon,2000 - 2001,63,406,6.44,,,,,,
,,2001 - 2002,59,374,6.34,,,,,,
,,2002 - 2003,58,316,5.45,,,,,,
,,2003 - 2004,46,310,6.74,,,,,,
,,2004 - 2005,55,332,6.04,,,,,,
,,2005 - 2006,61,322,5.28,,,,,,
,,2006 - 2007,51,289,5.67,,,,,,
,,2007 - 2008,52,356,6.85,,,,,,
,,2008 - 2009,44,236,5.36,,,,,,
,,2009 - 2010,39,221,5.67,,,,,,
,,2010 - 2011,40,23,0.58,,,,,,
,,2011 - 2012,35,188,5.37,,,,,,
,,2012 - 2013,30,167,5.57,,,,,,
,,2013 - 2014,38,241,6.34,,,,,,
,,2014 - 2015,29,170,5.86,,,,,,
,,2015 - 2016,15,110,7.33,,,,,,
,,2016 - 2017,30,205,6.83,,,,,,
,,2017 - 2018,23,157,6.83,,,,,,
,,2018 - 2019,21,137,6.52,,,,,,
,,2019 - 2020,13,99,7.62,,,,,,
,,2020 - 2021,11,78,7.09,,,,,,
,,2021 - 2022,8,52,6.5,,,,,,
,,2022 - 2023,2,13,6.5,,,,,,
,28. Sakti,2022 - 2023,3,27,9,,,,,,
,29. Sukma,2011 - 2012,68,237,3.49,,,,,,
,,2012 - 2013,31,162,5.23,,,,,,
,,2013 - 2014,29,151,5.21,,,,,,
,,2014 - 2015,45,208,4.62,,,,,,
,,2015 - 2016,40,205,5.13,,,,,,
,,2016 - 2017,46,228,4.96,,,,,,
,,2017 - 2018,46,184,4,,,,,,
,,2018 - 2019,52,285,5.48,,,,,,
,,2019 - 2020,24,125,5.21,,,,,,
,,2020 - 2021,17,122,7.18,,,,,,
,,2021 - 2022,14,78,5.57,,,,,,
,,2022 - 2023,14,74,5.29,,,,,,
,30. Surajpur,2011 - 2012,384,"1,735.00",4.52,,,,,,
,,2012 - 2013,320,"1,735.00",5.42,,,,,,
,,2013 - 2014,333,"1,565.00",4.7,,,,,,
,,2014 - 2015,394,"2,136.00",5.42,,,,,,
,,2015 - 2016,433,"2,347.00",5.42,,,,,,
,,2016 - 2017,424,"2,299.00",5.42,,,,,,
,,2017 - 2018,419,"2,650.00",6.32,,,,,,
,,2018 - 2019,464,"2,935.00",6.33,,,,,,
,,2019 - 2020,338,"2,146.00",6.35,,,,,,
,,2020 - 2021,198,"1,293.00",6.53,,,,,,
,,2021 - 2022,166,902,5.43,,,,,,
,,2022 - 2023,151,822,5.44,,,,,,
,31. Surguja,2000 - 2001,896,"5,263.00",5.87,,,,,,
,,2001 - 2002,489,"2,695.00",5.51,,,,,,
,,2002 - 2003,801,"4,922.00",6.14,,,,,,
,,2003 - 2004,869,"4,868.00",5.6,,,,,,
,,2004 - 2005,901,"4,559.00",5.06,,,,,,
,,2005 - 2006,940,"5,436.00",5.78,,,,,,
,,2006 - 2007,972,"5,797.00",5.96,,,,,,
,,2007 - 2008,"1,014.00","5,956.00",5.87,,,,,,
,,2008 - 2009,"1,061.00","4,793.00",4.52,,,,,,
,,2009 - 2010,"1,088.00","5,604.00",5.15,,,,,,
,,2010 - 2011,"1,096.00","4,754.00",4.34,,,,,,
,,2011 - 2012,334,"1,509.00",4.52,,,,,,
,,2012 - 2013,285,"1,803.00",6.33,,,,,,
,,2013 - 2014,295,"1,626.00",5.51,,,,,,
,,2014 - 2015,252,"1,435.00",5.69,,,,,,
,,2015 - 2016,300,"1,490.00",4.97,,,,,,
,,2016 - 2017,267,"1,351.00",5.06,,,,,,
,,2017 - 2018,235,"1,359.00",5.78,,,,,,
,,2018 - 2019,258,"1,492.00",5.78,,,,,,
,,2019 - 2020,195,"1,150.00",5.9,,,,,,
,,2020 - 2021,154,894,5.81,,,,,,
,,2021 - 2022,134,778,5.81,,,,,,
,,2022 - 2023,143,804,5.62,,,,,,
6. Goa,1. North goa,2016 - 2017,38,118,3.11,,,,,,
,,2017 - 2018,40,70,1.75,,,,,,
,,2018 - 2019,40,76,1.9,,,,,,
,,2019 - 2020,46,111,2.41,,,,,,
,,2020 - 2021,48,114,2.38,,,,,,
,,2021 - 2022,49,117,2.39,,,,,,
,,2022 - 2023,49,162,3.31,,,,,,
,2. South goa,2016 - 2017,14,46,3.29,,,,,,
,,2017 - 2018,15,46,3.07,,,,,,
,,2018 - 2019,15,40,2.67,,,,,,
,,2019 - 2020,20,53,2.65,,,,,,
,,2020 - 2021,30,109,3.63,,,,,,
,,2021 - 2022,31,114,3.68,,,,,,
,,2022 - 2023,32,92,2.88,,,,,,
7. Haryana,1. Ambala,2001 - 2002,2,0,0,,,,,,
,2. Faridabad,2000 - 2001,9,100,11.11,,,,,,
,,2001 - 2002,19,0,0,,,,,,
,,2002 - 2003,2,0,0,,,,,,
,,2005 - 2006,11,200,18.18,,,,,,
,,2010 - 2011,4,,0,,,,,,
,3. Gurgaon,2001 - 2002,12,0,0,,,,,,
,,2002 - 2003,12,200,16.67,,,,,,
,,2003 - 2004,15,200,13.33,,,,,,
,,2004 - 2005,32,700,21.88,,,,,,
,,2005 - 2006,7,100,14.29,,,,,,
,,2006 - 2007,7,200,28.57,,,,,,
,,2007 - 2008,50,"1,000.00",20,,,,,,
,,2008 - 2009,61,"1,200.00",19.67,,,,,,
,,2009 - 2010,39,800,20.51,,,,,,
,,2010 - 2011,37,,0,,,,,,
,,2011 - 2012,18,,0,,,,,,
,,2012 - 2013,9,200,22.22,,,,,,
,4. Hisar,2012 - 2013,8,100,12.5,,,,,,
,5. Jhajjar,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2021 - 2022,11,33,3,,,,,,
,6. Kaithal,2012 - 2013,6,100,16.67,,,,,,
,7. Karnal,2000 - 2001,14,300,21.43,,,,,,
,,2001 - 2002,7,0,0,,,,,,
,,2002 - 2003,4,100,25,,,,,,
,,2003 - 2004,23,500,21.74,,,,,,
,,2004 - 2005,3,,0,,,,,,
,,2005 - 2006,7,100,14.29,,,,,,
,,2006 - 2007,2,,0,,,,,,
,,2008 - 2009,14,200,14.29,,,,,,
,,2010 - 2011,8,,0,,,,,,
,,2011 - 2012,12,,0,,,,,,
,,2012 - 2013,8,100,12.5,,,,,,
,8. Kurukshetra,2012 - 2013,144,"1,700.00",11.81,,,,,,
,9. Mahendragarh,2009 - 2010,5,100,20,,,,,,
,10. Mewat,2005 - 2006,1,,0,,,,,,
,,2021 - 2022,3,0,0,,,,,,
,11. Palwal,2011 - 2012,1,,0,,,,,,
,12. Panipat,2000 - 2001,35,700,20,,,,,,
,,2001 - 2002,29,0,0,,,,,,
,,2002 - 2003,18,400,22.22,,,,,,
,,2003 - 2004,17,400,23.53,,,,,,
,,2004 - 2005,16,300,18.75,,,,,,
,,2005 - 2006,12,300,25,,,,,,
,,2006 - 2007,9,200,22.22,,,,,,
,,2007 - 2008,9,100,11.11,,,,,,
,,2008 - 2009,7,100,14.29,,,,,,
,,2009 - 2010,14,200,14.29,,,,,,
,,2010 - 2011,12,,0,,,,,,
,,2011 - 2012,5,,0,,,,,,
,,2012 - 2013,4,100,25,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,13. Rewari,2000 - 2001,9,200,22.22,,,,,,
,,2001 - 2002,2,0,0,,,,,,
,,2002 - 2003,1,0,0,,,,,,
,,2003 - 2004,1,0,0,,,,,,
,,2004 - 2005,3,100,33.33,,,,,,
,,2006 - 2007,1,,0,,,,,,
,14. Sonipat,2000 - 2001,53,"1,200.00",22.64,,,,,,
,,2001 - 2002,18,0,0,,,,,,
,,2002 - 2003,10,200,20,,,,,,
,,2003 - 2004,21,500,23.81,,,,,,
,,2004 - 2005,21,400,19.05,,,,,,
,,2005 - 2006,89,"1,700.00",19.1,,,,,,
,,2007 - 2008,5,100,20,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2010 - 2011,3,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
8. Himachal Pradesh,1. Bilaspur,2001 - 2002,67,,0,,,,,,
,2. Kangra,2001 - 2002,35,,0,,,,,,
9. Karnataka,1. Bagalkot,2000 - 2001,51,162,3.18,,,,,,
,,2002 - 2003,20,63,3.15,,,,,,
,,2003 - 2004,42,133,3.17,,,,,,
,,2004 - 2005,57,181,3.18,,,,,,
,,2005 - 2006,50,158,3.16,,,,,,
,,2006 - 2007,46,146,3.17,,,,,,
,,2007 - 2008,28,89,3.18,,,,,,
,,2008 - 2009,20,202,10.1,,,,,,
,,2009 - 2010,15,99,6.6,,,,,,
,,2010 - 2011,13,107,8.23,,,,,,
,,2011 - 2012,31,452,14.58,,,,,,
,,2012 - 2013,12,186,15.5,,,,,,
,,2017 - 2018,1,13,13,,,,,,
,,2018 - 2019,8,116,14.5,,,,,,
,,2019 - 2020,10,193,19.3,,,,,,
,,2020 - 2021,1,20,20,,,,,,
,,2021 - 2022,6,106,17.67,,,,,,
,2. Bangalore rural,2000 - 2001,47,298,6.34,,,,,,
,,2002 - 2003,16,101,6.31,,,,,,
,,2003 - 2004,14,89,6.36,,,,,,
,,2004 - 2005,20,127,6.35,,,,,,
,,2005 - 2006,22,139,6.32,,,,,,
,,2006 - 2007,18,114,6.33,,,,,,
,,2007 - 2008,5,32,6.4,,,,,,
,,2008 - 2009,9,91,10.11,,,,,,
,,2009 - 2010,8,53,6.63,,,,,,
,,2010 - 2011,5,41,8.2,,,,,,
,,2011 - 2012,10,146,14.6,,,,,,
,,2012 - 2013,13,202,15.54,,,,,,
,,2013 - 2014,18,264,14.67,,,,,,
,,2014 - 2015,19,322,16.95,,,,,,
,,2015 - 2016,16,254,15.88,,,,,,
,,2016 - 2017,7,84,12,,,,,,
,,2017 - 2018,3,39,13,,,,,,
,,2018 - 2019,23,334,14.52,,,,,,
,,2019 - 2020,35,675,19.29,,,,,,
,,2020 - 2021,11,219,19.91,,,,,,
,,2021 - 2022,1,18,18,,,,,,
,,2022 - 2023,10,211,21.1,,,,,,
,3. Belgaum,2000 - 2001,"1,535.00","14,551.00",9.48,,,,,,
,,2002 - 2003,"1,812.00","17,176.00",9.48,,,,,,
,,2003 - 2004,"2,020.00","19,148.00",9.48,,,,,,
,,2004 - 2005,"2,164.00","20,513.00",9.48,,,,,,
,,2005 - 2006,"2,026.00","19,205.00",9.48,,,,,,
,,2006 - 2007,"1,976.00","18,731.00",9.48,,,,,,
,,2007 - 2008,"1,931.00","18,304.00",9.48,,,,,,
,,2008 - 2009,"1,623.00","16,574.00",10.21,,,,,,
,,2009 - 2010,"1,501.00","9,414.00",6.27,,,,,,
,,2010 - 2011,"1,133.00","9,337.00",8.24,,,,,,
,,2011 - 2012,"1,061.00","17,331.00",16.33,,,,,,
,,2012 - 2013,"2,253.00","36,803.00",16.34,,,,,,
,,2013 - 2014,"1,974.00","31,094.00",15.75,,,,,,
,,2014 - 2015,"2,135.00","38,885.00",18.21,,,,,,
,,2015 - 2016,"1,878.00","34,643.00",18.45,,,,,,
,,2016 - 2017,"2,322.00","30,017.00",12.93,,,,,,
,,2017 - 2018,"1,888.00","27,665.00",14.65,,,,,,
,,2018 - 2019,"4,341.00","63,368.00",14.6,,,,,,
,,2019 - 2020,"3,850.00","79,020.00",20.52,,,,,,
,,2020 - 2021,"3,290.00","67,735.00",20.59,,,,,,
,,2021 - 2022,"3,261.00","60,950.00",18.69,,,,,,
,,2022 - 2023,"4,928.00","50,713.00",10.29,,,,,,
,4. Bellary,2018 - 2019,2,29,14.5,,,,,,
,,2019 - 2020,1,19,19,,,,,,
,5. Bengaluru urban,2003 - 2004,29,184,6.34,,,,,,
,,2004 - 2005,13,82,6.31,,,,,,
,,2015 - 2016,6,95,15.83,,,,,,
,,2018 - 2019,3,44,14.67,,,,,,
,,2019 - 2020,22,424,19.27,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,2,35,17.5,,,,,,
,6. Bidar,2002 - 2003,2,15,7.5,,,,,,
,,2003 - 2004,1,8,8,,,,,,
,,2018 - 2019,1,15,15,,,,,,
,,2019 - 2020,7,135,19.29,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,2,35,17.5,,,,,,
,7. Bijapur,2000 - 2001,275,871,3.17,,,,,,
,,2002 - 2003,8,25,3.13,,,,,,
,,2003 - 2004,3,10,3.33,,,,,,
,,2004 - 2005,5,16,3.2,,,,,,
,,2005 - 2006,5,16,3.2,,,,,,
,,2006 - 2007,7,22,3.14,,,,,,
,,2007 - 2008,19,60,3.16,,,,,,
,,2008 - 2009,4,40,10,,,,,,
,,2009 - 2010,5,33,6.6,,,,,,
,,2010 - 2011,7,58,8.29,,,,,,
,,2016 - 2017,4,48,12,,,,,,
,,2017 - 2018,61,792,12.98,,,,,,
,,2018 - 2019,11,160,14.55,,,,,,
,,2019 - 2020,2,39,19.5,,,,,,
,,2020 - 2021,3,60,20,,,,,,
,,2021 - 2022,4,71,17.75,,,,,,
,,2022 - 2023,1,12,12,,,,,,
,8. Chamarajanagar,2018 - 2019,23,334,14.52,,,,,,
,,2019 - 2020,8,154,19.25,,,,,,
,,2020 - 2021,6,120,20,,,,,,
,9. Chikballapur,2010 - 2011,1,8,8,,,,,,
,,2011 - 2012,10,146,14.6,,,,,,
,,2012 - 2013,10,155,15.5,,,,,,
,,2013 - 2014,6,88,14.67,,,,,,
,,2014 - 2015,9,153,17,,,,,,
,,2015 - 2016,10,159,15.9,,,,,,
,,2016 - 2017,12,144,12,,,,,,
,,2017 - 2018,14,182,13,,,,,,
,,2018 - 2019,3,44,14.67,,,,,,
,,2019 - 2020,1,19,19,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,4,71,17.75,,,,,,
,,2022 - 2023,7,86,12.29,,,,,,
,10. Chikmagalur,2000 - 2001,35,229,6.54,,,,,,
,,2002 - 2003,76,499,6.57,,,,,,
,,2003 - 2004,109,715,6.56,,,,,,
,,2004 - 2005,177,"1,162.00",6.56,,,,,,
,,2005 - 2006,173,"1,136.00",6.57,,,,,,
,,2006 - 2007,28,184,6.57,,,,,,
,,2007 - 2008,31,203,6.55,,,,,,
,,2008 - 2009,28,283,10.11,,,,,,
,,2009 - 2010,39,256,6.56,,,,,,
,,2010 - 2011,42,346,8.24,,,,,,
,,2011 - 2012,36,525,14.58,,,,,,
,,2012 - 2013,128,"1,985.00",15.51,,,,,,
,,2013 - 2014,128,"1,299.00",10.15,,,,,,
,,2014 - 2015,141,"1,290.00",9.15,,,,,,
,,2015 - 2016,131,"1,261.00",9.63,,,,,,
,,2016 - 2017,84,713,8.49,,,,,,
,,2017 - 2018,70,551,7.87,,,,,,
,,2018 - 2019,17,163,9.59,,,,,,
,,2019 - 2020,89,"1,717.00",19.29,,,,,,
,,2020 - 2021,4,80,20,,,,,,
,,2021 - 2022,3,53,17.67,,,,,,
,,2022 - 2023,1,13,13,,,,,,
,11. Chitradurga,2018 - 2019,23,334,14.52,,,,,,
,,2019 - 2020,2,39,19.5,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,5,89,17.8,,,,,,
,,2022 - 2023,2,22,11,,,,,,
,12. Dakshin kannad,2000 - 2001,608,"3,764.00",6.19,,,,,,
,,2002 - 2003,592,"3,665.00",6.19,,,,,,
,,2003 - 2004,577,"3,572.00",6.19,,,,,,
,,2004 - 2005,537,"3,325.00",6.19,,,,,,
,,2005 - 2006,426,"2,638.00",6.19,,,,,,
,,2006 - 2007,340,"2,105.00",6.19,,,,,,
,,2007 - 2008,203,"1,257.00",6.19,,,,,,
,,2008 - 2009,211,"1,636.00",7.75,,,,,,
,,2009 - 2010,211,"1,386.00",6.57,,,,,,
,,2010 - 2011,202,"1,665.00",8.24,,,,,,
,,2011 - 2012,192,"2,798.00",14.57,,,,,,
,,2012 - 2013,187,"2,901.00",15.51,,,,,,
,,2013 - 2014,180,"2,642.00",14.68,,,,,,
,,2014 - 2015,288,"4,885.00",16.96,,,,,,
,,2015 - 2016,319,"1,191.00",3.73,,,,,,
,,2016 - 2017,276,"1,417.00",5.13,,,,,,
,,2017 - 2018,311,"1,225.00",3.94,,,,,,
,,2018 - 2019,29,312,10.76,,,,,,
,,2019 - 2020,1,19,19,,,,,,
,,2020 - 2021,1,20,20,,,,,,
,13. Davangere,2002 - 2003,16,127,7.94,,,,,,
,,2012 - 2013,2,31,15.5,,,,,,
,,2018 - 2019,1,15,15,,,,,,
,14. Dharwad,2013 - 2014,2,29,14.5,,,,,,
,,2017 - 2018,5,65,13,,,,,,
,,2019 - 2020,4,77,19.25,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2022 - 2023,3,37,12.33,,,,,,
,15. Gadag,2000 - 2001,1,7,7,,,,,,
,,2006 - 2007,3,25,8.33,,,,,,
,,2007 - 2008,2,17,8.5,,,,,,
,,2019 - 2020,2,39,19.5,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,3,53,17.67,,,,,,
,,2022 - 2023,4,47,11.75,,,,,,
,16. Gulbarga,2000 - 2001,31,205,6.61,,,,,,
,,2002 - 2003,22,146,6.64,,,,,,
,,2003 - 2004,22,146,6.64,,,,,,
,,2004 - 2005,31,206,6.65,,,,,,
,,2005 - 2006,19,126,6.63,,,,,,
,,2006 - 2007,6,40,6.67,,,,,,
,,2007 - 2008,2,13,6.5,,,,,,
,,2008 - 2009,14,142,10.14,,,,,,
,,2009 - 2010,10,66,6.6,,,,,,
,,2012 - 2013,5,78,15.6,,,,,,
,,2018 - 2019,10,145,14.5,,,,,,
,,2019 - 2020,5,96,19.2,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2022 - 2023,2,25,12.5,,,,,,
,17. Hassan,2000 - 2001,240,"1,463.00",6.1,,,,,,
,,2002 - 2003,209,"1,273.00",6.09,,,,,,
,,2003 - 2004,199,"1,213.00",6.1,,,,,,
,,2004 - 2005,68,414,6.09,,,,,,
,,2005 - 2006,58,353,6.09,,,,,,
,,2006 - 2007,63,384,6.1,,,,,,
,,2007 - 2008,67,408,6.09,,,,,,
,,2008 - 2009,60,607,10.12,,,,,,
,,2009 - 2010,77,506,6.57,,,,,,
,,2010 - 2011,95,783,8.24,,,,,,
,,2011 - 2012,13,189,14.54,,,,,,
,,2012 - 2013,25,388,15.52,,,,,,
,,2013 - 2014,46,675,14.67,,,,,,
,,2014 - 2015,51,865,16.96,,,,,,
,,2015 - 2016,87,"1,383.00",15.9,,,,,,
,,2016 - 2017,91,"1,091.00",11.99,,,,,,
,,2017 - 2018,101,"1,311.00",12.98,,,,,,
,,2018 - 2019,153,"2,063.00",13.48,,,,,,
,,2019 - 2020,378,"4,882.00",12.92,,,,,,
,,2020 - 2021,157,"2,093.00",13.33,,,,,,
,,2021 - 2022,347,"5,778.00",16.65,,,,,,
,,2022 - 2023,607,"7,097.00",11.69,,,,,,
,18. Haveri,2013 - 2014,15,220,14.67,,,,,,
,,2014 - 2015,1,17,17,,,,,,
,,2015 - 2016,5,80,16,,,,,,
,,2017 - 2018,8,104,13,,,,,,
,,2018 - 2019,4,58,14.5,,,,,,
,,2019 - 2020,6,116,19.33,,,,,,
,,2021 - 2022,4,71,17.75,,,,,,
,19. Kodagu,2000 - 2001,4,25,6.25,,,,,,
,,2002 - 2003,10,62,6.2,,,,,,
,,2003 - 2004,10,62,6.2,,,,,,
,,2004 - 2005,12,75,6.25,,,,,,
,,2005 - 2006,48,300,6.25,,,,,,
,,2006 - 2007,43,269,6.26,,,,,,
,,2007 - 2008,86,537,6.24,,,,,,
,,2008 - 2009,128,"1,645.00",12.85,,,,,,
,,2009 - 2010,80,974,12.18,,,,,,
,,2010 - 2011,61,503,8.25,,,,,,
,,2011 - 2012,53,772,14.57,,,,,,
,,2012 - 2013,15,233,15.53,,,,,,
,,2013 - 2014,16,235,14.69,,,,,,
,,2014 - 2015,24,407,16.96,,,,,,
,,2015 - 2016,27,429,15.89,,,,,,
,,2016 - 2017,27,324,12,,,,,,
,,2017 - 2018,32,415,12.97,,,,,,
,,2018 - 2019,135,"1,960.00",14.52,,,,,,
,,2019 - 2020,337,"4,177.00",12.39,,,,,,
,,2020 - 2021,149,"1,940.00",13.02,,,,,,
,,2021 - 2022,295,"3,861.00",13.09,,,,,,
,,2022 - 2023,324,"3,893.00",12.02,,,,,,
,20. Kolar,2018 - 2019,36,523,14.53,,,,,,
,,2019 - 2020,39,752,19.28,,,,,,
,,2020 - 2021,28,546,19.5,,,,,,
,,2021 - 2022,85,"1,542.00",18.14,,,,,,
,,2022 - 2023,33,398,12.06,,,,,,
,21. Koppal,2019 - 2020,1,19,19,,,,,,
,,2020 - 2021,2,40,20,,,,,,
,,2021 - 2022,2,35,17.5,,,,,,
,22. Mandya,2002 - 2003,4,25,6.25,,,,,,
,,2003 - 2004,5,31,6.2,,,,,,
,,2004 - 2005,14,88,6.29,,,,,,
,,2005 - 2006,4,25,6.25,,,,,,
,,2006 - 2007,27,169,6.26,,,,,,
,,2007 - 2008,34,213,6.26,,,,,,
,,2008 - 2009,46,466,10.13,,,,,,
,,2009 - 2010,52,342,6.58,,,,,,
,,2010 - 2011,67,552,8.24,,,,,,
,,2011 - 2012,141,"2,055.00",14.57,,,,,,
,,2012 - 2013,489,"7,585.00",15.51,,,,,,
,,2013 - 2014,484,"7,103.00",14.68,,,,,,
,,2014 - 2015,444,"5,959.00",13.42,,,,,,
,,2015 - 2016,450,"7,079.00",15.73,,,,,,
,,2017 - 2018,17,221,13,,,,,,
,,2018 - 2019,13,189,14.54,,,,,,
