state,district,year,potato_whole_year_yield_tonne_per_hectare
,,2015 - 2016,14.5
,,2016 - 2017,14.53
,,2017 - 2018,15.14
,,2018 - 2019,14.51
,,2019 - 2020,14.51
,Bhind,2001 - 2002,13.0
,,2002 - 2003,12.19
,,2003 - 2004,12.48
,,2004 - 2005,13.94
,,2005 - 2006,11.92
,,2006 - 2007,11.83
,,2007 - 2008,8.14
,,2008 - 2009,10.25
,,2009 - 2010,9.8
,,2010 - 2011,8.64
,,2011 - 2012,8.89
,,2012 - 2013,15.64
,,2013 - 2014,11.17
,,2015 - 2016,22.0
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.01
,,2019 - 2020,22.01
,Bhopal,2001 - 2002,12.11
,,2002 - 2003,11.55
,,2003 - 2004,11.62
,,2004 - 2005,13.0
,,2005 - 2006,11.58
,,2006 - 2007,11.85
,,2007 - 2008,11.12
,,2008 - 2009,10.08
,,2009 - 2010,9.81
,,2010 - 2011,8.19
,,2011 - 2012,12.41
,,2012 - 2013,14.48
,,2013 - 2014,11.95
,,2015 - 2016,21.42
,,2016 - 2017,21.9
,,2017 - 2018,22.06
,,2018 - 2019,21.91
,,2019 - 2020,21.76
,Burhanpur,2003 - 2004,11.0
,,2004 - 2005,11.67
,,2007 - 2008,11.0
,,2010 - 2011,11.0
,,2011 - 2012,11.0
,,2012 - 2013,14.67
,,2013 - 2014,9.41
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.01
,Chhatarpur,2001 - 2002,9.87
,,2002 - 2003,9.26
,,2003 - 2004,9.83
,,2004 - 2005,10.98
,,2005 - 2006,9.48
,,2006 - 2007,7.89
,,2007 - 2008,6.78
,,2008 - 2009,6.19
,,2009 - 2010,6.82
,,2010 - 2011,4.97
,,2011 - 2012,5.7
,,2012 - 2013,6.82
,,2013 - 2014,6.43
,,2015 - 2016,19.0
,,2016 - 2017,19.0
,,2017 - 2018,0.05
,,2018 - 2019,0.06
,,2019 - 2020,17.99
,Chhindwara,2001 - 2002,16.0
,,2002 - 2003,18.0
,,2003 - 2004,19.97
,,2004 - 2005,20.93
,,2005 - 2006,20.38
,,2006 - 2007,19.64
,,2007 - 2008,18.98
,,2008 - 2009,15.26
,,2009 - 2010,16.76
,,2010 - 2011,16.84
,,2011 - 2012,19.47
,,2012 - 2013,21.64
,,2013 - 2014,19.15
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Damoh,2001 - 2002,19.58
,,2002 - 2003,17.53
,,2003 - 2004,19.37
,,2004 - 2005,21.96
,,2005 - 2006,18.9
,,2006 - 2007,13.39
,,2007 - 2008,13.82
,,2008 - 2009,18.64
,,2009 - 2010,18.42
,,2010 - 2011,8.79
,,2011 - 2012,18.97
,,2012 - 2013,19.06
,,2013 - 2014,19.91
,,2015 - 2016,22.0
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Datia,2001 - 2002,22.0
,,2002 - 2003,16.82
,,2003 - 2004,16.12
,,2004 - 2005,17.08
,,2005 - 2006,17.09
,,2006 - 2007,15.74
,,2007 - 2008,14.21
,,2008 - 2009,17.76
,,2009 - 2010,11.29
,,2010 - 2011,9.04
,,2011 - 2012,14.1
,,2012 - 2013,22.61
,,2013 - 2014,18.9
,,2015 - 2016,23.0
,,2016 - 2017,23.0
,,2017 - 2018,23.0
,,2018 - 2019,23.0
,,2019 - 2020,23.0
,Dewas,2001 - 2002,12.63
,,2002 - 2003,12.04
,,2003 - 2004,12.73
,,2004 - 2005,13.54
,,2005 - 2006,14.36
,,2006 - 2007,14.25
,,2007 - 2008,13.37
,,2008 - 2009,11.95
,,2009 - 2010,11.81
,,2010 - 2011,10.42
,,2011 - 2012,12.18
,,2012 - 2013,19.3
,,2013 - 2014,14.52
,,2015 - 2016,19.59
,,2016 - 2017,19.7
,,2017 - 2018,19.72
,,2018 - 2019,19.73
,,2019 - 2020,19.73
,Dhar,2001 - 2002,13.15
,,2002 - 2003,12.12
,,2003 - 2004,13.49
,,2004 - 2005,18.17
,,2005 - 2006,12.17
,,2006 - 2007,15.7
,,2007 - 2008,14.35
,,2008 - 2009,10.96
,,2009 - 2010,10.84
,,2010 - 2011,11.84
,,2011 - 2012,11.5
,,2012 - 2013,11.98
,,2013 - 2014,15.41
,,2015 - 2016,18.0
,,2016 - 2017,24.64
,,2017 - 2018,24.65
,,2018 - 2019,22.53
,,2019 - 2020,25.45
,Dindori,2001 - 2002,9.0
,,2002 - 2003,8.91
,,2003 - 2004,10.77
,,2004 - 2005,10.21
,,2005 - 2006,8.78
,,2006 - 2007,6.9
,,2007 - 2008,6.88
,,2008 - 2009,6.38
,,2009 - 2010,6.14
,,2010 - 2011,4.86
,,2011 - 2012,5.0
,,2012 - 2013,7.13
,,2013 - 2014,10.24
,,2019 - 2020,18.0
,Guna,2001 - 2002,14.83
,,2002 - 2003,6.37
,,2003 - 2004,14.03
,,2004 - 2005,15.02
,,2005 - 2006,13.97
,,2006 - 2007,14.26
,,2007 - 2008,9.67
,,2008 - 2009,11.63
,,2009 - 2010,10.68
,,2010 - 2011,10.5
,,2011 - 2012,12.02
,,2012 - 2013,14.58
,,2013 - 2014,12.83
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Gwalior,2001 - 2002,28.03
,,2002 - 2003,20.89
,,2003 - 2004,24.49
,,2004 - 2005,25.05
,,2005 - 2006,21.65
,,2006 - 2007,19.44
,,2007 - 2008,16.64
,,2008 - 2009,17.72
,,2009 - 2010,18.94
,,2010 - 2011,17.2
,,2011 - 2012,17.49
,,2012 - 2013,16.27
,,2013 - 2014,12.18
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Harda,2001 - 2002,10.12
,,2002 - 2003,9.83
,,2003 - 2004,10.48
,,2004 - 2005,13.39
,,2005 - 2006,9.48
,,2006 - 2007,9.4
,,2007 - 2008,11.43
,,2008 - 2009,10.95
,,2009 - 2010,10.46
,,2010 - 2011,9.58
,,2011 - 2012,12.09
,,2012 - 2013,10.94
,,2013 - 2014,8.81
,,2015 - 2016,26.0
,,2016 - 2017,26.1
,,2017 - 2018,26.1
,,2018 - 2019,26.1
,,2019 - 2020,26.1
,Hoshangabad,2001 - 2002,12.5
,,2002 - 2003,11.72
,,2003 - 2004,12.0
,,2004 - 2005,13.62
,,2005 - 2006,11.74
,,2006 - 2007,11.64
,,2007 - 2008,10.93
,,2008 - 2009,9.76
,,2009 - 2010,9.35
,,2010 - 2011,9.88
,,2011 - 2012,10.67
,,2012 - 2013,11.18
,,2013 - 2014,9.34
,,2015 - 2016,24.0
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.03
,,2019 - 2020,22.03
,Indore,2001 - 2002,13.14
,,2002 - 2003,12.32
,,2003 - 2004,16.06
,,2004 - 2005,15.37
,,2005 - 2006,13.25
,,2006 - 2007,13.14
,,2007 - 2008,14.39
,,2008 - 2009,12.85
,,2009 - 2010,13.62
,,2010 - 2011,7.11
,,2011 - 2012,14.2
,,2012 - 2013,12.54
,,2013 - 2014,10.73
,,2015 - 2016,22.0
,,2016 - 2017,22.5
,,2017 - 2018,25.5
,,2018 - 2019,25.5
,,2019 - 2020,25.5
,Jabalpur,2001 - 2002,15.47
,,2002 - 2003,14.68
,,2003 - 2004,16.35
,,2004 - 2005,20.58
,,2005 - 2006,19.46
,,2006 - 2007,19.31
,,2007 - 2008,9.6
,,2008 - 2009,16.18
,,2009 - 2010,12.96
,,2010 - 2011,16.81
,,2011 - 2012,18.37
,,2012 - 2013,16.59
,,2013 - 2014,14.21
,,2015 - 2016,17.22
,,2016 - 2017,17.22
,,2017 - 2018,17.22
,,2018 - 2019,16.0
,,2019 - 2020,17.22
,Jhabua,2001 - 2002,9.33
,,2002 - 2003,9.33
,,2003 - 2004,12.8
,,2004 - 2005,13.5
,,2005 - 2006,12.1
,,2006 - 2007,15.63
,,2007 - 2008,11.25
,,2008 - 2009,10.0
,,2009 - 2010,10.0
,,2010 - 2011,9.91
,,2011 - 2012,10.29
,,2012 - 2013,10.56
,,2013 - 2014,12.67
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Katni,2001 - 2002,12.14
,,2002 - 2003,9.54
,,2003 - 2004,11.47
,,2004 - 2005,11.34
,,2005 - 2006,9.72
,,2006 - 2007,7.82
,,2007 - 2008,7.34
,,2008 - 2009,8.78
,,2009 - 2010,7.17
,,2010 - 2011,3.78
,,2011 - 2012,7.34
,,2012 - 2013,11.26
,,2013 - 2014,14.19
,,2015 - 2016,15.7
,,2016 - 2017,22.38
,,2017 - 2018,22.38
,,2018 - 2019,22.38
,,2019 - 2020,22.38
,Khandwa,2001 - 2002,11.52
,,2002 - 2003,12.59
,,2003 - 2004,10.87
,,2004 - 2005,11.52
,,2005 - 2006,11.92
,,2006 - 2007,13.8
,,2007 - 2008,11.1
,,2008 - 2009,10.75
,,2009 - 2010,9.81
,,2010 - 2011,11.37
,,2011 - 2012,11.45
,,2012 - 2013,10.34
,,2013 - 2014,10.74
,,2015 - 2016,24.0
,,2016 - 2017,24.0
,,2017 - 2018,24.0
,,2018 - 2019,24.0
,,2019 - 2020,24.04
,Khargone,2001 - 2002,10.95
,,2002 - 2003,10.8
,,2003 - 2004,10.88
,,2004 - 2005,11.95
,,2005 - 2006,10.0
,,2006 - 2007,9.93
,,2007 - 2008,10.12
,,2008 - 2009,7.02
,,2009 - 2010,7.8
,,2010 - 2011,8.89
,,2011 - 2012,8.96
,,2012 - 2013,8.44
,,2013 - 2014,8.21
,,2015 - 2016,22.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Mandla,2001 - 2002,9.15
,,2002 - 2003,8.27
,,2003 - 2004,9.79
,,2004 - 2005,10.93
,,2005 - 2006,9.58
,,2006 - 2007,9.52
,,2007 - 2008,8.93
,,2008 - 2009,7.97
,,2009 - 2010,7.11
,,2010 - 2011,6.61
,,2011 - 2012,6.77
,,2012 - 2013,7.97
,,2013 - 2014,18.14
,,2015 - 2016,20.29
,,2016 - 2017,19.24
,,2017 - 2018,19.29
,,2018 - 2019,19.77
,,2019 - 2020,20.14
,Mandsaur,2001 - 2002,13.76
,,2002 - 2003,12.71
,,2003 - 2004,15.0
,,2004 - 2005,17.58
,,2005 - 2006,10.62
,,2006 - 2007,16.11
,,2007 - 2008,13.13
,,2008 - 2009,11.89
,,2009 - 2010,10.92
,,2010 - 2011,9.91
,,2011 - 2012,14.51
,,2012 - 2013,13.36
,,2013 - 2014,12.13
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Morena,2001 - 2002,12.11
,,2002 - 2003,10.29
,,2003 - 2004,10.54
,,2004 - 2005,12.18
,,2005 - 2006,13.05
,,2006 - 2007,12.51
,,2007 - 2008,10.71
,,2008 - 2009,11.04
,,2009 - 2010,10.0
,,2010 - 2011,9.54
,,2011 - 2012,9.81
,,2012 - 2013,23.35
,,2013 - 2014,18.44
,,2015 - 2016,24.51
,,2016 - 2017,24.59
,,2017 - 2018,24.6
,,2018 - 2019,24.62
,,2019 - 2020,24.72
,Narsinghpur,2001 - 2002,23.56
,,2002 - 2003,19.05
,,2003 - 2004,19.79
,,2004 - 2005,22.1
,,2005 - 2006,21.16
,,2006 - 2007,21.0
,,2007 - 2008,19.7
,,2008 - 2009,17.6
,,2009 - 2010,16.91
,,2010 - 2011,15.28
,,2011 - 2012,16.21
,,2012 - 2013,21.2
,,2013 - 2014,17.28
,,2015 - 2016,15.21
,,2016 - 2017,15.62
,,2017 - 2018,23.97
,,2018 - 2019,23.86
,,2019 - 2020,24.25
,Neemuch,2001 - 2002,13.75
,,2002 - 2003,12.67
,,2005 - 2006,11.5
,,2006 - 2007,18.67
,,2007 - 2008,14.0
,,2008 - 2009,13.0
,,2009 - 2010,11.75
,,2010 - 2011,12.88
,,2011 - 2012,11.88
,,2012 - 2013,17.33
,,2013 - 2014,10.67
,,2015 - 2016,18.0
,,2016 - 2017,18.0
,,2017 - 2018,18.0
,,2018 - 2019,18.0
,,2019 - 2020,18.0
,Panna,2001 - 2002,9.0
,,2002 - 2003,8.12
,,2003 - 2004,9.3
,,2004 - 2005,9.83
,,2005 - 2006,6.18
,,2006 - 2007,6.13
,,2007 - 2008,5.75
,,2008 - 2009,5.14
,,2009 - 2010,7.88
,,2010 - 2011,3.7
,,2011 - 2012,5.59
,,2012 - 2013,12.35
,,2013 - 2014,15.11
,,2015 - 2016,7.67
,,2016 - 2017,8.22
,,2017 - 2018,8.22
,,2018 - 2019,8.22
,,2019 - 2020,8.22
,Raisen,2001 - 2002,15.69
,,2002 - 2003,14.71
,,2003 - 2004,16.44
,,2004 - 2005,18.36
,,2005 - 2006,15.58
,,2006 - 2007,15.46
,,2007 - 2008,14.51
,,2008 - 2009,12.96
,,2009 - 2010,12.81
,,2010 - 2011,9.16
,,2011 - 2012,13.85
,,2012 - 2013,12.5
,,2013 - 2014,18.31
,,2015 - 2016,22.39
,,2016 - 2017,22.01
,,2017 - 2018,22.31
,,2018 - 2019,22.5
,,2019 - 2020,22.5
,Rajgarh,2001 - 2002,12.59
,,2002 - 2003,12.25
,,2003 - 2004,16.42
,,2004 - 2005,18.85
,,2005 - 2006,12.28
,,2006 - 2007,16.32
,,2007 - 2008,16.13
,,2008 - 2009,12.77
,,2009 - 2010,14.25
,,2010 - 2011,11.19
,,2011 - 2012,16.37
,,2012 - 2013,20.85
,,2013 - 2014,13.94
,,2015 - 2016,17.0
,,2016 - 2017,17.5
,,2017 - 2018,17.5
,,2018 - 2019,17.5
,,2019 - 2020,17.49
,Ratlam,2001 - 2002,16.12
,,2002 - 2003,15.11
,,2003 - 2004,20.63
,,2004 - 2005,23.9
,,2005 - 2006,19.55
,,2006 - 2007,19.4
,,2007 - 2008,18.2
,,2008 - 2009,15.24
,,2009 - 2010,16.08
,,2010 - 2011,11.22
,,2011 - 2012,20.18
,,2012 - 2013,21.25
,,2013 - 2014,21.39
,,2015 - 2016,17.8
,,2016 - 2017,25.0
,,2017 - 2018,25.54
,,2018 - 2019,25.11
,,2019 - 2020,25.13
,Rewa,2001 - 2002,9.95
,,2002 - 2003,8.55
,,2003 - 2004,8.76
,,2004 - 2005,8.89
,,2005 - 2006,11.19
,,2006 - 2007,9.99
,,2007 - 2008,10.42
,,2008 - 2009,9.3
,,2009 - 2010,9.2
,,2010 - 2011,6.35
,,2011 - 2012,9.28
,,2012 - 2013,11.09
,,2013 - 2014,16.34
,,2015 - 2016,12.5
,,2016 - 2017,13.8
,,2017 - 2018,13.8
,,2018 - 2019,13.5
,,2019 - 2020,13.5
,Sagar,2001 - 2002,9.06
,,2002 - 2003,8.49
,,2003 - 2004,10.61
,,2004 - 2005,10.69
,,2005 - 2006,9.76
,,2006 - 2007,9.69
,,2007 - 2008,8.76
,,2008 - 2009,8.86
,,2009 - 2010,8.76
,,2010 - 2011,4.84
,,2011 - 2012,7.58
,,2012 - 2013,6.95
,,2013 - 2014,9.78
,,2015 - 2016,25.0
,,2016 - 2017,31.25
,,2017 - 2018,31.25
,,2018 - 2019,30.0
,,2019 - 2020,30.0
,Satna,2001 - 2002,10.0
,,2002 - 2003,9.37
,,2003 - 2004,9.92
,,2004 - 2005,10.72
,,2005 - 2006,9.7
,,2006 - 2007,7.22
,,2007 - 2008,5.37
,,2008 - 2009,6.81
,,2009 - 2010,7.73
,,2010 - 2011,4.77
,,2011 - 2012,7.14
,,2012 - 2013,8.15
,,2013 - 2014,7.89
,,2015 - 2016,18.83
,,2016 - 2017,18.63
,,2017 - 2018,18.5
,,2018 - 2019,18.84
,,2019 - 2020,19.62
,Sehore,2001 - 2002,15.61
,,2002 - 2003,14.65
,,2003 - 2004,15.0
,,2004 - 2005,16.75
,,2005 - 2006,10.5
,,2006 - 2007,11.74
,,2007 - 2008,13.24
,,2008 - 2009,15.75
,,2009 - 2010,15.97
,,2010 - 2011,11.25
,,2011 - 2012,18.2
,,2012 - 2013,18.26
,,2013 - 2014,12.47
,,2015 - 2016,25.0
,,2016 - 2017,22.38
,,2017 - 2018,22.33
,,2018 - 2019,22.33
,,2019 - 2020,24.37
,Seoni,2001 - 2002,23.65
,,2002 - 2003,20.69
,,2003 - 2004,19.68
,,2004 - 2005,23.67
,,2005 - 2006,21.52
,,2006 - 2007,19.92
,,2007 - 2008,17.36
,,2008 - 2009,15.51
,,2009 - 2010,16.51
,,2010 - 2011,16.8
,,2011 - 2012,18.13
,,2012 - 2013,21.92
,,2013 - 2014,22.9
,,2015 - 2016,21.09
,,2016 - 2017,22.23
,,2017 - 2018,22.08
,,2018 - 2019,21.86
,,2019 - 2020,21.83
,Shahdol,2001 - 2002,11.16
,,2002 - 2003,10.46
,,2003 - 2004,10.72
,,2004 - 2005,10.93
,,2005 - 2006,10.7
,,2006 - 2007,10.62
,,2007 - 2008,9.97
,,2008 - 2009,7.42
,,2009 - 2010,7.33
,,2010 - 2011,7.3
,,2011 - 2012,7.22
,,2012 - 2013,15.19
,,2013 - 2014,12.86
,,2015 - 2016,25.21
,,2016 - 2017,26.2
,,2017 - 2018,25.27
,,2018 - 2019,25.21
,,2019 - 2020,25.3
,Shajapur,2001 - 2002,12.15
,,2002 - 2003,11.39
,,2003 - 2004,15.17
,,2004 - 2005,15.63
,,2005 - 2006,12.38
,,2006 - 2007,15.35
,,2007 - 2008,10.29
,,2008 - 2009,11.03
,,2009 - 2010,14.54
,,2010 - 2011,8.41
,,2011 - 2012,10.89
,,2012 - 2013,16.96
,,2013 - 2014,13.43
,,2015 - 2016,21.2
,,2016 - 2017,21.25
,,2017 - 2018,21.75
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Sheopur,2001 - 2002,11.37
,,2002 - 2003,10.0
,,2003 - 2004,9.18
,,2004 - 2005,12.19
,,2005 - 2006,14.21
,,2006 - 2007,9.2
,,2007 - 2008,9.2
,,2008 - 2009,8.07
,,2009 - 2010,7.88
,,2010 - 2011,8.0
,,2012 - 2013,8.46
,,2013 - 2014,6.65
,,2015 - 2016,22.0
,,2016 - 2017,22.65
,,2017 - 2018,22.65
,,2018 - 2019,22.64
,,2019 - 2020,21.42
,Shivpuri,2001 - 2002,15.23
,,2002 - 2003,10.06
,,2003 - 2004,14.21
,,2004 - 2005,14.73
,,2005 - 2006,11.71
,,2006 - 2007,11.62
,,2007 - 2008,8.18
,,2008 - 2009,11.36
,,2009 - 2010,9.79
,,2010 - 2011,9.19
,,2011 - 2012,9.77
,,2012 - 2013,9.49
,,2013 - 2014,8.05
,,2015 - 2016,20.0
,,2016 - 2017,26.0
,,2017 - 2018,26.0
,,2018 - 2019,28.0
,,2019 - 2020,28.0
,Sidhi,2001 - 2002,10.63
,,2002 - 2003,9.74
,,2003 - 2004,9.98
,,2004 - 2005,14.44
,,2005 - 2006,12.47
,,2006 - 2007,10.87
,,2007 - 2008,10.0
,,2008 - 2009,9.29
,,2009 - 2010,9.89
,,2010 - 2011,7.63
,,2011 - 2012,11.24
,,2012 - 2013,9.66
,,2013 - 2014,16.14
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.06
,,2018 - 2019,20.3
,,2019 - 2020,20.3
,Singrauli,2008 - 2009,9.29
,,2009 - 2010,12.37
,,2010 - 2011,9.31
,,2011 - 2012,10.04
,,2012 - 2013,15.34
,,2013 - 2014,10.21
,,2015 - 2016,26.0
,,2016 - 2017,26.0
,,2017 - 2018,26.09
,,2018 - 2019,26.25
,,2019 - 2020,26.5
,Tikamgarh,2001 - 2002,13.91
,,2002 - 2003,10.03
,,2003 - 2004,12.33
,,2004 - 2005,9.18
,,2005 - 2006,9.74
,,2006 - 2007,9.66
,,2007 - 2008,7.24
,,2008 - 2009,8.26
,,2009 - 2010,8.01
,,2010 - 2011,3.48
,,2011 - 2012,6.39
,,2012 - 2013,7.07
,,2013 - 2014,7.99
,,2015 - 2016,14.0
,,2016 - 2017,14.5
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Ujjain,2001 - 2002,10.63
,,2002 - 2003,9.5
,,2003 - 2004,17.33
,,2004 - 2005,19.09
,,2005 - 2006,15.52
,,2006 - 2007,17.18
,,2007 - 2008,10.26
,,2008 - 2009,10.48
,,2009 - 2010,12.58
,,2010 - 2011,8.37
,,2011 - 2012,13.18
,,2012 - 2013,12.75
,,2013 - 2014,12.78
,,2015 - 2016,19.25
,,2016 - 2017,19.25
,,2017 - 2018,19.9
,,2018 - 2019,20.0
,,2019 - 2020,20.14
,Umaria,2001 - 2002,11.17
,,2002 - 2003,8.72
,,2003 - 2004,10.72
,,2004 - 2005,11.97
,,2005 - 2006,11.04
,,2006 - 2007,10.59
,,2007 - 2008,10.28
,,2008 - 2009,9.18
,,2009 - 2010,9.83
,,2010 - 2011,5.79
,,2011 - 2012,7.26
,,2012 - 2013,8.04
,,2013 - 2014,10.21
,,2015 - 2016,15.7
,,2016 - 2017,25.09
,,2017 - 2018,25.09
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Vidisha,2001 - 2002,12.52
,,2002 - 2003,11.0
,,2003 - 2004,12.4
,,2004 - 2005,13.64
,,2005 - 2006,12.3
,,2006 - 2007,11.67
,,2007 - 2008,10.79
,,2008 - 2009,10.53
,,2009 - 2010,10.41
,,2010 - 2011,8.84
,,2011 - 2012,12.71
,,2012 - 2013,11.03
,,2013 - 2014,10.54
,,2015 - 2016,18.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,19.77
,,2019 - 2020,22.72
Manipur,Bishnupur,2000 - 2001,5.23
,,2002 - 2003,5.24
,,2004 - 2005,5.21
,,2005 - 2006,5.23
,,2006 - 2007,5.23
,,2007 - 2008,5.23
,,2008 - 2009,8.88
,,2009 - 2010,8.84
,,2010 - 2011,8.66
,,2011 - 2012,8.52
,,2012 - 2013,8.36
,,2013 - 2014,8.42
,,2014 - 2015,8.42
,,2015 - 2016,8.36
,,2016 - 2017,8.2
,,2017 - 2018,8.36
,,2018 - 2019,7.54
,,2021 - 2022,8.3
,,2022 - 2023,8.4
,Chandel,2000 - 2001,5.21
,,2002 - 2003,5.25
,,2004 - 2005,5.0
,,2005 - 2006,5.2
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,7.92
,,2009 - 2010,7.85
,,2010 - 2011,8.19
,,2011 - 2012,8.57
,,2012 - 2013,8.86
,,2013 - 2014,8.58
,,2014 - 2015,8.58
,,2015 - 2016,8.86
,,2016 - 2017,8.87
,,2017 - 2018,8.86
,,2018 - 2019,8.77
,,2021 - 2022,8.68
,,2022 - 2023,7.27
,Churachandpur,2000 - 2001,5.17
,,2007 - 2008,5.29
,,2008 - 2009,8.8
,,2009 - 2010,8.91
,,2010 - 2011,8.5
,,2011 - 2012,8.25
,,2012 - 2013,8.33
,,2013 - 2014,8.35
,,2014 - 2015,8.35
,,2015 - 2016,8.33
,,2016 - 2017,8.33
,,2017 - 2018,8.33
,,2018 - 2019,8.2
,,2021 - 2022,8.2
,,2022 - 2023,8.09
,Imphal east,2000 - 2001,5.23
,,2002 - 2003,5.22
,,2004 - 2005,5.25
,,2005 - 2006,5.24
,,2006 - 2007,5.23
,,2007 - 2008,5.25
,,2008 - 2009,5.7
,,2009 - 2010,7.51
,,2010 - 2011,8.1
,,2011 - 2012,8.85
,,2012 - 2013,8.41
,,2013 - 2014,8.47
,,2014 - 2015,8.47
,,2015 - 2016,8.41
,,2016 - 2017,7.71
,,2017 - 2018,8.41
,,2018 - 2019,8.35
,,2021 - 2022,8.28
,,2022 - 2023,8.8
,Imphal west,2000 - 2001,5.22
,,2002 - 2003,5.24
,,2004 - 2005,5.24
,,2005 - 2006,5.24
,,2006 - 2007,5.5
,,2007 - 2008,5.24
,,2008 - 2009,7.98
,,2009 - 2010,8.46
,,2010 - 2011,8.41
,,2011 - 2012,8.9
,,2012 - 2013,8.67
,,2013 - 2014,8.59
,,2014 - 2015,8.59
,,2015 - 2016,8.67
,,2016 - 2017,8.67
,,2017 - 2018,8.67
,,2018 - 2019,8.35
,,2021 - 2022,8.4
,,2022 - 2023,8.67
,Senapati,2000 - 2001,5.25
,,2002 - 2003,5.23
,,2004 - 2005,5.23
,,2005 - 2006,5.23
,,2006 - 2007,5.23
,,2007 - 2008,5.23
,,2008 - 2009,10.2
,,2009 - 2010,9.01
,,2010 - 2011,8.41
,,2011 - 2012,8.1
,,2012 - 2013,8.77
,,2013 - 2014,8.76
,,2014 - 2015,8.76
,,2015 - 2016,8.68
,,2016 - 2017,8.68
,,2017 - 2018,8.68
,,2018 - 2019,8.48
,,2021 - 2022,8.43
,,2022 - 2023,8.43
,Tamenglong,2000 - 2001,5.0
,,2002 - 2003,5.0
,,2004 - 2005,5.25
,,2005 - 2006,5.0
,,2006 - 2007,5.2
,,2007 - 2008,5.25
,,2008 - 2009,7.74
,,2009 - 2010,7.7
,,2010 - 2011,7.91
,,2011 - 2012,8.23
,,2012 - 2013,8.22
,,2013 - 2014,8.32
,,2014 - 2015,8.32
,,2015 - 2016,8.2
,,2016 - 2017,8.14
,,2017 - 2018,8.2
,,2018 - 2019,8.2
,,2021 - 2022,8.1
,,2022 - 2023,8.14
,Thoubal,2000 - 2001,5.24
,,2002 - 2003,5.22
,,2004 - 2005,5.23
,,2005 - 2006,5.23
,,2006 - 2007,5.23
,,2007 - 2008,5.0
,,2008 - 2009,8.72
,,2009 - 2010,8.74
,,2010 - 2011,8.85
,,2011 - 2012,8.64
,,2012 - 2013,8.52
,,2013 - 2014,8.59
,,2014 - 2015,8.59
,,2015 - 2016,8.52
,,2016 - 2017,8.4
,,2017 - 2018,8.52
,,2018 - 2019,8.35
,,2021 - 2022,8.41
,,2022 - 2023,8.53
,Ukhrul,2000 - 2001,5.24
,,2002 - 2003,5.23
,,2004 - 2005,5.33
,,2005 - 2006,5.23
,,2006 - 2007,5.23
,,2007 - 2008,5.23
,,2008 - 2009,7.55
,,2009 - 2010,7.56
,,2010 - 2011,7.55
,,2011 - 2012,8.25
,,2012 - 2013,8.17
,,2013 - 2014,8.24
,,2014 - 2015,8.24
,,2015 - 2016,8.37
,,2016 - 2017,7.7
,,2017 - 2018,8.37
,,2018 - 2019,8.31
,,2021 - 2022,7.41
,,2022 - 2023,7.41
Meghalaya,East garo hills,2000 - 2001,7.77
,,2001 - 2002,7.77
,,2002 - 2003,7.77
,,2003 - 2004,7.76
,,2004 - 2005,7.75
,,2005 - 2006,7.76
,,2006 - 2007,
,,2008 - 2009,7.75
,,2009 - 2010,7.75
,,2010 - 2011,7.75
,,2011 - 2012,7.77
,,2012 - 2013,7.92
,,2013 - 2014,8.08
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,5.72
,,2001 - 2002,5.79
,,2002 - 2003,7.35
,,2003 - 2004,5.55
,,2004 - 2005,5.56
,,2005 - 2006,7.41
,,2006 - 2007,
,,2008 - 2009,4.79
,,2009 - 2010,4.56
,,2010 - 2011,4.8
,,2011 - 2012,4.85
,,2012 - 2013,4.97
,,2013 - 2014,5.66
,,2014 - 2015,
,,2015 - 2016,
