state,district,year,cowpea_kharif_yield_tonne_per_hectare
,,2020 - 2021,0.33
,,2021 - 2022,0.36
,,2022 - 2023,0.37
,Hassan,2010 - 2011,0.41
,,2011 - 2012,0.46
,,2012 - 2013,0.14
,,2013 - 2014,0.13
,,2014 - 2015,0.33
,,2015 - 2016,0.39
,,2016 - 2017,0.77
,,2017 - 2018,0.11
,,2018 - 2019,0.32
,,2019 - 2020,0.31
,,2020 - 2021,0.29
,,2021 - 2022,0.3
,,2022 - 2023,0.39
,Haveri,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.37
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.77
,,2017 - 2018,0.21
,,2018 - 2019,0.25
,,2019 - 2020,0.28
,,2020 - 2021,0.86
,,2021 - 2022,0.68
,,2022 - 2023,0.27
,Kodagu,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,0.4
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.33
,,2019 - 2020,0.25
,,2021 - 2022,0.5
,Kolar,2010 - 2011,1.15
,,2011 - 2012,1.75
,,2012 - 2013,1.46
,,2013 - 2014,0.75
,,2014 - 2015,0.85
,,2015 - 2016,1.01
,,2016 - 2017,0.77
,,2017 - 2018,0.23
,,2018 - 2019,0.38
,,2019 - 2020,0.28
,,2020 - 2021,0.33
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Koppal,2010 - 2011,0.85
,,2011 - 2012,0.39
,,2012 - 2013,0.27
,,2013 - 2014,0.47
,,2014 - 2015,0.37
,,2015 - 2016,0.2
,,2016 - 2017,0.77
,,2017 - 2018,0.23
,,2018 - 2019,0.47
,,2019 - 2020,0.24
,,2020 - 2021,0.62
,,2021 - 2022,0.32
,,2022 - 2023,0.45
,Mandya,2010 - 2011,0.74
,,2011 - 2012,0.58
,,2012 - 2013,0.52
,,2013 - 2014,0.56
,,2014 - 2015,0.43
,,2015 - 2016,0.51
,,2016 - 2017,0.77
,,2017 - 2018,0.18
,,2018 - 2019,0.37
,,2019 - 2020,0.15
,,2020 - 2021,0.27
,,2021 - 2022,0.37
,,2022 - 2023,0.33
,Mysore,2010 - 2011,0.41
,,2011 - 2012,0.45
,,2012 - 2013,0.18
,,2013 - 2014,0.45
,,2014 - 2015,0.4
,,2015 - 2016,0.33
,,2016 - 2017,0.77
,,2017 - 2018,0.28
,,2018 - 2019,0.42
,,2019 - 2020,0.32
,,2020 - 2021,0.33
,,2021 - 2022,0.37
,,2022 - 2023,0.37
,Raichur,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.37
,,2014 - 2015,0.44
,,2015 - 2016,0.42
,,2016 - 2017,0.8
,,2017 - 2018,
,,2018 - 2019,0.37
,,2019 - 2020,0.27
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.4
,Ramanagara,2010 - 2011,0.53
,,2011 - 2012,1.3
,,2012 - 2013,0.63
,,2013 - 2014,0.37
,,2014 - 2015,1.46
,,2015 - 2016,1.31
,,2016 - 2017,1.3
,,2017 - 2018,0.55
,,2018 - 2019,0.34
,,2019 - 2020,0.75
,,2020 - 2021,0.77
,,2021 - 2022,0.71
,,2022 - 2023,0.52
,Shimoga,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.38
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.76
,,2017 - 2018,0.22
,,2018 - 2019,0.35
,,2019 - 2020,0.27
,,2020 - 2021,0.35
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Tumkur,2010 - 2011,0.58
,,2011 - 2012,0.75
,,2012 - 2013,0.22
,,2013 - 2014,0.43
,,2014 - 2015,0.59
,,2015 - 2016,0.44
,,2016 - 2017,0.25
,,2017 - 2018,0.13
,,2018 - 2019,0.2
,,2019 - 2020,0.24
,,2020 - 2021,0.31
,,2021 - 2022,0.25
,,2022 - 2023,0.35
,Udupi,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.77
,,2017 - 2018,
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,,2021 - 2022,0.35
,,2022 - 2023,0.36
,Uttar kannad,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2020 - 2021,
,,2021 - 2022,0.35
,,2022 - 2023,0.36
,Vijayanagar,2022 - 2023,0.37
,Yadgir,2010 - 2011,0.23
,,2011 - 2012,0.53
,,2012 - 2013,0.28
,,2013 - 2014,0.38
,,2014 - 2015,0.44
,,2015 - 2016,0.4
,,2016 - 2017,0.76
,,2017 - 2018,0.23
,,2018 - 2019,0.38
,,2019 - 2020,0.29
,,2020 - 2021,0.31
,,2021 - 2022,0.33
,,2022 - 2023,0.4
Kerala,Alappuzha,2012 - 2013,
,,2014 - 2015,
,Ernakulam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Idukki,2014 - 2015,
,Kannur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kasaragod,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kollam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kottayam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kozhikode,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Malappuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Pathanamthitta,2013 - 2014,
,,2014 - 2015,
,Thiruvananthapuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Wayanad,2012 - 2013,
,,2013 - 2014,
Madhya Pradesh,Anuppur,2009 - 2010,0.33
,,2010 - 2011,0.21
,Balaghat,2009 - 2010,0.29
,,2010 - 2011,0.2
,Betul,2009 - 2010,0.32
,,2010 - 2011,0.25
,Bhopal,2009 - 2010,0.43
,,2010 - 2011,0.26
,Chhatarpur,2009 - 2010,0.24
,,2010 - 2011,0.15
,Chhindwara,2009 - 2010,0.43
,,2010 - 2011,0.22
,Damoh,2009 - 2010,0.43
,,2010 - 2011,
,Datia,2009 - 2010,0.33
,Dhar,2009 - 2010,0.33
,,2010 - 2011,0.25
,Hoshangabad,2009 - 2010,0.33
,,2010 - 2011,0.28
,Jabalpur,2009 - 2010,0.31
,,2010 - 2011,0.27
,Jhabua,2009 - 2010,0.38
,,2010 - 2011,0.28
,Katni,2009 - 2010,0.25
,,2010 - 2011,0.08
,Khandwa,2009 - 2010,0.33
,,2010 - 2011,0.25
,Mandla,2009 - 2010,0.26
,,2010 - 2011,0.21
,Narsinghpur,2009 - 2010,0.57
,,2010 - 2011,0.33
,Panna,2009 - 2010,0.33
,,2010 - 2011,0.14
,Raisen,2009 - 2010,0.29
,,2010 - 2011,0.0
,Rewa,2009 - 2010,0.0
,,2010 - 2011,0.2
,Sagar,2009 - 2010,0.5
,,2010 - 2011,
,Satna,2009 - 2010,0.32
,,2010 - 2011,0.13
,Seoni,2009 - 2010,0.36
,,2010 - 2011,0.29
,Shahdol,2009 - 2010,0.33
,,2010 - 2011,0.22
,Shajapur,2009 - 2010,0.33
,,2010 - 2011,0.26
,Sidhi,2009 - 2010,0.31
,,2010 - 2011,0.19
,Singrauli,2009 - 2010,0.37
,,2010 - 2011,0.22
,Tikamgarh,2009 - 2010,0.38
,,2010 - 2011,0.2
,Umaria,2009 - 2010,0.21
,,2010 - 2011,0.13
Manipur,Bishnupur,2008 - 2009,1.26
,,2009 - 2010,0.93
,,2010 - 2011,1.32
,,2011 - 2012,1.2
,,2012 - 2013,0.98
,,2013 - 2014,1.1
,,2014 - 2015,1.23
,,2015 - 2016,1.16
,,2016 - 2017,1.18
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,Chandel,2008 - 2009,0.86
,,2010 - 2011,0.87
,,2011 - 2012,0.9
,,2012 - 2013,1.02
,,2013 - 2014,1.01
,,2014 - 2015,1.07
,,2015 - 2016,1.08
,,2016 - 2017,1.13
,,2017 - 2018,1.05
,,2018 - 2019,1.12
,Churachandpur,2008 - 2009,1.1
,,2009 - 2010,0.6
,,2010 - 2011,1.1
,,2011 - 2012,1.11
,,2012 - 2013,0.94
,,2013 - 2014,1.0
,,2014 - 2015,1.04
,,2015 - 2016,1.1
,,2016 - 2017,1.12
,,2017 - 2018,1.12
,,2018 - 2019,0.8
,Imphal east,2008 - 2009,1.19
,,2009 - 2010,0.9
,,2010 - 2011,1.39
,,2011 - 2012,1.19
,,2012 - 2013,1.12
,,2013 - 2014,1.12
,,2014 - 2015,1.21
,,2015 - 2016,1.21
