state,district,year,cardamom_whole_year_yield_tonne_per_hectare
,,2022 - 2023,0.09
,Perambalur,2018 - 2019,0.0
,Salem,2003 - 2004,0.07
,,2004 - 2005,0.07
,,2005 - 2006,0.07
,,2006 - 2007,0.08
,,2007 - 2008,0.07
,,2008 - 2009,0.07
,,2009 - 2010,0.05
,,2011 - 2012,0.08
,,2013 - 2014,0.06
,,2014 - 2015,0.06
,,2015 - 2016,0.09
,,2016 - 2017,0.08
,,2017 - 2018,0.08
,,2018 - 2019,0.08
,,2019 - 2020,0.08
,,2020 - 2021,0.1
,,2021 - 2022,0.08
,,2022 - 2023,0.08
,The nilgiris,2000 - 2001,0.09
,,2003 - 2004,0.09
,,2004 - 2005,0.09
,,2005 - 2006,0.09
,,2006 - 2007,0.09
,,2007 - 2008,0.09
,,2008 - 2009,0.09
,,2009 - 2010,0.09
,,2011 - 2012,0.09
,,2013 - 2014,0.09
,,2014 - 2015,0.09
,,2015 - 2016,0.0
,,2016 - 2017,0.09
,,2017 - 2018,0.09
,,2018 - 2019,0.09
,,2019 - 2020,0.09
,,2020 - 2021,0.09
,,2021 - 2022,0.09
,,2022 - 2023,0.09
,Theni,2000 - 2001,0.09
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.1
,,2008 - 2009,0.1
,,2009 - 2010,0.1
,,2011 - 2012,0.1
,,2013 - 2014,0.1
,,2014 - 2015,0.1
,,2015 - 2016,0.02
,,2016 - 2017,0.1
,,2017 - 2018,0.1
,,2018 - 2019,0.1
,,2019 - 2020,0.1
,,2020 - 2021,0.09
,,2021 - 2022,0.09
,,2022 - 2023,0.1
,Thenkasi,2020 - 2021,0.09
,,2021 - 2022,0.09
,,2022 - 2023,0.1
,Thiruvarur,2017 - 2018,0.0
,Tiruchirappalli,2003 - 2004,0.0
,,2004 - 2005,0.0
,Tirunelveli,2000 - 2001,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.1
,,2008 - 2009,0.09
,,2009 - 2010,0.1
,,2011 - 2012,0.1
,,2013 - 2014,0.1
,,2014 - 2015,0.09
,,2015 - 2016,0.01
,,2016 - 2017,0.1
,,2017 - 2018,0.1
,,2018 - 2019,0.09
,,2019 - 2020,0.1
,,2020 - 2021,0.09
,,2021 - 2022,0.1
,,2022 - 2023,0.09
,Tiruvannamalai,2005 - 2006,0.0
,,2016 - 2017,0.0
,,2022 - 2023,0.0
,Vellore,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.5
,Villupuram,2009 - 2010,0.0
,Virudhunagar,2003 - 2004,0.09
,,2004 - 2005,0.09
,,2005 - 2006,0.09
,,2006 - 2007,0.09
,,2007 - 2008,0.09
,,2008 - 2009,0.09
,,2009 - 2010,0.09
,,2011 - 2012,0.09
,,2013 - 2014,0.09
,,2014 - 2015,0.09
,,2015 - 2016,0.73
,,2016 - 2017,0.09
,,2017 - 2018,0.09
,,2018 - 2019,0.09
,,2019 - 2020,0.09
,,2020 - 2021,0.09
,,2021 - 2022,0.09
,,2022 - 2023,0.09
West Bengal,Darjeeling,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2008 - 2009,2.87
