state,district,year,tapioca_whole_year_yield_tonne_per_hectare
,,2015 - 2016,8.7
,,2016 - 2017,8.83
,,2017 - 2018,8.85
,,2018 - 2019,9.04
,,2019 - 2020,9.26
,,2020 - 2021,9.25
,,2021 - 2022,9.26
,,2022 - 2023,9.6
,Majuli,2021 - 2022,10.0
,,2022 - 2023,10.0
,Marigaon,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,4.8
,,2005 - 2006,4.85
,,2006 - 2007,4.67
,,2007 - 2008,4.83
,,2008 - 2009,5.0
,,2009 - 2010,4.67
,,2010 - 2011,4.75
,,2011 - 2012,7.0
,,2012 - 2013,7.67
,,2013 - 2014,8.0
,,2014 - 2015,7.78
,,2015 - 2016,7.8
,,2016 - 2017,7.95
,,2017 - 2018,8.0
,,2018 - 2019,8.95
,,2019 - 2020,9.27
,,2020 - 2021,9.27
,,2021 - 2022,9.29
,,2022 - 2023,9.5
,Nagaon,2000 - 2001,3.55
,,2001 - 2002,3.9
,,2002 - 2003,3.65
,,2003 - 2004,3.7
,,2005 - 2006,3.71
,,2006 - 2007,3.8
,,2007 - 2008,3.95
,,2008 - 2009,4.04
,,2009 - 2010,4.8
,,2010 - 2011,4.23
,,2011 - 2012,9.26
,,2012 - 2013,9.46
,,2013 - 2014,9.45
,,2014 - 2015,9.45
,,2015 - 2016,9.43
,,2016 - 2017,9.52
,,2017 - 2018,5.98
,,2018 - 2019,7.69
,,2019 - 2020,7.88
,,2020 - 2021,16.5
,,2021 - 2022,9.88
,,2022 - 2023,10.29
,Nalbari,2000 - 2001,7.05
,,2001 - 2002,7.05
,,2002 - 2003,7.05
,,2003 - 2004,7.05
,,2005 - 2006,7.05
,,2006 - 2007,7.05
,,2007 - 2008,7.06
,,2008 - 2009,7.67
,,2009 - 2010,7.2
,,2010 - 2011,7.3
,,2011 - 2012,9.71
,,2012 - 2013,9.86
,,2013 - 2014,10.0
,,2014 - 2015,10.0
,,2015 - 2016,10.0
,,2016 - 2017,10.2
,,2017 - 2018,10.4
,,2018 - 2019,8.4
,,2019 - 2020,8.75
,,2020 - 2021,8.75
,,2022 - 2023,12.0
,Sivasagar,2000 - 2001,4.0
,,2001 - 2002,4.0
,,2002 - 2003,3.88
,,2003 - 2004,3.5
,,2005 - 2006,4.17
,,2006 - 2007,3.5
,,2007 - 2008,3.73
,,2008 - 2009,3.55
,,2009 - 2010,3.0
,,2010 - 2011,4.11
,,2011 - 2012,9.69
,,2012 - 2013,9.93
,,2013 - 2014,9.93
,,2014 - 2015,9.93
,,2015 - 2016,9.93
,,2016 - 2017,10.0
,,2017 - 2018,7.28
,,2018 - 2019,8.75
,,2019 - 2020,9.0
,,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Sonitpur,2000 - 2001,4.57
,,2001 - 2002,4.55
,,2002 - 2003,4.58
,,2003 - 2004,4.57
,,2005 - 2006,4.57
,,2006 - 2007,4.57
,,2007 - 2008,4.58
,,2008 - 2009,4.57
,,2009 - 2010,4.57
,,2010 - 2011,4.57
,,2011 - 2012,8.68
,,2012 - 2013,8.78
,,2013 - 2014,8.78
,,2014 - 2015,8.79
,,2015 - 2016,8.79
,,2016 - 2017,8.81
,,2017 - 2018,8.82
,,2018 - 2019,8.88
,,2019 - 2020,9.04
,,2020 - 2021,11.67
,,2021 - 2022,11.67
,,2022 - 2023,11.74
,South salmara mancachar,2020 - 2021,9.5
,,2021 - 2022,9.6
,,2022 - 2023,10.43
,Tinsukia,2000 - 2001,4.0
,,2001 - 2002,4.0
,,2002 - 2003,4.0
,,2003 - 2004,4.0
,,2005 - 2006,4.0
,,2006 - 2007,4.0
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,4.0
,,2010 - 2011,4.0
,,2011 - 2012,9.0
,,2012 - 2013,8.32
,,2013 - 2014,8.36
,,2014 - 2015,8.32
,,2015 - 2016,8.34
,,2016 - 2017,7.2
,,2017 - 2018,7.23
,,2018 - 2019,8.5
,,2019 - 2020,8.77
,,2020 - 2021,8.8
,,2021 - 2022,8.79
,,2022 - 2023,9.25
,Udalguri,2005 - 2006,4.25
,,2006 - 2007,4.25
,,2007 - 2008,4.25
,,2008 - 2009,4.25
,,2009 - 2010,4.25
,,2010 - 2011,4.25
,,2011 - 2012,8.23
,,2012 - 2013,8.34
,,2013 - 2014,9.49
,,2014 - 2015,9.49
,,2015 - 2016,9.56
,,2016 - 2017,9.58
,,2017 - 2018,9.59
,,2018 - 2019,9.53
,,2019 - 2020,9.75
,,2020 - 2021,9.56
,,2021 - 2022,9.56
,,2022 - 2023,11.54
,West karbi anglong,2020 - 2021,11.3
,,2021 - 2022,11.3
,,2022 - 2023,9.88
Karnataka,Bagalkot,2018 - 2019,13.0
,,2019 - 2020,12.7
,,2020 - 2021,12.83
,,2022 - 2023,11.43
,Bangalore rural,2000 - 2001,7.28
,,2002 - 2003,7.36
,,2003 - 2004,7.33
,,2004 - 2005,7.34
,,2005 - 2006,7.3
,,2006 - 2007,7.33
,,2007 - 2008,7.33
,,2008 - 2009,9.67
,,2009 - 2010,9.2
,,2010 - 2011,11.0
,,2011 - 2012,10.56
,,2012 - 2013,10.5
,,2013 - 2014,8.75
,,2014 - 2015,9.0
,,2015 - 2016,7.5
,,2016 - 2017,6.05
,,2017 - 2018,8.38
,,2018 - 2019,13.25
,,2019 - 2020,12.73
,,2020 - 2021,12.85
,,2021 - 2022,12.67
,,2022 - 2023,20.0
,Belgaum,2012 - 2013,10.5
,,2013 - 2014,8.75
,,2015 - 2016,7.49
,,2019 - 2020,12.69
,,2020 - 2021,12.8
,,2021 - 2022,13.0
,,2022 - 2023,11.58
,Bellary,2018 - 2019,13.33
,,2021 - 2022,13.0
,Bengaluru urban,2014 - 2015,9.0
,,2018 - 2019,13.25
,,2019 - 2020,12.71
,,2020 - 2021,12.8
,,2021 - 2022,12.75
,Bidar,2018 - 2019,13.33
,,2019 - 2020,12.71
,,2020 - 2021,12.83
,,2021 - 2022,12.7
,Bijapur,2019 - 2020,12.5
,,2020 - 2021,12.82
,,2021 - 2022,12.75
,Chamarajanagar,2009 - 2010,9.5
,,2014 - 2015,9.0
,,2015 - 2016,7.48
,,2017 - 2018,8.36
,,2018 - 2019,13.29
,,2019 - 2020,13.01
,,2020 - 2021,12.62
,,2021 - 2022,13.27
,,2022 - 2023,11.71
,Chikballapur,2018 - 2019,13.5
,,2022 - 2023,11.5
,Chikmagalur,2000 - 2001,10.86
,,2002 - 2003,10.88
,,2003 - 2004,10.87
,,2004 - 2005,10.86
,,2005 - 2006,10.85
,,2006 - 2007,10.85
,,2007 - 2008,10.89
,,2008 - 2009,9.72
,,2009 - 2010,9.25
,,2010 - 2011,11.07
,,2011 - 2012,10.53
,,2012 - 2013,10.57
,,2018 - 2019,13.29
,,2019 - 2020,12.67
,,2020 - 2021,13.0
,,2021 - 2022,12.71
,,2022 - 2023,7.0
,Chitradurga,2021 - 2022,12.68
,Dakshin kannad,2000 - 2001,7.85
,,2002 - 2003,7.85
,,2003 - 2004,7.85
,,2004 - 2005,7.85
,,2005 - 2006,7.85
,,2006 - 2007,7.85
,,2007 - 2008,7.85
,,2008 - 2009,9.88
,,2009 - 2010,9.26
,,2010 - 2011,10.87
,,2011 - 2012,11.11
,,2012 - 2013,11.11
,,2013 - 2014,8.18
,,2014 - 2015,8.54
,,2015 - 2016,6.63
,,2016 - 2017,4.45
,,2017 - 2018,7.34
,,2018 - 2019,12.0
,,2019 - 2020,13.0
,,2020 - 2021,13.0
,,2021 - 2022,12.5
,,2022 - 2023,12.0
,Davangere,2021 - 2022,13.0
,Dharwad,2019 - 2020,12.69
,,2020 - 2021,12.86
,,2021 - 2022,12.7
,,2022 - 2023,9.0
,Gadag,2017 - 2018,8.25
,,2018 - 2019,13.29
,,2019 - 2020,12.7
,,2020 - 2021,13.0
,,2021 - 2022,12.75
,,2022 - 2023,12.08
,Gulbarga,2018 - 2019,13.33
,,2019 - 2020,12.69
,,2020 - 2021,12.0
,,2021 - 2022,12.36
,,2022 - 2023,12.67
,Hassan,2012 - 2013,10.56
,,2015 - 2016,7.5
,,2016 - 2017,6.08
,,2017 - 2018,8.36
,,2018 - 2019,13.27
,,2019 - 2020,12.7
,,2020 - 2021,12.54
,,2021 - 2022,13.81
,,2022 - 2023,12.18
,Haveri,2019 - 2020,13.0
,,2020 - 2021,12.75
,,2021 - 2022,13.0
,Kodagu,2000 - 2001,20.0
,,2002 - 2003,20.2
,,2003 - 2004,20.14
,,2004 - 2005,20.11
,,2005 - 2006,20.13
,,2006 - 2007,20.14
,,2007 - 2008,20.14
,,2008 - 2009,11.68
,,2009 - 2010,13.42
,,2010 - 2011,11.87
,,2011 - 2012,8.17
,,2012 - 2013,8.18
,,2013 - 2014,11.21
,,2014 - 2015,11.08
,,2015 - 2016,11.14
,,2016 - 2017,11.54
,,2017 - 2018,11.87
,,2018 - 2019,13.33
,,2019 - 2020,12.26
,,2020 - 2021,12.29
,,2021 - 2022,13.58
,,2022 - 2023,15.06
,Kolar,2018 - 2019,13.33
,,2019 - 2020,12.67
,,2020 - 2021,13.0
,,2022 - 2023,11.5
,Koppal,2019 - 2020,12.67
,,2020 - 2021,12.8
,,2021 - 2022,12.67
,,2022 - 2023,11.42
,Mandya,2004 - 2005,8.0
,,2012 - 2013,10.58
,,2013 - 2014,8.5
,,2014 - 2015,9.0
,,2015 - 2016,7.0
,,2018 - 2019,13.0
,,2020 - 2021,13.0
,Mysore,2006 - 2007,8.4
,,2008 - 2009,8.24
,,2009 - 2010,8.39
,,2010 - 2011,11.08
,,2011 - 2012,10.57
,,2012 - 2013,10.58
,,2013 - 2014,8.5
,,2014 - 2015,9.0
,,2015 - 2016,7.5
,,2016 - 2017,6.06
,,2017 - 2018,8.39
,,2018 - 2019,13.29
,,2019 - 2020,12.7
,,2020 - 2021,13.0
,,2021 - 2022,12.51
,,2022 - 2023,10.38
,Raichur,2020 - 2021,13.0
,,2021 - 2022,12.67
,Ramanagara,2007 - 2008,7.5
,,2008 - 2009,9.75
,,2009 - 2010,9.25
,,2010 - 2011,11.0
,,2011 - 2012,10.6
,,2012 - 2013,10.5
,,2013 - 2014,8.75
,,2014 - 2015,9.0
,,2015 - 2016,7.5
,,2016 - 2017,6.0
,,2017 - 2018,8.33
,,2018 - 2019,13.28
,,2019 - 2020,12.67
,,2020 - 2021,13.0
,,2021 - 2022,12.75
,,2022 - 2023,5.5
,Shimoga,2000 - 2001,6.52
,,2002 - 2003,6.5
,,2003 - 2004,6.55
,,2004 - 2005,6.5
,,2005 - 2006,6.56
,,2006 - 2007,6.5
,,2010 - 2011,11.06
,,2011 - 2012,10.5
,,2018 - 2019,13.5
,,2019 - 2020,12.75
,,2020 - 2021,13.0
,,2021 - 2022,12.5
,Tumkur,2000 - 2001,6.55
,,2002 - 2003,6.58
,,2003 - 2004,6.58
,,2004 - 2005,6.57
,,2005 - 2006,6.6
,,2006 - 2007,6.55
,,2007 - 2008,6.67
,,2008 - 2009,9.67
,,2009 - 2010,9.29
,,2010 - 2011,11.05
,,2011 - 2012,10.58
,,2012 - 2013,10.55
,,2013 - 2014,8.75
,,2015 - 2016,7.48
,,2016 - 2017,6.06
,,2017 - 2018,8.36
,,2018 - 2019,13.29
,,2019 - 2020,12.75
,,2020 - 2021,12.87
,,2021 - 2022,12.67
,,2022 - 2023,10.16
,Udupi,2000 - 2001,7.85
,,2002 - 2003,7.86
,,2003 - 2004,7.85
,,2004 - 2005,7.85
