state,district,year,onion_rabi_yield_tonne_per_hectare
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,11.86
,,2017 - 2018,14.15
,,2018 - 2019,13.13
,,2019 - 2020,13.35
,,2020 - 2021,14.96
,,2021 - 2022,14.9
,,2022 - 2023,5.94
,Lakhisarai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2018 - 2019,11.33
,,2019 - 2020,5.95
,,2020 - 2021,13.67
,,2021 - 2022,14.98
,,2022 - 2023,14.59
,Madhepura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,11.86
,,2017 - 2018,10.54
,,2018 - 2019,11.91
,,2019 - 2020,5.06
,,2020 - 2021,21.63
,,2021 - 2022,14.11
,,2022 - 2023,13.75
,Madhubani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,5.81
,,2017 - 2018,20.0
,,2018 - 2019,6.78
