state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2018 - 2019,102.77
,,2019 - 2020,107.61
,,2020 - 2021,104.19
,,2021 - 2022,109.32
,,2022 - 2023,111.09
,Madurai,2000 - 2001,123.83
,,2001 - 2002,105.25
,,2002 - 2003,106.59
,,2003 - 2004,76.44
,,2004 - 2005,122.14
,,2005 - 2006,89.75
,,2006 - 2007,109.26
,,2007 - 2008,97.46
,,2008 - 2009,119.25
,,2009 - 2010,67.79
,,2010 - 2011,101.77
,,2011 - 2012,112.93
,,2012 - 2013,100.07
,,2013 - 2014,97.97
,,2014 - 2015,80.3
,,2015 - 2016,88.0
,,2016 - 2017,64.64
,,2017 - 2018,84.0
,,2018 - 2019,80.12
,,2019 - 2020,91.51
,,2020 - 2021,88.98
,,2021 - 2022,95.93
,,2022 - 2023,65.77
,Mayiladuthurai,2020 - 2021,103.82
,,2021 - 2022,109.11
,,2022 - 2023,111.09
,Nagapattinam,2000 - 2001,89.5
,,2001 - 2002,100.19
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,87.15
,,2005 - 2006,92.09
,,2006 - 2007,93.81
,,2007 - 2008,78.41
,,2008 - 2009,66.45
,,2009 - 2010,72.94
,,2010 - 2011,94.9
,,2011 - 2012,86.5
,,2012 - 2013,93.43
,,2013 - 2014,94.16
,,2014 - 2015,87.52
,,2015 - 2016,64.0
,,2016 - 2017,56.84
,,2017 - 2018,100.0
,,2018 - 2019,102.81
,,2019 - 2020,107.47
,,2022 - 2023,98.0
,Namakkal,2000 - 2001,133.61
,,2001 - 2002,117.62
,,2002 - 2003,135.69
,,2003 - 2004,125.81
,,2004 - 2005,137.92
,,2005 - 2006,138.92
,,2006 - 2007,188.41
,,2007 - 2008,126.36
,,2008 - 2009,124.28
,,2009 - 2010,135.01
,,2010 - 2011,129.76
,,2011 - 2012,135.72
,,2012 - 2013,79.2
,,2013 - 2014,118.83
,,2014 - 2015,126.07
,,2015 - 2016,109.0
,,2016 - 2017,107.42
,,2017 - 2018,101.0
,,2018 - 2019,117.33
,,2019 - 2020,138.47
,,2020 - 2021,118.37
,,2021 - 2022,136.23
,,2022 - 2023,119.96
,Perambalur,2000 - 2001,111.97
,,2001 - 2002,63.07
,,2002 - 2003,77.68
,,2003 - 2004,95.5
,,2004 - 2005,113.85
,,2005 - 2006,124.95
,,2006 - 2007,113.61
,,2007 - 2008,84.38
,,2008 - 2009,258.35
,,2009 - 2010,94.75
,,2010 - 2011,106.74
,,2011 - 2012,120.18
,,2012 - 2013,87.28
,,2013 - 2014,92.49
,,2014 - 2015,92.33
,,2015 - 2016,102.0
,,2016 - 2017,82.46
,,2017 - 2018,78.0
,,2018 - 2019,79.77
,,2019 - 2020,88.47
,,2020 - 2021,81.21
,,2021 - 2022,102.7
,,2022 - 2023,108.04
,Pudukkottai,2000 - 2001,107.04
,,2001 - 2002,100.19
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,124.55
,,2005 - 2006,134.9
,,2006 - 2007,145.54
,,2007 - 2008,113.87
,,2008 - 2009,105.41
,,2009 - 2010,101.49
,,2010 - 2011,108.66
,,2011 - 2012,131.61
,,2012 - 2013,87.36
,,2013 - 2014,69.01
,,2014 - 2015,107.21
,,2015 - 2016,107.0
,,2016 - 2017,88.22
,,2017 - 2018,76.0
,,2018 - 2019,88.42
,,2019 - 2020,122.56
,,2020 - 2021,92.93
,,2021 - 2022,103.72
,,2022 - 2023,110.55
,Ramanathapuram,2000 - 2001,106.33
,,2001 - 2002,100.17
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,110.07
,,2005 - 2006,104.69
,,2006 - 2007,122.79
,,2007 - 2008,107.54
,,2008 - 2009,106.21
,,2009 - 2010,101.45
,,2010 - 2011,108.41
,,2011 - 2012,112.53
,,2012 - 2013,97.64
,,2013 - 2014,103.57
,,2014 - 2015,106.79
,,2015 - 2016,101.0
,,2016 - 2017,86.99
,,2017 - 2018,100.0
,,2018 - 2019,103.28
,,2019 - 2020,108.12
,,2020 - 2021,104.39
,,2021 - 2022,108.75
,,2022 - 2023,111.01
,Ranipet,2020 - 2021,78.67
,,2021 - 2022,82.35
,,2022 - 2023,95.87
,Salem,2000 - 2001,133.61
,,2001 - 2002,85.92
,,2002 - 2003,64.26
,,2003 - 2004,94.65
,,2004 - 2005,91.24
,,2005 - 2006,93.8
,,2006 - 2007,105.39
,,2007 - 2008,92.39
,,2008 - 2009,93.01
,,2009 - 2010,82.39
,,2010 - 2011,105.55
,,2011 - 2012,100.07
,,2012 - 2013,85.34
,,2013 - 2014,96.08
,,2014 - 2015,98.36
,,2015 - 2016,85.0
,,2016 - 2017,71.67
,,2017 - 2018,97.0
,,2018 - 2019,95.45
,,2019 - 2020,83.98
,,2020 - 2021,94.7
,,2021 - 2022,97.28
,,2022 - 2023,119.8
,Sivaganga,2000 - 2001,89.29
,,2001 - 2002,86.61
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,86.97
,,2005 - 2006,95.59
,,2006 - 2007,106.11
,,2007 - 2008,100.51
,,2008 - 2009,110.73
,,2009 - 2010,97.88
,,2010 - 2011,87.4
,,2011 - 2012,123.93
,,2012 - 2013,90.11
,,2013 - 2014,63.09
,,2014 - 2015,89.76
,,2015 - 2016,97.0
,,2016 - 2017,50.38
,,2017 - 2018,57.0
,,2018 - 2019,48.23
,,2019 - 2020,77.53
,,2020 - 2021,105.06
,,2021 - 2022,81.72
,,2022 - 2023,109.84
,Thanjavur,2000 - 2001,91.25
,,2001 - 2002,95.7
,,2002 - 2003,102.31
,,2003 - 2004,124.19
,,2004 - 2005,113.55
,,2005 - 2006,99.64
,,2006 - 2007,105.38
,,2007 - 2008,108.04
,,2008 - 2009,99.69
,,2009 - 2010,106.87
,,2010 - 2011,134.39
,,2011 - 2012,111.35
,,2012 - 2013,110.43
,,2013 - 2014,118.0
,,2014 - 2015,108.28
,,2015 - 2016,86.0
,,2016 - 2017,88.45
,,2017 - 2018,101.0
,,2018 - 2019,93.66
,,2019 - 2020,106.5
,,2020 - 2021,75.0
,,2021 - 2022,101.08
,,2022 - 2023,112.77
,The nilgiris,2000 - 2001,107.14
,,2001 - 2002,100.0
,,2002 - 2003,92.14
,,2004 - 2005,110.09
,,2005 - 2006,104.73
,,2006 - 2007,122.8
,,2007 - 2008,107.5
,,2008 - 2009,106.2
,,2012 - 2013,97.75
,,2013 - 2014,103.67
,,2014 - 2015,106.75
,,2015 - 2016,101.0
,,2016 - 2017,87.0
,,2017 - 2018,100.0
,,2018 - 2019,95.0
,,2019 - 2020,86.0
,,2020 - 2021,83.0
,Theni,2000 - 2001,123.83
,,2001 - 2002,158.57
,,2002 - 2003,82.91
,,2003 - 2004,99.17
,,2004 - 2005,121.77
,,2005 - 2006,147.26
,,2006 - 2007,115.07
,,2007 - 2008,100.52
,,2008 - 2009,133.89
,,2009 - 2010,130.66
,,2010 - 2011,119.73
,,2011 - 2012,130.7
,,2012 - 2013,125.79
,,2013 - 2014,104.7
,,2014 - 2015,95.87
,,2015 - 2016,111.0
,,2016 - 2017,81.83
,,2017 - 2018,106.0
,,2018 - 2019,120.52
,,2019 - 2020,102.93
,,2020 - 2021,102.69
,,2021 - 2022,98.22
,,2022 - 2023,92.99
,Thenkasi,2020 - 2021,65.14
,,2021 - 2022,81.95
,,2022 - 2023,86.31
,Thiruvallur,2000 - 2001,120.67
,,2001 - 2002,131.03
,,2002 - 2003,111.06
,,2003 - 2004,101.12
,,2004 - 2005,101.68
,,2005 - 2006,102.61
,,2006 - 2007,135.54
,,2007 - 2008,116.97
,,2008 - 2009,111.64
,,2009 - 2010,101.58
,,2010 - 2011,110.11
,,2011 - 2012,108.13
,,2012 - 2013,97.28
,,2013 - 2014,94.99
,,2014 - 2015,98.62
,,2015 - 2016,100.0
,,2016 - 2017,95.25
,,2017 - 2018,96.0
,,2018 - 2019,82.92
,,2019 - 2020,102.7
,,2020 - 2021,102.73
,,2021 - 2022,110.49
,,2022 - 2023,114.91
,Thiruvarur,2000 - 2001,91.25
,,2001 - 2002,100.17
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,110.07
,,2005 - 2006,104.69
,,2006 - 2007,122.79
,,2007 - 2008,107.54
,,2008 - 2009,106.21
,,2009 - 2010,101.45
,,2010 - 2011,108.41
,,2011 - 2012,112.53
,,2012 - 2013,97.64
,,2013 - 2014,103.57
,,2014 - 2015,106.79
,,2015 - 2016,101.0
,,2016 - 2017,86.99
,,2017 - 2018,100.0
,,2018 - 2019,102.52
,,2019 - 2020,107.92
,,2020 - 2021,102.44
,,2021 - 2022,108.82
,,2022 - 2023,111.09
,Thoothukudi,2000 - 2001,107.02
,,2001 - 2002,100.0
,,2002 - 2003,91.86
,,2003 - 2004,101.68
,,2004 - 2005,110.07
,,2005 - 2006,104.69
,,2006 - 2007,122.79
,,2007 - 2008,107.54
,,2008 - 2009,106.21
,,2009 - 2010,101.45
,,2010 - 2011,108.41
,,2011 - 2012,112.53
,,2012 - 2013,97.63
,,2013 - 2014,103.57
,,2014 - 2015,106.79
,,2015 - 2016,101.0
,,2016 - 2017,86.99
,,2017 - 2018,100.0
,,2018 - 2019,102.97
,,2019 - 2020,108.12
,,2020 - 2021,101.71
,,2021 - 2022,143.0
,,2022 - 2023,108.5
,Tiruchirappalli,2000 - 2001,111.97
,,2001 - 2002,100.19
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,87.67
,,2005 - 2006,86.59
,,2006 - 2007,98.84
,,2007 - 2008,112.84
,,2008 - 2009,103.51
,,2009 - 2010,112.84
,,2010 - 2011,102.49
,,2011 - 2012,111.78
,,2012 - 2013,70.5
,,2013 - 2014,111.31
,,2014 - 2015,84.95
,,2015 - 2016,92.0
,,2016 - 2017,93.59
,,2017 - 2018,85.0
,,2018 - 2019,80.88
,,2019 - 2020,93.76
,,2020 - 2021,111.45
,,2021 - 2022,84.7
,,2022 - 2023,65.23
,Tirunelveli,2000 - 2001,99.81
,,2001 - 2002,100.19
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,110.07
,,2005 - 2006,76.59
,,2006 - 2007,122.79
,,2007 - 2008,102.36
,,2008 - 2009,100.37
,,2009 - 2010,87.04
,,2010 - 2011,101.27
,,2011 - 2012,85.58
,,2012 - 2013,77.42
,,2013 - 2014,63.82
,,2014 - 2015,78.04
,,2015 - 2016,106.0
,,2016 - 2017,40.17
,,2017 - 2018,100.0
,,2018 - 2019,102.73
,,2019 - 2020,84.81
,,2020 - 2021,104.27
,,2021 - 2022,111.68
,,2022 - 2023,111.04
,Tirupathur,2020 - 2021,81.62
,,2021 - 2022,90.82
,,2022 - 2023,110.91
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,110.85
,,2010 - 2011,122.3
,,2011 - 2012,121.14
,,2012 - 2013,91.89
,,2013 - 2014,98.01
,,2014 - 2015,105.23
,,2015 - 2016,123.0
,,2016 - 2017,52.87
,,2017 - 2018,112.0
,,2018 - 2019,134.55
,,2019 - 2020,129.34
,,2020 - 2021,132.53
,,2021 - 2022,117.49
,,2022 - 2023,126.09
,Tiruvannamalai,2000 - 2001,91.44
,,2001 - 2002,46.09
,,2002 - 2003,14.31
,,2003 - 2004,87.34
,,2004 - 2005,92.66
,,2005 - 2006,94.81
,,2006 - 2007,102.36
,,2007 - 2008,116.15
,,2008 - 2009,98.91
,,2009 - 2010,93.68
,,2010 - 2011,93.83
,,2011 - 2012,116.72
,,2012 - 2013,100.67
,,2013 - 2014,81.64
,,2014 - 2015,82.89
,,2015 - 2016,86.0
,,2016 - 2017,78.44
,,2017 - 2018,103.0
,,2018 - 2019,93.04
,,2019 - 2020,83.22
,,2020 - 2021,102.38
,,2021 - 2022,100.99
,,2022 - 2023,97.14
,Vellore,2000 - 2001,87.14
,,2001 - 2002,48.87
,,2002 - 2003,78.8
,,2003 - 2004,82.36
,,2004 - 2005,81.19
,,2005 - 2006,82.02
,,2006 - 2007,96.36
,,2007 - 2008,92.89
,,2008 - 2009,94.3
,,2009 - 2010,76.36
,,2010 - 2011,90.33
,,2011 - 2012,96.81
,,2012 - 2013,94.4
,,2013 - 2014,94.36
,,2014 - 2015,83.74
,,2015 - 2016,80.0
,,2016 - 2017,94.64
,,2017 - 2018,89.0
,,2018 - 2019,99.44
,,2019 - 2020,88.56
,,2020 - 2021,103.2
,,2021 - 2022,108.55
,,2022 - 2023,114.79
,Villupuram,2000 - 2001,108.87
,,2001 - 2002,118.7
,,2002 - 2003,87.16
,,2003 - 2004,103.22
,,2004 - 2005,114.38
,,2005 - 2006,110.2
,,2006 - 2007,132.9
,,2007 - 2008,102.07
,,2008 - 2009,109.48
,,2009 - 2010,107.07
,,2010 - 2011,112.46
,,2011 - 2012,109.75
,,2012 - 2013,109.58
,,2013 - 2014,119.38
,,2014 - 2015,117.53
,,2015 - 2016,111.0
,,2016 - 2017,105.32
,,2017 - 2018,106.0
,,2018 - 2019,101.52
,,2019 - 2020,105.53
,,2020 - 2021,110.47
,,2021 - 2022,104.57
,,2022 - 2023,114.72
,Virudhunagar,2000 - 2001,104.01
,,2001 - 2002,100.18
,,2002 - 2003,91.84
,,2003 - 2004,101.68
,,2004 - 2005,99.57
,,2005 - 2006,115.78
,,2006 - 2007,108.23
,,2007 - 2008,99.07
,,2008 - 2009,105.36
,,2009 - 2010,104.39
,,2010 - 2011,86.8
,,2011 - 2012,114.49
,,2012 - 2013,89.66
,,2013 - 2014,101.48
,,2014 - 2015,97.65
,,2015 - 2016,79.0
,,2016 - 2017,66.64
,,2017 - 2018,86.0
,,2018 - 2019,107.58
,,2019 - 2020,104.2
,,2020 - 2021,92.12
,,2021 - 2022,96.68
,,2022 - 2023,96.41
Telangana,Adilabad,2000 - 2001,77.93
,,2001 - 2002,88.0
,,2002 - 2003,71.25
,,2003 - 2004,80.0
,,2004 - 2005,72.0
,,2005 - 2006,88.99
,,2006 - 2007,89.75
,,2008 - 2009,85.0
,,2010 - 2011,84.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,51.74
,,2001 - 2002,85.84
,,2002 - 2003,64.61
,,2003 - 2004,77.81
,,2004 - 2005,71.07
,,2005 - 2006,93.32
,,2006 - 2007,89.86
,,2007 - 2008,86.0
,,2008 - 2009,85.0
,,2009 - 2010,102.85
,,2010 - 2011,77.93
,,2011 - 2012,91.37
,,2012 - 2013,79.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Khammam,2000 - 2001,78.76
,,2001 - 2002,84.94
,,2002 - 2003,64.2
,,2003 - 2004,76.65
,,2004 - 2005,69.71
,,2005 - 2006,91.12
,,2006 - 2007,96.4
,,2007 - 2008,106.4
,,2008 - 2009,92.9
,,2009 - 2010,98.37
,,2010 - 2011,95.05
,,2011 - 2012,89.98
,,2012 - 2013,100.4
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2002 - 2003,69.6
,,2003 - 2004,80.0
,,2004 - 2005,72.0
,,2005 - 2006,94.0
,,2006 - 2007,89.79
,,2008 - 2009,81.42
,,2009 - 2010,88.0
,,2010 - 2011,83.02
,,2011 - 2012,82.08
,,2012 - 2013,130.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2021 - 2022,
,Medak,2000 - 2001,54.8
,,2001 - 2002,86.93
,,2002 - 2003,72.46
,,2003 - 2004,73.66
,,2004 - 2005,65.31
,,2005 - 2006,89.84
,,2006 - 2007,83.43
,,2007 - 2008,80.15
,,2008 - 2009,79.74
,,2009 - 2010,81.67
,,2010 - 2011,74.41
,,2011 - 2012,87.9
,,2012 - 2013,90.76
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2019 - 2020,
,Nagarkurnool,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,22.97
,,2001 - 2002,85.75
,,2002 - 2003,68.4
,,2003 - 2004,75.85
,,2004 - 2005,69.19
,,2005 - 2006,92.48
,,2006 - 2007,85.27
,,2008 - 2009,77.52
,,2009 - 2010,87.77
,,2010 - 2011,78.98
,,2011 - 2012,92.05
,,2012 - 2013,80.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2020 - 2021,
,Nizamabad,2000 - 2001,80.99
,,2001 - 2002,82.31
,,2002 - 2003,51.35
,,2003 - 2004,76.97
,,2004 - 2005,73.07
,,2005 - 2006,86.91
,,2006 - 2007,84.24
,,2007 - 2008,82.68
,,2008 - 2009,77.43
,,2009 - 2010,66.67
,,2010 - 2011,76.72
,,2011 - 2012,73.72
,,2012 - 2013,72.13
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,44.45
,,2001 - 2002,83.45
,,2002 - 2003,63.5
,,2003 - 2004,73.78
,,2004 - 2005,70.1
,,2005 - 2006,86.23
,,2006 - 2007,85.48
,,2007 - 2008,103.0
,,2008 - 2009,81.59
,,2009 - 2010,75.14
,,2010 - 2011,71.94
,,2011 - 2012,70.36
,,2012 - 2013,88.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2019 - 2020,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tripura,Dhalai,2000 - 2001,51.32
,,2001 - 2002,51.84
,,2002 - 2003,45.38
,,2003 - 2004,36.82
,,2004 - 2005,46.24
,,2005 - 2006,45.87
,,2006 - 2007,44.57
,,2007 - 2008,45.39
,,2008 - 2009,53.31
,,2009 - 2010,53.13
,,2010 - 2011,49.26
,,2011 - 2012,46.77
,,2012 - 2013,49.86
,,2013 - 2014,49.51
,,2014 - 2015,50.17
,,2015 - 2016,49.92
,,2016 - 2017,52.62
,,2017 - 2018,61.0
,,2018 - 2019,56.68
,,2019 - 2020,54.07
,,2020 - 2021,57.07
,,2021 - 2022,55.19
,,2022 - 2023,58.64
,Gomati,2012 - 2013,49.2
,,2013 - 2014,49.41
,,2014 - 2015,50.74
,,2015 - 2016,50.49
,,2016 - 2017,53.05
,,2017 - 2018,47.25
,,2018 - 2019,45.65
,,2019 - 2020,45.51
,,2020 - 2021,48.53
,,2021 - 2022,47.08
,,2022 - 2023,48.03
,Khowai,2012 - 2013,53.74
,,2013 - 2014,55.58
,,2014 - 2015,54.42
,,2015 - 2016,54.22
,,2016 - 2017,56.13
,,2017 - 2018,54.64
,,2018 - 2019,55.28
,,2019 - 2020,54.31
,,2020 - 2021,56.66
,,2021 - 2022,55.6
,,2022 - 2023,55.27
,North tripura,2000 - 2001,53.15
,,2001 - 2002,52.26
,,2002 - 2003,49.68
,,2003 - 2004,41.36
,,2004 - 2005,48.45
,,2005 - 2006,48.32
,,2006 - 2007,48.09
,,2007 - 2008,49.07
,,2008 - 2009,66.01
,,2009 - 2010,54.97
,,2010 - 2011,53.27
,,2011 - 2012,50.25
,,2012 - 2013,50.47
,,2013 - 2014,53.23
,,2014 - 2015,54.96
,,2015 - 2016,51.76
,,2016 - 2017,55.42
,,2017 - 2018,53.1
,,2018 - 2019,56.96
,,2019 - 2020,57.02
,,2020 - 2021,56.09
,,2021 - 2022,55.48
,,2022 - 2023,56.26
,Sepahijala,2012 - 2013,53.66
,,2013 - 2014,56.88
,,2014 - 2015,57.31
,,2015 - 2016,53.57
,,2016 - 2017,57.55
,,2017 - 2018,55.88
,,2018 - 2019,61.65
,,2019 - 2020,60.21
,,2020 - 2021,62.87
,,2021 - 2022,61.82
,,2022 - 2023,63.2
,South tripura,2000 - 2001,51.42
,,2001 - 2002,50.74
,,2002 - 2003,49.58
,,2003 - 2004,48.45
,,2004 - 2005,49.45
,,2005 - 2006,51.28
,,2006 - 2007,49.1
,,2007 - 2008,49.29
,,2008 - 2009,49.23
,,2009 - 2010,48.32
,,2010 - 2011,49.57
,,2011 - 2012,48.59
,,2012 - 2013,48.51
,,2013 - 2014,48.38
,,2014 - 2015,49.54
,,2015 - 2016,49.19
,,2016 - 2017,52.37
,,2017 - 2018,49.4
,,2018 - 2019,49.83
,,2019 - 2020,46.76
,,2020 - 2021,51.14
,,2021 - 2022,50.17
,,2022 - 2023,51.38
,Unakoti,2012 - 2013,54.89
,,2013 - 2014,58.0
,,2014 - 2015,58.0
,,2015 - 2016,56.27
,,2016 - 2017,60.63
,,2017 - 2018,58.0
,,2018 - 2019,58.05
,,2019 - 2020,58.08
,,2020 - 2021,61.64
,,2021 - 2022,60.16
,,2022 - 2023,60.52
,West tripura,2000 - 2001,53.61
,,2001 - 2002,53.15
,,2002 - 2003,53.41
,,2003 - 2004,38.45
,,2004 - 2005,51.27
,,2005 - 2006,49.69
,,2006 - 2007,54.96
,,2007 - 2008,52.4
,,2008 - 2009,51.44
,,2009 - 2010,49.27
,,2010 - 2011,52.47
,,2011 - 2012,49.74
,,2012 - 2013,51.1
,,2013 - 2014,46.35
,,2014 - 2015,46.13
,,2015 - 2016,49.29
,,2016 - 2017,49.92
,,2017 - 2018,47.84
,,2018 - 2019,59.44
,,2019 - 2020,59.43
,,2020 - 2021,63.23
,,2021 - 2022,61.33
,,2022 - 2023,61.78
Uttar Pradesh,Agra,2000 - 2001,44.71
,,2001 - 2002,52.42
,,2002 - 2003,54.41
,,2003 - 2004,51.72
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Aligarh,2000 - 2001,57.45
,,2001 - 2002,63.42
,,2002 - 2003,62.11
,,2003 - 2004,57.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2000 - 2001,46.19
,,2001 - 2002,42.02
,,2002 - 2003,43.41
,,2003 - 2004,43.92
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Ambedkar nagar,2000 - 2001,53.69
,,2001 - 2002,56.77
,,2002 - 2003,51.14
,,2003 - 2004,45.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Amroha,2000 - 2001,57.7
,,2001 - 2002,59.57
,,2002 - 2003,60.48
,,2003 - 2004,60.09
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2000 - 2001,43.4
,,2001 - 2002,59.71
,,2002 - 2003,57.27
,,2003 - 2004,70.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
