state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2021 - 2022,20.89
,,2022 - 2023,36.76
,Barpeta,2000 - 2001,36.9
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.64
,,2007 - 2008,38.08
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.19
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Biswanath,2020 - 2021,33.74
,,2021 - 2022,32.96
,,2022 - 2023,33.66
,Bongaigaon,2000 - 2001,36.9
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.63
,,2007 - 2008,38.08
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.19
,,2011 - 2012,37.05
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.57
,Cachar,2000 - 2001,15.6
,,2001 - 2002,36.95
,,2002 - 2003,43.8
,,2003 - 2004,40.47
,,2004 - 2005,36.92
,,2005 - 2006,37.91
,,2006 - 2007,43.06
,,2007 - 2008,43.14
,,2008 - 2009,42.74
,,2009 - 2010,43.12
,,2010 - 2011,41.16
,,2011 - 2012,37.05
,,2012 - 2013,35.61
,,2013 - 2014,33.83
,,2014 - 2015,35.42
,,2015 - 2016,31.87
,,2016 - 2017,32.64
,,2017 - 2018,30.8
,,2018 - 2019,29.08
,,2019 - 2020,41.01
,,2020 - 2021,30.9
,,2021 - 2022,38.78
,,2022 - 2023,44.56
,Charaideo,2020 - 2021,35.84
,,2021 - 2022,38.96
,,2022 - 2023,44.57
,Chirang,2005 - 2006,37.19
,,2006 - 2007,39.64
,,2007 - 2008,38.08
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.05
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.25
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
