state,district,year,urad_kharif_yield_tonne_per_hectare
,,2022 - 2023,0.47
,Wanaparthy,2016 - 2017,0.82
,,2017 - 2018,0.81
,,2018 - 2019,0.85
,,2019 - 2020,0.95
,,2020 - 2021,0.73
,,2021 - 2022,0.79
,,2022 - 2023,0.7
,Warangal,2000 - 2001,
,,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2003 - 2004,0.75
,,2004 - 2005,0.45
,,2005 - 2006,0.44
,,2006 - 2007,0.25
,,2007 - 2008,
,,2008 - 2009,0.65
,,2009 - 2010,0.1
,,2010 - 2011,0.62
,,2011 - 2012,0.7
,,2012 - 2013,
,,2013 - 2014,0.82
,,2014 - 2015,0.64
,,2015 - 2016,0.45
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.84
,,2019 - 2020,0.95
,,2020 - 2021,0.76
,,2021 - 2022,0.78
,,2022 - 2023,0.71
,Warangal urban,2016 - 2017,0.85
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.96
,,2020 - 2021,0.78
,,2021 - 2022,0.86
,,2022 - 2023,0.67
,Yadadri,2016 - 2017,0.81
,,2017 - 2018,0.8
,,2018 - 2019,0.86
,,2019 - 2020,0.92
,,2020 - 2021,0.77
,,2021 - 2022,0.86
,,2022 - 2023,0.71
Tripura,Dhalai,2004 - 2005,0.52
,,2005 - 2006,0.53
,,2006 - 2007,0.47
,,2007 - 2008,0.52
,,2008 - 2009,0.7
,,2009 - 2010,0.55
,,2010 - 2011,0.58
,,2011 - 2012,0.63
,,2012 - 2013,0.54
,,2013 - 2014,0.56
,,2014 - 2015,0.55
,,2015 - 2016,0.55
,,2016 - 2017,0.53
,,2017 - 2018,0.57
,,2018 - 2019,0.57
,,2019 - 2020,0.69
,,2020 - 2021,0.79
,,2021 - 2022,0.74
,,2022 - 2023,0.87
,Gomati,2012 - 2013,0.62
,,2013 - 2014,0.64
,,2014 - 2015,0.61
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.57
,,2019 - 2020,0.59
,,2020 - 2021,0.68
,,2021 - 2022,0.64
,,2022 - 2023,0.76
,Khowai,2012 - 2013,0.52
,,2013 - 2014,0.51
,,2014 - 2015,0.55
,,2015 - 2016,0.55
,,2016 - 2017,0.55
,,2017 - 2018,0.56
,,2018 - 2019,0.58
,,2019 - 2020,0.62
,,2020 - 2021,0.69
,,2021 - 2022,0.68
,,2022 - 2023,0.79
,North tripura,2004 - 2005,0.56
,,2005 - 2006,0.55
,,2006 - 2007,0.54
,,2007 - 2008,0.52
,,2008 - 2009,0.53
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.62
,,2012 - 2013,0.54
,,2013 - 2014,0.58
,,2014 - 2015,0.56
,,2015 - 2016,0.56
,,2016 - 2017,0.55
,,2017 - 2018,0.58
,,2018 - 2019,0.56
,,2019 - 2020,0.58
,,2020 - 2021,0.66
,,2021 - 2022,0.61
,,2022 - 2023,0.73
,Sepahijala,2012 - 2013,0.55
,,2013 - 2014,0.56
,,2014 - 2015,0.56
,,2015 - 2016,0.56
,,2016 - 2017,0.55
,,2017 - 2018,0.57
,,2018 - 2019,0.64
,,2019 - 2020,0.67
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,0.87
,South tripura,2004 - 2005,0.67
,,2005 - 2006,0.72
,,2006 - 2007,0.71
,,2007 - 2008,0.73
,,2008 - 2009,0.73
,,2009 - 2010,0.67
,,2010 - 2011,0.56
,,2011 - 2012,0.61
,,2012 - 2013,0.75
,,2013 - 2014,0.79
,,2014 - 2015,0.74
,,2015 - 2016,0.73
,,2016 - 2017,0.69
,,2017 - 2018,0.68
,,2018 - 2019,0.62
,,2019 - 2020,0.66
,,2020 - 2021,0.74
,,2021 - 2022,0.71
,,2022 - 2023,0.83
,Unakoti,2012 - 2013,0.53
,,2013 - 2014,0.49
,,2014 - 2015,0.49
,,2015 - 2016,0.5
,,2016 - 2017,0.51
,,2017 - 2018,0.54
,,2018 - 2019,0.57
,,2019 - 2020,0.6
,,2020 - 2021,0.68
,,2021 - 2022,0.62
,,2022 - 2023,0.74
,West tripura,2004 - 2005,0.55
,,2005 - 2006,0.53
,,2006 - 2007,0.54
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.56
,,2010 - 2011,0.58
,,2011 - 2012,0.62
,,2012 - 2013,0.55
,,2013 - 2014,0.57
,,2014 - 2015,0.52
,,2015 - 2016,0.52
,,2016 - 2017,0.54
,,2017 - 2018,0.57
,,2018 - 2019,0.58
,,2019 - 2020,0.61
,,2020 - 2021,0.7
,,2021 - 2022,0.66
,,2022 - 2023,0.77
Uttar Pradesh,Agra,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Aligarh,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.55
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Allahabad,2000 - 2001,0.46
,,2001 - 2002,0.44
,,2002 - 2003,
,,2003 - 2004,0.45
,,2007 - 2008,0.53
,,2008 - 2009,0.51
,,2009 - 2010,0.46
,,2010 - 2011,0.63
,,2011 - 2012,0.63
,,2012 - 2013,0.7
,,2013 - 2014,0.62
,,2014 - 2015,0.47
,,2015 - 2016,0.43
,,2016 - 2017,0.45
,,2017 - 2018,0.75
,,2018 - 2019,0.42
,,2019 - 2020,0.64
,,2020 - 2021,0.73
,,2021 - 2022,0.76
,,2022 - 2023,0.54
,Ambedkar nagar,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.59
,,2003 - 2004,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.54
,,2009 - 2010,0.57
,,2010 - 2011,0.54
,,2011 - 2012,0.55
,,2012 - 2013,0.75
,,2013 - 2014,0.37
,,2014 - 2015,0.53
,,2015 - 2016,0.16
,,2016 - 2017,0.44
,,2017 - 2018,0.4
,,2018 - 2019,0.38
,,2019 - 2020,0.44
,,2020 - 2021,0.47
,,2021 - 2022,0.46
,,2022 - 2023,0.33
,Amethi,2010 - 2011,0.47
,,2011 - 2012,0.57
,,2012 - 2013,0.56
,,2013 - 2014,0.37
,,2014 - 2015,0.52
,,2015 - 2016,0.16
,,2016 - 2017,0.44
,,2017 - 2018,0.41
,,2018 - 2019,0.39
,,2019 - 2020,0.44
,,2020 - 2021,0.47
,,2021 - 2022,0.46
,,2022 - 2023,0.32
,Amroha,2000 - 2001,0.82
,,2001 - 2002,0.41
,,2002 - 2003,0.82
,,2003 - 2004,0.51
,,2007 - 2008,0.84
,,2008 - 2009,0.93
,,2009 - 2010,0.94
,,2010 - 2011,0.88
,,2011 - 2012,0.79
,,2012 - 2013,0.91
,,2013 - 2014,0.77
,,2014 - 2015,0.89
,,2015 - 2016,0.65
,,2016 - 2017,0.83
,,2017 - 2018,0.73
,,2018 - 2019,1.02
,,2019 - 2020,0.76
,,2020 - 2021,0.85
,,2021 - 2022,0.79
,,2022 - 2023,0.72
,Auraiya,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.66
,,2003 - 2004,0.65
,,2007 - 2008,0.81
,,2008 - 2009,0.92
,,2009 - 2010,0.46
,,2010 - 2011,1.2
,,2011 - 2012,1.01
,,2012 - 2013,0.69
,,2013 - 2014,0.57
,,2014 - 2015,0.78
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.81
,,2018 - 2019,1.11
,,2019 - 2020,0.77
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.42
,Azamgarh,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.53
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Baghpat,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.59
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,1.1
,,2020 - 2021,1.22
,,2021 - 2022,1.12
,,2022 - 2023,1.31
,Bahraich,2000 - 2001,0.23
,,2001 - 2002,0.36
,,2002 - 2003,0.22
,,2003 - 2004,0.29
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Ballia,2000 - 2001,0.43
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.2
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.67
,,2012 - 2013,
,,2013 - 2014,0.4
,,2014 - 2015,0.5
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.5
,Balrampur,2000 - 2001,0.23
,,2001 - 2002,0.36
,,2002 - 2003,0.22
,,2003 - 2004,0.29
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.55
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Banda,2000 - 2001,0.34
,,2001 - 2002,0.32
,,2002 - 2003,0.31
,,2003 - 2004,0.41
,,2007 - 2008,0.21
,,2008 - 2009,0.2
,,2009 - 2010,0.22
,,2010 - 2011,0.34
,,2011 - 2012,0.28
,,2012 - 2013,0.45
,,2013 - 2014,0.43
,,2014 - 2015,0.32
,,2015 - 2016,0.16
,,2016 - 2017,0.32
,,2017 - 2018,0.59
,,2018 - 2019,0.54
,,2019 - 2020,0.67
,,2020 - 2021,0.53
,,2021 - 2022,0.6
,,2022 - 2023,0.55
,Barabanki,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.59
,,2003 - 2004,0.68
,,2007 - 2008,0.67
,,2008 - 2009,0.54
,,2009 - 2010,0.57
,,2010 - 2011,0.62
,,2011 - 2012,0.5
,,2012 - 2013,0.59
,,2013 - 2014,0.49
,,2014 - 2015,0.52
,,2015 - 2016,0.16
,,2016 - 2017,0.44
,,2017 - 2018,0.41
,,2018 - 2019,0.39
,,2019 - 2020,0.44
,,2020 - 2021,0.47
,,2021 - 2022,0.46
,,2022 - 2023,0.32
,Bareilly,2000 - 2001,0.7
,,2001 - 2002,0.5
,,2002 - 2003,0.58
,,2003 - 2004,0.46
,,2007 - 2008,0.94
,,2008 - 2009,0.8
,,2009 - 2010,0.83
,,2010 - 2011,0.51
,,2011 - 2012,0.88
,,2012 - 2013,0.7
,,2013 - 2014,0.49
,,2014 - 2015,0.65
,,2015 - 2016,0.33
,,2016 - 2017,0.64
,,2017 - 2018,0.54
,,2018 - 2019,1.34
,,2019 - 2020,1.34
,,2020 - 2021,1.5
,,2021 - 2022,1.41
,,2022 - 2023,0.89
,Basti,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.44
,,2014 - 2015,0.53
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.55
,,2019 - 2020,0.41
,,2020 - 2021,0.55
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Bijnor,2000 - 2001,0.82
,,2001 - 2002,0.41
,,2002 - 2003,0.67
,,2003 - 2004,0.64
,,2007 - 2008,0.84
,,2008 - 2009,0.93
,,2009 - 2010,0.94
,,2010 - 2011,0.92
,,2011 - 2012,0.99
,,2012 - 2013,0.85
,,2013 - 2014,0.79
,,2014 - 2015,1.0
,,2015 - 2016,0.69
,,2016 - 2017,0.83
,,2017 - 2018,0.76
,,2018 - 2019,0.78
,,2019 - 2020,0.89
,,2020 - 2021,0.98
,,2021 - 2022,1.03
,,2022 - 2023,0.95
,Budaun,2000 - 2001,0.7
,,2001 - 2002,0.53
,,2002 - 2003,0.64
,,2003 - 2004,0.54
,,2007 - 2008,0.78
,,2008 - 2009,0.79
,,2009 - 2010,0.76
,,2010 - 2011,1.1
,,2011 - 2012,1.01
,,2012 - 2013,0.87
,,2013 - 2014,0.78
,,2014 - 2015,0.65
,,2015 - 2016,0.65
,,2016 - 2017,0.59
,,2017 - 2018,0.62
,,2018 - 2019,1.36
,,2019 - 2020,1.32
,,2020 - 2021,1.19
,,2021 - 2022,1.19
,,2022 - 2023,0.83
,Bulandshahr,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.59
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,0.94
,,2020 - 2021,1.0
,,2021 - 2022,1.05
,,2022 - 2023,1.16
,Chandauli,2000 - 2001,0.7
,,2001 - 2002,0.66
,,2002 - 2003,0.6
,,2003 - 2004,0.42
,,2007 - 2008,0.86
,,2008 - 2009,0.46
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.36
,,2013 - 2014,0.45
,,2014 - 2015,0.66
,,2015 - 2016,0.77
,,2016 - 2017,0.77
,,2017 - 2018,0.55
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,1.34
,,2021 - 2022,0.97
,,2022 - 2023,0.69
,Chitrakoot,2000 - 2001,0.26
,,2001 - 2002,0.33
,,2002 - 2003,0.32
,,2003 - 2004,0.13
,,2007 - 2008,0.15
,,2008 - 2009,0.43
,,2009 - 2010,0.13
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.54
,,2013 - 2014,0.37
,,2014 - 2015,0.29
,,2015 - 2016,0.27
,,2016 - 2017,0.49
,,2017 - 2018,0.39
,,2018 - 2019,0.41
,,2019 - 2020,0.12
,,2020 - 2021,0.3
,,2021 - 2022,0.26
,,2022 - 2023,0.29
,Deoria,2000 - 2001,0.38
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.2
,,2008 - 2009,
,,2009 - 2010,0.39
,,2010 - 2011,0.75
,,2011 - 2012,0.7
,,2012 - 2013,0.67
,,2013 - 2014,0.44
,,2014 - 2015,0.55
,,2015 - 2016,
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,,2021 - 2022,0.4
,,2022 - 2023,0.5
,Etah,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Etawah,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.65
,,2003 - 2004,0.78
,,2007 - 2008,0.64
,,2008 - 2009,0.83
,,2009 - 2010,0.46
,,2010 - 2011,0.72
,,2011 - 2012,0.94
,,2012 - 2013,1.03
,,2013 - 2014,0.57
,,2014 - 2015,0.52
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.81
,,2018 - 2019,1.11
,,2019 - 2020,0.69
,,2020 - 2021,0.66
,,2021 - 2022,0.71
,,2022 - 2023,0.29
,Faizabad,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.59
,,2003 - 2004,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.54
,,2009 - 2010,0.57
,,2010 - 2011,0.54
,,2011 - 2012,0.53
,,2012 - 2013,0.74
,,2013 - 2014,0.37
,,2014 - 2015,0.52
,,2015 - 2016,0.16
,,2016 - 2017,0.44
,,2017 - 2018,0.41
,,2018 - 2019,0.39
,,2019 - 2020,0.44
,,2020 - 2021,0.47
,,2021 - 2022,0.46
,,2022 - 2023,0.32
,Farrukhabad,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.66
,,2003 - 2004,0.58
,,2007 - 2008,0.42
,,2008 - 2009,0.5
,,2009 - 2010,0.46
,,2010 - 2011,0.72
,,2011 - 2012,0.69
,,2012 - 2013,0.69
,,2013 - 2014,0.57
,,2014 - 2015,0.53
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.81
,,2018 - 2019,1.11
,,2019 - 2020,0.69
,,2020 - 2021,0.66
,,2021 - 2022,0.71
,,2022 - 2023,0.29
,Fatehpur,2000 - 2001,0.47
,,2001 - 2002,0.5
,,2002 - 2003,0.58
,,2003 - 2004,0.47
,,2007 - 2008,0.54
,,2008 - 2009,0.47
,,2009 - 2010,0.35
,,2010 - 2011,0.63
,,2011 - 2012,0.64
,,2012 - 2013,0.66
,,2013 - 2014,0.57
,,2014 - 2015,0.36
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.86
,,2018 - 2019,0.53
,,2019 - 2020,0.61
,,2020 - 2021,0.79
,,2021 - 2022,0.78
,,2022 - 2023,0.55
,Firozabad,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.55
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Gautam buddha nagar,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.23
,,2007 - 2008,0.5
,,2008 - 2009,0.55
,,2009 - 2010,0.4
,,2010 - 2011,0.7
,,2011 - 2012,0.6
,,2012 - 2013,1.0
,,2013 - 2014,0.43
,,2014 - 2015,0.5
,,2015 - 2016,0.29
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.31
,Ghaziabad,2000 - 2001,0.42
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.44
,,2014 - 2015,0.53
,,2015 - 2016,0.29
,,2016 - 2017,0.58
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,1.09
,,2020 - 2021,1.23
,,2021 - 2022,1.13
,,2022 - 2023,1.31
,Ghazipur,2000 - 2001,0.7
,,2001 - 2002,0.66
,,2002 - 2003,0.61
,,2003 - 2004,0.42
,,2007 - 2008,0.86
,,2008 - 2009,0.46
,,2009 - 2010,0.38
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.36
,,2013 - 2014,0.45
,,2014 - 2015,0.66
,,2015 - 2016,0.77
,,2016 - 2017,0.77
,,2017 - 2018,0.55
,,2018 - 2019,0.75
,,2019 - 2020,0.04
,,2020 - 2021,0.91
,,2021 - 2022,0.9
,,2022 - 2023,0.68
,Gonda,2000 - 2001,0.23
,,2001 - 2002,0.36
,,2002 - 2003,0.21
,,2003 - 2004,0.29
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.55
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Gorakhpur,2000 - 2001,0.41
,,2001 - 2002,0.42
,,2002 - 2003,0.38
,,2003 - 2004,0.26
,,2007 - 2008,0.43
,,2008 - 2009,0.67
,,2009 - 2010,0.39
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.42
,,2014 - 2015,0.5
,,2015 - 2016,0.29
,,2016 - 2017,0.57
,,2017 - 2018,0.4
,,2018 - 2019,0.56
,,2019 - 2020,0.38
,,2020 - 2021,0.5
,,2021 - 2022,0.4
,,2022 - 2023,0.57
,Hamirpur,2000 - 2001,0.48
,,2001 - 2002,0.3
,,2002 - 2003,0.35
,,2003 - 2004,0.17
,,2007 - 2008,0.14
,,2008 - 2009,0.18
,,2009 - 2010,0.12
,,2010 - 2011,0.39
,,2011 - 2012,0.35
,,2012 - 2013,0.42
,,2013 - 2014,0.4
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.48
,,2017 - 2018,0.54
,,2018 - 2019,0.49
,,2019 - 2020,0.17
,,2020 - 2021,0.41
,,2021 - 2022,0.41
,,2022 - 2023,0.41
,Hapur,2012 - 2013,0.66
,,2013 - 2014,0.45
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.59
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,1.1
,,2020 - 2021,1.22
,,2021 - 2022,1.12
,,2022 - 2023,1.31
,Hardoi,2000 - 2001,0.31
,,2001 - 2002,0.51
,,2002 - 2003,0.46
,,2003 - 2004,0.3
,,2007 - 2008,0.46
,,2008 - 2009,0.48
,,2009 - 2010,0.53
,,2010 - 2011,0.46
,,2011 - 2012,0.57
,,2012 - 2013,0.59
,,2013 - 2014,0.6
,,2014 - 2015,0.58
,,2015 - 2016,0.5
,,2016 - 2017,0.56
,,2017 - 2018,0.52
,,2018 - 2019,0.6
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,,2021 - 2022,0.58
,,2022 - 2023,0.52
,Hathras,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.24
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.39
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.44
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.52
,Jalaun,2000 - 2001,0.35
,,2001 - 2002,0.38
,,2002 - 2003,0.33
,,2003 - 2004,0.07
,,2007 - 2008,0.24
,,2008 - 2009,0.39
,,2009 - 2010,0.43
,,2010 - 2011,0.52
,,2011 - 2012,0.44
,,2012 - 2013,0.53
,,2013 - 2014,0.43
,,2014 - 2015,0.43
,,2015 - 2016,0.27
,,2016 - 2017,0.43
,,2017 - 2018,0.74
,,2018 - 2019,0.6
,,2019 - 2020,0.51
,,2020 - 2021,0.55
,,2021 - 2022,1.56
,,2022 - 2023,0.3
,Jaunpur,2000 - 2001,0.7
,,2001 - 2002,0.66
,,2002 - 2003,0.7
,,2003 - 2004,0.42
,,2007 - 2008,0.86
,,2008 - 2009,0.46
,,2009 - 2010,0.38
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.36
,,2013 - 2014,0.45
,,2014 - 2015,0.66
,,2015 - 2016,1.0
,,2016 - 2017,1.05
,,2017 - 2018,0.55
,,2018 - 2019,1.08
,,2019 - 2020,0.93
,,2020 - 2021,1.39
,,2021 - 2022,0.87
,,2022 - 2023,0.72
,Jhansi,2000 - 2001,0.38
,,2001 - 2002,0.35
,,2002 - 2003,0.17
,,2003 - 2004,0.08
,,2007 - 2008,0.15
,,2008 - 2009,0.36
,,2009 - 2010,0.08
,,2010 - 2011,0.52
,,2011 - 2012,0.59
,,2012 - 2013,0.55
,,2013 - 2014,0.34
,,2014 - 2015,0.3
,,2015 - 2016,0.18
,,2016 - 2017,0.39
,,2017 - 2018,0.32
,,2018 - 2019,0.16
,,2019 - 2020,0.07
,,2020 - 2021,0.3
,,2021 - 2022,0.22
,,2022 - 2023,0.24
,Kannauj,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.66
,,2003 - 2004,0.58
,,2007 - 2008,0.42
,,2008 - 2009,0.5
,,2009 - 2010,0.46
,,2010 - 2011,0.72
,,2011 - 2012,0.69
,,2012 - 2013,0.69
,,2013 - 2014,0.57
,,2014 - 2015,0.53
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.81
,,2018 - 2019,1.11
,,2019 - 2020,0.69
,,2020 - 2021,0.68
,,2021 - 2022,0.71
,,2022 - 2023,0.29
,Kanpur dehat,2003 - 2004,0.5
,,2007 - 2008,0.27
,,2008 - 2009,0.41
,,2009 - 2010,0.55
,,2010 - 2011,0.66
,,2011 - 2012,0.72
,,2012 - 2013,0.79
,,2013 - 2014,0.53
,,2014 - 2015,0.73
,,2015 - 2016,0.25
,,2016 - 2017,0.79
,,2017 - 2018,0.87
,,2018 - 2019,0.66
