state,district,year,jowar_rabi_yield_tonne_per_hectare
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sidhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Singrauli,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tikamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ujjain,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Umaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Vidisha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Maharashtra,Ahilyanagar,2000 - 2001,0.31
,,2001 - 2002,0.33
,,2002 - 2003,0.24
,,2003 - 2004,0.12
,,2004 - 2005,0.47
,,2005 - 2006,0.45
,,2006 - 2007,0.52
,,2007 - 2008,0.56
,,2008 - 2009,0.65
,,2009 - 2010,0.67
,,2010 - 2011,0.59
,,2011 - 2012,0.28
,,2012 - 2013,0.15
,,2013 - 2014,0.7
,,2014 - 2015,0.63
,,2015 - 2016,0.23
,,2016 - 2017,0.5
,,2017 - 2018,0.54
,,2018 - 2019,0.13
,,2019 - 2020,0.52
,,2020 - 2021,0.58
,,2021 - 2022,0.68
,,2022 - 2023,0.83
,Akola,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.67
,,2018 - 2019,0.0
,,2019 - 2020,0.79
,,2020 - 2021,1.11
,,2021 - 2022,0.86
,,2022 - 2023,1.23
,Amravati,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,0.83
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.0
,,2019 - 2020,0.79
,,2020 - 2021,1.11
,,2021 - 2022,0.86
,,2022 - 2023,1.23
,Beed,2000 - 2001,0.49
,,2001 - 2002,0.51
,,2002 - 2003,0.59
,,2003 - 2004,0.27
,,2004 - 2005,0.72
,,2005 - 2006,0.59
,,2006 - 2007,0.71
,,2007 - 2008,0.81
,,2008 - 2009,0.82
,,2009 - 2010,0.83
,,2010 - 2011,0.72
,,2011 - 2012,0.69
,,2012 - 2013,0.26
,,2013 - 2014,0.65
,,2014 - 2015,0.54
,,2015 - 2016,0.29
,,2016 - 2017,0.53
,,2017 - 2018,0.47
,,2018 - 2019,0.28
,,2019 - 2020,0.75
,,2020 - 2021,1.31
,,2021 - 2022,1.2
,,2022 - 2023,1.16
,Bhandara,2000 - 2001,0.27
,,2001 - 2002,0.44
,,2002 - 2003,0.38
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,Buldhana,2000 - 2001,0.64
,,2001 - 2002,1.04
,,2002 - 2003,0.83
,,2003 - 2004,0.75
,,2004 - 2005,0.42
,,2005 - 2006,0.55
,,2006 - 2007,0.88
,,2007 - 2008,1.1
,,2008 - 2009,1.07
,,2009 - 2010,1.23
,,2010 - 2011,1.0
,,2011 - 2012,0.83
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.82
,,2015 - 2016,0.56
,,2016 - 2017,1.16
,,2017 - 2018,0.69
,,2018 - 2019,0.48
,,2019 - 2020,0.92
,,2020 - 2021,1.24
,,2021 - 2022,1.05
,,2022 - 2023,1.39
,Chandrapur,2000 - 2001,0.24
,,2001 - 2002,0.5
,,2002 - 2003,0.29
,,2003 - 2004,
,,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,0.43
,,2007 - 2008,0.51
,,2008 - 2009,0.37
,,2009 - 2010,0.41
,,2010 - 2011,0.49
,,2011 - 2012,0.38
,,2012 - 2013,0.54
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.23
,,2018 - 2019,0.68
,,2019 - 2020,0.48
,,2020 - 2021,0.55
,,2021 - 2022,0.91
,,2022 - 2023,0.63
,Chhatrapati Sambhajinagar,2000 - 2001,0.58
,,2001 - 2002,0.58
,,2002 - 2003,0.56
,,2003 - 2004,0.36
,,2004 - 2005,0.64
,,2005 - 2006,0.8
,,2006 - 2007,0.98
,,2007 - 2008,1.06
,,2008 - 2009,0.9
,,2009 - 2010,1.09
,,2010 - 2011,0.78
,,2011 - 2012,0.76
,,2012 - 2013,0.27
,,2013 - 2014,0.76
,,2014 - 2015,0.42
,,2015 - 2016,0.32
,,2016 - 2017,0.89
,,2017 - 2018,0.68
,,2018 - 2019,0.31
,,2019 - 2020,0.98
,,2020 - 2021,0.72
,,2021 - 2022,0.75
,,2022 - 2023,0.69
,Dharashiv,2000 - 2001,0.79
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.14
,,2004 - 2005,0.57
,,2005 - 2006,0.81
,,2006 - 2007,0.73
,,2007 - 2008,0.87
,,2008 - 2009,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.75
,,2011 - 2012,0.72
,,2012 - 2013,0.39
,,2013 - 2014,0.84
,,2014 - 2015,0.35
,,2015 - 2016,0.3
,,2016 - 2017,0.83
,,2017 - 2018,0.72
,,2018 - 2019,0.67
,,2019 - 2020,0.92
,,2020 - 2021,1.31
,,2021 - 2022,1.15
,,2022 - 2023,1.23
,Dhule,2000 - 2001,0.4
,,2001 - 2002,0.64
,,2002 - 2003,0.84
,,2003 - 2004,1.46
,,2004 - 2005,1.45
,,2005 - 2006,0.75
,,2006 - 2007,1.21
,,2007 - 2008,1.67
,,2008 - 2009,1.23
,,2009 - 2010,1.28
,,2010 - 2011,1.66
,,2011 - 2012,1.23
,,2012 - 2013,1.13
,,2013 - 2014,1.39
,,2014 - 2015,1.35
,,2015 - 2016,0.91
,,2016 - 2017,1.14
,,2017 - 2018,1.03
,,2018 - 2019,0.73
,,2019 - 2020,1.92
,,2020 - 2021,1.64
,,2021 - 2022,1.54
,,2022 - 2023,1.53
,Gadchiroli,2000 - 2001,0.33
,,2001 - 2002,0.44
,,2002 - 2003,0.33
,,2003 - 2004,0.48
,,2004 - 2005,0.29
,,2005 - 2006,0.43
,,2006 - 2007,0.56
,,2007 - 2008,0.68
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,0.74
,,2011 - 2012,0.64
,,2012 - 2013,1.15
,,2013 - 2014,1.0
,,2014 - 2015,0.75
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.54
,,2018 - 2019,0.41
,,2019 - 2020,0.67
,,2020 - 2021,0.71
,,2021 - 2022,0.83
,,2022 - 2023,1.38
,Gondia,2002 - 2003,
,,2020 - 2021,0.33
,,2021 - 2022,0.81
,,2022 - 2023,0.9
,Hingoli,2000 - 2001,0.61
,,2001 - 2002,0.54
,,2002 - 2003,0.69
,,2003 - 2004,0.71
,,2004 - 2005,0.63
,,2005 - 2006,0.62
,,2006 - 2007,0.56
,,2007 - 2008,0.7
,,2008 - 2009,1.35
,,2009 - 2010,0.94
,,2010 - 2011,0.68
,,2011 - 2012,0.75
,,2012 - 2013,1.16
,,2013 - 2014,1.11
,,2014 - 2015,0.68
,,2015 - 2016,0.39
,,2016 - 2017,0.68
,,2017 - 2018,0.93
,,2018 - 2019,0.7
,,2019 - 2020,1.2
,,2020 - 2021,1.0
,,2021 - 2022,0.93
,,2022 - 2023,0.77
,Jalgaon,2000 - 2001,1.0
,,2001 - 2002,1.31
,,2002 - 2003,1.58
,,2003 - 2004,1.49
,,2004 - 2005,1.59
,,2005 - 2006,1.43
,,2006 - 2007,1.47
,,2007 - 2008,1.87
,,2008 - 2009,1.4
,,2009 - 2010,1.54
,,2010 - 2011,1.64
,,2011 - 2012,1.47
,,2012 - 2013,1.1
,,2013 - 2014,1.57
,,2014 - 2015,1.39
,,2015 - 2016,1.13
,,2016 - 2017,1.58
,,2017 - 2018,1.72
,,2018 - 2019,1.46
,,2019 - 2020,1.65
,,2020 - 2021,1.58
,,2021 - 2022,1.71
,,2022 - 2023,1.82
,Jalna,2000 - 2001,0.7
,,2001 - 2002,0.89
,,2002 - 2003,0.93
,,2003 - 2004,0.51
,,2004 - 2005,0.74
,,2005 - 2006,0.8
,,2006 - 2007,1.04
,,2007 - 2008,1.06
,,2008 - 2009,0.96
,,2009 - 2010,1.03
,,2010 - 2011,0.76
,,2011 - 2012,0.73
,,2012 - 2013,0.16
,,2013 - 2014,0.8
,,2014 - 2015,0.28
,,2015 - 2016,0.31
,,2016 - 2017,1.11
,,2017 - 2018,0.74
,,2018 - 2019,0.47
,,2019 - 2020,0.92
,,2020 - 2021,1.09
,,2021 - 2022,1.1
,,2022 - 2023,1.21
,Kolhapur,2000 - 2001,1.31
,,2001 - 2002,1.36
,,2002 - 2003,1.59
,,2003 - 2004,1.38
,,2004 - 2005,1.53
,,2005 - 2006,1.32
,,2006 - 2007,1.41
,,2007 - 2008,1.61
,,2008 - 2009,1.55
,,2009 - 2010,1.32
,,2010 - 2011,1.6
,,2011 - 2012,1.64
,,2012 - 2013,1.35
,,2013 - 2014,1.54
,,2014 - 2015,1.58
,,2015 - 2016,1.22
,,2016 - 2017,2.16
,,2017 - 2018,1.52
,,2018 - 2019,1.36
,,2019 - 2020,1.63
,,2020 - 2021,1.73
,,2021 - 2022,1.71
,,2022 - 2023,1.98
,Latur,2000 - 2001,0.75
,,2001 - 2002,0.6
,,2002 - 2003,0.7
,,2003 - 2004,0.43
,,2004 - 2005,0.61
,,2005 - 2006,0.92
,,2006 - 2007,0.74
,,2007 - 2008,0.96
,,2008 - 2009,0.76
,,2009 - 2010,0.83
,,2010 - 2011,0.74
,,2011 - 2012,1.01
,,2012 - 2013,0.94
,,2013 - 2014,0.99
,,2014 - 2015,0.36
,,2015 - 2016,0.37
,,2016 - 2017,1.09
,,2017 - 2018,0.75
,,2018 - 2019,0.68
,,2019 - 2020,0.95
,,2020 - 2021,1.34
,,2021 - 2022,1.22
,,2022 - 2023,0.97
,Nagpur,2000 - 2001,0.23
,,2001 - 2002,0.41
,,2002 - 2003,0.45
,,2003 - 2004,0.37
,,2004 - 2005,0.46
,,2005 - 2006,0.36
,,2006 - 2007,0.54
,,2007 - 2008,0.42
,,2008 - 2009,0.36
,,2009 - 2010,0.52
,,2010 - 2011,0.45
,,2011 - 2012,0.71
,,2012 - 2013,0.7
,,2013 - 2014,0.83
,,2014 - 2015,0.36
,,2015 - 2016,0.43
,,2016 - 2017,0.29
,,2017 - 2018,0.14
,,2018 - 2019,0.0
,,2019 - 2020,0.57
,,2020 - 2021,0.61
,,2021 - 2022,0.87
,,2022 - 2023,0.84
,Nanded,2000 - 2001,0.71
,,2001 - 2002,1.03
,,2002 - 2003,1.01
,,2003 - 2004,1.0
,,2004 - 2005,0.85
,,2005 - 2006,0.75
,,2006 - 2007,0.86
,,2007 - 2008,0.87
,,2008 - 2009,0.81
,,2009 - 2010,0.74
,,2010 - 2011,0.96
,,2011 - 2012,0.94
,,2012 - 2013,0.85
,,2013 - 2014,0.73
,,2014 - 2015,0.51
,,2015 - 2016,0.38
,,2016 - 2017,0.96
,,2017 - 2018,1.05
,,2018 - 2019,0.94
,,2019 - 2020,1.39
,,2020 - 2021,1.14
,,2021 - 2022,0.96
,,2022 - 2023,1.01
,Nandurbar,2000 - 2001,0.37
,,2001 - 2002,0.79
,,2002 - 2003,0.92
,,2003 - 2004,0.83
,,2004 - 2005,0.8
,,2005 - 2006,0.96
,,2006 - 2007,0.81
,,2007 - 2008,1.27
,,2008 - 2009,1.08
,,2009 - 2010,1.13
,,2010 - 2011,1.25
,,2011 - 2012,1.3
,,2012 - 2013,1.09
,,2013 - 2014,1.37
,,2014 - 2015,1.26
,,2015 - 2016,1.07
,,2016 - 2017,1.42
,,2017 - 2018,1.53
,,2018 - 2019,1.02
,,2019 - 2020,1.15
,,2020 - 2021,1.24
,,2021 - 2022,1.21
,,2022 - 2023,1.5
,Nashik,2000 - 2001,0.53
,,2001 - 2002,0.54
,,2002 - 2003,0.52
,,2003 - 2004,0.46
,,2004 - 2005,0.52
,,2005 - 2006,0.59
,,2006 - 2007,0.7
,,2007 - 2008,0.59
,,2008 - 2009,0.58
,,2009 - 2010,0.75
,,2010 - 2011,0.7
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,0.65
,,2014 - 2015,0.73
,,2015 - 2016,0.59
,,2016 - 2017,0.61
,,2017 - 2018,0.67
,,2018 - 2019,0.5
,,2019 - 2020,0.63
,,2020 - 2021,0.76
,,2021 - 2022,0.92
,,2022 - 2023,0.92
,Palghar,2022 - 2023,0.67
,Parbhani,2000 - 2001,0.71
,,2001 - 2002,0.83
,,2002 - 2003,0.76
,,2003 - 2004,0.61
,,2004 - 2005,0.41
,,2005 - 2006,0.66
,,2006 - 2007,0.88
,,2007 - 2008,0.99
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.42
,,2011 - 2012,0.78
,,2012 - 2013,0.74
,,2013 - 2014,0.63
,,2014 - 2015,0.5
,,2015 - 2016,0.21
,,2016 - 2017,0.96
,,2017 - 2018,0.72
,,2018 - 2019,0.64
,,2019 - 2020,1.03
,,2020 - 2021,1.24
,,2021 - 2022,1.24
,,2022 - 2023,1.3
,Pune,2000 - 2001,0.42
,,2001 - 2002,0.48
,,2002 - 2003,0.35
,,2003 - 2004,0.24
,,2004 - 2005,0.53
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.54
,,2008 - 2009,0.64
,,2009 - 2010,0.74
,,2010 - 2011,0.74
,,2011 - 2012,0.58
,,2012 - 2013,0.49
,,2013 - 2014,0.63
,,2014 - 2015,0.49
,,2015 - 2016,0.45
,,2016 - 2017,0.35
,,2017 - 2018,0.73
,,2018 - 2019,0.3
,,2019 - 2020,0.71
,,2020 - 2021,0.72
,,2021 - 2022,0.83
,,2022 - 2023,0.93
,Ratnagiri,2021 - 2022,
,Sangli,2000 - 2001,0.53
,,2001 - 2002,0.65
,,2002 - 2003,0.38
,,2003 - 2004,0.22
,,2004 - 2005,0.53
,,2005 - 2006,0.49
,,2006 - 2007,0.59
,,2007 - 2008,0.65
,,2008 - 2009,0.58
,,2009 - 2010,0.6
,,2010 - 2011,0.57
,,2011 - 2012,0.24
,,2012 - 2013,0.24
,,2013 - 2014,0.57
,,2014 - 2015,0.67
,,2015 - 2016,0.41
,,2016 - 2017,0.52
,,2017 - 2018,0.62
,,2018 - 2019,0.41
,,2019 - 2020,0.98
,,2020 - 2021,0.85
,,2021 - 2022,1.02
,,2022 - 2023,0.99
,Satara,2000 - 2001,0.51
,,2001 - 2002,0.64
,,2002 - 2003,0.43
,,2003 - 2004,0.62
,,2004 - 2005,0.86
,,2005 - 2006,0.72
,,2006 - 2007,0.8
,,2007 - 2008,1.03
,,2008 - 2009,0.79
,,2009 - 2010,0.9
,,2010 - 2011,0.79
,,2011 - 2012,0.62
,,2012 - 2013,0.57
,,2013 - 2014,0.81
,,2014 - 2015,0.87
,,2015 - 2016,0.79
,,2016 - 2017,0.73
,,2017 - 2018,0.91
,,2018 - 2019,0.77
,,2019 - 2020,0.8
,,2020 - 2021,1.02
,,2021 - 2022,1.21
,,2022 - 2023,1.02
,Solapur,2000 - 2001,0.45
,,2001 - 2002,0.44
,,2002 - 2003,0.34
,,2003 - 2004,0.05
,,2004 - 2005,0.44
,,2005 - 2006,0.51
,,2006 - 2007,0.48
,,2007 - 2008,0.57
,,2008 - 2009,0.59
,,2009 - 2010,0.61
,,2010 - 2011,0.59
,,2011 - 2012,0.4
,,2012 - 2013,0.28
,,2013 - 2014,0.54
,,2014 - 2015,0.57
,,2015 - 2016,0.18
,,2016 - 2017,0.55
,,2017 - 2018,0.56
,,2018 - 2019,0.36
,,2019 - 2020,0.68
,,2020 - 2021,0.8
,,2021 - 2022,0.82
,,2022 - 2023,0.78
,Thane,2022 - 2023,0.67
,Wardha,2000 - 2001,0.28
,,2001 - 2002,0.47
,,2002 - 2003,0.29
,,2003 - 2004,0.4
,,2004 - 2005,0.33
,,2005 - 2006,0.38
,,2006 - 2007,0.4
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.54
,,2010 - 2011,0.58
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,0.46
,,2015 - 2016,0.36
,,2016 - 2017,0.58
,,2017 - 2018,0.74
,,2018 - 2019,0.51
,,2019 - 2020,0.56
,,2020 - 2021,0.61
,,2021 - 2022,0.87
,,2022 - 2023,0.84
,Washim,2000 - 2001,0.67
,,2001 - 2002,1.08
,,2002 - 2003,0.78
,,2003 - 2004,0.71
,,2004 - 2005,0.33
,,2005 - 2006,0.86
,,2006 - 2007,0.88
,,2007 - 2008,1.14
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.67
,,2013 - 2014,0.75
,,2014 - 2015,0.81
,,2015 - 2016,0.57
,,2016 - 2017,1.14
,,2017 - 2018,0.77
,,2018 - 2019,0.54
,,2019 - 2020,0.79
,,2020 - 2021,1.11
,,2021 - 2022,0.86
,,2022 - 2023,1.23
,Yavatmal,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.38
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.83
,,2015 - 2016,0.56
,,2016 - 2017,1.15
,,2017 - 2018,0.75
,,2018 - 2019,0.5
,,2019 - 2020,0.79
,,2020 - 2021,1.11
,,2021 - 2022,0.86
,,2022 - 2023,1.23
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Cuttack,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jajapur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Khordha,2000 - 2001,
,,2001 - 2002,
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
