state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2018 - 2019,1.18
,,2019 - 2020,1.42
,,2020 - 2021,1.0
,,2022 - 2023,1.5
,Khandwa,2000 - 2001,0.64
,,2001 - 2002,1.08
,,2002 - 2003,1.59
,,2003 - 2004,0.88
,,2004 - 2005,0.8
,,2005 - 2006,0.57
,,2006 - 2007,1.04
,,2007 - 2008,1.29
,,2008 - 2009,1.26
,,2009 - 2010,0.91
,,2010 - 2011,1.28
,,2011 - 2012,1.29
,,2012 - 2013,1.9
,,2013 - 2014,1.62
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,2.14
,,2017 - 2018,2.21
,,2018 - 2019,1.61
,,2019 - 2020,0.89
,,2020 - 2021,0.64
,,2021 - 2022,1.41
,,2022 - 2023,1.42
,Khargone,2000 - 2001,0.69
,,2001 - 2002,1.09
,,2002 - 2003,1.08
,,2003 - 2004,1.39
,,2004 - 2005,1.07
,,2005 - 2006,0.99
,,2006 - 2007,1.15
,,2007 - 2008,1.2
,,2008 - 2009,1.25
,,2009 - 2010,1.69
,,2010 - 2011,1.53
,,2011 - 2012,1.38
,,2012 - 2013,1.78
,,2013 - 2014,1.24
,,2014 - 2015,1.61
,,2015 - 2016,2.17
,,2016 - 2017,2.6
,,2017 - 2018,2.48
,,2018 - 2019,1.89
,,2019 - 2020,1.34
,,2020 - 2021,1.81
,,2021 - 2022,1.81
,,2022 - 2023,2.01
,Mandla,2000 - 2001,0.5
,,2001 - 2002,0.94
,,2002 - 2003,0.76
,,2003 - 2004,0.99
,,2004 - 2005,0.94
,,2005 - 2006,0.83
,,2006 - 2007,0.89
,,2007 - 2008,0.9
,,2008 - 2009,0.98
,,2009 - 2010,1.01
,,2010 - 2011,1.29
,,2011 - 2012,0.94
,,2012 - 2013,1.06
,,2013 - 2014,0.66
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2017 - 2018,2.32
,,2018 - 2019,1.56
,,2019 - 2020,1.14
,,2020 - 2021,1.11
,,2022 - 2023,1.67
,Mandsaur,2000 - 2001,0.22
,,2001 - 2002,0.54
,,2002 - 2003,0.65
,,2003 - 2004,1.47
,,2004 - 2005,0.85
,,2005 - 2006,0.68
,,2006 - 2007,0.56
,,2007 - 2008,0.64
,,2008 - 2009,0.74
,,2009 - 2010,0.69
,,2010 - 2011,0.87
,,2011 - 2012,0.99
,,2012 - 2013,1.13
,,2013 - 2014,0.98
,,2017 - 2018,1.94
,,2018 - 2019,0.74
,,2019 - 2020,0.67
,,2020 - 2021,0.66
,,2021 - 2022,1.28
,,2022 - 2023,1.27
,Morena,2000 - 2001,0.9
,,2001 - 2002,0.98
,,2002 - 2003,0.67
,,2003 - 2004,1.0
,,2004 - 2005,0.96
,,2005 - 2006,1.0
,,2006 - 2007,0.98
,,2007 - 2008,0.98
,,2008 - 2009,1.15
,,2009 - 2010,1.26
,,2010 - 2011,1.37
,,2011 - 2012,1.08
,,2012 - 2013,1.33
,,2013 - 2014,1.21
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2017 - 2018,2.0
,,2018 - 2019,1.58
,,2019 - 2020,1.43
,,2020 - 2021,1.52
,,2021 - 2022,1.62
,,2022 - 2023,1.21
,Narsinghpur,2000 - 2001,1.69
,,2001 - 2002,1.63
,,2002 - 2003,1.36
,,2003 - 2004,1.71
,,2004 - 2005,1.61
,,2005 - 2006,1.84
,,2006 - 2007,1.98
,,2007 - 2008,1.63
,,2008 - 2009,2.11
,,2009 - 2010,2.32
,,2010 - 2011,2.58
,,2011 - 2012,2.36
,,2012 - 2013,3.18
,,2013 - 2014,1.27
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,2.0
,,2017 - 2018,1.83
,,2018 - 2019,2.25
,,2019 - 2020,1.73
,,2020 - 2021,1.34
,,2021 - 2022,1.47
,,2022 - 2023,1.97
,Neemuch,2000 - 2001,0.56
,,2001 - 2002,0.55
,,2002 - 2003,0.48
,,2003 - 2004,1.06
,,2004 - 2005,0.75
,,2005 - 2006,0.78
,,2006 - 2007,0.82
,,2007 - 2008,0.77
,,2008 - 2009,0.89
,,2009 - 2010,0.95
,,2010 - 2011,1.32
,,2011 - 2012,0.97
,,2012 - 2013,1.23
,,2013 - 2014,0.92
,,2014 - 2015,1.0
,,2017 - 2018,2.21
,,2018 - 2019,0.78
,,2019 - 2020,0.73
,,2020 - 2021,0.74
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Niwari,2020 - 2021,1.21
,,2021 - 2022,1.57
,,2022 - 2023,1.57
,Panna,2000 - 2001,0.71
,,2001 - 2002,0.85
,,2002 - 2003,0.75
,,2003 - 2004,0.97
,,2004 - 2005,0.7
,,2005 - 2006,0.85
,,2006 - 2007,0.68
,,2007 - 2008,0.75
,,2008 - 2009,1.38
,,2009 - 2010,1.56
,,2010 - 2011,1.71
,,2011 - 2012,1.37
,,2012 - 2013,1.58
,,2013 - 2014,1.0
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,2.0
,,2017 - 2018,2.32
,,2018 - 2019,1.59
,,2019 - 2020,2.41
,,2020 - 2021,1.6
,,2021 - 2022,1.8
,,2022 - 2023,1.79
,Raisen,2000 - 2001,1.74
,,2001 - 2002,1.51
,,2002 - 2003,1.52
,,2003 - 2004,1.91
,,2004 - 2005,1.79
,,2005 - 2006,2.07
,,2006 - 2007,2.17
,,2007 - 2008,2.2
,,2008 - 2009,2.32
,,2009 - 2010,2.62
,,2010 - 2011,2.87
,,2011 - 2012,2.47
,,2012 - 2013,2.6
,,2013 - 2014,1.48
,,2017 - 2018,1.85
,,2018 - 2019,2.17
,,2019 - 2020,2.13
,,2020 - 2021,2.27
,,2021 - 2022,2.48
,,2022 - 2023,2.47
,Rajgarh,2000 - 2001,0.38
,,2001 - 2002,0.62
,,2002 - 2003,0.5
,,2003 - 2004,1.38
,,2004 - 2005,0.84
,,2005 - 2006,1.04
,,2006 - 2007,1.02
,,2007 - 2008,1.26
,,2008 - 2009,1.31
,,2009 - 2010,1.18
,,2010 - 2011,1.17
,,2011 - 2012,0.96
,,2012 - 2013,1.21
,,2013 - 2014,0.5
,,2014 - 2015,1.2
,,2015 - 2016,1.4
,,2016 - 2017,1.0
,,2017 - 2018,1.8
,,2018 - 2019,0.71
,,2019 - 2020,0.96
,,2020 - 2021,1.1
,,2021 - 2022,1.49
,,2022 - 2023,1.49
,Ratlam,2000 - 2001,1.35
,,2001 - 2002,1.17
,,2002 - 2003,0.62
,,2003 - 2004,1.55
,,2004 - 2005,1.45
,,2005 - 2006,1.81
,,2006 - 2007,1.9
,,2007 - 2008,1.92
,,2008 - 2009,2.03
,,2009 - 2010,2.15
,,2010 - 2011,2.36
,,2013 - 2014,1.88
,,2017 - 2018,1.75
,,2018 - 2019,2.48
,,2019 - 2020,1.4
,,2020 - 2021,2.35
,,2022 - 2023,2.0
,Rewa,2000 - 2001,0.87
,,2001 - 2002,0.71
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.85
,,2005 - 2006,0.66
,,2006 - 2007,0.62
,,2007 - 2008,0.75
,,2008 - 2009,0.82
,,2009 - 2010,0.84
,,2010 - 2011,1.02
,,2011 - 2012,0.87
,,2012 - 2013,1.02
,,2013 - 2014,0.59
,,2014 - 2015,0.95
,,2015 - 2016,0.64
,,2016 - 2017,1.32
,,2017 - 2018,2.26
,,2018 - 2019,0.96
,,2019 - 2020,0.86
,,2020 - 2021,0.92
,,2021 - 2022,1.21
,,2022 - 2023,1.28
,Sagar,2000 - 2001,1.18
,,2001 - 2002,0.93
,,2002 - 2003,0.69
,,2003 - 2004,1.37
,,2004 - 2005,1.11
,,2005 - 2006,1.06
,,2006 - 2007,1.11
,,2007 - 2008,1.12
,,2008 - 2009,1.18
,,2009 - 2010,1.7
,,2010 - 2011,1.6
,,2011 - 2012,1.35
,,2012 - 2013,1.51
,,2013 - 2014,0.58
,,2014 - 2015,1.67
,,2015 - 2016,0.67
,,2016 - 2017,1.33
,,2017 - 2018,2.25
,,2018 - 2019,2.36
,,2019 - 2020,1.88
,,2020 - 2021,1.88
,,2021 - 2022,1.91
,,2022 - 2023,2.16
,Satna,2000 - 2001,0.7
,,2001 - 2002,0.88
,,2002 - 2003,0.55
,,2003 - 2004,0.91
,,2004 - 2005,0.75
,,2005 - 2006,0.86
,,2006 - 2007,0.68
,,2007 - 2008,0.64
,,2008 - 2009,0.83
,,2009 - 2010,0.92
,,2010 - 2011,1.15
,,2011 - 2012,0.86
,,2012 - 2013,1.31
,,2013 - 2014,0.75
,,2014 - 2015,1.33
,,2015 - 2016,0.5
,,2016 - 2017,2.14
,,2017 - 2018,2.48
,,2018 - 2019,1.06
,,2019 - 2020,0.68
,,2020 - 2021,0.73
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Sehore,2000 - 2001,1.31
,,2001 - 2002,1.24
,,2002 - 2003,1.7
,,2003 - 2004,1.96
,,2004 - 2005,1.84
,,2005 - 2006,1.76
,,2006 - 2007,1.84
,,2007 - 2008,1.74
,,2008 - 2009,1.83
,,2009 - 2010,2.37
,,2010 - 2011,1.95
,,2011 - 2012,2.94
,,2012 - 2013,1.66
,,2013 - 2014,1.15
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,2.29
,,2018 - 2019,2.57
,,2019 - 2020,2.33
,,2020 - 2021,1.25
,,2021 - 2022,2.38
,,2022 - 2023,2.28
,Seoni,2000 - 2001,0.31
,,2001 - 2002,0.81
,,2002 - 2003,0.61
,,2003 - 2004,0.94
,,2004 - 2005,0.81
,,2005 - 2006,0.84
,,2006 - 2007,0.88
,,2007 - 2008,0.89
,,2008 - 2009,0.94
,,2009 - 2010,1.07
,,2010 - 2011,1.2
,,2011 - 2012,1.01
,,2012 - 2013,1.78
,,2013 - 2014,0.72
,,2014 - 2015,1.5
,,2017 - 2018,2.24
,,2018 - 2019,1.14
,,2019 - 2020,1.33
,,2020 - 2021,1.46
,,2021 - 2022,1.8
,,2022 - 2023,1.5
,Shahdol,2000 - 2001,0.74
,,2001 - 2002,0.83
,,2002 - 2003,0.74
,,2003 - 2004,1.09
,,2004 - 2005,0.81
,,2005 - 2006,0.88
,,2006 - 2007,0.92
,,2007 - 2008,0.88
,,2008 - 2009,1.02
,,2009 - 2010,1.05
,,2010 - 2011,1.26
,,2011 - 2012,0.95
,,2012 - 2013,1.19
,,2013 - 2014,1.39
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2017 - 2018,2.15
,,2018 - 2019,1.07
,,2019 - 2020,1.33
,,2020 - 2021,1.29
,,2021 - 2022,1.59
,,2022 - 2023,1.18
,Shajapur,2000 - 2001,0.92
,,2001 - 2002,1.16
,,2002 - 2003,1.64
,,2003 - 2004,1.38
,,2004 - 2005,1.37
,,2005 - 2006,1.37
,,2006 - 2007,1.16
,,2007 - 2008,1.59
,,2008 - 2009,1.67
,,2009 - 2010,1.41
,,2010 - 2011,1.83
,,2011 - 2012,1.32
,,2012 - 2013,1.16
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.95
,,2018 - 2019,1.65
,,2019 - 2020,0.87
,,2020 - 2021,1.29
,,2021 - 2022,1.41
,,2022 - 2023,1.39
,Sheopur,2000 - 2001,0.71
,,2001 - 2002,0.9
,,2002 - 2003,0.18
,,2003 - 2004,1.53
,,2004 - 2005,0.91
,,2005 - 2006,1.1
,,2006 - 2007,1.23
,,2007 - 2008,1.14
,,2008 - 2009,1.21
,,2009 - 2010,1.37
,,2010 - 2011,1.37
,,2011 - 2012,1.31
,,2012 - 2013,2.0
,,2013 - 2014,2.08
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2017 - 2018,2.24
,,2018 - 2019,2.38
,,2019 - 2020,2.31
,,2020 - 2021,2.22
,,2021 - 2022,2.23
,,2022 - 2023,2.23
,Shivpuri,2000 - 2001,0.71
,,2001 - 2002,0.72
,,2002 - 2003,0.19
,,2003 - 2004,0.77
,,2004 - 2005,0.63
,,2005 - 2006,0.98
,,2006 - 2007,0.91
,,2007 - 2008,0.6
,,2008 - 2009,0.97
,,2009 - 2010,1.18
,,2010 - 2011,1.26
,,2011 - 2012,1.03
,,2012 - 2013,1.15
,,2013 - 2014,0.68
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.98
,,2018 - 2019,1.03
,,2019 - 2020,0.9
,,2020 - 2021,0.62
,,2021 - 2022,1.01
,,2022 - 2023,1.02
,Sidhi,2000 - 2001,0.81
,,2001 - 2002,0.68
,,2002 - 2003,0.66
,,2003 - 2004,1.07
,,2004 - 2005,1.0
,,2005 - 2006,0.68
,,2006 - 2007,0.88
,,2007 - 2008,0.84
,,2008 - 2009,0.89
,,2009 - 2010,1.18
,,2010 - 2011,1.18
,,2011 - 2012,1.27
,,2012 - 2013,1.49
,,2013 - 2014,1.25
,,2014 - 2015,1.08
,,2015 - 2016,2.0
,,2016 - 2017,1.63
,,2017 - 2018,2.29
,,2018 - 2019,1.33
,,2019 - 2020,1.2
,,2020 - 2021,1.28
,,2021 - 2022,1.4
,,2022 - 2023,1.5
,Singrauli,2008 - 2009,0.92
,,2009 - 2010,1.12
,,2010 - 2011,1.18
,,2011 - 2012,1.12
,,2012 - 2013,1.92
,,2013 - 2014,1.24
,,2014 - 2015,1.29
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,2.2
,,2018 - 2019,1.33
,,2019 - 2020,1.13
,,2020 - 2021,0.88
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Tikamgarh,2000 - 2001,0.88
,,2001 - 2002,1.18
,,2002 - 2003,0.58
,,2003 - 2004,1.33
,,2004 - 2005,0.83
,,2005 - 2006,0.89
,,2006 - 2007,0.71
,,2007 - 2008,0.84
,,2008 - 2009,1.33
,,2009 - 2010,1.25
,,2010 - 2011,1.37
,,2011 - 2012,1.06
,,2012 - 2013,1.56
,,2013 - 2014,0.47
,,2014 - 2015,1.0
,,2015 - 2016,0.41
,,2016 - 2017,1.0
,,2017 - 2018,2.04
,,2018 - 2019,1.57
,,2019 - 2020,1.08
,,2020 - 2021,1.19
,,2021 - 2022,1.38
,,2022 - 2023,1.63
,Ujjain,2000 - 2001,0.25
,,2001 - 2002,0.69
,,2002 - 2003,1.38
,,2003 - 2004,1.26
,,2004 - 2005,0.72
,,2005 - 2006,1.04
,,2006 - 2007,0.97
,,2007 - 2008,1.19
,,2008 - 2009,0.86
,,2009 - 2010,1.04
,,2010 - 2011,0.88
,,2011 - 2012,0.7
,,2012 - 2013,0.98
,,2013 - 2014,0.56
,,2017 - 2018,2.17
,,2018 - 2019,1.56
,,2019 - 2020,1.0
,,2020 - 2021,1.08
,,2021 - 2022,1.77
,,2022 - 2023,1.81
,Umaria,2000 - 2001,0.74
,,2001 - 2002,0.8
,,2002 - 2003,0.74
,,2003 - 2004,1.02
,,2004 - 2005,0.85
,,2005 - 2006,0.79
,,2006 - 2007,0.82
,,2007 - 2008,0.85
,,2008 - 2009,1.0
,,2009 - 2010,1.2
,,2010 - 2011,1.22
,,2011 - 2012,1.06
,,2012 - 2013,1.27
,,2013 - 2014,0.96
,,2014 - 2015,1.0
,,2015 - 2016,0.71
,,2017 - 2018,2.1
,,2018 - 2019,1.68
,,2019 - 2020,1.18
,,2020 - 2021,1.0
,,2022 - 2023,1.41
,Vidisha,2000 - 2001,1.26
,,2001 - 2002,1.19
,,2002 - 2003,0.98
,,2003 - 2004,1.3
,,2004 - 2005,1.2
,,2005 - 2006,1.45
,,2006 - 2007,1.47
,,2007 - 2008,1.4
,,2008 - 2009,1.48
,,2009 - 2010,1.75
,,2010 - 2011,1.92
,,2011 - 2012,1.92
,,2012 - 2013,2.01
,,2013 - 2014,1.16
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2017 - 2018,2.45
,,2018 - 2019,1.44
,,2019 - 2020,1.3
,,2020 - 2021,1.84
,,2021 - 2022,2.02
,,2022 - 2023,2.02
Maharashtra,Ahilyanagar,2000 - 2001,0.88
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.21
,,2017 - 2018,0.63
,,2018 - 2019,0.3
,,2019 - 2020,0.28
,,2020 - 2021,0.62
,,2021 - 2022,1.13
,,2022 - 2023,0.57
,Akola,2000 - 2001,1.66
,,2001 - 2002,1.42
,,2002 - 2003,1.96
,,2003 - 2004,1.96
,,2004 - 2005,1.32
,,2005 - 2006,2.13
,,2006 - 2007,2.44
,,2007 - 2008,2.93
,,2008 - 2009,2.21
,,2009 - 2010,1.63
,,2010 - 2011,0.77
,,2011 - 2012,3.06
,,2012 - 2013,1.73
,,2013 - 2014,0.59
,,2014 - 2015,1.21
,,2015 - 2016,0.9
,,2016 - 2017,1.48
,,2017 - 2018,0.92
,,2018 - 2019,1.36
,,2019 - 2020,0.82
,,2020 - 2021,0.77
,,2021 - 2022,0.28
,,2022 - 2023,0.54
,Amravati,2000 - 2001,1.43
,,2001 - 2002,1.4
,,2002 - 2003,1.4
,,2003 - 2004,1.43
,,2004 - 2005,0.96
,,2005 - 2006,1.32
,,2006 - 2007,1.18
,,2007 - 2008,1.36
,,2008 - 2009,0.91
,,2009 - 2010,1.07
,,2010 - 2011,1.07
,,2011 - 2012,1.47
,,2012 - 2013,1.3
,,2013 - 2014,0.64
,,2014 - 2015,1.02
,,2015 - 2016,0.73
,,2016 - 2017,1.23
,,2017 - 2018,0.95
,,2018 - 2019,0.71
,,2019 - 2020,0.33
,,2020 - 2021,0.8
,,2021 - 2022,0.84
,,2022 - 2023,0.48
,Beed,2000 - 2001,1.31
,,2001 - 2002,0.64
,,2002 - 2003,1.21
,,2003 - 2004,0.78
,,2004 - 2005,0.6
,,2005 - 2006,0.81
,,2006 - 2007,1.09
,,2007 - 2008,0.88
,,2008 - 2009,0.68
,,2009 - 2010,0.72
,,2010 - 2011,1.3
,,2011 - 2012,1.14
,,2012 - 2013,1.05
,,2013 - 2014,1.28
,,2014 - 2015,0.53
,,2015 - 2016,0.29
,,2016 - 2017,0.3
,,2017 - 2018,0.7
,,2018 - 2019,0.25
,,2019 - 2020,0.54
,,2020 - 2021,0.49
,,2021 - 2022,0.32
,,2022 - 2023,0.8
,Bhandara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Buldhana,2000 - 2001,1.51
,,2001 - 2002,1.32
,,2002 - 2003,1.58
,,2003 - 2004,1.66
,,2004 - 2005,1.13
,,2005 - 2006,1.05
,,2006 - 2007,1.42
,,2007 - 2008,1.86
,,2008 - 2009,1.79
,,2009 - 2010,1.75
,,2010 - 2011,1.24
,,2011 - 2012,1.77
,,2012 - 2013,1.7
,,2013 - 2014,0.86
,,2014 - 2015,1.07
,,2015 - 2016,0.62
,,2016 - 2017,1.43
,,2017 - 2018,0.92
,,2018 - 2019,1.07
,,2019 - 2020,0.16
,,2020 - 2021,1.08
,,2021 - 2022,1.11
,,2022 - 2023,0.7
,Chandrapur,2000 - 2001,1.75
,,2001 - 2002,1.1
,,2002 - 2003,1.16
,,2003 - 2004,1.0
,,2004 - 2005,0.97
,,2005 - 2006,1.31
,,2006 - 2007,1.31
,,2007 - 2008,1.26
,,2008 - 2009,1.0
,,2009 - 2010,0.67
,,2010 - 2011,0.62
,,2011 - 2012,0.72
,,2012 - 2013,0.96
,,2013 - 2014,0.78
,,2014 - 2015,3.96
,,2015 - 2016,0.67
,,2016 - 2017,0.37
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.77
,,2020 - 2021,0.54
,,2021 - 2022,0.61
,,2022 - 2023,0.59
,Chhatrapati Sambhajinagar,2000 - 2001,0.9
,,2001 - 2002,1.06
,,2002 - 2003,1.41
,,2003 - 2004,1.33
,,2004 - 2005,1.22
,,2005 - 2006,1.41
,,2006 - 2007,1.76
,,2007 - 2008,1.63
,,2008 - 2009,1.78
,,2009 - 2010,1.57
,,2010 - 2011,2.08
,,2011 - 2012,1.97
,,2012 - 2013,1.07
,,2013 - 2014,1.81
,,2014 - 2015,0.46
,,2015 - 2016,0.41
,,2016 - 2017,1.08
,,2017 - 2018,1.45
,,2018 - 2019,0.47
,,2019 - 2020,0.31
,,2020 - 2021,1.47
,,2021 - 2022,0.4
,,2022 - 2023,0.76
,Dharashiv,2000 - 2001,1.27
,,2001 - 2002,0.62
,,2002 - 2003,0.89
,,2003 - 2004,0.51
,,2004 - 2005,0.74
,,2005 - 2006,0.89
,,2006 - 2007,0.73
,,2007 - 2008,0.74
,,2008 - 2009,0.51
,,2009 - 2010,0.53
,,2010 - 2011,0.8
,,2011 - 2012,1.05
,,2012 - 2013,0.45
,,2013 - 2014,1.01
,,2014 - 2015,0.26
,,2015 - 2016,0.2
,,2016 - 2017,0.45
,,2017 - 2018,0.7
,,2018 - 2019,0.32
,,2019 - 2020,0.58
,,2020 - 2021,1.06
,,2021 - 2022,0.31
,,2022 - 2023,0.15
,Dhule,2000 - 2001,0.52
,,2001 - 2002,1.4
,,2002 - 2003,1.11
,,2003 - 2004,1.71
,,2004 - 2005,1.48
,,2005 - 2006,1.13
,,2006 - 2007,1.25
,,2007 - 2008,1.98
,,2008 - 2009,0.64
,,2009 - 2010,1.21
,,2010 - 2011,2.2
,,2011 - 2012,1.57
,,2012 - 2013,1.56
,,2013 - 2014,1.78
,,2014 - 2015,1.19
,,2015 - 2016,0.93
,,2016 - 2017,1.22
,,2017 - 2018,1.49
,,2018 - 2019,0.83
,,2019 - 2020,0.72
,,2020 - 2021,1.4
,,2021 - 2022,0.74
,,2022 - 2023,1.12
,Gadchiroli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.52
,,2018 - 2019,
,,2019 - 2020,0.53
,,2020 - 2021,0.54
,,2021 - 2022,0.6
,,2022 - 2023,0.45
,Gondia,2002 - 2003,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hingoli,2000 - 2001,1.28
,,2001 - 2002,1.25
,,2002 - 2003,1.55
,,2003 - 2004,1.52
,,2004 - 2005,0.75
,,2005 - 2006,1.35
,,2006 - 2007,1.02
,,2007 - 2008,1.59
,,2008 - 2009,1.1
,,2009 - 2010,1.11
,,2010 - 2011,1.15
,,2011 - 2012,1.25
,,2012 - 2013,1.51
,,2013 - 2014,0.99
,,2014 - 2015,0.4
,,2015 - 2016,0.39
,,2016 - 2017,0.47
,,2017 - 2018,0.59
,,2018 - 2019,0.28
,,2019 - 2020,0.71
,,2020 - 2021,0.19
,,2021 - 2022,0.36
,,2022 - 2023,0.51
,Jalgaon,2000 - 2001,1.18
,,2001 - 2002,1.5
,,2002 - 2003,2.11
,,2003 - 2004,1.87
,,2004 - 2005,1.83
,,2005 - 2006,2.01
,,2006 - 2007,1.9
,,2007 - 2008,2.27
,,2008 - 2009,1.93
,,2009 - 2010,2.02
,,2010 - 2011,2.31
,,2011 - 2012,2.35
,,2012 - 2013,1.94
,,2013 - 2014,2.3
,,2014 - 2015,2.24
,,2015 - 2016,1.24
,,2016 - 2017,2.3
,,2017 - 2018,1.9
,,2018 - 2019,1.47
,,2019 - 2020,0.66
,,2020 - 2021,1.75
,,2021 - 2022,1.05
,,2022 - 2023,1.95
,Jalna,2000 - 2001,1.02
,,2001 - 2002,1.23
,,2002 - 2003,1.39
,,2003 - 2004,1.31
,,2004 - 2005,0.99
,,2005 - 2006,1.23
,,2006 - 2007,1.33
,,2007 - 2008,1.19
,,2008 - 2009,0.58
,,2009 - 2010,1.02
,,2010 - 2011,1.24
,,2011 - 2012,1.22
,,2012 - 2013,1.06
,,2013 - 2014,1.19
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,1.5
,,2017 - 2018,0.23
,,2018 - 2019,0.22
,,2019 - 2020,1.09
,,2020 - 2021,2.38
,,2021 - 2022,0.53
,,2022 - 2023,0.95
,Kolhapur,2000 - 2001,1.58
,,2001 - 2002,2.07
,,2002 - 2003,1.82
,,2003 - 2004,1.61
,,2004 - 2005,2.15
,,2005 - 2006,1.19
,,2006 - 2007,1.08
,,2007 - 2008,1.82
,,2008 - 2009,2.09
,,2009 - 2010,2.09
,,2010 - 2011,1.89
,,2011 - 2012,2.27
,,2012 - 2013,2.45
,,2013 - 2014,1.85
,,2014 - 2015,1.82
,,2015 - 2016,1.77
,,2016 - 2017,1.63
,,2017 - 2018,1.76
,,2018 - 2019,1.43
,,2019 - 2020,1.08
,,2020 - 2021,1.56
,,2021 - 2022,1.82
,,2022 - 2023,1.72
,Latur,2000 - 2001,1.25
,,2001 - 2002,1.26
,,2002 - 2003,1.59
,,2003 - 2004,1.46
,,2004 - 2005,0.99
,,2005 - 2006,1.64
,,2006 - 2007,1.31
,,2007 - 2008,1.52
,,2008 - 2009,1.04
,,2009 - 2010,0.77
,,2010 - 2011,1.43
,,2011 - 2012,1.32
,,2012 - 2013,1.66
,,2013 - 2014,1.53
,,2014 - 2015,1.07
,,2015 - 2016,0.47
,,2016 - 2017,0.88
,,2017 - 2018,0.86
,,2018 - 2019,0.7
,,2019 - 2020,0.79
,,2020 - 2021,0.84
,,2021 - 2022,0.57
,,2022 - 2023,0.3
,Nagpur,2000 - 2001,0.92
,,2001 - 2002,0.81
,,2002 - 2003,0.94
,,2003 - 2004,0.96
,,2004 - 2005,0.73
,,2005 - 2006,0.84
,,2006 - 2007,1.04
,,2007 - 2008,0.99
,,2008 - 2009,0.84
,,2009 - 2010,0.75
,,2010 - 2011,0.74
,,2011 - 2012,0.71
,,2012 - 2013,0.82
,,2013 - 2014,0.4
,,2014 - 2015,0.59
,,2015 - 2016,0.88
,,2016 - 2017,0.68
,,2017 - 2018,0.74
,,2018 - 2019,0.44
,,2019 - 2020,0.4
,,2020 - 2021,0.69
,,2021 - 2022,0.74
,,2022 - 2023,0.49
,Nanded,2000 - 2001,1.23
,,2001 - 2002,1.16
,,2002 - 2003,1.63
,,2003 - 2004,1.31
,,2004 - 2005,1.29
,,2005 - 2006,0.78
,,2006 - 2007,0.95
,,2007 - 2008,1.16
,,2008 - 2009,0.95
,,2009 - 2010,0.73
,,2010 - 2011,1.06
,,2011 - 2012,1.29
,,2012 - 2013,1.22
,,2013 - 2014,0.81
,,2014 - 2015,0.32
,,2015 - 2016,0.37
,,2016 - 2017,0.37
,,2017 - 2018,0.65
,,2018 - 2019,0.69
,,2019 - 2020,0.63
,,2020 - 2021,0.65
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Nandurbar,2000 - 2001,0.69
,,2001 - 2002,1.24
,,2002 - 2003,1.13
,,2003 - 2004,1.6
,,2004 - 2005,0.95
,,2005 - 2006,1.29
,,2006 - 2007,0.97
,,2007 - 2008,1.84
,,2008 - 2009,1.86
,,2009 - 2010,1.31
,,2010 - 2011,1.63
,,2011 - 2012,2.38
,,2012 - 2013,1.99
,,2013 - 2014,1.34
,,2014 - 2015,1.07
,,2015 - 2016,1.0
