state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Jorhat,2000 - 2001,0.62
,,2001 - 2002,0.58
,,2002 - 2003,0.5
,,2003 - 2004,0.56
,,2004 - 2005,0.57
,,2005 - 2006,0.6
,,2006 - 2007,0.63
,,2007 - 2008,0.71
,,2008 - 2009,0.63
,,2009 - 2010,0.63
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.67
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Kamrup,2000 - 2001,0.36
,,2001 - 2002,0.37
,,2002 - 2003,0.37
,,2003 - 2004,0.35
,,2004 - 2005,0.35
,,2005 - 2006,0.36
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,Kamrup metro,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.33
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,Karbi anglong,2000 - 2001,0.4
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.39
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.39
,,2007 - 2008,0.39
,,2008 - 2009,0.43
,,2009 - 2010,0.41
,,2010 - 2011,0.4
,,2011 - 2012,0.43
,,2012 - 2013,0.41
,,2013 - 2014,0.4
,,2014 - 2015,0.41
,,2015 - 2016,0.45
,,2016 - 2017,0.42
,,2017 - 2018,0.45
,,2018 - 2019,0.56
,,2019 - 2020,0.62
,,2020 - 2021,0.54
,,2021 - 2022,0.95
,,2022 - 2023,0.96
,Karimganj,2000 - 2001,0.5
,,2001 - 2002,0.6
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.6
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.57
,,2013 - 2014,0.57
,,2014 - 2015,0.5
,,2015 - 2016,0.63
,,2016 - 2017,0.57
,,2017 - 2018,0.4
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.33
,Kokrajhar,2000 - 2001,0.49
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.52
,,2004 - 2005,0.51
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.49
,,2008 - 2009,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.49
,,2011 - 2012,0.5
,,2012 - 2013,0.45
,,2013 - 2014,0.53
,,2014 - 2015,0.5
,,2015 - 2016,0.47
,,2016 - 2017,0.44
,,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.46
,,2020 - 2021,0.5
