state,district,year,moth_kharif_yield_tonne_per_hectare
,,2011 - 2012,0.6
,,2012 - 2013,0.75
,,2013 - 2014,0.41
,,2014 - 2015,0.51
,,2015 - 2016,0.37
,,2016 - 2017,0.31
,,2017 - 2018,0.5
,,2018 - 2019,0.33
,,2019 - 2020,0.31
,,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.63
,Hanumangarh,2000 - 2001,0.12
,,2001 - 2002,0.41
,,2002 - 2003,0.16
,,2003 - 2004,0.54
,,2004 - 2005,0.14
,,2005 - 2006,0.16
,,2006 - 2007,0.27
,,2007 - 2008,0.42
,,2008 - 2009,0.45
,,2009 - 2010,0.14
,,2010 - 2011,0.43
,,2011 - 2012,0.35
,,2012 - 2013,0.99
,,2013 - 2014,0.42
,,2014 - 2015,0.52
,,2015 - 2016,0.37
,,2016 - 2017,0.27
,,2017 - 2018,0.37
,,2018 - 2019,0.26
,,2019 - 2020,0.16
,,2020 - 2021,0.24
,,2021 - 2022,0.21
,,2022 - 2023,0.26
,Jaipur,2000 - 2001,0.09
,,2001 - 2002,0.24
,,2002 - 2003,0.0
,,2003 - 2004,0.44
,,2004 - 2005,0.13
,,2005 - 2006,0.12
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.03
,,2010 - 2011,0.49
,,2011 - 2012,0.34
