feature,H_Cluster,State,District
Jammu & Kashmir_Anantnag,0,Jammu & Kashmir,Anantnag
Jammu & Kashmir_Bandipora,0,Jammu & Kashmir,Bandipora
Jammu & Kashmir_Baramulla,0,Jammu & Kashmir,Baramulla
Jammu & Kashmir_Budgam,0,Jammu & Kashmir,Budgam
Jammu & Kashmir_Doda,0,Jammu & Kashmir,Doda
Jammu & Kashmir_Ganderbal,0,Jammu & Kashmir,Ganderbal
Jammu & Kashmir_Jammu,14,Jammu & Kashmir,Jammu
Jammu & Kashmir_Kathua,3,Jammu & Kashmir,Kathua
Jammu & Kashmir_Kishtwar,7,Jammu & Kashmir,Kishtwar
Jammu & Kashmir_Kulgam,0,Jammu & Kashmir,Kulgam
Jammu & Kashmir_Kupwara,0,Jammu & Kashmir,Kupwara
Jammu & Kashmir_Mirpur,14,Jammu & Kashmir,Mirpur
Jammu & Kashmir_Muzaffarabad,0,Jammu & Kashmir,Muzaffarabad
Jammu & Kashmir_Poonch,0,Jammu & Kashmir,Poonch
Jammu & Kashmir_Pulwama,0,Jammu & Kashmir,Pulwama
Jammu & Kashmir_Rajouri,3,Jammu & Kashmir,Rajouri
Jammu & Kashmir_Ramban,0,Jammu & Kashmir,Ramban
Jammu & Kashmir_Reasi,0,Jammu & Kashmir,Reasi
Jammu & Kashmir_Samba,14,Jammu & Kashmir,Samba
Jammu & Kashmir_Shopian,0,Jammu & Kashmir,Shopian
Jammu & Kashmir_Srinagar,0,Jammu & Kashmir,Srinagar
Jammu & Kashmir_Udhampur,0,Jammu & Kashmir,Udhampur
Jharkhand_Bokaro,2,Jharkhand,Bokaro
Jharkhand_Chatra,2,Jharkhand,Chatra
Jharkhand_Deoghar,4,Jharkhand,Deoghar
Jharkhand_Dhanbad,4,Jharkhand,Dhanbad
Jharkhand_Dumka,4,Jharkhand,Dumka
Jharkhand_East Singhbum,4,Jharkhand,East Singhbum
Jharkhand_Garhwa,2,Jharkhand,Garhwa
Jharkhand_Giridih,2,Jharkhand,Giridih
Jharkhand_Godda,4,Jharkhand,Godda
Jharkhand_Gumla,4,Jharkhand,Gumla
Jharkhand_Hazaribagh,2,Jharkhand,Hazaribagh
Jharkhand_Jamtara,4,Jharkhand,Jamtara
Jharkhand_Khunti,4,Jharkhand,Khunti
Jharkhand_Koderma,2,Jharkhand,Koderma
Jharkhand_Latehar,4,Jharkhand,Latehar
Jharkhand_Lohardaga,4,Jharkhand,Lohardaga
Jharkhand_Pakur,4,Jharkhand,Pakur
Jharkhand_Palamu,2,Jharkhand,Palamu
Jharkhand_Ramgarh,2,Jharkhand,Ramgarh
Jharkhand_Ranchi,4,Jharkhand,Ranchi
Jharkhand_Sahebganj,4,Jharkhand,Sahebganj
Jharkhand_Saraikela Kharsawan,4,Jharkhand,Saraikela Kharsawan
Jharkhand_Simdega,4,Jharkhand,Simdega
Jharkhand_West Singhbhum,4,Jharkhand,West Singhbhum
