feature,month,tp,e,ro,t2m,stl1,d2m,stl2,swvl1,swvl2,cvh,cvl,slt
Tamil Nadu_Tenkasi,5,0.10507118882863624,-0.05881912941307135,0.01428586068747482,302.28450541666666,303.8145,295.78260625,303.0693725,0.24111916041666667,0.21402493791666666,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,6,0.10035441839136179,-0.05380938586313272,0.018642761369846935,301.07309625,302.4135,295.35851375,301.76908875,0.25202877083333336,0.22390909958333335,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,7,0.09356443449360081,-0.05434897807814796,0.023939259017727896,300.61055416666665,301.8668441666667,294.88811125,301.2077683333333,0.2546792841666667,0.22691766458333332,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,8,0.10408795881085092,-0.05610534685547459,0.028121823475885266,300.60939125,301.9239704166667,294.8127495833333,301.2154875,0.2521811729166667,0.22544124916666666,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,9,0.10559862726950082,-0.05855923925992096,0.02808541063131993,300.68118666666663,302.097945,294.86363708333334,301.37013541666664,0.25963191041666667,0.23020246833333333,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,10,0.19189574698490708,-0.07264403864974152,0.04746028414228926,300.02571041666664,301.23840375000003,295.22058,300.6492079166666,0.30730986083333334,0.2760360908333333,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,11,0.21576309256488455,-0.08183586935047056,0.05846088573889569,298.80687916666665,299.4173679166667,295.01656541666665,298.87900541666664,0.35470716,0.33629115000000004,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,12,0.10631838023255108,-0.08044227072969073,0.029364123322314556,298.23998208333336,298.70244166666663,293.47521708333335,298.08350624999997,0.30566990083333334,0.30084220666666667,0.038159933,0.9618005,3.0
Tamil Nadu_Thanjavur,1,0.03406757525772259,-0.08180054947054785,0.006342639743697442,298.54611416666665,299.73381708333335,293.71425625,299.28291583333333,0.2056033595833333,0.22793762458333333,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,2,0.02086681780747308,-0.06640071790025098,0.0027390129519156963,299.7272125,301.53168458333334,293.845435,300.80744375,0.15722478458333333,0.17886794125000002,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,3,0.027815541724521553,-0.06805889660366418,0.001883445040209087,301.93465583333335,304.25511875,295.34696541666665,303.31316666666663,0.14634816933333333,0.159060505,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,4,0.0485058336926158,-0.06866331204946616,0.0014060310007124172,303.87927666666667,306.31042,297.27083583333336,305.42710791666667,0.16104014625,0.15895226545833332,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,5,0.06574781329254616,-0.07758464427994714,0.002980499006696347,304.89059249999997,306.95334583333334,297.0802591666667,306.2518616666667,0.17422336083333334,0.16143743708333333,0.29588467,0.5514974,2.2857144
