State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Madhepura,0.72,,0.63,0.43,0.54,0.74,0.79,0.53,0.8,0.44,0.48,0.58,0.57,0.3,0.41,0.36,0.63,0.85,0.86,0.68,0.5,0.79,0.94
Bihar,Madhubani,0.71,0.31,0.56,0.47,0.58,0.67,0.46,0.5,0.35,0.46,0.43,0.67,0.63,0.72,0.62,0.76,0.73,0.91,1.01,0.88,0.57,0.52,0.57
Bihar,Munger,0.56,0.84,0.45,0.51,0.52,0.6,0.59,0.71,0.63,0.75,0.79,0.88,0.66,1.01,0.73,0.81,0.94,0.75,0.74,0.7,0.78,0.61,0.52
Bihar,Muzaffarpur,0.46,,0.57,0.51,0.41,0.81,0.52,0.63,0.54,0.39,0.43,0.39,0.62,0.55,0.52,0.43,0.38,0.53,0.75,0.53,0.54,0.73,0.84
Bihar,Nalanda,0.65,0.61,0.62,0.52,0.58,0.57,0.54,0.59,0.67,0.49,0.58,0.6,0.72,0.73,0.64,0.63,0.7,0.7,0.65,0.64,1.15,0.87,1.02
Bihar,Nawada,0.58,0.67,0.55,0.52,0.52,0.57,0.53,0.62,0.66,0.47,0.6,0.57,0.89,1.05,0.62,0.93,0.63,2.25,0.91,0.93,0.4,0.77,0.86
Bihar,Pashchim Champaran,0.61,0.64,0.55,0.5,0.44,0.69,0.45,0.64,0.61,0.46,0.55,0.41,0.62,0.58,0.52,0.45,0.41,0.73,0.77,0.6,0.53,0.84,1.14
Bihar,Patna,0.62,0.56,0.61,0.51,0.54,0.55,0.55,0.58,0.65,0.44,0.54,0.6,0.62,0.67,0.58,0.55,0.69,0.68,0.67,0.66,1.14,0.7,0.67
Bihar,Purbi Champaran,1.1,,0.55,0.5,0.39,0.62,0.47,0.55,0.54,0.48,0.55,0.4,0.58,0.55,0.51,0.48,0.42,0.74,1.73,0.99,0.54,0.84,1.03
Bihar,Purnia,0.73,0.47,0.82,0.79,0.45,0.3,0.36,1.17,0.59,0.55,0.56,1.05,1.29,0.81,0.61,0.91,1.08,0.36,1.03,0.87,0.59,0.48,1.02
Bihar,Rohtas,0.68,0.55,0.61,0.52,0.52,0.55,0.55,0.66,0.61,0.55,0.58,0.61,0.69,0.68,0.59,0.55,0.69,0.71,0.71,0.67,1.15,0.7,0.82
Bihar,Saharsa,0.61,,0.86,0.28,0.82,0.44,0.48,0.53,0.64,0.38,0.63,0.65,0.38,0.55,0.26,0.35,0.74,0.62,0.75,0.62,0.68,0.66,0.57
Bihar,Samastipur,0.52,0.45,0.41,0.53,0.61,0.62,0.56,1.04,1.6,0.62,0.7,0.6,0.45,0.62,0.54,0.76,0.76,0.38,0.32,0.54,0.88,1,1.05
