State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Mizoram,Lunglei,,,,1.96,1.12,0.8,1.07,0.99,1.07,1.24,1.34,1.49,1.4,1.31,1.24,1.23
Mizoram,Mamit,,,,0.82,0.91,0.89,0.99,1.91,0.94,0.92,0.92,1.02,0.94,0.9,1.3,1.12
Mizoram,Saiha,,,,1.38,0.86,0.57,0.83,0.57,1,1.15,1.05,1.12,1.2,1.06,1.11,1.11
Mizoram,Saitual,,,,,,,,,,,,,,1.93,1.24,1.18
Mizoram,Serchhip,,,,0.88,0.88,0.87,0.85,1.1,1.1,1.12,0.98,0.98,1.01,1.01,1.01,1.01
Nagaland,Chumoukedima,,,,,,,,,,,,,,,,1.42
Nagaland,Dimapur,,,,,,,1.45,1.48,1.5,1.43,1.48,1.48,1.5,1.5,1.29,1.42
Nagaland,Kiphire,,,,,,,,,,,,,,,1.2,1.38
Nagaland,Kohima,,,,,,,,,,,,,,,1.32,1.5
Nagaland,Mokokchung,,,,,,,,,,,,,,,1.44,1.46
Nagaland,Mon,,,,,,,1.44,1.44,1.47,1.47,1.44,1.44,1.48,1.48,1.25,1.42
Nagaland,Niuland,,,,,,,,,,,,,,,,1.43
Nagaland,Peren,,,,,,,,,,,,,,,1.4,1.5
Nagaland,Phek,,,,,,,1.5,1.5,1.46,1.46,1.46,1.5,1.47,1.48,1.4,1.55
Nagaland,Tseminyu,,,,,,,,,,,,,,,,1.4
Nagaland,Wokha,,,,,,,,,,,,,,,1.47,1.47
Odisha,Balangir,,,,,,,,,,,,,0.73,,,
Odisha,Baleshwar,,,,,,,,,,,,,0.76,,,
Odisha,Bargarh,,,,,,,,,,,,,0.77,,,
Odisha,Bhadrak,,,,,,,,,,,,,0.79,,,
Odisha,Cuttack,,,,,,,,,,,,,0.79,,,
Odisha,Deogarh,,,,,,,,,,,,,0.75,,,
Odisha,Gajapati,,,,,,,,,,,,,0.78,,,
Odisha,Ganjam,,,,,,,,,,,,,0.8,,,
Odisha,Jagatsinghapur,,,,,,,,,,,,,0.74,,,
Odisha,Jajapur,,,,,,,,,,,,,0.67,,,
Odisha,Jharsuguda,,,,,,,,,,,,,0.73,,,
Odisha,Kalahandi,,,,,,,,,,,,,0.75,,,
Odisha,Kandhamal,,,,,,,,,,,,,0.76,,,
Odisha,Kendrapara,,,,,,,,,,,,,0.75,,,
Odisha,Kendujhar,,,,,,,,,,,,,0.74,,,
Odisha,Khordha,,,,,,,,,,,,,0.71,,,
Odisha,Koraput,,,,,,,,,,,,,0.74,,,
Odisha,Malkangiri,,,,,,,,,,,,,0.71,,,
Odisha,Mayurbhanj,,,,,,,,,,,,,0.74,,,
Odisha,Nabarangpur,,,,,,,,,,,,,0.72,,,
Odisha,Nayagarh,,,,,,,,,,,,,0.74,,,
Odisha,Puri,,,,,,,,,,,,,0.75,,,
Odisha,Rayagada,,,,,,,,,,,,,0.76,,,
Odisha,Sambalpur,,,,,,,,,,,,,0.73,,,
Odisha,Sonepur,,,,,,,,,,,,,0.72,,,
