state,district,year,tobacco_kharif_area_hectare,tobacco_kharif_production_tonne,tobacco_kharif_yield_tonne_per_hectare,tobacco_rabi_area_hectare,tobacco_rabi_production_tonne,tobacco_rabi_yield_tonne_per_hectare,tobacco_whole_year_area_hectare,tobacco_whole_year_production_tonne,tobacco_whole_year_yield_tonne_per_hectare,tobacco_summer_area_hectare,tobacco_summer_production_tonne,tobacco_summer_yield_tonne_per_hectare
,,2009 - 2010,,,,,,,89.0,38.0,0.43,,,
,,2010 - 2011,,,,,,,84.0,37.0,0.44,,,
,,2011 - 2012,,,,,,,5.0,2.0,0.4,,,
,,2012 - 2013,,,,,,,7.0,3.0,0.43,,,
,,2013 - 2014,,,,,,,7.0,3.0,0.43,,,
,,2014 - 2015,,,,,,,6.0,3.0,0.5,,,
,,2015 - 2016,,,,,,,5.0,2.0,0.4,,,
,,2016 - 2017,,,,,,,7.0,3.0,0.43,,,
,,2017 - 2018,,,,,,,5.0,1.0,0.2,,,
,,2018 - 2019,,,,,,,7.0,1.0,0.14,,,
,,2019 - 2020,,,,,,,7.0,1.0,0.14,,,
,,2020 - 2021,,,,,,,6.0,1.0,0.17,,,
,,2021 - 2022,,,,,,,5.0,2.0,0.4,,,
,,2022 - 2023,,,,,,,3.0,1.0,0.33,,,
,Barpeta,2000 - 2001,,,,,,,25.0,18.0,0.72,,,
,,2001 - 2002,,,,,,,42.0,29.0,0.69,,,
,,2002 - 2003,,,,,,,28.0,20.0,0.71,,,
,,2003 - 2004,,,,,,,31.0,22.0,0.71,,,
,,2004 - 2005,,,,,,,16.0,11.0,0.69,,,
,,2005 - 2006,,,,,,,21.0,15.0,0.71,,,
,,2006 - 2007,,,,,,,19.0,13.0,0.68,,,
,,2007 - 2008,,,,,,,19.0,13.0,0.68,,,
,,2008 - 2009,,,,,,,32.0,22.0,0.69,,,
,,2009 - 2010,,,,,,,95.0,67.0,0.71,,,
,,2010 - 2011,,,,,,,37.0,24.0,0.65,,,
,,2011 - 2012,,,,,,,32.0,19.0,0.59,,,
,,2012 - 2013,,,,,,,13.0,9.0,0.69,,,
,,2013 - 2014,,,,,,,9.0,7.0,0.78,,,
,,2014 - 2015,,,,,,,5.0,4.0,0.8,,,
,,2015 - 2016,,,,,,,2.0,1.0,0.5,,,
,,2016 - 2017,,,,,,,2.0,2.0,1.0,,,
,,2017 - 2018,,,,,,,2.0,2.0,1.0,,,
,,2018 - 2019,,,,,,,2.0,2.0,1.0,,,
,Biswanath,2020 - 2021,,,,,,,2.0,1.0,0.5,,,
,,2021 - 2022,,,,,,,9.0,4.0,0.44,,,
,Bongaigaon,2000 - 2001,,,,,,,45.0,23.0,0.51,,,
,,2001 - 2002,,,,,,,45.0,24.0,0.53,,,
,,2002 - 2003,,,,,,,49.0,26.0,0.53,,,
,,2003 - 2004,,,,,,,49.0,26.0,0.53,,,
,,2004 - 2005,,,,,,,41.0,23.0,0.56,,,
,,2005 - 2006,,,,,,,18.0,9.0,0.5,,,
,,2006 - 2007,,,,,,,23.0,11.0,0.48,,,
,,2007 - 2008,,,,,,,25.0,12.0,0.48,,,
,,2008 - 2009,,,,,,,23.0,11.0,0.48,,,
,,2009 - 2010,,,,,,,21.0,11.0,0.52,,,
,,2010 - 2011,,,,,,,15.0,8.0,0.53,,,
,,2011 - 2012,,,,,,,7.0,4.0,0.57,,,
,,2012 - 2013,,,,,,,4.0,2.0,0.5,,,
,,2015 - 2016,,,,,,,1.0,1.0,1.0,,,
,Cachar,2000 - 2001,,,,,,,9.0,6.0,0.67,,,
,,2001 - 2002,,,,,,,9.0,9.0,1.0,,,
,,2002 - 2003,,,,,,,9.0,6.0,0.67,,,
,,2003 - 2004,,,,,,,9.0,6.0,0.67,,,
,,2004 - 2005,,,,,,,10.0,7.0,0.7,,,
,,2005 - 2006,,,,,,,10.0,6.0,0.6,,,
,,2006 - 2007,,,,,,,10.0,7.0,0.7,,,
,,2007 - 2008,,,,,,,10.0,7.0,0.7,,,
,,2008 - 2009,,,,,,,7.0,5.0,0.71,,,
,,2009 - 2010,,,,,,,7.0,5.0,0.71,,,
,,2010 - 2011,,,,,,,6.0,4.0,0.67,,,
,,2011 - 2012,,,,,,,6.0,3.0,0.5,,,
,,2012 - 2013,,,,,,,7.0,4.0,0.57,,,
,,2013 - 2014,,,,,,,10.0,6.0,0.6,,,
,,2014 - 2015,,,,,,,7.0,4.0,0.57,,,
,,2015 - 2016,,,,,,,9.0,6.0,0.67,,,
,,2016 - 2017,,,,,,,8.0,5.0,0.63,,,
,,2017 - 2018,,,,,,,7.0,5.0,0.71,,,
,,2018 - 2019,,,,,,,7.0,5.0,0.71,,,
,,2019 - 2020,,,,,,,6.0,4.0,0.67,,,
,,2020 - 2021,,,,,,,6.0,4.0,0.67,,,
,,2021 - 2022,,,,,,,7.0,5.0,0.71,,,
,,2022 - 2023,,,,,,,7.0,3.0,0.43,,,
,Chirang,2005 - 2006,,,,,,,37.0,19.0,0.51,,,
,,2006 - 2007,,,,,,,38.0,19.0,0.5,,,
,,2007 - 2008,,,,,,,37.0,18.0,0.49,,,
,,2008 - 2009,,,,,,,38.0,20.0,0.53,,,
,,2009 - 2010,,,,,,,38.0,19.0,0.5,,,
,,2010 - 2011,,,,,,,50.0,26.0,0.52,,,
,,2011 - 2012,,,,,,,74.0,38.0,0.51,,,
,,2012 - 2013,,,,,,,77.0,39.0,0.51,,,
,,2013 - 2014,,,,,,,79.0,40.0,0.51,,,
,,2014 - 2015,,,,,,,99.0,51.0,0.52,,,
,,2015 - 2016,,,,,,,80.0,37.0,0.46,,,
,,2016 - 2017,,,,,,,80.0,39.0,0.49,,,
,,2017 - 2018,,,,,,,54.0,27.0,0.5,,,
,,2018 - 2019,,,,,,,54.0,27.0,0.5,,,
,,2019 - 2020,,,,,,,37.0,22.0,0.59,,,
,,2020 - 2021,,,,,,,27.0,16.0,0.59,,,
,,2021 - 2022,,,,,,,30.0,14.0,0.47,,,
,,2022 - 2023,,,,,,,9.0,7.0,0.78,,,
,Darrang,2000 - 2001,,,,,,,46.0,28.0,0.61,,,
