state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2014 - 2015,,,1.03,,,1.03,,,,,,
,,2015 - 2016,,,2.24,936.0,,2.24,,,,,,
,,2016 - 2017,,,1.99,565.0,,1.99,,,,,,
,,2017 - 2018,,,2.03,583.0,,2.03,,,,,,
,,2018 - 2019,,,0.8,31.0,25.0,0.81,,,,,,
,,2019 - 2020,,,2.3,247.0,568.0,2.3,,,,,,
,,2020 - 2021,,,2.91,311.0,905.0,2.91,,,,,,
,,2021 - 2022,,,1.71,389.0,664.0,1.71,,,,,,
,,2022 - 2023,,,2.34,169.0,390.0,2.31,,,,,,
,Spsr nellore,2000 - 2001,,,1.84,21.0,39.0,1.86,,,,,,
,,2001 - 2002,917.0,,1.48,67.0,99.0,1.48,,,,,,
,,2002 - 2003,,,1.26,36.0,45.0,1.25,,,,,,
,,2003 - 2004,,,1.63,12.0,20.0,1.67,,,,,,
,,2004 - 2005,,,2.41,,,,,,,,,
,,2005 - 2006,836.0,,1.36,,,,,,,,,
,,2006 - 2007,488.0,,2.13,54.0,115.0,2.13,,,,,,
,,2007 - 2008,,,2.0,,,,,,,,,
,,2008 - 2009,419.0,937.0,2.24,37.0,83.0,2.24,,,,,,
,,2009 - 2010,835.0,,2.44,29.0,71.0,2.45,,,,,,
,,2010 - 2011,,,2.38,57.0,135.0,2.37,,,,,,
,,2011 - 2012,604.0,,2.38,49.0,116.0,2.37,,,,,,
,,2012 - 2013,,,3.0,,,,,,,,,
,,2013 - 2014,,,3.63,53.0,193.0,3.64,,,,,,
,,2014 - 2015,622.0,,2.67,15.0,40.0,2.67,,,,,,
,,2015 - 2016,371.0,,3.64,48.0,175.0,3.65,,,,,,
,,2016 - 2017,,,3.74,47.0,176.0,3.74,,,,,,
,,2017 - 2018,,,2.66,28.0,75.0,2.68,,,,,,
,,2018 - 2019,219.0,364.0,1.66,1.0,2.0,2.0,,,,,,
,,2019 - 2020,173.0,472.0,2.73,70.0,191.0,2.73,,,,,,
,,2020 - 2021,,,2.92,282.0,823.0,2.92,,,,,,
,,2021 - 2022,851.0,,2.8,159.0,445.0,2.8,,,,,,
,,2022 - 2023,,,2.6,104.0,240.0,2.31,,,,,,
,Sri sathya sai,2022 - 2023,814.0,,1.3,2.0,4.0,2.0,,,,,,
,Srikakulam,2000 - 2001,,,1.73,,,,,,,,,
,,2001 - 2002,,,1.01,,,,,,,,,
,,2002 - 2003,,,1.3,,,,,,,,,
,,2003 - 2004,,,2.36,,,,,,,,,
,,2004 - 2005,,,1.87,,,,,,,,,
,,2005 - 2006,,,1.07,,,,,,,,,
,,2006 - 2007,,,0.52,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,
,,2008 - 2009,,,1.54,,,,,,,,,
,,2009 - 2010,,,1.6,,,,,,,,,
,,2010 - 2011,,,2.3,,,,,,,,,
,,2011 - 2012,,,1.4,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,210.0,363.0,1.73,,,,,,,,,
,,2014 - 2015,196.0,522.0,2.66,,,,,,,,,
,,2015 - 2016,176.0,444.0,2.52,,,,,,,,,
,,2016 - 2017,125.0,420.0,3.36,,,,,,,,,
,,2017 - 2018,87.0,291.0,3.34,,,,,,,,,
,,2018 - 2019,84.0,140.0,1.67,,,,,,,,,
,,2019 - 2020,83.0,127.0,1.53,,,,,,,,,
,,2020 - 2021,40.0,90.0,2.25,,,,,,,,,
,,2021 - 2022,104.0,206.0,1.98,,,,,,,,,
,,2022 - 2023,25.0,58.0,2.32,,,,,,,,,
,Tirupati,2022 - 2023,,,3.13,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,1.11,,,,,,,,,
,,2001 - 2002,,,0.83,,,,,,,,,
,,2002 - 2003,,,0.63,2.0,,0.0,,,,,,
,,2003 - 2004,,,1.14,,,,,,,,,
,,2004 - 2005,,,1.05,,,,,,,,,
,,2005 - 2006,,,0.56,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,
,,2007 - 2008,,,0.86,,,,,,,,,
,,2008 - 2009,,,0.81,,,,,,,,,
,,2009 - 2010,,,1.11,,,,,,,,,
,,2010 - 2011,,,0.87,,,,,,,,,
,,2011 - 2012,,,1.1,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,0.69,,,,,,,,,
,,2014 - 2015,,,0.91,,,,,,,,,
,,2015 - 2016,,,0.98,,,,,,,,,
,,2016 - 2017,,,1.05,,,,,,,,,
,,2017 - 2018,,,1.21,,,,,,,,,
,,2018 - 2019,,,1.13,,,,,,,,,
,,2019 - 2020,,,1.04,,,,,,,,,
,,2020 - 2021,,,0.96,,,,,,,,,
,,2021 - 2022,,996.0,0.93,,,,,,,,,
,,2022 - 2023,88.0,203.0,2.31,,,,,,,,,
,Vizianagaram,2000 - 2001,,,1.13,,,,,,,,,
,,2001 - 2002,,,1.09,,,,,,,,,
,,2002 - 2003,,,0.89,,,,,,,,,
,,2003 - 2004,,,1.3,,,,,,,,,
,,2004 - 2005,,,0.77,,,,,,,,,
,,2005 - 2006,973.0,683.0,0.7,,,,,,,,,
,,2006 - 2007,,,1.17,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,
,,2008 - 2009,,,1.02,,,,,,,,,
,,2009 - 2010,846.0,890.0,1.05,5.0,5.0,1.0,,,,,,
,,2010 - 2011,619.0,355.0,0.57,,,,,,,,,
,,2011 - 2012,146.0,113.0,0.77,,,,,,,,,
,,2013 - 2014,207.0,182.0,0.88,3.0,3.0,1.0,,,,,,
,,2014 - 2015,132.0,95.0,0.72,,,,,,,,,
,,2015 - 2016,196.0,356.0,1.82,,,,,,,,,
,,2016 - 2017,90.0,110.0,1.22,,,,,,,,,
,,2017 - 2018,110.0,160.0,1.45,,,,,,,,,
,,2018 - 2019,82.0,92.0,1.12,,,,,,,,,
,,2019 - 2020,34.0,41.0,1.21,,,,,,,,,
,,2020 - 2021,31.0,30.0,0.97,,,,,,,,,
,,2021 - 2022,37.0,65.0,1.76,,,,,,,,,
,,2022 - 2023,25.0,58.0,2.32,,,,,,,,,
,West godavari,2003 - 2004,75.0,102.0,1.36,,,,,,,,,
,,2004 - 2005,65.0,71.0,1.09,,,,,,,,,
,,2005 - 2006,40.0,48.0,1.2,,,,,,,,,
Bihar,Araria,2000 - 2001,23.0,19.0,0.83,,,,,,,,,
,Aurangabad,2005 - 2006,4.0,4.0,1.0,,,,,,,,,
,Banka,2000 - 2001,2.0,2.0,1.0,,,,,,,,,
,,2002 - 2003,9.0,9.0,1.0,,,,,,,,,
,,2003 - 2004,17.0,18.0,1.06,,,,,,,,,
,,2004 - 2005,9.0,10.0,1.11,,,,,,,,,
,Begusarai,2016 - 2017,10.0,11.0,1.1,,,,,,,,,
,Bhagalpur,2000 - 2001,100.0,83.0,0.83,,,,,,,,,
,,2002 - 2003,12.0,12.0,1.0,,,,,,,,,
,,2004 - 2005,4.0,4.0,1.0,,,,,,,,,
,,2005 - 2006,10.0,11.0,1.1,,,,,,,,,
,,2007 - 2008,4.0,4.0,1.0,,,,,,,,,
,,2008 - 2009,4.0,4.0,1.0,,,,,,,,,
,,2009 - 2010,4.0,4.0,1.0,,,,,,,,,
,,2010 - 2011,5.0,6.0,1.2,,,,,,,,,
,,2011 - 2012,6.0,7.0,1.17,,,,,,,,,
,,2012 - 2013,8.0,9.0,1.13,,,,,,,,,
,,2013 - 2014,8.0,9.0,1.13,,,,,,,,,
