state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2012 - 2013,,,,,,1.62,400.0,900.0,2.25,,,,,,,,,
,,2013 - 2014,,,,,,2.69,409.0,787.0,1.92,,,,,,,,,
,,2014 - 2015,,,,,,2.11,255.0,469.0,1.84,,,,,,,,,
,,2015 - 2016,,,,,,2.67,100.0,280.0,2.8,,,,,,,,,
,,2016 - 2017,,,,,,2.62,227.0,506.0,2.23,,,,,,,,,
,,2017 - 2018,,,,,,2.52,200.0,368.0,1.84,,,,,,,,,
,,2018 - 2019,,,,,,1.98,96.0,207.0,2.16,,,,,,,,,
,,2019 - 2020,,,,,,3.09,75.0,180.0,2.4,,,,,,,,,
,,2020 - 2021,,,,,,2.36,190.0,446.0,2.35,,,,,,,,,
,,2021 - 2022,,,,,,2.48,89.0,192.0,2.16,,,,,,,,,
,,2022 - 2023,,,,,,2.52,98.0,225.0,2.3,,,,,,,,,
,Tapi,2008 - 2009,,,,,,1.69,,,2.15,,,,,,,,,
,,2009 - 2010,,,,,,2.08,,,2.33,,,,,,,,,
,,2010 - 2011,,,,,,1.68,,,1.57,,,,,,,,,
,,2011 - 2012,,,,,,1.33,,,2.39,,,,,,,,,
,,2012 - 2013,,,,,,1.68,,,2.14,,,,,,,,,
,,2013 - 2014,,,,,,1.5,,,1.93,,,,,,,,,
,,2014 - 2015,,,,,,1.7,,,1.88,,,,,,,,,
,,2015 - 2016,,,,582.0,,2.39,,,1.68,,,,,,,,,
,,2016 - 2017,,,,624.0,845.0,1.35,,,1.89,,,,,,,,,
,,2017 - 2018,,,,317.0,530.0,1.67,,,1.83,,,,,,,,,
,,2018 - 2019,,,,,,1.52,,,2.04,,,,,,,,,
,,2019 - 2020,,,,828.0,,2.39,,,2.11,,,,,,,,,
,,2020 - 2021,,,,,,1.81,,,1.92,,,,,,,,,
,,2021 - 2022,,,,,,2.1,,,2.18,,,,,,,,,
,,2022 - 2023,,,,,,2.02,,,2.18,,,,,,,,,
,Vadodara,2000 - 2001,,,,,800.0,0.38,,,2.1,,,,,,,,,
,,2001 - 2002,,,,,,1.39,,,1.26,,,,,,,,,
,,2002 - 2003,,,,,700.0,0.5,,,1.78,,,,,,,,,
,,2003 - 2004,,,,,,2.24,,,1.6,,,,,,,,,
,,2004 - 2005,,,,,,0.88,,,1.68,,,,,,,,,
,,2005 - 2006,,,,,,1.7,,,1.59,,,,,,,,,
,,2006 - 2007,,,,,,0.94,,,2.0,,,,,,,,,
,,2007 - 2008,,,,,,1.73,,,1.63,,,,,,,,,
,,2008 - 2009,,,,,,1.32,,,1.79,,,,,,,,,
,,2009 - 2010,,,,,,0.91,,,1.86,,,,,,,,,
,,2010 - 2011,,,,800.0,,2.0,,,1.54,,,,,,,,,
,,2011 - 2012,,,,,,1.58,,,1.66,,,,,,,,,
,,2012 - 2013,,,,200.0,100.0,0.5,,,1.4,,,,,,,,,
,,2013 - 2014,,,,,,3.02,,,1.55,,,,,,,,,
,,2014 - 2015,,,,,,,118.0,187.0,1.58,,,,,,,,,
,,2015 - 2016,,,,,,,37.0,62.0,1.68,,,,,,,,,
,,2016 - 2017,,,,,,,5.0,9.0,1.8,,,,,,,,,
,,2017 - 2018,,,,,,,5.0,9.0,1.8,,,,,,,,,
,,2018 - 2019,,,,4.0,5.0,1.25,22.0,47.0,2.14,,,,,,,,,
,,2019 - 2020,,,,34.0,94.0,2.76,11.0,26.0,2.36,,,,,,,,,
,,2020 - 2021,,,,63.0,120.0,1.9,18.0,42.0,2.33,,,,,,,,,
,,2021 - 2022,,,,16.0,36.0,2.25,9.0,19.0,2.11,,,,,,,,,
,,2022 - 2023,,,,9.0,23.0,2.56,,,,,,,,,,,,
,Valsad,2000 - 2001,,,,400.0,100.0,0.25,300.0,500.0,1.67,,,,,,,,,
,,2001 - 2002,,,,600.0,800.0,1.33,200.0,200.0,1.0,,,,,,,,,
,,2002 - 2003,,,,500.0,200.0,0.4,100.0,200.0,2.0,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2006 - 2007,,,,200.0,200.0,1.0,,,,,,,,,,,,
,,2007 - 2008,,,,200.0,400.0,2.0,,,,,,,,,,,,
,,2008 - 2009,,,,200.0,300.0,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,200.0,200.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,200.0,400.0,2.0,,,,,,,,,,,,
,,2011 - 2012,,,,300.0,400.0,1.33,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,300.0,100.0,0.33,,,,,,,,,,,,
,,2013 - 2014,,,,269.0,811.0,3.01,3.0,4.0,1.33,,,,,,,,,
,,2014 - 2015,,,,299.0,606.0,2.03,11.0,20.0,1.82,,,,,,,,,
,,2015 - 2016,,,,313.0,449.0,1.43,,,,,,,,,,,,
,,2016 - 2017,,,,217.0,356.0,1.64,12.0,21.0,1.75,,,,,,,,,
,,2017 - 2018,,,,235.0,573.0,2.44,,,,,,,,,,,,
,,2018 - 2019,,,,195.0,267.0,1.37,,,,,,,,,,,,
,,2019 - 2020,,,,17.0,47.0,2.76,,,,,,,,,,,,
,,2020 - 2021,,,,4.0,8.0,2.0,2.0,5.0,2.5,,,,,,,,,
,,2021 - 2022,,,,58.0,131.0,2.26,,,,,,,,,,,,
,,2022 - 2023,,,,7.0,18.0,2.57,3.0,7.0,2.33,,,,,,,,,
Haryana,Ambala,2000 - 2001,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,9.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,12.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,7.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,4.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,5.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,9.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,1.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,1.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,2.0,,0.0,,,,,,,,,,,,
,,2021 - 2022,,,,8.0,4.8,0.6,,,,,,,,,,,,
,Bhiwani,2000 - 2001,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,20.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,16.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,,900.0,0.81,,,,,,,,,,,,
,,2007 - 2008,,,,52.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,50.0,100.0,2.0,,,,,,,,,,,,
,,2009 - 2010,,,,1.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,9.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,33.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,16.0,13.0,0.81,,,,,,,,,,,,
,,2013 - 2014,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,9.0,9.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,194.0,194.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,194.0,194.0,1.0,,,,,,,,,,,,
,Charki dadri,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,18.0,18.0,1.0,,,,,,,,,,,,
,Faridabad,2003 - 2004,,,,2.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,3.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,1.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,2.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,2.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,1.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Fatehabad,2000 - 2001,,,,5.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,83.0,100.0,1.2,,,,,,,,,,,,
,,2004 - 2005,,,,115.0,100.0,0.87,,,,,,,,,,,,
,,2005 - 2006,,,,621.0,600.0,0.97,,,,,,,,,,,,
,,2006 - 2007,,,,266.0,300.0,1.13,,,,,,,,,,,,
,,2007 - 2008,,,,175.0,200.0,1.14,,,,,,,,,,,,
,,2008 - 2009,,,,424.0,400.0,0.94,,,,,,,,,,,,
,,2009 - 2010,,,,543.0,500.0,0.92,,,,,,,,,,,,
,,2010 - 2011,,,,768.0,800.0,1.04,,,,,,,,,,,,
,,2011 - 2012,,,,102.0,100.0,0.98,,,,,,,,,,,,
,,2012 - 2013,,,,960.0,,1.19,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.15,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.23,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.45,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.08,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.1,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.1,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.1,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.1,,,,,,,,,,,,
,Gurgaon,2000 - 2001,,,,49.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,94.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,233.0,100.0,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,250.0,100.0,0.4,,,,,,,,,,,,
,,2004 - 2005,,,,324.0,200.0,0.62,,,,,,,,,,,,
,,2005 - 2006,,,,310.0,200.0,0.65,,,,,,,,,,,,
,,2006 - 2007,,,,59.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,214.0,100.0,0.47,,,,,,,,,,,,
,,2008 - 2009,,,,40.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,21.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,20.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,18.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,8.0,7.0,0.88,,,,,,,,,,,,
,Hisar,2000 - 2001,,,,14.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,30.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,311.0,300.0,0.96,,,,,,,,,,,,
,,2003 - 2004,,,,60.0,100.0,1.67,,,,,,,,,,,,
,,2004 - 2005,,,,67.0,100.0,1.49,,,,,,,,,,,,
,,2005 - 2006,,,,190.0,200.0,1.05,,,,,,,,,,,,
,,2006 - 2007,,,,193.0,200.0,1.04,,,,,,,,,,,,
,,2007 - 2008,,,,162.0,100.0,0.62,,,,,,,,,,,,
,,2008 - 2009,,,,416.0,400.0,0.96,,,,,,,,,,,,
,,2009 - 2010,,,,452.0,500.0,1.11,,,,,,,,,,,,
,,2010 - 2011,,,,392.0,400.0,1.02,,,,,,,,,,,,
,,2011 - 2012,,,,189.0,200.0,1.06,,,,,,,,,,,,
,,2012 - 2013,,,,169.0,202.0,1.2,,,,,,,,,,,,
,,2013 - 2014,,,,300.0,400.0,1.33,,,,,,,,,,,,
,,2014 - 2015,,,,200.0,300.0,1.5,,,,,,,,,,,,
,,2015 - 2016,,,,400.0,500.0,1.25,,,,,,,,,,,,
,,2016 - 2017,,,,300.0,400.0,1.33,,,,,,,,,,,,
,,2017 - 2018,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2018 - 2019,,,,210.0,227.0,1.08,,,,,,,,,,,,
,,2019 - 2020,,,,237.0,256.0,1.08,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.08,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.08,,,,,,,,,,,,
,Jhajjar,2000 - 2001,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,14.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,29.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,61.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,162.0,100.0,0.62,,,,,,,,,,,,
,,2006 - 2007,,,,182.0,100.0,0.55,,,,,,,,,,,,
,,2007 - 2008,,,,135.0,100.0,0.74,,,,,,,,,,,,
,,2008 - 2009,,,,135.0,200.0,1.48,,,,,,,,,,,,
,,2009 - 2010,,,,54.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,146.0,100.0,0.68,,,,,,,,,,,,
,,2011 - 2012,,,,155.0,200.0,1.29,,,,,,,,,,,,
,,2012 - 2013,,,,72.0,81.0,1.13,,,,,,,,,,,,
,,2013 - 2014,,,,200.0,200.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,18.0,19.0,1.06,,,,,,,,,,,,
,,2019 - 2020,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,16.0,17.0,1.06,,,,,,,,,,,,
,,2021 - 2022,,,,16.0,16.9,1.06,,,,,,,,,,,,
,Karnal,2000 - 2001,,,,2.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,2.0,,0.0,,,,,,,,,,,,
,Mahendragarh,2000 - 2001,,,,10.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,77.0,100.0,1.3,,,,,,,,,,,,
,,2002 - 2003,,,,296.0,200.0,0.68,,,,,,,,,,,,
,,2003 - 2004,,,,167.0,100.0,0.6,,,,,,,,,,,,
,,2004 - 2005,,,,426.0,300.0,0.7,,,,,,,,,,,,
,,2005 - 2006,,,,497.0,300.0,0.6,,,,,,,,,,,,
,,2006 - 2007,,,,490.0,300.0,0.61,,,,,,,,,,,,
,,2007 - 2008,,,,231.0,200.0,0.87,,,,,,,,,,,,
,,2008 - 2009,,,,44.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,46.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,82.0,100.0,1.22,,,,,,,,,,,,
,,2011 - 2012,,,,104.0,100.0,0.96,,,,,,,,,,,,
,,2012 - 2013,,,,47.0,56.0,1.19,,,,,,,,,,,,
,,2018 - 2019,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2021 - 2022,,,,254.0,127.0,0.5,,,,,,,,,,,,
,Mewat,2005 - 2006,,,,12.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,3.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,5.0,5.0,1.0,,,,,,,,,,,,
,Panchkula,2000 - 2001,,,,62.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,60.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,77.0,100.0,1.3,,,,,,,,,,,,
,,2003 - 2004,,,,73.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,56.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,,,,47.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,,,,47.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,61.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,41.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,30.0,,0.0,,,,,,,,,,,,
,,2010 - 2011,,,,39.0,100.0,2.56,,,,,,,,,,,,
,,2011 - 2012,,,,45.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,,,,10.0,6.0,0.6,,,,,,,,,,,,
,,2019 - 2020,,,,8.0,5.0,0.63,,,,,,,,,,,,
,,2020 - 2021,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2021 - 2022,,,,5.0,3.0,0.6,,,,,,,,,,,,
,Panipat,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Rewari,2000 - 2001,,,,3.0,0.0,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,18.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,,,,47.0,0.0,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,160.0,100.0,0.63,,,,,,,,,,,,
,,2004 - 2005,,,,328.0,200.0,0.61,,,,,,,,,,,,
,,2005 - 2006,,,,224.0,100.0,0.45,,,,,,,,,,,,
,,2006 - 2007,,,,131.0,100.0,0.76,,,,,,,,,,,,
,,2007 - 2008,,,,82.0,100.0,1.22,,,,,,,,,,,,
,,2008 - 2009,,,,89.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,,,,78.0,100.0,1.28,,,,,,,,,,,,
,,2010 - 2011,,,,67.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,121.0,100.0,0.83,,,,,,,,,,,,
,,2012 - 2013,,,,46.0,51.0,1.11,,,,,,,,,,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,19.0,23.0,1.21,,,,,,,,,,,,
,,2019 - 2020,,,,3.0,4.0,1.33,,,,,,,,,,,,
,,2020 - 2021,,,,5.0,6.0,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,118.0,142.0,1.2,,,,,,,,,,,,
,Sirsa,2000 - 2001,,,,128.0,100.0,0.78,,,,,,,,,,,,
,,2001 - 2002,,,,113.0,100.0,0.88,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.8,,,,,,,,,,,,
,,2003 - 2004,,,,599.0,500.0,0.83,,,,,,,,,,,,
,,2004 - 2005,,,,457.0,400.0,0.88,,,,,,,,,,,,
,,2005 - 2006,,,,510.0,400.0,0.78,,,,,,,,,,,,
,,2006 - 2007,,,,183.0,200.0,1.09,,,,,,,,,,,,
,,2007 - 2008,,,,107.0,100.0,0.93,,,,,,,,,,,,
,,2008 - 2009,,,,251.0,200.0,0.8,,,,,,,,,,,,
,,2009 - 2010,,,,458.0,400.0,0.87,,,,,,,,,,,,
,,2010 - 2011,,,,773.0,900.0,1.16,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.03,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.18,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.15,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.24,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.13,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.17,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.2,,,,,,,,,,,,
,,2019 - 2020,,,,991.0,,1.2,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.2,,,,,,,,,,,,
,Sonipat,2001 - 2002,,,,2.0,0.0,0.0,,,,,,,,,,,,
,Yamunanagar,2000 - 2001,,,,60.0,100.0,1.67,,,,,,,,,,,,
,,2001 - 2002,,,,86.0,100.0,1.16,,,,,,,,,,,,
,,2002 - 2003,,,,127.0,100.0,0.79,,,,,,,,,,,,
,,2003 - 2004,,,,84.0,100.0,1.19,,,,,,,,,,,,
,,2004 - 2005,,,,127.0,100.0,0.79,,,,,,,,,,,,
,,2005 - 2006,,,,98.0,100.0,1.02,,,,,,,,,,,,
,,2006 - 2007,,,,93.0,100.0,1.08,,,,,,,,,,,,
,,2007 - 2008,,,,84.0,100.0,1.19,,,,,,,,,,,,
,,2008 - 2009,,,,51.0,100.0,1.96,,,,,,,,,,,,
,,2009 - 2010,,,,45.0,100.0,2.22,,,,,,,,,,,,
,,2010 - 2011,,,,21.0,,0.0,,,,,,,,,,,,
,,2011 - 2012,,,,49.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,,,,18.0,16.0,0.89,,,,,,,,,,,,
Himachal Pradesh,Bilaspur,2001 - 2002,,,,16.0,5.0,0.31,,,,,,,,,,,,
,,2002 - 2003,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,5.0,5.0,1.0,,,,,,,,,,,,
,Chamba,2007 - 2008,,,,2.0,2.0,1.0,,,,,,,,,,,,
,Kullu,2000 - 2001,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2001 - 2002,,,,29.0,9.0,0.31,,,,,,,,,,,,
,,2002 - 2003,,,,6.0,1.0,0.17,,,,,,,,,,,,
,,2005 - 2006,,,,12.0,3.0,0.25,,,,,,,,,,,,
,,2006 - 2007,,,,42.0,26.0,0.62,,,,,,,,,,,,
,,2007 - 2008,,,,42.0,32.0,0.76,,,,,,,,,,,,
,,2008 - 2009,,,,42.0,27.0,0.64,,,,,,,,,,,,
,,2009 - 2010,,,,50.0,35.0,0.7,,,,,,,,,,,,
,,2010 - 2011,,,,27.0,23.0,0.85,,,,,,,,,,,,
,,2011 - 2012,,,,54.0,51.0,0.94,,,,,,,,,,,,
,,2012 - 2013,,,,9.0,8.0,0.89,,,,,,,,,,,,
,,2013 - 2014,,,,23.0,15.0,0.65,,,,,,,,,,,,
,,2014 - 2015,,,,23.0,14.0,0.61,,,,,,,,,,,,
,,2015 - 2016,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2016 - 2017,,,,22.0,20.0,0.91,,,,,,,,,,,,
,,2017 - 2018,,,,15.0,19.0,1.27,,,,,,,,,,,,
,,2018 - 2019,,,,21.0,25.0,1.19,,,,,,,,,,,,
,,2019 - 2020,,,,21.0,28.0,1.33,,,,,,,,,,,,
,,2020 - 2021,,,,19.0,18.0,0.95,,,,,,,,,,,,
,,2021 - 2022,,,,18.0,17.0,0.94,,,,,,,,,,,,
,,2022 - 2023,,,,14.0,13.0,0.93,,,,,,,,,,,,
,Mandi,2000 - 2001,,,,6.0,0.1,0.02,,,,,,,,,,,,
,,2001 - 2002,,,,8.0,2.0,0.25,,,,,,,,,,,,
,,2002 - 2003,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2009 - 2010,,,,65.0,42.0,0.65,,,,,,,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,4.0,3.0,0.75,,,,,,,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,2.0,1.5,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,3.0,3.0,1.0,,,,,,,,,,,,
,Shimla,2000 - 2001,,,,6.0,0.1,0.02,,,,,,,,,,,,
,,2001 - 2002,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,12.0,3.0,0.25,,,,,,,,,,,,
,,2005 - 2006,,,,8.0,4.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,8.0,8.0,1.0,,,,,,,,,,,,
,,2007 - 2008,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2008 - 2009,,,,8.0,8.0,1.0,,,,,,,,,,,,
,,2009 - 2010,,,,45.0,30.0,0.67,,,,,,,,,,,,
,,2010 - 2011,,,,11.0,5.0,0.45,,,,,,,,,,,,
,,2011 - 2012,,,,17.0,15.0,0.88,,,,,,,,,,,,
,,2012 - 2013,,,,5.0,4.0,0.8,,,,,,,,,,,,
,,2013 - 2014,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2014 - 2015,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2015 - 2016,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2016 - 2017,,,,7.0,4.0,0.57,,,,,,,,,,,,
,,2017 - 2018,,,,7.0,5.3,0.76,,,,,,,,,,,,
,,2018 - 2019,,,,6.0,4.0,0.67,,,,,,,,,,,,
,,2019 - 2020,,,,7.0,7.0,1.0,,,,,,,,,,,,
,Sirmaur,2000 - 2001,,,,34.0,0.1,0.0,,,,,,,,,,,,
,,2001 - 2002,,,,40.0,17.0,0.43,,,,,,,,,,,,
,,2002 - 2003,,,,27.0,3.0,0.11,,,,,,,,,,,,
,,2005 - 2006,,,,35.0,16.0,0.46,,,,,,,,,,,,
,,2006 - 2007,,,,50.0,40.0,0.8,,,,,,,,,,,,
,,2007 - 2008,,,,36.0,37.0,1.03,,,,,,,,,,,,
,,2008 - 2009,,,,29.0,29.0,1.0,,,,,,,,,,,,
,,2009 - 2010,,,,35.0,22.0,0.63,,,,,,,,,,,,
,,2010 - 2011,,,,22.0,17.0,0.77,,,,,,,,,,,,
,,2011 - 2012,,,,39.0,37.0,0.95,,,,,,,,,,,,
,,2012 - 2013,,,,7.0,6.0,0.86,,,,,,,,,,,,
,,2013 - 2014,,,,18.0,11.0,0.61,,,,,,,,,,,,
,,2014 - 2015,,,,13.0,9.0,0.69,,,,,,,,,,,,
,,2015 - 2016,,,,12.0,11.0,0.92,,,,,,,,,,,,
,,2016 - 2017,,,,18.0,14.0,0.78,,,,,,,,,,,,
,,2017 - 2018,,,,12.0,11.2,0.93,,,,,,,,,,,,
,,2018 - 2019,,,,14.0,13.0,0.93,,,,,,,,,,,,
,,2019 - 2020,,,,14.0,14.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,5.0,5.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,3.0,3.0,1.0,,,,,,,,,,,,
,Solan,2000 - 2001,,,,88.0,80.0,0.91,,,,,,,,,,,,
,,2001 - 2002,,,,32.0,40.0,1.25,,,,,,,,,,,,
,,2002 - 2003,,,,144.0,78.0,0.54,,,,,,,,,,,,
,,2005 - 2006,,,,8.0,11.0,1.38,,,,,,,,,,,,
,,2006 - 2007,,,,5.0,6.0,1.2,,,,,,,,,,,,
,,2007 - 2008,,,,15.0,21.0,1.4,,,,,,,,,,,,
,,2021 - 2022,,,,19.0,18.0,0.95,,,,,,,,,,,,
,,2022 - 2023,,,,19.0,19.0,1.0,,,,,,,,,,,,
,Una,2000 - 2001,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2002 - 2003,,,,2.0,2.0,1.0,,,,,,,,,,,,
Jammu and Kashmir,Jammu,2000 - 2001,,,,12.0,6.0,0.5,,,,,,,,,,,,
