state,district,year,cotton_kharif_area_hectare,cotton_kharif_production_bales,cotton_kharif_yield_tonne_per_hectare,cotton_rabi_area_hectare,cotton_rabi_production_bales,cotton_rabi_yield_tonne_per_hectare,cotton_whole_year_area_hectare,cotton_whole_year_production_bales,cotton_whole_year_yield_tonne_per_hectare,cotton_summer_area_hectare,cotton_summer_production_bales,cotton_summer_yield_tonne_per_hectare
,,2021 - 2022,,,2.97,,,2.97,,,,,,
,,2022 - 2023,,,1.88,,,2.81,,,,,,
,Sri sathya sai,2022 - 2023,,,0.57,76.0,140.0,1.84,,,,,,
,Srikakulam,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.61,,,,,,,,,
,,2002 - 2003,,,1.78,,,,,,,,,
,,2003 - 2004,,,2.98,,,,,,,,,
,,2004 - 2005,,,2.85,,,,,,,,,
,,2005 - 2006,,,2.42,,,,,,,,,
,,2006 - 2007,,,3.08,,,,,,,,,
,,2007 - 2008,,,3.5,,,,,,,,,
,,2008 - 2009,,,3.59,,,,,,,,,
,,2009 - 2010,,,3.21,,,,,,,,,
,,2010 - 2011,,,2.27,,,,,,,,,
,,2011 - 2012,,,2.15,,,,,,,,,
,,2012 - 2013,,,3.4,,,,,,,,,
,,2013 - 2014,,,2.93,,,,,,,,,
,,2014 - 2015,,,4.4,,,,,,,,,
,,2015 - 2016,,,3.16,,,,,,,,,
,,2016 - 2017,,,3.37,,,,,,,,,
,,2017 - 2018,,,3.66,,,,,,,,,
,,2018 - 2019,,,2.96,,,,,,,,,
,,2019 - 2020,,,0.53,,,,,,,,,
,,2020 - 2021,,,3.62,,,,,,,,,
,,2021 - 2022,,,2.78,,,,,,,,,
,,2022 - 2023,,,2.5,,,,,,,,,
,Tirupati,2022 - 2023,112.0,204.0,1.82,71.0,130.0,1.83,,,,,,
,Visakhapatanam,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.61,,,,,,,,,
,,2002 - 2003,859.0,,1.78,,,,,,,,,
,,2003 - 2004,,,2.98,,,,,,,,,
,,2004 - 2005,,,2.85,,,,,,,,,
,,2005 - 2006,,,2.42,,,,,,,,,
,,2006 - 2007,847.0,,3.08,,,,,,,,,
,,2008 - 2009,204.0,733.0,3.59,,,,,,,,,
,,2009 - 2010,697.0,,3.21,,,,,,,,,
,,2010 - 2011,,,2.27,,,,,,,,,
,,2011 - 2012,,,2.15,,,,,,,,,
,,2012 - 2013,,,3.33,,,,,,,,,
,,2013 - 2014,,,2.93,,,,,,,,,
,,2014 - 2015,,,4.4,,,,,,,,,
,,2015 - 2016,,,1.7,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,
,,2017 - 2018,,,1.36,,,,,,,,,
,,2018 - 2019,,,1.49,,,,,,,,,
,,2019 - 2020,976.0,396.0,0.41,,,,,,,,,
,,2020 - 2021,810.0,660.0,0.81,,,,,,,,,
,,2021 - 2022,274.0,315.0,1.15,,,,,,,,,
,Vizianagaram,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.61,,,,,,,,,
,,2002 - 2003,,,1.78,,,,,,,,,
,,2003 - 2004,,,1.38,,,,,,,,,
,,2004 - 2005,,,1.68,,,,,,,,,
,,2005 - 2006,,,0.78,,,,,,,,,
,,2006 - 2007,,,1.04,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,
,,2008 - 2009,,,0.94,,,,,,,,,
,,2009 - 2010,,,1.72,,,,,,,,,
,,2010 - 2011,,,0.94,,,,,,,,,
,,2011 - 2012,,,1.35,,,,,,,,,
,,2012 - 2013,,,1.93,,,,,,,,,
,,2013 - 2014,,,1.75,,,,,,,,,
,,2014 - 2015,,,2.38,,,,,,,,,
,,2015 - 2016,,,2.12,,,,,,,,,
,,2016 - 2017,,,2.13,2.0,4.0,2.0,,,,,,
,,2017 - 2018,,,2.46,,,,,,,,,
