state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,,2017 - 2018,20.0,38.0,1.9,,,,,,,,,
,,2018 - 2019,20.0,28.0,1.4,,,,,,,,,
,,2019 - 2020,9.0,13.0,1.44,,,,,,,,,
,,2020 - 2021,30.0,17.0,0.57,,,,,,,,,
,,2021 - 2022,17.0,25.0,1.47,,,,,,,,,
,,2022 - 2023,24.0,27.0,1.13,,,,,,,,,
Bihar,Begusarai,2019 - 2020,,,0.76,,,,,,,,,
,,2020 - 2021,,,0.46,,,,,,,,,
,,2021 - 2022,,,0.76,,,,,,,,,
,,2022 - 2023,,,0.91,,,,,,,,,
,Khagaria,2019 - 2020,,941.0,0.59,,,,,,,,,
,,2020 - 2021,,877.0,0.56,,,,,,,,,
,,2021 - 2022,768.0,180.0,0.23,,,,,,,,,
,,2022 - 2023,399.0,420.0,1.05,,,,,,,,,
,Lakhisarai,2019 - 2020,84.0,63.0,0.75,,,,,,,,,
,,2020 - 2021,75.0,35.0,0.47,,,,,,,,,
,,2021 - 2022,9.0,7.0,0.78,,,,,,,,,
,Samastipur,2019 - 2020,706.0,633.0,0.9,,,,,,,,,
,,2020 - 2021,159.0,73.0,0.46,,,,,,,,,
,,2021 - 2022,619.0,462.0,0.75,,,,,,,,,
,,2022 - 2023,581.0,,2.43,,,,,,,,,
Chhattisgarh,Balod,2011 - 2012,136.0,101.0,0.74,,,,,,,,,
,,2012 - 2013,121.0,137.0,1.13,,,,,,,,,
,,2013 - 2014,141.0,119.0,0.84,,,,,,,,,
,,2014 - 2015,127.0,74.0,0.58,,,,,,,,,
,,2015 - 2016,61.0,24.0,0.39,,,,,,,,,
,,2018 - 2019,5.0,,0.0,,,,,,,,,
,,2019 - 2020,13.0,11.0,0.85,,,,,,,,,
,,2020 - 2021,29.0,19.0,0.66,,,,,,,,,
,Baloda bazar,2011 - 2012,215.0,196.0,0.91,,,,,,,,,
,,2012 - 2013,258.0,499.0,1.93,,,,,,,,,
,,2013 - 2014,209.0,339.0,1.62,,,,,,,,,
,,2014 - 2015,262.0,293.0,1.12,,,,,,,,,
,,2015 - 2016,271.0,240.0,0.89,,,,,,,,,
,,2016 - 2017,256.0,256.0,1.0,,,,,,,,,
,,2017 - 2018,4.0,2.0,0.5,,,,,,,,,
,,2018 - 2019,312.0,258.0,0.83,,,,,,,,,
,,2019 - 2020,213.0,271.0,1.27,,,,,,,,,
,,2020 - 2021,216.0,177.0,0.82,,,,,,,,,
,,2021 - 2022,191.0,159.0,0.83,,,,,,,,,
,,2022 - 2023,173.0,206.0,1.19,,,,,,,,,
,Balrampur,2011 - 2012,56.0,40.0,0.71,,,,,,,,,
,,2012 - 2013,14.0,15.0,1.07,,,,,,,,,
,,2013 - 2014,30.0,22.0,0.73,,,,,,,,,
,,2014 - 2015,28.0,15.0,0.54,,,,,,,,,
,,2015 - 2016,100.0,37.0,0.37,,,,,,,,,
,,2016 - 2017,100.0,792.0,7.92,,,,,,,,,
,,2017 - 2018,26.0,8.0,0.31,,,,,,,,,
,,2018 - 2019,42.0,24.0,0.57,,,,,,,,,
,,2019 - 2020,44.0,40.0,0.91,,,,,,,,,
,,2020 - 2021,38.0,23.0,0.61,,,,,,,,,
,,2021 - 2022,33.0,17.0,0.52,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Bastar,2000 - 2001,64.0,49.0,0.77,,,,,,,,,
,,2001 - 2002,57.0,62.0,1.09,,,,,,,,,
,,2002 - 2003,70.0,56.0,0.8,,,,,,,,,
,,2003 - 2004,25.0,32.0,1.28,,,,,,,,,
,,2004 - 2005,25.0,34.0,1.36,,,,,,,,,
,,2005 - 2006,16.0,20.0,1.25,,,,,,,,,
,,2006 - 2007,17.0,29.0,1.71,,,,,,,,,
,,2007 - 2008,28.0,44.0,1.57,,,,,,,,,
,,2008 - 2009,22.0,29.0,1.32,,,,,,,,,
,,2009 - 2010,11.0,12.0,1.09,,,,,,,,,
,,2010 - 2011,17.0,25.0,1.47,,,,,,,,,
,,2011 - 2012,15.0,15.0,1.0,,,,,,,,,
,,2012 - 2013,17.0,30.0,1.76,,,,,,,,,
,,2014 - 2015,16.0,17.0,1.06,,,,,,,,,
,,2018 - 2019,10.0,12.0,1.2,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,3.0,4.0,1.33,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Bemetara,2011 - 2012,,,0.73,,,,,,,,,
,,2012 - 2013,,,1.02,,,,,,,,,
,,2013 - 2014,,,0.78,,,,,,,,,
,,2014 - 2015,,,0.55,,,,,,,,,
,,2015 - 2016,,,0.0,,,,,,,,,
,,2016 - 2017,,,0.62,,,,,,,,,
,,2017 - 2018,,,0.22,,,,,,,,,
,,2018 - 2019,,,0.5,,,,,,,,,
,,2019 - 2020,,,0.87,,,,,,,,,
,,2020 - 2021,,,0.61,,,,,,,,,
,,2021 - 2022,,,0.6,,,,,,,,,
,,2022 - 2023,,,0.8,,,,,,,,,
,Bijapur,2014 - 2015,1.0,1.0,1.0,,,,,,,,,
,Bilaspur,2000 - 2001,591.0,313.0,0.53,,,,,,,,,
,,2001 - 2002,554.0,503.0,0.91,,,,,,,,,
,,2002 - 2003,355.0,218.0,0.61,,,,,,,,,
,,2003 - 2004,525.0,525.0,1.0,,,,,,,,,
,,2004 - 2005,851.0,897.0,1.05,,,,,,,,,
,,2005 - 2006,,,1.05,,,,,,,,,
,,2006 - 2007,,,1.28,,,,,,,,,
,,2007 - 2008,,,1.42,,,,,,,,,
,,2008 - 2009,,,1.31,,,,,,,,,
,,2009 - 2010,,,1.12,,,,,,,,,
,,2010 - 2011,,,1.38,,,,,,,,,
,,2011 - 2012,215.0,211.0,0.98,,,,,,,,,
