state,district,year,sugarcane_whole_year_area_hectare,sugarcane_whole_year_production_tonne,sugarcane_whole_year_yield_tonne_per_hectare,sugarcane_autumn_area_hectare,sugarcane_autumn_production_tonne,sugarcane_autumn_yield_tonne_per_hectare,sugarcane_kharif_area_hectare,sugarcane_kharif_production_tonne,sugarcane_kharif_yield_tonne_per_hectare,sugarcane_winter_area_hectare,sugarcane_winter_production_tonne,sugarcane_winter_yield_tonne_per_hectare,sugarcane_rabi_area_hectare,sugarcane_rabi_production_tonne,sugarcane_rabi_yield_tonne_per_hectare,sugarcane_summer_area_hectare,sugarcane_summer_production_tonne,sugarcane_summer_yield_tonne_per_hectare
,,2020 - 2021,597.0,,14.77,,,,,,,,,,,,,,,
,,2021 - 2022,597.0,,14.77,,,,,,,,,,,,,,,
,,2022 - 2023,599.0,,14.77,,,,,,,,,,,,,,,
,Dibang valley,2000 - 2001,100.0,,20.0,,,,,,,,,,,,,,,
,,2001 - 2002,80.0,,21.0,,,,,,,,,,,,,,,
,,2012 - 2013,25.0,163.0,6.52,,,,,,,,,,,,,,,
,East kameng,2008 - 2009,25.0,187.0,7.48,,,,,,,,,,,,,,,
,East siang,2000 - 2001,150.0,,40.67,,,,,,,,,,,,,,,
,,2001 - 2002,160.0,,40.0,,,,,,,,,,,,,,,
,,2002 - 2003,160.0,,40.63,,,,,,,,,,,,,,,
,,2003 - 2004,160.0,,39.59,,,,,,,,,,,,,,,
,,2004 - 2005,15.0,150.0,10.0,,,,,,,,,,,,,,,
,,2005 - 2006,160.0,,40.63,,,,,,,,,,,,,,,
,,2006 - 2007,160.0,,40.63,,,,,,,,,,,,,,,
,,2007 - 2008,179.0,,40.67,,,,,,,,,,,,,,,
,,2008 - 2009,195.0,,33.94,,,,,,,,,,,,,,,
,,2009 - 2010,240.0,,39.25,,,,,,,,,,,,,,,
,,2010 - 2011,242.0,,39.31,,,,,,,,,,,,,,,
,,2011 - 2012,241.0,,40.17,,,,,,,,,,,,,,,
,,2012 - 2013,95.0,950.0,10.0,,,,,,,,,,,,,,,
,,2013 - 2014,281.0,,36.5,,,,,,,,,,,,,,,
,,2014 - 2015,306.0,,35.21,,,,,,,,,,,,,,,
,,2015 - 2016,214.0,,46.73,,,,,,,,,,,,,,,
,,2016 - 2017,231.0,,44.55,,,,,,,,,,,,,,,
,,2017 - 2018,266.0,,38.68,,,,,,,,,,,,,,,
,,2018 - 2019,181.0,,38.89,,,,,,,,,,,,,,,
,,2019 - 2020,182.0,,38.79,,,,,,,,,,,,,,,
,,2020 - 2021,184.0,,38.42,,,,,,,,,,,,,,,
,,2021 - 2022,184.0,,38.42,,,,,,,,,,,,,,,
,,2022 - 2023,185.0,,38.43,,,,,,,,,,,,,,,
,Kamle,2018 - 2019,52.0,,29.69,,,,,,,,,,,,,,,
,,2019 - 2020,53.0,,29.53,,,,,,,,,,,,,,,
,,2020 - 2021,53.0,,29.72,,,,,,,,,,,,,,,
,,2021 - 2022,53.0,,29.72,,,,,,,,,,,,,,,
,,2022 - 2023,53.0,,29.72,,,,,,,,,,,,,,,
,Kra daadi,2015 - 2016,100.0,976.0,9.76,,,,,,,,,,,,,,,
,,2016 - 2017,109.0,,11.52,,,,,,,,,,,,,,,
,,2017 - 2018,109.0,,12.05,,,,,,,,,,,,,,,
,,2018 - 2019,109.0,,12.5,,,,,,,,,,,,,,,
,,2019 - 2020,110.0,,12.58,,,,,,,,,,,,,,,
,,2020 - 2021,110.0,,12.67,,,,,,,,,,,,,,,
,,2021 - 2022,110.0,,12.67,,,,,,,,,,,,,,,
,,2022 - 2023,110.0,,12.68,,,,,,,,,,,,,,,
,Kurung kumey,2002 - 2003,25.0,330.0,13.2,,,,,,,,,,,,,,,
,,2003 - 2004,20.0,258.0,12.9,,,,,,,,,,,,,,,
,,2004 - 2005,82.0,,16.63,,,,,,,,,,,,,,,
,,2012 - 2013,98.0,,29.56,,,,,,,,,,,,,,,
,,2015 - 2016,60.0,542.0,9.03,,,,,,,,,,,,,,,
,,2016 - 2017,69.0,822.0,11.91,,,,,,,,,,,,,,,
,,2017 - 2018,69.0,879.0,12.74,,,,,,,,,,,,,,,
,,2018 - 2019,69.0,921.0,13.35,,,,,,,,,,,,,,,
,,2019 - 2020,70.0,942.0,13.46,,,,,,,,,,,,,,,
,,2020 - 2021,70.0,942.0,13.46,,,,,,,,,,,,,,,
,,2021 - 2022,70.0,942.0,13.46,,,,,,,,,,,,,,,
,,2022 - 2023,70.0,942.0,13.46,,,,,,,,,,,,,,,
,Leparada,2019 - 2020,31.0,873.0,28.16,,,,,,,,,,,,,,,
,,2020 - 2021,31.0,873.0,28.16,,,,,,,,,,,,,,,
,,2021 - 2022,31.0,873.0,28.16,,,,,,,,,,,,,,,
,,2022 - 2023,31.0,873.0,28.16,,,,,,,,,,,,,,,
,Lohit,2000 - 2001,16.0,110.0,6.88,,,,,,,,,,,,,,,
,,2001 - 2002,16.0,160.0,10.0,,,,,,,,,,,,,,,
,,2002 - 2003,16.0,160.0,10.0,,,,,,,,,,,,,,,
,,2003 - 2004,15.0,150.0,10.0,,,,,,,,,,,,,,,
,,2004 - 2005,10.0,200.0,20.0,,,,,,,,,,,,,,,
,,2005 - 2006,16.0,176.0,11.0,,,,,,,,,,,,,,,
,,2006 - 2007,20.0,133.0,6.65,,,,,,,,,,,,,,,
,,2007 - 2008,20.0,130.0,6.5,,,,,,,,,,,,,,,
,,2008 - 2009,21.0,134.0,6.38,,,,,,,,,,,,,,,
,,2009 - 2010,30.0,190.0,6.33,,,,,,,,,,,,,,,
,,2010 - 2011,31.0,202.0,6.52,,,,,,,,,,,,,,,
,,2011 - 2012,31.0,209.0,6.74,,,,,,,,,,,,,,,
,,2013 - 2014,27.0,178.0,6.59,,,,,,,,,,,,,,,
,,2014 - 2015,52.0,695.0,13.37,,,,,,,,,,,,,,,
,,2015 - 2016,21.0,450.0,21.43,,,,,,,,,,,,,,,
,,2016 - 2017,30.0,730.0,24.33,,,,,,,,,,,,,,,
,,2017 - 2018,30.0,730.0,24.33,,,,,,,,,,,,,,,
,,2018 - 2019,30.0,772.0,25.73,,,,,,,,,,,,,,,
,,2019 - 2020,31.0,793.0,25.58,,,,,,,,,,,,,,,
,,2020 - 2021,31.0,793.0,25.58,,,,,,,,,,,,,,,
,,2021 - 2022,31.0,793.0,25.58,,,,,,,,,,,,,,,
,,2022 - 2023,32.0,819.0,25.59,,,,,,,,,,,,,,,
,Lower dibang valley,2002 - 2003,92.0,,20.43,,,,,,,,,,,,,,,
,,2003 - 2004,95.0,,20.0,,,,,,,,,,,,,,,
,,2004 - 2005,150.0,,6.67,,,,,,,,,,,,,,,
,,2005 - 2006,12.0,240.0,20.0,,,,,,,,,,,,,,,
,,2006 - 2007,80.0,800.0,10.0,,,,,,,,,,,,,,,
,,2007 - 2008,85.0,850.0,10.0,,,,,,,,,,,,,,,
,,2008 - 2009,85.0,850.0,10.0,,,,,,,,,,,,,,,
,,2009 - 2010,86.0,860.0,10.0,,,,,,,,,,,,,,,
,,2010 - 2011,101.0,,10.0,,,,,,,,,,,,,,,
,,2011 - 2012,100.0,,10.3,,,,,,,,,,,,,,,
,,2013 - 2014,100.0,700.0,7.0,,,,,,,,,,,,,,,
,,2014 - 2015,125.0,,9.74,,,,,,,,,,,,,,,
,,2015 - 2016,125.0,,17.18,,,,,,,,,,,,,,,
,,2016 - 2017,134.0,,18.11,,,,,,,,,,,,,,,
,,2017 - 2018,134.0,,18.91,,,,,,,,,,,,,,,
,,2018 - 2019,134.0,,19.22,,,,,,,,,,,,,,,
,,2019 - 2020,135.0,,19.24,,,,,,,,,,,,,,,
,,2020 - 2021,135.0,,19.31,,,,,,,,,,,,,,,
,,2021 - 2022,135.0,,19.31,,,,,,,,,,,,,,,
,,2022 - 2023,137.0,,19.31,,,,,,,,,,,,,,,
,Lower siang,2018 - 2019,144.0,,36.39,,,,,,,,,,,,,,,
,,2019 - 2020,130.0,,36.42,,,,,,,,,,,,,,,
,,2020 - 2021,130.0,,36.5,,,,,,,,,,,,,,,
,,2021 - 2022,130.0,,36.5,,,,,,,,,,,,,,,
,,2022 - 2023,131.0,,36.5,,,,,,,,,,,,,,,
,Lower subansiri,2000 - 2001,100.0,,10.0,,,,,,,,,,,,,,,
,,2001 - 2002,10.0,100.0,10.0,,,,,,,,,,,,,,,
,,2002 - 2003,68.0,910.0,13.38,,,,,,,,,,,,,,,
,,2003 - 2004,75.0,,13.49,,,,,,,,,,,,,,,
,,2004 - 2005,21.0,149.0,7.1,,,,,,,,,,,,,,,
,,2005 - 2006,92.0,,14.52,,,,,,,,,,,,,,,
,,2006 - 2007,94.0,,14.5,,,,,,,,,,,,,,,
,,2007 - 2008,100.0,,14.5,,,,,,,,,,,,,,,
,,2008 - 2009,105.0,,14.5,,,,,,,,,,,,,,,
,,2009 - 2010,109.0,,14.55,,,,,,,,,,,,,,,
,,2010 - 2011,90.0,,30.1,,,,,,,,,,,,,,,
,,2011 - 2012,90.0,,30.56,,,,,,,,,,,,,,,
,,2012 - 2013,90.0,,30.56,,,,,,,,,,,,,,,
,,2013 - 2014,90.0,,30.56,,,,,,,,,,,,,,,
,,2014 - 2015,115.0,,28.41,,,,,,,,,,,,,,,
,,2015 - 2016,115.0,,28.37,,,,,,,,,,,,,,,
,,2016 - 2017,124.0,,28.56,,,,,,,,,,,,,,,
,,2017 - 2018,124.0,,28.56,,,,,,,,,,,,,,,
,,2018 - 2019,83.0,,29.1,,,,,,,,,,,,,,,
,,2019 - 2020,84.0,,29.0,,,,,,,,,,,,,,,
,,2020 - 2021,84.0,,29.12,,,,,,,,,,,,,,,
,,2021 - 2022,84.0,,29.12,,,,,,,,,,,,,,,
,,2022 - 2023,84.0,,29.13,,,,,,,,,,,,,,,
,Namsai,2015 - 2016,31.0,700.0,22.58,,,,,,,,,,,,,,,
,,2016 - 2017,40.0,980.0,24.5,,,,,,,,,,,,,,,
,,2017 - 2018,40.0,980.0,24.5,,,,,,,,,,,,,,,
,,2018 - 2019,40.0,,25.55,,,,,,,,,,,,,,,
,,2019 - 2020,41.0,,25.44,,,,,,,,,,,,,,,
,,2020 - 2021,41.0,,25.68,,,,,,,,,,,,,,,
,,2021 - 2022,41.0,,25.68,,,,,,,,,,,,,,,
,,2022 - 2023,42.0,,25.69,,,,,,,,,,,,,,,
,Papum pare,2000 - 2001,115.0,,14.78,,,,,,,,,,,,,,,
,,2001 - 2002,120.0,,15.58,,,,,,,,,,,,,,,
,,2002 - 2003,130.0,,14.54,,,,,,,,,,,,,,,
,,2003 - 2004,118.0,,15.36,,,,,,,,,,,,,,,
,,2004 - 2005,160.0,,39.59,,,,,,,,,,,,,,,
,,2005 - 2006,200.0,,16.7,,,,,,,,,,,,,,,
,,2007 - 2008,175.0,,16.5,,,,,,,,,,,,,,,
,,2008 - 2009,176.0,,16.0,,,,,,,,,,,,,,,
,,2009 - 2010,180.0,,17.0,,,,,,,,,,,,,,,
,,2010 - 2011,182.0,,16.8,,,,,,,,,,,,,,,
,,2011 - 2012,190.0,,17.0,,,,,,,,,,,,,,,
,,2012 - 2013,197.0,,18.9,,,,,,,,,,,,,,,
,,2013 - 2014,200.0,,19.2,,,,,,,,,,,,,,,
,,2014 - 2015,229.0,,18.57,,,,,,,,,,,,,,,
,,2015 - 2016,229.0,,20.3,,,,,,,,,,,,,,,
,,2016 - 2017,238.0,,20.71,,,,,,,,,,,,,,,
,,2017 - 2018,238.0,,20.95,,,,,,,,,,,,,,,
,,2018 - 2019,238.0,,21.12,,,,,,,,,,,,,,,
,,2019 - 2020,239.0,,21.12,,,,,,,,,,,,,,,
,,2020 - 2021,239.0,,21.16,,,,,,,,,,,,,,,
,,2021 - 2022,239.0,,21.16,,,,,,,,,,,,,,,
,,2022 - 2023,241.0,,21.17,,,,,,,,,,,,,,,
,Shi yomi,2019 - 2020,14.0,312.0,22.29,,,,,,,,,,,,,,,
,,2020 - 2021,14.0,312.0,22.29,,,,,,,,,,,,,,,
,,2021 - 2022,14.0,312.0,22.29,,,,,,,,,,,,,,,
,,2022 - 2023,14.0,312.0,22.29,,,,,,,,,,,,,,,
,Siang,2015 - 2016,123.0,,16.38,,,,,,,,,,,,,,,
,,2016 - 2017,132.0,,17.39,,,,,,,,,,,,,,,
,,2017 - 2018,132.0,,17.84,,,,,,,,,,,,,,,
,,2018 - 2019,132.0,,18.16,,,,,,,,,,,,,,,
,,2019 - 2020,133.0,,18.18,,,,,,,,,,,,,,,
,,2020 - 2021,133.0,,18.26,,,,,,,,,,,,,,,
,,2021 - 2022,133.0,,18.26,,,,,,,,,,,,,,,
,,2022 - 2023,134.0,,18.26,,,,,,,,,,,,,,,
,Tirap,2000 - 2001,30.0,315.0,10.5,,,,,,,,,,,,,,,
,,2001 - 2002,245.0,,17.35,,,,,,,,,,,,,,,
,,2002 - 2003,32.0,402.0,12.56,,,,,,,,,,,,,,,
,,2004 - 2005,20.0,258.0,12.9,,,,,,,,,,,,,,,
,,2006 - 2007,43.0,,25.05,,,,,,,,,,,,,,,
,,2012 - 2013,560.0,,12.65,,,,,,,,,,,,,,,
,Upper siang,2005 - 2006,85.0,400.0,4.71,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,500.0,5.0,,,,,,,,,,,,,,,
,,2007 - 2008,110.0,550.0,5.0,,,,,,,,,,,,,,,
,,2008 - 2009,130.0,,8.0,,,,,,,,,,,,,,,
,,2009 - 2010,150.0,,8.5,,,,,,,,,,,,,,,
,,2010 - 2011,150.0,,8.5,,,,,,,,,,,,,,,
,,2011 - 2012,150.0,,8.7,,,,,,,,,,,,,,,
,,2012 - 2013,270.0,,37.54,,,,,,,,,,,,,,,
,,2013 - 2014,166.0,,9.63,,,,,,,,,,,,,,,
,,2014 - 2015,191.0,,11.08,,,,,,,,,,,,,,,
,,2015 - 2016,191.0,,16.53,,,,,,,,,,,,,,,
,,2016 - 2017,200.0,,17.19,,,,,,,,,,,,,,,
,,2017 - 2018,200.0,,17.72,,,,,,,,,,,,,,,
,,2018 - 2019,200.0,,17.93,,,,,,,,,,,,,,,
,,2019 - 2020,201.0,,17.95,,,,,,,,,,,,,,,
,,2020 - 2021,201.0,,18.0,,,,,,,,,,,,,,,
,,2021 - 2022,201.0,,18.0,,,,,,,,,,,,,,,
,,2022 - 2023,202.0,,18.0,,,,,,,,,,,,,,,
,Upper subansiri,2001 - 2002,100.0,,13.5,,,,,,,,,,,,,,,
,,2002 - 2003,15.0,143.0,9.53,,,,,,,,,,,,,,,
,,2003 - 2004,20.0,148.0,7.4,,,,,,,,,,,,,,,
,,2004 - 2005,92.0,,28.49,,,,,,,,,,,,,,,
,,2006 - 2007,43.0,,25.05,,,,,,,,,,,,,,,
,,2007 - 2008,40.0,,25.2,,,,,,,,,,,,,,,
,,2008 - 2009,52.0,,24.96,,,,,,,,,,,,,,,
,,2009 - 2010,35.0,879.0,25.11,,,,,,,,,,,,,,,
,,2010 - 2011,21.0,681.0,32.43,,,,,,,,,,,,,,,
,,2011 - 2012,32.0,795.0,24.84,,,,,,,,,,,,,,,
,,2012 - 2013,35.0,928.0,26.51,,,,,,,,,,,,,,,
,,2013 - 2014,38.0,,27.16,,,,,,,,,,,,,,,
,,2014 - 2015,63.0,,24.59,,,,,,,,,,,,,,,
,,2015 - 2016,63.0,,28.57,,,,,,,,,,,,,,,
,,2016 - 2017,72.0,,28.89,,,,,,,,,,,,,,,
,,2017 - 2018,72.0,,28.89,,,,,,,,,,,,,,,
,,2018 - 2019,61.0,,29.33,,,,,,,,,,,,,,,
,,2019 - 2020,62.0,,29.19,,,,,,,,,,,,,,,
,,2020 - 2021,62.0,,29.35,,,,,,,,,,,,,,,
,,2021 - 2022,62.0,,29.35,,,,,,,,,,,,,,,
,,2022 - 2023,62.0,,29.35,,,,,,,,,,,,,,,
,West siang,2000 - 2001,85.0,,29.24,,,,,,,,,,,,,,,
,,2001 - 2002,85.0,,29.47,,,,,,,,,,,,,,,
,,2002 - 2003,90.0,,28.43,,,,,,,,,,,,,,,
,,2003 - 2004,90.0,,28.43,,,,,,,,,,,,,,,
,,2004 - 2005,81.0,405.0,5.0,,,,,,,,,,,,,,,
,,2005 - 2006,92.0,,28.49,,,,,,,,,,,,,,,
,,2006 - 2007,91.0,,28.65,,,,,,,,,,,,,,,
,,2007 - 2008,92.0,,28.95,,,,,,,,,,,,,,,
,,2008 - 2009,94.0,,28.97,,,,,,,,,,,,,,,
,,2009 - 2010,95.0,,28.99,,,,,,,,,,,,,,,
,,2010 - 2011,96.0,,29.01,,,,,,,,,,,,,,,
,,2011 - 2012,96.0,,29.22,,,,,,,,,,,,,,,
,,2012 - 2013,160.0,,9.5,,,,,,,,,,,,,,,
,,2013 - 2014,98.0,,29.57,,,,,,,,,,,,,,,
,,2014 - 2015,123.0,,27.76,,,,,,,,,,,,,,,
,,2015 - 2016,92.0,,32.05,,,,,,,,,,,,,,,
,,2016 - 2017,101.0,,31.97,,,,,,,,,,,,,,,
,,2017 - 2018,101.0,,31.97,,,,,,,,,,,,,,,
,,2018 - 2019,62.0,,22.03,,,,,,,,,,,,,,,
,,2019 - 2020,33.0,728.0,22.06,,,,,,,,,,,,,,,
,,2020 - 2021,33.0,738.0,22.36,,,,,,,,,,,,,,,
,,2021 - 2022,33.0,738.0,22.36,,,,,,,,,,,,,,,
,,2022 - 2023,33.0,738.0,22.36,,,,,,,,,,,,,,,
Assam,Baksa,2005 - 2006,219.0,,37.03,,,,,,,,,,,,,,,
,,2006 - 2007,340.0,,39.64,,,,,,,,,,,,,,,
,,2007 - 2008,273.0,,38.07,,,,,,,,,,,,,,,
,,2008 - 2009,491.0,,38.39,,,,,,,,,,,,,,,
,,2009 - 2010,550.0,,39.11,,,,,,,,,,,,,,,
,,2010 - 2011,349.0,,23.5,,,,,,,,,,,,,,,
,,2011 - 2012,325.0,,29.65,,,,,,,,,,,,,,,
,,2012 - 2013,305.0,,20.98,,,,,,,,,,,,,,,
,,2013 - 2014,325.0,,18.79,,,,,,,,,,,,,,,
,,2014 - 2015,370.0,,24.41,,,,,,,,,,,,,,,
,,2015 - 2016,370.0,,29.51,,,,,,,,,,,,,,,
,,2016 - 2017,335.0,,29.77,,,,,,,,,,,,,,,
,,2017 - 2018,357.0,,28.9,,,,,,,,,,,,,,,
,,2018 - 2019,360.0,,21.68,,,,,,,,,,,,,,,
,,2019 - 2020,340.0,,25.24,,,,,,,,,,,,,,,
,,2020 - 2021,360.0,,21.3,,,,,,,,,,,,,,,
,,2021 - 2022,370.0,,20.89,,,,,,,,,,,,,,,
,,2022 - 2023,358.0,,36.76,,,,,,,,,,,,,,,
,Barpeta,2000 - 2001,165.0,,36.9,,,,,,,,,,,,,,,
,,2001 - 2002,226.0,,37.23,,,,,,,,,,,,,,,
,,2002 - 2003,205.0,,36.42,,,,,,,,,,,,,,,
,,2003 - 2004,208.0,,38.59,,,,,,,,,,,,,,,
,,2004 - 2005,218.0,,36.92,,,,,,,,,,,,,,,
,,2005 - 2006,315.0,,37.19,,,,,,,,,,,,,,,
,,2006 - 2007,324.0,,39.64,,,,,,,,,,,,,,,
,,2007 - 2008,337.0,,38.08,,,,,,,,,,,,,,,
,,2008 - 2009,280.0,,38.39,,,,,,,,,,,,,,,
,,2009 - 2010,325.0,,39.11,,,,,,,,,,,,,,,
,,2010 - 2011,356.0,,36.19,,,,,,,,,,,,,,,
,,2011 - 2012,380.0,,37.06,,,,,,,,,,,,,,,
,,2012 - 2013,342.0,,35.61,,,,,,,,,,,,,,,
,,2013 - 2014,364.0,,36.97,,,,,,,,,,,,,,,
,,2014 - 2015,394.0,,36.76,,,,,,,,,,,,,,,
,,2015 - 2016,356.0,,35.24,,,,,,,,,,,,,,,
,,2016 - 2017,387.0,,38.47,,,,,,,,,,,,,,,
,,2017 - 2018,381.0,,37.4,,,,,,,,,,,,,,,
,,2018 - 2019,382.0,,35.06,,,,,,,,,,,,,,,
,,2019 - 2020,369.0,,41.01,,,,,,,,,,,,,,,
,,2020 - 2021,354.0,,35.85,,,,,,,,,,,,,,,
,,2021 - 2022,356.0,,38.97,,,,,,,,,,,,,,,
,,2022 - 2023,367.0,,44.56,,,,,,,,,,,,,,,
,Biswanath,2020 - 2021,,,33.74,,,,,,,,,,,,,,,
,,2021 - 2022,,,32.96,,,,,,,,,,,,,,,
,,2022 - 2023,636.0,,33.66,,,,,,,,,,,,,,,
,Bongaigaon,2000 - 2001,206.0,,36.9,,,,,,,,,,,,,,,
,,2001 - 2002,211.0,,37.23,,,,,,,,,,,,,,,
,,2002 - 2003,141.0,,36.42,,,,,,,,,,,,,,,
,,2003 - 2004,210.0,,38.59,,,,,,,,,,,,,,,
,,2004 - 2005,205.0,,36.92,,,,,,,,,,,,,,,
,,2005 - 2006,124.0,,37.19,,,,,,,,,,,,,,,
,,2006 - 2007,153.0,,39.63,,,,,,,,,,,,,,,
,,2007 - 2008,193.0,,38.08,,,,,,,,,,,,,,,
,,2008 - 2009,174.0,,38.39,,,,,,,,,,,,,,,
,,2009 - 2010,191.0,,39.11,,,,,,,,,,,,,,,
,,2010 - 2011,192.0,,36.19,,,,,,,,,,,,,,,
,,2011 - 2012,183.0,,37.05,,,,,,,,,,,,,,,
,,2012 - 2013,208.0,,35.61,,,,,,,,,,,,,,,
,,2013 - 2014,191.0,,36.97,,,,,,,,,,,,,,,
,,2014 - 2015,194.0,,36.76,,,,,,,,,,,,,,,
,,2015 - 2016,209.0,,35.24,,,,,,,,,,,,,,,
,,2016 - 2017,218.0,,38.47,,,,,,,,,,,,,,,
,,2017 - 2018,206.0,,37.4,,,,,,,,,,,,,,,
,,2018 - 2019,213.0,,35.06,,,,,,,,,,,,,,,
,,2019 - 2020,208.0,,41.01,,,,,,,,,,,,,,,
,,2020 - 2021,203.0,,35.85,,,,,,,,,,,,,,,
,,2021 - 2022,216.0,,38.97,,,,,,,,,,,,,,,
,,2022 - 2023,223.0,,44.57,,,,,,,,,,,,,,,
,Cachar,2000 - 2001,325.0,,15.6,,,,,,,,,,,,,,,
,,2001 - 2002,325.0,,36.95,,,,,,,,,,,,,,,
,,2002 - 2003,300.0,,43.8,,,,,,,,,,,,,,,
,,2003 - 2004,300.0,,40.47,,,,,,,,,,,,,,,
,,2004 - 2005,285.0,,36.92,,,,,,,,,,,,,,,
,,2005 - 2006,275.0,,37.91,,,,,,,,,,,,,,,
,,2006 - 2007,276.0,,43.06,,,,,,,,,,,,,,,
,,2007 - 2008,166.0,,43.14,,,,,,,,,,,,,,,
,,2008 - 2009,156.0,,42.74,,,,,,,,,,,,,,,
,,2009 - 2010,218.0,,43.12,,,,,,,,,,,,,,,
,,2010 - 2011,140.0,,41.16,,,,,,,,,,,,,,,
,,2011 - 2012,115.0,,37.05,,,,,,,,,,,,,,,
,,2012 - 2013,119.0,,35.61,,,,,,,,,,,,,,,
,,2013 - 2014,126.0,,33.83,,,,,,,,,,,,,,,
,,2014 - 2015,144.0,,35.42,,,,,,,,,,,,,,,
,,2015 - 2016,181.0,,31.87,,,,,,,,,,,,,,,
,,2016 - 2017,174.0,,32.64,,,,,,,,,,,,,,,
,,2017 - 2018,158.0,,30.8,,,,,,,,,,,,,,,
,,2018 - 2019,143.0,,29.08,,,,,,,,,,,,,,,
,,2019 - 2020,136.0,,41.01,,,,,,,,,,,,,,,
,,2020 - 2021,133.0,,30.9,,,,,,,,,,,,,,,
,,2021 - 2022,125.0,,38.78,,,,,,,,,,,,,,,
,,2022 - 2023,121.0,,44.56,,,,,,,,,,,,,,,
,Charaideo,2020 - 2021,25.0,896.0,35.84,,,,,,,,,,,,,,,
,,2021 - 2022,25.0,974.0,38.96,,,,,,,,,,,,,,,
,,2022 - 2023,28.0,,44.57,,,,,,,,,,,,,,,
,Chirang,2005 - 2006,95.0,,37.19,,,,,,,,,,,,,,,
,,2006 - 2007,74.0,,39.64,,,,,,,,,,,,,,,
,,2007 - 2008,52.0,,38.08,,,,,,,,,,,,,,,
,,2008 - 2009,61.0,,38.39,,,,,,,,,,,,,,,
,,2009 - 2010,62.0,,39.11,,,,,,,,,,,,,,,
,,2010 - 2011,92.0,,36.2,,,,,,,,,,,,,,,
,,2011 - 2012,96.0,,37.05,,,,,,,,,,,,,,,
,,2012 - 2013,193.0,,35.61,,,,,,,,,,,,,,,
,,2013 - 2014,209.0,,36.97,,,,,,,,,,,,,,,
,,2014 - 2015,147.0,,36.76,,,,,,,,,,,,,,,
,,2015 - 2016,255.0,,35.25,,,,,,,,,,,,,,,
,,2016 - 2017,178.0,,38.47,,,,,,,,,,,,,,,
,,2017 - 2018,103.0,,37.4,,,,,,,,,,,,,,,
,,2018 - 2019,178.0,,35.06,,,,,,,,,,,,,,,
,,2019 - 2020,138.0,,41.01,,,,,,,,,,,,,,,
,,2020 - 2021,90.0,,35.84,,,,,,,,,,,,,,,
,,2021 - 2022,80.0,,38.96,,,,,,,,,,,,,,,
,,2022 - 2023,39.0,,44.56,,,,,,,,,,,,,,,
,Darrang,2000 - 2001,,,30.11,,,,,,,,,,,,,,,
,,2001 - 2002,,,31.62,,,,,,,,,,,,,,,
,,2002 - 2003,,,34.37,,,,,,,,,,,,,,,
,,2003 - 2004,990.0,,40.69,,,,,,,,,,,,,,,
,,2004 - 2005,,,34.61,,,,,,,,,,,,,,,
,,2005 - 2006,469.0,,28.24,,,,,,,,,,,,,,,
,,2006 - 2007,240.0,,31.64,,,,,,,,,,,,,,,
,,2007 - 2008,337.0,,34.7,,,,,,,,,,,,,,,
,,2008 - 2009,477.0,,38.66,,,,,,,,,,,,,,,
,,2009 - 2010,563.0,,39.53,,,,,,,,,,,,,,,
,,2010 - 2011,609.0,,38.43,,,,,,,,,,,,,,,
,,2011 - 2012,471.0,,42.04,,,,,,,,,,,,,,,
,,2012 - 2013,495.0,,40.48,,,,,,,,,,,,,,,
,,2013 - 2014,527.0,,41.77,,,,,,,,,,,,,,,
,,2014 - 2015,516.0,,43.47,,,,,,,,,,,,,,,
,,2015 - 2016,543.0,,40.13,,,,,,,,,,,,,,,
,,2016 - 2017,527.0,,45.92,,,,,,,,,,,,,,,
,,2017 - 2018,529.0,,39.91,,,,,,,,,,,,,,,
,,2018 - 2019,505.0,,40.1,,,,,,,,,,,,,,,
,,2019 - 2020,344.0,,41.1,,,,,,,,,,,,,,,
,,2020 - 2021,487.0,,43.3,,,,,,,,,,,,,,,
,,2021 - 2022,497.0,,39.93,,,,,,,,,,,,,,,
,,2022 - 2023,495.0,,39.74,,,,,,,,,,,,,,,
,Dhemaji,2000 - 2001,95.0,,36.89,,,,,,,,,,,,,,,
,,2001 - 2002,82.0,,37.23,,,,,,,,,,,,,,,
,,2002 - 2003,90.0,,36.42,,,,,,,,,,,,,,,
,,2003 - 2004,87.0,,38.59,,,,,,,,,,,,,,,
,,2004 - 2005,35.0,,36.94,,,,,,,,,,,,,,,
,,2005 - 2006,93.0,,37.19,,,,,,,,,,,,,,,
,,2006 - 2007,102.0,,39.63,,,,,,,,,,,,,,,
,,2007 - 2008,102.0,,38.08,,,,,,,,,,,,,,,
,,2008 - 2009,90.0,,38.39,,,,,,,,,,,,,,,
,,2009 - 2010,90.0,,39.11,,,,,,,,,,,,,,,
,,2010 - 2011,99.0,,36.2,,,,,,,,,,,,,,,
,,2011 - 2012,101.0,,37.06,,,,,,,,,,,,,,,
,,2012 - 2013,103.0,,35.61,,,,,,,,,,,,,,,
,,2013 - 2014,113.0,,36.97,,,,,,,,,,,,,,,
,,2014 - 2015,171.0,,36.76,,,,,,,,,,,,,,,
,,2015 - 2016,340.0,,35.25,,,,,,,,,,,,,,,
,,2016 - 2017,330.0,,38.47,,,,,,,,,,,,,,,
,,2017 - 2018,174.0,,37.4,,,,,,,,,,,,,,,
