state,district,year,sugarcane_whole_year_area_hectare,sugarcane_whole_year_production_tonne,sugarcane_whole_year_yield_tonne_per_hectare,sugarcane_autumn_area_hectare,sugarcane_autumn_production_tonne,sugarcane_autumn_yield_tonne_per_hectare,sugarcane_kharif_area_hectare,sugarcane_kharif_production_tonne,sugarcane_kharif_yield_tonne_per_hectare,sugarcane_winter_area_hectare,sugarcane_winter_production_tonne,sugarcane_winter_yield_tonne_per_hectare,sugarcane_rabi_area_hectare,sugarcane_rabi_production_tonne,sugarcane_rabi_yield_tonne_per_hectare,sugarcane_summer_area_hectare,sugarcane_summer_production_tonne,sugarcane_summer_yield_tonne_per_hectare
,,2003 - 2004,,,96.1,,,,,,,,,,,,,,,
,,2004 - 2005,,,94.53,,,,,,,,,,,,,,,
,,2005 - 2006,,,93.97,,,,,,,,,,,,,,,
,,2006 - 2007,,,114.44,,,,,,,,,,,,,,,
,,2007 - 2008,,,94.6,,,,,,,,,,,,,,,
,,2008 - 2009,,,87.81,,,,,,,,,,,,,,,
,,2009 - 2010,,,100.77,,,,,,,,,,,,,,,
,,2010 - 2011,,,91.87,,,,,,,,,,,,,,,
,,2011 - 2012,,,107.76,,,,,,,,,,,,,,,
,,2012 - 2013,,,97.3,,,,,,,,,,,,,,,
,,2013 - 2014,,,104.37,,,,,,,,,,,,,,,
,,2014 - 2015,,,98.43,,,,,,,,,,,,,,,
,,2015 - 2016,,,103.29,,,,,,,,,,,,,,,
,,2016 - 2017,,,96.64,,,,,,,,,,,,,,,
,,2017 - 2018,962.0,,103.0,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,738.0,,84.92,,,,,,,,,
,,2019 - 2020,,,,,,,350.0,,84.55,,,,,,,,,
,,2020 - 2021,,,,,,,22.0,682.0,31.0,,,,,,,,,
,,2021 - 2022,,,,,,,7.0,553.0,79.0,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,,,,,21.0,,92.67,,,,,,,,,
,Srikakulam,2000 - 2001,,,75.8,,,,,,,,,,,,,,,
,,2001 - 2002,,,81.44,,,,,,,,,,,,,,,
,,2002 - 2003,,,65.79,,,,,,,,,,,,,,,
,,2003 - 2004,,,71.29,,,,,,,,,,,,,,,
,,2004 - 2005,,,76.13,,,,,,,,,,,,,,,
,,2005 - 2006,,,72.87,,,,,,,,,,,,,,,
,,2006 - 2007,,,76.09,,,,,,,,,,,,,,,
,,2007 - 2008,,,70.73,,,,,,,,,,,,,,,
,,2008 - 2009,,,76.77,,,,,,,,,,,,,,,
,,2009 - 2010,,,71.41,,,,,,,,,,,,,,,
,,2010 - 2011,,,56.96,,,,,,,,,,,,,,,
,,2011 - 2012,,,69.82,,,,,,,,,,,,,,,
,,2012 - 2013,,,70.29,,,,,,,,,,,,,,,
,,2013 - 2014,,,69.66,,,,,,,,,,,,,,,
,,2014 - 2015,,,68.31,,,,,,,,,,,,,,,
,,2015 - 2016,,,77.41,,,,,,,,,,,,,,,
,,2016 - 2017,,,78.75,,,,,,,,,,,,,,,
,,2017 - 2018,,,84.11,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,75.47,,,,,,,,,
,,2019 - 2020,,,,,,,,,76.0,,,,,,,,,
,,2020 - 2021,,,,,,,,,72.06,,,,,,,,,
,,2021 - 2022,,,,,,,,,70.0,,,,,,,,,
,,2022 - 2023,,,,,,,945.0,,90.22,,,,,,,,,
,Tirupati,2022 - 2023,,,,,,,,,90.48,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,60.77,,,,,,,,,,,,,,,
,,2001 - 2002,,,59.99,,,,,,,,,,,,,,,
,,2002 - 2003,,,36.04,,,,,,,,,,,,,,,
,,2003 - 2004,,,50.92,,,,,,,,,,,,,,,
,,2004 - 2005,,,51.04,,,,,,,,,,,,,,,
,,2005 - 2006,,,49.21,,,,,,,,,,,,,,,
,,2006 - 2007,,,58.5,,,,,,,,,,,,,,,
,,2007 - 2008,,,62.29,,,,,,,,,,,,,,,
,,2008 - 2009,,,56.45,,,,,,,,,,,,,,,
,,2009 - 2010,,,46.1,,,,,,,,,,,,,,,
,,2010 - 2011,,,57.23,,,,,,,,,,,,,,,
,,2011 - 2012,,,56.86,,,,,,,,,,,,,,,
,,2012 - 2013,,,54.53,,,,,,,,,,,,,,,
,,2013 - 2014,,,55.94,,,,,,,,,,,,,,,
,,2014 - 2015,,,48.33,,,,,,,,,,,,,,,
,,2015 - 2016,,,56.06,,,,,,,,,,,,,,,
,,2016 - 2017,,,58.96,,,,,,,,,,,,,,,
,,2017 - 2018,,,57.46,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,62.76,,,,,,,,,
,,2019 - 2020,,,,,,,,,63.1,,,,,,,,,
,,2020 - 2021,,,,,,,,,64.09,,,,,,,,,
,,2021 - 2022,,,,,,,,,60.94,,,,,,,,,
,,2022 - 2023,,,,,,,40.0,,67.75,,,,,,,,,
,Vizianagaram,2000 - 2001,,,73.65,,,,,,,,,,,,,,,
,,2001 - 2002,,,68.98,,,,,,,,,,,,,,,
,,2002 - 2003,,,43.25,,,,,,,,,,,,,,,
,,2003 - 2004,,,49.54,,,,,,,,,,,,,,,
,,2004 - 2005,,,62.02,,,,,,,,,,,,,,,
,,2005 - 2006,,,49.42,,,,,,,,,,,,,,,
,,2006 - 2007,,,55.18,,,,,,,,,,,,,,,
,,2007 - 2008,,,56.64,,,,,,,,,,,,,,,
,,2008 - 2009,,,52.64,,,,,,,,,,,,,,,
,,2009 - 2010,,,50.9,,,,,,,,,,,,,,,
,,2010 - 2011,,,63.95,,,,,,,,,,,,,,,
,,2011 - 2012,,,65.29,,,,,,,,,,,,,,,
,,2012 - 2013,,,62.31,,,,,,,,,,,,,,,
,,2013 - 2014,,,62.87,,,,,,,,,,,,,,,
,,2014 - 2015,,,60.52,,,,,,,,,,,,,,,
,,2015 - 2016,,,64.61,,,,,,,,,,,,,,,
,,2016 - 2017,,,66.81,,,,,,,,,,,,,,,
,,2017 - 2018,,,64.6,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,65.02,,,,,,,,,
,,2019 - 2020,,,,,,,,,63.32,,,,,,,,,
,,2020 - 2021,,,,,,,,,65.31,,,,,,,,,
,,2021 - 2022,,,,,,,,,77.85,,,,,,,,,
,,2022 - 2023,,,,,,,,,62.23,,,,,,,,,
,West godavari,2000 - 2001,,,72.45,,,,,,,,,,,,,,,
,,2001 - 2002,,,93.45,,,,,,,,,,,,,,,
,,2002 - 2003,,,83.33,,,,,,,,,,,,,,,
,,2003 - 2004,,,91.42,,,,,,,,,,,,,,,
,,2004 - 2005,,,90.09,,,,,,,,,,,,,,,
,,2005 - 2006,,,89.84,,,,,,,,,,,,,,,
,,2006 - 2007,,,91.56,,,,,,,,,,,,,,,
,,2007 - 2008,,,95.17,,,,,,,,,,,,,,,
,,2008 - 2009,,,101.42,,,,,,,,,,,,,,,
,,2009 - 2010,,,99.75,,,,,,,,,,,,,,,
,,2010 - 2011,,,95.88,,,,,,,,,,,,,,,
,,2011 - 2012,,,92.66,,,,,,,,,,,,,,,
,,2012 - 2013,,,90.63,,,,,,,,,,,,,,,
,,2013 - 2014,,,92.15,,,,,,,,,,,,,,,
,,2014 - 2015,,,90.74,,,,,,,,,,,,,,,
,,2015 - 2016,,,92.57,,,,,,,,,,,,,,,
,,2016 - 2017,,,88.52,,,,,,,,,,,,,,,
,,2017 - 2018,,,106.84,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,99.06,,,,,,,,,
,,2019 - 2020,,,,,,,,,98.23,,,,,,,,,
,,2020 - 2021,,,,,,,,,98.77,,,,,,,,,
,,2021 - 2022,,,,,,,,,98.43,,,,,,,,,
,,2022 - 2023,,,,,,,94.0,,71.02,,,,,,,,,
Arunachal Pradesh,Anjaw,2004 - 2005,5.0,50.0,10.0,,,,,,,,,,,,,,,
,,2005 - 2006,7.0,70.0,10.0,,,,,,,,,,,,,,,
,,2006 - 2007,7.0,7.0,1.0,,,,,,,,,,,,,,,
,,2007 - 2008,6.0,36.0,6.0,,,,,,,,,,,,,,,
,,2008 - 2009,7.0,38.0,5.43,,,,,,,,,,,,,,,
,,2009 - 2010,6.0,31.0,5.17,,,,,,,,,,,,,,,
,Changlang,2000 - 2001,215.0,648.0,3.01,,,,,,,,,,,,,,,
,,2001 - 2002,220.0,605.0,2.75,,,,,,,,,,,,,,,
,,2002 - 2003,170.0,510.0,3.0,,,,,,,,,,,,,,,
,,2003 - 2004,145.0,975.0,6.72,,,,,,,,,,,,,,,
,,2004 - 2005,100.0,,16.0,,,,,,,,,,,,,,,
,,2005 - 2006,214.0,,7.0,,,,,,,,,,,,,,,
,,2006 - 2007,392.0,,7.09,,,,,,,,,,,,,,,
,,2007 - 2008,426.0,,11.5,,,,,,,,,,,,,,,
,,2008 - 2009,480.0,,12.94,,,,,,,,,,,,,,,
,,2009 - 2010,545.0,,13.01,,,,,,,,,,,,,,,
,,2010 - 2011,595.0,,13.01,,,,,,,,,,,,,,,
,,2011 - 2012,620.0,,13.22,,,,,,,,,,,,,,,
,,2013 - 2014,561.0,,12.65,,,,,,,,,,,,,,,
,,2014 - 2015,586.0,,12.99,,,,,,,,,,,,,,,
,,2015 - 2016,586.0,,13.84,,,,,,,,,,,,,,,
,,2016 - 2017,595.0,,14.1,,,,,,,,,,,,,,,
,,2017 - 2018,595.0,,14.61,,,,,,,,,,,,,,,
,,2018 - 2019,595.0,,14.68,,,,,,,,,,,,,,,
,,2019 - 2020,597.0,,14.72,,,,,,,,,,,,,,,
