state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2018 - 2019,,,,597.0,,33.02,,,,,,,,,
,,2019 - 2020,,,,541.0,,28.92,,,,,,,,,
,,2020 - 2021,,,,768.0,,30.84,,,,,,,,,
,,2021 - 2022,,,,562.0,,27.6,,,,,,,,,
,,2022 - 2023,,,,562.0,,27.62,,,,,,,,,
,Ghazipur,2000 - 2001,,,,,,,,,22.78,,,,,,
,,2001 - 2002,,,,,,,,,17.86,,,,,,
,,2002 - 2003,,,,,,,,,24.2,,,,,,
,,2003 - 2004,,,,,,,,,22.37,,,,,,
,,2004 - 2005,,,,,,17.25,,,,,,,,,
,,2005 - 2006,,,,,,26.21,,,,,,,,,
,,2006 - 2007,,,,,,25.36,,,,,,,,,
,,2007 - 2008,,,,,,21.06,,,,,,,,,
,,2008 - 2009,,,,,,13.61,,,,,,,,,
,,2009 - 2010,,,,,,22.84,,,,,,,,,
,,2010 - 2011,,,,,,20.55,,,,,,,,,
,,2011 - 2012,,,,,,18.58,,,,,,,,,
,,2012 - 2013,,,,,,21.26,,,,,,,,,
,,2013 - 2014,,,,,,18.71,,,,,,,,,
,,2014 - 2015,,,,,,20.97,,,,,,,,,
,,2015 - 2016,,,,,,23.57,,,,,,,,,
,,2016 - 2017,,,,,,25.47,,,,,,,,,
,,2017 - 2018,,,,,,19.94,,,,,,,,,
,,2018 - 2019,,,,,,21.7,,,,,,,,,
,,2019 - 2020,,,,,,19.86,,,,,,,,,
,,2020 - 2021,,,,,,24.55,,,,,,,,,
,,2021 - 2022,,,,,,30.9,,,,,,,,,
,,2022 - 2023,,,,,,30.9,,,,,,,,,
,Gonda,2000 - 2001,,,,,,,,,19.6,,,,,,
,,2001 - 2002,,,,,,,,,24.66,,,,,,
,,2002 - 2003,,,,,,,,,23.2,,,,,,
,,2003 - 2004,,,,,,,,,18.89,,,,,,
,,2004 - 2005,,,,,,22.38,,,,,,,,,
,,2005 - 2006,,,,,,22.43,,,,,,,,,
,,2006 - 2007,,,,,,21.84,,,,,,,,,
,,2007 - 2008,,,,,,21.98,,,,,,,,,
,,2008 - 2009,,,,,,20.5,,,,,,,,,
,,2009 - 2010,,,,,,24.87,,,,,,,,,
,,2010 - 2011,,,,,,24.39,,,,,,,,,
,,2011 - 2012,,,,,,22.08,,,,,,,,,
,,2012 - 2013,,,,,,24.35,,,,,,,,,
,,2013 - 2014,,,,,,21.17,,,,,,,,,
,,2014 - 2015,,,,,,22.56,,,,,,,,,
,,2015 - 2016,,,,,,23.04,,,,,,,,,
,,2016 - 2017,,,,,,24.24,,,,,,,,,
,,2017 - 2018,,,,,,26.2,,,,,,,,,
,,2018 - 2019,,,,,,29.85,,,,,,,,,
,,2019 - 2020,,,,,,26.92,,,,,,,,,
,,2020 - 2021,,,,,,29.59,,,,,,,,,
,,2021 - 2022,,,,,,28.1,,,,,,,,,
,,2022 - 2023,,,,,,28.1,,,,,,,,,
,Gorakhpur,2000 - 2001,,,,,,,,,14.15,,,,,,
,,2001 - 2002,,,,,,,,,13.71,,,,,,
,,2002 - 2003,,,,,,,,,23.2,,,,,,
,,2003 - 2004,,,,,,,,,17.75,,,,,,
,,2004 - 2005,,,,,,16.55,,,,,,,,,
,,2005 - 2006,,,,,,22.43,,,,,,,,,
,,2006 - 2007,,,,,,18.43,,,,,,,,,
,,2007 - 2008,,,,,,21.98,,,,,,,,,
,,2008 - 2009,,,,,,11.19,,,,,,,,,
,,2009 - 2010,,,,,,24.87,,,,,,,,,
,,2010 - 2011,,,,,,17.9,,,,,,,,,
,,2011 - 2012,,,,,,15.54,,,,,,,,,
,,2012 - 2013,,,,,,13.45,,,,,,,,,
,,2013 - 2014,,,,,,18.69,,,,,,,,,
,,2014 - 2015,,,,,,14.05,,,,,,,,,
,,2015 - 2016,,,,,,28.67,,,,,,,,,
,,2016 - 2017,,,,,,17.3,,,,,,,,,
,,2017 - 2018,,,,,,24.27,,,,,,,,,
,,2018 - 2019,,,,,,28.25,,,,,,,,,
,,2019 - 2020,,,,,,25.36,,,,,,,,,
,,2020 - 2021,,,,,,23.2,,,,,,,,,
,,2021 - 2022,,,,,,30.7,,,,,,,,,
,,2022 - 2023,,,,,,30.7,,,,,,,,,
,Hamirpur,2000 - 2001,,,,,,,30.0,640.0,21.33,,,,,,
,,2001 - 2002,,,,,,,23.0,567.0,24.65,,,,,,
,,2002 - 2003,,,,,,,53.0,,23.19,,,,,,
,,2003 - 2004,,,,,,,29.0,606.0,20.9,,,,,,
,,2004 - 2005,,,,40.0,895.0,22.38,,,,,,,,,
,,2005 - 2006,,,,39.0,875.0,22.44,,,,,,,,,
,,2006 - 2007,,,,45.0,983.0,21.84,,,,,,,,,
,,2007 - 2008,,,,55.0,,21.98,,,,,,,,,
,,2008 - 2009,,,,42.0,861.0,20.5,,,,,,,,,
,,2009 - 2010,,,,83.0,,24.87,,,,,,,,,
,,2010 - 2011,,,,87.0,,24.4,,,,,,,,,
,,2011 - 2012,,,,62.0,,22.08,,,,,,,,,
,,2012 - 2013,,,,37.0,901.0,24.35,,,,,,,,,
,,2013 - 2014,,,,36.0,762.0,21.17,,,,,,,,,
,,2014 - 2015,,,,55.0,,22.56,,,,,,,,,
,,2015 - 2016,,,,105.0,,23.04,,,,,,,,,
,,2016 - 2017,,,,41.0,994.0,24.24,,,,,,,,,
,,2017 - 2018,,,,38.0,996.0,26.21,,,,,,,,,
,,2018 - 2019,,,,44.0,,29.84,,,,,,,,,
,,2019 - 2020,,,,81.0,,26.93,,,,,,,,,
,,2020 - 2021,,,,21.0,621.0,29.57,,,,,,,,,
,,2021 - 2022,,,,50.0,,26.0,,,,,,,,,
,,2022 - 2023,,,,56.0,,23.23,,,,,,,,,
,Hapur,2012 - 2013,,,,,,24.71,,,,,,,,,
,,2013 - 2014,,,,,,21.79,,,,,,,,,
,,2014 - 2015,,,,,,24.28,,,,,,,,,
,,2015 - 2016,,,,,,28.88,,,,,,,,,
,,2016 - 2017,,,,,,27.22,,,,,,,,,
,,2017 - 2018,,,,,,22.91,,,,,,,,,
,,2018 - 2019,,,,,,25.25,,,,,,,,,
,,2019 - 2020,,,,,,24.23,,,,,,,,,
,,2020 - 2021,,,,,,30.67,,,,,,,,,
,,2021 - 2022,,,,,,28.6,,,,,,,,,
,,2022 - 2023,,,,,,28.6,,,,,,,,,
,Hardoi,2000 - 2001,,,,,,,,,13.73,,,,,,
,,2001 - 2002,,,,,,,,,17.06,,,,,,
,,2002 - 2003,,,,,,,,,16.32,,,,,,
,,2003 - 2004,,,,,,,,,16.03,,,,,,
,,2004 - 2005,,,,,,20.2,,,,,,,,,
,,2005 - 2006,,,,,,16.31,,,,,,,,,
,,2006 - 2007,,,,,,15.82,,,,,,,,,
,,2007 - 2008,,,,,,18.75,,,,,,,,,
,,2008 - 2009,,,,,,15.6,,,,,,,,,
,,2009 - 2010,,,,,,26.95,,,,,,,,,
,,2010 - 2011,,,,,,17.16,,,,,,,,,
,,2011 - 2012,,,,,,17.9,,,,,,,,,
,,2012 - 2013,,,,,,17.31,,,,,,,,,
,,2013 - 2014,,,,,,18.22,,,,,,,,,
,,2014 - 2015,,,,,,19.25,,,,,,,,,
,,2015 - 2016,,,,,,17.2,,,,,,,,,
,,2016 - 2017,,,,,,16.64,,,,,,,,,
,,2017 - 2018,,,,,,18.44,,,,,,,,,
,,2018 - 2019,,,,,,23.56,,,,,,,,,
,,2019 - 2020,,,,,,18.94,,,,,,,,,
,,2020 - 2021,,,,,,25.24,,,,,,,,,
,,2021 - 2022,,,,,,34.2,,,,,,,,,
,,2022 - 2023,,,,,,34.2,,,,,,,,,
,Hathras,2000 - 2001,,,,,,,,,29.55,,,,,,
,,2001 - 2002,,,,,,,,,31.69,,,,,,
,,2002 - 2003,,,,,,,,,32.97,,,,,,
,,2003 - 2004,,,,,,,,,28.55,,,,,,
,,2004 - 2005,,,,,,32.95,,,,,,,,,
,,2005 - 2006,,,,,,28.61,,,,,,,,,
,,2006 - 2007,,,,,,29.48,,,,,,,,,
,,2007 - 2008,,,,,,26.97,,,,,,,,,
,,2008 - 2009,,,,,,21.06,,,,,,,,,
,,2009 - 2010,,,,,,28.72,,,,,,,,,
,,2010 - 2011,,,,,,29.86,,,,,,,,,
,,2011 - 2012,,,,,,22.32,,,,,,,,,
,,2012 - 2013,,,,,,32.57,,,,,,,,,
,,2013 - 2014,,,,,,26.75,,,,,,,,,
,,2014 - 2015,,,,,,23.3,,,,,,,,,
,,2015 - 2016,,,,,,25.49,,,,,,,,,
,,2016 - 2017,,,,,,25.21,,,,,,,,,
,,2017 - 2018,,,,,,26.5,,,,,,,,,
,,2018 - 2019,,,,,,30.28,,,,,,,,,
,,2019 - 2020,,,,,,28.26,,,,,,,,,
,,2020 - 2021,,,,,,33.33,,,,,,,,,
,,2021 - 2022,,,,,,37.5,,,,,,,,,
,,2022 - 2023,,,,,,37.5,,,,,,,,,
,Jalaun,2000 - 2001,,,,,,,179.0,,21.31,,,,,,
,,2001 - 2002,,,,,,,228.0,,24.66,,,,,,
,,2002 - 2003,,,,,,,316.0,,23.2,,,,,,
,,2003 - 2004,,,,,,,251.0,,20.92,,,,,,
,,2004 - 2005,,,,281.0,,14.29,,,,,,,,,
,,2005 - 2006,,,,176.0,,22.43,,,,,,,,,
,,2006 - 2007,,,,466.0,,21.84,,,,,,,,,
,,2007 - 2008,,,,391.0,,21.97,,,,,,,,,
,,2008 - 2009,,,,411.0,,20.5,,,,,,,,,
,,2009 - 2010,,,,510.0,,24.87,,,,,,,,,
,,2010 - 2011,,,,332.0,,24.39,,,,,,,,,
,,2011 - 2012,,,,597.0,,22.08,,,,,,,,,
,,2012 - 2013,,,,420.0,,24.35,,,,,,,,,
,,2013 - 2014,,,,617.0,,21.17,,,,,,,,,
,,2014 - 2015,,,,257.0,,22.56,,,,,,,,,
,,2015 - 2016,,,,655.0,,27.5,,,,,,,,,
,,2016 - 2017,,,,263.0,,24.24,,,,,,,,,
,,2017 - 2018,,,,448.0,,11.94,,,,,,,,,
,,2018 - 2019,,,,580.0,,29.85,,,,,,,,,
,,2019 - 2020,,,,605.0,,26.92,,,,,,,,,
,,2020 - 2021,,,,,,23.46,,,,,,,,,
,,2021 - 2022,,,,672.0,,28.1,,,,,,,,,
,,2022 - 2023,,,,672.0,,28.12,,,,,,,,,
,Jaunpur,2000 - 2001,,,,,,,,,21.43,,,,,,
,,2001 - 2002,,,,,,,,,21.82,,,,,,
,,2002 - 2003,,,,,,,,,16.79,,,,,,
,,2003 - 2004,,,,,,,,,16.6,,,,,,
,,2004 - 2005,,,,,,15.23,,,,,,,,,
,,2005 - 2006,,,,,,19.15,,,,,,,,,
,,2006 - 2007,,,,,,15.15,,,,,,,,,
,,2007 - 2008,,,,,,20.48,,,,,,,,,
,,2008 - 2009,,,,,,13.61,,,,,,,,,
,,2009 - 2010,,,,,,22.84,,,,,,,,,
,,2010 - 2011,,,,,,15.35,,,,,,,,,
,,2011 - 2012,,,,,,19.81,,,,,,,,,
,,2012 - 2013,,,,,,14.93,,,,,,,,,
,,2013 - 2014,,,,,,10.45,,,,,,,,,
,,2014 - 2015,,,,,,14.83,,,,,,,,,
,,2015 - 2016,,,,,,11.87,,,,,,,,,
,,2016 - 2017,,,,,,15.57,,,,,,,,,
,,2017 - 2018,,,,,,22.06,,,,,,,,,
,,2018 - 2019,,,,,,20.85,,,,,,,,,
,,2019 - 2020,,,,,,20.41,,,,,,,,,
,,2020 - 2021,,,,,,23.89,,,,,,,,,
,,2021 - 2022,,,,,,31.7,,,,,,,,,
,,2022 - 2023,,,,,,31.7,,,,,,,,,
,Jhansi,2000 - 2001,,,,,,,275.0,,21.31,,,,,,
,,2001 - 2002,,,,,,,201.0,,24.66,,,,,,
,,2002 - 2003,,,,,,,346.0,,23.2,,,,,,
,,2003 - 2004,,,,,,,388.0,,20.91,,,,,,
,,2004 - 2005,,,,387.0,,14.29,,,,,,,,,
,,2005 - 2006,,,,269.0,,22.43,,,,,,,,,
,,2006 - 2007,,,,175.0,,21.83,,,,,,,,,
,,2007 - 2008,,,,430.0,,21.98,,,,,,,,,
,,2008 - 2009,,,,786.0,,20.5,,,,,,,,,
,,2009 - 2010,,,,361.0,,24.86,,,,,,,,,
,,2010 - 2011,,,,520.0,,24.4,,,,,,,,,
,,2011 - 2012,,,,642.0,,22.08,,,,,,,,,
,,2012 - 2013,,,,470.0,,24.35,,,,,,,,,
,,2013 - 2014,,,,802.0,,21.16,,,,,,,,,
,,2014 - 2015,,,,446.0,,22.56,,,,,,,,,
,,2015 - 2016,,,,375.0,,27.5,,,,,,,,,
,,2016 - 2017,,,,674.0,,24.24,,,,,,,,,
,,2017 - 2018,,,,632.0,,11.94,,,,,,,,,
,,2018 - 2019,,,,821.0,,29.85,,,,,,,,,
,,2019 - 2020,,,,570.0,,26.92,,,,,,,,,
,,2020 - 2021,,,,788.0,,23.46,,,,,,,,,
,,2021 - 2022,,,,876.0,,28.3,,,,,,,,,
,,2022 - 2023,,,,877.0,,28.29,,,,,,,,,
,Kannauj,2000 - 2001,,,,,,,,,24.87,,,,,,
,,2001 - 2002,,,,,,,,,26.81,,,,,,
,,2002 - 2003,,,,,,,,,22.05,,,,,,
,,2003 - 2004,,,,,,,,,21.63,,,,,,
,,2004 - 2005,,,,,,21.14,,,,,,,,,
,,2005 - 2006,,,,,,18.03,,,,,,,,,
,,2006 - 2007,,,,,,25.29,,,,,,,,,
,,2007 - 2008,,,,,,20.35,,,,,,,,,
,,2008 - 2009,,,,,,21.53,,,,,,,,,
,,2009 - 2010,,,,,,23.72,,,,,,,,,
,,2010 - 2011,,,,,,23.49,,,,,,,,,
,,2011 - 2012,,,,,,20.1,,,,,,,,,
,,2012 - 2013,,,,,,31.49,,,,,,,,,
,,2013 - 2014,,,,,,20.81,,,,,,,,,
,,2014 - 2015,,,,,,22.05,,,,,,,,,
,,2015 - 2016,,,,,,20.3,,,,,,,,,
,,2016 - 2017,,,,,,24.78,,,,,,,,,
,,2017 - 2018,,,,,,31.22,,,,,,,,,
,,2018 - 2019,,,,,,33.1,,,,,,,,,
,,2019 - 2020,,,,,,27.76,,,,,,,,,
,,2020 - 2021,,,,,,29.37,,,,,,,,,
,,2021 - 2022,,,,,,37.9,,,,,,,,,
,,2022 - 2023,,,,,,37.9,,,,,,,,,
,Kanpur dehat,2003 - 2004,,,,,,,,,22.42,,,,,,
,,2004 - 2005,,,,,,29.34,,,,,,,,,
,,2005 - 2006,,,,,,39.42,,,,,,,,,
,,2006 - 2007,,,,,,25.48,,,,,,,,,
,,2007 - 2008,,,,,,22.39,,,,,,,,,
,,2008 - 2009,,,,,,23.42,,,,,,,,,
,,2009 - 2010,,,,,,25.22,,,,,,,,,
,,2010 - 2011,,,,,,20.41,,,,,,,,,
,,2011 - 2012,,,,,,20.24,,,,,,,,,
,,2012 - 2013,,,,,,26.48,,,,,,,,,
,,2013 - 2014,,,,,,20.88,,,,,,,,,
,,2014 - 2015,,,,,,21.57,,,,,,,,,
,,2015 - 2016,,,,,,21.81,,,,,,,,,
,,2016 - 2017,,,,,,25.39,,,,,,,,,
,,2017 - 2018,,,,,,31.03,,,,,,,,,
,,2018 - 2019,,,,,,34.97,,,,,,,,,
,,2019 - 2020,,,,,,28.56,,,,,,,,,
,,2020 - 2021,,,,,,29.84,,,,,,,,,
,,2021 - 2022,,,,,,28.9,,,,,,,,,
,,2022 - 2023,,,,,,28.9,,,,,,,,,
,Kanpur nagar,2000 - 2001,,,,,,,,,24.15,,,,,,
,,2001 - 2002,,,,,,,,,24.39,,,,,,
,,2002 - 2003,,,,,,,,,24.82,,,,,,
,,2003 - 2004,,,,,,,,,22.52,,,,,,
,,2004 - 2005,,,,,,21.06,,,,,,,,,
,,2005 - 2006,,,,,,25.93,,,,,,,,,
,,2006 - 2007,,,,,,23.66,,,,,,,,,
,,2007 - 2008,,,,,,22.81,,,,,,,,,
,,2008 - 2009,,,,,,26.59,,,,,,,,,
,,2009 - 2010,,,,,,26.6,,,,,,,,,
,,2010 - 2011,,,,,,17.52,,,,,,,,,
,,2011 - 2012,,,,,,16.97,,,,,,,,,
,,2012 - 2013,,,,,,11.18,,,,,,,,,
,,2013 - 2014,,,,,,10.45,,,,,,,,,
,,2014 - 2015,,,,,,9.29,,,,,,,,,
,,2015 - 2016,,,,,,14.54,,,,,,,,,
,,2016 - 2017,,,,,,15.09,,,,,,,,,
,,2017 - 2018,,,,,,37.68,,,,,,,,,
,,2018 - 2019,,,,,,41.92,,,,,,,,,
,,2019 - 2020,,,,,,23.18,,,,,,,,,
,,2020 - 2021,,,,,,26.95,,,,,,,,,
,,2021 - 2022,,,,,,35.3,,,,,,,,,
,,2022 - 2023,,,,,,35.3,,,,,,,,,
,Kasganj,2009 - 2010,,,,,,28.47,,,,,,,,,
,,2010 - 2011,,,,,,26.72,,,,,,,,,
,,2011 - 2012,,,,,,27.21,,,,,,,,,
,,2012 - 2013,,,,,,25.96,,,,,,,,,
,,2013 - 2014,,,,,,25.15,,,,,,,,,
,,2014 - 2015,,,,,,22.61,,,,,,,,,
,,2015 - 2016,,,,,,23.44,,,,,,,,,
,,2016 - 2017,,,,,,22.67,,,,,,,,,
,,2017 - 2018,,,,,,31.57,,,,,,,,,
,,2018 - 2019,,,,,,30.74,,,,,,,,,
,,2019 - 2020,,,,,,27.28,,,,,,,,,
,,2020 - 2021,,,,,,28.96,,,,,,,,,
,,2021 - 2022,,,,,,31.9,,,,,,,,,
,,2022 - 2023,,,,,,31.9,,,,,,,,,
,Kaushambi,2000 - 2001,,,,,,,,,14.24,,,,,,
,,2001 - 2002,,,,,,,,,16.52,,,,,,
,,2002 - 2003,,,,,,,,,16.77,,,,,,
,,2003 - 2004,,,,,,,,,12.92,,,,,,
,,2004 - 2005,,,,,,10.79,,,,,,,,,
,,2005 - 2006,,,,,,18.7,,,,,,,,,
,,2006 - 2007,,,,,,14.66,,,,,,,,,
,,2007 - 2008,,,,,,11.82,,,,,,,,,
,,2008 - 2009,,,,,,15.3,,,,,,,,,
,,2009 - 2010,,,,,,20.52,,,,,,,,,
,,2010 - 2011,,,,,,20.2,,,,,,,,,
,,2011 - 2012,,,,,,15.67,,,,,,,,,
,,2012 - 2013,,,,,,19.59,,,,,,,,,
,,2013 - 2014,,,,,,13.82,,,,,,,,,
,,2014 - 2015,,,,,,15.4,,,,,,,,,
,,2015 - 2016,,,,,,17.19,,,,,,,,,
,,2016 - 2017,,,,,,24.63,,,,,,,,,
,,2017 - 2018,,,,,,16.03,,,,,,,,,
,,2018 - 2019,,,,,,20.85,,,,,,,,,
,,2019 - 2020,,,,,,17.99,,,,,,,,,
,,2020 - 2021,,,,,,23.61,,,,,,,,,
,,2021 - 2022,,,,,,33.0,,,,,,,,,
,,2022 - 2023,,,,,,33.0,,,,,,,,,
,Kheri,2000 - 2001,,,,,,,,,13.59,,,,,,
,,2001 - 2002,,,,,,,,,18.04,,,,,,
,,2002 - 2003,,,,,,,,,17.38,,,,,,
,,2003 - 2004,,,,,,,,,15.29,,,,,,
,,2004 - 2005,,,,,,19.09,,,,,,,,,
,,2005 - 2006,,,,,,17.6,,,,,,,,,
,,2006 - 2007,,,,,,17.32,,,,,,,,,
,,2007 - 2008,,,,,,19.08,,,,,,,,,
,,2008 - 2009,,,,,,17.07,,,,,,,,,
,,2009 - 2010,,,,,,23.13,,,,,,,,,
,,2010 - 2011,,,,,,19.39,,,,,,,,,
,,2011 - 2012,,,,,,28.55,,,,,,,,,
,,2012 - 2013,,,,,,23.39,,,,,,,,,
,,2013 - 2014,,,,,,16.33,,,,,,,,,
,,2014 - 2015,,,,,,18.76,,,,,,,,,
,,2015 - 2016,,,,,,16.54,,,,,,,,,
,,2016 - 2017,,,,,,18.59,,,,,,,,,
,,2017 - 2018,,,,,,19.35,,,,,,,,,
,,2018 - 2019,,,,,,24.6,,,,,,,,,
,,2019 - 2020,,,,,,20.18,,,,,,,,,
,,2020 - 2021,,,,,,23.17,,,,,,,,,
,,2021 - 2022,,,,,,29.0,,,,,,,,,
,,2022 - 2023,,,,,,29.0,,,,,,,,,
,Kushi nagar,2000 - 2001,,,,,,,,,14.15,,,,,,
,,2001 - 2002,,,,,,,,,13.71,,,,,,
,,2002 - 2003,,,,,,,,,23.2,,,,,,
,,2003 - 2004,,,,,,,,,16.26,,,,,,
,,2004 - 2005,,,,,,15.98,,,,,,,,,
,,2005 - 2006,,,,,,22.43,,,,,,,,,
,,2006 - 2007,,,,,,18.43,,,,,,,,,
,,2007 - 2008,,,,,,21.98,,,,,,,,,
,,2008 - 2009,,,,,,11.19,,,,,,,,,
,,2009 - 2010,,,,598.0,,24.87,,,,,,,,,
,,2010 - 2011,,,,,,17.9,,,,,,,,,
,,2011 - 2012,,,,,,15.54,,,,,,,,,
,,2012 - 2013,,,,,,13.45,,,,,,,,,
,,2013 - 2014,,,,,,18.69,,,,,,,,,
,,2014 - 2015,,,,,,14.05,,,,,,,,,
,,2015 - 2016,,,,,,28.67,,,,,,,,,
,,2016 - 2017,,,,,,17.3,,,,,,,,,
,,2017 - 2018,,,,,,26.01,,,,,,,,,
,,2018 - 2019,,,,,,25.27,,,,,,,,,
,,2019 - 2020,,,,,,24.44,,,,,,,,,
,,2020 - 2021,,,,,,23.95,,,,,,,,,
,,2021 - 2022,,,,,,28.9,,,,,,,,,
,,2022 - 2023,,,,,,28.9,,,,,,,,,
,Lalitpur,2000 - 2001,,,,,,,330.0,,21.31,,,,,,
,,2001 - 2002,,,,,,,315.0,,24.66,,,,,,
,,2002 - 2003,,,,,,,297.0,,23.2,,,,,,
,,2003 - 2004,,,,,,,422.0,,20.91,,,,,,
,,2004 - 2005,,,,391.0,,14.29,,,,,,,,,
,,2005 - 2006,,,,332.0,,22.43,,,,,,,,,
,,2006 - 2007,,,,598.0,,21.84,,,,,,,,,
,,2007 - 2008,,,,510.0,,21.98,,,,,,,,,
,,2008 - 2009,,,,435.0,,20.5,,,,,,,,,
,,2009 - 2010,,,,434.0,,24.87,,,,,,,,,
,,2010 - 2011,,,,471.0,,24.39,,,,,,,,,
,,2011 - 2012,,,,517.0,,22.08,,,,,,,,,
,,2012 - 2013,,,,435.0,,24.35,,,,,,,,,
,,2013 - 2014,,,,340.0,,21.16,,,,,,,,,
,,2014 - 2015,,,,331.0,,22.56,,,,,,,,,
,,2015 - 2016,,,,323.0,,27.5,,,,,,,,,
,,2016 - 2017,,,,407.0,,24.25,,,,,,,,,
,,2017 - 2018,,,,426.0,,11.94,,,,,,,,,
,,2018 - 2019,,,,272.0,,29.85,,,,,,,,,
,,2019 - 2020,,,,525.0,,26.92,,,,,,,,,
,,2020 - 2021,,,,432.0,,23.46,,,,,,,,,
,,2021 - 2022,,,,371.0,,26.3,,,,,,,,,
,,2022 - 2023,,,,371.0,,26.32,,,,,,,,,
,Lucknow,2000 - 2001,,,,,,,,,13.59,,,,,,
,,2001 - 2002,,,,,,,,,23.03,,,,,,
,,2002 - 2003,,,,,,,,,18.09,,,,,,
,,2003 - 2004,,,,,,,,,15.69,,,,,,
,,2004 - 2005,,,,,,16.25,,,,,,,,,
,,2005 - 2006,,,,,,15.74,,,,,,,,,
,,2006 - 2007,,,,,,17.16,,,,,,,,,
,,2007 - 2008,,,,,,24.07,,,,,,,,,
,,2008 - 2009,,,,,,17.54,,,,,,,,,
,,2009 - 2010,,,,,,19.34,,,,,,,,,
,,2010 - 2011,,,,,,20.38,,,,,,,,,
,,2011 - 2012,,,,,,17.36,,,,,,,,,
,,2012 - 2013,,,,,,16.35,,,,,,,,,
,,2013 - 2014,,,,,,13.31,,,,,,,,,
,,2014 - 2015,,,,,,14.5,,,,,,,,,
,,2015 - 2016,,,,,,14.31,,,,,,,,,
,,2016 - 2017,,,,,,15.33,,,,,,,,,
,,2017 - 2018,,,,,,19.42,,,,,,,,,
,,2018 - 2019,,,,,,24.18,,,,,,,,,
,,2019 - 2020,,,,,,17.51,,,,,,,,,
,,2020 - 2021,,,,,,22.21,,,,,,,,,
,,2021 - 2022,,,,,,30.3,,,,,,,,,
,,2022 - 2023,,,,,,30.3,,,,,,,,,
,Maharajganj,2000 - 2001,,,,,,,,,14.15,,,,,,
,,2001 - 2002,,,,,,,,,13.72,,,,,,
,,2002 - 2003,,,,,,,,,23.2,,,,,,
,,2003 - 2004,,,,,,,,,14.04,,,,,,
,,2004 - 2005,,,,,,15.09,,,,,,,,,
,,2005 - 2006,,,,,,22.43,,,,,,,,,
,,2006 - 2007,,,,,,18.43,,,,,,,,,
,,2007 - 2008,,,,,,21.98,,,,,,,,,
,,2008 - 2009,,,,,,11.19,,,,,,,,,
,,2009 - 2010,,,,,,24.87,,,,,,,,,
,,2010 - 2011,,,,,,17.91,,,,,,,,,
,,2011 - 2012,,,,,,17.05,,,,,,,,,
,,2012 - 2013,,,,,,21.41,,,,,,,,,
,,2013 - 2014,,,,,,15.51,,,,,,,,,
,,2014 - 2015,,,,,,16.96,,,,,,,,,
,,2015 - 2016,,,,,,18.99,,,,,,,,,
,,2016 - 2017,,,,,,18.3,,,,,,,,,
,,2017 - 2018,,,,,,29.01,,,,,,,,,
,,2018 - 2019,,,,,,21.43,,,,,,,,,
,,2019 - 2020,,,,,,22.82,,,,,,,,,
,,2020 - 2021,,,,,,25.22,,,,,,,,,
,,2021 - 2022,,,,,,28.5,,,,,,,,,
,,2022 - 2023,,,,,,28.5,,,,,,,,,
,Mahoba,2000 - 2001,,,,,,,90.0,,21.31,,,,,,
,,2001 - 2002,,,,,,,87.0,,24.67,,,,,,
,,2002 - 2003,,,,,,,124.0,,23.2,,,,,,
,,2003 - 2004,,,,,,,129.0,,20.91,,,,,,
,,2004 - 2005,,,,135.0,,22.39,,,,,,,,,
,,2005 - 2006,,,,234.0,,22.43,,,,,,,,,
,,2006 - 2007,,,,170.0,,21.84,,,,,,,,,
,,2007 - 2008,,,,85.0,,21.98,,,,,,,,,
,,2008 - 2009,,,,56.0,,20.5,,,,,,,,,
,,2009 - 2010,,,,109.0,,24.86,,,,,,,,,
,,2010 - 2011,,,,89.0,,24.39,,,,,,,,,
,,2011 - 2012,,,,107.0,,22.08,,,,,,,,,
,,2012 - 2013,,,,114.0,,24.35,,,,,,,,,
,,2013 - 2014,,,,101.0,,21.17,,,,,,,,,
,,2014 - 2015,,,,84.0,,22.56,,,,,,,,,
,,2015 - 2016,,,,8.0,184.0,23.0,,,,,,,,,
,,2016 - 2017,,,,63.0,,24.24,,,,,,,,,
,,2017 - 2018,,,,159.0,,26.2,,,,,,,,,
,,2018 - 2019,,,,115.0,,29.85,,,,,,,,,
,,2019 - 2020,,,,150.0,,26.92,,,,,,,,,
,,2020 - 2021,,,,100.0,,29.59,,,,,,,,,
,,2021 - 2022,,,,111.0,,26.1,,,,,,,,,
,,2022 - 2023,,,,111.0,,26.12,,,,,,,,,
,Mainpuri,2000 - 2001,,,,,,,,,22.9,,,,,,
,,2001 - 2002,,,,,,,,,23.4,,,,,,
,,2002 - 2003,,,,,,,,,24.98,,,,,,
,,2003 - 2004,,,,,,,,,23.16,,,,,,
,,2004 - 2005,,,,,,21.13,,,,,,,,,
,,2005 - 2006,,,,,,20.75,,,,,,,,,
,,2006 - 2007,,,,,,19.63,,,,,,,,,
,,2007 - 2008,,,,,,19.15,,,,,,,,,
,,2008 - 2009,,,,,,19.47,,,,,,,,,
