state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2021 - 2022,,,,,,,94.0,524.0,5.57,,,,,,
,,2022 - 2023,,,,,,,97.0,541.0,5.58,,,,,,
,Lower dibang valley,2002 - 2003,,,,,,,76.0,608.0,8.0,,,,,,
,,2003 - 2004,,,,,,,100.0,800.0,8.0,,,,,,
,,2004 - 2005,,,,,,,50.0,335.0,6.7,,,,,,
,,2005 - 2006,,,,,,,140.0,,8.0,,,,,,
,,2006 - 2007,,,,,,,140.0,,8.0,,,,,,
,,2007 - 2008,,,,,,,288.0,,8.0,,,,,,
,,2008 - 2009,,,,,,,295.0,,8.0,,,,,,
,,2009 - 2010,,,,,,,301.0,,8.0,,,,,,
,,2010 - 2011,,,,,,,310.0,,8.0,,,,,,
,,2011 - 2012,,,,,,,329.0,,8.41,,,,,,
,,2012 - 2013,,,,,,,375.0,,8.0,,,,,,
,,2013 - 2014,,,,,,,375.0,,8.0,,,,,,
,,2014 - 2015,,,,,,,384.0,,8.02,,,,,,
,,2015 - 2016,,,,,,,424.0,,7.26,,,,,,
,,2016 - 2017,,,,,,,424.0,,7.26,,,,,,
,,2017 - 2018,,,,,,,429.0,,7.3,,,,,,
,,2018 - 2019,,,,,,,433.0,,7.33,,,,,,
,,2019 - 2020,,,,,,,434.0,,7.33,,,,,,
,,2020 - 2021,,,,,,,434.0,,7.34,,,,,,
,,2021 - 2022,,,,,,,444.0,,7.57,,,,,,
,,2022 - 2023,,,,,,,451.0,,7.57,,,,,,
,Lower siang,2018 - 2019,,,,,,,439.0,,6.69,,,,,,
,,2019 - 2020,,,,,,,396.0,,6.69,,,,,,
,,2020 - 2021,,,,,,,396.0,,6.71,,,,,,
,,2021 - 2022,,,,,,,404.0,,6.71,,,,,,
,,2022 - 2023,,,,,,,413.0,,6.71,,,,,,
,Lower subansiri,2000 - 2001,,,,,,,775.0,,6.8,,,,,,
,,2001 - 2002,,,,,,,170.0,,8.53,,,,,,
,,2002 - 2003,,,,,,,550.0,,7.09,,,,,,
,,2003 - 2004,,,,,,,254.0,,9.99,,,,,,
,,2004 - 2005,,,,,,,186.0,,8.11,,,,,,
,,2005 - 2006,,,,,,,347.0,,10.14,,,,,,
,,2006 - 2007,,,,,,,354.0,,10.13,,,,,,
,,2007 - 2008,,,,,,,356.0,,10.85,,,,,,
,,2008 - 2009,,,,,,,374.0,,10.84,,,,,,
,,2009 - 2010,,,,,,,389.0,,10.84,,,,,,
,,2010 - 2011,,,,,,,313.0,,9.01,,,,,,
,,2011 - 2012,,,,,,,332.0,,9.48,,,,,,
,,2012 - 2013,,,,,,,333.0,,9.49,,,,,,
,,2013 - 2014,,,,,,,335.0,,9.5,,,,,,
,,2014 - 2015,,,,,,,344.0,,9.48,,,,,,
,,2015 - 2016,,,,,,,384.0,,8.78,,,,,,
,,2016 - 2017,,,,,,,384.0,,8.05,,,,,,
,,2017 - 2018,,,,,,,389.0,,8.08,,,,,,
,,2018 - 2019,,,,,,,265.0,,8.07,,,,,,
,,2019 - 2020,,,,,,,266.0,,8.07,,,,,,
,,2020 - 2021,,,,,,,266.0,,8.1,,,,,,
,,2021 - 2022,,,,,,,272.0,,8.09,,,,,,
,,2022 - 2023,,,,,,,279.0,,8.09,,,,,,
,Namsai,2014 - 2015,,,,,,,119.0,794.0,6.67,,,,,,
,,2015 - 2016,,,,,,,563.0,,8.91,,,,,,
,,2016 - 2017,,,,,,,566.0,,8.29,,,,,,
,,2017 - 2018,,,,,,,571.0,,8.31,,,,,,
,,2018 - 2019,,,,,,,575.0,,8.31,,,,,,
,,2019 - 2020,,,,,,,579.0,,8.27,,,,,,
,,2020 - 2021,,,,,,,581.0,,8.26,,,,,,
,,2021 - 2022,,,,,,,596.0,,8.3,,,,,,
,,2022 - 2023,,,,,,,604.0,,8.3,,,,,,
,Pakke kessang,2019 - 2020,,,,,,,51.0,321.0,6.29,,,,,,
,,2020 - 2021,,,,,,,51.0,327.0,6.41,,,,,,
,,2021 - 2022,,,,,,,52.0,333.0,6.4,,,,,,
,,2022 - 2023,,,,,,,56.0,359.0,6.41,,,,,,
,Papum pare,2000 - 2001,,,,,,,80.0,570.0,7.13,,,,,,
,,2001 - 2002,,,,,,,88.0,627.0,7.13,,,,,,
