state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2009 - 2010,215.0,162.0,0.75,,,,,,,,,,,,
,,2010 - 2011,229.0,172.0,0.75,,,,,,,,,,,,
,,2011 - 2012,249.0,231.0,0.93,,,,,,,,,,,,
,,2012 - 2013,252.0,239.0,0.95,,,,,,,,,,,,
,,2013 - 2014,294.0,280.0,0.95,,,,,,,,,,,,
,,2014 - 2015,275.0,266.0,0.97,,,,,,,,,,,,
,,2015 - 2016,246.0,239.0,0.97,,,,,,,,,,,,
,,2016 - 2017,255.0,249.0,0.98,,,,,,,,,,,,
,,2017 - 2018,250.0,247.0,0.99,,,,,,,,,,,,
,,2018 - 2019,245.0,194.0,0.79,,,,,,,,,,,,
,,2019 - 2020,247.0,201.0,0.81,,,,,,,,,,,,
,,2020 - 2021,246.0,200.0,0.81,,,,,,,,,,,,
,Dhubri,2000 - 2001,,,0.72,,,,,,,,,,,,
,,2001 - 2002,,,0.72,,,,,,,,,,,,
,,2002 - 2003,,,0.73,,,,,,,,,,,,
,,2003 - 2004,,,0.73,,,,,,,,,,,,
,,2004 - 2005,,,0.73,,,,,,,,,,,,
,,2005 - 2006,,963.0,0.72,,,,,,,,,,,,
,,2006 - 2007,,980.0,0.72,,,,,,,,,,,,
,,2007 - 2008,,938.0,0.72,,,,,,,,,,,,
,,2008 - 2009,,,0.72,,,,,,,,,,,,
,,2009 - 2010,,986.0,0.72,,,,,,,,,,,,
,,2010 - 2011,,,0.71,,,,,,,,,,,,
,,2011 - 2012,,,0.74,,,,,,,,,,,,
,,2012 - 2013,,,0.93,,,,,,,,,,,,
,,2013 - 2014,,,1.3,,,,,,,,,,,,
,,2014 - 2015,,,1.3,,,,,,,,,,,,
,,2015 - 2016,,,1.3,,,,,,,,,,,,
,,2016 - 2017,,,1.3,,,,,,,,,,,,
,,2017 - 2018,,,1.34,,,,,,,,,,,,
,,2018 - 2019,,,1.35,,,,,,,,,,,,
,,2019 - 2020,,,1.35,,,,,,,,,,,,
,,2020 - 2021,,,1.49,,,,,,,,,,,,
,Dibrugarh,2000 - 2001,238.0,165.0,0.69,,,,,,,,,,,,
,,2001 - 2002,275.0,191.0,0.69,,,,,,,,,,,,
,,2002 - 2003,281.0,195.0,0.69,,,,,,,,,,,,
,,2003 - 2004,270.0,188.0,0.7,,,,,,,,,,,,
,,2004 - 2005,280.0,195.0,0.7,,,,,,,,,,,,
,,2005 - 2006,142.0,99.0,0.7,,,,,,,,,,,,
,,2006 - 2007,134.0,93.0,0.69,,,,,,,,,,,,
,,2007 - 2008,166.0,115.0,0.69,,,,,,,,,,,,
,,2008 - 2009,157.0,109.0,0.69,,,,,,,,,,,,
,,2009 - 2010,189.0,131.0,0.69,,,,,,,,,,,,
,,2010 - 2011,246.0,171.0,0.7,,,,,,,,,,,,
,,2011 - 2012,266.0,168.0,0.63,,,,,,,,,,,,
,,2012 - 2013,270.0,182.0,0.67,,,,,,,,,,,,
,,2013 - 2014,294.0,198.0,0.67,,,,,,,,,,,,
,,2014 - 2015,287.0,197.0,0.69,,,,,,,,,,,,
,,2015 - 2016,352.0,245.0,0.7,,,,,,,,,,,,
,,2016 - 2017,351.0,247.0,0.7,,,,,,,,,,,,
,,2017 - 2018,330.0,239.0,0.72,,,,,,,,,,,,
,,2018 - 2019,359.0,278.0,0.77,,,,,,,,,,,,
,,2019 - 2020,360.0,290.0,0.81,,,,,,,,,,,,
,,2020 - 2021,360.0,290.0,0.81,,,,,,,,,,,,
,Dima hasao,2000 - 2001,258.0,148.0,0.57,,,,,,,,,,,,
,,2001 - 2002,265.0,152.0,0.57,,,,,,,,,,,,
,,2002 - 2003,271.0,155.0,0.57,,,,,,,,,,,,
,,2003 - 2004,275.0,158.0,0.57,,,,,,,,,,,,
,,2004 - 2005,265.0,152.0,0.57,,,,,,,,,,,,
,,2005 - 2006,266.0,152.0,0.57,,,,,,,,,,,,
,,2006 - 2007,270.0,155.0,0.57,,,,,,,,,,,,
,,2007 - 2008,273.0,156.0,0.57,,,,,,,,,,,,
,,2008 - 2009,270.0,155.0,0.57,,,,,,,,,,,,
,,2009 - 2010,371.0,213.0,0.57,,,,,,,,,,,,
,,2010 - 2011,381.0,218.0,0.57,,,,,,,,,,,,
,,2011 - 2012,432.0,216.0,0.5,,,,,,,,,,,,
,,2012 - 2013,459.0,282.0,0.61,,,,,,,,,,,,
,,2013 - 2014,477.0,293.0,0.61,,,,,,,,,,,,
,,2014 - 2015,477.0,328.0,0.69,,,,,,,,,,,,
