state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2005 - 2006,171.0,111.0,0.65,,,,,,,,,,,,
,,2006 - 2007,265.0,173.0,0.65,,,,,,,,,,,,
,,2007 - 2008,255.0,166.0,0.65,,,,,,,,,,,,
,,2008 - 2009,463.0,300.0,0.65,,,,,,,,,,,,
,,2009 - 2010,733.0,477.0,0.65,,,,,,,,,,,,
,,2010 - 2011,796.0,517.0,0.65,,,,,,,,,,,,
,,2011 - 2012,844.0,706.0,0.84,,,,,,,,,,,,
,,2012 - 2013,876.0,753.0,0.86,,,,,,,,,,,,
,,2013 - 2014,880.0,757.0,0.86,,,,,,,,,,,,
,,2014 - 2015,838.0,725.0,0.87,,,,,,,,,,,,
,,2015 - 2016,831.0,727.0,0.87,,,,,,,,,,,,
,,2016 - 2017,834.0,733.0,0.88,,,,,,,,,,,,
,,2017 - 2018,836.0,740.0,0.89,,,,,,,,,,,,
,,2018 - 2019,831.0,837.0,1.01,,,,,,,,,,,,
,,2019 - 2020,830.0,838.0,1.01,,,,,,,,,,,,
,,2020 - 2021,825.0,833.0,1.01,,,,,,,,,,,,
,Hailakandi,2000 - 2001,250.0,138.0,0.55,,,,,,,,,,,,
,,2001 - 2002,250.0,135.0,0.54,,,,,,,,,,,,
,,2002 - 2003,250.0,135.0,0.54,,,,,,,,,,,,
,,2003 - 2004,255.0,138.0,0.54,,,,,,,,,,,,
,,2004 - 2005,255.0,138.0,0.54,,,,,,,,,,,,
,,2005 - 2006,255.0,138.0,0.54,,,,,,,,,,,,
,,2006 - 2007,265.0,144.0,0.54,,,,,,,,,,,,
,,2007 - 2008,270.0,146.0,0.54,,,,,,,,,,,,
,,2008 - 2009,260.0,140.0,0.54,,,,,,,,,,,,
,,2009 - 2010,265.0,143.0,0.54,,,,,,,,,,,,
,,2010 - 2011,315.0,170.0,0.54,,,,,,,,,,,,
,,2011 - 2012,205.0,115.0,0.56,,,,,,,,,,,,
,,2012 - 2013,210.0,136.0,0.65,,,,,,,,,,,,
,,2013 - 2014,155.0,100.0,0.65,,,,,,,,,,,,
,,2014 - 2015,158.0,104.0,0.66,,,,,,,,,,,,
,,2015 - 2016,152.0,101.0,0.66,,,,,,,,,,,,
,,2016 - 2017,155.0,106.0,0.68,,,,,,,,,,,,
,,2017 - 2018,60.0,43.0,0.72,,,,,,,,,,,,
,,2018 - 2019,160.0,123.0,0.77,,,,,,,,,,,,
,,2019 - 2020,125.0,101.0,0.81,,,,,,,,,,,,
,,2020 - 2021,135.0,109.0,0.81,,,,,,,,,,,,
,Hojai,2020 - 2021,223.0,174.0,0.78,,,,,,,,,,,,
,Jorhat,2000 - 2001,136.0,72.0,0.53,,,,,,,,,,,,
,,2001 - 2002,124.0,68.0,0.55,,,,,,,,,,,,
,,2002 - 2003,126.0,68.0,0.54,,,,,,,,,,,,
,,2003 - 2004,131.0,71.0,0.54,,,,,,,,,,,,
,,2004 - 2005,240.0,130.0,0.54,,,,,,,,,,,,
,,2005 - 2006,115.0,62.0,0.54,,,,,,,,,,,,
,,2006 - 2007,145.0,78.0,0.54,,,,,,,,,,,,
,,2007 - 2008,146.0,80.0,0.55,,,,,,,,,,,,
,,2008 - 2009,136.0,73.0,0.54,,,,,,,,,,,,
,,2009 - 2010,120.0,65.0,0.54,,,,,,,,,,,,
,,2010 - 2011,131.0,70.0,0.53,,,,,,,,,,,,
,,2011 - 2012,151.0,104.0,0.69,,,,,,,,,,,,
