state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2018 - 2019,11.0,3.0,0.27,,,,,,,,,
,,2019 - 2020,9.0,9.0,1.0,3.0,5.0,1.67,,,,,,
,,2020 - 2021,15.0,18.0,1.2,,,,,,,,,
,,2021 - 2022,28.0,30.0,1.07,,,,,,,,,
,West godavari,2000 - 2001,,,,343.0,488.0,1.42,,,,,,
,,2001 - 2002,,,,437.0,494.0,1.13,,,,,,
,,2002 - 2003,,,,,,1.09,,,,,,
,,2003 - 2004,,,,,,1.17,,,,,,
,,2004 - 2005,,,0.9,,,0.89,,,,,,
,,2005 - 2006,,,,,,,,,1.14,,,
,,2006 - 2007,,,,,,,,,0.81,,,
,,2007 - 2008,,,1.5,,,,,,,,,
,,2008 - 2009,,,,,,,,,1.01,,,
,,2009 - 2010,,,,,,,,,0.98,,,
,,2010 - 2011,,,,,,,688.0,855.0,1.24,,,
,,2011 - 2012,,,,,,,548.0,581.0,1.06,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,748.0,836.0,1.12,,,,,,,,,
,,2014 - 2015,335.0,323.0,0.96,,,,,,,,,
,,2015 - 2016,174.0,188.0,1.08,,,,,,,,,
,,2016 - 2017,93.0,71.0,0.76,,,,,,,,,
,,2017 - 2018,118.0,111.0,0.94,,,,,,,,,
,,2018 - 2019,128.0,39.0,0.3,,,,,,,,,
,,2019 - 2020,44.0,37.0,0.84,,,,,,,,,
,,2020 - 2021,31.0,66.0,2.13,1.0,1.0,1.0,,,,,,
,,2021 - 2022,174.0,189.0,1.09,,,,,,,,,
Arunachal Pradesh,Changlang,2016 - 2017,,,,79.0,45.0,0.57,,,,,,
,,2017 - 2018,,,,82.0,148.0,1.8,,,,,,
,,2018 - 2019,,,,82.0,117.0,1.43,,,,,,
,,2019 - 2020,,,,82.0,117.0,1.43,,,,,,
,,2020 - 2021,,,,82.0,117.0,1.43,,,,,,
,,2021 - 2022,,,,89.0,103.0,1.16,,,,,,
,,2022 - 2023,,,,104.0,101.0,0.97,,,,,,
,Dibang valley,2016 - 2017,,,,53.0,44.0,0.83,,,,,,
,,2017 - 2018,,,,56.0,47.0,0.84,,,,,,
,,2018 - 2019,,,,56.0,47.0,0.84,,,,,,
,,2019 - 2020,,,,56.0,47.0,0.84,,,,,,
,,2020 - 2021,,,,56.0,47.0,0.84,,,,,,
,,2021 - 2022,,,,57.0,37.0,0.65,,,,,,
,,2022 - 2023,,,,37.0,25.0,0.68,,,,,,
,East siang,2016 - 2017,,,,63.0,49.0,0.78,,,,,,
,,2017 - 2018,,,,66.0,52.0,0.79,,,,,,
,,2018 - 2019,,,,50.0,40.0,0.8,,,,,,
,,2019 - 2020,,,,50.0,40.0,0.8,,,,,,
,,2020 - 2021,,,,50.0,40.0,0.8,,,,,,
,,2021 - 2022,,,,64.0,49.0,0.77,,,,,,
,,2022 - 2023,,,,67.0,51.0,0.76,,,,,,
,Leparada,2019 - 2020,,,,13.0,11.0,0.85,,,,,,
,,2020 - 2021,,,,13.0,11.0,0.85,,,,,,
,,2021 - 2022,,,,14.0,13.0,0.93,,,,,,
