state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,Bharuch,2001 - 2002,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,200.0,300.0,1.5,,,,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,
,,2007 - 2008,200.0,400.0,2.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2011 - 2012,200.0,300.0,1.5,,,,,,,,,
,,2013 - 2014,255.0,450.0,1.76,,,,,,,,,
,,2014 - 2015,245.0,446.0,1.82,,,,,,,,,
,,2015 - 2016,25.0,36.0,1.44,,,,,,,,,
,,2016 - 2017,549.0,972.0,1.77,,,,,,,,,
,,2017 - 2018,140.0,253.0,1.81,,,,,,,,,
,,2018 - 2019,20.0,36.0,1.8,,,,,,,,,
,,2020 - 2021,3.0,6.0,2.0,,,,,,,,,
,Bhavnagar,2001 - 2002,400.0,400.0,1.0,,,,,,,,,
,,2002 - 2003,500.0,600.0,1.2,,,,,,,,,
,,2003 - 2004,200.0,200.0,1.0,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,400.0,700.0,1.75,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,100.0,200.0,2.0,,,,,,,,,
,,2008 - 2009,200.0,300.0,1.5,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,100.0,200.0,2.0,,,,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,47.0,83.0,1.77,,,,,,,,,
,,2014 - 2015,47.0,85.0,1.81,,,,,,,,,
,,2015 - 2016,29.0,42.0,1.45,,,,,,,,,
,,2016 - 2017,21.0,37.0,1.76,,,,,,,,,
,,2017 - 2018,11.0,20.0,1.82,,,,,,,,,
,,2019 - 2020,40.0,77.0,1.93,,,,,,,,,
,,2020 - 2021,14.0,28.0,2.0,,,,,,,,,
,,2022 - 2023,2.0,4.0,2.0,,,,,,,,,
,Botad,2014 - 2015,,,1.82,,,,,,,,,
,,2015 - 2016,962.0,,1.45,,,,,,,,,
,,2016 - 2017,369.0,654.0,1.77,,,,,,,,,
,,2017 - 2018,266.0,431.0,1.62,,,,,,,,,
,,2018 - 2019,,,1.39,,,,,,,,,
,,2019 - 2020,939.0,,1.27,,,,,,,,,
,,2020 - 2021,,,1.51,,,,,,,,,
,,2021 - 2022,11.0,22.0,2.0,,,,,,,,,
,Chhotaudepur,2014 - 2015,20.0,36.0,1.8,,,,,,,,,
,,2015 - 2016,12.0,17.0,1.42,,,,,,,,,
,,2017 - 2018,3.0,5.0,1.67,,,,,,,,,
,Devbhumi dwarka,2014 - 2015,27.0,49.0,1.81,,,,,,,,,
,,2020 - 2021,251.0,496.0,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.92,,,,,,,,,
,Dohad,2003 - 2004,200.0,300.0,1.5,,,,,,,,,
,,2004 - 2005,200.0,300.0,1.5,,,,,,,,,
,,2005 - 2006,300.0,500.0,1.67,,,,,,,,,
,,2006 - 2007,300.0,300.0,1.0,,,,,,,,,
,,2007 - 2008,300.0,400.0,1.33,,,,,,,,,
,,2008 - 2009,200.0,200.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,300.0,3.0,,,,,,,,,
,,2010 - 2011,100.0,200.0,2.0,,,,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,100.0,200.0,2.0,,,,,,,,,
,,2013 - 2014,116.0,205.0,1.77,,,,,,,,,
,,2014 - 2015,197.0,358.0,1.82,,,,,,,,,
,,2015 - 2016,197.0,286.0,1.45,,,,,,,,,
,,2016 - 2017,294.0,521.0,1.77,,,,,,,,,
,,2017 - 2018,171.0,309.0,1.81,,,,,,,,,
,,2018 - 2019,21.0,37.0,1.76,,,,,,,,,
,,2019 - 2020,12.0,23.0,1.92,,,,,,,,,
,Gandhinagar,2000 - 2001,,,1.21,,,,,,,,,
,,2001 - 2002,,,1.23,,,,,,,,,
,,2002 - 2003,,,1.13,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,
,,2004 - 2005,,,1.56,,,,,,,,,
,,2005 - 2006,,,1.56,,,,,,,,,
,,2006 - 2007,,,1.49,,,,,,,,,
,,2007 - 2008,,,1.65,,,,,,,,,
,,2008 - 2009,,,1.42,,,,,,,,,
,,2009 - 2010,,,1.47,,,,,,,,,
,,2010 - 2011,,,1.64,,,,,,,,,
,,2011 - 2012,,,1.51,,,,,,,,,
,,2012 - 2013,,,1.61,,,,,,,,,
,,2013 - 2014,,,1.43,,,,,,,,,
,,2014 - 2015,,,1.42,,,,,,,,,
,,2015 - 2016,,,1.67,,,,,,,,,
,,2016 - 2017,898.0,,1.76,,,,,,,,,
,,2017 - 2018,947.0,,1.67,,,,,,,,,
,,2018 - 2019,784.0,,1.73,,,,,,,,,
,,2019 - 2020,539.0,999.0,1.85,,,,,,,,,
,,2020 - 2021,802.0,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.73,,,,,,,,,
,Gir somnath,2017 - 2018,15.0,27.0,1.8,,,,,,,,,
,,2019 - 2020,10.0,19.0,1.9,,,,,,,,,
,,2020 - 2021,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,2.0,4.0,2.0,,,,,,,,,
,,2022 - 2023,122.0,240.0,1.97,,,,,,,,,
,Jamnagar,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,700.0,700.0,1.0,,,,,,,,,
,,2003 - 2004,,,1.45,,,,,,,,,
,,2004 - 2005,,,1.4,,,,,,,,,
,,2005 - 2006,,,1.53,,,,,,,,,
,,2006 - 2007,,,1.21,,,,,,,,,
,,2007 - 2008,,,1.63,,,,,,,,,
,,2008 - 2009,,,1.17,,,,,,,,,
,,2009 - 2010,300.0,500.0,1.67,,,,,,,,,
,,2010 - 2011,,,1.54,,,,,,,,,
,,2011 - 2012,200.0,400.0,2.0,,,,,,,,,
,,2012 - 2013,200.0,300.0,1.5,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,160.0,291.0,1.82,,,,,,,,,
,,2016 - 2017,160.0,283.0,1.77,,,,,,,,,
,,2017 - 2018,32.0,58.0,1.81,,,,,,,,,
,,2019 - 2020,15.0,29.0,1.93,,,,,,,,,
,,2020 - 2021,589.0,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,2.22,,,,,,,,,
,Junagadh,2001 - 2002,500.0,600.0,1.2,,,,,,,,,
,,2002 - 2003,200.0,300.0,1.5,,,,,,,,,
,,2003 - 2004,200.0,300.0,1.5,,,,,,,,,
,,2004 - 2005,200.0,300.0,1.5,,,,,,,,,
,,2005 - 2006,300.0,400.0,1.33,,,,,,,,,
,,2007 - 2008,100.0,200.0,2.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,40.0,71.0,1.78,,,,,,,,,
,,2014 - 2015,5.0,9.0,1.8,,,,,,,,,
,,2020 - 2021,5.0,10.0,2.0,,,,,,,,,
,Kachchh,2000 - 2001,,,1.22,,,,,,,,,
,,2001 - 2002,,,1.17,,,,,,,,,
,,2002 - 2003,,,1.19,,,,,,,,,
,,2003 - 2004,,,1.48,,,,,,,,,
,,2004 - 2005,,,1.67,,,,,,,,,
,,2005 - 2006,,,1.51,,,,,,,,,
,,2006 - 2007,,,1.55,,,,,,,,,
,,2007 - 2008,,,1.5,,,,,,,,,
,,2008 - 2009,,,1.41,,,,,,,,,
,,2009 - 2010,,,1.75,,,,,,,,,
,,2010 - 2011,,,1.92,,,,,,,,,
,,2011 - 2012,,,1.64,,,,,,,,,
,,2012 - 2013,,,1.82,,,,,,,,,
,,2013 - 2014,,,1.91,,,,,,,,,
,,2014 - 2015,,,2.07,,,,,,,,,
,,2015 - 2016,,,1.81,,,,,,,,,
,,2016 - 2017,,,1.82,,,,,,,,,
,,2017 - 2018,,,1.86,,,,,,,,,
,,2018 - 2019,,,1.79,,,,,,,,,
,,2019 - 2020,,,2.01,,,,,,,,,
,,2020 - 2021,,,2.09,,,,,,,,,
,,2021 - 2022,,,2.12,,,,,,,,,
,,2022 - 2023,,,2.0,,,,,,,,,
,Kheda,2000 - 2001,,,1.22,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,1.2,,,,,,,,,
,,2003 - 2004,,,1.47,,,,,,,,,
,,2004 - 2005,,,1.38,,,,,,,,,
,,2005 - 2006,,,1.57,,,,,,,,,
,,2006 - 2007,,,1.25,,,,,,,,,
,,2007 - 2008,,,1.63,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.57,,,,,,,,,
,,2010 - 2011,,,1.61,,,,,,,,,
,,2011 - 2012,,,1.6,,,,,,,,,
,,2012 - 2013,,,1.69,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,843.0,937.0,1.11,,,,,,,,,
,,2015 - 2016,625.0,881.0,1.41,,,,,,,,,
,,2016 - 2017,713.0,975.0,1.37,,,,,,,,,
,,2017 - 2018,565.0,,1.81,,,,,,,,,
,,2018 - 2019,675.0,,1.78,,,,,,,,,
,,2019 - 2020,517.0,999.0,1.93,,,,,,,,,
,,2020 - 2021,782.0,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.97,,,,,,,,,
,Mahesana,2000 - 2001,,,1.34,,,,,,,,,
,,2001 - 2002,,,1.16,,,,,,,,,
,,2002 - 2003,,,1.23,,,,,,,,,
,,2003 - 2004,,,1.53,,,,,,,,,
,,2004 - 2005,,,1.37,,,,,,,,,
,,2005 - 2006,,,1.55,,,,,,,,,
,,2006 - 2007,,,1.44,,,,,,,,,
,,2007 - 2008,,,1.7,,,,,,,,,
,,2008 - 2009,,,1.05,,,,,,,,,
,,2009 - 2010,,,1.54,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,
,,2011 - 2012,,,1.55,,,,,,,,,
,,2012 - 2013,,,1.48,,,,,,,,,
,,2013 - 2014,,,1.49,,,,,,,,,
,,2014 - 2015,,,1.55,,,,,,,,,
,,2015 - 2016,,,1.57,,,,,,,,,
,,2016 - 2017,,,1.73,,,,,,,,,
,,2017 - 2018,,,1.7,,,,,,,,,
,,2018 - 2019,,,1.72,,,,,,,,,
,,2019 - 2020,,,1.93,,,,,,,,,
,,2020 - 2021,,,1.95,,,,,,,,,
,,2021 - 2022,,,2.14,,,,,,,,,
,,2022 - 2023,,,1.87,,,,,,,,,
,Mahisagar,2014 - 2015,160.0,291.0,1.82,,,,,,,,,
,,2015 - 2016,177.0,257.0,1.45,,,,,,,,,
,,2016 - 2017,366.0,648.0,1.77,,,,,,,,,
,,2017 - 2018,70.0,127.0,1.81,,,,,,,,,
,,2018 - 2019,96.0,171.0,1.78,,,,,,,,,
,,2019 - 2020,42.0,81.0,1.93,,,,,,,,,
,,2020 - 2021,212.0,419.0,1.98,,,,,,,,,
,,2021 - 2022,313.0,625.0,2.0,,,,,,,,,
,,2022 - 2023,384.0,755.0,1.97,,,,,,,,,
,Morbi,2014 - 2015,10.0,18.0,1.8,,,,,,,,,
,,2016 - 2017,20.0,35.0,1.75,,,,,,,,,
,,2017 - 2018,6.0,11.0,1.83,,,,,,,,,
,,2018 - 2019,3.0,5.0,1.67,,,,,,,,,
,,2019 - 2020,20.0,39.0,1.95,,,,,,,,,
,,2020 - 2021,24.0,47.0,1.96,,,,,,,,,
,,2021 - 2022,,,1.56,,,,,,,,,
,,2022 - 2023,,,1.09,,,,,,,,,
,Narmada,2006 - 2007,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,61.0,108.0,1.77,,,,,,,,,
,,2014 - 2015,62.0,113.0,1.82,,,,,,,,,
,,2015 - 2016,112.0,163.0,1.46,,,,,,,,,
,,2016 - 2017,84.0,149.0,1.77,,,,,,,,,
,,2017 - 2018,8.0,14.0,1.75,,,,,,,,,
,Navsari,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,200.0,300.0,1.5,,,,,,,,,
,,2011 - 2012,200.0,300.0,1.5,,,,,,,,,
,,2012 - 2013,100.0,200.0,2.0,,,,,,,,,
,,2013 - 2014,50.0,88.0,1.76,,,,,,,,,
,,2014 - 2015,54.0,98.0,1.81,,,,,,,,,
,,2015 - 2016,15.0,22.0,1.47,,,,,,,,,
,,2016 - 2017,10.0,18.0,1.8,,,,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,,,,
,Panch mahals,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,400.0,500.0,1.25,,,,,,,,,
,,2002 - 2003,500.0,600.0,1.2,,,,,,,,,
,,2003 - 2004,200.0,300.0,1.5,,,,,,,,,
,,2004 - 2005,300.0,400.0,1.33,,,,,,,,,
,,2005 - 2006,300.0,500.0,1.67,,,,,,,,,
,,2006 - 2007,300.0,400.0,1.33,,,,,,,,,
,,2007 - 2008,400.0,600.0,1.5,,,,,,,,,
,,2008 - 2009,300.0,300.0,1.0,,,,,,,,,
,,2009 - 2010,300.0,500.0,1.67,,,,,,,,,
,,2010 - 2011,200.0,300.0,1.5,,,,,,,,,
,,2011 - 2012,200.0,400.0,2.0,,,,,,,,,
,,2012 - 2013,300.0,500.0,1.67,,,,,,,,,
,,2013 - 2014,416.0,734.0,1.76,,,,,,,,,
,,2015 - 2016,235.0,342.0,1.46,,,,,,,,,
,,2016 - 2017,274.0,485.0,1.77,,,,,,,,,
,,2017 - 2018,190.0,344.0,1.81,,,,,,,,,
,,2018 - 2019,120.0,214.0,1.78,,,,,,,,,
,,2019 - 2020,101.0,195.0,1.93,,,,,,,,,
,,2020 - 2021,270.0,533.0,1.97,,,,,,,,,
,,2021 - 2022,118.0,235.0,1.99,,,,,,,,,
,,2022 - 2023,466.0,916.0,1.97,,,,,,,,,
,Patan,2003 - 2004,,,1.45,,,,,,,,,
,,2004 - 2005,,,1.32,,,,,,,,,
,,2005 - 2006,,,1.43,,,,,,,,,
,,2006 - 2007,,,1.19,,,,,,,,,
,,2007 - 2008,,,1.59,,,,,,,,,
,,2008 - 2009,,,1.14,,,,,,,,,
,,2009 - 2010,,,1.54,,,,,,,,,
,,2010 - 2011,,,1.56,,,,,,,,,
,,2011 - 2012,,,1.63,,,,,,,,,
,,2012 - 2013,,,1.52,,,,,,,,,
,,2013 - 2014,,,1.77,,,,,,,,,
,,2014 - 2015,,,1.63,,,,,,,,,
,,2015 - 2016,,,1.47,,,,,,,,,
,,2016 - 2017,,,1.63,,,,,,,,,
,,2017 - 2018,,,1.48,,,,,,,,,
,,2018 - 2019,,,1.55,,,,,,,,,
,,2019 - 2020,,,1.44,,,,,,,,,
,,2020 - 2021,,,1.74,,,,,,,,,
,,2021 - 2022,,,1.67,,,,,,,,,
,,2022 - 2023,,,1.63,,,,,,,,,
,Porbandar,2003 - 2004,300.0,400.0,1.33,,,,,,,,,
,,2004 - 2005,500.0,600.0,1.2,,,,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,100.0,200.0,2.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,Rajkot,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,200.0,300.0,1.5,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,800.0,,1.38,,,,,,,,,
,,2004 - 2005,,,1.36,,,,,,,,,
,,2005 - 2006,,,1.5,,,,,,,,,
,,2006 - 2007,400.0,500.0,1.25,,,,,,,,,
,,2007 - 2008,300.0,500.0,1.67,,,,,,,,,
,,2008 - 2009,200.0,200.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,500.0,700.0,1.4,,,,,,,,,
,,2011 - 2012,500.0,800.0,1.6,,,,,,,,,
,,2012 - 2013,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,122.0,215.0,1.76,,,,,,,,,
,,2014 - 2015,10.0,18.0,1.8,,,,,,,,,
,,2015 - 2016,35.0,51.0,1.46,,,,,,,,,
,,2016 - 2017,17.0,30.0,1.76,,,,,,,,,
,,2017 - 2018,19.0,34.0,1.79,,,,,,,,,
,,2021 - 2022,235.0,469.0,2.0,,,,,,,,,
,,2022 - 2023,224.0,440.0,1.96,,,,,,,,,
,Sabar kantha,2000 - 2001,,,1.28,,,,,,,,,
,,2001 - 2002,,,0.84,,,,,,,,,
,,2002 - 2003,,,0.48,,,,,,,,,
,,2003 - 2004,,,1.45,,,,,,,,,
,,2004 - 2005,,,1.39,,,,,,,,,
,,2005 - 2006,,,1.57,,,,,,,,,
,,2006 - 2007,,,1.23,,,,,,,,,
,,2007 - 2008,,,1.46,,,,,,,,,
,,2008 - 2009,,,1.14,,,,,,,,,
,,2009 - 2010,,,1.59,,,,,,,,,
,,2010 - 2011,,,1.57,,,,,,,,,
,,2011 - 2012,,,1.58,,,,,,,,,
,,2012 - 2013,,,1.65,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,,,1.3,,,,,,,,,
,,2015 - 2016,,,1.18,,,,,,,,,
,,2016 - 2017,,,1.62,,,,,,,,,
,,2017 - 2018,577.0,,1.81,,,,,,,,,
,,2018 - 2019,,,1.78,,,,,,,,,
,,2019 - 2020,544.0,,1.93,,,,,,,,,
,,2020 - 2021,,,1.98,,,,,,,,,
,,2021 - 2022,,,2.0,,,,,,,,,
,,2022 - 2023,,,1.96,,,,,,,,,
,Surat,2002 - 2003,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,100.0,200.0,2.0,,,,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,,,,
,,2011 - 2012,200.0,300.0,1.5,,,,,,,,,
,,2013 - 2014,44.0,78.0,1.77,,,,,,,,,
,,2014 - 2015,23.0,42.0,1.83,,,,,,,,,
,,2015 - 2016,372.0,541.0,1.45,,,,,,,,,
,,2016 - 2017,88.0,156.0,1.77,,,,,,,,,
,,2017 - 2018,32.0,58.0,1.81,,,,,,,,,
,,2018 - 2019,14.0,25.0,1.79,,,,,,,,,
,,2019 - 2020,54.0,104.0,1.93,,,,,,,,,
,,2020 - 2021,25.0,49.0,1.96,,,,,,,,,
,,2021 - 2022,69.0,138.0,2.0,,,,,,,,,
,,2022 - 2023,26.0,51.0,1.96,,,,,,,,,
,Surendranagar,2000 - 2001,200.0,300.0,1.5,,,,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,200.0,200.0,1.0,,,,,,,,,
,,2003 - 2004,400.0,600.0,1.5,,,,,,,,,
,,2004 - 2005,400.0,600.0,1.5,,,,,,,,,
,,2005 - 2006,200.0,300.0,1.5,,,,,,,,,
,,2006 - 2007,,,1.21,,,,,,,,,
,,2007 - 2008,,,1.7,,,,,,,,,
,,2008 - 2009,,,1.18,,,,,,,,,
,,2009 - 2010,700.0,,1.57,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,
,,2011 - 2012,,,1.5,,,,,,,,,
,,2012 - 2013,300.0,500.0,1.67,,,,,,,,,
,,2013 - 2014,,,1.76,,,,,,,,,
,,2014 - 2015,,,1.82,,,,,,,,,
,,2015 - 2016,,,1.45,,,,,,,,,
,,2016 - 2017,761.0,,1.77,,,,,,,,,
,,2017 - 2018,631.0,,1.61,,,,,,,,,
,,2018 - 2019,,,1.78,,,,,,,,,
,,2019 - 2020,662.0,,1.93,,,,,,,,,
,,2020 - 2021,,,1.85,,,,,,,,,
,,2021 - 2022,,,1.96,,,,,,,,,
,,2022 - 2023,,,1.98,,,,,,,,,
,Vadodara,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,400.0,500.0,1.25,,,,,,,,,
,,2003 - 2004,200.0,400.0,2.0,,,,,,,,,
,,2004 - 2005,100.0,200.0,2.0,,,,,,,,,
,,2005 - 2006,600.0,,1.67,,,,,,,,,
,,2006 - 2007,500.0,600.0,1.2,,,,,,,,,
,,2007 - 2008,700.0,,1.57,,,,,,,,,
,,2008 - 2009,200.0,200.0,1.0,,,,,,,,,
,,2009 - 2010,200.0,300.0,1.5,,,,,,,,,
,,2010 - 2011,300.0,500.0,1.67,,,,,,,,,
,,2011 - 2012,400.0,700.0,1.75,,,,,,,,,
,,2012 - 2013,300.0,500.0,1.67,,,,,,,,,
,,2013 - 2014,315.0,556.0,1.77,,,,,,,,,
,,2014 - 2015,69.0,126.0,1.83,,,,,,,,,
,,2015 - 2016,90.0,131.0,1.46,,,,,,,,,
,,2016 - 2017,70.0,124.0,1.77,,,,,,,,,
,,2017 - 2018,87.0,157.0,1.8,,,,,,,,,
,,2018 - 2019,67.0,120.0,1.79,,,,,,,,,
,,2019 - 2020,9.0,17.0,1.89,,,,,,,,,
,,2020 - 2021,12.0,24.0,2.0,,,,,,,,,
,,2021 - 2022,100.0,200.0,2.0,,,,,,,,,
,,2022 - 2023,95.0,187.0,1.97,,,,,,,,,
,Valsad,2013 - 2014,5.0,9.0,1.8,,,,,,,,,
,,2014 - 2015,1.0,2.0,2.0,,,,,,,,,
Haryana,Ambala,2000 - 2001,,,0.71,,,,,,,,,
,,2001 - 2002,965.0,,1.04,,,,,,,,,
,,2002 - 2003,,,1.14,,,,,,,,,
,,2003 - 2004,,,0.83,,,,,,,,,
,,2004 - 2005,,,1.33,,,,,,,,,
,,2005 - 2006,,,0.89,,,,,,,,,
,,2006 - 2007,,,1.57,,,,,,,,,
,,2007 - 2008,877.0,,0.0,,,,,,,,,
,,2008 - 2009,,,0.97,,,,,,,,,
,,2010 - 2011,,,3.36,,,,,,,,,
,,2011 - 2012,,,1.25,,,,,,,,,
,,2012 - 2013,,,1.78,,,,,,,,,
,,2013 - 2014,,,2.0,,,,,,,,,
,,2014 - 2015,,,1.0,,,,,,,,,
,,2015 - 2016,,,2.0,,,,,,,,,
,,2016 - 2017,,,1.4,,,,,,,,,
,,2017 - 2018,,,2.11,,,,,,,,,
,,2018 - 2019,,,2.05,,,,,,,,,
,,2019 - 2020,,,1.7,,,,,,,,,
,,2020 - 2021,,,2.02,,,,,,,,,
,,2021 - 2022,,,1.79,,,,,,,,,
,,2022 - 2023,,,1.75,,,,,,,,,
,Bhiwani,2000 - 2001,,,1.21,,,,,,,,,
,,2001 - 2002,,,1.37,,,,,,,,,
,,2002 - 2003,,,1.16,,,,,,,,,
,,2003 - 2004,,,1.56,,,,,,,,,
,,2004 - 2005,,,1.08,,,,,,,,,
,,2005 - 2006,,,1.12,,,,,,,,,
,,2006 - 2007,,,1.29,,,,,,,,,
,,2007 - 2008,,,1.04,,,,,,,,,
,,2008 - 2009,,,1.53,,,,,,,,,
,,2010 - 2011,,,1.73,,,,,,,,,
,,2011 - 2012,,,1.2,,,,,,,,,
,,2012 - 2013,,,1.63,,,,,,,,,
,,2013 - 2014,,,1.52,,,,,,,,,
,,2014 - 2015,,,1.4,,,,,,,,,
,,2015 - 2016,,,1.46,,,,,,,,,
,,2016 - 2017,,,1.71,,,,,,,,,
,,2017 - 2018,,,1.85,,,,,,,,,
,,2018 - 2019,,,1.82,,,,,,,,,
,,2019 - 2020,,,1.51,,,,,,,,,
,,2020 - 2021,,,1.74,,,,,,,,,
,,2021 - 2022,,,1.76,,,,,,,,,
,,2022 - 2023,,,1.34,,,,,,,,,
,Charki dadri,2017 - 2018,,,1.9,,,,,,,,,
,,2018 - 2019,,,2.1,,,,,,,,,
,,2019 - 2020,,,1.74,,,,,,,,,
,,2020 - 2021,,,2.42,,,,,,,,,
,,2021 - 2022,,,1.92,,,,,,,,,
,,2022 - 2023,,,1.03,,,,,,,,,
,Faridabad,2000 - 2001,,,1.58,,,,,,,,,
,,2001 - 2002,,,1.98,,,,,,,,,
,,2002 - 2003,,,1.39,,,,,,,,,
,,2003 - 2004,,,1.63,,,,,,,,,
,,2004 - 2005,,,1.15,,,,,,,,,
,,2005 - 2006,,,1.62,,,,,,,,,
,,2006 - 2007,,,1.42,,,,,,,,,
,,2007 - 2008,,,1.43,,,,,,,,,
,,2008 - 2009,845.0,,2.37,,,,,,,,,
,,2010 - 2011,935.0,,2.14,,,,,,,,,
,,2011 - 2012,746.0,,2.68,,,,,,,,,
,,2012 - 2013,590.0,,1.69,,,,,,,,,
,,2013 - 2014,,,2.0,,,,,,,,,
,,2016 - 2017,200.0,400.0,2.0,,,,,,,,,
,,2017 - 2018,400.0,800.0,2.0,,,,,,,,,
,,2018 - 2019,600.0,,1.83,,,,,,,,,
,,2019 - 2020,600.0,,1.67,,,,,,,,,
,,2020 - 2021,600.0,,1.67,,,,,,,,,
,,2021 - 2022,,,1.98,,,,,,,,,
,,2022 - 2023,,,1.77,,,,,,,,,
,Fatehabad,2000 - 2001,,,1.52,,,,,,,,,
,,2001 - 2002,,,1.42,,,,,,,,,
,,2002 - 2003,,,1.07,,,,,,,,,
,,2003 - 2004,,,1.65,,,,,,,,,
,,2004 - 2005,,,1.14,,,,,,,,,
,,2005 - 2006,,,1.47,,,,,,,,,
,,2006 - 2007,,,1.48,,,,,,,,,
,,2007 - 2008,,,1.39,,,,,,,,,
,,2008 - 2009,,,1.71,,,,,,,,,
,,2010 - 2011,,,2.03,,,,,,,,,
,,2011 - 2012,,,1.93,,,,,,,,,
,,2012 - 2013,,,1.59,,,,,,,,,
,,2013 - 2014,,,1.83,,,,,,,,,
,,2014 - 2015,,,1.5,,,,,,,,,
,,2015 - 2016,,,1.36,,,,,,,,,
,,2016 - 2017,,,1.65,,,,,,,,,
,,2017 - 2018,,,1.93,,,,,,,,,
,,2018 - 2019,,,2.12,,,,,,,,,
,,2019 - 2020,,,1.75,,,,,,,,,
,,2020 - 2021,,,1.81,,,,,,,,,
,,2021 - 2022,,,1.81,,,,,,,,,
,,2022 - 2023,,,1.76,,,,,,,,,
,Gurgaon,2000 - 2001,,,1.5,,,,,,,,,
,,2001 - 2002,,,1.58,,,,,,,,,
