state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2022 - 2023,,,0.7,,,,,,,,,
,Barpeta,2000 - 2001,,,0.59,,,,,,,,,
,,2001 - 2002,,,0.33,,,,,,,,,
,,2002 - 2003,,,0.53,,,,,,,,,
,,2003 - 2004,,,0.62,,,,,,,,,
,,2004 - 2005,,,0.56,,,,,,,,,
,,2005 - 2006,,,0.29,,,,,,,,,
,,2006 - 2007,,,0.46,,,,,,,,,
,,2007 - 2008,,,0.53,,,,,,,,,
,,2008 - 2009,,,0.58,,,,,,,,,
,,2009 - 2010,,,0.52,,,,,,,,,
,,2010 - 2011,,,0.44,,,,,,,,,
,,2011 - 2012,,,0.65,,,,,,,,,
,,2012 - 2013,,,0.82,,,,,,,,,
,,2013 - 2014,,,0.54,,,,,,,,,
,,2014 - 2015,,,0.54,,,,,,,,,
,,2015 - 2016,,,0.68,,,,,,,,,
,,2016 - 2017,,,0.67,,,,,,,,,
,,2017 - 2018,,,0.69,,,,,,,,,
,,2018 - 2019,,,0.64,,,,,,,,,
,,2019 - 2020,,,0.69,,,,,,,,,
,,2020 - 2021,,,0.69,,,,,,,,,
,,2021 - 2022,,,0.65,,,,,,,,,
,,2022 - 2023,,,0.73,,,,,,,,,
,Biswanath,2020 - 2021,,,0.44,,,,,,,,,
,,2021 - 2022,,,0.39,,,,,,,,,
,,2022 - 2023,,,0.67,,,,,,,,,
,Bongaigaon,2000 - 2001,,,0.55,,,,,,,,,
,,2001 - 2002,,,0.64,,,,,,,,,
,,2002 - 2003,,,0.6,,,,,,,,,
,,2003 - 2004,,,0.53,,,,,,,,,
,,2004 - 2005,,,0.69,,,,,,,,,
,,2005 - 2006,,,0.5,,,,,,,,,
,,2006 - 2007,,,0.67,,,,,,,,,
,,2007 - 2008,,,0.47,,,,,,,,,
,,2008 - 2009,,,0.64,,,,,,,,,
,,2009 - 2010,,,0.59,,,,,,,,,
,,2010 - 2011,,,0.67,,,,,,,,,
,,2011 - 2012,,,0.69,,,,,,,,,
,,2012 - 2013,,,0.57,,,,,,,,,
,,2013 - 2014,,,0.63,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,
,,2015 - 2016,,,0.46,,,,,,,,,
,,2016 - 2017,,,0.52,,,,,,,,,
,,2017 - 2018,,,0.52,,,,,,,,,
,,2018 - 2019,,,0.54,,,,,,,,,
,,2019 - 2020,,,0.64,,,,,,,,,
