state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2021 - 2022,,,0.51,19.0,15.0,0.79,,,,,,,,,,,,
,,2022 - 2023,,,0.49,,,,,,,,,,,,,,,
,Dharmapuri,2000 - 2001,,,,,,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,,604.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,,472.0,0.44,,,,,,,,,,,,
,,2005 - 2006,,,,279.0,110.0,0.39,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,357.0,200.0,0.56,,,,,,
,,2007 - 2008,,,,,,,,,,297.0,211.0,0.71,,,,,,
,,2008 - 2009,,,,,,,,,,538.0,122.0,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,552.0,190.0,0.34,,,,,,
,,2010 - 2011,,,,694.0,435.0,0.63,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.71,,,,,,
,,2012 - 2013,,,,519.0,139.0,0.27,,,,,,,,,,,,
,,2013 - 2014,103.0,83.0,0.81,,,0.56,,,,,,,,,,,,
,,2014 - 2015,129.0,104.0,0.81,,,0.63,,,,,,,,,,,,
,,2015 - 2016,35.0,18.0,0.51,,,0.6,,,,,,,,,,,,
,,2016 - 2017,6.0,1.0,0.17,982.0,408.0,0.42,,,,,,,,,,,,
,,2017 - 2018,18.0,7.0,0.39,,,0.82,,,,,,,,,,,,
,,2018 - 2019,125.0,51.0,0.41,,,0.71,,,,,,,,,,,,
,,2019 - 2020,13.0,6.0,0.46,,,0.77,,,,,,,,,,,,
,,2020 - 2021,83.0,23.0,0.28,,,0.79,,,,,,,,,,,,
,,2021 - 2022,8.0,3.0,0.38,,,0.69,,,,,,,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,0.69,,,,,,,,,,,,
,Dindigul,2000 - 2001,,,,,,0.58,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.59,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.29,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.58,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.51,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.46,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.51,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.42,,,,,,
,,2008 - 2009,,,,,,,,,,,,0.49,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.76,,,,,,
,,2010 - 2011,,,,,,0.59,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.68,,,,,,
,,2012 - 2013,,,,,554.0,0.25,,,,,,,,,,,,
,,2013 - 2014,,,0.57,293.0,165.0,0.56,,,,,,,,,,,,
,,2014 - 2015,,,0.59,395.0,250.0,0.63,,,,,,,,,,,,
,,2015 - 2016,,,0.58,63.0,50.0,0.79,,,,,,,,,,,,
,,2016 - 2017,,103.0,0.05,52.0,42.0,0.81,,,,,,,,,,,,
,,2017 - 2018,,,0.7,345.0,210.0,0.61,,,,,,,,,,,,
,,2018 - 2019,,792.0,0.6,59.0,40.0,0.68,,,,,,,,,,,,
,,2019 - 2020,,864.0,0.71,67.0,39.0,0.58,,,,,,,,,,,,
,,2020 - 2021,930.0,552.0,0.59,97.0,85.0,0.88,,,,,,,,,,,,
,,2021 - 2022,,561.0,0.52,27.0,22.0,0.81,,,,,,,,,,,,
,,2022 - 2023,527.0,303.0,0.57,35.0,28.0,0.8,,,,,,,,,,,,
,Erode,2000 - 2001,,,,,,0.52,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.42,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.44,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.57,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.54,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.47,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.55,,,,,,
,,2009 - 2010,,,,,,,,,,695.0,240.0,0.35,,,,,,
,,2010 - 2011,,,,636.0,97.0,0.15,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,521.0,360.0,0.69,,,,,,
,,2012 - 2013,,,,340.0,90.0,0.26,,,,,,,,,,,,
,,2013 - 2014,99.0,80.0,0.81,262.0,147.0,0.56,,,,,,,,,,,,
,,2014 - 2015,70.0,57.0,0.81,373.0,236.0,0.63,,,,,,,,,,,,
,,2015 - 2016,95.0,50.0,0.53,546.0,433.0,0.79,,,,,,,,,,,,
,,2016 - 2017,8.0,2.0,0.25,485.0,392.0,0.81,,,,,,,,,,,,
,,2017 - 2018,72.0,29.0,0.4,411.0,250.0,0.61,,,,,,,,,,,,
,,2018 - 2019,39.0,16.0,0.41,429.0,289.0,0.67,,,,,,,,,,,,
,,2019 - 2020,59.0,25.0,0.42,457.0,262.0,0.57,,,,,,,,,,,,
,,2020 - 2021,34.0,10.0,0.29,573.0,501.0,0.87,,,,,,,,,,,,
,,2021 - 2022,60.0,19.0,0.32,600.0,488.0,0.81,,,,,,,,,,,,
,,2022 - 2023,20.0,6.0,0.3,622.0,494.0,0.79,,,,,,,,,,,,
,Kallakurichi,2020 - 2021,15.0,4.0,0.27,4.0,3.0,0.75,,,,,,,,,,,,
,,2021 - 2022,13.0,4.0,0.31,,,,,,,,,,,,,,,
,Kanchipuram,2000 - 2001,,,,,,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,351.0,150.0,0.43,,,,,,,,,,,,
,,2002 - 2003,,,,309.0,132.0,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,,512.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,668.0,266.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,562.0,189.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,146.0,140.0,0.96,,,,,,
,,2007 - 2008,,,,,,,,,,108.0,63.0,0.58,,,,,,
,,2008 - 2009,,,,,,,,,,28.0,6.0,0.21,,,,,,
,,2009 - 2010,,,,,,,,,,60.0,21.0,0.35,,,,,,
,,2010 - 2011,,,,554.0,224.0,0.4,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,300.0,151.0,0.5,,,,,,
,,2012 - 2013,,,,314.0,89.0,0.28,,,,,,,,,,,,
,,2013 - 2014,242.0,195.0,0.81,259.0,146.0,0.56,,,,,,,,,,,,
,,2014 - 2015,175.0,141.0,0.81,216.0,137.0,0.63,,,,,,,,,,,,
,,2015 - 2016,179.0,94.0,0.53,263.0,209.0,0.79,,,,,,,,,,,,
,,2016 - 2017,148.0,35.0,0.24,390.0,315.0,0.81,,,,,,,,,,,,
,,2017 - 2018,236.0,94.0,0.4,181.0,110.0,0.61,,,,,,,,,,,,
,,2018 - 2019,529.0,217.0,0.41,70.0,47.0,0.67,,,,,,,,,,,,
,,2019 - 2020,361.0,153.0,0.42,177.0,102.0,0.58,,,,,,,,,,,,
,,2020 - 2021,470.0,132.0,0.28,8.0,7.0,0.88,,,,,,,,,,,,
,,2021 - 2022,450.0,146.0,0.32,2.0,3.0,1.5,,,,,,,,,,,,
,,2022 - 2023,384.0,118.0,0.31,5.0,4.0,0.8,,,,,,,,,,,,
,Kanniyakumari,2000 - 2001,,,,23.0,11.0,0.48,,,,,,,,,,,,
,,2001 - 2002,,,,7.0,0.1,0.01,,,,,,,,,,,,
,,2002 - 2003,,,,45.0,19.0,0.42,,,,,,,,,,,,
,,2003 - 2004,,,,55.0,23.0,0.42,,,,,,,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,2.0,1.0,0.5,,,,,,
,,2007 - 2008,,,,,,,,,,2.0,1.0,0.5,,,,,,
,,2008 - 2009,,,,,,,,,,2.0,,0.0,,,,,,
,,2009 - 2010,,,,,,,,,,2.0,1.0,0.5,,,,,,
,,2014 - 2015,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,3.0,2.0,0.67,,,,,,,,,,,,
,,2020 - 2021,,,,2.0,2.0,1.0,,,,,,,,,,,,
,Karur,2000 - 2001,,,,,,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,48.0,20.0,0.42,,,,,,,,,,,,
,,2002 - 2003,,,,28.0,12.0,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,94.0,40.0,0.43,,,,,,,,,,,,
,,2004 - 2005,,,,117.0,47.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,320.0,107.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,23.0,13.0,0.57,,,,,,
,,2007 - 2008,,,,,,,,,,120.0,35.0,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,49.0,11.0,0.22,,,,,,
,,2009 - 2010,,,,,,,,,,75.0,26.0,0.35,,,,,,
,,2010 - 2011,,,,95.0,53.0,0.56,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,726.0,424.0,0.58,,,,,,
,,2012 - 2013,,,,179.0,47.0,0.26,,,,,,,,,,,,
,,2013 - 2014,175.0,141.0,0.81,262.0,147.0,0.56,,,,,,,,,,,,
,,2014 - 2015,173.0,140.0,0.81,410.0,259.0,0.63,,,,,,,,,,,,
,,2015 - 2016,420.0,220.0,0.52,277.0,220.0,0.79,,,,,,,,,,,,
,,2016 - 2017,68.0,16.0,0.24,87.0,70.0,0.8,,,,,,,,,,,,
,,2017 - 2018,431.0,172.0,0.4,53.0,32.0,0.6,,,,,,,,,,,,
,,2018 - 2019,294.0,120.0,0.41,3.0,2.0,0.67,,,,,,,,,,,,
,,2019 - 2020,243.0,103.0,0.42,35.0,20.0,0.57,,,,,,,,,,,,
,,2020 - 2021,253.0,71.0,0.28,6.0,6.0,1.0,,,,,,,,,,,,
,,2021 - 2022,265.0,86.0,0.32,10.0,8.0,0.8,,,,,,,,,,,,
,,2022 - 2023,411.0,125.0,0.3,,,,,,,,,,,,,,,
,Krishnagiri,2004 - 2005,,,,614.0,243.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,683.0,248.0,0.36,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,682.0,394.0,0.58,,,,,,
,,2007 - 2008,,,,,,,,,,564.0,231.0,0.41,,,,,,
,,2008 - 2009,,,,,,,,,,580.0,131.0,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,669.0,231.0,0.35,,,,,,
,,2010 - 2011,,,,790.0,488.0,0.62,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.7,,,,,,
,,2012 - 2013,,,,,473.0,0.26,,,,,,,,,,,,
,,2013 - 2014,82.0,66.0,0.8,,,0.56,,,,,,,,,,,,
,,2014 - 2015,580.0,469.0,0.81,870.0,553.0,0.64,,,,,,,,,,,,
,,2015 - 2016,693.0,362.0,0.52,701.0,505.0,0.72,,,,,,,,,,,,
,,2016 - 2017,561.0,134.0,0.24,421.0,193.0,0.46,,,,,,,,,,,,
,,2017 - 2018,485.0,194.0,0.4,576.0,389.0,0.68,,,,,,,,,,,,
,,2018 - 2019,382.0,156.0,0.41,,749.0,0.62,,,,,,,,,,,,
,,2019 - 2020,395.0,168.0,0.43,,757.0,0.57,,,,,,,,,,,,
,,2020 - 2021,131.0,37.0,0.28,986.0,863.0,0.88,,,,,,,,,,,,
,,2021 - 2022,345.0,112.0,0.32,850.0,691.0,0.81,,,,,,,,,,,,
,,2022 - 2023,199.0,61.0,0.31,638.0,506.0,0.79,,,,,,,,,,,,
,Madurai,2000 - 2001,,,,,,0.3,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.4,,,,,,,,,,,,
,,2003 - 2004,,,,,391.0,0.08,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.43,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.71,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.33,,,,,,
,,2007 - 2008,,,,,,,,,,,581.0,0.14,,,,,,
,,2008 - 2009,,,,,,,,,,,655.0,0.22,,,,,,
,,2009 - 2010,,,,,,,,,,,663.0,0.22,,,,,,
,,2010 - 2011,,,,,913.0,0.27,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.59,,,,,,
,,2012 - 2013,,,,,629.0,0.38,,,,,,,,,,,,
,,2013 - 2014,485.0,391.0,0.81,,,0.82,,,,,,,,,,,,
,,2014 - 2015,695.0,562.0,0.81,,,0.57,,,,,,,,,,,,
,,2015 - 2016,927.0,485.0,0.52,,,0.73,,,,,,,,,,,,
,,2016 - 2017,,283.0,0.24,,,0.62,,,,,,,,,,,,
,,2017 - 2018,477.0,190.0,0.4,,,0.76,,,,,,,,,,,,
,,2018 - 2019,446.0,183.0,0.41,,,0.47,,,,,,,,,,,,
,,2019 - 2020,476.0,202.0,0.42,,,0.45,,,,,,,,,,,,
,,2020 - 2021,185.0,52.0,0.28,,,0.6,,,,,,,,,,,,
,,2021 - 2022,666.0,216.0,0.32,,,0.67,,,,,,,,,,,,
,,2022 - 2023,382.0,117.0,0.31,,906.0,0.46,,,,,,,,,,,,
,Mayiladuthurai,2020 - 2021,,,0.39,7.0,6.0,0.86,,,,,,,,,,,,
,,2021 - 2022,,,0.26,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.21,,,,,,,,,,,,,,,
,Nagapattinam,2000 - 2001,,,,,,0.27,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.23,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.37,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.33,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.24,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.2,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.66,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.05,,,,,,
,,2008 - 2009,,,,,,,,,,,,0.08,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.28,,,,,,
,,2010 - 2011,,,,,,0.31,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.34,,,,,,
,,2012 - 2013,,,,,,0.24,,,,,,,,,,,,
,,2013 - 2014,,,0.87,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.56,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.45,5.0,4.0,0.8,,,,,,,,,,,,
,,2016 - 2017,,,0.21,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.44,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.34,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.43,3.0,2.0,0.67,,,,,,,,,,,,
,,2020 - 2021,,,0.24,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.1,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.17,2.0,1.0,0.5,,,,,,,,,,,,
,Namakkal,2000 - 2001,,,,,,0.73,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.96,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.55,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.73,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.52,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.71,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.81,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.75,,,,,,
,,2008 - 2009,,,,,,,,,,,,0.79,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.54,,,,,,
,,2010 - 2011,,,,,,0.41,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.64,,,,,,
,,2012 - 2013,,,,,559.0,0.07,,,,,,,,,,,,
,,2013 - 2014,,763.0,0.62,,671.0,0.14,,,,,,,,,,,,
,,2014 - 2015,932.0,762.0,0.82,,,0.44,,,,,,,,,,,,
,,2015 - 2016,,,0.52,,,0.72,,,,,,,,,,,,
,,2016 - 2017,,255.0,0.24,,,0.83,,,,,,,,,,,,
,,2017 - 2018,649.0,259.0,0.4,,890.0,0.15,,,,,,,,,,,,
,,2018 - 2019,568.0,233.0,0.41,,,0.43,,,,,,,,,,,,
,,2019 - 2020,551.0,234.0,0.42,,,0.46,,,,,,,,,,,,
,,2020 - 2021,,295.0,0.28,,,0.87,,,,,,,,,,,,
,,2021 - 2022,624.0,203.0,0.33,,,0.71,,,,,,,,,,,,
,,2022 - 2023,686.0,210.0,0.31,,,0.87,,,,,,,,,,,,
,Perambalur,2000 - 2001,,,,,531.0,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,330.0,140.0,0.42,,,,,,,,,,,,
,,2002 - 2003,,,,149.0,63.0,0.42,,,,,,,,,,,,
,,2003 - 2004,,,,231.0,98.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,254.0,101.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,108.0,36.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,103.0,59.0,0.57,,,,,,
,,2007 - 2008,,,,,,,,,,59.0,17.0,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,15.0,12.0,0.8,,,,,,
,,2009 - 2010,,,,,,,,,,22.0,8.0,0.36,,,,,,
,,2010 - 2011,,,,22.0,14.0,0.64,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,20.0,14.0,0.7,,,,,,
,,2012 - 2013,,,,19.0,5.0,0.26,,,,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,5.0,3.0,0.6,,,,,,,,,,,,
,,2014 - 2015,4.0,3.0,0.75,3.0,2.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,,4.0,3.0,0.75,,,,,,,,,,,,
,,2017 - 2018,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,,,,,,,
,,2019 - 2020,6.0,2.0,0.33,3.0,2.0,0.67,,,,,,,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,,,,,,,,,,
,,2021 - 2022,6.0,2.0,0.33,5.0,4.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,,5.0,4.0,0.8,,,,,,,,,,,,
,Pudukkottai,2000 - 2001,,,,,478.0,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,37.0,20.0,0.54,,,,,,,,,,,,
,,2002 - 2003,,,,113.0,48.0,0.42,,,,,,,,,,,,
,,2003 - 2004,,,,111.0,47.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,220.0,88.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,79.0,27.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,103.0,59.0,0.57,,,,,,
,,2007 - 2008,,,,,,,,,,127.0,37.0,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,102.0,23.0,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,128.0,44.0,0.34,,,,,,
,,2010 - 2011,,,,116.0,72.0,0.62,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,34.0,22.0,0.65,,,,,,
,,2012 - 2013,,,,24.0,6.0,0.25,,,,,,,,,,,,
,,2013 - 2014,,,,16.0,9.0,0.56,,,,,,,,,,,,
,,2014 - 2015,3.0,2.0,0.67,9.0,6.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,,10.0,8.0,0.8,,,,,,,,,,,,
,,2016 - 2017,2.0,,0.0,8.0,6.0,0.75,,,,,,,,,,,,
,,2017 - 2018,3.0,1.0,0.33,1.0,1.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,13.0,5.0,0.38,83.0,47.0,0.57,,,,,,,,,,,,
,,2020 - 2021,3.0,1.0,0.33,19.0,17.0,0.89,,,,,,,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,4.0,3.0,0.75,,,,,,,,,,,,
,Ramanathapuram,2000 - 2001,,,,111.0,52.0,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,88.0,40.0,0.45,,,,,,,,,,,,
,,2002 - 2003,,,,84.0,36.0,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,390.0,165.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,161.0,64.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,118.0,40.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,383.0,221.0,0.58,,,,,,
,,2007 - 2008,,,,,,,,,,318.0,93.0,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,182.0,41.0,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,415.0,143.0,0.34,,,,,,
,,2010 - 2011,,,,482.0,134.0,0.28,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,467.0,224.0,0.48,,,,,,
,,2012 - 2013,,,,442.0,128.0,0.29,,,,,,,,,,,,
,,2013 - 2014,378.0,305.0,0.81,,,,,,,,,,,,,,,
,,2014 - 2015,594.0,481.0,0.81,,,,,,,,,,,,,,,
,,2015 - 2016,482.0,252.0,0.52,,,,,,,,,,,,,,,
,,2016 - 2017,440.0,105.0,0.24,,,,,,,,,,,,,,,
,,2017 - 2018,300.0,120.0,0.4,,,,,,,,,,,,,,,
,,2018 - 2019,214.0,87.0,0.41,,,,,,,,,,,,,,,
,,2019 - 2020,186.0,79.0,0.42,1.0,,0.0,,,,,,,,,,,,
,,2020 - 2021,308.0,87.0,0.28,,,,,,,,,,,,,,,
,,2021 - 2022,641.0,208.0,0.32,,,,,,,,,,,,,,,
,,2022 - 2023,161.0,49.0,0.3,5.0,4.0,0.8,,,,,,,,,,,,
,Ranipet,2020 - 2021,778.0,219.0,0.28,332.0,291.0,0.88,,,,,,,,,,,,
,,2021 - 2022,950.0,308.0,0.32,285.0,232.0,0.81,,,,,,,,,,,,
,,2022 - 2023,486.0,148.0,0.3,398.0,315.0,0.79,,,,,,,,,,,,
,Salem,2000 - 2001,,,,,,0.78,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.76,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.47,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.46,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.68,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.56,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.59,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.65,,,,,,
,,2008 - 2009,,,,,,,,,,,,0.56,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.55,,,,,,
,,2010 - 2011,,,,,,0.91,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.73,,,,,,
,,2012 - 2013,,,,,,0.35,,,,,,,,,,,,
,,2013 - 2014,,917.0,0.81,,,0.82,,,,,,,,,,,,
,,2014 - 2015,851.0,689.0,0.81,,,0.77,,,,,,,,,,,,
,,2015 - 2016,,736.0,0.52,,,0.88,,,,,,,,,,,,
,,2016 - 2017,616.0,147.0,0.24,,,0.9,,,,,,,,,,,,
,,2017 - 2018,946.0,377.0,0.4,,,0.75,,,,,,,,,,,,
,,2018 - 2019,,504.0,0.41,,,0.87,,,,,,,,,,,,
,,2019 - 2020,926.0,393.0,0.42,,,0.62,,,,,,,,,,,,
,,2020 - 2021,923.0,260.0,0.28,,,1.08,,,,,,,,,,,,
,,2021 - 2022,,421.0,0.32,,,0.99,,,,,,,,,,,,
,,2022 - 2023,,399.0,0.31,,,0.94,,,,,,,,,,,,
,Sivaganga,2000 - 2001,,,,540.0,252.0,0.47,,,,,,,,,,,,
,,2001 - 2002,,,,92.0,40.0,0.43,,,,,,,,,,,,
,,2002 - 2003,,,,46.0,20.0,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,107.0,45.0,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,99.0,39.0,0.39,,,,,,,,,,,,
,,2005 - 2006,,,,108.0,36.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,138.0,80.0,0.58,,,,,,
,,2007 - 2008,,,,,,,,,,52.0,15.0,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,45.0,10.0,0.22,,,,,,
,,2009 - 2010,,,,,,,,,,20.0,7.0,0.35,,,,,,
,,2010 - 2011,,,,22.0,12.0,0.55,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,44.0,30.0,0.68,,,,,,
,,2012 - 2013,,,,32.0,8.0,0.25,,,,,,,,,,,,
,,2013 - 2014,23.0,19.0,0.83,31.0,17.0,0.55,,,,,,,,,,,,
,,2014 - 2015,4.0,3.0,0.75,21.0,13.0,0.62,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,6.0,5.0,0.83,,,,,,,,,,,,
,,2016 - 2017,2.0,,0.0,11.0,9.0,0.82,,,,,,,,,,,,
,,2017 - 2018,7.0,3.0,0.43,17.0,10.0,0.59,,,,,,,,,,,,
,,2018 - 2019,,,,21.0,14.0,0.67,,,,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,31.0,18.0,0.58,,,,,,,,,,,,
,,2020 - 2021,7.0,2.0,0.29,14.0,13.0,0.93,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,14.0,11.0,0.79,,,,,,,,,,,,
,,2022 - 2023,6.0,2.0,0.33,1.0,1.0,1.0,,,,,,,,,,,,
,Thanjavur,2000 - 2001,,,,,,0.39,,,,,,,,,,,,
,,2001 - 2002,,,,,820.0,0.13,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.45,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.37,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.38,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.3,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,0.34,,,,,,
,,2007 - 2008,,,,,,,,,,,841.0,0.06,,,,,,
,,2008 - 2009,,,,,,,,,,,,0.21,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.33,,,,,,
,,2010 - 2011,,,,,,0.26,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,,,0.3,,,,,,
,,2012 - 2013,,,,889.0,382.0,0.43,,,,,,,,,,,,
,,2013 - 2014,,,0.76,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.21,12.0,8.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.46,13.0,10.0,0.77,,,,,,,,,,,,
,,2016 - 2017,,549.0,0.35,14.0,11.0,0.79,,,,,,,,,,,,
,,2017 - 2018,,,0.4,1.0,1.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,0.47,35.0,24.0,0.69,,,,,,,,,,,,
,,2019 - 2020,,610.0,0.46,3.0,2.0,0.67,,,,,,,,,,,,
,,2020 - 2021,580.0,228.0,0.39,22.0,19.0,0.86,,,,,,,,,,,,
,,2021 - 2022,,482.0,0.34,20.0,16.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,455.0,0.36,2.0,2.0,1.0,,,,,,,,,,,,
