state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2022 - 2023,37.0,35.0,0.95,11.0,4.0,0.36,,,,,,,,,,,,
,Nandyal,2022 - 2023,458.0,592.0,1.29,130.0,89.0,0.68,,,,,,,,,,,,
,Ntr,2022 - 2023,143.0,150.0,1.05,,,0.55,,,,,,,,,,,,
,Palnadu,2022 - 2023,275.0,226.0,0.82,63.0,51.0,0.81,,,,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,,,0.53,10.0,6.0,0.6,,,,,,,,,,,,
,Prakasam,2000 - 2001,,,0.79,,,0.41,,,,,,,,,,,,
,,2001 - 2002,,,0.76,,,0.33,,,,,,,,,,,,
,,2002 - 2003,,224.0,0.11,,,0.05,,,,,,,,,,,,
,,2003 - 2004,704.0,364.0,0.52,,,0.63,,,,,,,,,,,,
,,2004 - 2005,281.0,114.0,0.41,,,0.25,,,,,,,,,,,,
,,2005 - 2006,434.0,279.0,0.64,,,0.62,,,,,,,,,,,,
,,2006 - 2007,591.0,258.0,0.44,,,0.31,,,,,,,,,,,,
,,2007 - 2008,,,0.5,,,0.42,,,,,,,,,,,,
,,2008 - 2009,202.0,153.0,0.76,,,0.96,,,,,,,,,,,,
,,2009 - 2010,746.0,454.0,0.61,,,0.44,,,,,,,,,,,,
,,2010 - 2011,,960.0,0.64,,,0.26,,,,,,,,,,,,
,,2011 - 2012,916.0,432.0,0.47,,,0.39,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.33,,,,,,,,,,,,
,,2013 - 2014,688.0,588.0,0.85,,,0.4,,,,,,,,,,,,
,,2014 - 2015,,,0.81,514.0,278.0,0.54,,,,,,,,,,,,
,,2015 - 2016,,,0.73,,,0.92,,,,,,,,,,,,
,,2016 - 2017,440.0,165.0,0.38,,,0.54,,,,,,,,,,,,
,,2017 - 2018,190.0,28.0,0.15,,,0.39,,,,,,,,,,,,
,,2018 - 2019,647.0,232.0,0.36,,965.0,0.73,,,,,,,,,,,,
,,2019 - 2020,922.0,835.0,0.91,903.0,255.0,0.28,,,,,,,,,,,,
,,2020 - 2021,,,1.01,,,0.45,,,,,,,,,,,,
,,2021 - 2022,,,1.39,955.0,572.0,0.6,,,,,,,,,,,,
,,2022 - 2023,360.0,169.0,0.47,574.0,395.0,0.69,,,,,,,,,,,,
,Spsr nellore,2000 - 2001,,,0.33,943.0,419.0,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.69,296.0,143.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.68,,168.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.4,844.0,459.0,0.54,,,,,,,,,,,,
,,2004 - 2005,,,0.53,,495.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,,0.64,317.0,220.0,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.43,726.0,282.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.33,,,0.0,,,,,,,,,,,,
,,2008 - 2009,,706.0,0.34,75.0,30.0,0.4,,,,,,,,,,,,
,,2009 - 2010,,,0.53,116.0,21.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.45,,476.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.48,752.0,439.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,,0.67,,,0.0,,,,,,,,,,,,
,,2013 - 2014,,,0.9,195.0,80.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.82,231.0,155.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.52,,706.0,0.68,,,,,,,,,,,,
,,2016 - 2017,,,0.53,528.0,263.0,0.5,,,,,,,,,,,,
,,2017 - 2018,,583.0,0.51,98.0,66.0,0.67,,,,,,,,,,,,
,,2018 - 2019,,,0.8,93.0,46.0,0.49,,,,,,,,,,,,
,,2019 - 2020,,,0.68,38.0,25.0,0.66,,,,,,,,,,,,
,,2020 - 2021,,488.0,0.31,313.0,131.0,0.42,,,,,,,,,,,,
,,2021 - 2022,,,0.73,134.0,93.0,0.69,,,,,,,,,,,,
,,2022 - 2023,224.0,187.0,0.83,256.0,117.0,0.46,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,26.0,24.0,0.92,177.0,32.0,0.18,,,,,,,,,,,,
,Srikakulam,2000 - 2001,,,0.47,214.0,95.0,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.45,191.0,92.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.26,196.0,30.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.48,,,0.54,,,,,,,,,,,,
,,2004 - 2005,,,0.36,752.0,280.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,,0.34,,893.0,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.47,,498.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.5,,,0.5,,,,,,,,,,,,
,,2008 - 2009,,,0.39,,714.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,,0.4,,284.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.55,,397.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.61,,,0.58,,,,,,,,,,,,
,,2012 - 2013,,,0.5,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.58,,476.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.53,675.0,453.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.58,304.0,179.0,0.59,,,,,,,,,,,,
,,2016 - 2017,,,0.44,374.0,252.0,0.67,,,,,,,,,,,,
,,2017 - 2018,,,0.5,193.0,127.0,0.66,,,,,,,,,,,,
,,2018 - 2019,,,0.51,313.0,150.0,0.48,,,,,,,,,,,,
,,2019 - 2020,,,0.53,138.0,67.0,0.49,,,,,,,,,,,,
,,2020 - 2021,,,0.47,55.0,45.0,0.82,,,,,,,,,,,,
,,2021 - 2022,,,0.57,77.0,48.0,0.62,,,,,,,,,,,,
,,2022 - 2023,,,0.63,13.0,7.0,0.54,,,,,,,,,,,,
,Tirupati,2022 - 2023,68.0,64.0,0.94,4.0,2.0,0.5,,,,,,,,,,,,
,Visakhapatanam,2000 - 2001,,856.0,0.33,,,0.44,,,,,,,,,,,,
,,2001 - 2002,,765.0,0.3,,,0.48,,,,,,,,,,,,
,,2002 - 2003,,467.0,0.26,,363.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.34,,,0.54,,,,,,,,,,,,
,,2004 - 2005,,712.0,0.33,,791.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,605.0,0.3,,,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.37,,678.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.25,,,0.5,,,,,,,,,,,,
,,2008 - 2009,,,0.34,,677.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,785.0,0.4,,246.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.35,,374.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.6,,691.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,,0.75,,,0.0,,,,,,,,,,,,
,,2013 - 2014,,,0.62,990.0,407.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.82,,676.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.51,902.0,321.0,0.36,,,,,,,,,,,,
,,2016 - 2017,,,0.7,,553.0,0.54,,,,,,,,,,,,
,,2017 - 2018,,,0.43,713.0,411.0,0.58,,,,,,,,,,,,
,,2018 - 2019,,678.0,0.38,706.0,358.0,0.51,,,,,,,,,,,,
,,2019 - 2020,,998.0,0.38,425.0,159.0,0.37,,,,,,,,,,,,
,,2020 - 2021,,,0.38,334.0,158.0,0.47,,,,,,,,,,,,
,,2021 - 2022,,,0.43,199.0,107.0,0.54,,,,,,,,,,,,
,,2022 - 2023,28.0,29.0,1.04,5.0,3.0,0.6,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,,,0.44,497.0,221.0,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.35,369.0,178.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.19,513.0,77.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.33,,712.0,0.54,,,,,,,,,,,,
,,2004 - 2005,,,0.23,876.0,326.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,,0.34,790.0,547.0,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.48,823.0,320.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.32,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.31,,734.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,,0.41,,348.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.36,,452.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.5,,903.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,,0.36,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.43,837.0,344.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.55,547.0,367.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.56,526.0,122.0,0.23,,,,,,,,,,,,
,,2016 - 2017,,,0.46,422.0,181.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,0.6,163.0,38.0,0.23,,,,,,,,,,,,
,,2018 - 2019,,,0.47,261.0,79.0,0.3,,,,,,,,,,,,
,,2019 - 2020,,,0.73,315.0,154.0,0.49,,,,,,,,,,,,
,,2020 - 2021,,,0.5,114.0,61.0,0.54,,,,,,,,,,,,
,,2021 - 2022,,,0.44,110.0,48.0,0.44,,,,,,,,,,,,
,,2022 - 2023,,,0.56,70.0,40.0,0.57,,,,,,,,,,,,
,West godavari,2000 - 2001,,,0.34,101.0,45.0,0.45,,,,,,,,,,,,
,,2001 - 2002,,602.0,0.3,119.0,57.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.26,240.0,36.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.34,850.0,462.0,0.54,,,,,,,,,,,,
,,2004 - 2005,,,0.61,158.0,59.0,0.37,,,,,,,,,,,,
