state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,,2015 - 2016,167.0,92.0,0.55,,,,,,,,,,,,
,,2016 - 2017,146.0,81.0,0.55,28.0,4.0,0.14,,,,,,,,,
,,2017 - 2018,916.0,649.0,0.71,44.0,18.0,0.41,,,,,,,,,
,,2018 - 2019,,903.0,0.65,,,,,,,,,,,,
,,2019 - 2020,,665.0,0.66,4.0,,0.0,,,,,,,,,
,,2020 - 2021,280.0,213.0,0.76,19.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,215.0,194.0,0.9,4.0,1.0,0.25,,,,,,,,,
,,2022 - 2023,155.0,162.0,1.05,20.0,6.0,0.3,,,,,,,,,
,Spsr nellore,2000 - 2001,754.0,159.0,0.21,28.0,14.0,0.5,,,,,,,,,
,,2001 - 2002,372.0,201.0,0.54,,,,,,,,,,,,
,,2002 - 2003,772.0,286.0,0.37,20.0,10.0,0.5,,,,,,,,,
,,2003 - 2004,228.0,123.0,0.54,,,,,,,,,,,,
,,2004 - 2005,310.0,126.0,0.41,,,,,,,,,,,,
,,2005 - 2006,155.0,56.0,0.36,,,,,,,,,,,,
,,2006 - 2007,77.0,39.0,0.51,,,,,,,,,,,,
,,2008 - 2009,118.0,44.0,0.37,4.0,2.0,0.5,,,,,,,,,
,,2009 - 2010,42.0,26.0,0.62,,,,,,,,,,,,
,,2010 - 2011,17.0,7.0,0.41,,,,,,,,,,,,
,,2011 - 2012,71.0,30.0,0.42,,,,,,,,,,,,
,,2013 - 2014,216.0,99.0,0.46,,,,,,,,,,,,
,,2014 - 2015,171.0,71.0,0.42,6.0,3.0,0.5,,,,,,,,,
,,2015 - 2016,427.0,236.0,0.55,,,,,,,,,,,,
,,2016 - 2017,70.0,39.0,0.56,,,,,,,,,,,,
,,2017 - 2018,398.0,282.0,0.71,,,,,,,,,,,,
,,2018 - 2019,448.0,289.0,0.65,,,,,,,,,,,,
,,2019 - 2020,494.0,325.0,0.66,1.0,,0.0,,,,,,,,,
,,2020 - 2021,177.0,57.0,0.32,,,,,,,,,,,,
,,2021 - 2022,100.0,40.0,0.4,,,,,,,,,,,,
,,2022 - 2023,128.0,75.0,0.59,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,487.0,332.0,0.68,,536.0,0.34,,,,,,,,,
,Srikakulam,2000 - 2001,,,0.36,1.0,1.0,1.0,,,,,,,,,
,,2001 - 2002,,,0.55,,,,,,,,,,,,
,,2002 - 2003,,,0.43,2.0,1.0,0.5,,,,,,,,,
,,2003 - 2004,,,0.59,4.0,1.0,0.25,,,,,,,,,
,,2004 - 2005,,,0.4,4.0,2.0,0.5,,,,,,,,,
,,2005 - 2006,,,0.42,2.0,1.0,0.5,,,,,,,,,
,,2006 - 2007,,,0.51,,,,,,,,,,,,
,,2007 - 2008,,,0.55,,,,,,,,,,,,
,,2008 - 2009,,,0.5,,,,,,,,,,,,
,,2009 - 2010,,,0.62,,,,,,,,,,,,
,,2010 - 2011,,,0.46,,,,,,,,,,,,
,,2011 - 2012,,,0.55,,,,,,,,,,,,
,,2012 - 2013,,,0.83,,,,,,,,,,,,
,,2013 - 2014,,,0.52,,,,,,,,,,,,
,,2014 - 2015,,,0.48,,,,,,,,,,,,
,,2015 - 2016,,,0.66,,,,,,,,,,,,
,,2016 - 2017,,,0.8,,,,,,,,,,,,
,,2017 - 2018,,,0.82,,,,,,,,,,,,
,,2018 - 2019,,,0.77,2.0,,0.0,,,,,,,,,
,,2019 - 2020,,,0.53,,,,,,,,,,,,
,,2020 - 2021,,993.0,0.75,,,,,,,,,,,,
,,2021 - 2022,,563.0,0.54,,,,,,,,,,,,
,,2022 - 2023,653.0,419.0,0.64,5.0,1.0,0.2,,,,,,,,,
,Tirupati,2022 - 2023,106.0,45.0,0.42,24.0,16.0,0.67,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,0.26,392.0,199.0,0.51,,,,,,,,,
,,2001 - 2002,,,0.77,325.0,140.0,0.43,,,,,,,,,
,,2002 - 2003,,,0.86,136.0,66.0,0.49,,,,,,,,,
,,2003 - 2004,,,0.89,118.0,43.0,0.36,,,,,,,,,
,,2004 - 2005,,,0.98,84.0,37.0,0.44,,,,,,,,,
,,2005 - 2006,,,0.3,65.0,25.0,0.38,,,,,,,,,
,,2006 - 2007,,,0.58,179.0,78.0,0.44,,,,,,,,,
,,2007 - 2008,,,0.5,,,,,,,,,,,,
,,2008 - 2009,,,0.48,109.0,61.0,0.56,,,,,,,,,
,,2009 - 2010,,,0.71,58.0,39.0,0.67,,,,,,,,,
,,2010 - 2011,,,0.73,89.0,43.0,0.48,,,,,,,,,
,,2011 - 2012,,,0.52,69.0,37.0,0.54,,,,,,,,,
,,2012 - 2013,,,0.5,,,,,,,,,,,,
,,2013 - 2014,,500.0,0.49,46.0,27.0,0.59,,,,,,,,,
,,2014 - 2015,,547.0,0.48,,,,,,,,,,,,
,,2015 - 2016,,665.0,0.63,4.0,1.0,0.25,,,,,,,,,
,,2016 - 2017,955.0,533.0,0.56,,,,,,,,,,,,
,,2017 - 2018,857.0,476.0,0.56,,,,,,,,,,,,
,,2018 - 2019,638.0,422.0,0.66,,,,,,,,,,,,
,,2019 - 2020,596.0,367.0,0.62,,,,,,,,,,,,
,,2020 - 2021,307.0,220.0,0.72,,,,,,,,,,,,
,,2021 - 2022,243.0,148.0,0.61,3.0,1.0,0.33,,,,,,,,,
,,2022 - 2023,79.0,46.0,0.58,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,,,0.11,,,,,,,,,,,,
,,2001 - 2002,,,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.23,,,,,,,,,,,,
,,2003 - 2004,,,0.43,,,,,,,,,,,,
,,2004 - 2005,,,0.28,,,,,,,,,,,,
,,2005 - 2006,,,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.49,,,,,,,,,,,,
,,2007 - 2008,,,0.47,,,,,,,,,,,,
,,2008 - 2009,,,0.3,,,,,,,,,,,,
,,2009 - 2010,,,0.61,,,,,,,,,,,,
,,2010 - 2011,,,0.33,,,,,,,,,,,,
,,2011 - 2012,,,0.32,,,,,,,,,,,,
