state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,,2004 - 2005,,,,,,0.74,,,,,,,,,
,,2005 - 2006,,,,586.0,504.0,0.86,,,,,,,,,
,,2009 - 2010,,,,,,0.96,,,,,,,,,
,,2010 - 2011,,,,,,0.94,,,,,,,,,
,,2011 - 2012,,,,461.0,439.0,0.95,,,,,,,,,
,,2012 - 2013,,,,498.0,482.0,0.97,,,,,,,,,
,,2013 - 2014,,,,476.0,453.0,0.95,,,,,,,,,
,,2014 - 2015,,,,524.0,501.0,0.96,,,,,,,,,
,,2015 - 2016,,,,550.0,527.0,0.96,,,,,,,,,
,,2016 - 2017,,,,544.0,514.0,0.94,,,,,,,,,
,,2017 - 2018,,,,,,0.95,,,,,,,,,
,,2018 - 2019,,,,,,0.92,,,,,,,,,
,,2019 - 2020,,,,,,0.94,,,,,,,,,
,,2020 - 2021,,,,,,0.94,,,,,,,,,
,,2021 - 2022,,,,,,0.93,,,,,,,,,
,,2022 - 2023,,,,,,0.92,,,,,,,,,
,Bhojpur,2004 - 2005,,,,5.0,4.0,0.8,,,,,,,,,
,,2009 - 2010,,,,10.0,10.0,1.0,,,,,,,,,
,,2010 - 2011,,,,10.0,9.0,0.9,,,,,,,,,
,,2011 - 2012,,,,10.0,10.0,1.0,,,,,,,,,
,,2012 - 2013,,,,8.0,8.0,1.0,,,,,,,,,
,,2013 - 2014,,,,8.0,8.0,1.0,,,,,,,,,
,,2014 - 2015,,,,8.0,8.0,1.0,,,,,,,,,
,,2015 - 2016,,,,9.0,8.0,0.89,,,,,,,,,
,Buxar,2016 - 2017,,,,3.0,3.0,1.0,,,,,,,,,
,Darbhanga,2000 - 2001,,,,173.0,117.0,0.68,,,,,,,,,
,,2001 - 2002,,,,163.0,120.0,0.74,,,,,,,,,
,,2002 - 2003,,,,104.0,83.0,0.8,,,,,,,,,
,,2003 - 2004,,,,24.0,18.0,0.75,,,,,,,,,
,,2004 - 2005,,,,20.0,10.0,0.5,,,,,,,,,
,,2005 - 2006,,,,11.0,7.0,0.64,,,,,,,,,
,,2009 - 2010,,,,6.0,6.0,1.0,,,,,,,,,
,Gaya,2000 - 2001,,,,768.0,594.0,0.77,,,,,,,,,
,,2001 - 2002,,,,697.0,560.0,0.8,,,,,,,,,
,,2002 - 2003,,,,437.0,348.0,0.8,,,,,,,,,
,,2003 - 2004,,,,658.0,486.0,0.74,,,,,,,,,
,,2004 - 2005,,,,734.0,593.0,0.81,,,,,,,,,
,,2005 - 2006,,,,725.0,624.0,0.86,,,,,,,,,
,,2009 - 2010,,,,620.0,597.0,0.96,,,,,,,,,
,,2010 - 2011,,,,638.0,602.0,0.94,,,,,,,,,
,,2011 - 2012,,,,408.0,388.0,0.95,,,,,,,,,
,,2012 - 2013,,,,558.0,540.0,0.97,,,,,,,,,
,,2013 - 2014,,,,528.0,503.0,0.95,,,,,,,,,
,,2014 - 2015,,,,532.0,509.0,0.96,,,,,,,,,
,,2015 - 2016,,,,,,0.93,,,,,,,,,
,,2016 - 2017,,,,,,0.92,,,,,,,,,
,,2017 - 2018,,,,,,0.92,,,,,,,,,
,,2018 - 2019,,,,,,0.92,,,,,,,,,
,,2019 - 2020,,,,963.0,888.0,0.92,,,,,,,,,
,,2020 - 2021,,,,942.0,869.0,0.92,,,,,,,,,
,,2021 - 2022,,,,790.0,729.0,0.92,,,,,,,,,
,,2022 - 2023,,,,792.0,782.0,0.99,,,,,,,,,
,Jamui,2000 - 2001,,,,,,0.77,,,,,,,,,
,,2001 - 2002,,,,977.0,785.0,0.8,,,,,,,,,
,,2003 - 2004,,,,,,0.74,,,,,,,,,
,,2004 - 2005,,,,,956.0,0.81,,,,,,,,,
,,2005 - 2006,,,,,,0.86,,,,,,,,,
,,2009 - 2010,,,,635.0,611.0,0.96,,,,,,,,,
,,2010 - 2011,,,,607.0,573.0,0.94,,,,,,,,,
,,2011 - 2012,,,,626.0,596.0,0.95,,,,,,,,,
,,2012 - 2013,,,,634.0,614.0,0.97,,,,,,,,,
,,2013 - 2014,,,,669.0,637.0,0.95,,,,,,,,,
,,2014 - 2015,,,,,,0.96,,,,,,,,,
,,2015 - 2016,,,,616.0,538.0,0.87,,,,,,,,,
,,2016 - 2017,,,,605.0,523.0,0.86,,,,,,,,,
,,2017 - 2018,,,,321.0,284.0,0.88,,,,,,,,,
,,2018 - 2019,,,,,,0.85,,,,,,,,,
,,2019 - 2020,,,,308.0,268.0,0.87,,,,,,,,,
,,2020 - 2021,,,,833.0,725.0,0.87,,,,,,,,,
,,2021 - 2022,,,,845.0,773.0,0.91,,,,,,,,,
,,2022 - 2023,,,,445.0,394.0,0.89,,,,,,,,,
,Jehanabad,2000 - 2001,,,,36.0,28.0,0.78,,,,,,,,,
,,2001 - 2002,,,,50.0,40.0,0.8,,,,,,,,,
,,2005 - 2006,,,,10.0,9.0,0.9,,,,,,,,,
,,2011 - 2012,,,,1.0,1.0,1.0,,,,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,,,,,,,
,Kaimur (bhabua),2002 - 2003,,,,3.0,2.0,0.67,,,,,,,,,
,,2005 - 2006,,,,40.0,36.0,0.9,,,,,,,,,
,Katihar,2000 - 2001,,,,,,0.89,,,,,,,,,
,,2001 - 2002,,,,726.0,694.0,0.96,,,,,,,,,
,,2002 - 2003,,,,,823.0,0.8,,,,,,,,,
,,2003 - 2004,,,,936.0,691.0,0.74,,,,,,,,,
,,2004 - 2005,,,,,936.0,0.88,,,,,,,,,
,,2005 - 2006,,,,437.0,389.0,0.89,,,,,,,,,
,,2009 - 2010,,,,426.0,410.0,0.96,,,,,,,,,
,,2010 - 2011,,,,285.0,269.0,0.94,,,,,,,,,
,,2011 - 2012,,,,280.0,267.0,0.95,,,,,,,,,
,,2012 - 2013,,,,232.0,225.0,0.97,,,,,,,,,
,,2013 - 2014,,,,234.0,223.0,0.95,,,,,,,,,
,,2014 - 2015,,,,227.0,217.0,0.96,,,,,,,,,
,,2015 - 2016,,,,230.0,220.0,0.96,,,,,,,,,
,,2016 - 2017,,,,221.0,208.0,0.94,,,,,,,,,
,,2017 - 2018,,,,8.0,7.0,0.88,,,,,,,,,
,,2018 - 2019,,,,515.0,486.0,0.94,,,,,,,,,
,,2019 - 2020,,,,482.0,452.0,0.94,,,,,,,,,
,,2020 - 2021,,,,261.0,245.0,0.94,,,,,,,,,
,,2021 - 2022,,,,242.0,227.0,0.94,,,,,,,,,
,,2022 - 2023,,,,223.0,206.0,0.92,,,,,,,,,
,Khagaria,2000 - 2001,,,,166.0,128.0,0.77,,,,,,,,,
,,2001 - 2002,,,,442.0,355.0,0.8,,,,,,,,,
,,2002 - 2003,,,,396.0,315.0,0.8,,,,,,,,,
,,2003 - 2004,,,,410.0,303.0,0.74,,,,,,,,,
,,2004 - 2005,,,,407.0,329.0,0.81,,,,,,,,,
,,2005 - 2006,,,,395.0,340.0,0.86,,,,,,,,,
,,2009 - 2010,,,,316.0,304.0,0.96,,,,,,,,,
,,2010 - 2011,,,,346.0,327.0,0.95,,,,,,,,,
,,2011 - 2012,,,,476.0,453.0,0.95,,,,,,,,,
,,2012 - 2013,,,,540.0,523.0,0.97,,,,,,,,,
,,2013 - 2014,,,,629.0,599.0,0.95,,,,,,,,,
,,2014 - 2015,,,,630.0,603.0,0.96,,,,,,,,,
,,2015 - 2016,,,,607.0,530.0,0.87,,,,,,,,,
,,2016 - 2017,,,,562.0,486.0,0.86,,,,,,,,,
,,2017 - 2018,,,,514.0,455.0,0.89,,,,,,,,,
,,2018 - 2019,,,,508.0,434.0,0.85,,,,,,,,,
,,2019 - 2020,,,,527.0,458.0,0.87,,,,,,,,,
,,2020 - 2021,,,,502.0,437.0,0.87,,,,,,,,,
,,2021 - 2022,,,,308.0,318.0,1.03,,,,,,,,,
,,2022 - 2023,,,,183.0,188.0,1.03,,,,,,,,,
,Kishanganj,2000 - 2001,,,,,,0.74,,,,,,,,,
,,2001 - 2002,,,,,,0.87,,,,,,,,,
,,2002 - 2003,,,,961.0,765.0,0.8,,,,,,,,,
,,2003 - 2004,,,,,,0.74,,,,,,,,,
,,2004 - 2005,,,,,804.0,0.8,,,,,,,,,
,,2005 - 2006,,,,,897.0,0.89,,,,,,,,,
,,2009 - 2010,,,,574.0,553.0,0.96,,,,,,,,,
,,2010 - 2011,,,,578.0,546.0,0.94,,,,,,,,,
,,2011 - 2012,,,,565.0,538.0,0.95,,,,,,,,,
,,2012 - 2013,,,,611.0,591.0,0.97,,,,,,,,,
,,2013 - 2014,,,,676.0,644.0,0.95,,,,,,,,,
,,2014 - 2015,,,,662.0,634.0,0.96,,,,,,,,,
,,2015 - 2016,,,,665.0,637.0,0.96,,,,,,,,,
,,2016 - 2017,,,,675.0,636.0,0.94,,,,,,,,,
,,2017 - 2018,,,,684.0,635.0,0.93,,,,,,,,,
,Lakhisarai,2000 - 2001,,,,8.0,6.0,0.75,,,,,,,,,
,,2002 - 2003,,,,71.0,57.0,0.8,,,,,,,,,
,,2003 - 2004,,,,119.0,88.0,0.74,,,,,,,,,
,,2005 - 2006,,,,116.0,100.0,0.86,,,,,,,,,
,,2022 - 2023,,,,5.0,5.0,1.0,,,,,,,,,
,Madhepura,2000 - 2001,,,,678.0,335.0,0.49,,,,,,,,,
,,2001 - 2002,,,,570.0,282.0,0.49,,,,,,,,,
,,2002 - 2003,,,,652.0,519.0,0.8,,,,,,,,,
,,2004 - 2005,,,,602.0,486.0,0.81,,,,,,,,,
,,2005 - 2006,,,,515.0,443.0,0.86,,,,,,,,,
,,2009 - 2010,,,,441.0,425.0,0.96,,,,,,,,,
,,2010 - 2011,,,,374.0,353.0,0.94,,,,,,,,,
,,2011 - 2012,,,,325.0,309.0,0.95,,,,,,,,,
,,2012 - 2013,,,,261.0,253.0,0.97,,,,,,,,,
,,2013 - 2014,,,,525.0,500.0,0.95,,,,,,,,,
,,2014 - 2015,,,,456.0,436.0,0.96,,,,,,,,,
,,2015 - 2016,,,,696.0,647.0,0.93,,,,,,,,,
,,2016 - 2017,,,,626.0,575.0,0.92,,,,,,,,,
,,2017 - 2018,,,,624.0,577.0,0.92,,,,,,,,,
,,2018 - 2019,,,,590.0,545.0,0.92,,,,,,,,,
,,2019 - 2020,,,,584.0,538.0,0.92,,,,,,,,,
,,2020 - 2021,,,,207.0,191.0,0.92,,,,,,,,,
,,2021 - 2022,,,,247.0,224.0,0.91,,,,,,,,,
,,2022 - 2023,,,,233.0,207.0,0.89,,,,,,,,,
,Madhubani,2000 - 2001,,,,637.0,418.0,0.66,,,,,,,,,
,,2001 - 2002,,,,871.0,643.0,0.74,,,,,,,,,
,,2002 - 2003,,,,361.0,287.0,0.8,,,,,,,,,
,,2003 - 2004,,,,400.0,296.0,0.74,,,,,,,,,
,,2004 - 2005,,,,475.0,235.0,0.49,,,,,,,,,
,,2005 - 2006,,,,490.0,303.0,0.62,,,,,,,,,
,,2009 - 2010,,,,335.0,323.0,0.96,,,,,,,,,
,,2010 - 2011,,,,323.0,305.0,0.94,,,,,,,,,
,,2011 - 2012,,,,371.0,353.0,0.95,,,,,,,,,
,,2012 - 2013,,,,389.0,377.0,0.97,,,,,,,,,
,,2013 - 2014,,,,343.0,327.0,0.95,,,,,,,,,
,,2014 - 2015,,,,321.0,307.0,0.96,,,,,,,,,
,,2015 - 2016,,,,489.0,454.0,0.93,,,,,,,,,
,,2016 - 2017,,,,460.0,423.0,0.92,,,,,,,,,
,,2017 - 2018,,,,567.0,527.0,0.93,,,,,,,,,
,,2018 - 2019,,,,568.0,525.0,0.92,,,,,,,,,
,,2019 - 2020,,,,565.0,522.0,0.92,,,,,,,,,
,,2020 - 2021,,,,486.0,450.0,0.93,,,,,,,,,
,,2021 - 2022,,,,390.0,361.0,0.93,,,,,,,,,
,,2022 - 2023,,,,356.0,329.0,0.92,,,,,,,,,
,Munger,2000 - 2001,,,,87.0,67.0,0.77,,,,,,,,,
,,2001 - 2002,,,,187.0,150.0,0.8,,,,,,,,,
,,2002 - 2003,,,,228.0,181.0,0.79,,,,,,,,,
,,2003 - 2004,,,,344.0,254.0,0.74,,,,,,,,,
,,2004 - 2005,,,,360.0,291.0,0.81,,,,,,,,,
,,2005 - 2006,,,,454.0,390.0,0.86,,,,,,,,,
,,2009 - 2010,,,,305.0,294.0,0.96,,,,,,,,,
,,2010 - 2011,,,,409.0,386.0,0.94,,,,,,,,,
,,2011 - 2012,,,,123.0,117.0,0.95,,,,,,,,,
,,2012 - 2013,,,,120.0,116.0,0.97,,,,,,,,,
,,2013 - 2014,,,,119.0,113.0,0.95,,,,,,,,,
,,2014 - 2015,,,,89.0,85.0,0.96,,,,,,,,,
,,2015 - 2016,,,,84.0,73.0,0.87,,,,,,,,,
,,2016 - 2017,,,,85.0,74.0,0.87,,,,,,,,,
,,2017 - 2018,,,,85.0,75.0,0.88,,,,,,,,,
,,2018 - 2019,,,,85.0,74.0,0.87,,,,,,,,,
,,2019 - 2020,,,,84.0,74.0,0.88,,,,,,,,,
,,2020 - 2021,,,,84.0,74.0,0.88,,,,,,,,,
,,2021 - 2022,,,,83.0,76.0,0.92,,,,,,,,,
,,2022 - 2023,,,,81.0,74.0,0.91,,,,,,,,,
,Nalanda,2003 - 2004,,,,5.0,4.0,0.8,,,,,,,,,
,Nawada,2000 - 2001,,,,463.0,358.0,0.77,,,,,,,,,
,,2001 - 2002,,,,609.0,489.0,0.8,,,,,,,,,
,,2002 - 2003,,,,474.0,377.0,0.8,,,,,,,,,
,,2003 - 2004,,,,482.0,356.0,0.74,,,,,,,,,
,,2004 - 2005,,,,573.0,463.0,0.81,,,,,,,,,
,,2005 - 2006,,,,236.0,203.0,0.86,,,,,,,,,
,,2009 - 2010,,,,411.0,396.0,0.96,,,,,,,,,
,,2010 - 2011,,,,226.0,213.0,0.94,,,,,,,,,
,,2011 - 2012,,,,432.0,411.0,0.95,,,,,,,,,
,,2012 - 2013,,,,202.0,196.0,0.97,,,,,,,,,
,,2013 - 2014,,,,169.0,161.0,0.95,,,,,,,,,
,,2014 - 2015,,,,200.0,191.0,0.96,,,,,,,,,
,,2015 - 2016,,,,119.0,111.0,0.93,,,,,,,,,
,,2016 - 2017,,,,205.0,188.0,0.92,,,,,,,,,
,,2017 - 2018,,,,259.0,239.0,0.92,,,,,,,,,
,,2018 - 2019,,,,204.0,188.0,0.92,,,,,,,,,
,,2019 - 2020,,,,226.0,209.0,0.92,,,,,,,,,
,,2020 - 2021,,,,194.0,179.0,0.92,,,,,,,,,
,,2021 - 2022,,,,144.0,133.0,0.92,,,,,,,,,
,,2022 - 2023,,,,142.0,140.0,0.99,,,,,,,,,
,Pashchim champaran,2011 - 2012,,,,47.0,45.0,0.96,,,,,,,,,
,,2012 - 2013,,,,42.0,41.0,0.98,,,,,,,,,
,,2013 - 2014,,,,38.0,36.0,0.95,,,,,,,,,
,,2014 - 2015,,,,34.0,33.0,0.97,,,,,,,,,
,,2015 - 2016,,,,31.0,29.0,0.94,,,,,,,,,
,,2016 - 2017,,,,28.0,26.0,0.93,,,,,,,,,
,Purnia,2000 - 2001,,,,,,0.92,,,,,,,,,
,,2001 - 2002,,,,,,0.99,,,,,,,,,
,,2002 - 2003,,,,,,0.8,,,,,,,,,
,,2003 - 2004,,,,,831.0,0.74,,,,,,,,,
,,2004 - 2005,,,,703.0,695.0,0.99,,,,,,,,,
,,2005 - 2006,,,,546.0,486.0,0.89,,,,,,,,,
,,2009 - 2010,,,,783.0,754.0,0.96,,,,,,,,,
,,2010 - 2011,,,,391.0,369.0,0.94,,,,,,,,,
,,2011 - 2012,,,,485.0,462.0,0.95,,,,,,,,,
,,2012 - 2013,,,,472.0,457.0,0.97,,,,,,,,,
,,2013 - 2014,,,,472.0,449.0,0.95,,,,,,,,,
,,2014 - 2015,,,,242.0,232.0,0.96,,,,,,,,,
,,2015 - 2016,,,,216.0,207.0,0.96,,,,,,,,,
,,2016 - 2017,,,,220.0,207.0,0.94,,,,,,,,,
,,2017 - 2018,,,,191.0,177.0,0.93,,,,,,,,,
,,2018 - 2019,,,,160.0,151.0,0.94,,,,,,,,,
,,2019 - 2020,,,,42.0,39.0,0.93,,,,,,,,,
,,2020 - 2021,,,,40.0,37.0,0.93,,,,,,,,,
,,2021 - 2022,,,,31.0,29.0,0.94,,,,,,,,,
,,2022 - 2023,,,,40.0,37.0,0.93,,,,,,,,,
,Rohtas,2000 - 2001,,,,155.0,120.0,0.77,,,,,,,,,
,,2001 - 2002,,,,112.0,90.0,0.8,,,,,,,,,
,,2002 - 2003,,,,197.0,157.0,0.8,,,,,,,,,
,,2003 - 2004,,,,180.0,133.0,0.74,,,,,,,,,
,,2004 - 2005,,,,211.0,170.0,0.81,,,,,,,,,
,,2005 - 2006,,,,191.0,170.0,0.89,,,,,,,,,
,,2009 - 2010,,,,94.0,91.0,0.97,,,,,,,,,
,,2010 - 2011,,,,97.0,92.0,0.95,,,,,,,,,
,,2011 - 2012,,,,43.0,41.0,0.95,,,,,,,,,
,,2012 - 2013,,,,94.0,91.0,0.97,,,,,,,,,
,,2013 - 2014,,,,57.0,54.0,0.95,,,,,,,,,
,Saharsa,2000 - 2001,,,,680.0,336.0,0.49,,,,,,,,,
,,2001 - 2002,,,,591.0,292.0,0.49,,,,,,,,,
,,2002 - 2003,,,,512.0,408.0,0.8,,,,,,,,,
,,2003 - 2004,,,,393.0,290.0,0.74,,,,,,,,,
,,2004 - 2005,,,,565.0,457.0,0.81,,,,,,,,,
,,2005 - 2006,,,,340.0,292.0,0.86,,,,,,,,,
,,2009 - 2010,,,,643.0,619.0,0.96,,,,,,,,,
,,2010 - 2011,,,,655.0,618.0,0.94,,,,,,,,,
,,2011 - 2012,,,,663.0,631.0,0.95,,,,,,,,,
,,2012 - 2013,,,,353.0,342.0,0.97,,,,,,,,,
,,2013 - 2014,,,,364.0,347.0,0.95,,,,,,,,,
,,2014 - 2015,,,,283.0,271.0,0.96,,,,,,,,,
,,2015 - 2016,,,,260.0,242.0,0.93,,,,,,,,,
,,2016 - 2017,,,,264.0,243.0,0.92,,,,,,,,,
,,2017 - 2018,,,,255.0,236.0,0.93,,,,,,,,,
,,2019 - 2020,,,,254.0,234.0,0.92,,,,,,,,,
,,2020 - 2021,,,,234.0,216.0,0.92,,,,,,,,,
,,2021 - 2022,,,,211.0,191.0,0.91,,,,,,,,,
,,2022 - 2023,,,,204.0,181.0,0.89,,,,,,,,,
,Samastipur,2000 - 2001,,,,65.0,56.0,0.86,,,,,,,,,
,,2002 - 2003,,,,4.0,3.0,0.75,,,,,,,,,
,,2003 - 2004,,,,4.0,3.0,0.75,,,,,,,,,
,,2004 - 2005,,,,3.0,2.0,0.67,,,,,,,,,
,,2005 - 2006,,,,3.0,2.0,0.67,,,,,,,,,
,,2012 - 2013,,,,3.0,3.0,1.0,,,,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,,,,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,,,,3.0,3.0,1.0,,,,,,,,,
,Sheikhpura,2012 - 2013,,,,25.0,24.0,0.96,,,,,,,,,
,Sitamarhi,2000 - 2001,,,,28.0,22.0,0.79,,,,,,,,,
,,2001 - 2002,,,,38.0,31.0,0.82,,,,,,,,,
,,2002 - 2003,,,,49.0,39.0,0.8,,,,,,,,,
,,2003 - 2004,,,,50.0,37.0,0.74,,,,,,,,,
,Siwan,2009 - 2010,,,,3.0,3.0,1.0,,,,,,,,,
,Supaul,2000 - 2001,,,,,708.0,0.49,,,,,,,,,
,,2001 - 2002,,,,,635.0,0.49,,,,,,,,,
,,2002 - 2003,,,,,,0.8,,,,,,,,,
,,2003 - 2004,,,,,,0.74,,,,,,,,,
,,2004 - 2005,,,,,,0.81,,,,,,,,,
,,2005 - 2006,,,,,,0.86,,,,,,,,,
,,2009 - 2010,,,,,,0.96,,,,,,,,,
,,2010 - 2011,,,,,,0.94,,,,,,,,,
,,2011 - 2012,,,,,,0.95,,,,,,,,,
,,2012 - 2013,,,,,,0.97,,,,,,,,,
,,2013 - 2014,,,,792.0,754.0,0.95,,,,,,,,,
,,2014 - 2015,,,,813.0,778.0,0.96,,,,,,,,,
,,2015 - 2016,,,,417.0,387.0,0.93,,,,,,,,,
,,2016 - 2017,,,,674.0,619.0,0.92,,,,,,,,,
,,2017 - 2018,,,,479.0,443.0,0.92,,,,,,,,,
,,2018 - 2019,,,,474.0,438.0,0.92,,,,,,,,,
,,2019 - 2020,,,,470.0,433.0,0.92,,,,,,,,,
,,2020 - 2021,,,,450.0,415.0,0.92,,,,,,,,,
,,2021 - 2022,,,,426.0,386.0,0.91,,,,,,,,,
,,2022 - 2023,,,,411.0,365.0,0.89,,,,,,,,,
Chhattisgarh,Balod,2011 - 2012,66.0,19.0,0.29,288.0,102.0,0.35,,,,,,,,,
,,2012 - 2013,74.0,18.0,0.24,274.0,90.0,0.33,,,,,,,,,
,,2013 - 2014,69.0,17.0,0.25,254.0,86.0,0.34,,,,,,,,,
,,2014 - 2015,56.0,14.0,0.25,266.0,83.0,0.31,,,,,,,,,
,,2015 - 2016,29.0,6.0,0.21,182.0,65.0,0.36,,,,,,,,,
,,2016 - 2017,55.0,13.0,0.24,169.0,81.0,0.48,,,,,,,,,
,,2017 - 2018,6.0,2.0,0.33,72.0,33.0,0.46,,,,,,,,,
,,2018 - 2019,,,,53.0,24.0,0.45,,,,,,,,,
,,2019 - 2020,,,,35.0,16.0,0.46,,,,,,,,,
,,2020 - 2021,3.0,2.0,0.67,52.0,23.0,0.44,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,30.0,15.0,0.5,,,,,,,,,
,,2022 - 2023,,,,35.0,17.0,0.49,,,,,,,,,
,Baloda bazar,2011 - 2012,3.0,2.0,0.67,138.0,47.0,0.34,,,,,,,,,
,,2012 - 2013,3.0,1.0,0.33,123.0,42.0,0.34,,,,,,,,,
,,2013 - 2014,3.0,1.0,0.33,120.0,45.0,0.38,,,,,,,,,
,,2014 - 2015,3.0,1.0,0.33,88.0,30.0,0.34,,,,,,,,,
,,2015 - 2016,,,,83.0,42.0,0.51,,,,,,,,,
,,2016 - 2017,10.0,4.0,0.4,77.0,32.0,0.42,,,,,,,,,
,,2017 - 2018,7.0,2.0,0.29,68.0,29.0,0.43,,,,,,,,,
,,2018 - 2019,,,,27.0,12.0,0.44,,,,,,,,,
,,2019 - 2020,,,,2.0,1.0,0.5,,,,,,,,,
,,2020 - 2021,,,,22.0,9.0,0.41,,,,,,,,,
,,2021 - 2022,,,,28.0,12.0,0.43,,,,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,,,,
,Balrampur,2011 - 2012,,,,,661.0,0.24,,,,,,,,,
,,2012 - 2013,,,,,765.0,0.28,,,,,,,,,
,,2013 - 2014,,,,,520.0,0.2,,,,,,,,,
,,2014 - 2015,,,,,731.0,0.28,,,,,,,,,
,,2015 - 2016,,,,,,0.62,,,,,,,,,
,,2016 - 2017,,,,,,0.65,,,,,,,,,
,,2017 - 2018,,,,,,0.6,,,,,,,,,
,,2018 - 2019,,,,,,0.6,,,,,,,,,
,,2019 - 2020,,,,847.0,512.0,0.6,,,,,,,,,
,,2020 - 2021,,,,643.0,411.0,0.64,,,,,,,,,
,,2021 - 2022,,,,502.0,321.0,0.64,,,,,,,,,
,,2022 - 2023,,,,397.0,254.0,0.64,,,,,,,,,
,Bastar,2000 - 2001,,,,,,0.39,,,,,,,,,
,,2001 - 2002,,,,,,0.41,,,,,,,,,
,,2002 - 2003,26.0,8.0,0.31,,,0.24,,,,,,,,,
,,2003 - 2004,8.0,3.0,0.38,,,0.38,,,,,,,,,
,,2004 - 2005,,,,,,0.35,,,,,,,,,
,,2005 - 2006,11.0,3.0,0.27,,,0.36,,,,,,,,,
,,2006 - 2007,1.0,2.0,2.0,,,0.45,,,,,,,,,
,,2007 - 2008,24.0,12.0,0.5,,,0.4,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,0.35,,,,,,,,,
,,2009 - 2010,,,,,,0.3,,,,,,,,,
,,2010 - 2011,,,,,,0.37,,,,,,,,,
,,2011 - 2012,,,,,,0.37,,,,,,,,,
,,2012 - 2013,,,,,,0.37,,,,,,,,,
,,2013 - 2014,,,,,,0.37,,,,,,,,,
,,2014 - 2015,,,,,,0.37,,,,,,,,,
,,2015 - 2016,,,,,791.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,958.0,0.32,,,,,,,,,
,,2017 - 2018,,,,,,0.44,,,,,,,,,
,,2018 - 2019,,,,,,0.43,,,,,,,,,
,,2019 - 2020,1.0,,0.0,,564.0,0.35,,,,,,,,,
,,2020 - 2021,,,,,362.0,0.34,,,,,,,,,
,,2021 - 2022,,,,,317.0,0.31,,,,,,,,,
,,2022 - 2023,,,,862.0,296.0,0.34,,,,,,,,,
,Bemetara,2012 - 2013,,,,2.0,1.0,0.5,,,,,,,,,
,,2014 - 2015,2.0,,0.0,,,,,,,,,,,,
,,2015 - 2016,46.0,9.0,0.2,,,,,,,,,,,,
,,2020 - 2021,4.0,1.0,0.25,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,
,Bijapur,2006 - 2007,379.0,,0.0,456.0,,0.0,,,,,,,,,
,,2007 - 2008,361.0,115.0,0.32,458.0,141.0,0.31,,,,,,,,,
,,2008 - 2009,286.0,80.0,0.28,432.0,95.0,0.22,,,,,,,,,
,,2009 - 2010,243.0,71.0,0.29,367.0,93.0,0.25,,,,,,,,,
,,2010 - 2011,235.0,46.0,0.2,353.0,114.0,0.32,,,,,,,,,
,,2011 - 2012,125.0,40.0,0.32,348.0,103.0,0.3,,,,,,,,,
,,2012 - 2013,155.0,49.0,0.32,343.0,148.0,0.43,,,,,,,,,
,,2013 - 2014,137.0,41.0,0.3,311.0,122.0,0.39,,,,,,,,,
,,2014 - 2015,126.0,42.0,0.33,330.0,98.0,0.3,,,,,,,,,
,,2015 - 2016,76.0,22.0,0.29,259.0,76.0,0.29,,,,,,,,,
,,2016 - 2017,66.0,18.0,0.27,247.0,106.0,0.43,,,,,,,,,
,,2017 - 2018,61.0,19.0,0.31,201.0,86.0,0.43,,,,,,,,,
,,2018 - 2019,54.0,17.0,0.31,211.0,90.0,0.43,,,,,,,,,
,,2019 - 2020,49.0,14.0,0.29,106.0,45.0,0.42,,,,,,,,,
,,2020 - 2021,49.0,15.0,0.31,79.0,32.0,0.41,,,,,,,,,
,,2021 - 2022,28.0,12.0,0.43,74.0,32.0,0.43,,,,,,,,,
,,2022 - 2023,31.0,8.0,0.26,43.0,16.0,0.37,,,,,,,,,
,Bilaspur,2000 - 2001,,,,,316.0,0.21,,,,,,,,,
,,2001 - 2002,,,,,360.0,0.29,,,,,,,,,
,,2002 - 2003,14.0,4.0,0.29,,262.0,0.25,,,,,,,,,
,,2003 - 2004,18.0,6.0,0.33,,318.0,0.29,,,,,,,,,
,,2004 - 2005,,,,,274.0,0.27,,,,,,,,,
,,2005 - 2006,25.0,7.0,0.28,,314.0,0.3,,,,,,,,,
