state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2013 - 2014,200.0,100.0,0.5,,,,,,
,,2015 - 2016,50.0,10.0,0.2,,,,,,
,,2016 - 2017,700.0,100.0,0.14,,,,,,
,,2017 - 2018,,300.0,0.18,,,,,,
,,2018 - 2019,222.0,33.0,0.15,,,,,,
,Dharashiv,2001 - 2002,500.0,10.0,0.02,,,,,,
,,2004 - 2005,600.0,100.0,0.17,,,,,,
,,2005 - 2006,,100.0,0.1,,,,,,
,,2006 - 2007,,100.0,0.1,,,,,,
,,2007 - 2008,100.0,,0.0,,,,,,
,,2008 - 2009,700.0,100.0,0.14,,,,,,
,,2010 - 2011,500.0,100.0,0.2,,,,,,
,,2011 - 2012,300.0,100.0,0.33,,,,,,
,,2012 - 2013,,500.0,0.21,,,,,,
,,2013 - 2014,,200.0,0.2,,,,,,
,,2014 - 2015,,300.0,0.23,,,,,,
,,2015 - 2016,700.0,100.0,0.14,,,,,,
,,2016 - 2017,,500.0,0.28,,,,,,
,,2017 - 2018,700.0,100.0,0.14,,,,,,
,,2018 - 2019,,378.0,0.19,,,,,,
,Dhule,2000 - 2001,200.0,10.0,0.05,,,,,,
,,2001 - 2002,500.0,200.0,0.4,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,
,,2005 - 2006,300.0,100.0,0.33,,,,,,
,,2006 - 2007,200.0,,0.0,,,,,,
,,2007 - 2008,800.0,400.0,0.5,,,,,,
,,2008 - 2009,200.0,100.0,0.5,,,,,,
,,2009 - 2010,300.0,100.0,0.33,,,,,,
,,2010 - 2011,100.0,40.0,0.4,,,,,,
,,2012 - 2013,400.0,40.0,0.1,,,,,,
,,2013 - 2014,700.0,200.0,0.29,,,,,,
,,2014 - 2015,400.0,100.0,0.25,,,,,,
,,2015 - 2016,100.0,50.0,0.5,,,,,,
,,2016 - 2017,9.0,3.0,0.33,,,,,,
,,2018 - 2019,28.0,13.0,0.46,,,,,,
,Gadchiroli,2017 - 2018,100.0,23.0,0.23,,,,,,
,Gondia,2000 - 2001,200.0,100.0,0.5,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,
,,2004 - 2005,500.0,200.0,0.4,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,
,,2007 - 2008,100.0,,0.0,,,,,,
,,2008 - 2009,200.0,100.0,0.5,,,,,,
,Hingoli,2000 - 2001,600.0,200.0,0.33,,,,,,
,,2001 - 2002,500.0,100.0,0.2,,,,,,
,,2002 - 2003,200.0,10.0,0.05,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,
,,2005 - 2006,300.0,100.0,0.33,,,,,,
,,2006 - 2007,200.0,200.0,1.0,,,,,,
,,2007 - 2008,100.0,,0.0,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2009 - 2010,200.0,,0.0,,,,,,
,,2010 - 2011,400.0,100.0,0.25,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,
,,2012 - 2013,300.0,100.0,0.33,,,,,,
,,2013 - 2014,600.0,100.0,0.17,,,,,,
,,2014 - 2015,,,0.2,,,,,,
,,2015 - 2016,,400.0,0.09,,,,,,
,,2016 - 2017,600.0,100.0,0.17,,,,,,
,,2017 - 2018,800.0,200.0,0.25,,,,,,
,,2018 - 2019,266.0,88.0,0.33,,,,,,
,Jalgaon,2000 - 2001,300.0,100.0,0.33,,,,,,
,,2001 - 2002,400.0,200.0,0.5,,,,,,
,,2002 - 2003,200.0,10.0,0.05,,,,,,
,,2004 - 2005,300.0,100.0,0.33,,,,,,
,,2005 - 2006,500.0,200.0,0.4,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2007 - 2008,200.0,100.0,0.5,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,
,,2009 - 2010,200.0,,0.0,,,,,,
,,2010 - 2011,100.0,40.0,0.4,,,,,,
,,2012 - 2013,500.0,100.0,0.2,,,,,,
,,2013 - 2014,100.0,,0.0,,,,,,
,,2015 - 2016,,300.0,0.23,,,,,,
,,2018 - 2019,939.0,282.0,0.3,,,,,,
,Jalna,2000 - 2001,800.0,400.0,0.5,,,,,,
,,2001 - 2002,200.0,10.0,0.05,,,,,,
,,2002 - 2003,300.0,100.0,0.33,,,,,,
,,2004 - 2005,,200.0,0.18,,,,,,
,,2005 - 2006,400.0,300.0,0.75,,,,,,
,,2006 - 2007,400.0,100.0,0.25,,,,,,
,,2007 - 2008,500.0,200.0,0.4,,,,,,
,,2008 - 2009,800.0,200.0,0.25,,,,,,
,,2009 - 2010,100.0,,0.0,,,,,,
,,2010 - 2011,300.0,40.0,0.13,,,,,,
,,2012 - 2013,200.0,100.0,0.5,,,,,,
,,2013 - 2014,300.0,100.0,0.33,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2015 - 2016,100.0,30.0,0.3,,,,,,
,,2016 - 2017,100.0,20.0,0.2,,,,,,
,,2017 - 2018,100.0,10.0,0.1,,,,,,
,,2018 - 2019,136.0,19.0,0.14,,,,,,
,Kolhapur,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,
,,2008 - 2009,300.0,100.0,0.33,,,,,,
,,2010 - 2011,200.0,100.0,0.5,,,,,,
,,2011 - 2012,100.0,30.0,0.3,,,,,,
,,2012 - 2013,600.0,100.0,0.17,,,,,,
,,2013 - 2014,300.0,100.0,0.33,,,,,,
,,2014 - 2015,300.0,100.0,0.33,,,,,,
,Latur,2000 - 2001,100.0,10.0,0.1,,,,,,
,,2001 - 2002,100.0,10.0,0.1,,,,,,
,,2004 - 2005,100.0,,0.0,,,,,,
,,2005 - 2006,100.0,200.0,2.0,,,,,,
,,2007 - 2008,200.0,,0.0,,,,,,
,,2008 - 2009,400.0,100.0,0.25,,,,,,
,,2009 - 2010,,200.0,0.17,,,,,,
,,2012 - 2013,,300.0,0.25,,,,,,
,,2013 - 2014,600.0,100.0,0.17,,,,,,
,,2014 - 2015,700.0,100.0,0.14,,,,,,
,,2015 - 2016,600.0,100.0,0.17,,,,,,
,,2016 - 2017,500.0,100.0,0.2,,,,,,
,,2017 - 2018,300.0,100.0,0.33,,,,,,
,,2018 - 2019,638.0,134.0,0.21,,,,,,
,Nagpur,2000 - 2001,100.0,100.0,1.0,,,,,,
,,2001 - 2002,300.0,200.0,0.67,,,,,,
,,2002 - 2003,200.0,100.0,0.5,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,
,,2008 - 2009,300.0,100.0,0.33,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,
,,2012 - 2013,500.0,50.0,0.1,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2015 - 2016,200.0,40.0,0.2,,,,,,
,,2016 - 2017,200.0,200.0,1.0,,,,,,
,,2017 - 2018,100.0,31.0,0.31,,,,,,
,,2018 - 2019,98.0,25.0,0.26,,,,,,
,Nanded,2000 - 2001,600.0,100.0,0.17,,,,,,
,,2001 - 2002,800.0,200.0,0.25,,,,,,
,,2002 - 2003,,800.0,0.23,,,,,,
,,2004 - 2005,,200.0,0.2,,,,,,
,,2005 - 2006,,200.0,0.2,,,,,,
,,2006 - 2007,,200.0,0.18,,,,,,
,,2007 - 2008,,600.0,0.35,,,,,,
,,2008 - 2009,,200.0,0.2,,,,,,
,,2009 - 2010,800.0,100.0,0.13,,,,,,
,,2010 - 2011,600.0,200.0,0.33,,,,,,
,,2011 - 2012,500.0,100.0,0.2,,,,,,
,,2012 - 2013,,800.0,0.29,,,,,,
,,2013 - 2014,,200.0,0.2,,,,,,
,,2014 - 2015,300.0,100.0,0.33,,,,,,
,,2015 - 2016,10.0,1.0,0.1,,,,,,
,,2016 - 2017,100.0,40.0,0.4,,,,,,
,,2018 - 2019,14.0,3.0,0.21,,,,,,
,Nandurbar,2000 - 2001,400.0,100.0,0.25,,,,,,
,,2001 - 2002,500.0,200.0,0.4,,,,,,
,,2002 - 2003,200.0,10.0,0.05,,,,,,
,,2004 - 2005,900.0,400.0,0.44,,,,,,
,,2005 - 2006,,400.0,0.33,,,,,,
,,2006 - 2007,,300.0,0.25,,,,,,
,,2007 - 2008,600.0,300.0,0.5,,,,,,
,,2008 - 2009,400.0,200.0,0.5,,,,,,
,,2009 - 2010,400.0,100.0,0.25,,,,,,
,,2010 - 2011,,400.0,0.36,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,
,,2012 - 2013,200.0,100.0,0.5,,,,,,
,,2013 - 2014,600.0,400.0,0.67,,,,,,
,,2014 - 2015,600.0,100.0,0.17,,,,,,
,,2015 - 2016,,200.0,0.18,,,,,,
,,2016 - 2017,,300.0,0.3,,,,,,
,,2017 - 2018,200.0,100.0,0.5,,,,,,
,,2018 - 2019,175.0,44.0,0.25,,,,,,
,Nashik,2000 - 2001,,400.0,0.22,,,,,,
,,2001 - 2002,600.0,200.0,0.33,,,,,,
,,2002 - 2003,,,0.23,,,,,,
,,2004 - 2005,,300.0,0.21,,,,,,
,,2005 - 2006,,500.0,0.21,,,,,,
,,2006 - 2007,,200.0,0.18,,,,,,
,,2007 - 2008,800.0,200.0,0.25,,,,,,
,,2008 - 2009,,300.0,0.25,,,,,,
,,2009 - 2010,,300.0,0.3,,,,,,
,,2010 - 2011,,,0.35,,,,,,
,,2011 - 2012,,,0.45,,,,,,
,,2012 - 2013,,700.0,0.28,,,,,,
,,2013 - 2014,600.0,200.0,0.33,,,,,,
,,2014 - 2015,900.0,200.0,0.22,,,,,,
,,2015 - 2016,900.0,200.0,0.22,,,,,,
,,2016 - 2017,900.0,300.0,0.33,,,,,,
,,2017 - 2018,300.0,100.0,0.33,,,,,,
,,2018 - 2019,,803.0,0.44,,,,,,
,Parbhani,2000 - 2001,,300.0,0.25,,,,,,
,,2001 - 2002,600.0,100.0,0.17,,,,,,
,,2002 - 2003,500.0,100.0,0.2,,,,,,
,,2004 - 2005,800.0,200.0,0.25,,,,,,
,,2005 - 2006,700.0,100.0,0.14,,,,,,
,,2006 - 2007,800.0,800.0,1.0,,,,,,
,,2007 - 2008,600.0,200.0,0.33,,,,,,
,,2008 - 2009,600.0,100.0,0.17,,,,,,
,,2009 - 2010,800.0,200.0,0.25,,,,,,
,,2010 - 2011,700.0,600.0,0.86,,,,,,
,,2011 - 2012,700.0,500.0,0.71,,,,,,
,,2012 - 2013,400.0,100.0,0.25,,,,,,
,,2013 - 2014,600.0,100.0,0.17,,,,,,
,,2014 - 2015,600.0,100.0,0.17,,,,,,
,,2015 - 2016,400.0,40.0,0.1,,,,,,
,,2016 - 2017,370.0,86.0,0.23,,,,,,
,,2017 - 2018,40.0,10.0,0.25,,,,,,
,,2018 - 2019,348.0,93.0,0.27,,,,,,
,Pune,2000 - 2001,100.0,10.0,0.1,,,,,,
,,2001 - 2002,100.0,10.0,0.1,,,,,,
,,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2004 - 2005,100.0,,0.0,,,,,,
,,2005 - 2006,100.0,,0.0,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2007 - 2008,100.0,,0.0,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2009 - 2010,100.0,,0.0,,,,,,
,,2010 - 2011,100.0,20.0,0.2,,,,,,
,,2013 - 2014,200.0,,0.0,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2015 - 2016,100.0,20.0,0.2,,,,,,
,,2017 - 2018,100.0,10.0,0.1,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,Ratnagiri,2015 - 2016,1.0,0.2,0.2,,,,,,
,,2016 - 2017,10.0,5.0,0.5,,,,,,
,,2018 - 2019,12.0,4.0,0.33,,,,,,
,Sangli,2004 - 2005,100.0,,0.0,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2012 - 2013,600.0,200.0,0.33,,,,,,
,,2013 - 2014,,500.0,0.33,,,,,,
,,2014 - 2015,200.0,100.0,0.5,,,,,,
,,2015 - 2016,300.0,100.0,0.33,,,,,,
,,2017 - 2018,27.0,10.0,0.37,,,,,,
,,2018 - 2019,43.0,7.0,0.16,,,,,,
,Satara,2012 - 2013,900.0,200.0,0.22,,,,,,
,,2013 - 2014,300.0,100.0,0.33,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2015 - 2016,300.0,100.0,0.33,,,,,,
,,2016 - 2017,100.0,30.0,0.3,,,,,,
,,2017 - 2018,48.0,10.0,0.21,,,,,,
,,2018 - 2019,102.0,20.0,0.2,,,,,,
,Sindhudurg,2015 - 2016,5.0,1.0,0.2,,,,,,
,,2016 - 2017,30.0,10.0,0.33,,,,,,
,Solapur,2000 - 2001,300.0,100.0,0.33,,,,,,
,,2002 - 2003,400.0,100.0,0.25,,,,,,
,,2004 - 2005,300.0,100.0,0.33,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,
,,2008 - 2009,200.0,,0.0,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,
,,2011 - 2012,100.0,30.0,0.3,,,,,,
,,2013 - 2014,200.0,,0.0,,,,,,
,,2014 - 2015,200.0,,0.0,,,,,,
,,2015 - 2016,30.0,10.0,0.33,,,,,,
,,2016 - 2017,300.0,80.0,0.27,,,,,,
,,2017 - 2018,100.0,20.0,0.2,,,,,,
,,2018 - 2019,,975.0,0.3,,,,,,
,Wardha,2000 - 2001,200.0,100.0,0.5,,,,,,
,,2001 - 2002,300.0,200.0,0.67,,,,,,
,,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2004 - 2005,100.0,,0.0,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,
,,2006 - 2007,100.0,,0.0,,,,,,
,,2007 - 2008,400.0,100.0,0.25,,,,,,
,,2008 - 2009,200.0,100.0,0.5,,,,,,
,,2009 - 2010,100.0,,0.0,,,,,,
,Washim,2000 - 2001,100.0,10.0,0.1,,,,,,
,,2001 - 2002,100.0,10.0,0.1,,,,,,
,,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2004 - 2005,100.0,,0.0,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,
,,2006 - 2007,100.0,,0.0,,,,,,
,,2007 - 2008,200.0,100.0,0.5,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2012 - 2013,100.0,30.0,0.3,,,,,,
,,2013 - 2014,,900.0,0.6,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2017 - 2018,100.0,15.0,0.15,,,,,,
,,2018 - 2019,,467.0,0.3,,,,,,
,Yavatmal,2000 - 2001,500.0,100.0,0.2,,,,,,
,,2001 - 2002,800.0,200.0,0.25,,,,,,
,,2002 - 2003,100.0,10.0,0.1,,,,,,
,,2004 - 2005,700.0,100.0,0.14,,,,,,
,,2005 - 2006,,500.0,0.38,,,,,,
,,2006 - 2007,100.0,,0.0,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,
,,2013 - 2014,100.0,100.0,1.0,,,,,,
,,2014 - 2015,900.0,400.0,0.44,,,,,,
Meghalaya,East garo hills,2000 - 2001,8.0,4.0,0.5,,,,,,
,,2001 - 2002,9.0,4.0,0.44,,,,,,
,,2002 - 2003,7.0,3.0,0.43,,,,,,
,,2003 - 2004,8.0,4.0,0.5,,,,,,
,,2004 - 2005,8.0,4.0,0.5,,,,,,
,,2005 - 2006,8.0,4.0,0.5,,,,,,
,,2006 - 2007,,,,8.0,4.0,0.5,,,
,,2007 - 2008,8.0,4.0,0.5,,,,,,
,,2008 - 2009,8.0,4.0,0.5,,,,,,
,,2009 - 2010,9.0,4.0,0.44,,,,,,
,,2010 - 2011,8.0,3.0,0.38,,,,,,
,,2011 - 2012,11.0,5.0,0.45,,,,,,
,,2012 - 2013,24.0,18.0,0.75,,,,,,
,,2013 - 2014,14.0,12.0,0.86,,,,,,
,,2014 - 2015,15.0,14.0,0.93,,,,,,
,,2015 - 2016,,,,16.0,16.0,1.0,,,
,,2016 - 2017,,,,16.0,16.0,1.0,,,
,,2017 - 2018,,,,16.0,16.0,1.0,,,
,,2018 - 2019,,,,16.0,16.0,1.0,,,
,,2019 - 2020,,,,16.0,16.0,1.0,,,
,,2020 - 2021,,,,16.0,16.0,1.0,,,
,,2022 - 2023,,,,17.0,16.0,0.94,,,
,North garo hills,2013 - 2014,11.0,8.0,0.73,,,,,,
,,2014 - 2015,11.0,9.0,0.82,,,,,,
,,2015 - 2016,,,,12.0,10.0,0.83,,,
,,2016 - 2017,,,,12.0,10.0,0.83,,,
,,2017 - 2018,,,,12.0,10.0,0.83,,,
,,2018 - 2019,,,,12.0,10.0,0.83,,,
,,2019 - 2020,,,,12.0,10.0,0.83,,,
,,2020 - 2021,,,,12.0,10.0,0.83,,,
,,2022 - 2023,,,,12.0,10.0,0.83,,,
,Ri bhoi,2004 - 2005,5.0,5.0,1.0,,,,,,
,,2005 - 2006,6.0,6.0,1.0,,,,,,
,,2006 - 2007,,,,6.0,6.0,1.0,,,
,,2008 - 2009,3.0,3.0,1.0,,,,,,
,,2009 - 2010,2.0,1.0,0.5,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,
,,2012 - 2013,3.0,4.0,1.33,,,,,,
,,2013 - 2014,4.0,6.0,1.5,,,,,,
,,2014 - 2015,5.0,8.0,1.6,,,,,,
,,2015 - 2016,,,,6.0,10.0,1.67,,,
,,2016 - 2017,,,,6.0,10.0,1.67,,,
,,2017 - 2018,,,,6.0,10.0,1.67,,,
,,2018 - 2019,,,,6.0,10.0,1.67,,,
,,2019 - 2020,,,,6.0,10.0,1.67,,,
,,2020 - 2021,,,,6.0,10.0,1.67,,,
,,2022 - 2023,,,,6.0,10.0,1.67,,,
,South west garo hills,2013 - 2014,19.0,14.0,0.74,,,,,,
,,2014 - 2015,20.0,16.0,0.8,,,,,,
,,2015 - 2016,,,,21.0,17.0,0.81,,,
,,2016 - 2017,,,,21.0,17.0,0.81,,,
,,2017 - 2018,,,,21.0,17.0,0.81,,,
,,2018 - 2019,,,,21.0,17.0,0.81,,,
,,2019 - 2020,,,,21.0,17.0,0.81,,,
,,2020 - 2021,,,,21.0,17.0,0.81,,,
,,2022 - 2023,,,,21.0,17.0,0.81,,,
,West garo hills,2000 - 2001,15.0,8.0,0.53,,,,,,
,,2001 - 2002,16.0,9.0,0.56,,,,,,
,,2002 - 2003,16.0,9.0,0.56,,,,,,
,,2003 - 2004,17.0,10.0,0.59,,,,,,
,,2004 - 2005,19.0,11.0,0.58,,,,,,
,,2005 - 2006,19.0,11.0,0.58,,,,,,
,,2006 - 2007,,,,19.0,11.0,0.58,,,
,,2007 - 2008,20.0,11.0,0.55,,,,,,
,,2008 - 2009,18.0,10.0,0.56,,,,,,
,,2009 - 2010,18.0,10.0,0.56,,,,,,
,,2010 - 2011,16.0,8.0,0.5,,,,,,
,,2011 - 2012,17.0,9.0,0.53,,,,,,
,,2012 - 2013,33.0,23.0,0.7,,,,,,
,,2013 - 2014,15.0,10.0,0.67,,,,,,
,,2014 - 2015,16.0,11.0,0.69,,,,,,
,,2015 - 2016,,,,17.0,12.0,0.71,,,
,,2016 - 2017,,,,17.0,12.0,0.71,,,
,,2017 - 2018,,,,17.0,12.0,0.71,,,
,,2018 - 2019,,,,17.0,12.0,0.71,,,
,,2019 - 2020,,,,17.0,12.0,0.71,,,
,,2020 - 2021,,,,17.0,12.0,0.71,,,
,,2022 - 2023,,,,17.0,12.0,0.71,,,
Nagaland,Dimapur,2000 - 2001,150.0,120.0,0.8,,,,,,
,,2009 - 2010,90.0,50.0,0.56,,,,,,
,,2010 - 2011,50.0,40.0,0.8,,,,,,
,,2011 - 2012,50.0,40.0,0.8,,,,,,
,,2012 - 2013,60.0,40.0,0.67,,,,,,
,,2013 - 2014,60.0,40.0,0.67,,,,,,
,,2014 - 2015,60.0,40.0,0.67,,,,,,
,,2015 - 2016,80.0,50.0,0.63,,,,,,
,,2016 - 2017,90.0,60.0,0.67,,,,,,
,,2017 - 2018,90.0,70.0,0.78,,,,,,
,,2018 - 2019,90.0,70.0,0.78,,,,,,
,,2019 - 2020,90.0,70.0,0.78,,,,,,
,,2020 - 2021,90.0,70.0,0.78,,,,,,
,Kiphire,2009 - 2010,40.0,20.0,0.5,,,,,,
,Kohima,2000 - 2001,90.0,70.0,0.78,,,,,,
,,2009 - 2010,50.0,20.0,0.4,,,,,,
,,2010 - 2011,20.0,10.0,0.5,,,,,,
,,2011 - 2012,20.0,10.0,0.5,,,,,,
,,2012 - 2013,20.0,10.0,0.5,,,,,,
,,2013 - 2014,20.0,10.0,0.5,,,,,,
,,2014 - 2015,20.0,10.0,0.5,,,,,,
,,2015 - 2016,20.0,10.0,0.5,,,,,,
,,2016 - 2017,20.0,10.0,0.5,,,,,,
,,2017 - 2018,20.0,10.0,0.5,,,,,,
,,2018 - 2019,20.0,10.0,0.5,,,,,,
,,2019 - 2020,20.0,10.0,0.5,,,,,,
,,2020 - 2021,20.0,10.0,0.5,,,,,,
,Longleng,2009 - 2010,40.0,20.0,0.5,,,,,,
,Mokokchung,2000 - 2001,210.0,140.0,0.67,,,,,,
,,2009 - 2010,80.0,50.0,0.63,,,,,,
,,2010 - 2011,40.0,30.0,0.75,,,,,,
,,2011 - 2012,50.0,40.0,0.8,,,,,,
,,2012 - 2013,60.0,50.0,0.83,,,,,,
,,2013 - 2014,60.0,50.0,0.83,,,,,,
,,2014 - 2015,70.0,60.0,0.86,,,,,,
,,2015 - 2016,70.0,60.0,0.86,,,,,,
,,2016 - 2017,70.0,60.0,0.86,,,,,,
,,2017 - 2018,80.0,60.0,0.75,,,,,,
,,2018 - 2019,80.0,60.0,0.75,,,,,,
,,2019 - 2020,80.0,60.0,0.75,,,,,,
,,2020 - 2021,80.0,60.0,0.75,,,,,,
,Mon,2000 - 2001,130.0,120.0,0.92,,,,,,
,,2009 - 2010,50.0,20.0,0.4,,,,,,
,,2010 - 2011,20.0,10.0,0.5,,,,,,
,,2011 - 2012,20.0,10.0,0.5,,,,,,
,,2012 - 2013,20.0,10.0,0.5,,,,,,
,,2013 - 2014,20.0,10.0,0.5,,,,,,
,,2014 - 2015,20.0,10.0,0.5,,,,,,
,,2015 - 2016,20.0,10.0,0.5,,,,,,
,,2016 - 2017,20.0,10.0,0.5,,,,,,
,,2017 - 2018,20.0,10.0,0.5,,,,,,
,,2018 - 2019,20.0,10.0,0.5,,,,,,
,,2019 - 2020,20.0,10.0,0.5,,,,,,
,,2020 - 2021,20.0,10.0,0.5,,,,,,
,Peren,2009 - 2010,70.0,40.0,0.57,,,,,,
,,2010 - 2011,40.0,30.0,0.75,,,,,,
,,2011 - 2012,40.0,30.0,0.75,,,,,,
,,2012 - 2013,40.0,30.0,0.75,,,,,,
,,2013 - 2014,40.0,30.0,0.75,,,,,,
,,2014 - 2015,40.0,30.0,0.75,,,,,,
,,2015 - 2016,40.0,30.0,0.75,,,,,,
,,2016 - 2017,40.0,30.0,0.75,,,,,,
,,2017 - 2018,40.0,30.0,0.75,,,,,,
,,2018 - 2019,40.0,30.0,0.75,,,,,,
,,2019 - 2020,40.0,30.0,0.75,,,,,,
,,2020 - 2021,40.0,30.0,0.75,,,,,,
,Phek,2009 - 2010,60.0,30.0,0.5,,,,,,
,,2010 - 2011,20.0,10.0,0.5,,,,,,
,,2011 - 2012,20.0,10.0,0.5,,,,,,
,,2012 - 2013,20.0,10.0,0.5,,,,,,
,,2013 - 2014,20.0,10.0,0.5,,,,,,
,,2014 - 2015,20.0,10.0,0.5,,,,,,
,,2015 - 2016,20.0,10.0,0.5,,,,,,
,,2016 - 2017,20.0,10.0,0.5,,,,,,
,,2017 - 2018,20.0,10.0,0.5,,,,,,
,,2018 - 2019,20.0,10.0,0.5,,,,,,
,,2019 - 2020,20.0,10.0,0.5,,,,,,
,,2020 - 2021,20.0,10.0,0.5,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Tuensang,2000 - 2001,190.0,150.0,0.79,,,,,,
,,2009 - 2010,50.0,20.0,0.4,,,,,,
,,2010 - 2011,20.0,10.0,0.5,,,,,,
,,2011 - 2012,20.0,10.0,0.5,,,,,,
,,2012 - 2013,20.0,10.0,0.5,,,,,,
,,2013 - 2014,20.0,10.0,0.5,,,,,,
,,2014 - 2015,20.0,10.0,0.5,,,,,,
,,2015 - 2016,20.0,10.0,0.5,,,,,,
,,2016 - 2017,20.0,10.0,0.5,,,,,,
,,2017 - 2018,20.0,10.0,0.5,,,,,,
,,2018 - 2019,20.0,10.0,0.5,,,,,,
,,2019 - 2020,20.0,10.0,0.5,,,,,,
,,2020 - 2021,20.0,10.0,0.5,,,,,,
,Wokha,2000 - 2001,230.0,150.0,0.65,,,,,,
,,2009 - 2010,60.0,30.0,0.5,,,,,,
,,2010 - 2011,30.0,20.0,0.67,,,,,,
,,2011 - 2012,30.0,20.0,0.67,,,,,,
,,2012 - 2013,30.0,20.0,0.67,,,,,,
,,2013 - 2014,30.0,20.0,0.67,,,,,,
,,2014 - 2015,30.0,20.0,0.67,,,,,,
,,2015 - 2016,30.0,20.0,0.67,,,,,,
,,2016 - 2017,30.0,20.0,0.67,,,,,,
,,2017 - 2018,30.0,20.0,0.67,,,,,,
,,2018 - 2019,40.0,20.0,0.5,,,,,,
,,2019 - 2020,40.0,20.0,0.5,,,,,,
,,2020 - 2021,40.0,20.0,0.5,,,,,,
,Zunheboto,2009 - 2010,60.0,30.0,0.5,,,,,,
,,2010 - 2011,30.0,20.0,0.67,,,,,,
,,2011 - 2012,30.0,20.0,0.67,,,,,,
,,2012 - 2013,30.0,20.0,0.67,,,,,,
,,2013 - 2014,30.0,20.0,0.67,,,,,,
,,2014 - 2015,30.0,20.0,0.67,,,,,,
,,2015 - 2016,30.0,20.0,0.67,,,,,,
,,2016 - 2017,30.0,20.0,0.67,,,,,,
,,2017 - 2018,30.0,20.0,0.67,,,,,,
,,2018 - 2019,30.0,20.0,0.67,,,,,,
,,2019 - 2020,30.0,20.0,0.67,,,,,,
,,2020 - 2021,30.0,20.0,0.67,,,,,,
Odisha,Anugul,2000 - 2001,220.0,100.0,0.45,450.0,150.0,0.33,,,
,,2002 - 2003,70.0,30.0,0.43,270.0,140.0,0.52,,,
,,2003 - 2004,130.0,60.0,0.46,510.0,280.0,0.55,,,
,,2004 - 2005,146.0,80.0,0.55,449.0,180.0,0.4,,,
,,2019 - 2020,10.0,10.0,1.0,20.0,10.0,0.5,,,
,Balangir,2000 - 2001,450.0,210.0,0.47,130.0,40.0,0.31,,,
,,2001 - 2002,380.0,130.0,0.34,200.0,80.0,0.4,,,
,,2002 - 2003,570.0,160.0,0.28,120.0,50.0,0.42,,,
,,2003 - 2004,670.0,320.0,0.48,320.0,160.0,0.5,,,
,,2004 - 2005,638.0,240.0,0.38,290.0,120.0,0.41,,,
,,2019 - 2020,,,,40.0,30.0,0.75,,,
