state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2021 - 2022,12.0,4.0,0.33,,,,,,
,,2022 - 2023,11.0,4.0,0.36,,,,,,
,Biswanath,2020 - 2021,4.0,3.0,0.75,,,,,,
,,2022 - 2023,5.0,2.0,0.4,,,,,,
,Bongaigaon,2000 - 2001,37.0,15.0,0.41,,,,,,
,,2001 - 2002,36.0,14.0,0.39,,,,,,
,,2002 - 2003,31.0,12.0,0.39,,,,,,
,,2003 - 2004,34.0,14.0,0.41,,,,,,
,,2004 - 2005,41.0,17.0,0.41,,,,,,
,,2005 - 2006,16.0,6.0,0.38,,,,,,
,,2006 - 2007,14.0,6.0,0.43,,,,,,
,,2007 - 2008,9.0,4.0,0.44,,,,,,
,,2008 - 2009,8.0,3.0,0.38,,,,,,
,,2009 - 2010,7.0,3.0,0.43,,,,,,
,,2010 - 2011,6.0,2.0,0.33,,,,,,
,,2011 - 2012,7.0,4.0,0.57,,,,,,
,,2012 - 2013,6.0,3.0,0.5,,,,,,
,,2013 - 2014,5.0,3.0,0.6,,,,,,
,,2014 - 2015,7.0,4.0,0.57,,,,,,
,,2015 - 2016,7.0,5.0,0.71,,,,,,
,,2016 - 2017,7.0,4.0,0.57,,,,,,
,,2017 - 2018,7.0,4.0,0.57,,,,,,
,,2018 - 2019,7.0,3.0,0.43,,,,,,
,,2019 - 2020,8.0,4.0,0.5,,,,,,
,,2020 - 2021,8.0,4.0,0.5,,,,,,
,,2021 - 2022,10.0,5.0,0.5,,,,,,
,,2022 - 2023,13.0,8.0,0.62,,,,,,
,Cachar,2015 - 2016,1.0,1.0,1.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Chirang,2005 - 2006,28.0,12.0,0.43,,,,,,
,,2006 - 2007,26.0,11.0,0.42,,,,,,
,,2007 - 2008,16.0,7.0,0.44,,,,,,
,,2008 - 2009,14.0,4.0,0.29,,,,,,
,,2009 - 2010,19.0,7.0,0.37,,,,,,
,,2010 - 2011,6.0,2.0,0.33,,,,,,
,,2011 - 2012,13.0,7.0,0.54,,,,,,
,,2012 - 2013,6.0,3.0,0.5,,,,,,
,,2013 - 2014,4.0,2.0,0.5,,,,,,
,,2015 - 2016,9.0,5.0,0.56,,,,,,
,,2016 - 2017,13.0,8.0,0.62,,,,,,
,,2017 - 2018,3.0,2.0,0.67,,,,,,
,,2018 - 2019,8.0,4.0,0.5,,,,,,
,,2020 - 2021,3.0,1.0,0.33,,,,,,
,,2021 - 2022,5.0,2.0,0.4,,,,,,
,,2022 - 2023,10.0,6.0,0.6,,,,,,
,Darrang,2000 - 2001,73.0,29.0,0.4,,,,,,
,,2001 - 2002,61.0,24.0,0.39,,,,,,
,,2002 - 2003,56.0,22.0,0.39,,,,,,
,,2003 - 2004,23.0,9.0,0.39,,,,,,
,,2004 - 2005,8.0,3.0,0.38,,,,,,
,,2005 - 2006,4.0,2.0,0.5,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,,2007 - 2008,4.0,2.0,0.5,,,,,,
,,2008 - 2009,5.0,2.0,0.4,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,
,,2011 - 2012,5.0,2.0,0.4,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,
,,2013 - 2014,3.0,2.0,0.67,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Dhemaji,2000 - 2001,130.0,58.0,0.45,,,,,,
,,2001 - 2002,125.0,56.0,0.45,,,,,,
,,2002 - 2003,123.0,55.0,0.45,,,,,,
,,2003 - 2004,117.0,52.0,0.44,,,,,,
,,2004 - 2005,109.0,49.0,0.45,,,,,,
,,2005 - 2006,125.0,56.0,0.45,,,,,,
,,2006 - 2007,95.0,42.0,0.44,,,,,,
,,2007 - 2008,105.0,47.0,0.45,,,,,,
,,2008 - 2009,75.0,34.0,0.45,,,,,,
,,2009 - 2010,64.0,29.0,0.45,,,,,,
,,2010 - 2011,58.0,26.0,0.45,,,,,,
,,2011 - 2012,40.0,22.0,0.55,,,,,,
,,2012 - 2013,38.0,22.0,0.58,,,,,,
,,2013 - 2014,29.0,16.0,0.55,,,,,,
,,2014 - 2015,30.0,19.0,0.63,,,,,,
,,2015 - 2016,30.0,21.0,0.7,,,,,,
,,2016 - 2017,24.0,11.0,0.46,,,,,,
,,2017 - 2018,22.0,10.0,0.45,,,,,,
,,2018 - 2019,21.0,12.0,0.57,,,,,,
,,2019 - 2020,21.0,13.0,0.62,,,,,,
